"Total.No..of.Electors.in.Assembly.Constituency.Segment..206129"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"17"	"7"	"23"	"534"	"67"	"3"	"2"	"1"	"3"	"4"	"3"	"3"	"5"	"12"	"660"	"0"	"660"	"0"
"18"	"8"	"1"	"272"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"277"	"0"	"277"	"0"
"19"	"9"	"223"	"220"	"173"	"6"	"1"	"1"	"13"	"4"	"1"	"6"	"4"	"6"	"658"	"0"	"658"	"0"
"20"	"10"	"133"	"379"	"17"	"3"	"0"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"541"	"0"	"541"	"0"
"21"	"11"	"55"	"154"	"5"	"2"	"1"	"1"	"4"	"3"	"2"	"2"	"8"	"9"	"246"	"0"	"246"	"0"
"22"	"12"	"587"	"61"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"656"	"0"	"656"	"0"
"23"	"13"	"622"	"122"	"12"	"0"	"0"	"0"	"4"	"2"	"7"	"1"	"3"	"8"	"781"	"0"	"781"	"0"
"24"	"14"	"477"	"238"	"5"	"3"	"1"	"1"	"1"	"4"	"4"	"3"	"13"	"6"	"756"	"0"	"756"	"0"
"25"	"Total"	"2972"	"3310"	"374"	"31"	"12"	"16"	"70"	"43"	"35"	"37"	"79"	"99"	"7078"	"0"	"7078"	"0"
"26"	"B.F."	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"27"	"G. Total"	"2972"	"3310"	"374"	"31"	"12"	"16"	"70"	"43"	"35"	"37"	"79"	"99"	"7078"	"0"	"7078"	"0"
"28"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Total No. of Electors in Assembly Constituency/Segment- 206129"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Name of the Assembly/segment- 119-GARKHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Round No…2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"39"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"40"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"41"	"15"	"512"	"217"	"12"	"2"	"2"	"2"	"10"	"6"	"9"	"1"	"11"	"21"	"805"	"0"	"805"	"0"
"42"	"16"	"175"	"182"	"7"	"3"	"0"	"1"	"4"	"1"	"1"	"1"	"4"	"7"	"386"	"0"	"386"	"0"
"43"	"17"	"44"	"155"	"25"	"1"	"5"	"3"	"12"	"1"	"3"	"8"	"8"	"17"	"282"	"0"	"282"	"0"
"44"	"18"	"181"	"174"	"95"	"6"	"1"	"1"	"8"	"0"	"2"	"2"	"1"	"1"	"472"	"0"	"472"	"0"
"45"	"19"	"37"	"548"	"30"	"3"	"1"	"1"	"3"	"1"	"1"	"0"	"1"	"3"	"629"	"0"	"629"	"0"
"46"	"20"	"302"	"151"	"82"	"3"	"2"	"1"	"3"	"0"	"4"	"3"	"6"	"17"	"574"	"0"	"574"	"0"
"47"	"21"	"79"	"226"	"148"	"4"	"5"	"1"	"4"	"3"	"1"	"2"	"8"	"6"	"487"	"0"	"487"	"0"
"48"	"22"	"292"	"118"	"140"	"6"	"2"	"2"	"3"	"3"	"4"	"2"	"7"	"21"	"600"	"0"	"600"	"0"
"49"	"23"	"317"	"100"	"36"	"4"	"1"	"0"	"6"	"0"	"1"	"1"	"7"	"12"	"485"	"0"	"485"	"0"
"50"	"24"	"242"	"374"	"44"	"8"	"1"	"3"	"10"	"5"	"10"	"3"	"5"	"21"	"726"	"0"	"726"	"0"
"51"	"25"	"427"	"109"	"22"	"5"	"0"	"1"	"3"	"1"	"5"	"1"	"8"	"8"	"590"	"0"	"590"	"0"
"52"	"26"	"429"	"23"	"55"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"514"	"0"	"514"	"0"
"53"	"27"	"67"	"138"	"6"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"4"	"224"	"0"	"224"	"0"
"54"	"28"	"311"	"113"	"6"	"0"	"0"	"2"	"3"	"4"	"1"	"2"	"7"	"8"	"457"	"0"	"457"	"0"
"55"	"Total"	"3415"	"2628"	"708"	"48"	"21"	"19"	"71"	"25"	"43"	"28"	"77"	"148"	"7231"	"0"	"7231"	"0"
"56"	"B.F."	"2972"	"3310"	"374"	"31"	"12"	"16"	"70"	"43"	"35"	"37"	"79"	"99"	"7078"	"0"	"7078"	"0"
"57"	"G. Total"	"6387"	"5938"	"1082"	"79"	"33"	"35"	"141"	"68"	"78"	"65"	"156"	"247"	"14309"	"0"	"14309"	"0"
"58"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"LT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Total No. of Electors in Assembly Constituency/Segment- 206129"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Name of the Assembly/segment- 119-GARKHA                                                                                                                                                                                                                                                                     Round NO    3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"68"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"69"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"70"	"29"	"96"	"341"	"100"	"7"	"1"	"2"	"11"	"2"	"1"	"5"	"4"	"8"	"578"	"0"	"578"	"0"
"71"	"30"	"338"	"192"	"12"	"1"	"0"	"4"	"4"	"3"	"2"	"3"	"4"	"15"	"578"	"0"	"578"	"0"
"72"	"31"	"5"	"584"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"597"	"0"	"597"	"0"
"73"	"32"	"243"	"338"	"19"	"3"	"2"	"1"	"5"	"2"	"4"	"8"	"10"	"25"	"660"	"0"	"660"	"0"
"74"	"33"	"76"	"426"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"521"	"0"	"521"	"0"
"75"	"34"	"67"	"277"	"36"	"2"	"1"	"1"	"7"	"0"	"0"	"0"	"3"	"5"	"399"	"0"	"399"	"0"
"76"	"35"	"18"	"447"	"5"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"476"	"0"	"476"	"0"
"77"	"36"	"74"	"289"	"13"	"0"	"2"	"1"	"4"	"0"	"0"	"3"	"9"	"8"	"403"	"0"	"403"	"0"
"78"	"37"	"600"	"152"	"14"	"3"	"2"	"0"	"2"	"1"	"3"	"2"	"10"	"6"	"795"	"0"	"795"	"0"
"79"	"38"	"229"	"90"	"62"	"5"	"6"	"2"	"5"	"0"	"1"	"2"	"1"	"7"	"410"	"0"	"410"	"0"
"80"	"39"	"132"	"271"	"11"	"1"	"2"	"0"	"2"	"1"	"0"	"0"	"2"	"3"	"425"	"0"	"425"	"0"
"81"	"40"	"74"	"388"	"16"	"2"	"1"	"3"	"5"	"2"	"0"	"5"	"8"	"12"	"516"	"0"	"516"	"0"
"82"	"41"	"33"	"303"	"9"	"1"	"0"	"1"	"2"	"4"	"2"	"0"	"2"	"1"	"358"	"0"	"358"	"0"
"83"	"42"	"382"	"175"	"15"	"11"	"0"	"0"	"7"	"1"	"1"	"0"	"3"	"6"	"601"	"0"	"601"	"0"
"84"	"Total"	"2367"	"4273"	"334"	"37"	"17"	"15"	"56"	"17"	"14"	"29"	"61"	"97"	"7317"	"0"	"7317"	"0"
"85"	"B.F."	"6387"	"5938"	"1082"	"79"	"33"	"35"	"141"	"68"	"78"	"65"	"156"	"247"	"14309"	"0"	"14309"	"0"
"86"	"G. Total"	"8754"	"10211"	"1416"	"116"	"50"	"50"	"197"	"85"	"92"	"94"	"217"	"344"	"21626"	"0"	"21626"	"0"
"87"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Total No. of Electors in Assembly Constituency/Segment- 206129"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Name of the Assembly/segment- 119-GARKHA                                                                                                                                                                                                                                                                     Round No…4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"98"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"99"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"100"	"43"	"47"	"216"	"180"	"4"	"2"	"7"	"7"	"6"	"6"	"8"	"6"	"5"	"494"	"0"	"494"	"0"
"101"	"44"	"51"	"332"	"42"	"5"	"1"	"2"	"3"	"2"	"1"	"2"	"3"	"5"	"449"	"0"	"449"	"0"
"102"	"45"	"113"	"281"	"45"	"1"	"2"	"2"	"5"	"3"	"3"	"5"	"2"	"4"	"466"	"0"	"466"	"0"
"103"	"46"	"85"	"338"	"17"	"1"	"1"	"1"	"3"	"4"	"1"	"0"	"5"	"8"	"464"	"0"	"464"	"0"
"104"	"47"	"21"	"684"	"7"	"2"	"1"	"0"	"3"	"0"	"1"	"1"	"2"	"2"	"724"	"0"	"724"	"0"
"105"	"48"	"25"	"508"	"7"	"1"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"546"	"0"	"546"	"0"
"106"	"49"	"68"	"168"	"20"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"6"	"2"	"268"	"0"	"268"	"0"
"107"	"50"	"106"	"308"	"65"	"5"	"1"	"2"	"5"	"0"	"0"	"2"	"3"	"7"	"504"	"0"	"504"	"0"
"108"	"51"	"40"	"341"	"76"	"7"	"1"	"3"	"4"	"3"	"5"	"1"	"12"	"9"	"502"	"0"	"502"	"0"
"109"	"52"	"683"	"49"	"55"	"2"	"1"	"2"	"1"	"1"	"0"	"3"	"2"	"10"	"809"	"0"	"809"	"0"
"110"	"53"	"526"	"83"	"7"	"2"	"0"	"0"	"1"	"3"	"1"	"1"	"0"	"2"	"626"	"0"	"626"	"0"
"111"	"54"	"4"	"875"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"880"	"0"	"880"	"0"
"112"	"55"	"1"	"699"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"707"	"0"	"707"	"0"
"113"	"56"	"1"	"1010"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1018"	"0"	"1018"	"0"
"114"	"Total"	"1771"	"5892"	"533"	"31"	"10"	"21"	"36"	"23"	"19"	"23"	"42"	"56"	"8457"	"0"	"8457"	"0"
"115"	"B.F."	"8754"	"10211"	"1416"	"116"	"50"	"50"	"197"	"85"	"92"	"94"	"217"	"344"	"21626"	"0"	"21626"	"0"
"116"	"G. Total"	"10525"	"16103"	"1949"	"147"	"60"	"71"	"233"	"108"	"111"	"117"	"259"	"400"	"30083"	"0"	"30083"	"0"
"117"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"E 20-SARAN PARLIAMENTARY CONSTITUENCY 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in Assembly Constituency/Segment- 206129"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"Name of the Assembly/segment- 119-GARKHA                                                                                                                                                                                                                                                                     Round No…5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"127"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"129"	"57"	"219"	"153"	"30"	"3"	"1"	"0"	"5"	"3"	"0"	"1"	"3"	"4"	"422"	"0"	"422"	"0"
"130"	"58"	"72"	"522"	"13"	"2"	"2"	"0"	"5"	"1"	"0"	"0"	"1"	"1"	"619"	"0"	"619"	"0"
"131"	"59"	"9"	"525"	"1"	"2"	"1"	"2"	"3"	"0"	"1"	"1"	"0"	"0"	"545"	"0"	"545"	"0"
"132"	"60"	"323"	"259"	"14"	"2"	"0"	"1"	"3"	"3"	"2"	"1"	"4"	"10"	"622"	"0"	"622"	"0"
"133"	"61"	"282"	"225"	"155"	"8"	"6"	"4"	"6"	"4"	"4"	"4"	"5"	"11"	"714"	"0"	"714"	"0"
"134"	"62"	"141"	"123"	"4"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"1"	"5"	"280"	"0"	"280"	"0"
"135"	"63"	"196"	"238"	"6"	"0"	"0"	"0"	"8"	"3"	"4"	"4"	"9"	"25"	"493"	"0"	"493"	"0"
"136"	"64"	"8"	"275"	"13"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"3"	"0"	"303"	"0"	"303"	"0"
"137"	"65"	"67"	"438"	"53"	"4"	"3"	"1"	"8"	"4"	"3"	"4"	"15"	"8"	"608"	"0"	"608"	"0"
"138"	"66"	"194"	"263"	"93"	"7"	"1"	"2"	"8"	"2"	"9"	"3"	"5"	"6"	"593"	"0"	"593"	"0"
"139"	"67"	"0"	"776"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"781"	"0"	"781"	"0"
"140"	"68"	"17"	"449"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"2"	"477"	"0"	"477"	"0"
"141"	"69"	"6"	"553"	"10"	"3"	"2"	"2"	"4"	"0"	"0"	"0"	"2"	"5"	"587"	"0"	"587"	"0"
"142"	"70"	"157"	"218"	"82"	"3"	"5"	"1"	"9"	"2"	"4"	"1"	"8"	"8"	"498"	"0"	"498"	"0"
"143"	"Total"	"1691"	"5017"	"477"	"36"	"23"	"13"	"64"	"26"	"32"	"20"	"57"	"86"	"7542"	"0"	"7542"	"0"
"144"	"B.F."	"10525"	"16103"	"1949"	"147"	"60"	"71"	"233"	"108"	"111"	"117"	"259"	"400"	"30083"	"0"	"30083"	"0"
"145"	"G. Total"	"12216"	"21120"	"2426"	"183"	"83"	"84"	"297"	"134"	"143"	"137"	"316"	"486"	"37625"	"0"	"37625"	"0"
"146"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"T  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Total No. of Electors in Assembly Constituency/Segment- 206129"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Name of the Assembly/segment- 119-GARKHA                                                                                                                                                                                                                                                                     Round No…6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"156"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"157"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"158"	"71"	"521"	"234"	"7"	"1"	"1"	"2"	"4"	"1"	"8"	"4"	"2"	"150"	"935"	"0"	"935"	"0"
"159"	"72"	"17"	"380"	"10"	"1"	"0"	"3"	"6"	"1"	"2"	"2"	"6"	"13"	"441"	"0"	"441"	"0"
"160"	"73"	"21"	"321"	"8"	"0"	"2"	"0"	"6"	"0"	"0"	"2"	"4"	"20"	"384"	"0"	"384"	"0"
"161"	"74"	"309"	"176"	"34"	"4"	"5"	"0"	"8"	"3"	"3"	"2"	"7"	"24"	"575"	"0"	"575"	"0"
"162"	"75"	"65"	"141"	"265"	"6"	"2"	"4"	"4"	"4"	"2"	"8"	"8"	"21"	"530"	"0"	"530"	"0"
"163"	"76"	"34"	"32"	"106"	"3"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"181"	"0"	"181"	"0"
"164"	"77"	"181"	"112"	"67"	"0"	"1"	"2"	"4"	"3"	"2"	"4"	"5"	"9"	"390"	"0"	"390"	"0"
"165"	"78"	"172"	"113"	"112"	"4"	"3"	"4"	"5"	"7"	"6"	"14"	"12"	"12"	"464"	"0"	"464"	"0"
"166"	"79"	"88"	"125"	"31"	"8"	"1"	"3"	"4"	"2"	"6"	"4"	"9"	"15"	"296"	"0"	"296"	"0"
"167"	"80"	"28"	"324"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"381"	"0"	"381"	"0"
"168"	"81"	"66"	"179"	"39"	"3"	"3"	"0"	"6"	"1"	"3"	"3"	"13"	"10"	"326"	"0"	"326"	"0"
"169"	"82"	"134"	"106"	"9"	"1"	"1"	"0"	"4"	"2"	"0"	"0"	"4"	"2"	"263"	"0"	"263"	"0"
"170"	"83"	"191"	"245"	"44"	"14"	"0"	"2"	"12"	"3"	"10"	"3"	"5"	"6"	"535"	"0"	"535"	"0"
"171"	"84"	"305"	"186"	"8"	"7"	"0"	"5"	"5"	"3"	"0"	"0"	"3"	"3"	"525"	"0"	"525"	"0"
"172"	"Total"	"2132"	"2674"	"765"	"52"	"20"	"26"	"68"	"30"	"43"	"47"	"82"	"287"	"6226"	"0"	"6226"	"0"
"173"	"B.F."	"12216"	"21120"	"2426"	"183"	"83"	"84"	"297"	"134"	"143"	"137"	"316"	"486"	"37625"	"0"	"37625"	"0"
"174"	"G. Total"	"14348"	"23794"	"3191"	"235"	"103"	"110"	"365"	"164"	"186"	"184"	"398"	"773"	"43851"	"0"	"43851"	"0"
"175"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"ntary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"181"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"183"	"85"	"563"	"48"	"2"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"619"	"0"	"619"	"0"
"184"	"86"	"302"	"78"	"43"	"4"	"2"	"2"	"10"	"5"	"3"	"4"	"14"	"11"	"478"	"0"	"478"	"0"
"185"	"87"	"185"	"175"	"101"	"10"	"6"	"5"	"14"	"8"	"4"	"4"	"13"	"8"	"533"	"0"	"533"	"0"
"186"	"88"	"249"	"116"	"23"	"2"	"2"	"3"	"5"	"3"	"6"	"4"	"9"	"15"	"437"	"0"	"437"	"0"
"187"	"89"	"55"	"457"	"15"	"1"	"2"	"1"	"6"	"1"	"0"	"6"	"5"	"7"	"556"	"0"	"556"	"0"
