"PC.No."	"AC.No."	"BOOTH.No."	"BOOTH.EXT"	"ARCHN.A.CHAND.RA"	"NIKHIL.KUMAR"	"SHAKIL.AHMAD.KHAN"	"SUSHIL.KUMAR.SINGH"	"ANIL.KUMAR.SINGH"	"AMERIK.A.MAHTO"	"RAM.KUMAR.MEHTA"	"VIJAY.PASWA.N"	"ASLAM.ANSARI"	"INDRA.DEO.RAM"	"UDAY.PASWA.N"	"PUNA.DAS"	"RANJEET.KUMAR"	"RAJEND.RA.YADAV"	"RAMSWA.RUP.PRASAD.YADAV"	"SANTOS.H.KUMAR"	"TOTAL"
"43"	37	223	41	""	11	10	254	87	1	3	1	4	1	1	1	7	3	4	3	1	392
"44"	37	223	42	""	23	67	217	14	1	0	0	0	0	0	0	0	0	0	0	0	322
"45"	37	223	43	""	61	33	136	130	2	1	1	0	2	1	0	5	3	1	3	1	380
"46"	37	223	44	""	35	48	152	57	9	0	1	1	3	0	0	0	1	0	1	3	311
"47"	37	223	45	""	27	71	32	153	4	0	0	0	0	2	2	1	1	1	2	3	299
"48"	37	223	46	""	187	77	130	78	3	7	3	3	1	4	4	6	2	4	4	5	518
"49"	37	223	47	""	76	48	68	166	4	1	3	3	0	1	1	4	4	2	5	4	390
"50"	37	223	48	""	60	69	486	33	1	4	3	1	4	0	0	3	0	3	2	4	673
"51"	37	223	49	""	7	38	15	213	0	1	0	0	0	0	0	0	1	0	0	0	275
"52"	37	223	50	""	8	34	153	88	2	1	0	1	0	2	2	3	0	1	0	2	297
"53"	37	223	51	""	40	21	138	36	1	4	2	5	2	1	3	4	4	10	4	11	286
"54"	37	223	52	""	183	44	194	211	10	8	3	7	3	0	2	12	13	8	6	7	711
"55"	37	223	53	""	168	80	154	198	8	12	6	6	6	1	5	11	8	3	7	18	691
"56"	37	223	54	""	13	52	227	61	3	3	3	3	3	1	0	4	4	8	3	12	400
"57"	37	223	55	""	5	154	29	414	1	0	2	4	0	1	1	2	0	1	1	0	615
"58"	37	223	56	""	125	21	89	194	4	4	8	3	10	3	7	7	11	4	6	10	506
"59"	37	223	57	""	2	9	305	86	0	5	1	0	0	0	0	2	2	2	0	1	415
"60"	37	223	58	""	15	20	391	151	5	1	1	1	0	2	0	2	1	2	0	2	594
"61"	37	223	59	""	35	0	75	98	1	0	0	0	0	1	0	1	1	1	1	1	215
"62"	37	223	60	""	3	1	3	1	2	0	0	1	1	2	0	2	183	49	67	40	355
"63"	37	223	61	""	30	8	371	28	0	0	0	0	0	0	0	1	0	2	0	0	440
"64"	37	223	62	""	12	5	101	60	0	2	0	0	0	1	0	2	0	4	0	0	187
"65"	37	223	63	""	6	3	8	401	0	0	0	0	1	0	0	1	0	0	0	1	421
"66"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	37	223	64	""	29	13	74	121	3	3	3	2	0	3	3	7	9	4	3	10	287
"68"	37	223	65	""	0	8	9	483	0	1	0	0	0	0	0	0	0	0	0	0	501
"69"	37	223	66	""	1	0	0	2	3	0	0	2	3	4	3	5	266	132	13	19	453
"70"	37	223	67	""	2	12	119	372	4	1	0	2	0	2	0	3	6	5	3	1	532
"71"	37	223	68	""	1	5	91	287	2	0	0	0	0	0	0	0	0	0	0	0	386
"72"	37	223	69	""	14	14	189	90	2	2	1	3	0	0	2	1	1	7	1	2	329
"73"	37	223	70	""	12	66	94	202	4	2	2	2	0	0	0	5	1	0	2	2	394
"74"	37	223	71	""	6	61	14	120	4	2	0	5	3	0	2	4	18	3	6	12	260
"75"	37	223	72	""	5	122	60	86	1	2	1	3	0	1	0	1	2	3	5	5	297
"76"	37	223	73	""	142	44	166	114	1	2	1	2	0	2	0	3	9	7	2	9	504
"77"	37	223	74	""	91	41	363	38	2	1	4	2	0	0	1	0	2	4	2	0	551
"78"	37	223	75	""	12	8	136	152	7	5	4	4	4	5	2	6	9	11	2	7	374
"79"	37	223	76	""	0	1	220	29	1	0	0	0	2	0	0	0	0	0	0	0	253
"80"	37	223	77	""	13	52	187	181	5	4	6	1	3	3	3	13	6	15	3	9	504
"81"	37	223	78	""	10	18	70	376	7	5	1	5	0	1	1	8	8	3	3	12	528
"82"	37	223	79	""	20	22	211	158	4	1	0	2	0	0	0	3	3	4	0	4	432
"83"	37	223	80	""	2	23	286	13	0	0	0	0	0	0	0	1	0	0	0	0	325
"84"	37	223	81	""	245	93	183	161	4	4	5	4	0	2	4	4	3	6	2	12	732
"85"	37	223	82	""	8	26	188	99	4	8	2	5	4	4	2	4	6	5	2	10	377
"86"	37	223	83	""	19	18	349	99	4	1	0	2	0	0	1	2	2	4	0	2	503
"87"	37	223	84	""	72	22	192	284	6	6	5	6	1	2	3	10	5	1	4	4	623
"88"	37	223	85	""	101	86	22	159	3	2	1	1	1	0	2	6	1	0	0	8	393
"89"	37	223	86	""	12	61	27	278	3	2	59	1	1	0	1	2	1	0	1	5	454
"90"	37	223	87	""	196	13	178	56	0	5	40	1	3	2	2	4	2	2	0	6	510
"91"	37	223	88	""	50	16	102	125	3	1	17	2	0	0	0	3	1	0	0	2	322
"92"	37	223	89	""	94	40	199	143	5	4	12	2	4	2	1	3	4	3	1	4	521
"93"	37	223	90	""	17	10	157	12	0	0	3	2	1	0	1	1	1	8	1	5	219
"94"	37	223	91	""	17	51	116	184	1	5	3	3	1	1	0	3	7	1	2	1	396
"95"	37	223	92	""	2	108	51	161	1	2	1	0	0	0	0	0	0	0	0	0	326
"96"	37	223	93	""	56	138	179	119	1	7	6	3	2	4	5	8	6	11	6	26	577
"97"	37	223	94	""	19	157	33	67	4	3	2	3	3	2	2	5	6	8	11	6	331
"98"	37	223	95	""	7	115	277	22	4	1	1	1	0	1	0	3	1	5	2	8	448
"99"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	37	223	96	""	50	337	62	43	6	3	4	4	6	3	2	9	7	5	6	20	567
"101"	37	223	97	""	24	222	150	35	5	0	2	2	2	1	0	0	0	4	5	4	456
"102"	37	223	98	""	31	46	412	224	7	4	4	2	3	5	4	11	5	4	4	7	773
"103"	37	223	99	""	225	51	1	4	0	0	0	0	0	0	0	0	0	0	0	1	282
"104"	37	223	100	""	324	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	333
"105"	37	223	101	""	25	86	20	24	2	1	1	3	0	3	0	1	3	2	2	4	177
"106"	37	223	102	""	88	86	58	70	2	0	0	0	0	0	0	1	2	4	1	9	321
"107"	37	223	103	""	84	29	185	183	3	4	0	1	2	2	2	5	5	9	5	4	523
"108"	37	223	104	""	5	123	64	28	0	0	1	1	0	0	0	0	1	1	2	1	227
"109"	37	223	105	""	8	26	62	543	4	2	0	0	1	1	1	1	0	2	2	2	655
"110"	37	223	106	""	27	48	227	96	4	4	3	1	0	0	0	7	5	9	2	3	436
"111"	37	223	107	""	68	23	287	78	10	6	4	1	4	5	2	2	1	2	4	10	507
"112"	37	223	108	""	53	136	190	86	5	5	9	4	2	2	4	5	4	8	5	6	524
"113"	37	223	109	""	27	76	108	107	4	1	2	3	0	0	2	3	1	9	2	4	349
"114"	37	223	110	""	3	21	118	9	1	0	2	0	1	0	1	0	0	4	1	3	164
"115"	37	223	111	""	35	51	113	215	8	1	2	2	1	1	1	2	3	1	1	1	438
"116"	37	223	112	""	33	211	94	99	2	4	2	5	5	2	2	2	4	6	5	9	485
"117"	37	223	113	""	6	34	90	483	4	2	1	0	3	0	4	0	2	3	2	2	636
"118"	37	223	114	""	6	18	105	334	2	1	1	2	3	1	3	2	4	7	4	8	501
"119"	37	223	115	""	4	51	26	220	1	4	0	2	0	2	1	1	3	1	0	1	317
"120"	37	223	116	""	25	75	135	264	6	5	7	3	1	3	1	7	8	5	2	3	550
"121"	37	223	117	""	48	27	298	126	2	0	1	1	1	0	0	3	0	5	1	3	516
"122"	37	223	118	""	1	137	143	187	4	3	0	2	0	0	1	2	4	4	1	0	489
"123"	37	223	119	""	4	29	15	124	2	0	1	1	1	0	1	1	1	0	1	0	181
"124"	37	223	120	""	5	38	23	132	0	1	1	3	0	0	1	4	1	0	1	1	211
"125"	37	223	121	""	2	21	7	141	0	0	0	0	0	1	0	1	0	0	0	0	173
"126"	37	223	122	""	4	25	9	101	2	0	0	0	0	0	0	0	0	0	0	1	142
"127"	37	223	123	""	1	53	3	120	0	1	0	0	0	0	1	2	1	0	1	1	184
"128"	37	223	124	""	1	25	12	105	0	1	0	0	0	0	0	1	0	0	1	1	147
"129"	37	223	125	""	5	62	141	79	1	0	2	1	0	0	0	1	0	1	0	0	293
"130"	37	223	126	""	2	80	165	143	1	5	2	2	1	0	0	1	2	6	1	1	412
"131"	37	223	127	""	2	17	147	65	0	2	1	1	1	0	0	1	1	1	1	4	244
"132"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	37	223	128	""	4	137	145	56	2	2	1	1	0	0	0	1	1	1	0	0	351
"134"	37	223	129	""	5	138	83	76	0	2	0	0	1	0	0	1	2	2	3	2	315
"135"	37	223	130	""	10	63	5	156	1	0	2	0	0	0	0	3	0	0	1	1	242
"136"	37	223	131	""	2	29	4	123	1	0	0	0	0	0	0	0	1	0	2	1	163
"137"	37	223	132	""	20	45	19	220	1	0	0	1	0	0	0	2	1	0	0	1	310
"138"	37	223	133	""	2	50	15	145	0	1	0	0	1	0	2	0	1	2	1	0	220
"139"	37	223	134	""	4	55	25	161	1	0	0	0	0	0	0	0	2	1	1	0	250
"140"	37	223	135	""	12	100	39	119	3	1	0	0	0	2	0	1	1	2	2	0	282
"141"	37	223	136	""	48	41	37	63	0	1	1	1	0	1	0	3	1	1	1	2	201
"142"	37	223	137	""	4	123	2	171	0	0	0	0	0	0	0	0	0	0	0	0	300
"143"	37	223	138	""	11	56	49	200	2	1	1	0	0	0	0	1	0	1	0	0	322
"144"	37	223	139	""	3	24	68	117	1	2	0	0	1	0	0	2	2	1	0	0	221
"145"	37	223	140	""	3	20	7	92	0	2	0	2	0	0	0	0	0	0	0	0	126
"146"	37	223	141	""	16	70	212	194	0	2	0	2	0	0	1	2	3	1	1	1	505
"147"	37	223	142	""	14	49	45	83	3	0	1	0	0	0	0	2	1	3	2	0	203
"148"	37	223	143	""	1	48	5	89	0	0	0	0	0	0	0	0	0	0	0	0	143
"149"	37	223	144	""	18	33	19	180	4	1	0	0	0	0	0	1	0	1	1	1	259
"150"	37	223	145	""	78	68	80	143	6	1	3	4	1	1	0	3	3	1	4	6	402
"151"	37	223	146	""	9	45	101	270	3	1	1	1	0	1	0	4	2	0	2	0	440
"152"	37	223	147	""	4	90	165	144	2	1	1	1	0	1	1	2	3	2	1	1	419
"153"	37	223	148	""	1	58	4	556	1	1	0	0	0	0	0	3	0	1	1	0	626
"154"	37	223	149	""	1	35	0	366	1	0	0	0	1	0	0	0	0	0	0	1	405
"155"	37	223	150	""	0	61	1	283	11	0	0	0	0	0	0	0	0	0	0	0	356
"156"	37	223	151	""	8	24	123	272	4	8	2	0	1	2	1	10	9	7	5	5	481
"157"	37	223	152	""	6	56	168	194	3	6	0	0	0	0	3	1	2	1	1	4	445
"158"	37	223	153	""	49	65	19	223	8	1	5	3	1	0	1	4	2	0	2	3	386
"159"	37	223	154	""	7	29	29	84	1	0	1	2	0	0	0	2	1	0	0	0	156
"160"	37	223	155	""	13	6	250	129	1	1	0	1	1	0	1	0	0	0	0	0	403
"161"	37	223	156	""	16	32	49	95	1	1	1	2	1	2	1	3	3	1	2	0	210
"162"	37	223	157	""	5	22	63	132	2	0	1	1	0	1	1	4	0	0	0	2	234
"163"	37	223	158	""	5	19	64	65	2	0	1	0	0	0	0	0	2	2	0	1	161
"164"	37	223	159	""	34	66	14	150	0	0	0	2	0	0	0	3	2	1	2	0	274
"165"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"166"	37	223	160	""	27	43	14	240	6	0	6	0	0	0	0	1	0	0	0	0	337
"167"	37	223	161	""	73	77	48	166	1	0	1	1	1	1	1	0	0	0	2	4	376
"168"	37	223	162	""	149	37	101	38	2	2	3	0	1	0	2	1	3	4	1	4	348
"169"	37	223	163	""	2	52	109	113	1	0	3	2	1	0	0	0	1	0	0	2	286
"170"	37	223	164	""	1	27	57	136	1	0	0	0	0	0	0	6	2	1	1	2	234
"171"	37	223	165	""	4	102	189	80	2	3	1	1	1	2	1	3	2	2	0	4	397
"172"	37	223	166	""	5	102	189	73	1	2	1	1	1	1	1	1	3	1	1	1	384
"173"	37	223	167	""	4	40	123	28	0	1	1	0	1	0	1	0	1	2	0	0	202
"174"	37	223	168	""	12	48	182	83	1	1	1	0	0	1	1	2	2	2	0	1	337
"175"	37	223	169	""	71	18	586	65	4	2	2	0	1	0	0	4	5	6	1	4	769
"176"	37	223	170	""	25	25	208	80	4	0	2	1	0	1	1	3	3	5	3	4	365
"177"	37	223	171	""	1	16	20	86	0	0	0	0	0	0	1	1	0	0	0	1	126
"178"	37	223	172	""	5	41	64	127	4	1	1	2	0	0	1	1	8	0	1	0	256
"179"	37	223	173	""	1	13	18	73	1	0	0	0	0	0	0	0	2	0	0	1	109
"180"	37	223	174	""	8	58	183	113	0	2	1	1	3	1	1	4	2	1	1	0	379
"181"	37	223	175	""	1	35	49	153	3	0	0	0	1	0	0	4	3	3	0	0	252
"182"	37	223	176	""	13	133	145	124	2	5	6	2	3	2	3	5	6	6	2	6	463
"183"	37	223	177	""	29	63	132	33	1	2	1	0	3	1	0	0	1	2	1	0	269
"184"	37	223	178	""	2	31	32	385	3	4	1	0	0	0	1	4	0	2	3	2	470
"185"	37	223	179	""	4	31	32	232	1	2	0	0	0	1	0	3	3	1	0	1	311
"186"	37	223	180	""	105	19	72	147	1	1	1	0	0	1	1	3	4	0	1	2	358
"187"	37	223	181	""	5	10	30	99	3	3	1	2	0	0	0	2	3	1	2	0	161
"188"	37	223	182	""	51	9	190	96	3	1	2	4	0	2	2	4	2	4	3	3	376
"189"	37	223	183	""	5	51	247	239	11	9	3	3	1	2	5	9	8	14	5	5	617
"190"	37	223	184	""	9	53	80	207	5	2	4	0	2	1	2	2	4	2	1	3	377
"191"	37	223	185	""	8	26	136	189	0	2	1	2	0	1	1	4	3	0	0	0	373
"192"	37	223	186	""	3	8	39	145	0	1	0	1	0	0	0	0	3	1	2	2	205
"193"	37	223	187	""	86	60	106	144	3	8	1	4	2	4	1	3	2	3	0	17	444
"194"	37	223	188	""	3	28	55	175	2	2	1	0	0	0	1	0	3	0	0	1	271
"195"	37	223	189	""	9	46	75	286	5	4	5	3	1	1	2	2	2	3	5	9	458
"196"	37	223	190	""	76	21	66	180	4	5	2	1	3	0	1	1	4	4	3	3	374
"197"	37	223	191	""	149	51	30	85	0	2	0	1	0	0	0	0	2	3	1	2	326
"198"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"199"	37	223	192	""	132	27	142	111	11	9	4	6	0	1	1	0	1	4	1	5	455
"200"	37	223	193	""	13	9	79	111	2	0	0	0	0	0	0	3	3	1	1	0	222
"201"	37	223	194	""	73	51	69	84	3	0	1	0	0	0	0	1	0	0	0	0	282
"202"	37	223	195	""	98	17	160	13	2	2	1	0	2	1	1	1	3	6	1	8	316
"203"	37	223	196	""	3	21	187	54	4	2	1	0	0	0	0	0	0	1	0	0	273
"204"	37	223	197	""	127	53	65	274	6	2	5	4	1	0	1	3	2	0	2	5	550
"205"	37	223	198	""	9	12	177	79	2	1	1	0	1	0	1	4	1	3	0	1	292
"206"	37	223	199	""	4	4	300	4	2	1	1	0	0	0	0	0	0	4	0	1	321
"207"	37	223	200	""	34	69	27	196	2	4	2	2	1	0	2	1	1	0	0	5	346
"208"	37	223	201	""	71	26	153	166	6	2	2	6	1	0	1	3	1	4	3	11	456
"209"	37	223	202	""	3	37	37	123	1	0	2	0	0	0	0	2	4	0	0	0	209
"210"	37	223	203	""	28	49	149	89	7	5	42	7	4	0	1	2	1	0	1	1	386
"211"	37	223	204	""	12	32	136	119	5	1	2	1	1	1	4	6	5	4	3	5	337
"212"	37	223	205	""	19	22	120	368	1	4	1	0	0	1	1	6	2	0	1	3	549
"213"	37	223	206	""	82	25	54	322	20	2	3	2	2	2	0	2	2	0	3	5	526
"214"	37	223	207	""	27	11	204	71	3	8	2	0	1	2	3	1	3	10	0	4	350
"215"	37	223	208	""	9	65	113	181	1	2	1	1	0	0	1	4	2	5	2	3	390
"216"	37	223	209	""	14	38	242	41	4	1	2	0	1	0	3	5	8	12	4	11	386
"217"	37	223	210	""	10	17	200	70	1	1	2	1	1	1	1	0	4	4	3	5	321
"218"	37	223	211	""	2	12	148	161	0	0	0	0	0	1	1	0	0	1	0	0	326
"219"	37	223	212	""	76	209	39	90	5	4	2	3	1	0	1	0	2	0	3	1	436
"220"	37	223	213	""	3	1	181	4	0	0	1	1	0	0	0	1	0	0	1	1	194
"221"	37	223	214	""	31	2	181	17	0	0	0	0	0	0	0	0	0	1	0	1	233
"222"	37	223	215	""	48	36	132	188	5	4	1	4	5	1	4	13	4	16	2	16	479
"223"	37	223	216	""	15	30	157	235	0	4	2	1	0	1	0	1	5	4	3	6	464
"224"	37	223	217	""	2	6	297	21	1	0	0	0	0	0	0	1	0	0	0	0	328
"225"	37	223	218	""	16	127	39	253	2	1	1	4	0	0	0	9	1	3	0	3	459
"226"	37	223	219	""	1	14	195	51	0	0	0	0	0	1	1	1	0	1	1	1	267
"227"	37	223	220	""	15	21	181	156	4	3	3	4	1	2	1	3	6	7	6	17	430
"228"	37	223	221	""	21	52	83	223	1	7	1	5	5	1	6	6	12	8	8	13	452
"229"	37	223	222	""	55	64	131	101	4	4	4	2	2	1	4	2	4	6	4	6	394
"230"	37	223	223	""	26	167	82	268	10	3	2	5	1	1	2	2	2	5	3	3	582
"231"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"232"	37	223	224	""	15	5	385	93	6	2	0	1	2	0	2	4	0	1	0	1	517
"233"	37	223	225	""	18	55	225	114	4	4	3	0	5	3	3	7	10	4	1	13	469
"234"	37	223	226	""	13	26	20	99	2	1	0	1	0	0	1	1	0	0	0	4	168
"235"	37	223	227	""	5	26	30	175	5	3	1	0	0	1	2	3	7	6	6	4	274
"236"	37	223	227	"A"	57	39	70	239	3	1	2	1	0	1	2	2	2	5	2	5	431
"237"	37	223	228	""	20	66	162	237	5	1	5	1	2	4	4	3	7	7	3	1	528
"238"	37	223	229	""	6	132	92	365	5	4	1	0	1	2	2	0	6	1	3	6	626
"239"	37	223	230	""	15	39	355	160	5	2	6	0	2	0	2	3	4	6	5	4	608
"240"	37	223	231	""	15	64	105	389	7	5	0	4	0	2	2	12	6	1	6	5	623
"241"	37	223	232	""	48	137	19	101	7	3	9	3	0	1	1	2	7	1	5	7	351
"242"	37	223	233	""	7	197	49	112	6	3	0	0	0	0	0	2	2	3	1	3	385
"243"	37	223	234	""	64	94	172	207	4	2	5	3	1	1	6	7	7	11	4	6	594
"244"	37	223	235	""	110	65	49	114	5	2	12	0	0	1	2	2	1	1	2	3	369
"245"	37	223	236	""	15	25	111	227	2	5	4	3	2	2	1	2	6	1	1	12	419
"246"	37	223	237	""	58	25	165	123	1	1	1	3	2	2	1	4	4	4	2	11	407
"247"	37	223	238	""	14	17	99	149	6	1	4	4	0	0	0	5	7	0	3	12	321
"248"	37	223	239	""	42	50	63	528	5	1	1	0	0	0	1	1	1	1	7	0	701
"249"	37	223	240	""	53	140	66	205	3	1	4	2	2	2	1	0	1	1	0	1	482
"250"	37	223	241	""	12	57	101	109	3	0	2	2	0	2	1	7	3	3	0	6	308
"251"	37	223	242	""	6	14	23	378	2	1	0	0	0	0	0	0	3	0	0	0	427
"252"	37	223	243	""	8	5	73	155	1	2	0	0	0	1	0	1	1	1	0	3	251
"253"	37	223	244	""	2	23	11	236	0	1	1	0	1	1	0	2	1	4	0	0	283
"254"	37	223	245	""	22	38	211	188	5	3	4	4	1	5	0	6	3	5	4	8	507
"255"	37	223	246	""	206	39	40	142	5	4	2	2	2	0	0	4	2	0	1	12	461
"256"	37	223	247	""	5	38	163	52	0	0	3	1	2	0	1	1	1	0	2	1	270
"257"	37	223	248	""	5	86	47	91	0	1	2	2	2	0	1	2	0	1	1	6	247
"258"	37	223	249	""	0	5	92	129	0	1	2	0	1	0	0	0	1	0	0	1	232
"259"	37	223	250	""	2	41	48	625	9	0	7	1	3	0	0	2	1	1	1	2	743
"260"	37	223	251	""	1	12	20	86	0	0	0	0	0	0	0	1	1	0	0	1	122
"261"	37	223	252	""	8	14	164	129	1	5	2	4	1	0	0	8	3	2	0	7	348
"262"	37	223	253	""	19	8	141	133	4	3	2	3	3	6	1	8	4	2	4	7	348
"263"	37	223	254	""	63	3	95	68	3	1	0	2	2	1	0	2	6	2	1	6	255
"264"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"265"	37	223	255	""	9	12	83	183	8	3	5	4	3	2	2	5	5	4	1	7	336
"266"	37	223	255	"A"	42	6	108	98	1	0	0	3	2	1	1	5	3	1	3	2	276
"267"	37	223	256	""	24	17	45	315	7	10	6	4	1	3	4	13	11	5	6	9	480
"268"	37	223	257	""	18	14	100	237	3	1	1	2	0	2	1	8	6	3	3	4	403
"269"	37	223	258	""	8	32	71	208	8	4	3	2	0	1	1	7	6	4	1	5	361
"270"	37	223	259	""	9	23	247	156	2	6	5	1	0	1	0	3	0	2	1	1	457
"271"	37	223	260	""	27	16	107	242	6	7	4	1	0	5	3	5	4	4	0	18	449
"272"	37	223	261	""	0	19	62	249	0	1	5	0	2	0	1	3	1	1	1	0	345
"273"	37	223	262	""	31	7	81	207	4	9	2	7	8	2	8	14	9	7	13	30	439
"274"	37	223	263	""	9	5	13	95	3	3	1	3	0	1	2	3	0	0	1	2	141
"275"	37	223	264	""	11	17	139	299	8	8	4	9	2	3	3	4	8	4	3	7	529
"276"	37	223	265	""	5	67	14	241	3	1	0	2	0	1	0	6	6	2	1	4	353
"277"	37	223	266	""	29	12	147	221	6	4	2	10	4	5	0	14	1	2	2	2	461
"278"	NA	NA	NA	""	7823	12020	27602	36613	709	523	700	413	253	236	271	772	1125	832	527	1010	91429
