"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-    207244"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 152-Bihpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"24"	"15"	"15"	"46"	"35"	"13"	"2"	"267"	"6"	"1"	"0"	"1"	"2"	"0"	"6"	"1"	"2"	"5"	"9"	"0"	"0"	"2"	"1"	"2"	"401"	"0"	"401"	"0"
"25"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"26"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"27"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"28"	"16"	"16"	"71"	"157"	"14"	"6"	"90"	"8"	"5"	"4"	"3"	"1"	"3"	"1"	"2"	"2"	"6"	"10"	"3"	"4"	"1"	"0"	"1"	"392"	"0"	"392"	"0"
"29"	"17"	"17"	"53"	"42"	"7"	"5"	"186"	"1"	"0"	"1"	"0"	"1"	"5"	"3"	"0"	"2"	"1"	"6"	"1"	"0"	"0"	"1"	"5"	"320"	"0"	"320"	"0"
"30"	"18"	"18"	"78"	"94"	"14"	"6"	"171"	"3"	"2"	"3"	"3"	"6"	"2"	"8"	"4"	"4"	"7"	"14"	"4"	"1"	"0"	"2"	"4"	"430"	"0"	"430"	"0"
"31"	"19"	"19"	"82"	"27"	"33"	"4"	"331"	"15"	"0"	"2"	"2"	"7"	"6"	"9"	"4"	"4"	"5"	"22"	"2"	"2"	"0"	"0"	"3"	"560"	"0"	"560"	"0"
"32"	"20"	"20"	"54"	"74"	"50"	"9"	"281"	"4"	"2"	"0"	"0"	"0"	"4"	"4"	"0"	"1"	"6"	"5"	"6"	"5"	"2"	"0"	"3"	"510"	"0"	"510"	"0"
"33"	"21"	"21"	"62"	"30"	"11"	"1"	"212"	"10"	"1"	"1"	"3"	"1"	"2"	"1"	"2"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"3"	"345"	"0"	"345"	"0"
"34"	"22"	"22"	"63"	"120"	"13"	"1"	"137"	"5"	"0"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"7"	"0"	"0"	"0"	"1"	"1"	"360"	"0"	"360"	"0"
"35"	"23"	"23"	"22"	"100"	"24"	"3"	"252"	"10"	"3"	"1"	"1"	"3"	"6"	"3"	"2"	"0"	"2"	"7"	"1"	"1"	"0"	"0"	"3"	"444"	"0"	"444"	"0"
"36"	"24"	"24"	"71"	"106"	"10"	"2"	"90"	"6"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"2"	"2"	"2"	"1"	"1"	"0"	"298"	"0"	"298"	"0"
"37"	"25"	"25"	"17"	"92"	"24"	"1"	"105"	"4"	"2"	"1"	"2"	"2"	"3"	"2"	"0"	"1"	"0"	"2"	"3"	"1"	"1"	"0"	"2"	"265"	"0"	"265"	"0"
"38"	"26"	"26"	"49"	"264"	"14"	"10"	"209"	"15"	"2"	"3"	"5"	"3"	"11"	"12"	"6"	"5"	"6"	"11"	"5"	"1"	"5"	"2"	"4"	"642"	"0"	"642"	"0"
"39"	"27"	"27"	"14"	"130"	"10"	"2"	"228"	"2"	"0"	"0"	"3"	"2"	"10"	"3"	"1"	"5"	"2"	"10"	"2"	"1"	"0"	"0"	"2"	"427"	"0"	"427"	"0"
"40"	"28"	"28"	"78"	"26"	"43"	"3"	"136"	"4"	"1"	"1"	"4"	"2"	"4"	"0"	"4"	"0"	"1"	"7"	"2"	"41"	"1"	"0"	"2"	"360"	"0"	"360"	"0"
"41"	"29"	"29"	"38"	"21"	"10"	"9"	"251"	"8"	"2"	"0"	"3"	"2"	"3"	"8"	"0"	"2"	"1"	"4"	"2"	"1"	"0"	"4"	"3"	"372"	"0"	"372"	"0"
"42"	"30"	"30"	"17"	"30"	"15"	"6"	"198"	"2"	"0"	"0"	"1"	"0"	"2"	"11"	"2"	"6"	"1"	"15"	"1"	"0"	"0"	"0"	"8"	"315"	"0"	"315"	"0"
"43"	"31"	"31"	"5"	"104"	"16"	"1"	"107"	"4"	"2"	"0"	"1"	"0"	"5"	"4"	"3"	"0"	"3"	"6"	"1"	"4"	"1"	"0"	"2"	"269"	"0"	"269"	"0"
"44"	"32"	"32"	"10"	"263"	"8"	"1"	"124"	"3"	"1"	"0"	"0"	"1"	"2"	"1"	"2"	"0"	"1"	"3"	"6"	"1"	"0"	"0"	"2"	"429"	"0"	"429"	"0"
"45"	"33"	"33"	"13"	"145"	"51"	"0"	"95"	"3"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"0"	"2"	"2"	"2"	"2"	"2"	"1"	"0"	"324"	"0"	"324"	"0"
"46"	"34"	"34"	"26"	"124"	"44"	"0"	"165"	"3"	"1"	"4"	"2"	"1"	"3"	"3"	"5"	"1"	"4"	"13"	"7"	"1"	"1"	"2"	"10"	"420"	"0"	"420"	"0"
"47"	"35"	"35"	"4"	"31"	"16"	"0"	"67"	"4"	"0"	"2"	"1"	"1"	"3"	"5"	"1"	"3"	"3"	"7"	"4"	"3"	"2"	"1"	"8"	"166"	"0"	"166"	"0"
"48"	"36"	"36"	"33"	"31"	"22"	"9"	"331"	"9"	"4"	"3"	"1"	"6"	"5"	"11"	"4"	"7"	"5"	"13"	"6"	"4"	"3"	"5"	"15"	"527"	"0"	"527"	"0"
"49"	"37"	"37"	"18"	"166"	"9"	"6"	"277"	"3"	"1"	"3"	"2"	"2"	"2"	"9"	"9"	"3"	"1"	"4"	"5"	"4"	"5"	"0"	"9"	"538"	"0"	"538"	"0"
"50"	"38"	"38"	"50"	"212"	"10"	"6"	"224"	"8"	"0"	"3"	"1"	"6"	"5"	"9"	"6"	"1"	"3"	"12"	"8"	"5"	"0"	"0"	"0"	"569"	"0"	"569"	"0"
"51"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"52"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"53"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"54"	"39"	"39"	"9"	"138"	"14"	"2"	"147"	"8"	"3"	"6"	"1"	"1"	"6"	"6"	"7"	"4"	"7"	"7"	"3"	"2"	"0"	"1"	"9"	"381"	"0"	"381"	"0"
"55"	"40"	"40"	"13"	"79"	"13"	"7"	"163"	"4"	"0"	"3"	"2"	"5"	"1"	"0"	"0"	"2"	"0"	"4"	"2"	"4"	"1"	"0"	"1"	"304"	"0"	"304"	"0"
"56"	"41"	"41"	"10"	"183"	"21"	"6"	"38"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"4"	"0"	"1"	"15"	"13"	"30"	"3"	"0"	"10"	"340"	"0"	"340"	"0"
"57"	"42"	"42"	"35"	"140"	"6"	"4"	"60"	"5"	"0"	"2"	"2"	"1"	"5"	"1"	"2"	"2"	"1"	"16"	"15"	"82"	"5"	"7"	"17"	"408"	"0"	"408"	"0"
"58"	"43"	"43"	"4"	"60"	"0"	"0"	"25"	"0"	"4"	"1"	"1"	"0"	"2"	"2"	"0"	"0"	"3"	"10"	"0"	"30"	"0"	"0"	"1"	"143"	"0"	"143"	"0"
"59"	"44"	"44"	"12"	"45"	"3"	"0"	"19"	"0"	"4"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"12"	"0"	"20"	"1"	"2"	"2"	"125"	"0"	"125"	"0"
"60"	"45"	"45"	"18"	"47"	"50"	"5"	"231"	"7"	"1"	"2"	"1"	"4"	"4"	"12"	"7"	"5"	"9"	"29"	"5"	"3"	"2"	"3"	"9"	"454"	"0"	"454"	"0"
"61"	"46"	"46"	"25"	"13"	"21"	"5"	"256"	"4"	"0"	"0"	"1"	"5"	"2"	"2"	"2"	"5"	"3"	"4"	"8"	"1"	"2"	"0"	"0"	"359"	"0"	"359"	"0"
"62"	"47"	"47"	"13"	"19"	"17"	"4"	"348"	"4"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"4"	"3"	"0"	"0"	"0"	"2"	"418"	"0"	"418"	"0"
"63"	"48"	"48"	"26"	"113"	"37"	"10"	"103"	"5"	"2"	"0"	"1"	"1"	"3"	"1"	"3"	"3"	"2"	"10"	"5"	"1"	"0"	"0"	"1"	"327"	"0"	"327"	"0"
"64"	"49"	"49"	"43"	"113"	"17"	"3"	"228"	"3"	"1"	"1"	"2"	"4"	"6"	"4"	"4"	"5"	"9"	"11"	"4"	"2"	"0"	"2"	"5"	"467"	"0"	"467"	"0"
"65"	"50"	"50"	"5"	"12"	"80"	"1"	"106"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"1"	"4"	"3"	"0"	"1"	"0"	"3"	"223"	"0"	"223"	"0"
"66"	"51"	"51"	"25"	"4"	"17"	"2"	"360"	"5"	"1"	"1"	"2"	"1"	"1"	"2"	"0"	"1"	"3"	"15"	"0"	"0"	"0"	"0"	"5"	"445"	"0"	"445"	"0"
"67"	"52"	"52"	"107"	"14"	"5"	"41"	"146"	"2"	"0"	"7"	"8"	"2"	"1"	"0"	"2"	"1"	"1"	"11"	"10"	"1"	"0"	"1"	"4"	"364"	"0"	"364"	"0"
"68"	"53"	"53"	"174"	"30"	"6"	"3"	"212"	"9"	"3"	"4"	"3"	"3"	"5"	"1"	"7"	"7"	"5"	"19"	"8"	"1"	"1"	"0"	"7"	"508"	"0"	"508"	"0"
"69"	"54"	"54"	"92"	"58"	"11"	"2"	"102"	"5"	"1"	"0"	"1"	"2"	"1"	"2"	"0"	"1"	"1"	"8"	"5"	"0"	"2"	"1"	"1"	"296"	"0"	"296"	"0"
"70"	"55"	"55"	"90"	"11"	"10"	"0"	"154"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"274"	"0"	"274"	"0"
"71"	"56"	"56"	"144"	"8"	"37"	"1"	"173"	"2"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"4"	"10"	"1"	"0"	"0"	"0"	"6"	"392"	"0"	"392"	"0"
"72"	"57"	"57"	"29"	"72"	"8"	"0"	"51"	"2"	"0"	"1"	"1"	"15"	"7"	"0"	"3"	"1"	"1"	"5"	"9"	"0"	"4"	"0"	"4"	"213"	"0"	"213"	"0"
"73"	"58"	"58"	"79"	"193"	"21"	"1"	"52"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"7"	"6"	"1"	"28"	"1"	"3"	"2"	"5"	"6"	"413"	"0"	"413"	"0"
"74"	"59"	"59"	"71"	"8"	"3"	"1"	"6"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"29"	"0"	"0"	"0"	"121"	"0"	"121"	"0"
"75"	"60"	"60"	"11"	"6"	"3"	"0"	"4"	"3"	"0"	"2"	"1"	"3"	"3"	"2"	"0"	"0"	"6"	"18"	"48"	"256"	"13"	"8"	"43"	"430"	"0"	"430"	"0"
"76"	"61"	"61"	"5"	"7"	"1"	"4"	"66"	"3"	"0"	"2"	"3"	"0"	"6"	"2"	"0"	"3"	"4"	"8"	"20"	"228"	"6"	"3"	"8"	"379"	"0"	"379"	"0"
"77"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"78"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"79"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"80"	"62"	"62"	"14"	"8"	"6"	"3"	"50"	"4"	"4"	"5"	"6"	"3"	"11"	"1"	"4"	"3"	"3"	"23"	"5"	"196"	"7"	"1"	"3"	"360"	"0"	"360"	"0"
"81"	"63"	"63"	"6"	"50"	"12"	"2"	"79"	"5"	"4"	"5"	"2"	"1"	"14"	"10"	"1"	"3"	"5"	"40"	"12"	"104"	"2"	"0"	"1"	"358"	"0"	"358"	"0"
"82"	"64"	"64"	"85"	"10"	"7"	"3"	"39"	"3"	"1"	"6"	"5"	"0"	"5"	"1"	"3"	"4"	"5"	"42"	"14"	"310"	"6"	"7"	"10"	"566"	"0"	"566"	"0"
"83"	"65"	"65"	"9"	"4"	"3"	"2"	"3"	"1"	"0"	"0"	"2"	"1"	"7"	"1"	"0"	"0"	"0"	"14"	"8"	"417"	"3"	"4"	"5"	"484"	"0"	"484"	"0"
"84"	"66"	"66"	"60"	"4"	"1"	"1"	"13"	"0"	"1"	"2"	"3"	"2"	"8"	"1"	"2"	"2"	"2"	"28"	"18"	"267"	"7"	"4"	"7"	"433"	"0"	"433"	"0"
"85"	"67"	"67"	"28"	"8"	"2"	"2"	"14"	"1"	"1"	"2"	"3"	"3"	"11"	"3"	"2"	"3"	"9"	"30"	"11"	"307"	"4"	"6"	"7"	"457"	"0"	"457"	"0"
"86"	"68"	"68"	"79"	"51"	"3"	"4"	"365"	"6"	"2"	"2"	"0"	"1"	"4"	"4"	"4"	"0"	"2"	"11"	"2"	"0"	"0"	"0"	"4"	"544"	"0"	"544"	"0"
"87"	"69"	"69"	"189"	"104"	"15"	"9"	"129"	"9"	"4"	"2"	"2"	"2"	"9"	"3"	"3"	"1"	"4"	"21"	"10"	"3"	"0"	"0"	"8"	"527"	"0"	"527"	"0"
"88"	"70"	"70"	"157"	"8"	"6"	"3"	"288"	"3"	"1"	"1"	"2"	"0"	"0"	"3"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"478"	"0"	"478"	"0"
"89"	"71"	"71"	"212"	"5"	"5"	"4"	"96"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"328"	"0"	"328"	"0"
"90"	"72"	"72"	"83"	"3"	"6"	"2"	"154"	"5"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"8"	"0"	"0"	"0"	"0"	"2"	"269"	"0"	"269"	"0"
"91"	"73"	"73"	"103"	"2"	"11"	"1"	"361"	"5"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"5"	"0"	"1"	"0"	"1"	"0"	"496"	"0"	"496"	"0"
"92"	"74"	"74"	"199"	"13"	"5"	"3"	"242"	"6"	"1"	"1"	"1"	"2"	"5"	"3"	"1"	"0"	"1"	"10"	"3"	"1"	"1"	"0"	"3"	"501"	"0"	"501"	"0"
"93"	"75"	"75"	"32"	"68"	"7"	"7"	"129"	"5"	"0"	"1"	"0"	"2"	"8"	"2"	"4"	"1"	"4"	"16"	"0"	"1"	"0"	"0"	"1"	"288"	"0"	"288"	"0"
"94"	"76"	"76"	"76"	"141"	"18"	"2"	"126"	"5"	"3"	"2"	"4"	"3"	"4"	"3"	"5"	"3"	"13"	"17"	"8"	"3"	"1"	"1"	"4"	"442"	"0"	"442"	"0"
"95"	"77"	"77"	"23"	"82"	"16"	"5"	"101"	"1"	"0"	"0"	"0"	"3"	"0"	"2"	"1"	"2"	"7"	"2"	"1"	"1"	"0"	"1"	"2"	"250"	"0"	"250"	"0"
"96"	"78"	"78"	"62"	"218"	"25"	"18"	"81"	"4"	"2"	"0"	"0"	"5"	"1"	"1"	"3"	"2"	"4"	"4"	"5"	"0"	"0"	"0"	"2"	"437"	"0"	"437"	"0"
"97"	"79"	"79"	"61"	"83"	"17"	"3"	"168"	"13"	"5"	"17"	"2"	"1"	"10"	"16"	"4"	"7"	"10"	"18"	"4"	"2"	"1"	"0"	"6"	"448"	"0"	"448"	"0"
"98"	"80"	"80"	"66"	"12"	"17"	"4"	"502"	"3"	"0"	"14"	"0"	"0"	"4"	"3"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"8"	"637"	"0"	"637"	"0"
"99"	"81"	"81"	"70"	"52"	"2"	"2"	"105"	"8"	"3"	"1"	"2"	"0"	"3"	"2"	"1"	"2"	"1"	"5"	"9"	"1"	"3"	"2"	"11"	"285"	"0"	"285"	"0"
"100"	"82"	"82"	"122"	"7"	"14"	"5"	"146"	"4"	"1"	"0"	"1"	"0"	"6"	"1"	"1"	"0"	"1"	"2"	"5"	"1"	"0"	"0"	"3"	"320"	"0"	"320"	"0"
"101"	"83"	"83"	"130"	"32"	"19"	"8"	"290"	"8"	"1"	"3"	"2"	"0"	"9"	"4"	"1"	"4"	"2"	"7"	"20"	"2"	"1"	"2"	"5"	"550"	"0"	"550"	"0"
"102"	"84"	"84"	"38"	"69"	"5"	"3"	"167"	"9"	"2"	"4"	"2"	"4"	"2"	"2"	"2"	"3"	"4"	"15"	"4"	"2"	"1"	"0"	"10"	"348"	"0"	"348"	"0"
"103"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"104"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"105"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"106"	"85"	"85"	"14"	"48"	"7"	"7"	"138"	"3"	"3"	"6"	"1"	"2"	"8"	"15"	"5"	"2"	"4"	"23"	"3"	"1"	"0"	"1"	"7"	"298"	"0"	"298"	"0"
"107"	"86"	"86"	"5"	"12"	"1"	"5"	"49"	"1"	"2"	"1"	"1"	"1"	"5"	"0"	"4"	"1"	"2"	"4"	"5"	"15"	"1"	"2"	"4"	"121"	"0"	"121"	"0"
"108"	"87"	"87"	"10"	"108"	"18"	"5"	"225"	"10"	"2"	"5"	"4"	"5"	"12"	"4"	"7"	"1"	"7"	"14"	"1"	"3"	"0"	"2"	"3"	"446"	"0"	"446"	"0"
"109"	"88"	"88"	"59"	"30"	"3"	"4"	"46"	"4"	"3"	"0"	"2"	"2"	"2"	"2"	"1"	"0"	"2"	"3"	"3"	"1"	"0"	"0"	"0"	"167"	"0"	"167"	"0"
"110"	"89"	"89"	"87"	"206"	"9"	"6"	"145"	"3"	"0"	"1"	"0"	"3"	"1"	"3"	"1"	"1"	"5"	"16"	"12"	"4"	"0"	"2"	"11"	"516"	"0"	"516"	"0"
