"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favou.r.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejecte.d.votes"	"Total"	"No..of.Tendered.votes"
"16"	"12"	"12"	"106"	"201"	"12"	"158"	"15"	"9"	"6"	"6"	"6"	"5"	"4"	"19"	"547"	"0"	"547"	""
"17"	"13"	"13"	"163"	"16"	"8"	"107"	"10"	"10"	"73"	"2"	"4"	"2"	"6"	"13"	"414"	"0"	"414"	""
"18"	"14"	"14"	"16"	"10"	"1"	"26"	"2"	"4"	"85"	"2"	"0"	"1"	"4"	"2"	"153"	"0"	"153"	""
"19"	"15"	"15"	"22"	"35"	"7"	"170"	"17"	"3"	"101"	"1"	"3"	"5"	"2"	"7"	"373"	"0"	"373"	""
"20"	"16"	"16"	"61"	"17"	"63"	"183"	"16"	"4"	"114"	"2"	"3"	"1"	"2"	"8"	"474"	"0"	"474"	""
"21"	"17"	"17"	"111"	"15"	"12"	"145"	"19"	"4"	"88"	"3"	"6"	"3"	"3"	"11"	"420"	"0"	"420"	""
"22"	"18"	"18"	"85"	"57"	"52"	"119"	"5"	"6"	"61"	"1"	"4"	"3"	"4"	"11"	"408"	"0"	"408"	""
"23"	"19"	"19"	"254"	"76"	"2"	"62"	"4"	"4"	"102"	"3"	"5"	"4"	"5"	"22"	"543"	"0"	"543"	""
"24"	"20"	"20"	"40"	"13"	"6"	"150"	"19"	"7"	"28"	"1"	"3"	"3"	"2"	"9"	"281"	"0"	"281"	""
"25"	"21"	"21"	"184"	"68"	"9"	"103"	"8"	"4"	"31"	"2"	"2"	"0"	"2"	"1"	"414"	"0"	"414"	""
"26"	"22"	"22"	"29"	"70"	"2"	"22"	"5"	"7"	"86"	"0"	"0"	"0"	"1"	"3"	"225"	"0"	"225"	""
"27"	"23"	"23"	"71"	"80"	"9"	"277"	"38"	"20"	"70"	"7"	"10"	"6"	"3"	"20"	"611"	"0"	"611"	""
"28"	"24"	"24"	"68"	"18"	"5"	"86"	"0"	"4"	"207"	"1"	"0"	"2"	"5"	"4"	"400"	"0"	"400"	""
"29"	"25"	"25"	"82"	"29"	"10"	"133"	"9"	"4"	"164"	"7"	"2"	"3"	"2"	"5"	"450"	"0"	"450"	""
"30"	"26"	"26"	"127"	"41"	"0"	"15"	"2"	"1"	"130"	"1"	"1"	"0"	"0"	"5"	"323"	"0"	"323"	""
"31"	"27"	"27"	"175"	"35"	"3"	"65"	"11"	"1"	"113"	"2"	"2"	"0"	"0"	"24"	"431"	"0"	"431"	""
"32"	"28"	"28"	"13"	"25"	"2"	"108"	"3"	"3"	"135"	"3"	"0"	"1"	"2"	"0"	"295"	"0"	"295"	""
"33"	"29"	"29"	"70"	"7"	"3"	"46"	"3"	"8"	"345"	"5"	"2"	"4"	"4"	"21"	"518"	"0"	"518"	""
"34"	"30"	"30"	"84"	"5"	"2"	"255"	"29"	"7"	"23"	"0"	"2"	"0"	"2"	"4"	"413"	"0"	"413"	""
"35"	"31"	"31"	"114"	"6"	"11"	"133"	"12"	"5"	"4"	"0"	"6"	"2"	"0"	"7"	"300"	"0"	"300"	""
"36"	"32"	"32"	"129"	"26"	"12"	"322"	"23"	"6"	"7"	"1"	"7"	"2"	"4"	"14"	"553"	"0"	"553"	""
"37"	"33"	"33"	"61"	"11"	"3"	"282"	"6"	"2"	"15"	"0"	"1"	"1"	"2"	"6"	"390"	"0"	"390"	""
"38"	"34"	"34"	"132"	"12"	"2"	"55"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"5"	"211"	"0"	"211"	""
"39"	"35"	"35"	"125"	"17"	"27"	"167"	"11"	"4"	"2"	"1"	"1"	"1"	"0"	"6"	"362"	"0"	"362"	""
"40"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendered votes"
"41"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"42"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"43"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"44"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"45"	"36"	"36"	"36"	"12"	"6"	"104"	"3"	"4"	"185"	"2"	"1"	"1"	"0"	"2"	"356"	"0"	"356"	""
"46"	"37"	"37"	"67"	"36"	"44"	"94"	"15"	"3"	"11"	"3"	"1"	"4"	"5"	"17"	"300"	"0"	"300"	""
"47"	"38"	"38"	"89"	"175"	"18"	"269"	"15"	"17"	"8"	"6"	"6"	"5"	"4"	"23"	"635"	"0"	"635"	""
"48"	"39"	"39"	"55"	"10"	"10"	"376"	"13"	"14"	"3"	"0"	"1"	"1"	"0"	"1"	"484"	"0"	"484"	""
"49"	"40"	"40"	"123"	"70"	"13"	"155"	"26"	"6"	"13"	"4"	"9"	"1"	"4"	"15"	"439"	"0"	"439"	""
"50"	"41"	"41"	"38"	"56"	"6"	"321"	"18"	"4"	"4"	"1"	"3"	"3"	"1"	"6"	"461"	"0"	"461"	""
"51"	"42"	"42"	"120"	"48"	"5"	"133"	"10"	"6"	"49"	"0"	"1"	"0"	"1"	"7"	"380"	"0"	"380"	""
"52"	"43"	"43"	"49"	"61"	"17"	"323"	"35"	"13"	"9"	"4"	"11"	"1"	"3"	"11"	"537"	"0"	"537"	""
"53"	"44"	"44"	"209"	"32"	"14"	"194"	"19"	"4"	"5"	"2"	"6"	"2"	"2"	"4"	"493"	"0"	"493"	""
"54"	"45"	"45"	"47"	"42"	"9"	"258"	"16"	"2"	"2"	"1"	"2"	"0"	"0"	"8"	"387"	"0"	"387"	""
"55"	"46"	"46"	"173"	"172"	"36"	"157"	"20"	"5"	"5"	"2"	"8"	"2"	"2"	"4"	"586"	"0"	"586"	""
"56"	"47"	"47"	"317"	"103"	"10"	"77"	"23"	"17"	"28"	"6"	"5"	"1"	"7"	"17"	"611"	"0"	"611"	""
"57"	"48"	"48"	"103"	"165"	"12"	"107"	"23"	"6"	"1"	"2"	"1"	"3"	"0"	"5"	"428"	"0"	"428"	""
"58"	"49"	"49"	"69"	"55"	"7"	"62"	"3"	"9"	"2"	"5"	"0"	"0"	"1"	"5"	"218"	"0"	"218"	""
"59"	"50"	"50"	"39"	"52"	"3"	"225"	"81"	"12"	"4"	"2"	"1"	"2"	"6"	"15"	"442"	"0"	"442"	""
"60"	"51"	"51"	"83"	"28"	"5"	"228"	"13"	"7"	"19"	"1"	"2"	"3"	"6"	"9"	"404"	"0"	"404"	""
"61"	"52"	"52"	"46"	"28"	"7"	"223"	"18"	"8"	"3"	"2"	"15"	"4"	"2"	"4"	"360"	"0"	"360"	""
"62"	"53"	"53"	"23"	"36"	"18"	"385"	"25"	"8"	"11"	"0"	"5"	"5"	"5"	"31"	"552"	"0"	"552"	""
"63"	"54"	"54"	"50"	"139"	"53"	"267"	"32"	"18"	"4"	"3"	"7"	"4"	"0"	"2"	"579"	"0"	"579"	""
"64"	"55"	"55"	"7"	"17"	"4"	"199"	"12"	"6"	"2"	"1"	"2"	"4"	"2"	"12"	"268"	"0"	"268"	""
"65"	"56"	"56"	"38"	"81"	"5"	"142"	"7"	"2"	"8"	"0"	"3"	"0"	"1"	"2"	"289"	"0"	"289"	""
"66"	"57"	"57"	"128"	"10"	"3"	"241"	"10"	"5"	"10"	"0"	"4"	"1"	"1"	"6"	"419"	"0"	"419"	""
"67"	"58"	"58"	"28"	"20"	"2"	"368"	"14"	"2"	"1"	"0"	"3"	"1"	"0"	"8"	"447"	"0"	"447"	""
"68"	"59"	"59"	"52"	"3"	"3"	"180"	"7"	"1"	"1"	"2"	"3"	"0"	"4"	"7"	"263"	"0"	"263"	""
"69"	"60"	"60"	"202"	"7"	"5"	"85"	"10"	"4"	"4"	"1"	"2"	"1"	"3"	"12"	"336"	"0"	"336"	""
"70"	"61"	"61"	"49"	"61"	"5"	"119"	"9"	"2"	"2"	"2"	"1"	"4"	"3"	"2"	"259"	"0"	"259"	""
"71"	"62"	"62"	"86"	"69"	"9"	"138"	"17"	"5"	"2"	"1"	"2"	"0"	"2"	"4"	"335"	"0"	"335"	""
"72"	"63"	"63"	"438"	"14"	"1"	"23"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"480"	"0"	"480"	""
"73"	"64"	"64"	"397"	"3"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"426"	"0"	"426"	""
"74"	"65"	"65"	"68"	"52"	"7"	"167"	"24"	"5"	"4"	"3"	"11"	"1"	"5"	"15"	"362"	"0"	"362"	""
"75"	"66"	"66"	"33"	"75"	"45"	"253"	"26"	"12"	"4"	"0"	"1"	"2"	"0"	"2"	"453"	"0"	"453"	""
"76"	"67"	"67"	"84"	"93"	"23"	"196"	"18"	"11"	"3"	"7"	"4"	"4"	"4"	"12"	"459"	"0"	"459"	""
"77"	"68"	"68"	"22"	"22"	"5"	"227"	"12"	"5"	"4"	"2"	"2"	"1"	"3"	"4"	"309"	"0"	"309"	""
"78"	"69"	"69"	"75"	"59"	"2"	"193"	"9"	"4"	"1"	"2"	"7"	"1"	"1"	"5"	"359"	"0"	"359"	""
"79"	"70"	"70"	"75"	"89"	"3"	"32"	"3"	"3"	"14"	"0"	"3"	"0"	"0"	"7"	"229"	"0"	"229"	""
"80"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendered votes"
"81"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"82"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"83"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"84"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"85"	"71"	"71"	"68"	"16"	"0"	"23"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"1"	"113"	"0"	"113"	""
"86"	"72"	"72"	"223"	"23"	"16"	"359"	"18"	"9"	"1"	"2"	"5"	"3"	"3"	"13"	"675"	"0"	"675"	""
"87"	"73"	"73"	"136"	"52"	"26"	"285"	"13"	"6"	"4"	"0"	"3"	"1"	"4"	"2"	"532"	"0"	"532"	""
"88"	"74"	"74"	"74"	"32"	"49"	"270"	"11"	"4"	"2"	"0"	"4"	"2"	"0"	"10"	"458"	"0"	"458"	""
"89"	"75"	"75"	"146"	"35"	"9"	"187"	"11"	"1"	"2"	"0"	"2"	"1"	"1"	"3"	"398"	"0"	"398"	""
"90"	"76"	"76"	"65"	"42"	"28"	"120"	"20"	"6"	"16"	"2"	"1"	"0"	"6"	"16"	"322"	"0"	"322"	""
"91"	"77"	"77"	"155"	"63"	"40"	"79"	"14"	"4"	"4"	"2"	"2"	"2"	"2"	"5"	"372"	"0"	"372"	""
"92"	"78"	"78"	"11"	"20"	"7"	"357"	"13"	"3"	"2"	"1"	"2"	"1"	"1"	"13"	"431"	"0"	"431"	""
"93"	"79"	"79"	"58"	"5"	"5"	"104"	"5"	"4"	"5"	"2"	"2"	"3"	"3"	"7"	"203"	"0"	"203"	""
"94"	"80"	"80"	"327"	"5"	"5"	"5"	"0"	"0"	"28"	"0"	"0"	"0"	"1"	"0"	"371"	"0"	"371"	""
"95"	"81"	"81"	"147"	"17"	"1"	"80"	"5"	"2"	"0"	"2"	"4"	"3"	"5"	"28"	"294"	"0"	"294"	""
"96"	"82"	"82"	"118"	"11"	"5"	"130"	"5"	"4"	"1"	"1"	"2"	"1"	"2"	"8"	"288"	"0"	"288"	""
"97"	"83"	"83"	"68"	"64"	"44"	"126"	"9"	"3"	"2"	"1"	"4"	"5"	"5"	"9"	"340"	"0"	"340"	""
"98"	"84"	"84"	"32"	"92"	"21"	"174"	"7"	"1"	"0"	"0"	"1"	"1"	"1"	"3"	"333"	"0"	"333"	""
"99"	"85"	"85"	"54"	"110"	"3"	"115"	"10"	"2"	"1"	"0"	"1"	"2"	"0"	"6"	"304"	"0"	"304"	""
"100"	"86"	"86"	"42"	"45"	"2"	"194"	"8"	"2"	"44"	"0"	"0"	"0"	"0"	"3"	"340"	"0"	"340"	""
"101"	"87"	"87"	"17"	"42"	"5"	"121"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"190"	"0"	"190"	""
"102"	"88"	"88"	"18"	"19"	"4"	"204"	"3"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"253"	"0"	"253"	""
"103"	"89"	"89"	"28"	"203"	"16"	"84"	"17"	"4"	"3"	"1"	"2"	"5"	"4"	"3"	"370"	"0"	"370"	""
"104"	"90"	"90"	"86"	"40"	"2"	"76"	"1"	"2"	"0"	"1"	"8"	"1"	"5"	"7"	"229"	"0"	"229"	""
"105"	"91"	"91"	"35"	"37"	"4"	"171"	"5"	"5"	"1"	"0"	"6"	"2"	"1"	"3"	"270"	"0"	"270"	""
"106"	"92"	"92"	"27"	"28"	"28"	"123"	"7"	"2"	"33"	"3"	"2"	"2"	"2"	"9"	"266"	"0"	"266"	""
"107"	"93"	"93"	"76"	"85"	"2"	"157"	"6"	"2"	"0"	"0"	"3"	"1"	"0"	"2"	"334"	"0"	"334"	""
"108"	"94"	"94"	"93"	"145"	"8"	"59"	"19"	"8"	"2"	"2"	"2"	"3"	"4"	"14"	"359"	"0"	"359"	""
"109"	"95"	"95"	"19"	"82"	"8"	"76"	"6"	"1"	"3"	"1"	"2"	"1"	"1"	"10"	"210"	"0"	"210"	""
"110"	"96"	"96"	"68"	"5"	"5"	"163"	"17"	"1"	"4"	"0"	"8"	"0"	"3"	"7"	"281"	"0"	"281"	""
"111"	"97"	"97"	"418"	"5"	"2"	"82"	"4"	"3"	"2"	"0"	"3"	"1"	"1"	"5"	"526"	"0"	"526"	""
"112"	"98"	"98"	"42"	"21"	"4"	"218"	"14"	"2"	"1"	"1"	"5"	"1"	"0"	"7"	"316"	"0"	"316"	""
"113"	"99"	"99"	"33"	"82"	"7"	"177"	"14"	"7"	"1"	"0"	"3"	"5"	"3"	"8"	"340"	"0"	"340"	""
"114"	"100"	"100"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"115"	"101"	"101"	"22"	"59"	"14"	"109"	"9"	"4"	"0"	"0"	"0"	"0"	"2"	"4"	"223"	"0"	"223"	""
"116"	"102"	"102"	"88"	"95"	"26"	"153"	"11"	"5"	"1"	"1"	"3"	"2"	"7"	"9"	"401"	"0"	"401"	""
"117"	"103"	"103"	"67"	"29"	"7"	"224"	"26"	"4"	"3"	"3"	"7"	"5"	"2"	"10"	"387"	"0"	"387"	""
"118"	"104"	"104"	"120"	"46"	"1"	"80"	"4"	"0"	"3"	"1"	"0"	"1"	"0"	"3"	"259"	"0"	"259"	""
"119"	"105"	"105"	"139"	"51"	"8"	"116"	"9"	"4"	"6"	"1"	"3"	"2"	"0"	"8"	"347"	"0"	"347"	""
"120"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendered votes"
"121"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"122"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"123"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"124"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"125"	"106"	"106"	"91"	"31"	"2"	"117"	"7"	"1"	"2"	"0"	"3"	"2"	"0"	"7"	"263"	"0"	"263"	""
"126"	"107"	"107"	"103"	"58"	"5"	"113"	"15"	"2"	"0"	"1"	"6"	"0"	"2"	"4"	"309"	"0"	"309"	""
"127"	"108"	"108"	"114"	"263"	"28"	"73"	"24"	"11"	"1"	"4"	"8"	"2"	"7"	"15"	"550"	"0"	"550"	""
"128"	"109"	"109"	"6"	"61"	"0"	"201"	"8"	"2"	"1"	"2"	"0"	"1"	"5"	"6"	"293"	"0"	"293"	""
"129"	"110"	"110"	"62"	"113"	"9"	"204"	"22"	"13"	"7"	"4"	"3"	"2"	"4"	"5"	"448"	"0"	"448"	""
"130"	"111"	"111"	"32"	"26"	"3"	"160"	"5"	"3"	"1"	"1"	"3"	"3"	"0"	"9"	"246"	"0"	"246"	""
"131"	"112"	"112"	"28"	"11"	"21"	"88"	"9"	"5"	"5"	"0"	"4"	"1"	"1"	"6"	"179"	"0"	"179"	""
"132"	"113"	"113"	"53"	"11"	"9"	"271"	"12"	"4"	"0"	"2"	"4"	"1"	"0"	"5"	"372"	"0"	"372"	""
"133"	"114"	"114"	"10"	"61"	"4"	"365"	"4"	"2"	"1"	"0"	"1"	"0"	"0"	"5"	"453"	"0"	"453"	""
"134"	"115"	"115"	"149"	"51"	"11"	"181"	"13"	"7"	"2"	"0"	"1"	"1"	"2"	"3"	"421"	"0"	"421"	""
"135"	"116"	"116"	"125"	"45"	"5"	"200"	"11"	"6"	"0"	"0"	"4"	"4"	"1"	"4"	"405"	"0"	"405"	""
"136"	"117"	"117"	"133"	"2"	"0"	"47"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"188"	"0"	"188"	""
"137"	"118"	"118"	"161"	"76"	"10"	"201"	"8"	"2"	"1"	"0"	"1"	"3"	"3"	"6"	"472"	"0"	"472"	""
"138"	"119"	"119"	"376"	"16"	"16"	"92"	"6"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"511"	"0"	"511"	""
"139"	"120"	"120"	"69"	"22"	"19"	"296"	"10"	"8"	"1"	"0"	"1"	"0"	"1"	"3"	"430"	"0"	"430"	""
"140"	"121"	"121"	"113"	"10"	"5"	"187"	"17"	"8"	"4"	"4"	"2"	"3"	"8"	"19"	"380"	"0"	"380"	""
"141"	"122"	"122"	"38"	"25"	"0"	"127"	"7"	"4"	"1"	"0"	"0"	"1"	"1"	"1"	"205"	"0"	"205"	""
"142"	"123"	"123"	"131"	"22"	"5"	"156"	"9"	"4"	"4"	"2"	"3"	"1"	"1"	"12"	"350"	"0"	"350"	""
"143"	"124"	"124"	"41"	"50"	"0"	"150"	"7"	"0"	"0"	"0"	"4"	"1"	"0"	"4"	"257"	"0"	"257"	""
"144"	"125"	"125"	"205"	"6"	"0"	"91"	"2"	"0"	"1"	"1"	"3"	"0"	"0"	"2"	"311"	"0"	"311"	""
"145"	"126"	"126"	"452"	"1"	"10"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"476"	"0"	"476"	""
"146"	"127"	"127"	"423"	"60"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"486"	"0"	"486"	""
"147"	"128"	"128"	"171"	"43"	"0"	"104"	"8"	"1"	"7"	"0"	"0"	"1"	"0"	"5"	"340"	"0"	"340"	""
"148"	"129"	"129"	"104"	"28"	"8"	"130"	"5"	"0"	"1"	"0"	"1"	"1"	"0"	"5"	"283"	"0"	"283"	""
"149"	"130"	"130"	"60"	"25"	"10"	"111"	"11"	"7"	"5"	"0"	"3"	"1"	"3"	"11"	"247"	"0"	"247"	""
"150"	"131"	"131"	"90"	"94"	"9"	"188"	"11"	"10"	"1"	"0"	"2"	"2"	"1"	"6"	"414"	"0"	"414"	""
"151"	"132"	"132"	"88"	"43"	"4"	"201"	"9"	"3"	"7"	"2"	"5"	"2"	"5"	"10"	"379"	"0"	"379"	""
"152"	"133"	"133"	"27"	"17"	"3"	"183"	"12"	"3"	"0"	"1"	"5"	"0"	"2"	"4"	"257"	"0"	"257"	""
"153"	"134"	"134"	"26"	"18"	"2"	"167"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"224"	"0"	"224"	""
"154"	"135"	"135"	"95"	"56"	"8"	"207"	"13"	"6"	"1"	"0"	"4"	"0"	"1"	"0"	"391"	"0"	"391"	""
"155"	"136"	"136"	"64"	"24"	"1"	"108"	"9"	"1"	"0"	"1"	"1"	"1"	"1"	"6"	"217"	"0"	"217"	""
"156"	"137"	"137"	"51"	"34"	"3"	"266"	"13"	"1"	"1"	"0"	"3"	"2"	"0"	"4"	"378"	"0"	"378"	""
"157"	"138"	"138"	"66"	"29"	"3"	"185"	"5"	"3"	"1"	"3"	"3"	"0"	"0"	"3"	"301"	"0"	"301"	""
"158"	"139"	"139"	"91"	"34"	"4"	"399"	"7"	"8"	"0"	"1"	"2"	"1"	"0"	"2"	"549"	"0"	"549"	""
"159"	"140"	"140"	"98"	"33"	"2"	"381"	"13"	"5"	"0"	"0"	"1"	"0"	"1"	"0"	"534"	"0"	"534"	""
"160"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendered votes"
"161"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"162"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"163"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"164"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"165"	"141"	"141"	"63"	"22"	"3"	"274"	"7"	"2"	"1"	"3"	"1"	"0"	"2"	"4"	"382"	"0"	"382"	""
"166"	"142"	"142"	"159"	"57"	"5"	"248"	"6"	"6"	"3"	"3"	"2"	"1"	"4"	"13"	"507"	"0"	"507"	""
"167"	"143"	"143"	"13"	"90"	"9"	"275"	"18"	"5"	"2"	"1"	"7"	"2"	"2"	"13"	"437"	"0"	"437"	""
"168"	"144"	"144"	"288"	"43"	"17"	"125"	"15"	"2"	"5"	"1"	"5"	"1"	"2"	"22"	"526"	"0"	"526"	""
"169"	"145"	"145"	"255"	"36"	"2"	"67"	"4"	"5"	"69"	"5"	"0"	"1"	"3"	"3"	"450"	"0"	"450"	""
"170"	"146"	"146"	"122"	"30"	"0"	"141"	"13"	"3"	"2"	"1"	"4"	"0"	"0"	"9"	"325"	"0"	"325"	""
"171"	"147"	"147"	"231"	"86"	"6"	"202"	"38"	"7"	"9"	"6"	"5"	"5"	"3"	"16"	"614"	"0"	"614"	""
"172"	"148"	"148"	"171"	"21"	"2"	"193"	"10"	"9"	"0"	"3"	"1"	"0"	"2"	"3"	"415"	"0"	"415"	""
"173"	"149"	"149"	"24"	"8"	"2"	"296"	"11"	"2"	"27"	"2"	"7"	"2"	"1"	"8"	"390"	"0"	"390"	""
"174"	"150"	"150"	"36"	"12"	"7"	"254"	"20"	"7"	"15"	"4"	"7"	"2"	"6"	"26"	"396"	"0"	"396"	""
"175"	"151"	"151"	"5"	"37"	"10"	"228"	"13"	"3"	"10"	"1"	"4"	"2"	"0"	"7"	"320"	"0"	"320"	""
"176"	"152"	"152"	"19"	"6"	"1"	"206"	"6"	"3"	"41"	"4"	"3"	"2"	"0"	"2"	"293"	"0"	"293"	""
"177"	"153"	"153"	"176"	"78"	"1"	"48"	"4"	"8"	"48"	"3"	"6"	"1"	"1"	"4"	"378"	"0"	"378"	""
