"TOTAL.NO.OF.ELECTORS.IN.94.MUZAFFARPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X271354"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"25"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"26"	"23"	""	"110"	"53"	"86"	""	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"7"	"2"	"0"	"7"	"1"	"41"	"0"	"0"	"0"	"0"	"314"	""	""	""
"27"	"24"	""	"215"	"20"	"134"	""	"5"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"4"	"19"	"0"	"30"	"1"	"0"	"0"	"3"	"440"	""	""	""
"28"	"25"	""	"25"	"48"	"208"	""	"6"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"2"	"6"	"0"	"0"	"3"	"2"	"119"	"1"	"0"	"0"	"0"	"425"	""	""	""
"29"	"26"	""	"74"	"9"	"55"	""	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"20"	"0"	"11"	"0"	"0"	"0"	"0"	"174"	""	""	""
"30"	"27"	""	"222"	"98"	"150"	""	"1"	"2"	"1"	"0"	"1"	"0"	"4"	"0"	"0"	"1"	"3"	"3"	"0"	"4"	"18"	"3"	"51"	"0"	"0"	"1"	"1"	"564"	""	""	""
"31"	"28"	""	"110"	"6"	"72"	""	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"23"	"1"	"22"	"0"	"0"	"0"	"0"	"244"	""	""	""
"32"	"29"	""	"117"	"12"	"81"	""	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"20"	"0"	"25"	"1"	"0"	"0"	"1"	"259"	""	""	""
"33"	"30"	""	"108"	"18"	"70"	""	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"19"	"1"	"7"	"0"	"0"	"1"	"0"	"227"	""	""	""
"34"	"31"	""	"136"	"62"	"169"	""	"4"	"1"	"1"	"0"	"0"	"0"	"3"	"0"	"6"	"0"	"1"	"4"	"3"	"2"	"30"	"0"	"32"	"1"	"0"	"0"	"1"	"456"	""	""	""
"35"	"32"	""	"123"	"119"	"149"	""	"3"	"0"	"1"	"3"	"1"	"4"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"5"	"13"	"3"	"17"	"1"	"0"	"0"	"1"	"451"	""	""	""
"36"	"33"	""	"95"	"67"	"213"	""	"7"	"2"	"1"	"2"	"0"	"3"	"6"	"3"	"1"	"5"	"6"	"5"	"7"	"0"	"9"	"0"	"39"	"1"	"1"	"1"	"0"	"474"	""	""	""
"37"	"34"	""	"354"	"93"	"97"	""	"3"	"2"	"2"	"0"	"0"	"1"	"4"	"1"	"0"	"0"	"5"	"4"	"1"	"4"	"9"	"1"	"25"	"0"	"0"	"1"	"1"	"608"	""	""	""
"38"	"35"	""	"232"	"63"	"80"	""	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"2"	"2"	"7"	"3"	"26"	"1"	"0"	"0"	"1"	"425"	""	""	""
"39"	"36"	""	"193"	"77"	"174"	""	"5"	"2"	"2"	"1"	"5"	"2"	"0"	"2"	"5"	"4"	"10"	"10"	"7"	"1"	"4"	"0"	"25"	"0"	"0"	"0"	"1"	"530"	""	""	""
"40"	"37"	""	"83"	"22"	"56"	""	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"13"	"0"	"2"	"0"	"0"	"0"	"0"	"182"	""	""	""
"41"	"38"	""	"111"	"74"	"93"	""	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"3"	"0"	"1"	"2"	"0"	"1"	"2"	"0"	"33"	"0"	"1"	"1"	"0"	"326"	""	""	""
"42"	"39"	""	"89"	"50"	"90"	""	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"1"	"0"	"2"	"0"	"8"	"4"	"3"	"0"	"31"	"0"	"1"	"0"	"2"	"287"	""	""	""
"43"	"40"	""	"19"	"53"	"65"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"2"	"1"	"30"	"0"	"0"	"0"	"0"	"173"	""	""	""
"44"	"41"	""	"116"	"50"	"40"	""	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"11"	"0"	"20"	"1"	"0"	"1"	"1"	"244"	""	""	""
"45"	"42"	""	"224"	"136"	"79"	""	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"2"	"5"	"3"	"2"	"12"	"0"	"28"	"0"	"1"	"0"	"0"	"497"	""	""	""
"46"	"43"	""	"127"	"19"	"78"	""	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"232"	""	""	""
"47"	"44"	""	"195"	"27"	"118"	""	"5"	"0"	"2"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"5"	"25"	"3"	"2"	"7"	"1"	"80"	"2"	"1"	"2"	"4"	"484"	""	""	""
"48"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"50"	"45"	""	"84"	"17"	"32"	""	"3"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"17"	"4"	"4"	"2"	"3"	"137"	"2"	"0"	"1"	"1"	"311"	""	""	""
"51"	"46"	""	"100"	"27"	"158"	""	"0"	"2"	"0"	"1"	"1"	"0"	"2"	"0"	"2"	"2"	"2"	"12"	"0"	"0"	"5"	"1"	"89"	"1"	"0"	"2"	"0"	"407"	""	""	""
"52"	"47"	""	"257"	"8"	"41"	""	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"2"	"3"	"14"	"1"	"52"	"2"	"0"	"0"	"1"	"391"	""	""	""
"53"	"48"	""	"163"	"24"	"146"	""	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"0"	"0"	"3"	"3"	"2"	"0"	"21"	"2"	"19"	"1"	"0"	"1"	"0"	"394"	""	""	""
"54"	"49"	""	"438"	"76"	"42"	""	"3"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"4"	"10"	"4"	"0"	"4"	"0"	"60"	"0"	"1"	"2"	"2"	"651"	""	""	""
"55"	"50"	""	"179"	"20"	"9"	""	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"14"	"0"	"0"	"0"	"0"	"225"	""	""	""
"56"	"51"	""	"267"	"12"	"19"	""	"3"	"0"	"2"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"11"	"5"	"11"	"19"	"0"	"82"	"2"	"4"	"2"	"5"	"451"	""	""	""
"57"	"52"	""	"382"	"15"	"41"	""	"1"	"1"	"0"	"0"	"2"	"5"	"1"	"0"	"0"	"0"	"2"	"2"	"4"	"2"	"6"	"0"	"18"	"0"	"0"	"1"	"0"	"483"	""	""	""
"58"	"53"	""	"303"	"56"	"30"	""	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"33"	"0"	"0"	"0"	"1"	"434"	""	""	""
"59"	"54"	""	"163"	"31"	"35"	""	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"0"	"3"	"9"	"0"	"28"	"0"	"0"	"0"	"0"	"280"	""	""	""
"60"	"55"	""	"306"	"17"	"62"	""	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"2"	"7"	"9"	"4"	"5"	"3"	"1"	"28"	"0"	"2"	"2"	"1"	"454"	""	""	""
"61"	"56"	""	"255"	"2"	"67"	""	"3"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"5"	"0"	"37"	"1"	"36"	"0"	"0"	"2"	"2"	"417"	""	""	""
"62"	"57"	""	"230"	"11"	"80"	""	"4"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"4"	"9"	"2"	"62"	"0"	"0"	"2"	"3"	"419"	""	""	""
"63"	"58"	""	"293"	"30"	"63"	""	"4"	"0"	"1"	"1"	"4"	"6"	"3"	"1"	"4"	"3"	"6"	"10"	"25"	"20"	"2"	"6"	"44"	"4"	"5"	"8"	"10"	"553"	""	""	""
"64"	"59"	""	"72"	"4"	"46"	""	"13"	"1"	"0"	"0"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"6"	"2"	"8"	"0"	"0"	"0"	"0"	"160"	""	""	""
"65"	"60"	""	"272"	"30"	"28"	""	"1"	"0"	"3"	"3"	"2"	"0"	"2"	"0"	"1"	"1"	"3"	"4"	"5"	"8"	"4"	"1"	"62"	"0"	"0"	"2"	"2"	"434"	""	""	""
"66"	"61"	""	"223"	"12"	"18"	""	"0"	"4"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"6"	"1"	"40"	"1"	"4"	"4"	"1"	"321"	""	""	""
"67"	"62"	""	"151"	"7"	"42"	""	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"2"	"2"	"0"	"0"	"7"	"0"	"28"	"0"	"0"	"1"	"0"	"244"	""	""	""
"68"	"63"	""	"137"	"18"	"40"	""	"0"	"5"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"3"	"4"	"11"	"4"	"4"	"8"	"2"	"37"	"2"	"2"	"0"	"2"	"284"	""	""	""
"69"	"64"	""	"274"	"77"	"66"	""	"3"	"0"	"1"	"0"	"5"	"2"	"4"	"1"	"3"	"1"	"7"	"4"	"3"	"5"	"9"	"1"	"37"	"0"	"0"	"1"	"0"	"504"	""	""	""
"70"	"65"	""	"224"	"37"	"104"	""	"0"	"4"	"2"	"0"	"3"	"2"	"2"	"1"	"3"	"1"	"6"	"10"	"12"	"4"	"2"	"0"	"44"	"0"	"1"	"1"	"3"	"466"	""	""	""
"71"	"66"	""	"26"	"8"	"192"	""	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"7"	"0"	"10"	"0"	"0"	"0"	"0"	"248"	""	""	""
"72"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"74"	"67"	""	"68"	"16"	"100"	""	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"4"	"1"	"0"	"5"	"0"	"13"	"1"	"0"	"0"	"0"	"213"	""	""	""
"75"	"68"	""	"163"	"16"	"165"	""	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"3"	"1"	"3"	"8"	"0"	"27"	"0"	"0"	"0"	"1"	"396"	""	""	""
"76"	"69"	""	"153"	"10"	"35"	""	"1"	"0"	"2"	"0"	"0"	"3"	"0"	"0"	"2"	"0"	"2"	"3"	"1"	"4"	"14"	"0"	"84"	"1"	"0"	"1"	"0"	"316"	""	""	""
"77"	"70"	""	"160"	"14"	"35"	""	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"19"	"0"	"47"	"0"	"0"	"1"	"1"	"286"	""	""	""
"78"	"71"	""	"230"	"11"	"80"	""	"4"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"4"	"9"	"2"	"62"	"0"	"0"	"2"	"3"	"419"	""	""	""
"79"	"72"	""	"293"	"30"	"63"	""	"4"	"0"	"1"	"1"	"4"	"6"	"3"	"1"	"4"	"3"	"6"	"10"	"25"	"20"	"2"	"6"	"44"	"4"	"5"	"8"	"10"	"553"	""	""	""
"80"	"73"	""	"72"	"4"	"46"	""	"13"	"1"	"0"	"0"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"6"	"2"	"8"	"0"	"0"	"0"	"0"	"160"	""	""	""
"81"	"74"	""	"272"	"30"	"28"	""	"1"	"0"	"3"	"3"	"2"	"0"	"2"	"0"	"1"	"1"	"3"	"4"	"5"	"8"	"4"	"1"	"62"	"0"	"0"	"2"	"2"	"434"	""	""	""
"82"	"75"	""	"223"	"12"	"18"	""	"0"	"4"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"6"	"1"	"40"	"1"	"4"	"4"	"1"	"321"	""	""	""
"83"	"76"	""	"151"	"7"	"42"	""	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"2"	"2"	"0"	"0"	"7"	"0"	"28"	"0"	"0"	"1"	"0"	"244"	""	""	""
"84"	"77"	""	"137"	"18"	"40"	""	"0"	"5"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"3"	"4"	"11"	"4"	"4"	"8"	"2"	"37"	"2"	"2"	"0"	"2"	"284"	""	""	""
"85"	"78"	""	"274"	"77"	"66"	""	"3"	"0"	"1"	"0"	"5"	"2"	"4"	"1"	"3"	"1"	"7"	"4"	"3"	"5"	"9"	"1"	"37"	"0"	"0"	"1"	"0"	"504"	""	""	""
"86"	"79"	""	"224"	"37"	"104"	""	"0"	"4"	"2"	"0"	"3"	"2"	"2"	"1"	"3"	"1"	"6"	"10"	"12"	"4"	"2"	"0"	"44"	"0"	"1"	"1"	"3"	"466"	""	""	""
"87"	"80"	""	"26"	"8"	"192"	""	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"7"	"0"	"10"	"0"	"0"	"0"	"0"	"248"	""	""	""
"88"	"81"	""	"68"	"16"	"100"	""	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"4"	"1"	"0"	"5"	"0"	"13"	"1"	"0"	"0"	"0"	"213"	""	""	""
"89"	"82"	""	"163"	"16"	"165"	""	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"3"	"1"	"3"	"8"	"0"	"27"	"0"	"0"	"0"	"1"	"396"	""	""	""
"90"	"83"	""	"153"	"10"	"35"	""	"1"	"0"	"2"	"0"	"0"	"3"	"0"	"0"	"2"	"0"	"2"	"3"	"1"	"4"	"14"	"0"	"84"	"1"	"0"	"1"	"0"	"316"	""	""	""
"91"	"84"	""	"160"	"14"	"35"	""	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"19"	"0"	"47"	"0"	"0"	"1"	"1"	"286"	""	""	""
"92"	"85"	""	"230"	"11"	"80"	""	"4"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"4"	"9"	"2"	"62"	"0"	"0"	"2"	"3"	"419"	""	""	""
"93"	"86"	""	"293"	"30"	"63"	""	"4"	"0"	"1"	"1"	"4"	"6"	"3"	"1"	"4"	"3"	"6"	"10"	"25"	"20"	"2"	"6"	"44"	"4"	"5"	"8"	"10"	"553"	""	""	""
"94"	"87"	""	"72"	"4"	"46"	""	"13"	"1"	"0"	"0"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"6"	"2"	"8"	"0"	"0"	"0"	"0"	"160"	""	""	""
"95"	"88"	""	"272"	"30"	"28"	""	"1"	"0"	"3"	"3"	"2"	"0"	"2"	"0"	"1"	"1"	"3"	"4"	"5"	"8"	"4"	"1"	"62"	"0"	"0"	"2"	"2"	"434"	""	""	""
"96"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"98"	"89"	""	"223"	"12"	"18"	""	"0"	"4"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"6"	"1"	"40"	"1"	"4"	"4"	"1"	"321"	""	""	""
"99"	"90"	""	"151"	"7"	"42"	""	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"2"	"2"	"0"	"0"	"7"	"0"	"28"	"0"	"0"	"1"	"0"	"244"	""	""	""
"100"	"91"	""	"137"	"18"	"40"	""	"0"	"5"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"3"	"4"	"11"	"4"	"4"	"8"	"2"	"37"	"2"	"2"	"0"	"2"	"284"	""	""	""
