"Sl..No."	"No..of.Polli.n.g.Statio.n"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendered.votes"
"42"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"43"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"44"	"39"	"39"	"24"	"8"	"169"	"7"	"61"	"3"	"2"	"5"	"0"	"0"	"1"	"2"	"4"	"2"	"5"	"293"	"0"	"293"	""
"45"	"40"	"40"	"125"	"14"	"53"	"72"	"125"	"13"	"4"	"5"	"4"	"1"	"4"	"3"	"3"	"3"	"19"	"448"	"0"	"448"	""
"46"	"41"	"41"	"12"	"11"	"254"	"17"	"87"	"2"	"2"	"4"	"1"	"3"	"1"	"4"	"8"	"10"	"9"	"425"	"0"	"425"	""
"47"	"42"	"42"	"9"	"8"	"274"	"16"	"78"	"3"	"1"	"4"	"1"	"1"	"1"	"2"	"3"	"5"	"3"	"409"	"0"	"409"	""
"48"	"43"	"43"	"21"	"28"	"350"	"61"	"147"	"2"	"3"	"5"	"3"	"3"	"0"	"2"	"7"	"3"	"6"	"641"	"0"	"641"	""
"49"	"44"	"44"	"28"	"7"	"92"	"32"	"219"	"12"	"1"	"0"	"2"	"1"	"2"	"4"	"8"	"2"	"20"	"430"	"0"	"430"	""
"50"	"45"	"45"	"14"	"9"	"152"	"19"	"237"	"12"	"3"	"7"	"2"	"2"	"8"	"8"	"5"	"8"	"10"	"496"	"0"	"496"	""
"51"	"46"	"46"	"53"	"17"	"295"	"58"	"40"	"5"	"1"	"1"	"2"	"3"	"4"	"7"	"14"	"10"	"40"	"550"	"0"	"550"	""
"52"	"47"	"47"	"76"	"47"	"271"	"48"	"164"	"6"	"13"	"8"	"14"	"8"	"10"	"12"	"25"	"12"	"35"	"749"	"0"	"749"	""
"53"	"48"	"48"	"39"	"12"	"203"	"49"	"95"	"5"	"1"	"2"	"1"	"0"	"0"	"0"	"16"	"6"	"19"	"448"	"0"	"448"	""
"54"	"49"	"49"	"52"	"25"	"264"	"77"	"91"	"4"	"5"	"5"	"1"	"2"	"1"	"1"	"1"	"0"	"2"	"531"	"0"	"531"	""
"55"	"50"	"50"	"87"	"21"	"212"	"68"	"87"	"8"	"10"	"5"	"1"	"1"	"2"	"5"	"3"	"9"	"9"	"528"	"0"	"528"	""
"56"	"51"	"51"	"54"	"24"	"249"	"43"	"52"	"6"	"3"	"1"	"0"	"2"	"0"	"6"	"8"	"4"	"7"	"459"	"0"	"459"	""
"57"	"52"	"52"	"40"	"13"	"348"	"77"	"25"	"2"	"1"	"0"	"0"	"0"	"1"	"3"	"3"	"6"	"7"	"526"	"0"	"526"	""
"58"	"53"	"53"	"154"	"19"	"62"	"25"	"81"	"4"	"0"	"0"	"0"	"2"	"2"	"0"	"5"	"6"	"5"	"365"	"0"	"365"	""
"59"	"54"	"54"	"95"	"13"	"155"	"98"	"145"	"1"	"2"	"2"	"2"	"0"	"2"	"1"	"1"	"1"	"1"	"519"	"0"	"519"	""
"60"	"55"	"55"	"35"	"21"	"446"	"69"	"50"	"1"	"6"	"9"	"4"	"4"	"1"	"6"	"7"	"6"	"7"	"672"	"0"	"672"	""
"61"	"56"	"56"	"79"	"20"	"180"	"62"	"51"	"6"	"4"	"4"	"2"	"0"	"0"	"1"	"2"	"3"	"5"	"419"	"0"	"419"	""
"62"	"57"	"57"	"37"	"19"	"168"	"82"	"20"	"2"	"4"	"7"	"0"	"0"	"1"	"2"	"0"	"3"	"4"	"349"	"0"	"349"	""
"63"	"58"	"58"	"58"	"11"	"52"	"27"	"87"	"4"	"1"	"1"	"1"	"1"	"0"	"6"	"4"	"3"	"8"	"264"	"0"	"264"	""
"64"	"59"	"59"	"114"	"10"	"26"	"8"	"95"	"4"	"5"	"5"	"3"	"1"	"2"	"3"	"3"	"3"	"12"	"294"	"0"	"294"	""
"65"	"60"	"60"	"100"	"21"	"201"	"13"	"69"	"5"	"2"	"3"	"1"	"1"	"1"	"0"	"4"	"1"	"8"	"430"	"0"	"430"	""
"66"	"61"	"61"	"106"	"6"	"54"	"22"	"42"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"2"	"241"	"0"	"241"	""
"67"	"62"	"62"	"132"	"23"	"157"	"47"	"66"	"2"	"4"	"2"	"2"	"0"	"1"	"2"	"7"	"4"	"8"	"457"	"0"	"457"	""
"68"	"63"	"63"	"29"	"20"	"272"	"121"	"9"	"2"	"3"	"4"	"1"	"1"	"1"	"7"	"0"	"1"	"1"	"472"	"0"	"472"	""
"69"	"64"	"64"	"52"	"15"	"120"	"192"	"4"	"0"	"0"	"2"	"0"	"0"	"4"	"1"	"2"	"2"	"5"	"399"	"0"	"399"	""
"70"	"65"	"65"	"2"	"12"	"207"	"217"	"14"	"0"	"2"	"0"	"2"	"0"	"2"	"1"	"6"	"4"	"6"	"475"	"0"	"475"	""
"71"	"66"	"66"	"96"	"19"	"283"	"112"	"36"	"5"	"5"	"3"	"6"	"2"	"0"	"6"	"5"	"4"	"10"	"592"	"0"	"592"	""
"72"	"67"	"67"	"25"	"17"	"180"	"105"	"7"	"3"	"2"	"2"	"1"	"0"	"1"	"6"	"15"	"14"	"11"	"389"	"0"	"389"	""
"73"	"68"	"68"	"81"	"9"	"93"	"7"	"29"	"3"	"3"	"4"	"1"	"1"	"2"	"2"	"4"	"9"	"13"	"261"	"0"	"261"	""
"74"	"69"	"69"	"77"	"9"	"262"	"43"	"27"	"2"	"1"	"3"	"0"	"1"	"1"	"3"	"10"	"9"	"21"	"469"	"0"	"469"	""
"75"	"70"	"70"	"49"	"10"	"178"	"56"	"46"	"1"	"1"	"4"	"2"	"2"	"3"	"7"	"17"	"8"	"16"	"400"	"0"	"400"	""
"76"	"71"	"71"	"84"	"7"	"165"	"58"	"97"	"2"	"0"	"3"	"0"	"1"	"2"	"1"	"6"	"3"	"11"	"440"	"0"	"440"	""
"77"	"72"	"72"	"121"	"10"	"104"	"15"	"129"	"6"	"7"	"3"	"3"	"2"	"0"	"3"	"2"	"4"	"3"	"412"	"0"	"412"	""
"78"	"73"	"73"	"67"	"10"	"363"	"24"	"31"	"0"	"0"	"3"	"3"	"3"	"0"	"5"	"5"	"5"	"7"	"526"	"0"	"526"	""
"79"	"74"	"74"	"222"	"5"	"150"	"31"	"8"	"0"	"3"	"2"	"0"	"2"	"4"	"3"	"2"	"3"	"11"	"446"	"0"	"446"	""
"80"	"75"	"75"	"193"	"23"	"299"	"41"	"57"	"3"	"1"	"9"	"3"	"1"	"2"	"2"	"6"	"8"	"10"	"658"	"0"	"658"	""
"81"	"76"	"76"	"44"	"8"	"332"	"62"	"41"	"1"	"4"	"1"	"2"	"0"	"2"	"4"	"1"	"4"	"4"	"510"	"0"	"510"	""
"82"	"Sl.
No."	"No. of Polli n g
Statio n"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"83"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"84"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"85"	"77"	"77"	"150"	"5"	"132"	"36"	"53"	"2"	"3"	"4"	"2"	"2"	"1"	"5"	"7"	"8"	"10"	"420"	"0"	"420"	""
"86"	"78"	"78"	"18"	"21"	"151"	"19"	"117"	"4"	"1"	"3"	"4"	"1"	"4"	"5"	"10"	"8"	"12"	"378"	"0"	"378"	""
"87"	"79"	"79"	"18"	"22"	"166"	"87"	"72"	"4"	"3"	"6"	"1"	"1"	"4"	"2"	"2"	"6"	"2"	"396"	"0"	"396"	""
"88"	"80"	"80"	"42"	"20"	"220"	"38"	"90"	"9"	"7"	"3"	"1"	"3"	"3"	"6"	"15"	"6"	"22"	"485"	"0"	"485"	""
"89"	"81"	"81"	"16"	"40"	"258"	"42"	"7"	"2"	"5"	"6"	"1"	"3"	"3"	"4"	"3"	"0"	"7"	"397"	"0"	"397"	""
"90"	"82"	"82"	"5"	"13"	"161"	"69"	"21"	"1"	"1"	"1"	"0"	"0"	"0"	"3"	"4"	"2"	"3"	"284"	"0"	"284"	""
"91"	"83"	"83"	"245"	"19"	"59"	"26"	"57"	"8"	"3"	"1"	"1"	"1"	"2"	"2"	"5"	"3"	"28"	"460"	"0"	"460"	""
"92"	"84"	"84"	"65"	"18"	"212"	"30"	"132"	"7"	"3"	"3"	"4"	"2"	"2"	"6"	"6"	"2"	"3"	"495"	"0"	"495"	""
"93"	"85"	"85"	"32"	"67"	"119"	"100"	"34"	"1"	"2"	"2"	"2"	"3"	"3"	"2"	"6"	"3"	"2"	"378"	"0"	"378"	""
"94"	"86"	"86"	"53"	"54"	"119"	"36"	"9"	"2"	"3"	"1"	"2"	"5"	"3"	"2"	"4"	"3"	"12"	"308"	"0"	"308"	""
"95"	"87"	"87"	"68"	"21"	"126"	"30"	"114"	"10"	"6"	"2"	"5"	"5"	"3"	"10"	"10"	"13"	"32"	"455"	"0"	"455"	""
"96"	"88"	"88"	"44"	"27"	"178"	"29"	"73"	"3"	"2"	"2"	"3"	"1"	"3"	"3"	"7"	"8"	"15"	"398"	"0"	"398"	""
"97"	"89"	"89"	"153"	"8"	"12"	"26"	"264"	"8"	"6"	"3"	"4"	"3"	"4"	"6"	"4"	"10"	"30"	"541"	"0"	"541"	""
"98"	"90"	"90"	"137"	"21"	"114"	"13"	"185"	"16"	"3"	"4"	"10"	"3"	"6"	"9"	"9"	"17"	"38"	"585"	"0"	"585"	""
"99"	"91"	"91"	"110"	"6"	"34"	"61"	"56"	"2"	"2"	"1"	"0"	"4"	"1"	"1"	"2"	"1"	"12"	"293"	"0"	"293"	""
"100"	"92"	"92"	"57"	"7"	"112"	"102"	"47"	"1"	"2"	"1"	"1"	"1"	"2"	"0"	"0"	"1"	"4"	"338"	"0"	"338"	""
"101"	"93"	"93"	"25"	"13"	"192"	"61"	"43"	"2"	"0"	"3"	"0"	"0"	"2"	"0"	"3"	"5"	"5"	"354"	"0"	"354"	""
"102"	"94"	"94"	"131"	"18"	"96"	"28"	"14"	"2"	"2"	"1"	"1"	"0"	"3"	"5"	"2"	"2"	"7"	"312"	"0"	"312"	""
"103"	"95"	"95"	"264"	"30"	"213"	"36"	"44"	"3"	"1"	"2"	"4"	"1"	"1"	"1"	"4"	"4"	"9"	"617"	"0"	"617"	""
"104"	"96"	"96"	"93"	"4"	"47"	"12"	"17"	"2"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"4"	"184"	"0"	"184"	""
"105"	"97"	"97"	"75"	"11"	"124"	"33"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"3"	"0"	"4"	"256"	"0"	"256"	""
"106"	"98"	"98"	"256"	"17"	"153"	"42"	"139"	"5"	"0"	"0"	"0"	"1"	"1"	"3"	"2"	"2"	"16"	"637"	"0"	"637"	""
"107"	"99"	"99"	"31"	"2"	"74"	"244"	"44"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"6"	"407"	"0"	"407"	""
"108"	"100"	"100"	"24"	"5"	"5"	"47"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"87"	"0"	"87"	""
"109"	"101"	"101"	"119"	"8"	"57"	"438"	"16"	"0"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"13"	"658"	"0"	"658"	""
"110"	"102"	"102"	"25"	"6"	"122"	"172"	"15"	"3"	"3"	"3"	"1"	"1"	"3"	"5"	"6"	"8"	"9"	"382"	"0"	"382"	""
"111"	"103"	"103"	"75"	"6"	"62"	"11"	"1"	"2"	"5"	"2"	"3"	"0"	"0"	"4"	"2"	"7"	"16"	"196"	"0"	"196"	""
"112"	"104"	"104"	"363"	"13"	"24"	"22"	"7"	"1"	"1"	"1"	"0"	"1"	"3"	"1"	"2"	"#REF!"	"3"	"443"	"0"	"443"	""
"113"	"105"	"105"	"74"	"44"	"427"	"22"	"20"	"2"	"4"	"2"	"3"	"1"	"1"	"4"	"3"	"5"	"6"	"618"	"0"	"618"	""
"114"	"106"	"106"	"10"	"11"	"238"	"13"	"6"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"14"	"3"	"4"	"309"	"0"	"309"	""
"115"	"107"	"107"	"18"	"17"	"144"	"41"	"51"	"3"	"4"	"3"	"1"	"0"	"0"	"1"	"6"	"4"	"2"	"295"	"0"	"295"	""
"116"	"108"	"108"	"152"	"9"	"207"	"13"	"15"	"2"	"1"	"4"	"1"	"3"	"1"	"4"	"4"	"7"	"12"	"435"	"0"	"435"	""
"117"	"109"	"109"	"59"	"13"	"141"	"25"	"28"	"0"	"3"	"1"	"2"	"1"	"1"	"0"	"1"	"3"	"4"	"282"	"0"	"282"	""
"118"	"110"	"110"	"107"	"23"	"140"	"15"	"21"	"5"	"2"	"7"	"2"	"2"	"0"	"3"	"5"	"5"	"8"	"345"	"0"	"345"	""
"119"	"111"	"111"	"131"	"11"	"120"	"28"	"31"	"3"	"2"	"2"	"0"	"2"	"2"	"2"	"10"	"8"	"11"	"363"	"0"	"363"	""
"120"	"112"	"112"	"40"	"54"	"338"	"12"	"13"	"4"	"1"	"4"	"3"	"1"	"4"	"7"	"10"	"9"	"13"	"513"	"0"	"513"	""
"121"	"113"	"113"	"82"	"14"	"179"	"91"	"36"	"1"	"4"	"0"	"0"	"3"	"3"	"1"	"7"	"5"	"10"	"436"	"0"	"436"	""
"122"	"114"	"114"	"33"	"12"	"249"	"127"	"55"	"2"	"4"	"4"	"6"	"0"	"2"	"6"	"8"	"10"	"19"	"537"	"0"	"537"	""
"123"	"Sl.
No."	"No. of Polli n g
Statio n"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"124"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"125"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"126"	"115"	"115"	"180"	"18"	"320"	"31"	"58"	"3"	"6"	"3"	"4"	"2"	"2"	"6"	"4"	"5"	"4"	"646"	"0"	"646"	""
"127"	"116"	"116"	"10"	"11"	"73"	"88"	"179"	"2"	"6"	"3"	"2"	"0"	"7"	"5"	"7"	"0"	"7"	"400"	"0"	"400"	""
"128"	"117"	"117"	"17"	"17"	"51"	"34"	"177"	"9"	"6"	"7"	"4"	"5"	"4"	"6"	"5"	"4"	"8"	"354"	"0"	"354"	""
"129"	"118"	"118"	"47"	"26"	"266"	"34"	"17"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"3"	"4"	"4"	"407"	"0"	"407"	""
"130"	"119"	"119"	"159"	"26"	"346"	"13"	"22"	"3"	"7"	"5"	"4"	"2"	"2"	"2"	"8"	"8"	"8"	"615"	"0"	"615"	""
"131"	"120"	"120"	"39"	"22"	"333"	"20"	"12"	"4"	"3"	"4"	"2"	"3"	"4"	"5"	"18"	"12"	"10"	"491"	"0"	"491"	""
"132"	"121"	"121"	"52"	"14"	"297"	"53"	"18"	"4"	"4"	"2"	"2"	"0"	"1"	"3"	"9"	"12"	"12"	"483"	"0"	"483"	""
"133"	"122"	"122"	"104"	"24"	"447"	"59"	"21"	"2"	"0"	"2"	"1"	"1"	"2"	"6"	"31"	"19"	"24"	"743"	"0"	"743"	""
"134"	"123"	"123"	"159"	"14"	"213"	"22"	"8"	"1"	"5"	"2"	"1"	"5"	"0"	"2"	"9"	"5"	"10"	"456"	"0"	"456"	""
"135"	"124"	"124"	"171"	"31"	"209"	"53"	"44"	"2"	"6"	"7"	"6"	"2"	"2"	"2"	"9"	"5"	"5"	"554"	"0"	"554"	""
"136"	"125"	"125"	"75"	"22"	"399"	"30"	"13"	"0"	"5"	"5"	"3"	"3"	"3"	"14"	"31"	"17"	"22"	"642"	"0"	"642"	""
"137"	"126"	"126"	"238"	"11"	"123"	"93"	"83"	"1"	"1"	"4"	"1"	"3"	"5"	"2"	"7"	"1"	"2"	"575"	"0"	"575"	""
"138"	"127"	"127"	"170"	"22"	"192"	"39"	"31"	"3"	"4"	"3"	"3"	"1"	"1"	"2"	"2"	"2"	"1"	"476"	"0"	"476"	""
"139"	"128"	"128"	"33"	"11"	"73"	"369"	"184"	"4"	"6"	"1"	"0"	"0"	"2"	"2"	"1"	"1"	"4"	"691"	"0"	"691"	""
"140"	"129"	"129"	"57"	"9"	"47"	"83"	"237"	"8"	"3"	"5"	"1"	"0"	"2"	"3"	"2"	"4"	"8"	"469"	"0"	"469"	""
"141"	"130"	"130"	"329"	"21"	"60"	"77"	"42"	"2"	"4"	"2"	"2"	"1"	"2"	"3"	"3"	"4"	"9"	"561"	"0"	"561"	""
"142"	"131"	"131"	"358"	"10"	"5"	"11"	"19"	"4"	"2"	"0"	"0"	"0"	"0"	"1"	"6"	"6"	"18"	"440"	"0"	"440"	""
"143"	"132"	"132"	"127"	"8"	"45"	"45"	"60"	"2"	"4"	"2"	"2"	"0"	"0"	"2"	"4"	"1"	"6"	"308"	"0"	"308"	""
"144"	"133"	"133"	"58"	"21"	"216"	"173"	"12"	"2"	"5"	"5"	"2"	"5"	"5"	"6"	"26"	"21"	"19"	"576"	"0"	"576"	""
"145"	"134"	"134"	"38"	"25"	"195"	"231"	"13"	"2"	"2"	"5"	"3"	"3"	"2"	"6"	"8"	"7"	"5"	"545"	"0"	"545"	""
"146"	"135"	"135"	"34"	"14"	"65"	"124"	"10"	"2"	"1"	"1"	"1"	"2"	"0"	"3"	"2"	"3"	"0"	"262"	"0"	"262"	""
"147"	"136"	"136"	"9"	"6"	"170"	"23"	"53"	"1"	"1"	"1"	"3"	"0"	"2"	"2"	"11"	"3"	"10"	"295"	"0"	"295"	""
"148"	"137"	"137"	"19"	"6"	"176"	"46"	"4"	"1"	"2"	"1"	"0"	"2"	"0"	"2"	"7"	"1"	"7"	"274"	"0"	"274"	""
"149"	"138"	"138"	"17"	"11"	"92"	"147"	"10"	"0"	"2"	"3"	"1"	"8"	"3"	"10"	"8"	"4"	"15"	"331"	"0"	"331"	""
"150"	"139"	"139"	"73"	"26"	"116"	"94"	"53"	"4"	"4"	"8"	"6"	"3"	"2"	"5"	"6"	"7"	"10"	"417"	"0"	"417"	""
