"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"18"	"d qy  &"	"1998"	"1737"	"1278"	"68"	"52"	"69"	"92"	"46"	"81"	"68"	"167"	"5656"	"0"	"5656"	"0"
"19"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"20"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"21"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"22"	"i woZ  dk
; ksx&"	"1998"	"1737"	"1278"	"68"	"52"	"69"	"92"	"46"	"81"	"68"	"167"	"5656"	"0"	"5656"	"0"
"23"	"15"	"96"	"175"	"72"	"4"	"6"	"5"	"7"	"2"	"5"	"7"	"13"	"392"	"0"	"392"	"0"
"24"	"16"	"73"	"56"	"210"	"7"	"5"	"6"	"1"	"2"	"9"	"2"	"7"	"378"	"0"	"378"	"0"
"25"	"17"	"20"	"349"	"49"	"6"	"6"	"10"	"16"	"2"	"2"	"3"	"7"	"470"	"0"	"470"	"0"
"26"	"18"	"62"	"194"	"49"	"2"	"3"	"0"	"5"	"2"	"1"	"3"	"8"	"329"	"0"	"329"	"0"
"27"	"19"	"28"	"264"	"132"	"5"	"0"	"6"	"3"	"2"	"4"	"11"	"3"	"458"	"0"	"458"	"0"
"28"	"20"	"58"	"240"	"35"	"5"	"6"	"3"	"10"	"1"	"2"	"2"	"8"	"370"	"0"	"370"	"0"
"29"	"21"	"35"	"194"	"52"	"4"	"7"	"2"	"5"	"1"	"0"	"5"	"5"	"310"	"0"	"310"	"0"
"30"	"22"	"54"	"245"	"88"	"5"	"2"	"3"	"18"	"10"	"16"	"23"	"45"	"509"	"0"	"509"	"0"
"31"	"23"	"53"	"60"	"137"	"19"	"12"	"74"	"3"	"7"	"3"	"5"	"4"	"377"	"0"	"377"	"0"
"32"	"24"	"66"	"224"	"37"	"4"	"7"	"35"	"19"	"4"	"12"	"4"	"12"	"424"	"0"	"424"	"0"
"33"	"25"	"116"	"338"	"122"	"6"	"5"	"6"	"12"	"5"	"11"	"8"	"28"	"657"	"0"	"657"	"0"
"34"	"26"	"43"	"237"	"114"	"5"	"3"	"4"	"7"	"5"	"9"	"4"	"9"	"440"	"0"	"440"	"0"
"35"	"27"	"171"	"194"	"212"	"6"	"6"	"3"	"9"	"4"	"10"	"9"	"15"	"639"	"0"	"639"	"0"
"36"	"28"	"53"	"295"	"121"	"6"	"6"	"3"	"10"	"5"	"4"	"5"	"7"	"515"	"0"	"515"	"0"
"37"	"l hV dk
; ksx"	"928"	"3065"	"1430"	"84"	"74"	"160"	"125"	"52"	"88"	"91"	"171"	"6268"	"0"	"6268"	"0"
"38"	"d qy  &"	"2926"	"4802"	"2708"	"152"	"126"	"229"	"217"	"98"	"169"	"159"	"338"	"11924"	"0"	"11924"	"0"
"39"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"40"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"42"	"i woZ  dk
; ksx&"	"2926"	"4802"	"2708"	"152"	"126"	"229"	"217"	"98"	"169"	"159"	"338"	"11924"	"0"	"11924"	"0"
"43"	"29"	"133"	"335"	"37"	"3"	"1"	"3"	"3"	"0"	"2"	"1"	"2"	"520"	"0"	"520"	"0"
"44"	"30"	"162"	"195"	"19"	"1"	"5"	"2"	"6"	"4"	"2"	"4"	"14"	"414"	"0"	"414"	"0"
"45"	"31"	"184"	"155"	"80"	"5"	"3"	"4"	"5"	"7"	"8"	"10"	"26"	"487"	"0"	"487"	"0"
"46"	"32"	"134"	"138"	"62"	"3"	"6"	"5"	"6"	"4"	"9"	"9"	"15"	"391"	"0"	"391"	"0"
"47"	"33"	"137"	"233"	"127"	"11"	"3"	"18"	"16"	"4"	"10"	"10"	"20"	"589"	"0"	"589"	"0"
"48"	"34"	"98"	"118"	"160"	"17"	"8"	"3"	"9"	"6"	"7"	"0"	"11"	"437"	"0"	"437"	"0"
"49"	"35"	"128"	"225"	"135"	"19"	"11"	"13"	"13"	"8"	"8"	"8"	"9"	"577"	"0"	"577"	"0"
"50"	"36"	"39"	"67"	"148"	"6"	"7"	"2"	"11"	"6"	"7"	"2"	"7"	"302"	"0"	"302"	"0"
"51"	"37"	"60"	"45"	"32"	"1"	"0"	"4"	"2"	"1"	"1"	"0"	"3"	"149"	"0"	"149"	"0"
"52"	"38"	"170"	"91"	"103"	"6"	"2"	"3"	"3"	"2"	"4"	"6"	"5"	"395"	"0"	"395"	"0"
"53"	"39"	"32"	"135"	"92"	"6"	"7"	"10"	"8"	"4"	"7"	"3"	"24"	"328"	"0"	"328"	"0"
"54"	"40"	"39"	"169"	"23"	"0"	"2"	"4"	"8"	"1"	"0"	"1"	"4"	"251"	"0"	"251"	"0"
"55"	"41"	"23"	"100"	"67"	"7"	"1"	"1"	"14"	"5"	"7"	"8"	"16"	"249"	"0"	"249"	"0"
"56"	"42"	"75"	"114"	"112"	"8"	"2"	"17"	"9"	"1"	"6"	"2"	"3"	"349"	"0"	"349"	"0"
"57"	"l hV dk
; ksx"	"1414"	"2120"	"1197"	"93"	"58"	"89"	"113"	"53"	"78"	"64"	"159"	"5438"	"0"	"5438"	"0"
"58"	"d qy  &"	"4340"	"6922"	"3905"	"245"	"184"	"318"	"330"	"151"	"247"	"223"	"497"	"17362"	"0"	"17362"	"0"
"59"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"60"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"62"	"i woZ  dk
; ksx&"	"4340"	"6922"	"3905"	"245"	"184"	"318"	"330"	"151"	"247"	"223"	"497"	"17362"	"0"	"17362"	"0"
"63"	"43"	"195"	"178"	"75"	"7"	"4"	"5"	"16"	"2"	"4"	"10"	"9"	"505"	"0"	"505"	"0"
"64"	"44"	"52"	"45"	"8"	"0"	"1"	"1"	"5"	"1"	"2"	"0"	"1"	"116"	"0"	"116"	"0"
"65"	"45"	"73"	"240"	"81"	"5"	"14"	"5"	"14"	"14"	"5"	"4"	"5"	"460"	"0"	"460"	"0"
"66"	"46"	"121"	"145"	"75"	"23"	"7"	"4"	"11"	"14"	"7"	"7"	"17"	"431"	"0"	"431"	"0"
"67"	"47"	"55"	"111"	"60"	"2"	"7"	"3"	"5"	"5"	"2"	"3"	"6"	"259"	"0"	"259"	"0"
"68"	"48"	"44"	"212"	"68"	"10"	"7"	"7"	"10"	"11"	"9"	"1"	"15"	"394"	"0"	"394"	"0"
"69"	"49"	"160"	"166"	"103"	"6"	"5"	"3"	"11"	"7"	"8"	"3"	"11"	"483"	"0"	"483"	"0"
"70"	"50"	"102"	"287"	"94"	"6"	"6"	"10"	"19"	"6"	"12"	"7"	"15"	"564"	"0"	"564"	"0"
"71"	"51"	"150"	"150"	"127"	"11"	"4"	"5"	"7"	"6"	"6"	"4"	"11"	"481"	"0"	"481"	"0"
"72"	"52"	"30"	"227"	"12"	"1"	"2"	"2"	"5"	"0"	"0"	"2"	"2"	"283"	"0"	"283"	"0"
"73"	"53"	"85"	"310"	"46"	"4"	"7"	"9"	"18"	"4"	"8"	"10"	"27"	"528"	"0"	"528"	"0"
"74"	"54"	"44"	"311"	"57"	"2"	"10"	"7"	"9"	"5"	"8"	"6"	"13"	"472"	"0"	"472"	"0"
"75"	"55"	"79"	"258"	"30"	"12"	"11"	"9"	"25"	"8"	"4"	"6"	"17"	"459"	"0"	"459"	"0"
"76"	"56"	"45"	"104"	"62"	"3"	"2"	"9"	"14"	"2"	"4"	"1"	"4"	"250"	"0"	"250"	"0"
"77"	"l hV dk
; ksx"	"1235"	"2744"	"898"	"92"	"87"	"79"	"169"	"85"	"79"	"64"	"153"	"5685"	"0"	"5685"	"0"
"78"	"d qy  &"	"5575"	"9666"	"4803"	"337"	"271"	"397"	"499"	"236"	"326"	"287"	"650"	"23047"	"0"	"23047"	"0"
"79"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"80"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"81"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"82"	"i woZ  dk
; ksx&"	"5575"	"9666"	"4803"	"337"	"271"	"397"	"499"	"236"	"326"	"287"	"650"	"23047"	"0"	"23047"	"0"
"83"	"57"	"131"	"147"	"32"	"7"	"3"	"8"	"14"	"4"	"4"	"0"	"3"	"353"	"0"	"353"	"0"
"84"	"58"	"52"	"182"	"31"	"3"	"3"	"2"	"9"	"13"	"2"	"3"	"3"	"303"	"0"	"303"	"0"
"85"	"59"	"29"	"163"	"7"	"1"	"1"	"4"	"12"	"2"	"0"	"0"	"6"	"225"	"0"	"225"	"0"
"86"	"60"	"43"	"269"	"27"	"4"	"6"	"1"	"15"	"5"	"6"	"5"	"12"	"393"	"0"	"393"	"0"
"87"	"61"	"22"	"94"	"109"	"9"	"3"	"3"	"3"	"7"	"5"	"4"	"6"	"265"	"0"	"265"	"0"
"88"	"62"	"3"	"67"	"68"	"3"	"3"	"2"	"3"	"2"	"6"	"2"	"4"	"163"	"0"	"163"	"0"
"89"	"63"	"53"	"109"	"213"	"11"	"3"	"3"	"2"	"3"	"14"	"7"	"6"	"424"	"0"	"424"	"0"
"90"	"64"	"46"	"331"	"99"	"7"	"4"	"5"	"8"	"3"	"8"	"5"	"24"	"540"	"0"	"540"	"0"
"91"	"65"	"91"	"180"	"19"	"3"	"2"	"2"	"5"	"1"	"1"	"2"	"4"	"310"	"0"	"310"	"0"
"92"	"66"	"82"	"85"	"32"	"2"	"1"	"0"	"4"	"0"	"1"	"2"	"0"	"209"	"0"	"209"	"0"
"93"	"67"	"151"	"300"	"20"	"2"	"2"	"5"	"14"	"1"	"5"	"7"	"18"	"525"	"0"	"525"	"0"
"94"	"68"	"135"	"249"	"179"	"7"	"9"	"4"	"16"	"6"	"8"	"4"	"5"	"622"	"0"	"622"	"0"
"95"	"69"	"123"	"110"	"9"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"1"	"250"	"0"	"250"	"0"
"96"	"70"	"67"	"191"	"157"	"9"	"7"	"5"	"7"	"7"	"9"	"4"	"21"	"484"	"0"	"484"	"0"
"97"	"l hV dk
; ksx"	"1028"	"2477"	"1002"	"70"	"49"	"46"	"113"	"54"	"69"	"45"	"113"	"5066"	"0"	"5066"	"0"
"98"	"d qy  &"	"6603"	"12143"	"5805"	"407"	"320"	"443"	"612"	"290"	"395"	"332"	"763"	"28113"	"0"	"28113"	"0"
"99"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"100"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"102"	"i woZ  dk
; ksx&"	"6603"	"12143"	"5805"	"407"	"320"	"443"	"612"	"290"	"395"	"332"	"763"	"28113"	"0"	"28113"	"0"
"103"	"71"	"76"	"162"	"142"	"7"	"0"	"4"	"5"	"6"	"17"	"16"	"20"	"455"	"0"	"455"	"0"
"104"	"72"	"111"	"234"	"55"	"8"	"7"	"6"	"13"	"4"	"6"	"2"	"9"	"455"	"0"	"455"	"0"
"105"	"73"	"53"	"303"	"38"	"2"	"2"	"1"	"8"	"3"	"1"	"2"	"6"	"419"	"0"	"419"	"0"
"106"	"74"	"35"	"243"	"9"	"2"	"3"	"8"	"26"	"7"	"5"	"9"	"8"	"355"	"0"	"355"	"0"
"107"	"75"	"62"	"131"	"31"	"1"	"3"	"1"	"1"	"1"	"6"	"1"	"7"	"245"	"0"	"245"	"0"
"108"	"76"	"32"	"251"	"27"	"3"	"1"	"4"	"11"	"7"	"2"	"18"	"14"	"370"	"0"	"370"	"0"
"109"	"77"	"31"	"304"	"64"	"7"	"6"	"8"	"9"	"6"	"4"	"1"	"5"	"445"	"0"	"445"	"0"
"110"	"78"	"93"	"249"	"102"	"4"	"8"	"5"	"11"	"4"	"7"	"3"	"14"	"500"	"0"	"500"	"0"
"111"	"79"	"144"	"221"	"116"	"13"	"6"	"4"	"15"	"5"	"9"	"10"	"21"	"564"	"0"	"564"	"0"
"112"	"80"	"22"	"218"	"63"	"16"	"1"	"4"	"12"	"4"	"3"	"0"	"2"	"345"	"0"	"345"	"0"
"113"	"81"	"34"	"218"	"150"	"8"	"10"	"4"	"7"	"11"	"9"	"3"	"5"	"459"	"0"	"459"	"0"
"114"	"82"	"31"	"270"	"55"	"4"	"4"	"4"	"19"	"6"	"3"	"3"	"7"	"406"	"0"	"406"	"0"
"115"	"83"	"64"	"317"	"94"	"4"	"0"	"4"	"6"	"3"	"9"	"2"	"4"	"507"	"0"	"507"	"0"
"116"	"84"	"66"	"301"	"7"	"1"	"3"	"8"	"22"	"4"	"4"	"10"	"21"	"447"	"0"	"447"	"0"
"117"	"l hV dk
; ksx"	"854"	"3422"	"953"	"80"	"54"	"65"	"165"	"71"	"85"	"80"	"143"	"5972"	"0"	"5972"	"0"
"118"	"d qy  &"	"7457"	"15565"	"6758"	"487"	"374"	"508"	"777"	"361"	"480"	"412"	"906"	"34085"	"0"	"34085"	"0"
"119"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"120"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"121"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"122"	"i woZ  dk
; ksx&"	"7457"	"15565"	"6758"	"487"	"374"	"508"	"777"	"361"	"480"	"412"	"906"	"34085"	"0"	"34085"	"0"
"123"	"84d"	"121"	"124"	"41"	"5"	"1"	"1"	"9"	"6"	"6"	"3"	"24"	"341"	"0"	"341"	"0"
"124"	"85"	"53"	"298"	"75"	"7"	"4"	"8"	"29"	"12"	"17"	"11"	"52"	"566"	"0"	"566"	"0"
"125"	"86"	"14"	"268"	"25"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"314"	"0"	"314"	"0"
"126"	"87"	"14"	"122"	"21"	"1"	"0"	"2"	"6"	"4"	"2"	"1"	"1"	"174"	"0"	"174"	"0"
"127"	"88"	"89"	"223"	"34"	"4"	"1"	"1"	"14"	"9"	"6"	"7"	"13"	"401"	"0"	"401"	"0"
"128"	"89"	"90"	"158"	"86"	"1"	"3"	"5"	"10"	"6"	"5"	"6"	"22"	"392"	"0"	"392"	"0"
"129"	"90"	"248"	"242"	"23"	"1"	"4"	"2"	"6"	"1"	"3"	"6"	"11"	"547"	"0"	"547"	"0"
"130"	"91"	"203"	"118"	"40"	"5"	"4"	"2"	"4"	"1"	"1"	"0"	"3"	"381"	"0"	"381"	"0"
"131"	"92"	"96"	"138"	"54"	"4"	"1"	"4"	"7"	"2"	"0"	"2"	"4"	"312"	"0"	"312"	"0"
"132"	"93"	"131"	"160"	"22"	"5"	"3"	"6"	"8"	"2"	"3"	"5"	"24"	"369"	"0"	"369"	"0"
"133"	"94"	"53"	"111"	"41"	"1"	"0"	"2"	"3"	"1"	"0"	"0"	"2"	"214"	"0"	"214"	"0"
"134"	"95"	"48"	"124"	"9"	"0"	"1"	"2"	"5"	"3"	"2"	"6"	"8"	"208"	"0"	"208"	"0"
"135"	"96"	"89"	"87"	"5"	"0"	"0"	"2"	"3"	"1"	"1"	"1"	"11"	"200"	"0"	"200"	"0"
"136"	"97"	"86"	"192"	"97"	"6"	"4"	"6"	"5"	"3"	"4"	"0"	"2"	"405"	"0"	"405"	"0"
"137"	"l hV dk
; ksx"	"1335"	"2365"	"573"	"41"	"27"	"45"	"110"	"51"	"50"	"48"	"179"	"4824"	"0"	"4824"	"0"
"138"	"d qy  &"	"8792"	"17930"	"7331"	"528"	"401"	"553"	"887"	"412"	"530"	"460"	"1085"	"38909"	"0"	"38909"	"0"
"139"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"140"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"141"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"142"	"i woZ  dk
; ksx&"	"8792"	"17930"	"7331"	"528"	"401"	"553"	"887"	"412"	"530"	"460"	"1085"	"38909"	"0"	"38909"	"0"
"143"	"98"	"196"	"90"	"22"	"1"	"3"	"1"	"2"	"1"	"0"	"2"	"5"	"323"	"0"	"323"	"0"
"144"	"99"	"104"	"265"	"191"	"6"	"7"	"6"	"8"	"4"	"6"	"2"	"8"	"607"	"0"	"607"	"0"
"145"	"100"	"177"	"31"	"28"	"4"	"2"	"2"	"1"	"3"	"3"	"3"	"9"	"263"	"0"	"263"	"0"
"146"	"101"	"129"	"192"	"49"	"1"	"2"	"3"	"6"	"0"	"2"	"2"	"1"	"387"	"0"	"387"	"0"
"147"	"102"	"129"	"105"	"17"	"3"	"1"	"1"	"6"	"1"	"4"	"2"	"10"	"279"	"0"	"279"	"0"
"148"	"102d"	"95"	"72"	"7"	"2"	"2"	"3"	"3"	"3"	"1"	"0"	"3"	"191"	"0"	"191"	"0"
"149"	"103"	"59"	"191"	"27"	"8"	"1"	"15"	"5"	"6"	"6"	"1"	"8"	"327"	"0"	"327"	"0"
"150"	"104"	"29"	"144"	"11"	"9"	"0"	"16"	"4"	"2"	"2"	"0"	"5"	"222"	"0"	"222"	"0"
"151"	"105"	"93"	"379"	"81"	"9"	"4"	"22"	"14"	"4"	"12"	"4"	"13"	"635"	"0"	"635"	"0"
"152"	"106"	"118"	"175"	"123"	"14"	"19"	"18"	"23"	"15"	"22"	"8"	"24"	"559"	"0"	"559"	"0"
"153"	"107"	"61"	"268"	"45"	"6"	"2"	"10"	"9"	"1"	"1"	"5"	"2"	"410"	"0"	"410"	"0"
"154"	"108"	"64"	"379"	"41"	"9"	"6"	"7"	"11"	"2"	"2"	"6"	"5"	"532"	"0"	"532"	"0"
"155"	"109"	"94"	"155"	"81"	"9"	"11"	"11"	"3"	"1"	"2"	"3"	"2"	"372"	"0"	"372"	"0"
"156"	"110"	"63"	"176"	"180"	"15"	"11"	"15"	"12"	"6"	"9"	"8"	"7"	"502"	"0"	"502"	"0"
"157"	"l hV dk
; ksx"	"1411"	"2622"	"903"	"96"	"71"	"130"	"107"	"49"	"72"	"46"	"102"	"5609"	"0"	"5609"	"0"
"158"	"d qy  &"	"10203"	"20552"	"8234"	"624"	"472"	"683"	"994"	"461"	"602"	"506"	"1187"	"44518"	"0"	"44518"	"0"
"159"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"160"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"161"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"162"	"i woZ  dk
; ksx&"	"10203"	"20552"	"8234"	"624"	"472"	"683"	"994"	"461"	"602"	"506"	"1187"	"44518"	"0"	"44518"	"0"
"163"	"111"	"20"	"55"	"79"	"5"	"6"	"1"	"4"	"3"	"10"	"2"	"11"	"196"	"0"	"196"	"0"
"164"	"112"	"37"	"132"	"61"	"4"	"5"	"9"	"8"	"6"	"7"	"5"	"4"	"278"	"0"	"278"	"0"
"165"	"113"	"21"	"215"	"85"	"6"	"1"	"4"	"19"	"5"	"6"	"3"	"15"	"380"	"0"	"380"	"0"
"166"	"114"	"106"	"134"	"117"	"15"	"2"	"5"	"8"	"1"	"5"	"1"	"7"	"401"	"0"	"401"	"0"
"167"	"115"	"102"	"193"	"134"	"8"	"2"	"4"	"14"	"5"	"4"	"4"	"11"	"481"	"0"	"481"	"0"
"168"	"116"	"34"	"215"	"91"	"1"	"3"	"2"	"3"	"3"	"2"	"0"	"2"	"356"	"0"	"356"	"0"
"169"	"117"	"144"	"170"	"43"	"3"	"4"	"4"	"8"	"1"	"4"	"1"	"7"	"389"	"0"	"389"	"0"
"170"	"118"	"83"	"119"	"236"	"9"	"7"	"4"	"9"	"6"	"13"	"6"	"9"	"501"	"0"	"501"	"0"
"171"	"119"	"51"	"202"	"145"	"9"	"6"	"10"	"12"	"9"	"20"	"10"	"29"	"503"	"0"	"503"	"0"
"172"	"120"	"46"	"191"	"70"	"6"	"14"	"6"	"4"	"8"	"5"	"1"	"13"	"364"	"0"	"364"	"0"
