"er.nku.dsUnz.l.a....k"	"vfu....i.zl.kn.mQZ.l.k.kq...kno"	"i.zdk..k..k"	"j.kekJ..fl.ag"	"X..kEHkw.i.zl.kn.xqIr.k"	"Mk0.l.at...t.k..l.oky"	"QS..kt.qy.vkt.e"	"eukst...dqekj"	"l.S..n...kehe.v..r.j"	"uQhl...vgen"	"Jheku.feJk"	"l.S..n.bj.l.kn.v..r.j"	"oS....er.i...dk...ksx"	"vLohd.r.er.i...dk...ksx"	"X..ksx"	"fufonr.er.i..ksa.dh.l.a....k"
"21"	17	19	38	4	4	145	3	2	6	0	2	1	224	NA	224	NA
"22"	18	16	77	4	3	115	1	1	1	3	5	5	231	NA	231	NA
"23"	19	39	32	4	3	313	10	2	1	0	3	1	408	NA	408	NA
"24"	20	298	75	12	1	8	0	1	1	1	1	2	400	NA	400	NA
"25"	21	25	11	45	1	366	6	1	9	5	0	3	472	NA	472	NA
"26"	22	9	11	5	0	115	1	0	1	0	0	0	142	NA	142	NA
"27"	23	119	64	1	19	215	8	6	3	3	6	18	462	NA	462	NA
"28"	24	29	22	263	8	58	4	2	4	4	1	3	398	NA	398	NA
"29"	25	231	13	45	33	39	2	0	4	4	2	5	378	NA	378	NA
"30"	26	189	97	137	2	134	9	5	3	0	6	8	590	NA	590	NA
"31"	27	139	114	74	15	95	9	6	6	10	5	5	478	NA	478	NA
"32"	28	235	68	238	5	37	3	1	14	5	2	0	608	NA	608	NA
"33"	NA	1423	791	868	106	1837	71	36	60	41	49	65	5347	0	5347	0
"34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"36"	29	124	50	275	8	62	5	7	18	9	3	10	571	NA	571	NA
"37"	30	22	15	26	4	97	4	2	0	2	3	1	176	NA	176	NA
"38"	31	15	27	44	19	179	8	5	4	5	7	4	317	NA	317	NA
"39"	32	49	34	16	42	268	3	5	1	1	4	2	425	NA	425	NA
"40"	33	196	57	19	19	153	8	6	2	3	4	10	477	NA	477	NA
"41"	34	148	44	28	7	198	9	2	2	1	6	10	455	NA	455	NA
"42"	35	55	135	32	98	184	6	3	3	4	13	14	547	NA	547	NA
"43"	36	22	54	58	3	175	6	3	4	3	2	6	336	NA	336	NA
"44"	37	181	112	9	37	32	6	6	2	3	8	15	411	NA	411	NA
"45"	38	45	27	134	6	292	12	5	5	4	2	7	539	NA	539	NA
"46"	39	52	219	16	4	89	8	6	5	8	17	10	434	NA	434	NA
"47"	40	42	79	86	7	51	2	3	6	1	4	4	285	NA	285	NA
"48"	41	9	42	68	0	20	0	1	6	2	1	2	151	NA	151	NA
"49"	42	14	66	8	5	247	12	2	1	2	10	4	371	NA	371	NA
"50"	NA	974	961	819	259	2047	89	56	59	48	84	99	5495	0	5495	0
"51"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"52"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"53"	43	4	14	5	1	109	6	1	1	1	3	4	149	NA	149	NA
"54"	44	42	178	95	3	114	4	7	4	4	6	4	461	NA	461	NA
"55"	45	25	95	3	8	184	13	8	1	4	5	5	351	NA	351	NA
"56"	46	21	68	15	3	175	6	5	1	3	2	3	302	NA	302	NA
"57"	47	26	117	10	0	46	2	1	0	2	4	1	209	NA	209	NA
"58"	48	37	69	19	0	281	6	3	2	1	3	0	421	NA	421	NA
"59"	49	19	22	5	2	65	1	1	0	0	0	0	115	NA	115	NA
"60"	50	23	76	10	3	238	12	9	3	1	2	3	380	NA	380	NA
"61"	51	10	79	3	5	145	6	1	3	0	2	7	261	NA	261	NA
"62"	52	106	261	10	7	265	2	5	4	4	7	1	672	NA	672	NA
"63"	53	93	191	9	2	154	2	6	3	5	5	12	482	NA	482	NA
"64"	54	42	112	5	1	144	2	2	0	1	2	3	314	NA	314	NA
"65"	55	50	31	46	8	258	8	3	6	2	5	7	424	NA	424	NA
"66"	56	238	70	114	24	75	8	9	6	5	10	19	578	NA	578	NA
"67"	NA	736	1383	349	67	2253	78	61	34	33	56	69	5119	0	5119	0
"68"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"70"	57	80	111	44	5	186	11	7	6	6	9	5	470	NA	470	NA
"71"	58	34	173	11	6	41	1	1	0	1	2	1	271	NA	271	NA
"72"	59	32	237	39	8	22	1	0	3	6	4	2	354	NA	354	NA
"73"	60	147	121	102	30	76	2	6	2	3	7	7	503	NA	503	NA
"74"	61	55	174	36	24	45	4	4	3	6	3	2	356	NA	356	NA
"75"	62	45	135	20	5	121	6	8	3	4	7	5	359	NA	359	NA
"76"	63	13	67	13	12	70	3	3	0	7	5	2	195	NA	195	NA
"77"	64	92	134	30	1	30	3	6	2	7	3	7	315	NA	315	NA
"78"	65	16	134	32	11	54	2	4	3	5	2	5	268	NA	268	NA
"79"	66	52	273	4	4	133	9	2	6	2	4	2	491	NA	491	NA
"80"	67	11	38	2	0	34	3	0	0	1	1	0	90	NA	90	NA
"81"	68	43	156	50	17	230	9	10	4	7	10	6	542	NA	542	NA
"82"	69	81	369	14	12	24	1	12	9	22	23	12	579	NA	579	NA
"83"	70	42	147	1	3	4	4	0	0	1	3	2	207	NA	207	NA
"84"	NA	743	2269	398	138	1070	59	63	41	78	83	58	5000	0	5000	0
"85"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"86"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"87"	71	93	288	5	3	8	1	1	2	4	6	6	417	NA	417	NA
"88"	72	32	155	2	0	1	0	0	0	0	2	0	192	NA	192	NA
"89"	73	34	323	7	5	101	5	4	0	9	11	3	502	NA	502	NA
"90"	74	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA
"91"	75	28	152	38	11	129	1	1	1	1	10	4	376	NA	376	NA
"92"	76	20	93	5	1	82	1	5	0	1	5	4	217	NA	217	NA
"93"	77	89	96	19	17	228	5	1	5	0	7	3	470	NA	470	NA
"94"	78	27	233	7	1	101	3	4	2	2	9	2	391	NA	391	NA
"95"	79	32	131	4	7	199	9	6	2	1	11	2	404	NA	404	NA
"96"	80	7	77	5	4	83	6	0	2	9	6	4	203	NA	203	NA
"97"	81	42	133	3	5	139	2	5	0	5	9	12	355	NA	355	NA
"98"	82	16	47	0	2	74	2	2	0	0	3	2	148	NA	148	NA
"99"	83	68	102	4	27	49	3	2	6	3	4	7	275	NA	275	NA
"100"	84	52	112	9	12	42	3	1	6	5	1	4	247	NA	247	NA
"101"	NA	540	1942	108	95	1236	41	32	26	40	84	53	4197	0	4197	0
"102"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"104"	85	41	39	3	18	9	1	3	4	3	2	3	126	NA	126	NA
"105"	86	109	209	31	3	8	0	8	21	4	8	6	407	NA	407	NA
"106"	87	108	136	3	1	11	0	4	0	1	3	4	271	NA	271	NA
"107"	88	77	79	64	19	274	28	14	12	12	17	5	601	NA	601	NA
"108"	89	38	321	8	7	42	4	7	4	8	10	7	456	NA	456	NA
"109"	90	44	197	37	46	282	15	6	5	10	17	20	679	NA	679	NA
"110"	91	42	144	4	2	105	1	3	2	4	7	1	315	NA	315	NA
"111"	92	17	88	3	2	154	6	2	3	5	4	7	291	NA	291	NA
"112"	93	63	167	15	21	210	12	8	10	5	7	16	534	NA	534	NA
"113"	94	13	49	1	1	61	0	0	0	1	0	4	130	NA	130	NA
"114"	95	121	241	9	1	70	5	4	9	8	11	7	486	NA	486	NA
"115"	96	28	101	34	3	136	6	7	3	1	8	5	332	NA	332	NA
"116"	97	24	43	17	13	208	6	2	5	2	6	4	330	NA	330	NA
"117"	98	5	8	41	7	71	6	0	0	0	0	1	139	NA	139	NA
"118"	NA	730	1822	270	144	1641	90	68	78	64	100	90	5097	0	5097	0
"119"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"121"	99	35	29	142	51	99	5	1	4	1	4	5	376	NA	376	NA
"122"	100	90	120	24	10	106	2	5	3	5	6	13	384	NA	384	NA
"123"	101	26	82	18	10	66	3	6	1	5	7	3	227	NA	227	NA
"124"	102	141	186	53	14	105	4	1	4	4	2	5	519	NA	519	NA
"125"	103	158	45	39	7	162	14	8	10	1	6	1	451	NA	451	NA
"126"	104	5	352	16	1	19	0	0	0	2	2	0	397	NA	397	NA
"127"	105	72	147	45	15	153	4	1	1	2	3	3	446	NA	446	NA
"128"	106	115	101	82	19	51	3	4	3	4	4	5	391	NA	391	NA
"129"	107	104	54	53	2	141	2	3	1	1	4	5	370	NA	370	NA
"130"	108	35	136	21	6	171	9	1	3	5	9	9	405	NA	405	NA
"131"	109	39	261	35	6	105	13	8	16	7	10	7	507	NA	507	NA
"132"	110	19	54	87	7	74	2	6	1	4	4	7	265	NA	265	NA
"133"	111	91	93	190	5	109	2	1	3	1	2	0	497	NA	497	NA
"134"	112	27	57	156	1	62	4	3	5	4	3	2	324	NA	324	NA
"135"	NA	957	1717	961	154	1423	67	48	55	46	66	65	5559	0	5559	0
"136"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"137"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"138"	113	42	117	53	7	141	9	7	3	6	6	2	393	NA	393	NA
"139"	114	95	74	106	13	20	6	6	12	6	9	12	359	NA	359	NA
"140"	115	32	215	127	6	75	9	8	10	8	13	6	509	NA	509	NA
"141"	116	28	157	9	2	199	5	2	20	6	4	2	434	NA	434	NA
"142"	117	5	98	22	2	88	4	1	6	3	7	0	236	NA	236	NA
"143"	118	62	23	6	3	9	1	2	52	2	2	0	162	NA	162	NA
"144"	119	67	27	10	4	315	11	3	1	1	3	2	444	NA	444	NA
"145"	120	107	38	15	5	112	12	9	3	8	3	8	320	NA	320	NA
"146"	121	52	176	4	2	63	4	2	0	5	10	7	325	NA	325	NA
"147"	122	126	160	12	9	205	8	8	5	5	14	20	572	NA	572	NA
"148"	123	110	168	7	6	193	7	7	2	8	7	8	523	NA	523	NA
"149"	124	136	106	12	8	148	12	7	3	4	8	6	450	NA	450	NA
"150"	125	19	12	12	1	186	3	1	2	0	2	2	240	NA	240	NA
"151"	126	157	14	30	2	15	3	0	2	0	0	2	225	NA	225	NA
"152"	NA	1038	1385	425	70	1769	94	63	121	62	88	77	5192	0	5192	0
"153"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"154"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"155"	127	23	56	36	6	269	9	6	3	2	10	5	425	NA	425	NA
"156"	128	77	139	28	14	212	18	5	4	4	3	4	508	NA	508	NA
"157"	129	107	49	13	9	375	29	10	0	3	5	4	604	NA	604	NA
"158"	130	56	42	29	9	306	17	12	4	5	8	5	493	NA	493	NA
"159"	131	164	35	30	5	246	13	5	2	3	11	3	517	NA	517	NA
"160"	132	72	33	51	5	193	17	5	1	8	5	5	395	NA	395	NA
"161"	133	190	53	19	5	392	16	2	1	3	2	4	687	NA	687	NA
"162"	134	84	131	39	22	251	18	8	10	7	22	14	606	NA	606	NA
"163"	135	128	67	6	5	319	16	10	9	6	7	20	593	NA	593	NA
"164"	136	128	153	26	3	30	4	10	17	8	7	14	400	NA	400	NA
"165"	137	188	93	77	13	323	22	9	14	13	15	10	777	NA	777	NA
"166"	138	217	125	19	4	109	11	5	58	4	10	5	567	NA	567	NA
"167"	139	83	173	34	2	364	19	10	19	6	14	1	725	NA	725	NA
"168"	140	149	28	25	11	363	10	2	3	0	3	5	599	NA	599	NA
"169"	NA	1666	1177	432	113	3752	219	99	145	72	122	99	7896	0	7896	0
"170"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"171"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"172"	141	46	75	19	4	99	1	2	33	0	1	1	281	NA	281	NA
"173"	142	103	126	230	1	198	14	5	9	4	4	13	707	NA	707	NA
"174"	143	88	155	188	9	70	3	7	47	6	14	5	592	NA	592	NA
"175"	144	209	45	15	11	438	9	3	8	1	2	1	742	NA	742	NA
"176"	145	55	45	2	2	546	14	5	6	2	2	5	684	NA	684	NA
"177"	146	58	58	79	7	226	15	6	138	9	10	10	616	NA	616	NA
"178"	147	82	60	32	4	87	5	3	97	6	0	4	380	NA	380	NA
"179"	148	49	28	55	35	69	1	2	12	6	1	6	264	NA	264	NA
"180"	149	80	143	9	3	144	2	3	59	6	11	4	464	NA	464	NA
"181"	150	157	120	12	7	102	6	6	95	8	11	6	530	NA	530	NA
"182"	151	155	120	9	0	76	3	1	13	0	1	3	381	NA	381	NA
"183"	152	188	60	21	6	231	6	2	32	4	1	5	556	NA	556	NA
"184"	153	34	225	108	10	157	13	6	3	5	14	11	586	NA	586	NA
"185"	154	46	32	4	1	22	0	1	15	1	5	1	128	NA	128	NA
"186"	NA	1350	1292	783	100	2465	92	52	567	58	77	75	6911	0	6911	0
"187"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"188"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"189"	155	15	188	20	35	169	8	6	5	10	24	18	498	NA	498	NA
"190"	156	54	122	46	8	299	10	2	3	2	3	5	554	NA	554	NA
"191"	157	54	124	13	4	247	8	10	11	5	10	16	502	NA	502	NA
"192"	158	31	167	69	5	104	5	7	82	13	10	7	500	NA	500	NA
"193"	159	11	111	151	6	155	10	11	27	10	10	10	512	NA	512	NA
"194"	160	14	98	30	6	199	5	9	181	9	6	14	571	NA	571	NA
"195"	161	19	98	98	9	83	1	3	6	0	2	0	319	NA	319	NA
"196"	162	17	20	24	5	61	0	1	15	0	2	2	147	NA	147	NA
"197"	163	65	32	1	3	127	5	2	3	1	0	5	244	NA	244	NA
"198"	164	37	46	15	5	246	7	4	13	3	10	3	389	NA	389	NA
"199"	165	115	215	15	1	9	2	3	1	0	10	3	374	NA	374	NA
"200"	166	250	63	59	3	311	9	4	5	1	4	6	715	NA	715	NA
"201"	167	99	56	21	0	137	3	2	23	2	6	1	350	NA	350	NA
"202"	168	26	160	27	38	177	4	6	11	5	8	5	467	NA	467	NA
"203"	NA	807	1500	589	128	2324	77	70	386	61	105	95	6142	0	6142	0
"204"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"206"	169	51	171	58	12	135	16	8	12	11	13	13	500	NA	500	NA
"207"	170	17	54	15	3	144	5	6	21	4	6	8	283	NA	283	NA
"208"	171	53	176	9	1	15	3	1	67	5	2	0	332	NA	332	NA
"209"	172	56	160	34	5	175	11	9	18	14	17	6	505	NA	505	NA
"210"	173	40	136	12	7	255	18	6	5	7	17	17	520	NA	520	NA
"211"	174	37	153	16	11	160	12	10	12	7	12	11	441	NA	441	NA
"212"	175	28	114	3	3	103	5	2	0	2	5	2	267	NA	267	NA
"213"	176	14	118	5	19	195	12	5	4	8	17	16	413	NA	413	NA
"214"	177	28	167	17	18	116	4	2	14	7	11	5	389	NA	389	NA
"215"	178	26	140	12	123	306	19	6	2	9	20	20	683	NA	683	NA
"216"	179	52	61	88	9	119	13	5	4	5	10	4	370	NA	370	NA
"217"	180	46	376	12	1	71	1	11	7	3	12	6	546	NA	546	NA
"218"	181	25	176	32	2	62	10	4	17	8	17	2	355	NA	355	NA
"219"	182	22	140	8	15	145	12	7	15	6	7	14	391	NA	391	NA
"220"	NA	495	2142	321	229	2001	141	82	198	96	166	124	5995	0	5995	0
"221"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"222"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"223"	183	22	86	59	58	11	0	4	11	1	3	5	260	NA	260	NA
"224"	184	29	58	95	61	173	8	7	6	2	8	3	450	NA	450	NA
"225"	185	29	115	16	16	31	3	3	0	1	4	4	222	NA	222	NA
"226"	186	18	146	40	13	101	2	5	9	3	3	1	341	NA	341	NA
"227"	187	100	103	27	12	77	3	2	37	2	7	4	374	NA	374	NA
"228"	188	83	86	25	14	89	6	6	41	4	4	7	365	NA	365	NA
"229"	189	79	330	30	49	174	3	13	14	10	9	7	718	NA	718	NA
"230"	190	50	55	166	9	89	0	3	6	5	6	3	392	NA	392	NA
"231"	191	17	34	283	17	113	6	4	25	8	7	12	526	NA	526	NA
"232"	192	24	103	135	5	120	5	5	7	2	8	4	418	NA	418	NA
"233"	193	116	63	44	2	146	7	6	1	2	4	2	393	NA	393	NA
"234"	194	30	166	35	14	98	5	4	6	5	8	6	377	NA	377	NA
"235"	195	155	98	47	6	225	8	8	5	5	9	7	573	NA	573	NA
"236"	196	104	100	82	4	87	8	8	12	8	12	20	445	NA	445	NA
"237"	NA	856	1543	1084	280	1534	64	78	180	58	92	85	5854	0	5854	0
"238"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"240"	197	109	55	56	9	230	9	10	6	6	4	12	506	NA	506	NA
"241"	198	0	60	5	0	27	1	0	0	0	2	1	96	NA	96	NA
"242"	199	32	147	106	24	240	29	9	16	10	15	16	644	NA	644	NA
"243"	200	46	135	46	34	105	2	8	1	4	7	7	395	NA	395	NA
"244"	201	30	139	147	6	168	10	6	8	6	13	9	542	NA	542	NA
"245"	202	30	153	213	22	261	25	9	4	9	19	13	758	NA	758	NA
"246"	203	16	115	137	12	152	14	5	3	5	10	0	469	NA	469	NA
"247"	204	52	37	174	11	39	4	6	12	4	4	2	345	NA	345	NA
"248"	205	7	34	13	3	127	6	1	0	6	6	5	208	NA	208	NA
"249"	206	22	81	80	2	8	5	6	7	4	8	5	228	NA	228	NA
"250"	207	26	116	50	3	212	15	3	3	4	6	0	438	NA	438	NA
"251"	208	4	48	119	7	54	7	5	19	2	8	3	276	NA	276	NA
"252"	209	57	132	52	22	165	10	7	2	9	10	8	474	NA	474	NA
"253"	NA	431	1252	1198	155	1788	137	75	81	69	112	81	5379	0	5379	0
