"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"40"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"41"	"32"	"197"	"24"	"61"	"201"	""	"3"	"2"	"2"	"109"	"4"	"3"	"0"	"0"	"2"	"0"	"0"	"1"	"8"	"3"	"399"
"42"	"32"	"197"	"25"	"246"	"169"	""	"8"	"3"	"2"	"68"	"0"	"5"	"0"	"2"	"0"	"0"	"2"	"1"	"9"	"10"	"525"
"43"	"32"	"197"	"26"	"221"	"95"	""	"38"	"6"	"0"	"137"	"3"	"3"	"0"	"0"	"3"	"1"	"0"	"1"	"5"	"5"	"518"
"44"	"32"	"197"	"27"	"167"	"44"	""	"4"	"39"	"1"	"98"	"6"	"4"	"1"	"3"	"5"	"0"	"5"	"4"	"9"	"17"	"407"
"45"	"32"	"197"	"28"	"87"	"67"	""	"4"	"33"	"1"	"37"	"2"	"2"	"0"	"0"	"3"	"1"	"3"	"2"	"8"	"3"	"253"
"46"	"32"	"197"	"29"	"288"	"71"	""	"5"	"6"	"4"	"67"	"2"	"1"	"1"	"4"	"0"	"5"	"3"	"1"	"4"	"7"	"469"
"47"	"32"	"197"	"30"	"267"	"180"	""	"20"	"3"	"1"	"46"	"3"	"4"	"3"	"2"	"3"	"2"	"7"	"6"	"20"	"17"	"584"
"48"	"32"	"197"	"31"	"44"	"137"	""	"2"	"2"	"1"	"15"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"3"	"211"
"49"	"32"	"197"	"32"	"165"	"218"	""	"10"	"18"	"1"	"8"	"0"	"10"	"2"	"0"	"3"	"2"	"0"	"0"	"3"	"1"	"441"
"50"	"32"	"197"	"33"	"1"	"373"	""	"1"	"4"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"383"
"51"	"32"	"197"	"34"	"63"	"176"	""	"9"	"10"	"2"	"206"	"3"	"5"	"1"	"1"	"2"	"0"	"5"	"3"	"16"	"2"	"504"
"52"	"32"	"197"	"35"	"81"	"95"	""	"7"	"5"	"0"	"112"	"4"	"5"	"1"	"1"	"5"	"1"	"2"	"9"	"206"	"14"	"548"
"53"	"32"	"197"	"36"	"125"	"129"	""	"5"	"7"	"0"	"26"	"0"	"5"	"1"	"1"	"1"	"1"	"1"	"2"	"17"	"6"	"327"
"54"	"32"	"197"	"37"	"73"	"111"	""	"1"	"8"	"3"	"71"	"4"	"1"	"1"	"1"	"3"	"1"	"1"	"0"	"12"	"1"	"292"
"55"	"32"	"197"	"38"	"35"	"191"	""	"24"	"3"	"3"	"46"	"2"	"3"	"0"	"1"	"1"	"1"	"2"	"2"	"6"	"3"	"323"
"56"	"32"	"197"	"39"	"52"	"82"	""	"2"	"11"	"0"	"3"	"2"	"2"	"0"	"1"	"2"	"0"	"1"	"1"	"3"	"2"	"164"
"57"	"32"	"197"	"40"	"34"	"58"	""	"13"	"17"	"2"	"114"	"0"	"2"	"0"	"5"	"4"	"0"	"1"	"1"	"7"	"2"	"260"
"58"	"32"	"197"	"41"	"98"	"198"	""	"4"	"15"	"0"	"4"	"0"	"16"	"1"	"1"	"0"	"0"	"1"	"3"	"8"	"9"	"358"
"59"	"32"	"197"	"42"	"100"	"170"	""	"34"	"78"	"3"	"41"	"1"	"2"	"1"	"5"	"0"	"0"	"2"	"1"	"3"	"3"	"444"
"60"	"32"	"197"	"43"	"195"	"79"	""	"3"	"12"	"1"	"6"	"2"	"5"	"0"	"1"	"0"	"0"	"3"	"0"	"4"	"2"	"313"
"61"	"32"	"197"	"44"	"241"	"70"	""	"20"	"1"	"0"	"15"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"5"	"4"	"361"
"62"	"32"	"197"	"45"	"50"	"174"	""	"5"	"5"	"1"	"45"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"286"
"63"	"32"	"197"	"46"	"108"	"148"	""	"2"	"5"	"0"	"20"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"288"
"64"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 197-Jagdishpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"73"	"32"	"197"	"47"	"10"	"382"	""	"2"	"1"	"0"	"21"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"5"	"0"	"425"
"74"	"32"	"197"	"48"	"123"	"76"	""	"8"	"56"	"4"	"228"	"9"	"2"	"2"	"1"	"5"	"6"	"2"	"2"	"12"	"17"	"553"
"75"	"32"	"197"	"49"	"33"	"38"	""	"77"	"6"	"0"	"128"	"5"	"4"	"3"	"4"	"2"	"0"	"2"	"2"	"9"	"8"	"321"
"76"	"32"	"197"	"50"	"82"	"10"	""	"25"	"23"	"4"	"166"	"5"	"0"	"0"	"6"	"2"	"1"	"2"	"1"	"21"	"3"	"351"
"77"	"32"	"197"	"51"	"10"	"257"	""	"7"	"3"	"2"	"6"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"3"	"7"	"5"	"306"
"78"	"32"	"197"	"52"	"79"	"20"	""	"102"	"6"	"2"	"84"	"6"	"0"	"0"	"1"	"1"	"0"	"2"	"2"	"6"	"10"	"321"
"79"	"32"	"197"	"53"	"19"	"220"	""	"0"	"5"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"270"
"80"	"32"	"197"	"54"	"87"	"146"	""	"92"	"3"	"0"	"13"	"2"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"1"	"4"	"354"
"81"	"32"	"197"	"55"	"33"	"109"	""	"2"	"0"	"0"	"17"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"0"	"170"
"82"	"32"	"197"	"56"	"103"	"224"	""	"2"	"13"	"2"	"7"	"2"	"5"	"1"	"1"	"2"	"2"	"1"	"5"	"6"	"4"	"380"
"83"	"32"	"197"	"57"	"76"	"67"	""	"8"	"8"	"2"	"129"	"4"	"9"	"1"	"2"	"3"	"3"	"0"	"1"	"10"	"11"	"334"
"84"	"32"	"197"	"58"	"80"	"178"	""	"10"	"4"	"3"	"143"	"4"	"1"	"3"	"5"	"7"	"4"	"1"	"0"	"23"	"20"	"486"
"85"	"32"	"197"	"59"	"18"	"11"	""	"1"	"17"	"1"	"285"	"5"	"3"	"1"	"1"	"3"	"0"	"1"	"1"	"9"	"3"	"360"
"86"	"32"	"197"	"60"	"29"	"449"	""	"2"	"6"	"1"	"48"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"5"	"4"	"545"
"87"	"32"	"197"	"61"	"84"	"197"	""	"37"	"7"	"2"	"113"	"1"	"4"	"0"	"1"	"2"	"1"	"1"	"3"	"6"	"4"	"463"
"88"	"32"	"197"	"62"	"193"	"213"	""	"32"	"23"	"4"	"51"	"4"	"0"	"0"	"2"	"3"	"1"	"4"	"4"	"13"	"17"	"564"
"89"	"32"	"197"	"63"	"121"	"17"	""	"20"	"9"	"4"	"169"	"9"	"4"	"2"	"6"	"17"	"5"	"6"	"4"	"12"	"31"	"436"
"90"	"32"	"197"	"64"	"32"	"387"	""	"27"	"24"	"3"	"58"	"0"	"3"	"1"	"0"	"1"	"2"	"0"	"2"	"16"	"2"	"558"
"91"	"32"	"197"	"65"	"50"	"65"	""	"55"	"26"	"3"	"165"	"2"	"1"	"0"	"0"	"14"	"3"	"2"	"4"	"16"	"7"	"413"
"92"	"32"	"197"	"66"	"95"	"18"	""	"2"	"32"	"2"	"235"	"2"	"0"	"4"	"2"	"4"	"1"	"0"	"0"	"3"	"3"	"403"
"93"	"32"	"197"	"67"	"109"	"6"	""	"12"	"13"	"1"	"68"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"216"
"94"	"32"	"197"	"68"	"45"	"23"	""	"36"	"2"	"0"	"274"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"385"
"95"	"32"	"197"	"69"	"91"	"32"	""	"31"	"7"	"1"	"213"	"1"	"10"	"8"	"6"	"8"	"2"	"1"	"1"	"13"	"10"	"435"
"96"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 197-Jagdishpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"105"	"32"	"197"	"70"	"243"	"27"	""	"3"	"9"	"0"	"90"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"378"
"106"	"32"	"197"	"71"	"36"	"11"	""	"1"	"4"	"2"	"105"	"2"	"3"	"5"	"2"	"4"	"3"	"0"	"3"	"6"	"8"	"195"
"107"	"32"	"197"	"72"	"100"	"52"	""	"3"	"27"	"1"	"106"	"4"	"6"	"0"	"2"	"0"	"1"	"3"	"2"	"9"	"6"	"322"
"108"	"32"	"197"	"73"	"112"	"6"	""	"17"	"11"	"9"	"183"	"11"	"2"	"3"	"1"	"2"	"3"	"1"	"0"	"19"	"7"	"387"
"109"	"32"	"197"	"74"	"70"	"138"	""	"6"	"39"	"0"	"32"	"1"	"0"	"1"	"0"	"2"	"0"	"2"	"1"	"4"	"0"	"296"
"110"	"32"	"197"	"75"	"161"	"165"	""	"10"	"23"	"3"	"36"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"400"
"111"	"32"	"197"	"76"	"257"	"161"	""	"37"	"13"	"5"	"34"	"5"	"4"	"0"	"2"	"1"	"0"	"5"	"2"	"26"	"18"	"570"
"112"	"32"	"197"	"77"	"199"	"66"	""	"7"	"11"	"3"	"101"	"9"	"6"	"3"	"4"	"1"	"1"	"4"	"4"	"21"	"25"	"465"
"113"	"32"	"197"	"78"	"154"	"66"	""	"6"	"35"	"4"	"178"	"4"	"3"	"1"	"3"	"1"	"5"	"2"	"6"	"10"	"16"	"494"
"114"	"32"	"197"	"79"	"183"	"183"	""	"9"	"5"	"4"	"26"	"1"	"2"	"0"	"3"	"1"	"2"	"1"	"9"	"8"	"6"	"443"
"115"	"32"	"197"	"80"	"225"	"38"	""	"0"	"5"	"0"	"28"	"6"	"0"	"0"	"5"	"1"	"1"	"1"	"0"	"4"	"6"	"320"
"116"	"32"	"197"	"81"	"249"	"106"	""	"8"	"8"	"1"	"37"	"5"	"2"	"2"	"8"	"2"	"1"	"3"	"4"	"9"	"22"	"467"
"117"	"32"	"197"	"82"	"111"	"102"	""	"4"	"17"	"2"	"52"	"0"	"2"	"0"	"2"	"4"	"1"	"0"	"5"	"21"	"12"	"335"
"118"	"32"	"197"	"83"	"176"	"115"	""	"4"	"9"	"3"	"88"	"0"	"1"	"0"	"1"	"4"	"1"	"4"	"1"	"15"	"4"	"426"
"119"	"32"	"197"	"84"	"203"	"75"	""	"9"	"10"	"2"	"53"	"0"	"0"	"1"	"5"	"0"	"3"	"1"	"8"	"11"	"15"	"396"
"120"	"32"	"197"	"85"	"199"	"84"	""	"9"	"4"	"2"	"14"	"0"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"5"	"8"	"332"
"121"	"32"	"197"	"86"	"246"	"86"	""	"13"	"12"	"1"	"62"	"2"	"3"	"1"	"1"	"0"	"1"	"3"	"3"	"9"	"5"	"448"
"122"	"32"	"197"	"87"	"282"	"40"	""	"4"	"6"	"3"	"110"	"0"	"3"	"0"	"5"	"5"	"3"	"2"	"2"	"14"	"21"	"500"
"123"	"32"	"197"	"88"	"281"	"25"	""	"3"	"8"	"0"	"30"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"3"	"358"
"124"	"32"	"197"	"89"	"250"	"26"	""	"5"	"7"	"2"	"19"	"2"	"1"	"1"	"1"	"0"	"1"	"4"	"3"	"1"	"10"	"333"
"125"	"32"	"197"	"90"	"122"	"31"	""	"103"	"8"	"2"	"30"	"2"	"0"	"0"	"4"	"5"	"1"	"4"	"3"	"7"	"9"	"331"
"126"	"32"	"197"	"91"	"52"	"63"	""	"32"	"27"	"6"	"94"	"3"	"3"	"1"	"3"	"1"	"3"	"4"	"5"	"12"	"8"	"317"
"127"	"32"	"197"	"92"	"245"	"11"	""	"8"	"4"	"0"	"33"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"2"	"6"	"11"	"326"
"128"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 197-Jagdishpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"137"	"32"	"197"	"93"	"165"	"116"	""	"1"	"4"	"2"	"38"	"1"	"0"	"1"	"3"	"0"	"1"	"0"	"1"	"8"	"8"	"349"
"138"	"32"	"197"	"94"	"225"	"128"	""	"12"	"9"	"4"	"63"	"3"	"2"	"2"	"3"	"2"	"1"	"1"	"2"	"11"	"6"	"474"
"139"	"32"	"197"	"95"	"83"	"210"	""	"68"	"12"	"1"	"105"	"6"	"4"	"4"	"5"	"5"	"1"	"4"	"8"	"12"	"8"	"536"
"140"	"32"	"197"	"96"	"119"	"151"	""	"27"	"2"	"1"	"16"	"1"	"1"	"0"	"4"	"1"	"0"	"0"	"2"	"3"	"2"	"330"
"141"	"32"	"197"	"97"	"25"	"158"	""	"24"	"2"	"3"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"2"	"222"
"142"	"32"	"197"	"98"	"150"	"163"	""	"10"	"6"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"12"	"8"	"368"
"143"	"32"	"197"	"99"	"80"	"233"	""	"7"	"17"	"4"	"47"	"1"	"3"	"0"	"0"	"0"	"1"	"3"	"3"	"8"	"1"	"408"
"144"	"32"	"197"	"100"	"134"	"54"	""	"7"	"7"	"0"	"134"	"4"	"4"	"1"	"6"	"2"	"4"	"0"	"3"	"22"	"9"	"391"
"145"	"32"	"197"	"101"	"146"	"102"	""	"4"	"4"	"1"	"24"	"1"	"4"	"0"	"2"	"0"	"0"	"0"	"1"	"6"	"2"	"297"
"146"	"32"	"197"	"102"	"37"	"5"	""	"6"	"2"	"2"	"303"	"24"	"4"	"4"	"7"	"19"	"9"	"0"	"4"	"13"	"24"	"463"
"147"	"32"	"197"	"103"	"129"	"78"	""	"4"	"4"	"2"	"112"	"3"	"2"	"0"	"1"	"4"	"2"	"1"	"0"	"8"	"7"	"357"
"148"	"32"	"197"	"104"	"13"	"161"	""	"4"	"5"	"2"	"208"	"1"	"7"	"0"	"2"	"6"	"2"	"3"	"3"	"18"	"17"	"452"
"149"	"32"	"197"	"105"	"123"	"15"	""	"22"	"8"	"3"	"52"	"3"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"10"	"3"	"246"
"150"	"32"	"197"	"106"	"148"	"161"	""	"5"	"8"	"4"	"134"	"5"	"2"	"1"	"1"	"2"	"5"	"0"	"3"	"19"	"6"	"504"
"151"	"32"	"197"	"107"	"77"	"200"	""	"6"	"16"	"1"	"59"	"0"	"3"	"0"	"2"	"2"	"2"	"1"	"2"	"12"	"4"	"387"
"152"	"32"	"197"	"108"	"68"	"98"	""	"12"	"2"	"0"	"13"	"0"	"1"	"0"	"3"	"0"	"1"	"0"	"1"	"3"	"8"	"210"
"153"	"32"	"197"	"109"	"55"	"92"	""	"6"	"16"	"2"	"87"	"3"	"0"	"4"	"0"	"0"	"2"	"0"	"5"	"8"	"5"	"285"
"154"	"32"	"197"	"110"	"84"	"289"	""	"16"	"3"	"4"	"130"	"3"	"3"	"0"	"5"	"3"	"1"	"4"	"10"	"13"	"13"	"581"
"155"	"32"	"197"	"111"	"145"	"152"	""	"1"	"5"	"5"	"14"	"0"	"1"	"0"	"6"	"1"	"0"	"0"	"1"	"13"	"12"	"356"
"156"	"32"	"197"	"112"	"322"	"51"	""	"1"	"9"	"0"	"24"	"0"	"1"	"2"	"2"	"0"	"0"	"1"	"4"	"5"	"10"	"432"
"157"	"32"	"197"	"113"	"184"	"27"	""	"1"	"1"	"0"	"87"	"5"	"2"	"1"	"0"	"1"	"2"	"1"	"0"	"8"	"6"	"326"
"158"	"32"	"197"	"114"	"363"	"21"	""	"2"	"0"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"405"
