"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193-BARHARA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"PC No."	"AC No."	"BOOTH No."	"BOOTH EXT"	"Meena Singh"	""	"Rama Kishore Singh"	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar
Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad
Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"110"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193-BARHARA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"PC No."	"AC No."	"BOOTH No."	"BOOTH EXT"	"Meena Singh"	""	"Rama Kishore Singh"	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar
Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad
Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"114"	"32"	"193"	"79"	""	"180"	""	"82"	"82"	"7"	"0"	"21"	"0"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"4"	"5"	"387"
"115"	"32"	"193"	"80"	""	"137"	""	"178"	"7"	"4"	"3"	"1"	"1"	"1"	"4"	"0"	"1"	"3"	"2"	"2"	"10"	"11"	"365"
"116"	"32"	"193"	"81"	""	"339"	""	"20"	"2"	"5"	"0"	"101"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"472"
"117"	"32"	"193"	"82"	""	"276"	""	"44"	"6"	"16"	"5"	"44"	"5"	"6"	"2"	"2"	"4"	"2"	"5"	"3"	"12"	"15"	"447"
"118"	"32"	"193"	"83"	""	"175"	""	"143"	"10"	"12"	"4"	"19"	"3"	"4"	"1"	"2"	"0"	"0"	"4"	"2"	"9"	"4"	"392"
"119"	"32"	"193"	"84"	""	"353"	""	"70"	"41"	"9"	"1"	"16"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"499"
"120"	"32"	"193"	"85"	""	"303"	""	"166"	"17"	"14"	"1"	"3"	"2"	"2"	"1"	"1"	"0"	"0"	"1"	"2"	"5"	"8"	"526"
"121"	"32"	"193"	"86"	""	"216"	""	"50"	"6"	"80"	"3"	"19"	"3"	"3"	"5"	"3"	"0"	"2"	"2"	"4"	"14"	"11"	"421"
"122"	"32"	"193"	"87"	""	"127"	""	"161"	"7"	"29"	"3"	"7"	"0"	"4"	"0"	"0"	"1"	"3"	"1"	"3"	"6"	"7"	"359"
"123"	"32"	"193"	"88"	""	"48"	""	"22"	"4"	"5"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"0"	"90"
"124"	"32"	"193"	"89"	""	"243"	""	"12"	"1"	"11"	"0"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"304"
"125"	"32"	"193"	"90"	""	"77"	""	"23"	"4"	"10"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"123"
"126"	"32"	"193"	"91"	""	"103"	""	"28"	"6"	"3"	"2"	"44"	"1"	"0"	"0"	"2"	"5"	"0"	"0"	"0"	"4"	"4"	"202"
"127"	"32"	"193"	"92"	""	"213"	""	"51"	"13"	"19"	"1"	"16"	"0"	"2"	"1"	"0"	"1"	"3"	"3"	"1"	"4"	"7"	"335"
"128"	"32"	"193"	"93"	""	"219"	""	"42"	"2"	"4"	"1"	"6"	"1"	"2"	"0"	"4"	"1"	"1"	"2"	"2"	"11"	"8"	"306"
"129"	"32"	"193"	"94"	""	"149"	""	"57"	"23"	"4"	"0"	"10"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"2"	"252"
"130"	"32"	"193"	"95"	""	"192"	""	"24"	"23"	"8"	"1"	"3"	"2"	"2"	"0"	"2"	"2"	"1"	"1"	"1"	"3"	"11"	"276"
"131"	"32"	"193"	"96"	""	"74"	""	"81"	"7"	"2"	"0"	"32"	"0"	"4"	"2"	"1"	"2"	"1"	"2"	"5"	"7"	"12"	"232"
"132"	"32"	"193"	"97"	""	"157"	""	"19"	"2"	"8"	"0"	"47"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"236"
"133"	"32"	"193"	"98"	""	"139"	""	"32"	"3"	"2"	"1"	"88"	"2"	"1"	"0"	"3"	"0"	"1"	"0"	"0"	"4"	"13"	"289"
"134"	"32"	"193"	"99"	""	"180"	""	"79"	"1"	"8"	"1"	"46"	"2"	"2"	"3"	"4"	"3"	"2"	"1"	"5"	"13"	"24"	"374"
"135"	"32"	"193"	"100"	""	"91"	""	"139"	"6"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"1"	"2"	"2"	"250"
"136"	"32"	"193"	"101"	""	"5"	""	"88"	"1"	"5"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"
"137"	"32"	"193"	"102"	""	"26"	""	"19"	"0"	"0"	"0"	"58"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	"0"	"112"
"138"	"32"	"193"	"103"	""	"153"	""	"13"	"5"	"4"	"0"	"94"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"275"
"139"	"32"	"193"	"104"	""	"91"	""	"33"	"7"	"3"	"2"	"145"	"2"	"4"	"2"	"5"	"2"	"2"	"4"	"1"	"6"	"7"	"316"
"140"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193-BARHARA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
