"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-     273079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 156-Bhagalpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"24"	"15"	"15"	"7"	"297"	"21"	"4"	"104"	"3"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"3"	"3"	"0"	"0"	"0"	"1"	"449"	"0"	"449"	"0"
"25"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"26"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"27"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"28"	"16"	"16"	"25"	"67"	"92"	"6"	"379"	"3"	"2"	"1"	"0"	"1"	"0"	"3"	"1"	"5"	"0"	"4"	"0"	"1"	"3"	"1"	"4"	"598"	"0"	"598"	"0"
"29"	"17"	"17"	"30"	"63"	"65"	"7"	"267"	"4"	"1"	"2"	"1"	"4"	"0"	"7"	"3"	"2"	"9"	"3"	"1"	"4"	"1"	"0"	"5"	"479"	"0"	"479"	"0"
"30"	"18"	"18"	"22"	"24"	"27"	"4"	"173"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"258"	"0"	"258"	"0"
"31"	"19"	"19"	"31"	"64"	"33"	"0"	"206"	"6"	"0"	"1"	"1"	"3"	"2"	"2"	"3"	"0"	"1"	"9"	"0"	"4"	"0"	"0"	"3"	"369"	"0"	"369"	"0"
"32"	"20"	"20"	"67"	"68"	"26"	"2"	"123"	"4"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"300"	"0"	"300"	"0"
"33"	"21"	"21"	"6"	"149"	"22"	"2"	"96"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"2"	"285"	"0"	"285"	"0"
"34"	"22"	"22"	"1"	"14"	"65"	"2"	"193"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"3"	"0"	"1"	"283"	"0"	"283"	"0"
"35"	"23"	"23"	"62"	"64"	"30"	"1"	"232"	"0"	"0"	"0"	"1"	"8"	"0"	"0"	"3"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"1"	"406"	"0"	"406"	"0"
"36"	"24"	"24"	"27"	"33"	"24"	"0"	"208"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"2"	"0"	"2"	"304"	"0"	"304"	"0"
"37"	"25"	"25"	"14"	"22"	"31"	"4"	"165"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"6"	"0"	"1"	"1"	"0"	"0"	"250"	"0"	"250"	"0"
"38"	"26"	"26"	"10"	"31"	"19"	"0"	"238"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"304"	"0"	"304"	"0"
"39"	"27"	"27"	"14"	"70"	"20"	"4"	"271"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"386"	"0"	"386"	"0"
"40"	"28"	"28"	"15"	"14"	"32"	"3"	"180"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"3"	"1"	"2"	"0"	"0"	"3"	"262"	"0"	"262"	"0"
"41"	"29"	"29"	"21"	"37"	"28"	"12"	"130"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"2"	"236"	"0"	"236"	"0"
"42"	"30"	"30"	"52"	"23"	"28"	"12"	"130"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"2"	"255"	"0"	"255"	"0"
"43"	"31"	"31"	"28"	"65"	"20"	"2"	"149"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"1"	"1"	"6"	"1"	"2"	"0"	"3"	"284"	"0"	"284"	"0"
"44"	"32"	"32"	"22"	"23"	"21"	"4"	"132"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"1"	"30"	"3"	"0"	"0"	"244"	"0"	"244"	"0"
"45"	"33"	"33"	"24"	"8"	"14"	"4"	"147"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"203"	"0"	"203"	"0"
"46"	"34"	"34"	"24"	"24"	"14"	"5"	"117"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"189"	"0"	"189"	"0"
"47"	"35"	"35"	"31"	"22"	"38"	"3"	"193"	"3"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"298"	"0"	"298"	"0"
"48"	"36"	"36"	"7"	"28"	"46"	"3"	"183"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"276"	"0"	"276"	"0"
"49"	"37"	"37"	"8"	"25"	"29"	"5"	"164"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"7"	"4"	"4"	"0"	"0"	"249"	"0"	"249"	"0"
"50"	"38"	"38"	"18"	"20"	"67"	"3"	"139"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"254"	"0"	"254"	"0"
"51"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"52"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"53"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"54"	"39"	"39"	"19"	"162"	"20"	"4"	"189"	"1"	"2"	"1"	"0"	"1"	"1"	"2"	"3"	"3"	"6"	"4"	"21"	"5"	"0"	"0"	"8"	"452"	"0"	"452"	"0"
"55"	"40"	"40"	"13"	"198"	"35"	"2"	"157"	"1"	"0"	"2"	"0"	"14"	"4"	"0"	"0"	"2"	"2"	"6"	"14"	"3"	"2"	"1"	"6"	"462"	"0"	"462"	"0"
"56"	"41"	"41"	"11"	"159"	"21"	"3"	"108"	"6"	"0"	"2"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"4"	"32"	"1"	"1"	"1"	"3"	"362"	"0"	"362"	"0"
"57"	"42"	"42"	"37"	"78"	"35"	"4"	"134"	"1"	"0"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"9"	"9"	"3"	"3"	"0"	"2"	"325"	"0"	"325"	"0"
"58"	"43"	"43"	"30"	"207"	"20"	"5"	"109"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"1"	"2"	"6"	"0"	"1"	"0"	"2"	"388"	"0"	"388"	"0"
"59"	"44"	"44"	"23"	"130"	"34"	"3"	"95"	"3"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"2"	"4"	"9"	"5"	"10"	"0"	"1"	"0"	"324"	"0"	"324"	"0"
"60"	"45"	"45"	"17"	"33"	"15"	"6"	"237"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"2"	"3"	"7"	"51"	"0"	"0"	"2"	"381"	"0"	"381"	"0"
"61"	"46"	"46"	"25"	"16"	"11"	"0"	"164"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"0"	"0"	"226"	"0"	"226"	"0"
"62"	"47"	"47"	"165"	"18"	"16"	"0"	"145"	"1"	"1"	"0"	"2"	"1"	"3"	"0"	"1"	"1"	"1"	"5"	"7"	"6"	"0"	"0"	"1"	"374"	"0"	"374"	"0"
"63"	"48"	"48"	"11"	"134"	"14"	"5"	"123"	"1"	"0"	"2"	"0"	"1"	"3"	"4"	"1"	"1"	"1"	"5"	"5"	"1"	"0"	"0"	"1"	"313"	"0"	"313"	"0"
"64"	"49"	"49"	"21"	"182"	"34"	"1"	"126"	"0"	"2"	"0"	"0"	"1"	"1"	"3"	"1"	"1"	"1"	"2"	"8"	"3"	"0"	"0"	"2"	"389"	"0"	"389"	"0"
"65"	"50"	"50"	"13"	"212"	"7"	"2"	"107"	"2"	"0"	"1"	"1"	"2"	"1"	"1"	"0"	"0"	"2"	"1"	"8"	"4"	"1"	"0"	"1"	"366"	"0"	"366"	"0"
"66"	"51"	"51"	"13"	"191"	"6"	"5"	"162"	"1"	"0"	"1"	"0"	"2"	"4"	"2"	"2"	"1"	"7"	"1"	"2"	"0"	"1"	"1"	"0"	"402"	"0"	"402"	"0"
"67"	"52"	"52"	"20"	"79"	"23"	"8"	"149"	"4"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"4"	"2"	"6"	"11"	"3"	"4"	"7"	"324"	"0"	"324"	"0"
"68"	"53"	"53"	"27"	"29"	"26"	"4"	"205"	"3"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"3"	"5"	"2"	"6"	"317"	"0"	"317"	"0"
"69"	"54"	"54"	"29"	"272"	"43"	"7"	"242"	"4"	"3"	"0"	"14"	"1"	"1"	"5"	"2"	"2"	"6"	"2"	"3"	"1"	"2"	"2"	"7"	"648"	"0"	"648"	"0"
"70"	"55"	"55"	"118"	"87"	"30"	"2"	"166"	"10"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"423"	"0"	"423"	"0"
"71"	"56"	"56"	"81"	"128"	"35"	"8"	"354"	"11"	"1"	"1"	"0"	"1"	"3"	"8"	"1"	"8"	"9"	"10"	"2"	"3"	"1"	"0"	"7"	"672"	"0"	"672"	"0"
"72"	"57"	"57"	"22"	"63"	"16"	"1"	"166"	"4"	"0"	"2"	"3"	"2"	"1"	"2"	"0"	"1"	"4"	"4"	"3"	"1"	"0"	"0"	"2"	"297"	"0"	"297"	"0"
"73"	"58"	"58"	"32"	"83"	"51"	"5"	"200"	"3"	"1"	"1"	"3"	"0"	"2"	"3"	"0"	"3"	"2"	"4"	"7"	"1"	"0"	"1"	"4"	"406"	"0"	"406"	"0"
"74"	"59"	"59"	"5"	"19"	"32"	"2"	"128"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"1"	"194"	"0"	"194"	"0"
"75"	"60"	"60"	"8"	"37"	"22"	"4"	"170"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"5"	"0"	"0"	"1"	"252"	"0"	"252"	"0"
"76"	"61"	"61"	"6"	"157"	"17"	"7"	"137"	"2"	"1"	"1"	"0"	"1"	"4"	"1"	"0"	"2"	"0"	"4"	"1"	"3"	"0"	"0"	"0"	"344"	"0"	"344"	"0"
"77"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"78"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"79"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"80"	"62"	"62"	"16"	"23"	"13"	"0"	"235"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"291"	"0"	"291"	"0"
"81"	"63"	"63"	"20"	"246"	"22"	"1"	"242"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"8"	"0"	"2"	"9"	"0"	"2"	"1"	"559"	"0"	"559"	"0"
"82"	"64"	"64"	"18"	"83"	"13"	"10"	"256"	"2"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"393"	"0"	"393"	"0"
"83"	"65"	"65"	"25"	"34"	"19"	"4"	"253"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"4"	"2"	"1"	"0"	"0"	"348"	"0"	"348"	"0"
"84"	"66"	"66"	"13"	"111"	"24"	"1"	"267"	"6"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"2"	"4"	"12"	"5"	"1"	"9"	"462"	"0"	"462"	"0"
"85"	"67"	"67"	"6"	"59"	"43"	"3"	"254"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"371"	"0"	"371"	"0"
"86"	"68"	"68"	"10"	"33"	"33"	"1"	"161"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"2"	"1"	"0"	"2"	"248"	"0"	"248"	"0"
"87"	"69"	"69"	"49"	"246"	"59"	"16"	"127"	"5"	"0"	"3"	"2"	"1"	"3"	"0"	"4"	"0"	"0"	"2"	"8"	"2"	"0"	"1"	"12"	"540"	"0"	"540"	"0"
"88"	"70"	"70"	"11"	"333"	"43"	"4"	"161"	"0"	"0"	"2"	"3"	"1"	"5"	"2"	"2"	"3"	"4"	"11"	"9"	"8"	"4"	"2"	"6"	"614"	"0"	"614"	"0"
"89"	"71"	"71"	"15"	"103"	"31"	"6"	"217"	"6"	"3"	"0"	"0"	"1"	"2"	"2"	"1"	"1"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"394"	"0"	"394"	"0"
"90"	"72"	"72"	"18"	"108"	"59"	"7"	"185"	"5"	"1"	"0"	"0"	"2"	"2"	"0"	"2"	"0"	"6"	"2"	"0"	"4"	"2"	"0"	"3"	"406"	"0"	"406"	"0"
"91"	"73"	"73"	"21"	"153"	"28"	"2"	"149"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"365"	"0"	"365"	"0"
"92"	"74"	"74"	"12"	"18"	"32"	"8"	"192"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"4"	"1"	"0"	"0"	"0"	"272"	"0"	"272"	"0"
"93"	"75"	"75"	"13"	"20"	"34"	"3"	"170"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"246"	"0"	"246"	"0"
"94"	"76"	"76"	"14"	"49"	"81"	"6"	"284"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"2"	"440"	"0"	"440"	"0"
"95"	"77"	"77"	"19"	"60"	"54"	"15"	"166"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"2"	"0"	"0"	"1"	"326"	"0"	"326"	"0"
"96"	"78"	"78"	"16"	"3"	"39"	"3"	"290"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"355"	"0"	"355"	"0"
"97"	"79"	"79"	"5"	"8"	"18"	"0"	"99"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"136"	"0"	"136"	"0"
"98"	"80"	"80"	"53"	"26"	"14"	"2"	"190"	"1"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"1"	"0"	"1"	"4"	"0"	"1"	"0"	"1"	"299"	"0"	"299"	"0"
"99"	"81"	"81"	"30"	"210"	"20"	"4"	"148"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"4"	"7"	"8"	"3"	"0"	"0"	"2"	"441"	"0"	"441"	"0"
"100"	"82"	"82"	"10"	"35"	"42"	"4"	"409"	"7"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"1"	"2"	"3"	"0"	"0"	"1"	"1"	"6"	"526"	"0"	"526"	"0"
"101"	"83"	"83"	"10"	"25"	"57"	"8"	"321"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"429"	"0"	"429"	"0"
"102"	"84"	"84"	"6"	"11"	"8"	"1"	"329"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"362"	"0"	"362"	"0"
"103"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"104"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"105"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"106"	"85"	"85"	"26"	"34"	"67"	"38"	"158"	"0"	"0"	"1"	"4"	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"2"	"0"	"7"	"3"	"5"	"351"	"0"	"351"	"0"
"107"	"86"	"86"	"16"	"30"	"33"	"3"	"150"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"240"	"0"	"240"	"0"
"108"	"87"	"87"	"3"	"56"	"42"	"6"	"217"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"4"	"2"	"1"	"0"	"1"	"0"	"3"	"340"	"0"	"340"	"0"
"109"	"88"	"88"	"6"	"69"	"26"	"9"	"240"	"4"	"0"	"0"	"1"	"3"	"1"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"365"	"0"	"365"	"0"
"110"	"89"	"89"	"24"	"105"	"33"	"4"	"219"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"1"	"400"	"0"	"400"	"0"
