"TOTAL.NO.OF.ELECTORS.IN.88..GAIGHAT.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X234814"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"52"	"47"	"64"	"124"	"54"	"4"	"10"	"1"	"1"	"7"	"4"	"16"	"2"	"1"	"6"	"6"	"10"	"10"	"7"	"109"	"6"	"45"	"1"	"3"	"3"	"8"	""	"502"	""	""
"53"	"48"	"92"	"41"	"87"	"20"	"3"	"0"	"2"	"0"	"1"	"5"	"0"	"1"	"4"	"4"	"2"	"4"	"3"	"45"	"0"	"12"	"0"	"3"	"0"	"0"	""	"329"	""	""
"54"	"49"	"30"	"3"	"35"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"119"	"0"	"10"	"0"	"0"	"0"	"0"	""	"203"	""	""
"55"	"50"	"44"	"47"	"95"	"3"	"63"	"2"	"2"	"5"	"7"	"6"	"2"	"8"	"1"	"13"	"5"	"11"	"5"	"26"	"1"	"5"	"2"	"0"	"0"	"4"	""	"357"	""	""
"56"	"51"	"95"	"26"	"120"	"9"	"6"	"3"	"5"	"3"	"13"	"9"	"6"	"11"	"3"	"8"	"4"	"8"	"6"	"26"	"1"	"48"	"2"	"0"	"2"	"2"	""	"416"	""	""
"57"	"52"	"97"	"8"	"210"	"2"	"46"	"3"	"1"	"3"	"8"	"12"	"2"	"6"	"4"	"5"	"5"	"15"	"5"	"36"	"3"	"20"	"2"	"1"	"1"	"7"	""	"502"	""	""
"58"	"53"	"69"	"12"	"76"	"6"	"2"	"1"	"6"	"3"	"8"	"25"	"4"	"7"	"3"	"4"	"7"	"20"	"16"	"197"	"9"	"74"	"2"	"3"	"3"	"7"	""	"564"	""	""
"59"	"54"	"62"	"16"	"289"	"13"	"6"	"1"	"2"	"2"	"4"	"18"	"4"	"4"	"6"	"12"	"11"	"12"	"5"	"44"	"6"	"36"	"0"	"1"	"1"	"4"	""	"559"	""	""
"60"	"55"	"108"	"53"	"47"	"15"	"19"	"3"	"0"	"2"	"1"	"8"	"0"	"2"	"3"	"2"	"4"	"4"	"13"	"123"	"9"	"39"	"6"	"12"	"8"	"15"	""	"496"	""	""
"61"	"56"	"30"	"149"	"43"	"3"	"24"	"5"	"2"	"1"	"6"	"8"	"1"	"2"	"1"	"5"	"7"	"7"	"3"	"12"	"2"	"9"	"2"	"0"	"1"	"1"	""	"324"	""	""
"62"	"57"	"71"	"100"	"208"	"9"	"19"	"1"	"1"	"5"	"8"	"15"	"4"	"2"	"8"	"16"	"18"	"12"	"4"	"41"	"1"	"31"	"1"	"4"	"2"	"3"	""	"584"	""	""
"63"	"58"	"6"	"70"	"111"	"30"	"4"	"2"	"4"	"0"	"2"	"5"	"1"	"0"	"3"	"7"	"3"	"3"	"1"	"10"	"1"	"6"	"0"	"1"	"1"	"2"	""	"273"	""	""
"64"	"59"	"25"	"396"	"11"	"2"	"7"	"3"	"3"	"2"	"6"	"0"	"2"	"6"	"1"	"4"	"13"	"10"	"4"	"22"	"2"	"7"	"5"	"1"	"3"	"5"	""	"540"	""	""
"65"	"60"	"197"	"24"	"22"	"5"	"3"	"4"	"2"	"0"	"0"	"5"	"3"	"4"	"2"	"8"	"6"	"11"	"19"	"83"	"11"	"69"	"7"	"4"	"4"	"11"	""	"504"	""	""
"66"	"61"	"147"	"226"	"95"	"14"	"12"	"10"	"5"	"8"	"6"	"7"	"5"	"3"	"5"	"17"	"17"	"28"	"13"	"27"	"4"	"50"	"6"	"4"	"2"	"5"	""	"716"	""	""
"67"	"62"	"33"	"61"	"96"	"11"	"2"	"2"	"5"	"8"	"5"	"8"	"2"	"1"	"5"	"3"	"7"	"16"	"2"	"41"	"2"	"32"	"0"	"0"	"1"	"3"	""	"346"	""	""
"68"	"63"	"60"	"94"	"148"	"16"	"3"	"6"	"1"	"4"	"6"	"5"	"3"	"5"	"3"	"4"	"19"	"9"	"7"	"35"	"10"	"49"	"0"	"3"	"5"	"8"	""	"503"	""	""
"69"	"64"	"81"	"199"	"53"	"8"	"4"	"11"	"3"	"7"	"13"	"21"	"7"	"3"	"7"	"20"	"11"	"32"	"7"	"50"	"5"	"22"	"4"	"2"	"2"	"15"	""	"587"	""	""
"70"	"65"	"91"	"64"	"38"	"22"	"3"	"1"	"1"	"2"	"3"	"28"	"4"	"7"	"1"	"9"	"8"	"20"	"12"	"39"	"9"	"29"	"3"	"3"	"2"	"6"	""	"405"	""	""
"71"	"66"	"111"	"225"	"34"	"6"	"3"	"9"	"4"	"2"	"4"	"10"	"4"	"4"	"3"	"14"	"20"	"31"	"7"	"13"	"2"	"6"	"1"	"0"	"3"	"6"	""	"522"	""	""
"72"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"74"	"67"	"21"	"9"	"2"	"12"	"0"	"3"	"1"	"0"	"1"	"6"	"1"	"0"	"2"	"0"	"0"	"2"	"2"	"474"	"2"	"36"	"1"	"0"	"2"	"0"	""	"577"	""	""
"75"	"68"	"127"	"111"	"12"	"3"	"3"	"6"	"1"	"0"	"2"	"2"	"2"	"1"	"1"	"7"	"2"	"5"	"10"	"41"	"3"	"16"	"3"	"5"	"2"	"3"	""	"368"	""	""
"76"	"69"	"213"	"117"	"31"	"22"	"1"	"2"	"6"	"2"	"3"	"9"	"0"	"1"	"3"	"5"	"8"	"14"	"4"	"15"	"2"	"14"	"0"	"2"	"2"	"5"	""	"481"	""	""
"77"	"70"	"70"	"20"	"47"	"1"	"3"	"3"	"3"	"2"	"2"	"4"	"1"	"1"	"1"	"4"	"1"	"1"	"4"	"71"	"1"	"58"	"1"	"1"	"2"	"3"	""	"305"	""	""
"78"	"71"	"69"	"59"	"10"	"7"	"0"	"6"	"2"	"2"	"3"	"20"	"4"	"3"	"0"	"6"	"7"	"19"	"5"	"70"	"2"	"51"	"2"	"2"	"2"	"3"	""	"354"	""	""
"79"	"72"	"188"	"26"	"19"	"1"	"1"	"1"	"1"	"1"	"0"	"11"	"1"	"0"	"0"	"0"	"1"	"1"	"12"	"190"	"0"	"28"	"0"	"0"	"0"	"0"	""	"482"	""	""
"80"	"73"	"95"	"268"	"49"	"20"	"6"	"8"	"11"	"4"	"2"	"2"	"2"	"1"	"0"	"2"	"4"	"3"	"8"	"35"	"2"	"18"	"1"	"0"	"0"	"0"	""	"541"	""	""
"81"	"74"	"170"	"177"	"25"	"7"	"10"	"9"	"4"	"7"	"6"	"12"	"1"	"5"	"4"	"9"	"9"	"24"	"8"	"10"	"2"	"12"	"2"	"0"	"1"	"3"	""	"517"	""	""
"82"	"75"	"75"	"182"	"127"	"6"	"12"	"2"	"1"	"1"	"5"	"2"	"0"	"1"	"11"	"8"	"11"	"12"	"6"	"23"	"5"	"27"	"1"	"1"	"0"	"7"	""	"526"	""	""
"83"	"76"	"7"	"172"	"32"	"2"	"11"	"4"	"2"	"3"	"5"	"13"	"2"	"3"	"4"	"2"	"6"	"6"	"4"	"25"	"2"	"48"	"4"	"1"	"2"	"3"	""	"363"	""	""
"84"	"77"	"34"	"142"	"30"	"2"	"31"	"3"	"1"	"3"	"7"	"11"	"4"	"3"	"1"	"6"	"16"	"13"	"12"	"41"	"5"	"82"	"5"	"6"	"6"	"10"	""	"474"	""	""
"85"	"78"	"143"	"157"	"48"	"6"	"23"	"3"	"5"	"4"	"8"	"10"	"4"	"5"	"5"	"6"	"15"	"22"	"7"	"13"	"3"	"14"	"2"	"1"	"3"	"7"	""	"514"	""	""
"86"	"79"	"133"	"76"	"41"	"1"	"28"	"3"	"1"	"2"	"3"	"1"	"0"	"2"	"2"	"2"	"1"	"14"	"6"	"16"	"1"	"11"	"0"	"0"	"1"	"2"	""	"347"	""	""
"87"	"80"	"19"	"244"	"16"	"3"	"14"	"4"	"4"	"2"	"6"	"4"	"1"	"2"	"2"	"7"	"23"	"30"	"3"	"12"	"2"	"8"	"1"	"1"	"1"	"9"	""	"418"	""	""
"88"	"81"	"124"	"197"	"14"	"1"	"7"	"2"	"2"	"6"	"4"	"14"	"2"	"5"	"3"	"8"	"17"	"32"	"10"	"80"	"7"	"14"	"1"	"2"	"5"	"8"	""	"565"	""	""
"89"	"82"	"15"	"57"	"29"	"1"	"10"	"5"	"3"	"0"	"2"	"7"	"2"	"2"	"3"	"2"	"2"	"19"	"3"	"24"	"0"	"4"	"1"	"0"	"0"	"3"	""	"194"	""	""
"90"	"83"	"12"	"39"	"143"	"6"	"2"	"1"	"2"	"2"	"0"	"1"	"1"	"3"	"2"	"5"	"2"	"12"	"3"	"3"	"3"	"9"	"0"	"0"	"1"	"1"	""	"253"	""	""
"91"	"84"	"62"	"97"	"78"	"6"	"73"	"5"	"3"	"1"	"7"	"2"	"2"	"0"	"1"	"6"	"0"	"3"	"2"	"2"	"0"	"23"	"1"	"0"	"0"	"0"	""	"374"	""	""
"92"	"85"	"101"	"27"	"36"	"5"	"1"	"0"	"1"	"6"	"3"	"0"	"3"	"0"	"1"	"1"	"5"	"5"	"8"	"14"	"1"	"18"	"3"	"3"	"5"	"4"	""	"251"	""	""
"93"	"86"	"62"	"87"	"7"	"20"	"3"	"3"	"2"	"5"	"5"	"1"	"1"	"9"	"4"	"7"	"13"	"0"	"9"	"7"	"2"	"25"	"5"	"3"	"3"	"8"	""	"291"	""	""
"94"	"87"	"30"	"106"	"26"	"6"	"8"	"11"	"2"	"7"	"4"	"8"	"3"	"7"	"5"	"13"	"10"	"18"	"7"	"16"	"35"	"34"	"1"	"111"	"10"	"17"	""	"495"	""	""
"95"	"88"	"201"	"59"	"69"	"3"	"6"	"3"	"2"	"4"	"0"	"0"	"2"	"0"	"2"	"5"	"0"	"3"	"4"	"16"	"2"	"17"	"0"	"1"	"1"	"2"	""	"402"	""	""
"96"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"98"	"89"	"197"	"28"	"199"	"13"	"7"	"3"	"3"	"2"	"8"	"5"	"4"	"5"	"8"	"23"	"1"	"18"	"18"	"3"	"0"	"1"	"1"	"3"	"5"	"11"	""	"566"	""	""
"99"	"90"	"255"	"47"	"82"	"2"	"16"	"2"	"2"	"0"	"4"	"3"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"15"	"0"	"1"	"0"	"0"	"0"	"0"	""	"435"	""	""
"100"	"91"	"112"	"71"	"31"	"5"	"29"	"4"	"2"	"8"	"9"	"8"	"2"	"2"	"0"	"11"	"3"	"13"	"8"	"14"	"1"	"0"	"3"	"0"	"1"	"6"	""	"343"	""	""
"101"	"92"	"125"	"64"	"22"	"5"	"61"	"5"	"3"	"5"	"25"	"6"	"15"	"11"	"6"	"12"	"11"	"25"	"11"	"28"	"5"	"12"	"3"	"2"	"5"	"18"	""	"485"	""	""
"102"	"93"	"134"	"17"	"59"	"5"	"11"	"5"	"3"	"3"	"6"	"0"	"5"	"1"	"2"	"12"	"7"	"13"	"4"	"9"	"1"	"7"	"0"	"4"	"4"	"7"	""	"319"	""	""
"103"	"94"	"228"	"72"	"78"	"4"	"5"	"6"	"1"	"1"	"6"	"9"	"1"	"8"	"4"	"10"	"11"	"17"	"5"	"8"	"1"	"7"	"0"	"1"	"0"	"4"	""	"487"	""	""
"104"	"95"	"193"	"34"	"53"	"5"	"53"	"4"	"1"	"2"	"4"	"2"	"0"	"2"	"2"	"3"	"4"	"4"	"6"	"15"	"1"	"2"	"4"	"2"	"3"	"2"	""	"401"	""	""
