"X.....................................................................................................................................................................................................Tabulation.of.Result.by.Additional.Counting.Staff......................................................................................................................................................................................................"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  - 141 Cheriya Bariyarpur Name of the Assembly  :  141 Cheriya Bariyarpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"24"	"19"	"89"	"26"	"6"	"196"	"75"	"9"	"2"	"1"	"0"	"2"	"2"	"6"	"3"	"2"	"3"	"14"	"10"	"11"	"7"	"464"	"0"	"464"	"0"
"25"	"20"	"63"	"26"	"3"	"174"	"71"	"3"	"1"	"1"	"6"	"7"	"4"	"9"	"6"	"1"	"13"	"28"	"8"	"5"	"4"	"433"	"0"	"433"	"0"
"26"	"21"	"52"	"21"	"6"	"129"	"179"	"8"	"2"	"3"	"1"	"2"	"3"	"52"	"7"	"8"	"7"	"23"	"7"	"1"	"4"	"515"	"0"	"515"	"0"
"27"	"22"	"126"	"87"	"8"	"229"	"52"	"3"	"2"	"2"	"3"	"2"	"2"	"10"	"0"	"4"	"0"	"11"	"9"	"7"	"0"	"557"	"0"	"557"	"0"
"28"	"23"	"127"	"17"	"7"	"247"	"51"	"6"	"4"	"3"	"3"	"3"	"3"	"15"	"11"	"6"	"10"	"35"	"2"	"0"	"1"	"551"	"0"	"551"	"0"
"29"	"24"	"36"	"36"	"8"	"351"	"98"	"6"	"4"	"5"	"4"	"7"	"5"	"38"	"13"	"9"	"13"	"24"	"3"	"2"	"8"	"670"	"0"	"670"	"0"
"30"	"25"	"78"	"27"	"7"	"396"	"127"	"12"	"2"	"3"	"2"	"2"	"2"	"25"	"11"	"12"	"18"	"24"	"2"	"5"	"8"	"763"	"0"	"763"	"0"
"31"	"26"	"111"	"6"	"3"	"100"	"41"	"4"	"4"	"2"	"1"	"4"	"6"	"30"	"5"	"2"	"1"	"13"	"25"	"8"	"7"	"373"	"0"	"373"	"0"
"32"	"27"	"283"	"27"	"4"	"21"	"44"	"0"	"8"	"3"	"5"	"3"	"7"	"3"	"2"	"2"	"2"	"8"	"8"	"1"	"1"	"432"	"0"	"432"	"0"
"33"	"28"	"389"	"14"	"6"	"128"	"115"	"9"	"6"	"4"	"4"	"7"	"21"	"11"	"2"	"2"	"3"	"9"	"5"	"2"	"4"	"741"	"0"	"741"	"0"
"34"	"29"	"54"	"83"	"3"	"357"	"99"	"6"	"2"	"3"	"6"	"5"	"4"	"9"	"16"	"5"	"11"	"44"	"0"	"4"	"0"	"711"	"0"	"711"	"0"
"35"	"30"	"262"	"54"	"7"	"146"	"5"	"3"	"1"	"0"	"3"	"3"	"8"	"2"	"6"	"1"	"11"	"36"	"13"	"2"	"1"	"564"	"0"	"564"	"0"
"36"	"31"	"106"	"20"	"0"	"184"	"11"	"1"	"1"	"0"	"1"	"3"	"2"	"0"	"8"	"2"	"3"	"16"	"1"	"1"	"2"	"362"	"0"	"362"	"0"
"37"	"32"	"96"	"20"	"5"	"346"	"69"	"12"	"1"	"3"	"7"	"6"	"14"	"40"	"19"	"10"	"24"	"54"	"2"	"0"	"3"	"731"	"0"	"731"	"0"
"38"	"33"	"82"	"52"	"4"	"366"	"53"	"4"	"3"	"1"	"5"	"2"	"7"	"31"	"11"	"10"	"12"	"59"	"3"	"1"	"1"	"707"	"0"	"707"	"0"
"39"	"34"	"143"	"23"	"3"	"210"	"38"	"4"	"2"	"0"	"0"	"6"	"4"	"53"	"5"	"2"	"9"	"8"	"11"	"4"	"2"	"527"	"0"	"527"	"0"
"40"	"35"	"160"	"36"	"5"	"233"	"35"	"7"	"5"	"2"	"2"	"6"	"6"	"25"	"5"	"3"	"9"	"55"	"8"	"5"	"4"	"611"	"0"	"611"	"0"
"41"	"36"	"74"	"13"	"2"	"257"	"108"	"5"	"1"	"1"	"2"	"3"	"4"	"24"	"9"	"4"	"5"	"13"	"27"	"14"	"27"	"593"	"0"	"593"	"0"
"42"	"37"	"52"	"13"	"2"	"181"	"80"	"4"	"3"	"1"	"0"	"2"	"4"	"40"	"10"	"6"	"2"	"27"	"5"	"1"	"0"	"433"	"0"	"433"	"0"
"43"	"38"	"20"	"40"	"1"	"79"	"189"	"3"	"1"	"1"	"2"	"1"	"1"	"50"	"2"	"3"	"6"	"9"	"2"	"0"	"2"	"412"	"0"	"412"	"0"
"44"	"39"	"11"	"21"	"3"	"126"	"361"	"5"	"3"	"1"	"1"	"1"	"0"	"33"	"2"	"1"	"1"	"13"	"2"	"4"	"3"	"592"	"0"	"592"	"0"
"45"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"46"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshray a Nishad"	"Sajjan Chaudhary"	""	""	""	""
"47"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"48"	"40"	"15"	"48"	"2"	"220"	"253"	"8"	"2"	"6"	"4"	"2"	"5"	"59"	"13"	"7"	"5"	"23"	"1"	"0"	"5"	"678"	"0"	"678"	"0"
"49"	"41"	"95"	"16"	"3"	"95"	"322"	"11"	"12"	"5"	"4"	"7"	"6"	"12"	"7"	"4"	"1"	"12"	"6"	"2"	"4"	"624"	"0"	"624"	"0"
"50"	"42"	"95"	"22"	"37"	"80"	"190"	"10"	"2"	"3"	"4"	"2"	"3"	"20"	"4"	"4"	"2"	"1"	"7"	"4"	"2"	"492"	"0"	"492"	"0"
"51"	"43"	"291"	"9"	"6"	"27"	"18"	"4"	"1"	"4"	"4"	"4"	"14"	"42"	"4"	"3"	"11"	"30"	"3"	"1"	"0"	"476"	"0"	"476"	"0"
"52"	"44"	"71"	"61"	"8"	"116"	"36"	"9"	"1"	"3"	"0"	"3"	"2"	"112"	"11"	"7"	"7"	"5"	"7"	"5"	"6"	"470"	"0"	"470"	"0"
"53"	"45"	"70"	"14"	"4"	"182"	"60"	"7"	"4"	"1"	"3"	"3"	"4"	"22"	"8"	"2"	"5"	"25"	"3"	"3"	"2"	"422"	"0"	"422"	"0"
"54"	"46"	"89"	"59"	"8"	"342"	"83"	"11"	"5"	"0"	"4"	"5"	"11"	"28"	"5"	"12"	"20"	"33"	"4"	"2"	"9"	"730"	"0"	"730"	"0"
"55"	"47"	"145"	"32"	"0"	"86"	"49"	"1"	"1"	"2"	"0"	"3"	"2"	"54"	"1"	"1"	"4"	"12"	"3"	"0"	"0"	"396"	"0"	"396"	"0"
"56"	"48"	"142"	"27"	"0"	"39"	"42"	"1"	"0"	"1"	"1"	"0"	"2"	"18"	"1"	"1"	"2"	"4"	"11"	"3"	"1"	"296"	"0"	"296"	"0"
"57"	"49"	"181"	"23"	"2"	"128"	"92"	"1"	"2"	"0"	"4"	"1"	"2"	"24"	"2"	"1"	"4"	"9"	"1"	"0"	"1"	"478"	"0"	"478"	"0"
"58"	"50"	"94"	"16"	"2"	"178"	"30"	"0"	"0"	"0"	"2"	"2"	"1"	"68"	"3"	"1"	"4"	"4"	"12"	"7"	"3"	"427"	"0"	"427"	"0"
"59"	"51"	"116"	"49"	"6"	"235"	"56"	"9"	"5"	"6"	"2"	"10"	"13"	"59"	"7"	"10"	"7"	"13"	"3"	"9"	"0"	"615"	"0"	"615"	"0"
"60"	"52"	"134"	"36"	"5"	"94"	"84"	"0"	"0"	"0"	"2"	"5"	"1"	"30"	"1"	"0"	"8"	"7"	"17"	"4"	"10"	"438"	"0"	"438"	"0"
"61"	"53"	"56"	"14"	"0"	"166"	"52"	"8"	"1"	"3"	"3"	"1"	"4"	"7"	"6"	"4"	"11"	"22"	"3"	"3"	"5"	"369"	"0"	"369"	"0"
"62"	"54"	"40"	"17"	"1"	"133"	"190"	"2"	"2"	"2"	"2"	"1"	"5"	"17"	"5"	"3"	"2"	"7"	"5"	"7"	"7"	"448"	"0"	"448"	"0"
"63"	"55"	"86"	"48"	"13"	"299"	"136"	"11"	"4"	"4"	"3"	"10"	"3"	"41"	"4"	"4"	"3"	"18"	"3"	"2"	"1"	"693"	"0"	"693"	"0"
"64"	"56"	"22"	"39"	"6"	"140"	"98"	"2"	"1"	"0"	"2"	"1"	"2"	"20"	"4"	"1"	"0"	"3"	"0"	"2"	"0"	"343"	"0"	"343"	"0"
"65"	"57"	"51"	"39"	"4"	"185"	"97"	"4"	"3"	"1"	"4"	"5"	"7"	"88"	"9"	"5"	"6"	"21"	"2"	"1"	"2"	"534"	"0"	"534"	"0"
"66"	"58"	"67"	"42"	"6"	"88"	"79"	"0"	"2"	"1"	"3"	"3"	"4"	"84"	"2"	"2"	"5"	"13"	"9"	"3"	"0"	"413"	"0"	"413"	"0"
"67"	"59"	"113"	"12"	"0"	"37"	"32"	"2"	"0"	"3"	"3"	"1"	"2"	"30"	"2"	"4"	"0"	"4"	"5"	"1"	"1"	"252"	"0"	"252"	"0"
"68"	"60"	"118"	"66"	"7"	"219"	"116"	"10"	"3"	"6"	"3"	"6"	"9"	"23"	"7"	"9"	"10"	"32"	"11"	"5"	"13"	"673"	"0"	"673"	"0"
"69"	"61"	"39"	"8"	"2"	"53"	"111"	"4"	"2"	"1"	"2"	"4"	"2"	"7"	"2"	"4"	"5"	"7"	"5"	"3"	"5"	"266"	"0"	"266"	"0"
"70"	"62"	"72"	"54"	"12"	"95"	"117"	"8"	"3"	"2"	"5"	"2"	"3"	"33"	"8"	"8"	"4"	"18"	"14"	"3"	"7"	"468"	"0"	"468"	"0"
"71"	"63"	"83"	"81"	"6"	"229"	"104"	"9"	"2"	"3"	"3"	"3"	"7"	"39"	"11"	"6"	"7"	"33"	"5"	"4"	"7"	"642"	"0"	"642"	"0"
"72"	"64"	"36"	"142"	"10"	"113"	"29"	"6"	"2"	"7"	"3"	"5"	"6"	"112"	"9"	"3"	"6"	"10"	"6"	"7"	"6"	"518"	"0"	"518"	"0"
"73"	"65"	"56"	"73"	"5"	"133"	"58"	"3"	"8"	"7"	"1"	"11"	"8"	"119"	"8"	"9"	"6"	"46"	"16"	"10"	"24"	"601"	"0"	"601"	"0"
"74"	"66"	"42"	"92"	"9"	"313"	"71"	"16"	"3"	"4"	"11"	"3"	"4"	"22"	"11"	"13"	"14"	"30"	"3"	"3"	"1"	"665"	"0"	"665"	"0"
"75"	"67"	"100"	"130"	"6"	"161"	"67"	"7"	"3"	"4"	"4"	"4"	"4"	"28"	"3"	"2"	"3"	"8"	"4"	"3"	"2"	"543"	"0"	"543"	"0"
"76"	"68"	"118"	"76"	"7"	"146"	"78"	"5"	"1"	"1"	"1"	"3"	"2"	"16"	"1"	"4"	"6"	"13"	"10"	"5"	"8"	"501"	"0"	"501"	"0"
"77"	"69"	"176"	"19"	"1"	"11"	"7"	"4"	"1"	"2"	"5"	"3"	"7"	"40"	"5"	"0"	"1"	"10"	"15"	"3"	"6"	"316"	"0"	"316"	"0"
"78"	"70"	"74"	"13"	"2"	"158"	"19"	"1"	"0"	"1"	"1"	"2"	"2"	"30"	"2"	"0"	"2"	"9"	"11"	"5"	"3"	"335"	"0"	"335"	"0"
"79"	"71"	"181"	"46"	"2"	"332"	"46"	"4"	"1"	"0"	"3"	"2"	"5"	"27"	"4"	"2"	"6"	"11"	"5"	"7"	"2"	"686"	"0"	"686"	"0"
"80"	"72"	"132"	"37"	"3"	"196"	"73"	"5"	"0"	"5"	"0"	"6"	"8"	"67"	"5"	"4"	"8"	"6"	"2"	"3"	"3"	"563"	"0"	"563"	"0"
"81"	"73"	"38"	"43"	"3"	"283"	"48"	"3"	"4"	"3"	"3"	"3"	"1"	"58"	"9"	"5"	"11"	"9"	"3"	"3"	"13"	"543"	"0"	"543"	"0"
"82"	"74"	"93"	"24"	"9"	"252"	"84"	"14"	"5"	"5"	"11"	"8"	"8"	"28"	"7"	"8"	"8"	"24"	"8"	"15"	"11"	"622"	"0"	"622"	"0"
"83"	"75"	"97"	"36"	"5"	"384"	"110"	"9"	"2"	"1"	"5"	"5"	"8"	"36"	"25"	"6"	"3"	"25"	"3"	"2"	"8"	"770"	"0"	"770"	"0"
"84"	"76"	"142"	"49"	"1"	"118"	"78"	"8"	"3"	"1"	"4"	"2"	"7"	"33"	"8"	"3"	"6"	"17"	"26"	"12"	"12"	"530"	"0"	"530"	"0"
"85"	"77"	"11"	"26"	"2"	"57"	"146"	"5"	"2"	"8"	"4"	"6"	"6"	"79"	"6"	"5"	"7"	"14"	"0"	"1"	"1"	"386"	"0"	"386"	"0"
"86"	"78"	"150"	"51"	"4"	"166"	"182"	"6"	"19"	"6"	"2"	"5"	"6"	"155"	"13"	"10"	"5"	"13"	"12"	"7"	"7"	"819"	"0"	"819"	"0"
"87"	"79"	"190"	"22"	"3"	"245"	"38"	"3"	"2"	"4"	"2"	"3"	"3"	"19"	"11"	"5"	"12"	"33"	"6"	"2"	"4"	"607"	"0"	"607"	"0"
"88"	"80"	"36"	"56"	"3"	"176"	"33"	"7"	"12"	"6"	"8"	"9"	"7"	"96"	"8"	"6"	"7"	"19"	"10"	"9"	"6"	"514"	"0"	"514"	"0"
"89"	"81"	"39"	"21"	"4"	"118"	"205"	"11"	"4"	"5"	"10"	"5"	"10"	"34"	"17"	"5"	"5"	"24"	"4"	"2"	"7"	"530"	"0"	"530"	"0"
"90"	"82"	"179"	"22"	"5"	"78"	"164"	"9"	"6"	"1"	"4"	"12"	"7"	"85"	"5"	"7"	"4"	"25"	"20"	"8"	"16"	"657"	"0"	"657"	"0"
"91"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"92"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshray a Nishad"	"Sajjan Chaudhary"	""	""	""	""
"93"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"94"	"83"	"233"	"34"	"7"	"100"	"21"	"5"	"5"	"10"	"3"	"5"	"10"	"59"	"13"	"0"	"12"	"33"	"7"	"1"	"2"	"560"	"0"	"560"	"0"
"95"	"84"	"95"	"28"	"2"	"281"	"41"	"2"	"4"	"1"	"1"	"3"	"2"	"28"	"9"	"1"	"0"	"10"	"9"	"2"	"7"	"526"	"0"	"526"	"0"
"96"	"85"	"174"	"42"	"4"	"30"	"402"	"3"	"2"	"5"	"4"	"5"	"5"	"42"	"4"	"3"	"3"	"8"	"2"	"1"	"1"	"740"	"0"	"740"	"0"
"97"	"86"	"183"	"43"	"11"	"45"	"257"	"9"	"3"	"9"	"7"	"10"	"11"	"106"	"13"	"6"	"6"	"16"	"12"	"1"	"3"	"751"	"0"	"751"	"0"
"98"	"87"	"363"	"32"	"1"	"131"	"43"	"4"	"4"	"7"	"4"	"9"	"8"	"72"	"7"	"8"	"10"	"39"	"6"	"1"	"5"	"754"	"0"	"754"	"0"
"99"	"88"	"76"	"62"	"3"	"182"	"10"	"4"	"4"	"3"	"4"	"5"	"4"	"93"	"6"	"4"	"4"	"6"	"15"	"15"	"13"	"513"	"0"	"513"	"0"
"100"	"89"	"108"	"11"	"1"	"131"	"11"	"2"	"2"	"2"	"3"	"8"	"7"	"94"	"10"	"6"	"11"	"31"	"20"	"2"	"3"	"463"	"0"	"463"	"0"
"101"	"90"	"103"	"30"	"4"	"133"	"13"	"5"	"4"	"4"	"4"	"11"	"8"	"84"	"4"	"5"	"5"	"15"	"2"	"2"	"1"	"437"	"0"	"437"	"0"
"102"	"91"	"343"	"19"	"5"	"24"	"19"	"12"	"3"	"3"	"5"	"7"	"12"	"22"	"4"	"9"	"5"	"43"	"20"	"3"	"7"	"565"	"0"	"565"	"0"
"103"	"92"	"137"	"13"	"4"	"179"	"45"	"6"	"5"	"8"	"9"	"8"	"15"	"72"	"11"	"5"	"6"	"25"	"6"	"3"	"4"	"561"	"0"	"561"	"0"
"104"	"93"	"129"	"45"	"5"	"85"	"166"	"2"	"7"	"4"	"8"	"7"	"14"	"94"	"10"	"3"	"5"	"41"	"4"	"2"	"5"	"636"	"0"	"636"	"0"
"105"	"94"	"71"	"31"	"3"	"42"	"125"	"7"	"2"	"0"	"2"	"2"	"11"	"33"	"8"	"4"	"8"	"18"	"4"	"1"	"2"	"374"	"0"	"374"	"0"
"106"	"95"	"89"	"25"	"4"	"217"	"41"	"5"	"1"	"7"	"4"	"4"	"12"	"74"	"12"	"9"	"11"	"51"	"8"	"1"	"3"	"578"	"0"	"578"	"0"
"107"	"96"	"34"	"8"	"6"	"138"	"92"	"3"	"2"	"1"	"0"	"4"	"4"	"66"	"16"	"4"	"8"	"25"	"0"	"1"	"4"	"416"	"0"	"416"	"0"
"108"	"97"	"43"	"21"	"3"	"132"	"62"	"5"	"1"	"4"	"2"	"0"	"5"	"72"	"13"	"9"	"6"	"23"	"1"	"0"	"0"	"402"	"0"	"402"	"0"
"109"	"98"	"133"	"21"	"7"	"312"	"72"	"4"	"2"	"2"	"4"	"2"	"9"	"38"	"12"	"4"	"8"	"30"	"2"	"1"	"0"	"663"	"0"	"663"	"0"
"110"	"99"	"41"	"43"	"2"	"339"	"91"	"5"	"2"	"0"	"2"	"3"	"4"	"102"	"7"	"3"	"5"	"14"	"7"	"3"	"2"	"675"	"0"	"675"	"0"
"111"	"100"	"39"	"12"	"1"	"126"	"18"	"16"	"0"	"0"	"2"	"1"	"6"	"39"	"4"	"1"	"4"	"6"	"1"	"1"	"2"	"279"	"0"	"279"	"0"
"112"	"101"	"27"	"8"	"4"	"203"	"37"	"12"	"1"	"2"	"4"	"0"	"1"	"14"	"4"	"4"	"2"	"16"	"3"	"4"	"6"	"352"	"0"	"352"	"0"
"113"	"102"	"33"	"29"	"1"	"274"	"53"	"5"	"4"	"1"	"4"	"4"	"4"	"46"	"9"	"4"	"14"	"25"	"0"	"2"	"3"	"515"	"0"	"515"	"0"
"114"	"103"	"9"	"58"	"12"	"323"	"105"	"3"	"2"	"1"	"2"	"4"	"4"	"34"	"22"	"6"	"18"	"20"	"4"	"5"	"10"	"642"	"0"	"642"	"0"
"115"	"104"	"139"	"51"	"6"	"274"	"66"	"2"	"4"	"2"	"2"	"6"	"6"	"21"	"9"	"6"	"12"	"27"	"14"	"8"	"10"	"665"	"0"	"665"	"0"
"116"	"105"	"33"	"27"	"7"	"70"	"38"	"2"	"3"	"6"	"1"	"6"	"6"	"130"	"17"	"7"	"11"	"17"	"1"	"1"	"2"	"385"	"0"	"385"	"0"
"117"	"106"	"149"	"28"	"6"	"34"	"17"	"5"	"0"	"3"	"1"	"2"	"3"	"5"	"1"	"0"	"1"	"3"	"0"	"1"	"1"	"260"	"0"	"260"	"0"
"118"	"107"	"28"	"45"	"4"	"76"	"29"	"3"	"1"	"1"	"2"	"4"	"3"	"30"	"4"	"1"	"3"	"11"	"5"	"3"	"4"	"257"	"0"	"257"	"0"
"119"	"108"	"276"	"82"	"8"	"92"	"128"	"19"	"3"	"1"	"2"	"6"	"9"	"50"	"7"	"4"	"5"	"28"	"7"	"0"	"1"	"728"	"0"	"728"	"0"
"120"	"109"	"112"	"13"	"0"	"74"	"137"	"1"	"4"	"2"	"2"	"2"	"1"	"12"	"2"	"1"	"1"	"14"	"6"	"1"	"1"	"386"	"0"	"386"	"0"
"121"	"110"	"152"	"46"	"15"	"130"	"24"	"6"	"1"	"2"	"1"	"4"	"9"	"41"	"2"	"4"	"8"	"8"	"5"	"5"	"0"	"463"	"0"	"463"	"0"
"122"	"111"	"260"	"107"	"5"	"115"	"59"	"7"	"1"	"4"	"6"	"5"	"16"	"63"	"8"	"13"	"10"	"38"	"15"	"4"	"3"	"739"	"0"	"739"	"0"
"123"	"112"	"161"	"22"	"5"	"170"	"33"	"2"	"0"	"2"	"5"	"0"	"2"	"26"	"5"	"3"	"6"	"22"	"3"	"0"	"0"	"467"	"0"	"467"	"0"
"124"	"113"	"158"	"12"	"3"	"4"	"11"	"2"	"1"	"2"	"1"	"1"	"5"	"70"	"8"	"2"	"1"	"4"	"11"	"3"	"2"	"301"	"0"	"301"	"0"
"125"	"114"	"201"	"119"	"11"	"54"	"17"	"8"	"1"	"2"	"0"	"6"	"14"	"53"	"6"	"2"	"7"	"26"	"11"	"5"	"0"	"543"	"0"	"543"	"0"
"126"	"115"	"205"	"160"	"9"	"132"	"44"	"6"	"5"	"6"	"10"	"10"	"21"	"89"	"15"	"9"	"14"	"52"	"22"	"5"	"3"	"817"	"0"	"817"	"0"
"127"	"116"	"30"	"25"	"3"	"249"	"68"	"0"	"1"	"0"	"3"	"3"	"3"	"31"	"4"	"1"	"6"	"10"	"1"	"3"	"2"	"443"	"0"	"443"	"0"
"128"	"117"	"24"	"30"	"4"	"235"	"78"	"7"	"4"	"3"	"2"	"7"	"2"	"77"	"10"	"3"	"5"	"12"	"2"	"2"	"2"	"509"	"0"	"509"	"0"
