"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendered.votes"
"16"	"12"	"12"	"53"	"48"	"8"	"147"	"9"	"8"	"196"	"7"	"2"	"2"	"0"	"7"	"487"	"0"	"487"	""
"17"	"13"	"13"	"29"	"32"	"20"	"249"	"31"	"21"	"63"	"5"	"6"	"1"	"8"	"16"	"481"	"0"	"481"	""
"18"	"14"	"14"	"249"	"47"	"5"	"116"	"10"	"1"	"17"	"2"	"1"	"0"	"1"	"2"	"451"	"0"	"451"	""
"19"	"15"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"20"	"16"	"16"	"75"	"13"	"5"	"252"	"15"	"4"	"18"	"2"	"4"	"4"	"2"	"12"	"406"	"0"	"406"	""
"21"	"17"	"17"	"37"	"15"	"2"	"210"	"16"	"4"	"48"	"1"	"4"	"3"	"0"	"17"	"357"	"0"	"357"	""
"22"	"18"	"18"	"122"	"82"	"30"	"128"	"39"	"8"	"94"	"2"	"3"	"1"	"2"	"10"	"521"	"0"	"521"	""
"23"	"19"	"19"	"65"	"15"	"8"	"264"	"55"	"21"	"123"	"5"	"2"	"1"	"2"	"10"	"571"	"0"	"571"	""
"24"	"20"	"20"	"112"	"36"	"12"	"247"	"27"	"15"	"3"	"2"	"7"	"3"	"6"	"10"	"480"	"0"	"480"	""
"25"	"21"	"21"	"315"	"39"	"4"	"67"	"13"	"6"	"0"	"1"	"2"	"2"	"1"	"1"	"451"	"0"	"451"	""
"26"	"22"	"22"	"257"	"13"	"1"	"56"	"11"	"1"	"0"	"1"	"0"	"4"	"1"	"6"	"351"	"0"	"351"	""
"27"	"23"	"23"	"193"	"47"	"13"	"181"	"17"	"11"	"13"	"4"	"1"	"6"	"3"	"5"	"494"	"0"	"494"	""
"28"	"24"	"24"	"45"	"105"	"15"	"320"	"22"	"6"	"2"	"2"	"7"	"2"	"2"	"11"	"539"	"0"	"539"	""
"29"	"25"	"25"	"48"	"49"	"48"	"329"	"24"	"2"	"4"	"4"	"5"	"0"	"2"	"11"	"526"	"0"	"526"	""
"30"	"26"	"26"	"43"	"66"	"9"	"197"	"23"	"12"	"28"	"2"	"10"	"8"	"3"	"14"	"415"	"0"	"415"	""
"31"	"27"	"27"	"107"	"46"	"9"	"231"	"18"	"6"	"1"	"2"	"0"	"1"	"2"	"3"	"426"	"0"	"426"	""
"32"	"28"	"28"	"204"	"21"	"8"	"143"	"15"	"4"	"2"	"2"	"1"	"0"	"3"	"8"	"411"	"0"	"411"	""
"33"	"29"	"29"	"69"	"17"	"2"	"231"	"19"	"4"	"4"	"1"	"4"	"0"	"0"	"7"	"358"	"0"	"358"	""
"34"	"30"	"30"	"80"	"13"	"3"	"162"	"13"	"2"	"2"	"3"	"4"	"0"	"2"	"4"	"288"	"0"	"288"	""
"35"	"31"	"31"	"9"	"119"	"5"	"80"	"23"	"4"	"0"	"1"	"1"	"1"	"2"	"4"	"249"	"0"	"249"	""
"36"	"32"	"32"	"13"	"121"	"5"	"94"	"38"	"3"	"2"	"0"	"2"	"2"	"1"	"5"	"286"	"0"	"286"	""
"37"	"33"	"33"	"48"	"34"	"5"	"207"	"12"	"5"	"3"	"1"	"0"	"0"	"1"	"4"	"320"	"0"	"320"	""
"38"	"34"	"34"	"21"	"28"	"6"	"397"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	"462"	"0"	"462"	""
"39"	"35"	"35"	"84"	"61"	"6"	"293"	"23"	"7"	"3"	"2"	"2"	"3"	"0"	"3"	"487"	"0"	"487"	""
"40"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"41"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"42"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"43"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"44"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"45"	"36"	"36"	"116"	"9"	"8"	"275"	"22"	"15"	"8"	"3"	"3"	"1"	"3"	"10"	"473"	"0"	"473"	""
"46"	"37"	"37"	"261"	"4"	"5"	"224"	"26"	"15"	"2"	"1"	"7"	"9"	"8"	"32"	"594"	"0"	"594"	""
"47"	"38"	"38"	"224"	"28"	"5"	"159"	"10"	"4"	"28"	"0"	"4"	"0"	"3"	"5"	"470"	"0"	"470"	""
"48"	"39"	"39"	"343"	"27"	"7"	"213"	"11"	"8"	"4"	"4"	"9"	"10"	"4"	"25"	"665"	"0"	"665"	""
"49"	"40"	"40"	"44"	"96"	"4"	"159"	"19"	"8"	"7"	"4"	"0"	"2"	"4"	"10"	"357"	"0"	"357"	""
"50"	"41"	"41"	"51"	"84"	"6"	"251"	"44"	"11"	"19"	"1"	"4"	"6"	"4"	"19"	"500"	"0"	"500"	""
"51"	"42"	"42"	"100"	"14"	"4"	"109"	"11"	"9"	"1"	"1"	"5"	"2"	"2"	"3"	"261"	"0"	"261"	""
"52"	"43"	"43"	"219"	"46"	"11"	"197"	"57"	"4"	"12"	"1"	"3"	"4"	"5"	"10"	"569"	"0"	"569"	""
"53"	"44"	"44"	"181"	"6"	"6"	"102"	"28"	"6"	"24"	"1"	"5"	"1"	"4"	"10"	"374"	"0"	"374"	""
"54"	"45"	"45"	"127"	"29"	"9"	"255"	"28"	"2"	"2"	"3"	"0"	"0"	"0"	"4"	"459"	"0"	"459"	""
"55"	"46"	"46"	"33"	"4"	"4"	"203"	"31"	"6"	"28"	"3"	"3"	"2"	"1"	"9"	"327"	"0"	"327"	""
"56"	"47"	"47"	"78"	"27"	"2"	"81"	"11"	"6"	"1"	"0"	"0"	"0"	"0"	"4"	"210"	"0"	"210"	""
"57"	"48"	"48"	"145"	"43"	"10"	"149"	"15"	"1"	"0"	"2"	"1"	"2"	"3"	"12"	"383"	"0"	"383"	""
"58"	"49"	"49"	"196"	"31"	"6"	"158"	"24"	"9"	"2"	"1"	"1"	"2"	"1"	"6"	"437"	"0"	"437"	""
"59"	"50"	"50"	"50"	"59"	"5"	"123"	"9"	"4"	"1"	"1"	"5"	"3"	"0"	"6"	"266"	"0"	"266"	""
"60"	"51"	"51"	"63"	"5"	"20"	"157"	"15"	"15"	"31"	"0"	"4"	"4"	"1"	"19"	"334"	"0"	"334"	""
"61"	"52"	"52"	"114"	"16"	"8"	"260"	"13"	"7"	"4"	"2"	"6"	"2"	"1"	"13"	"446"	"0"	"446"	""
"62"	"53"	"53"	"32"	"73"	"4"	"162"	"38"	"5"	"45"	"2"	"3"	"1"	"2"	"10"	"377"	"0"	"377"	""
"63"	"54"	"54"	"406"	"12"	"1"	"72"	"20"	"1"	"1"	"0"	"3"	"0"	"1"	"4"	"521"	"0"	"521"	""
"64"	"55"	"55"	"86"	"71"	"10"	"361"	"23"	"5"	"7"	"3"	"5"	"1"	"1"	"4"	"577"	"0"	"577"	""
"65"	"56"	"56"	"127"	"6"	"9"	"160"	"37"	"12"	"26"	"1"	"3"	"0"	"3"	"13"	"397"	"0"	"397"	""
"66"	"57"	"57"	"62"	"8"	"1"	"139"	"8"	"6"	"0"	"0"	"2"	"1"	"1"	"8"	"236"	"0"	"236"	""
"67"	"58"	"58"	"101"	"17"	"30"	"170"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"4"	"332"	"0"	"332"	""
"68"	"59"	"59"	"279"	"6"	"7"	"36"	"3"	"2"	"1"	"0"	"3"	"0"	"2"	"10"	"349"	"0"	"349"	""
"69"	"60"	"60"	"44"	"7"	"0"	"47"	"3"	"0"	"1"	"1"	"0"	"1"	"220"	"1"	"325"	"0"	"325"	""
"70"	"61"	"61"	"247"	"42"	"9"	"9"	"7"	"0"	"0"	"0"	"0"	"1"	"4"	"2"	"321"	"0"	"321"	""
"71"	"62"	"62"	"95"	"160"	"3"	"55"	"2"	"1"	"2"	"0"	"1"	"0"	"6"	"2"	"327"	"0"	"327"	""
"72"	"63"	"63"	"112"	"71"	"12"	"184"	"21"	"3"	"2"	"3"	"2"	"3"	"0"	"4"	"417"	"0"	"417"	""
"73"	"64"	"64"	"212"	"144"	"6"	"29"	"6"	"6"	"2"	"0"	"1"	"1"	"0"	"2"	"409"	"0"	"409"	""
"74"	"65"	"65"	"180"	"62"	"15"	"248"	"30"	"14"	"11"	"2"	"9"	"4"	"10"	"13"	"598"	"0"	"598"	""
"75"	"66"	"66"	"132"	"7"	"3"	"90"	"15"	"5"	"0"	"0"	"1"	"2"	"7"	"14"	"276"	"0"	"276"	""
"76"	"67"	"67"	"57"	"48"	"7"	"225"	"20"	"9"	"1"	"5"	"6"	"5"	"3"	"12"	"398"	"0"	"398"	""
"77"	"68"	"68"	"9"	"11"	"2"	"72"	"6"	"4"	"3"	"0"	"1"	"1"	"0"	"3"	"112"	"0"	"112"	""
"78"	"69"	"69"	"25"	"33"	"16"	"196"	"28"	"9"	"1"	"1"	"7"	"1"	"5"	"5"	"327"	"0"	"327"	""
"79"	"70"	"70"	"15"	"22"	"7"	"396"	"13"	"3"	"1"	"2"	"5"	"3"	"5"	"21"	"493"	"0"	"493"	""
"80"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"81"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"82"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"83"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"84"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"85"	"71"	"71"	"66"	"10"	"6"	"207"	"50"	"2"	"0"	"0"	"0"	"2"	"0"	"3"	"346"	"0"	"346"	""
"86"	"72"	"72"	"227"	"27"	"3"	"110"	"11"	"4"	"1"	"2"	"1"	"1"	"1"	"2"	"390"	"0"	"390"	""
"87"	"73"	"73"	"68"	"1"	"3"	"101"	"13"	"3"	"1"	"1"	"4"	"0"	"1"	"4"	"200"	"0"	"200"	""
"88"	"74"	"74"	"128"	"22"	"20"	"139"	"28"	"2"	"6"	"5"	"5"	"3"	"3"	"7"	"368"	"0"	"368"	""
"89"	"75"	"75"	"152"	"46"	"3"	"192"	"17"	"4"	"1"	"0"	"2"	"0"	"2"	"6"	"425"	"0"	"425"	""
"90"	"76"	"76"	"82"	"64"	"8"	"203"	"29"	"2"	"1"	"4"	"1"	"6"	"10"	"6"	"416"	"0"	"416"	""
"91"	"77"	"77"	"112"	"63"	"2"	"37"	"12"	"0"	"3"	"0"	"2"	"1"	"5"	"8"	"245"	"0"	"245"	""
"92"	"78"	"78"	"206"	"17"	"10"	"240"	"15"	"5"	"12"	"1"	"3"	"3"	"0"	"16"	"528"	"0"	"528"	""
"93"	"79"	"79"	"46"	"41"	"10"	"306"	"30"	"13"	"4"	"9"	"11"	"12"	"9"	"23"	"514"	"0"	"514"	""
"94"	"80"	"80"	"30"	"163"	"4"	"343"	"26"	"8"	"1"	"5"	"8"	"6"	"12"	"20"	"626"	"0"	"626"	""
"95"	"81"	"81"	"178"	"16"	"2"	"246"	"14"	"4"	"4"	"3"	"15"	"2"	"5"	"15"	"504"	"0"	"504"	""
"96"	"82"	"82"	"157"	"70"	"11"	"227"	"12"	"8"	"2"	"1"	"4"	"2"	"3"	"14"	"511"	"0"	"511"	""
"97"	"83"	"83"	"133"	"25"	"7"	"166"	"9"	"6"	"6"	"4"	"4"	"6"	"3"	"19"	"388"	"0"	"388"	""
"98"	"84"	"84"	"139"	"42"	"23"	"266"	"26"	"10"	"5"	"2"	"4"	"1"	"3"	"7"	"528"	"0"	"528"	""
"99"	"85"	"85"	"62"	"59"	"7"	"230"	"29"	"14"	"2"	"16"	"13"	"7"	"4"	"24"	"467"	"0"	"467"	""
"100"	"86"	"86"	"105"	"38"	"9"	"249"	"17"	"7"	"4"	"0"	"10"	"5"	"6"	"14"	"464"	"0"	"464"	""
"101"	"87"	"87"	"24"	"24"	"4"	"301"	"11"	"12"	"3"	"2"	"3"	"4"	"4"	"10"	"402"	"0"	"402"	""
"102"	"88"	"88"	"179"	"30"	"6"	"104"	"3"	"3"	"1"	"0"	"2"	"0"	"0"	"4"	"332"	"0"	"332"	""
"103"	"89"	"89"	"79"	"13"	"9"	"68"	"7"	"2"	"0"	"0"	"1"	"1"	"0"	"6"	"186"	"0"	"186"	""
"104"	"90"	"90"	"77"	"46"	"10"	"337"	"30"	"8"	"4"	"2"	"4"	"6"	"0"	"11"	"535"	"0"	"535"	""
"105"	"91"	"91"	"120"	"55"	"11"	"170"	"21"	"11"	"6"	"2"	"4"	"2"	"1"	"9"	"412"	"0"	"412"	""
"106"	"92"	"92"	"286"	"12"	"0"	"87"	"3"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"394"	"0"	"394"	""
"107"	"93"	"93"	"88"	"47"	"10"	"307"	"18"	"9"	"3"	"1"	"7"	"2"	"4"	"10"	"506"	"0"	"506"	""
"108"	"94"	"94"	"254"	"59"	"1"	"167"	"9"	"3"	"3"	"0"	"3"	"4"	"3"	"12"	"518"	"0"	"518"	""
"109"	"95"	"95"	"98"	"44"	"10"	"232"	"14"	"9"	"1"	"3"	"7"	"2"	"3"	"11"	"434"	"0"	"434"	""
"110"	"96"	"96"	"15"	"13"	"3"	"183"	"10"	"0"	"3"	"0"	"2"	"3"	"2"	"8"	"242"	"0"	"242"	""
"111"	"97"	"97"	"20"	"53"	"7"	"229"	"28"	"3"	"6"	"2"	"4"	"4"	"2"	"18"	"376"	"0"	"376"	""
"112"	"98"	"98"	"168"	"147"	"2"	"91"	"7"	"3"	"0"	"0"	"1"	"0"	"5"	"5"	"429"	"0"	"429"	""
"113"	"99"	"99"	"327"	"159"	"11"	"77"	"19"	"4"	"2"	"1"	"2"	"2"	"1"	"6"	"611"	"0"	"611"	""
"114"	"100"	"100"	"208"	"84"	"9"	"148"	"47"	"8"	"15"	"1"	"4"	"1"	"5"	"11"	"541"	"0"	"541"	""
"115"	"101"	"101"	"103"	"108"	"9"	"146"	"9"	"8"	"142"	"5"	"4"	"3"	"8"	"20"	"565"	"0"	"565"	""
"116"	"102"	"102"	"138"	"24"	"12"	"207"	"21"	"8"	"5"	"6"	"6"	"1"	"7"	"1"	"436"	"0"	"436"	""
"117"	"103"	"103"	"13"	"21"	"9"	"283"	"13"	"8"	"3"	"1"	"3"	"2"	"0"	"4"	"360"	"0"	"360"	""
"118"	"104"	"104"	"72"	"58"	"22"	"415"	"20"	"16"	"5"	"3"	"5"	"8"	"6"	"19"	"649"	"0"	"649"	""
"119"	"105"	"105"	"195"	"47"	"15"	"259"	"31"	"20"	"3"	"4"	"8"	"7"	"4"	"21"	"614"	"0"	"614"	""
"120"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"121"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"122"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"123"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"124"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"125"	"106"	"106"	"8"	"23"	"3"	"197"	"15"	"6"	"0"	"0"	"5"	"0"	"1"	"2"	"260"	"0"	"260"	""
"126"	"107"	"107"	"99"	"6"	"3"	"93"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"206"	"0"	"206"	""
"127"	"108"	"108"	"25"	"18"	"8"	"217"	"8"	"11"	"3"	"2"	"3"	"0"	"2"	"8"	"305"	"0"	"305"	""
"128"	"109"	"109"	"18"	"119"	"8"	"113"	"16"	"6"	"0"	"5"	"1"	"4"	"2"	"5"	"297"	"0"	"297"	""
"129"	"110"	"110"	"45"	"72"	"5"	"46"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"6"	"180"	"0"	"180"	""
"130"	"111"	"111"	"80"	"114"	"15"	"150"	"18"	"11"	"5"	"0"	"3"	"2"	"4"	"7"	"409"	"0"	"409"	""
"131"	"112"	"112"	"43"	"82"	"8"	"176"	"9"	"5"	"0"	"1"	"6"	"8"	"5"	"14"	"357"	"0"	"357"	""
"132"	"113"	"113"	"271"	"91"	"7"	"37"	"10"	"1"	"2"	"0"	"1"	"0"	"0"	"2"	"422"	"0"	"422"	""
"133"	"114"	"114"	"76"	"62"	"9"	"386"	"23"	"11"	"1"	"2"	"2"	"3"	"3"	"10"	"588"	"0"	"588"	""
"134"	"115"	"115"	"162"	"50"	"17"	"296"	"19"	"9"	"4"	"3"	"7"	"2"	"3"	"9"	"581"	"0"	"581"	""
"135"	"116"	"116"	"9"	"31"	"1"	"269"	"7"	"8"	"1"	"1"	"1"	"1"	"1"	"5"	"335"	"0"	"335"	""
"136"	"117"	"117"	"127"	"136"	"2"	"31"	"4"	"3"	"0"	"1"	"2"	"2"	"4"	"12"	"324"	"0"	"324"	""
"137"	"118"	"118"	"71"	"141"	"5"	"99"	"3"	"0"	"3"	"5"	"2"	"1"	"5"	"9"	"344"	"0"	"344"	""
"138"	"119"	"119"	"149"	"127"	"8"	"81"	"8"	"0"	"1"	"1"	"0"	"3"	"1"	"8"	"387"	"0"	"387"	""
"139"	"120"	"120"	"90"	"38"	"16"	"353"	"19"	"17"	"7"	"5"	"4"	"2"	"1"	"12"	"564"	"0"	"564"	""
"140"	"121"	"121"	"170"	"128"	"10"	"47"	"1"	"1"	"1"	"0"	"1"	"0"	"3"	"8"	"370"	"0"	"370"	""
"141"	"122"	"122"	"46"	"79"	"6"	"194"	"9"	"1"	"4"	"2"	"2"	"1"	"1"	"2"	"347"	"0"	"347"	""
"142"	"123"	"123"	"55"	"34"	"10"	"292"	"15"	"8"	"2"	"2"	"4"	"2"	"1"	"4"	"429"	"0"	"429"	""
"143"	"124"	"124"	"421"	"3"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"431"	"0"	"431"	""
"144"	"125"	"125"	"103"	"52"	"13"	"162"	"10"	"10"	"6"	"4"	"2"	"5"	"3"	"13"	"383"	"0"	"383"	""
"145"	"126"	"126"	"17"	"6"	"68"	"136"	"9"	"3"	"3"	"1"	"2"	"1"	"2"	"2"	"250"	"0"	"250"	""
"146"	"127"	"127"	"188"	"8"	"12"	"130"	"11"	"3"	"4"	"3"	"8"	"6"	"5"	"14"	"392"	"0"	"392"	""
"147"	"128"	"128"	"67"	"11"	"4"	"59"	"7"	"3"	"3"	"0"	"0"	"2"	"0"	"6"	"162"	"0"	"162"	""
"148"	"129"	"129"	"14"	"7"	"5"	"207"	"13"	"3"	"1"	"3"	"1"	"2"	"2"	"13"	"271"	"0"	"271"	""
"149"	"130"	"130"	"67"	"9"	"9"	"193"	"5"	"0"	"0"	"2"	"2"	"2"	"2"	"10"	"301"	"0"	"301"	""
"150"	"131"	"131"	"56"	"4"	"0"	"185"	"11"	"5"	"1"	"0"	"2"	"3"	"1"	"12"	"280"	"0"	"280"	""
"151"	"132"	"132"	"98"	"44"	"2"	"147"	"11"	"5"	"1"	"6"	"6"	"3"	"8"	"25"	"356"	"0"	"356"	""
"152"	"133"	"133"	"272"	"24"	"3"	"40"	"4"	"1"	"0"	"1"	"4"	"1"	"2"	"8"	"360"	"0"	"360"	""
"153"	"134"	"134"	"11"	"52"	"5"	"156"	"5"	"6"	"0"	"0"	"3"	"1"	"2"	"9"	"250"	"0"	"250"	""
"154"	"135"	"135"	"149"	"70"	"30"	"90"	"4"	"2"	"5"	"1"	"8"	"3"	"4"	"7"	"373"	"0"	"373"	""
"155"	"136"	"136"	"122"	"117"	"6"	"103"	"5"	"0"	"0"	"0"	"2"	"1"	"4"	"6"	"366"	"0"	"366"	""
"156"	"137"	"137"	"75"	"125"	"4"	"96"	"5"	"4"	"3"	"0"	"1"	"2"	"10"	"6"	"331"	"0"	"331"	""
"157"	"138"	"138"	"25"	"45"	"11"	"167"	"13"	"4"	"1"	"2"	"0"	"3"	"1"	"2"	"274"	"0"	"274"	""
"158"	"139"	"139"	"181"	"23"	"2"	"41"	"4"	"4"	"0"	"2"	"2"	"0"	"1"	"13"	"273"	"0"	"273"	""
"159"	"140"	"140"	"65"	"50"	"6"	"234"	"14"	"12"	"3"	"4"	"10"	"5"	"6"	"22"	"431"	"0"	"431"	""
"160"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"161"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"162"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"163"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"164"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"165"	"141"	"141"	"63"	"41"	"6"	"267"	"18"	"5"	"2"	"3"	"6"	"1"	"7"	"11"	"430"	"0"	"430"	""
"166"	"142"	"142"	"18"	"112"	"4"	"201"	"17"	"3"	"3"	"4"	"5"	"3"	"4"	"7"	"381"	"0"	"381"	""
"167"	"143"	"143"	"54"	"183"	"8"	"416"	"47"	"10"	"1"	"1"	"4"	"0"	"6"	"5"	"735"	"0"	"735"	""
"168"	"144"	"144"	"109"	"131"	"5"	"205"	"27"	"4"	"0"	"2"	"1"	"1"	"1"	"7"	"493"	"0"	"493"	""
"169"	"145"	"145"	"51"	"76"	"6"	"195"	"19"	"8"	"2"	"0"	"3"	"0"	"0"	"7"	"367"	"0"	"367"	""
"170"	"146"	"146"	"11"	"36"	"8"	"224"	"20"	"8"	"3"	"5"	"5"	"6"	"5"	"14"	"345"	"0"	"345"	""
"171"	"147"	"147"	"54"	"76"	"7"	"202"	"25"	"7"	"5"	"0"	"3"	"4"	"2"	"10"	"395"	"0"	"395"	""
"172"	"148"	"148"	"70"	"30"	"14"	"197"	"6"	"3"	"2"	"1"	"6"	"8"	"3"	"22"	"362"	"0"	"362"	""
"173"	"149"	"149"	"97"	"78"	"40"	"271"	"25"	"21"	"7"	"4"	"6"	"5"	"5"	"28"	"587"	"0"	"587"	""
"174"	"150"	"150"	"145"	"66"	"9"	"113"	"19"	"5"	"9"	"2"	"1"	"0"	"0"	"1"	"370"	"0"	"370"	""
"175"	"151"	"151"	"105"	"135"	"32"	"136"	"8"	"3"	"1"	"1"	"0"	"1"	"3"	"8"	"433"	"0"	"433"	""
"176"	"152"	"152"	"113"	"213"	"0"	"13"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"8"	"352"	"0"	"352"	""
"177"	"153"	"153"	"199"	"127"	"21"	"64"	"16"	"10"	"18"	"0"	"4"	"1"	"1"	"6"	"467"	"0"	"467"	""
