"Candidate.s.Name...........BOTH.NO.."	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"68"	"60"	"31"	"14"	"3"	"332"	"66"	"6"	"1"	"1"	"0"	"2"	"46"	"0"	"7"	"0"	"1"	"1"	"1"	"2"	"1"	"515"	""	"515"	""
"69"	"61"	"48"	"27"	"5"	"177"	"27"	"7"	"2"	"1"	"2"	"5"	"33"	"1"	"2"	"0"	"1"	"1"	"0"	"1"	"3"	"343"	""	"343"	""
"70"	"62"	"23"	"10"	"7"	"184"	"86"	"8"	"4"	"2"	"2"	"2"	"31"	"2"	"10"	"2"	"2"	"0"	"3"	"3"	"0"	"381"	""	"381"	""
"71"	"63"	"83"	"6"	"2"	"218"	"44"	"3"	"1"	"0"	"0"	"0"	"26"	"2"	"4"	"3"	"1"	"8"	"1"	"0"	"0"	"402"	""	"402"	""
"72"	"64"	"45"	"12"	"7"	"120"	"65"	"9"	"1"	"0"	"0"	"0"	"21"	"1"	"1"	"1"	"2"	"2"	"0"	"0"	"5"	"292"	""	"292"	""
"73"	"65"	"27"	"2"	"0"	"59"	"53"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"148"	""	"148"	""
"74"	"66"	"86"	"12"	"4"	"99"	"16"	"3"	"0"	"2"	"0"	"1"	"28"	"3"	"3"	"4"	"3"	"2"	"4"	"2"	"6"	"278"	""	"278"	""
"75"	"67"	"38"	"7"	"2"	"165"	"20"	"4"	"2"	"0"	"2"	"1"	"37"	"2"	"4"	"0"	"1"	"1"	"3"	"2"	"3"	"294"	""	"294"	""
"76"	"68"	"22"	"6"	"4"	"243"	"47"	"6"	"0"	"2"	"5"	"0"	"32"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"375"	""	"375"	""
"77"	"69"	"17"	"5"	"2"	"155"	"102"	"6"	"1"	"1"	"1"	"0"	"22"	"2"	"5"	"0"	"0"	"3"	"1"	"0"	"0"	"323"	""	"323"	""
"78"	"70"	"26"	"4"	"2"	"106"	"115"	"1"	"1"	"1"	"1"	"0"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	""	"271"	""
"79"	"71"	"4"	"5"	"4"	"256"	"32"	"0"	"0"	"0"	"1"	"0"	"6"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"311"	""	"311"	""
"80"	"72"	"9"	"2"	"0"	"110"	"6"	"1"	"0"	"0"	"1"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	""	"135"	""
"81"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"82"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"83"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"84"	"73"	"14"	"4"	"1"	"261"	"82"	"0"	"1"	"0"	"3"	"2"	"29"	"2"	"2"	"0"	"1"	"2"	"5"	"2"	"0"	"411"	""	"411"	""
"85"	"74"	"22"	"9"	"5"	"242"	"12"	"9"	"2"	"1"	"3"	"2"	"34"	"2"	"4"	"0"	"3"	"2"	"1"	"0"	"1"	"354"	""	"354"	""
"86"	"75"	"8"	"1"	"1"	"224"	"41"	"1"	"0"	"1"	"0"	"0"	"14"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"294"	""	"294"	""
"87"	"76"	"4"	"5"	"0"	"107"	"13"	"3"	"0"	"1"	"1"	"0"	"25"	"1"	"1"	"0"	"3"	"4"	"7"	"4"	"5"	"184"	""	"184"	""
"88"	"77"	"196"	"6"	"0"	"62"	"16"	"2"	"1"	"0"	"1"	"0"	"5"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"294"	""	"294"	""
"89"	"78"	"7"	"3"	"0"	"17"	"190"	"5"	"2"	"1"	"1"	"1"	"7"	"2"	"1"	"0"	"1"	"4"	"2"	"0"	"1"	"245"	""	"245"	""
"90"	"79"	"17"	"1"	"2"	"26"	"116"	"6"	"2"	"2"	"1"	"3"	"15"	"3"	"2"	"0"	"1"	"4"	"1"	"1"	"3"	"206"	""	"206"	""
"91"	"80"	"5"	"0"	"1"	"37"	"406"	"2"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"456"	""	"456"	""
"92"	"81"	"6"	"4"	"3"	"46"	"170"	"9"	"1"	"1"	"1"	"2"	"11"	"2"	"2"	"2"	"2"	"6"	"4"	"2"	"6"	"280"	""	"280"	""
"93"	"82"	"12"	"6"	"6"	"78"	"117"	"6"	"2"	"4"	"2"	"2"	"16"	"2"	"2"	"3"	"0"	"2"	"2"	"1"	"4"	"267"	""	"267"	""
"94"	"83"	"6"	"1"	"2"	"22"	"161"	"4"	"1"	"0"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"205"	""	"205"	""
"95"	"84"	"19"	"8"	"7"	"50"	"165"	"8"	"4"	"3"	"2"	"2"	"14"	"2"	"4"	"1"	"1"	"7"	"1"	"6"	"2"	"306"	""	"306"	""
"96"	"85"	"28"	"8"	"7"	"31"	"287"	"13"	"3"	"1"	"1"	"3"	"9"	"2"	"2"	"1"	"0"	"1"	"13"	"5"	"7"	"422"	""	"422"	""
"97"	"86"	"4"	"2"	"0"	"115"	"10"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	""	"133"	""
"98"	"87"	"26"	"14"	"2"	"53"	"176"	"1"	"1"	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"281"	""	"281"	""
"99"	"88"	"18"	"2"	"0"	"37"	"180"	"3"	"0"	"1"	"0"	"1"	"17"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"263"	""	"263"	""
"100"	"89"	"8"	"8"	"3"	"120"	"223"	"13"	"4"	"2"	"1"	"3"	"14"	"1"	"8"	"0"	"3"	"5"	"0"	"0"	"0"	"416"	""	"416"	""
"101"	"90"	"14"	"7"	"1"	"39"	"180"	"5"	"2"	"0"	"2"	"1"	"9"	"1"	"3"	"0"	"1"	"2"	"7"	"4"	"6"	"284"	""	"284"	""
"102"	"91"	"13"	"3"	"18"	"55"	"101"	"4"	"1"	"0"	"2"	"1"	"17"	"2"	"2"	"0"	"2"	"2"	"1"	"3"	"2"	"229"	""	"229"	""
"103"	"92"	"14"	"17"	"3"	"104"	"61"	"4"	"0"	"1"	"1"	"0"	"9"	"1"	"6"	"0"	"0"	"3"	"6"	"2"	"1"	"233"	""	"233"	""
"104"	"93"	"26"	"25"	"7"	"42"	"228"	"5"	"1"	"1"	"4"	"1"	"21"	"0"	"5"	"3"	"3"	"5"	"4"	"6"	"3"	"390"	""	"390"	""
"105"	"94"	"65"	"8"	"8"	"96"	"63"	"10"	"1"	"4"	"3"	"1"	"41"	"3"	"7"	"0"	"1"	"11"	"6"	"3"	"5"	"336"	""	"336"	""
"106"	"95"	"48"	"22"	"4"	"215"	"8"	"4"	"4"	"1"	"2"	"2"	"37"	"4"	"8"	"3"	"1"	"4"	"0"	"1"	"3"	"371"	""	"371"	""
"107"	"96"	"29"	"1"	"2"	"32"	"138"	"4"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"211"	""	"211"	""
"108"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"109"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"111"	"97"	"74"	"48"	"14"	"144"	"78"	"9"	"0"	"0"	"2"	"0"	"21"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"395"	""	"395"	""
"112"	"98"	"48"	"39"	"8"	"101"	"116"	"8"	"5"	"4"	"5"	"2"	"19"	"1"	"3"	"0"	"3"	"6"	"1"	"0"	"2"	"371"	""	"371"	""
"113"	"99"	"38"	"74"	"8"	"86"	"224"	"6"	"2"	"1"	"4"	"4"	"23"	"3"	"3"	"1"	"3"	"10"	"6"	"1"	"4"	"501"	""	"501"	""
"114"	"100"	"12"	"3"	"4"	"32"	"184"	"4"	"4"	"1"	"1"	"1"	"6"	"2"	"3"	"2"	"2"	"4"	"2"	"1"	"1"	"269"	""	"269"	""
"115"	"101"	"67"	"50"	"3"	"155"	"60"	"4"	"4"	"3"	"7"	"2"	"22"	"2"	"9"	"5"	"5"	"11"	"3"	"2"	"1"	"415"	""	"415"	""
"116"	"102"	"1"	"4"	"0"	"394"	"4"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"411"	""	"411"	""
"117"	"103"	"35"	"9"	"3"	"681"	"3"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"739"	""	"739"	""
"118"	"104"	"39"	"8"	"1"	"426"	"4"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"481"	""	"481"	""
"119"	"105"	"9"	"14"	"5"	"58"	"155"	"7"	"3"	"4"	"3"	"5"	"29"	"6"	"6"	"2"	"2"	"10"	"4"	"1"	"5"	"328"	""	"328"	""
"120"	"106"	"12"	"5"	"2"	"218"	"38"	"2"	"1"	"1"	"0"	"1"	"10"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"296"	""	"296"	""
"121"	"107"	"72"	"42"	"0"	"145"	"74"	"6"	"2"	"0"	"2"	"2"	"46"	"6"	"6"	"2"	"1"	"9"	"10"	"5"	"8"	"438"	""	"438"	""
"122"	"108"	"49"	"87"	"4"	"44"	"37"	"2"	"1"	"1"	"2"	"2"	"13"	"3"	"5"	"2"	"3"	"30"	"4"	"3"	"0"	"292"	""	"292"	""
"123"	"109"	"112"	"51"	"3"	"44"	"208"	"6"	"0"	"0"	"2"	"0"	"13"	"2"	"3"	"2"	"2"	"7"	"2"	"0"	"4"	"461"	""	"461"	""
"124"	"110"	"50"	"167"	"11"	"19"	"7"	"3"	"0"	"2"	"4"	"2"	"5"	"0"	"1"	"4"	"3"	"8"	"5"	"4"	"1"	"296"	""	"296"	""
"125"	"111"	"23"	"52"	"4"	"131"	"19"	"1"	"0"	"0"	"2"	"1"	"12"	"2"	"1"	"3"	"1"	"0"	"3"	"3"	"3"	"261"	""	"261"	""
"126"	"112"	"20"	"20"	"0"	"56"	"293"	"9"	"2"	"4"	"0"	"0"	"32"	"2"	"1"	"1"	"3"	"3"	"8"	"1"	"6"	"461"	""	"461"	""
"127"	"113"	"7"	"46"	"5"	"55"	"296"	"9"	"3"	"2"	"0"	"1"	"18"	"0"	"3"	"2"	"0"	"1"	"1"	"0"	"1"	"450"	""	"450"	""
"128"	"114"	"21"	"11"	"3"	"57"	"148"	"8"	"1"	"3"	"3"	"0"	"13"	"7"	"5"	"3"	"4"	"2"	"11"	"11"	"14"	"325"	""	"325"	""
"129"	"115"	"65"	"7"	"3"	"290"	"15"	"5"	"1"	"2"	"1"	"0"	"25"	"0"	"3"	"2"	"0"	"0"	"1"	"1"	"0"	"421"	""	"421"	""
"130"	"116"	"19"	"9"	"1"	"248"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"2"	"0"	"0"	"0"	"3"	"1"	"1"	"289"	""	"289"	""
"131"	"117"	"12"	"13"	"1"	"86"	"36"	"2"	"1"	"2"	"1"	"1"	"13"	"1"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"175"	""	"175"	""
"132"	"118"	"48"	"8"	"5"	"36"	"112"	"12"	"1"	"2"	"2"	"1"	"16"	"1"	"3"	"4"	"1"	"3"	"1"	"1"	"1"	"258"	""	"258"	""
