"TOTAL.NO.OF.ELECTORS.IN.90.MINAPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"19"	17	"158"	"221"	"6"	"7"	"2"	"2"	"3"	"5"	"2"	"11"	"6"	"24"	"447"	""	""	""
"20"	18	"47"	"205"	"3"	"0"	"2"	"1"	"3"	"2"	"2"	"2"	"3"	"3"	"273"	""	""	""
"21"	19	"231"	"326"	"16"	"4"	"5"	"2"	"2"	"2"	"1"	"4"	"1"	"3"	"597"	""	""	""
"22"	20	"35"	"166"	"3"	"6"	"6"	"1"	"1"	"0"	"2"	"3"	"5"	"35"	"263"	""	""	""
"23"	21	"108"	"91"	"4"	"85"	"4"	"3"	"0"	"3"	"0"	"3"	"2"	"4"	"307"	""	""	""
"24"	22	"140"	"24"	"8"	"7"	"1"	"3"	"1"	"2"	"1"	"1"	"3"	"5"	"196"	""	""	""
"25"	23	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""
"26"	24	"348"	"26"	"2"	"12"	"1"	"1"	"0"	"2"	"2"	"6"	"25"	"5"	"430"	""	""	""
"27"	25	"179"	"108"	"3"	"6"	"4"	"0"	"4"	"1"	"2"	"1"	"12"	"29"	"349"	""	""	""
"28"	26	"264"	"253"	"8"	"9"	"5"	"17"	"9"	"6"	"4"	"3"	"6"	"10"	"594"	""	""	""
"29"	27	"96"	"465"	"8"	"8"	"9"	"2"	"1"	"0"	"0"	"1"	"5"	"1"	"596"	""	""	""
"30"	28	"44"	"430"	"10"	"20"	"10"	"2"	"2"	"2"	"4"	"7"	"3"	"6"	"540"	""	""	""
"31"	29	"313"	"175"	"4"	"67"	"5"	"8"	"6"	"1"	"0"	"7"	"10"	"2"	"598"	""	""	""
"32"	30	"65"	"355"	"14"	"126"	"6"	"2"	"2"	"2"	"8"	"12"	"12"	"24"	"628"	""	""	""
"33"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	196417	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"36"	31	"12"	"144"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"3"	"4"	"6"	"175"	""	""	""
"37"	32	"27"	"290"	"8"	"10"	"11"	"2"	"6"	"2"	"3"	"9"	"17"	"16"	"401"	""	""	""
"38"	33	"352"	"47"	"9"	"49"	"2"	"2"	"1"	"1"	"3"	"3"	"5"	"18"	"492"	""	""	""
"39"	34	"328"	"116"	"5"	"12"	"7"	"2"	"2"	"3"	"2"	"4"	"6"	"11"	"498"	""	""	""
"40"	35	"105"	"148"	"18"	"9"	"4"	"2"	"2"	"6"	"2"	"10"	"16"	"25"	"347"	""	""	""
"41"	36	"28"	"264"	"3"	"7"	"8"	"2"	"2"	"1"	"1"	"1"	"8"	"10"	"335"	""	""	""
"42"	37	"124"	"146"	"17"	"5"	"4"	"8"	"7"	"7"	"6"	"11"	"15"	"16"	"366"	""	""	""
"43"	38	"227"	"323"	"14"	"10"	"5"	"4"	"2"	"1"	"4"	"13"	"7"	"26"	"636"	""	""	""
"44"	39	"127"	"132"	"1"	"3"	"5"	"1"	"2"	"0"	"0"	"4"	"4"	"7"	"286"	""	""	""
"45"	40	"156"	"124"	"8"	"10"	"10"	"1"	"0"	"0"	"1"	"5"	"4"	"1"	"320"	""	""	""
"46"	41	"257"	"283"	"7"	"5"	"2"	"2"	"2"	"1"	"0"	"7"	"6"	"6"	"578"	""	""	""
"47"	42	"188"	"124"	"16"	"9"	"5"	"1"	"3"	"2"	"0"	"3"	"6"	"5"	"362"	""	""	""
"48"	43	"63"	"246"	"13"	"13"	"4"	"3"	"4"	"2"	"2"	"9"	"2"	"23"	"384"	""	""	""
"49"	44	"5"	"68"	"1"	"6"	"0"	"1"	"0"	"0"	"1"	"4"	"4"	"0"	"90"	""	""	""
"50"	45	"80"	"133"	"13"	"12"	"6"	"3"	"1"	"1"	"0"	"4"	"1"	"6"	"260"	""	""	""
"51"	46	"318"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"331"	""	""	""
"52"	47	"33"	"231"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"277"	""	""	""
"53"	48	"418"	"80"	"3"	"51"	"5"	"3"	"2"	"2"	"1"	"8"	"6"	"6"	"585"	""	""	""
"54"	49	"102"	"198"	"1"	"2"	"4"	"1"	"0"	"2"	"0"	"4"	"2"	"6"	"322"	""	""	""
"55"	50	"4"	"258"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	""	""	""
"56"	51	"248"	"53"	"3"	"2"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"312"	""	""	""
"57"	52	"102"	"285"	"3"	"14"	"2"	"2"	"1"	"1"	"2"	"8"	"7"	"8"	"435"	""	""	""
"58"	53	"121"	"212"	"15"	"32"	"9"	"4"	"5"	"0"	"3"	"5"	"7"	"3"	"416"	""	""	""
"59"	54	"137"	"285"	"16"	"21"	"4"	"2"	"1"	"0"	"5"	"8"	"4"	"25"	"508"	""	""	""
"60"	55	"178"	"272"	"10"	"13"	"8"	"4"	"2"	"0"	"3"	"7"	"9"	"28"	"534"	""	""	""
"61"	56	"220"	"47"	"0"	"39"	"3"	"0"	"0"	"0"	"2"	"7"	"0"	"11"	"329"	""	""	""
"62"	57	"97"	"122"	"14"	"21"	"6"	"5"	"1"	"0"	"1"	"4"	"4"	"6"	"281"	""	""	""
"63"	58	"119"	"138"	"7"	"70"	"13"	"5"	"7"	"3"	"7"	"15"	"19"	"19"	"422"	""	""	""
"64"	59	"145"	"324"	"2"	"25"	"12"	"9"	"6"	"6"	"4"	"9"	"6"	"19"	"567"	""	""	""
"65"	60	"158"	"251"	"1"	"4"	"3"	"0"	"2"	"1"	"1"	"8"	"4"	"21"	"454"	""	""	""
"66"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	196417	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"69"	61	"301"	"277"	"7"	"4"	"5"	"3"	"4"	"5"	"4"	"10"	"15"	"35"	"670"	""	""	""
"70"	62	"323"	"306"	"6"	"10"	"9"	"2"	"6"	"3"	"9"	"11"	"15"	"31"	"731"	""	""	""
"71"	63	"172"	"244"	"5"	"3"	"3"	"3"	"2"	"1"	"5"	"2"	"9"	"9"	"458"	""	""	""
"72"	64	"158"	"210"	"4"	"6"	"4"	"1"	"2"	"1"	"1"	"5"	"2"	"9"	"403"	""	""	""
"73"	65	"236"	"233"	"2"	"2"	"3"	"6"	"4"	"0"	"1"	"4"	"18"	"12"	"521"	""	""	""
"74"	66	"147"	"408"	"5"	"16"	"2"	"1"	"3"	"3"	"2"	"8"	"20"	"27"	"642"	""	""	""
"75"	67	"222"	"125"	"3"	"5"	"3"	"1"	"1"	"0"	"2"	"5"	"2"	"7"	"376"	""	""	""
"76"	68	"244"	"171"	"2"	"9"	"2"	"0"	"1"	"3"	"1"	"9"	"7"	"8"	"457"	""	""	""
"77"	69	"436"	"35"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"472"	""	""	""
"78"	70	"162"	"97"	"20"	"3"	"4"	"2"	"1"	"1"	"0"	"3"	"2"	"1"	"296"	""	""	""
"79"	71	"208"	"233"	"11"	"14"	"3"	"5"	"3"	"1"	"3"	"6"	"8"	"12"	"507"	""	""	""
"80"	72	"263"	"178"	"7"	"2"	"6"	"2"	"4"	"3"	"3"	"13"	"8"	"24"	"513"	""	""	""
"81"	73	"229"	"127"	"6"	"4"	"3"	"2"	"6"	"1"	"5"	"4"	"9"	"30"	"426"	""	""	""
"82"	74	"203"	"166"	"6"	"3"	"4"	"5"	"5"	"1"	"1"	"7"	"17"	"19"	"437"	""	""	""
"83"	75	"98"	"196"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"5"	"6"	"312"	""	""	""
"84"	76	"408"	"101"	"9"	"4"	"4"	"3"	"5"	"4"	"4"	"6"	"14"	"38"	"600"	""	""	""
"85"	77	"191"	"42"	"4"	"5"	"5"	"3"	"2"	"0"	"2"	"2"	"0"	"5"	"261"	""	""	""
"86"	78	"112"	"275"	"6"	"8"	"3"	"1"	"2"	"3"	"2"	"5"	"5"	"7"	"429"	""	""	""
"87"	79	"160"	"202"	"5"	"6"	"2"	"1"	"1"	"2"	"4"	"5"	"17"	"9"	"414"	""	""	""
"88"	80	"193"	"216"	"22"	"21"	"9"	"2"	"6"	"2"	"2"	"6"	"7"	"10"	"496"	""	""	""
"89"	81	"436"	"144"	"7"	"14"	"11"	"8"	"8"	"3"	"6"	"6"	"5"	"20"	"668"	""	""	""
"90"	82	"73"	"442"	"8"	"0"	"6"	"3"	"2"	"1"	"1"	"5"	"7"	"7"	"555"	""	""	""
"91"	83	"274"	"317"	"15"	"5"	"2"	"0"	"5"	"3"	"3"	"8"	"15"	"44"	"691"	""	""	""
"92"	84	"162"	"419"	"4"	"8"	"5"	"0"	"5"	"5"	"4"	"8"	"22"	"28"	"670"	""	""	""
"93"	85	"368"	"15"	"3"	"2"	"1"	"0"	"1"	"2"	"0"	"1"	"2"	"8"	"403"	""	""	""
"94"	86	"327"	"78"	"8"	"7"	"1"	"5"	"3"	"1"	"1"	"1"	"6"	"23"	"461"	""	""	""
"95"	87	"304"	"82"	"6"	"10"	"1"	"3"	"2"	"3"	"4"	"1"	"4"	"22"	"442"	""	""	""
"96"	88	"212"	"293"	"4"	"3"	"5"	"4"	"1"	"2"	"8"	"8"	"10"	"38"	"588"	""	""	""
"97"	89	"265"	"295"	"4"	"13"	"4"	"3"	"2"	"2"	"6"	"6"	"10"	"12"	"622"	""	""	""
"98"	90	"126"	"232"	"3"	"15"	"3"	"1"	"2"	"2"	"1"	"4"	"7"	"12"	"408"	""	""	""
"99"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	196417	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"102"	91	"239"	"106"	"12"	"16"	"3"	"6"	"9"	"7"	"5"	"2"	"4"	"16"	"425"	""	""	""
"103"	92	"227"	"210"	"8"	"15"	"4"	"0"	"1"	"0"	"7"	"6"	"12"	"41"	"531"	""	""	""
"104"	93	"290"	"215"	"6"	"11"	"9"	"2"	"3"	"4"	"0"	"2"	"5"	"7"	"554"	""	""	""
"105"	94	"193"	"390"	"8"	"1"	"8"	"0"	"1"	"1"	"1"	"3"	"4"	"3"	"613"	""	""	""
"106"	95	"175"	"245"	"2"	"1"	"0"	"0"	"0"	"2"	"2"	"5"	"4"	"3"	"439"	""	""	""
"107"	96	"243"	"112"	"1"	"1"	"2"	"1"	"3"	"1"	"1"	"8"	"4"	"15"	"392"	""	""	""
"108"	97	"292"	"150"	"5"	"9"	"1"	"2"	"2"	"1"	"4"	"11"	"11"	"15"	"503"	""	""	""
"109"	98	"365"	"206"	"6"	"8"	"3"	"4"	"2"	"3"	"0"	"3"	"7"	"5"	"612"	""	""	""
"110"	99	"213"	"89"	"4"	"4"	"2"	"1"	"5"	"1"	"4"	"3"	"3"	"18"	"347"	""	""	""
"111"	100	"215"	"335"	"2"	"4"	"4"	"1"	"1"	"2"	"1"	"5"	"9"	"7"	"586"	""	""	""
"112"	101	"282"	"67"	"1"	"8"	"2"	"2"	"2"	"2"	"2"	"7"	"1"	"9"	"385"	""	""	""
"113"	102	"194"	"412"	"10"	"7"	"14"	"4"	"5"	"2"	"2"	"5"	"5"	"6"	"666"	""	""	""
"114"	103	"245"	"543"	"17"	"8"	"8"	"2"	"4"	"6"	"3"	"8"	"19"	"27"	"890"	""	""	""
"115"	104	"174"	"352"	"8"	"6"	"8"	"4"	"3"	"3"	"1"	"4"	"5"	"9"	"577"	""	""	""
"116"	105	"138"	"326"	"15"	"24"	"7"	"8"	"2"	"2"	"3"	"8"	"6"	"20"	"559"	""	""	""
"117"	106	"246"	"281"	"12"	"6"	"7"	"3"	"3"	"0"	"7"	"13"	"16"	"27"	"621"	""	""	""
"118"	107	"92"	"408"	"8"	"12"	"5"	"1"	"5"	"2"	"2"	"2"	"8"	"15"	"560"	""	""	""
"119"	108	"129"	"309"	"6"	"3"	"3"	"0"	"1"	"2"	"0"	"1"	"0"	"4"	"458"	""	""	""
"120"	109	"372"	"127"	"6"	"7"	"3"	"1"	"3"	"3"	"5"	"7"	"6"	"33"	"573"	""	""	""
"121"	110	"481"	"177"	"5"	"13"	"6"	"8"	"10"	"3"	"7"	"10"	"11"	"23"	"754"	""	""	""
"122"	111	"132"	"614"	"9"	"6"	"3"	"2"	"3"	"2"	"5"	"3"	"14"	"9"	"802"	""	""	""
"123"	112	"160"	"253"	"7"	"5"	"6"	"1"	"4"	"1"	"4"	"4"	"5"	"18"	"468"	""	""	""
"124"	113	"230"	"230"	"8"	"7"	"4"	"2"	"1"	"3"	"1"	"5"	"9"	"9"	"509"	""	""	""
"125"	114	"281"	"311"	"15"	"10"	"8"	"3"	"0"	"5"	"3"	"8"	"8"	"13"	"665"	""	""	""
"126"	115	"82"	"101"	"27"	"38"	"6"	"0"	"5"	"0"	"0"	"9"	"3"	"16"	"287"	""	""	""
"127"	116	"84"	"362"	"6"	"13"	"3"	"1"	"5"	"3"	"3"	"9"	"9"	"21"	"519"	""	""	""
"128"	117	"277"	"335"	"9"	"11"	"15"	"8"	"5"	"3"	"1"	"3"	"8"	"13"	"688"	""	""	""
"129"	118	"208"	"204"	"2"	"7"	"4"	"3"	"3"	"9"	"4"	"3"	"1"	"6"	"454"	""	""	""
"130"	119	"333"	"262"	"7"	"7"	"4"	"5"	"5"	"3"	"3"	"4"	"10"	"15"	"658"	""	""	""
"131"	120	"163"	"185"	"5"	"11"	"5"	"3"	"3"	"2"	"7"	"6"	"5"	"24"	"419"	""	""	""
"132"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	196417	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"135"	121	"173"	"443"	"3"	"15"	"7"	"8"	"3"	"4"	"4"	"6"	"17"	"26"	"709"	""	""	""
"136"	122	"158"	"143"	"8"	"31"	"4"	"2"	"3"	"1"	"1"	"9"	"4"	"9"	"373"	""	""	""
"137"	123	"216"	"282"	"5"	"11"	"3"	"3"	"4"	"1"	"2"	"5"	"1"	"7"	"540"	""	""	""
"138"	124	"276"	"232"	"2"	"15"	"4"	"5"	"4"	"5"	"3"	"12"	"10"	"30"	"598"	""	""	""
"139"	125	"10"	"64"	"0"	"2"	"2"	"4"	"1"	"0"	"0"	"1"	"0"	"1"	"85"	""	""	""
"140"	126	"166"	"131"	"2"	"5"	"2"	"2"	"2"	"2"	"2"	"5"	"6"	"13"	"338"	""	""	""
"141"	127	"71"	"145"	"6"	"4"	"1"	"1"	"1"	"0"	"1"	"0"	"2"	"3"	"235"	""	""	""
"142"	128	"125"	"239"	"11"	"4"	"0"	"3"	"1"	"0"	"3"	"3"	"1"	"14"	"404"	""	""	""
"143"	129	"175"	"471"	"10"	"15"	"8"	"0"	"3"	"4"	"2"	"11"	"8"	"13"	"720"	""	""	""
"144"	130	"233"	"248"	"3"	"5"	"2"	"1"	"2"	"2"	"3"	"2"	"5"	"15"	"521"	""	""	""
"145"	131	"96"	"161"	"12"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"291"	""	""	""
"146"	132	"281"	"260"	"12"	"5"	"5"	"2"	"2"	"2"	"1"	"1"	"7"	"11"	"589"	""	""	""
"147"	133	"178"	"447"	"4"	"8"	"5"	"2"	"2"	"2"	"2"	"3"	"3"	"6"	"662"	""	""	""
"148"	134	"261"	"249"	"6"	"5"	"4"	"2"	"2"	"6"	"8"	"8"	"15"	"15"	"581"	""	""	""
"149"	135	"71"	"180"	"6"	"6"	"3"	"2"	"1"	"2"	"3"	"5"	"3"	"9"	"291"	""	""	""
"150"	136	"132"	"283"	"3"	"5"	"6"	"2"	"2"	"2"	"2"	"2"	"3"	"2"	"444"	""	""	""
"151"	137	"73"	"341"	"8"	"9"	"3"	"8"	"3"	"6"	"5"	"7"	"14"	"30"	"507"	""	""	""
"152"	138	"81"	"306"	"6"	"7"	"5"	"4"	"4"	"0"	"0"	"5"	"4"	"5"	"427"	""	""	""
"153"	139	"154"	"378"	"9"	"7"	"10"	"9"	"5"	"9"	"12"	"12"	"33"	"25"	"663"	""	""	""
"154"	140	"417"	"106"	"6"	"16"	"6"	"4"	"2"	"1"	"1"	"1"	"10"	"39"	"609"	""	""	""
"155"	141	"340"	"365"	"6"	"17"	"8"	"4"	"5"	"5"	"7"	"7"	"9"	"26"	"799"	""	""	""
"156"	142	"100"	"344"	"9"	"6"	"5"	"2"	"3"	"0"	"4"	"10"	"7"	"13"	"503"	""	""	""
"157"	143	"135"	"288"	"0"	"2"	"1"	"3"	"0"	"3"	"1"	"4"	"10"	"23"	"470"	""	""	""
"158"	144	"613"	"32"	"4"	"23"	"3"	"1"	"2"	"1"	"0"	"1"	"1"	"4"	"685"	""	""	""
"159"	145	"161"	"145"	"6"	"3"	"0"	"3"	"2"	"8"	"4"	"4"	"8"	"23"	"367"	""	""	""
"160"	146	"303"	"26"	"1"	"5"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"337"	""	""	""
"161"	147	"202"	"235"	"8"	"4"	"7"	"2"	"2"	"3"	"1"	"6"	"9"	"14"	"493"	""	""	""
"162"	148	"161"	"337"	"10"	"6"	"13"	"1"	"6"	"2"	"2"	"13"	"13"	"20"	"584"	""	""	""
"163"	149	"264"	"205"	"5"	"8"	"16"	"9"	"5"	"7"	"4"	"9"	"16"	"6"	"554"	""	""	""
"164"	150	"44"	"221"	"3"	"1"	"2"	"0"	"2"	"1"	"0"	"2"	"2"	"2"	"280"	""	""	""
"165"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	196417	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"168"	151	"54"	"189"	"6"	"3"	"2"	"0"	"2"	"2"	"2"	"2"	"4"	"5"	"271"	""	""	""
"169"	152	"95"	"311"	"10"	"3"	"5"	"6"	"3"	"4"	"7"	"16"	"22"	"41"	"523"	""	""	""
"170"	153	"226"	"167"	"10"	"4"	"4"	"0"	"2"	"2"	"4"	"17"	"9"	"38"	"483"	""	""	""
"171"	154	"257"	"159"	"18"	"8"	"7"	"0"	"3"	"9"	"3"	"4"	"6"	"8"	"482"	""	""	""
"172"	155	"28"	"262"	"4"	"2"	"3"	"1"	"0"	"1"	"3"	"8"	"6"	"11"	"329"	""	""	""
"173"	156	"367"	"45"	"3"	"2"	"1"	"1"	"1"	"1"	"3"	"3"	"1"	"13"	"441"	""	""	""
"174"	157	"345"	"38"	"9"	"1"	"1"	"1"	"1"	"0"	"0"	"4"	"2"	"10"	"412"	""	""	""
"175"	158	"383"	"251"	"7"	"21"	"9"	"7"	"2"	"4"	"5"	"3"	"6"	"18"	"716"	""	""	""
"176"	159	"145"	"269"	"8"	"6"	"4"	"5"	"2"	"4"	"3"	"13"	"22"	"37"	"518"	""	""	""
"177"	160	"153"	"262"	"3"	"7"	"7"	"1"	"0"	"0"	"0"	"6"	"6"	"8"	"453"	""	""	""
"178"	161	"204"	"227"	"7"	"14"	"3"	"5"	"2"	"5"	"1"	"3"	"6"	"10"	"487"	""	""	""
"179"	162	"177"	"461"	"3"	"9"	"14"	"3"	"2"	"2"	"5"	"19"	"20"	"35"	"750"	""	""	""
"180"	163	"285"	"104"	"0"	"5"	"2"	"1"	"0"	"0"	"1"	"1"	"6"	"5"	"410"	""	""	""
"181"	164	"176"	"367"	"10"	"13"	"7"	"2"	"5"	"7"	"4"	"12"	"12"	"25"	"640"	""	""	""
"182"	165	"143"	"174"	"3"	"9"	"5"	"1"	"1"	"0"	"0"	"8"	"3"	"5"	"352"	""	""	""
"183"	166	"174"	"122"	"3"	"7"	"10"	"1"	"2"	"2"	"3"	"6"	"2"	"3"	"335"	""	""	""
"184"	167	"267"	"232"	"17"	"17"	"4"	"1"	"2"	"2"	"2"	"5"	"4"	"11"	"564"	""	""	""
"185"	168	"248"	"403"	"2"	"11"	"10"	"5"	"4"	"3"	"6"	"12"	"10"	"18"	"732"	""	""	""
"186"	169	"115"	"88"	"3"	"3"	"0"	"2"	"1"	"2"	"2"	"3"	"3"	"5"	"227"	""	""	""
"187"	170	"333"	"158"	"3"	"12"	"7"	"5"	"5"	"4"	"2"	"10"	"15"	"49"	"603"	""	""	""
"188"	171	"107"	"490"	"11"	"20"	"6"	"2"	"3"	"0"	"2"	"12"	"11"	"20"	"684"	""	""	""
"189"	172	"232"	"294"	"27"	"18"	"11"	"6"	"3"	"2"	"1"	"5"	"2"	"5"	"606"	""	""	""
"190"	173	"103"	"407"	"12"	"6"	"9"	"4"	"2"	"5"	"4"	"7"	"5"	"6"	"570"	""	""	""
"191"	174	"78"	"281"	"11"	"6"	"3"	"1"	"3"	"0"	"1"	"2"	"14"	"9"	"409"	""	""	""
"192"	175	"22"	"522"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"5"	"3"	"4"	"566"	""	""	""
"193"	176	"152"	"277"	"6"	"4"	"3"	"0"	"1"	"2"	"0"	"6"	"1"	"3"	"455"	""	""	""
"194"	177	"291"	"257"	"14"	"5"	"9"	"6"	"1"	"3"	"1"	"8"	"7"	"13"	"615"	""	""	""
"195"	178	"52"	"306"	"6"	"5"	"2"	"4"	"1"	"2"	"3"	"3"	"11"	"7"	"402"	""	""	""
"196"	179	"166"	"374"	"14"	"7"	"9"	"4"	"4"	"4"	"5"	"17"	"19"	"31"	"654"	""	""	""
"197"	180	"258"	"37"	"6"	"5"	"0"	"0"	"1"	"1"	"0"	"2"	"2"	"7"	"319"	""	""	""
"198"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	196417	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
