"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"13"	"12"	"3"	"36"	"265"	"45"	"2"	"1"	"1"	"0"	"2"	"2"	"1"	"3"	"4"	"9"	"7"	"7"	"2"	"3"	"393"	"0"	"393"	"0"
"14"	"13"	"5"	"8"	"167"	"307"	"15"	"4"	"3"	"6"	"5"	"4"	"6"	"7"	"9"	"6"	"1"	"11"	"1"	"1"	"566"	"0"	"566"	"0"
"15"	"14"	"5"	"42"	"287"	"70"	"3"	"2"	"2"	"3"	"8"	"1"	"1"	"1"	"2"	"10"	"4"	"3"	"1"	"2"	"447"	"0"	"447"	"0"
"16"	"15"	"21"	"27"	"317"	"143"	"8"	"5"	"6"	"4"	"7"	"2"	"8"	"5"	"3"	"12"	"8"	"19"	"19"	"13"	"627"	"0"	"627"	"0"
"17"	"16"	"5"	"105"	"403"	"78"	"3"	"3"	"0"	"1"	"2"	"2"	"0"	"3"	"6"	"11"	"6"	"14"	"3"	"6"	"651"	"0"	"651"	"0"
"18"	"17"	"2"	"37"	"177"	"133"	"5"	"4"	"3"	"0"	"4"	"4"	"0"	"5"	"4"	"3"	"1"	"12"	"3"	"5"	"402"	"0"	"402"	"0"
"19"	"18"	"5"	"13"	"65"	"246"	"3"	"5"	"1"	"3"	"6"	"3"	"1"	"7"	"5"	"4"	"4"	"20"	"1"	"9"	"401"	"0"	"401"	"0"
"20"	"19"	"21"	"56"	"155"	"86"	"3"	"6"	"4"	"4"	"2"	"6"	"5"	"2"	"3"	"6"	"10"	"9"	"1"	"2"	"381"	"0"	"381"	"0"
"21"	"20"	"4"	"18"	"105"	"371"	"4"	"0"	"1"	"8"	"5"	"3"	"3"	"3"	"4"	"6"	"5"	"14"	"5"	"6"	"565"	"0"	"565"	"0"
"22"	"21"	"17"	"40"	"248"	"25"	"2"	"1"	"1"	"3"	"3"	"0"	"1"	"1"	"0"	"3"	"5"	"14"	"13"	"5"	"382"	"0"	"382"	"0"
"23"	"22"	"4"	"14"	"51"	"154"	"7"	"1"	"0"	"1"	"1"	"0"	"4"	"1"	"5"	"0"	"2"	"8"	"2"	"0"	"255"	"0"	"255"	"0"
"24"	"23"	"10"	"161"	"201"	"81"	"6"	"6"	"4"	"4"	"9"	"7"	"4"	"6"	"9"	"13"	"4"	"24"	"1"	"5"	"555"	"0"	"555"	"0"
"25"	"24"	"6"	"8"	"148"	"156"	"3"	"3"	"7"	"1"	"1"	"0"	"0"	"2"	"2"	"1"	"0"	"3"	"1"	"3"	"345"	"0"	"345"	"0"
"26"	"25"	"4"	"1"	"137"	"98"	"4"	"4"	"1"	"0"	"4"	"1"	"2"	"0"	"1"	"5"	"1"	"4"	"6"	"5"	"278"	"0"	"278"	"0"
"27"	"26"	"2"	"4"	"151"	"51"	"5"	"1"	"1"	"0"	"3"	"2"	"3"	"3"	"0"	"2"	"3"	"9"	"2"	"0"	"242"	"0"	"242"	"0"
"28"	"27"	"2"	"1"	"42"	"79"	"2"	"0"	"2"	"1"	"1"	"0"	"4"	"2"	"3"	"0"	"2"	"2"	"0"	"0"	"143"	"0"	"143"	"0"
"29"	"28"	"14"	"17"	"163"	"300"	"15"	"8"	"6"	"12"	"7"	"9"	"3"	"4"	"13"	"9"	"4"	"10"	"2"	"5"	"601"	"0"	"601"	"0"
"30"	"29"	"7"	"52"	"178"	"252"	"16"	"5"	"4"	"3"	"9"	"7"	"7"	"13"	"9"	"11"	"9"	"17"	"1"	"10"	"610"	"0"	"610"	"0"
"31"	"30"	"4"	"3"	"131"	"89"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"4"	"1"	"0"	"1"	"2"	"241"	"0"	"241"	"0"
"32"	"31"	"5"	"7"	"91"	"244"	"9"	"2"	"1"	"2"	"3"	"1"	"1"	"5"	"5"	"1"	"1"	"6"	"1"	"0"	"385"	"0"	"385"	"0"
"33"	"32"	"12"	"40"	"205"	"125"	"7"	"3"	"4"	"1"	"2"	"1"	"3"	"0"	"1"	"3"	"4"	"3"	"2"	"0"	"416"	"0"	"416"	"0"
"34"	"33"	"1"	"5"	"112"	"110"	"4"	"2"	"1"	"2"	"2"	"3"	"3"	"3"	"1"	"4"	"0"	"2"	"0"	"1"	"256"	"0"	"256"	"0"
"35"	"34"	"9"	"25"	"104"	"424"	"11"	"1"	"3"	"3"	"3"	"1"	"1"	"5"	"11"	"5"	"7"	"15"	"1"	"0"	"629"	"0"	"629"	"0"
"36"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendere d votes"
"37"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"38"	"35"	"17"	"80"	"70"	"334"	"10"	"5"	"7"	"2"	"3"	"3"	"2"	"6"	"10"	"5"	"14"	"20"	"2"	"7"	"597"	"0"	"597"	"0"
"39"	"36"	"2"	"42"	"283"	"40"	"2"	"1"	"4"	"4"	"5"	"0"	"1"	"2"	"1"	"9"	"1"	"5"	"3"	"3"	"408"	"0"	"408"	"0"
"40"	"37"	"1"	"55"	"260"	"12"	"2"	"5"	"0"	"2"	"3"	"8"	"3"	"3"	"7"	"4"	"6"	"5"	"0"	"7"	"383"	"0"	"383"	"0"
"41"	"38"	"7"	"187"	"114"	"12"	"0"	"2"	"2"	"0"	"9"	"1"	"0"	"1"	"1"	"7"	"10"	"9"	"6"	"13"	"381"	"0"	"381"	"0"
"42"	"39"	"7"	"36"	"248"	"46"	"6"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"1"	"2"	"356"	"0"	"356"	"0"
"43"	"40"	"4"	"71"	"318"	"13"	"4"	"4"	"1"	"1"	"3"	"2"	"2"	"1"	"2"	"7"	"2"	"20"	"2"	"12"	"469"	"0"	"469"	"0"
"44"	"41"	"12"	"33"	"122"	"144"	"8"	"3"	"4"	"8"	"6"	"8"	"5"	"6"	"13"	"6"	"12"	"39"	"1"	"6"	"436"	"0"	"436"	"0"
"45"	"42"	"3"	"40"	"167"	"124"	"9"	"0"	"2"	"1"	"2"	"2"	"6"	"6"	"3"	"3"	"3"	"11"	"0"	"5"	"387"	"0"	"387"	"0"
"46"	"43"	"18"	"264"	"162"	"53"	"8"	"1"	"2"	"1"	"6"	"6"	"4"	"4"	"6"	"10"	"15"	"18"	"8"	"12"	"598"	"0"	"598"	"0"
"47"	"44"	"32"	"7"	"204"	"105"	"3"	"12"	"0"	"5"	"9"	"3"	"3"	"1"	"0"	"1"	"5"	"19"	"7"	"7"	"423"	"0"	"423"	"0"
"48"	"45"	"9"	"48"	"167"	"22"	"0"	"3"	"2"	"1"	"2"	"1"	"5"	"2"	"1"	"6"	"10"	"3"	"0"	"2"	"284"	"0"	"284"	"0"
"49"	"46"	"16"	"16"	"216"	"113"	"1"	"2"	"1"	"0"	"1"	"5"	"4"	"3"	"4"	"1"	"2"	"5"	"10"	"2"	"402"	"0"	"402"	"0"
"50"	"47"	"5"	"32"	"167"	"26"	"0"	"1"	"0"	"2"	"5"	"2"	"5"	"1"	"5"	"5"	"5"	"6"	"4"	"11"	"282"	"0"	"282"	"0"
"51"	"48"	"2"	"60"	"169"	"44"	"1"	"2"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"3"	"0"	"2"	"0"	"0"	"288"	"0"	"288"	"0"
"52"	"49"	"8"	"33"	"205"	"41"	"4"	"6"	"3"	"4"	"11"	"5"	"9"	"3"	"6"	"16"	"10"	"27"	"2"	"4"	"397"	"0"	"397"	"0"
"53"	"50"	"28"	"93"	"125"	"28"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"3"	"2"	"2"	"2"	"3"	"2"	"6"	"306"	"0"	"306"	"0"
"54"	"51"	"47"	"50"	"160"	"78"	"1"	"3"	"0"	"1"	"2"	"2"	"1"	"4"	"1"	"8"	"5"	"13"	"0"	"1"	"377"	"0"	"377"	"0"
"55"	"52"	"10"	"25"	"319"	"77"	"9"	"8"	"10"	"3"	"6"	"8"	"7"	"4"	"6"	"18"	"7"	"30"	"3"	"9"	"559"	"0"	"559"	"0"
"56"	"53"	"18"	"24"	"399"	"89"	"8"	"4"	"6"	"5"	"7"	"6"	"4"	"5"	"4"	"17"	"16"	"10"	"12"	"15"	"649"	"0"	"649"	"0"
"57"	"54"	"17"	"24"	"333"	"24"	"2"	"6"	"1"	"2"	"1"	"2"	"3"	"1"	"0"	"0"	"1"	"2"	"7"	"6"	"432"	"0"	"432"	"0"
"58"	"55"	"10"	"141"	"122"	"28"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"3"	"312"	"0"	"312"	"0"
"59"	"56"	"3"	"48"	"285"	"71"	"1"	"1"	"0"	"2"	"5"	"0"	"2"	"2"	"2"	"0"	"3"	"8"	"3"	"4"	"440"	"0"	"440"	"0"
"60"	"57"	"17"	"59"	"111"	"61"	"1"	"2"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"263"	"0"	"263"	"0"
"61"	"58"	"7"	"10"	"240"	"13"	"4"	"5"	"4"	"3"	"7"	"8"	"2"	"0"	"3"	"9"	"3"	"6"	"1"	"5"	"330"	"0"	"330"	"0"
"62"	"59"	"37"	"45"	"242"	"54"	"4"	"3"	"4"	"3"	"1"	"3"	"1"	"1"	"3"	"3"	"3"	"5"	"5"	"7"	"424"	"0"	"424"	"0"
"63"	"60"	"9"	"105"	"205"	"26"	"0"	"0"	"1"	"2"	"8"	"2"	"1"	"0"	"1"	"2"	"1"	"9"	"4"	"17"	"393"	"0"	"393"	"0"
"64"	"61"	"11"	"18"	"327"	"178"	"5"	"4"	"2"	"6"	"7"	"9"	"4"	"7"	"9"	"10"	"6"	"10"	"7"	"8"	"628"	"0"	"628"	"0"
"65"	"62"	"6"	"50"	"365"	"86"	"3"	"1"	"4"	"2"	"7"	"8"	"10"	"4"	"11"	"23"	"12"	"39"	"1"	"1"	"633"	"0"	"633"	"0"
"66"	"63"	"2"	"20"	"208"	"4"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"3"	"0"	"4"	"1"	"6"	"0"	"1"	"255"	"0"	"255"	"0"
"67"	"64"	"8"	"34"	"181"	"37"	"6"	"2"	"2"	"1"	"6"	"1"	"3"	"1"	"1"	"11"	"6"	"9"	"1"	"0"	"310"	"0"	"310"	"0"
"68"	"65"	"5"	"59"	"250"	"28"	"0"	"5"	"0"	"2"	"5"	"1"	"1"	"1"	"1"	"3"	"1"	"4"	"0"	"4"	"370"	"0"	"370"	"0"
"69"	"66"	"11"	"34"	"196"	"73"	"3"	"0"	"1"	"0"	"1"	"3"	"0"	"1"	"2"	"5"	"3"	"6"	"2"	"4"	"345"	"0"	"345"	"0"
"70"	"67"	"12"	"119"	"177"	"72"	"0"	"2"	"1"	"5"	"6"	"3"	"0"	"2"	"5"	"4"	"7"	"7"	"6"	"13"	"441"	"0"	"441"	"0"
"71"	"68"	"5"	"18"	"379"	"85"	"1"	"7"	"5"	"8"	"10"	"5"	"1"	"1"	"6"	"12"	"10"	"19"	"1"	"3"	"576"	"0"	"576"	"0"
"72"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendere d votes"
"73"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"74"	"69"	"20"	"19"	"229"	"176"	"6"	"6"	"1"	"3"	"4"	"4"	"4"	"2"	"10"	"10"	"3"	"13"	"8"	"9"	"527"	"0"	"527"	"0"
"75"	"70"	"26"	"60"	"446"	"49"	"5"	"7"	"2"	"3"	"2"	"5"	"1"	"1"	"1"	"1"	"1"	"4"	"3"	"5"	"622"	"0"	"622"	"0"
"76"	"71"	"8"	"37"	"65"	"35"	"2"	"0"	"0"	"1"	"3"	"0"	"2"	"1"	"1"	"0"	"2"	"12"	"2"	"3"	"174"	"0"	"174"	"0"
"77"	"72"	"6"	"128"	"203"	"128"	"7"	"1"	"2"	"2"	"2"	"3"	"4"	"1"	"2"	"4"	"3"	"7"	"0"	"3"	"506"	"0"	"506"	"0"
"78"	"73"	"3"	"210"	"10"	"90"	"2"	"0"	"2"	"0"	"4"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"3"	"2"	"331"	"0"	"331"	"0"
"79"	"74"	"23"	"48"	"240"	"275"	"9"	"8"	"6"	"6"	"4"	"4"	"6"	"7"	"7"	"7"	"4"	"11"	"13"	"8"	"686"	"0"	"686"	"0"
"80"	"75"	"2"	"13"	"20"	"237"	"2"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"2"	"1"	"0"	"7"	"0"	"0"	"288"	"0"	"288"	"0"
"81"	"76"	"21"	"102"	"298"	"64"	"0"	"4"	"0"	"1"	"5"	"4"	"3"	"1"	"0"	"1"	"5"	"3"	"4"	"5"	"521"	"0"	"521"	"0"
"82"	"77"	"15"	"42"	"414"	"52"	"8"	"6"	"2"	"5"	"6"	"6"	"0"	"3"	"3"	"11"	"5"	"11"	"5"	"10"	"604"	"0"	"604"	"0"
"83"	"78"	"7"	"63"	"216"	"14"	"1"	"4"	"0"	"0"	"9"	"0"	"0"	"3"	"0"	"3"	"4"	"6"	"2"	"4"	"336"	"0"	"336"	"0"
"84"	"79"	"15"	"37"	"250"	"18"	"0"	"8"	"4"	"1"	"3"	"7"	"1"	"3"	"2"	"9"	"2"	"18"	"18"	"12"	"408"	"0"	"408"	"0"
"85"	"80"	"7"	"9"	"98"	"55"	"1"	"1"	"0"	"3"	"1"	"1"	"1"	"0"	"2"	"1"	"2"	"4"	"5"	"1"	"192"	"0"	"192"	"0"
"86"	"81"	"4"	"16"	"312"	"108"	"4"	"4"	"2"	"5"	"5"	"3"	"4"	"0"	"3"	"4"	"2"	"6"	"3"	"5"	"490"	"0"	"490"	"0"
"87"	"82"	"8"	"5"	"213"	"65"	"6"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"3"	"1"	"1"	"311"	"0"	"311"	"0"
"88"	"83"	"19"	"201"	"112"	"30"	"1"	"2"	"2"	"0"	"1"	"1"	"1"	"0"	"2"	"7"	"11"	"25"	"1"	"1"	"417"	"0"	"417"	"0"
"89"	"84"	"4"	"260"	"30"	"7"	"1"	"0"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"5"	"6"	"5"	"3"	"21"	"347"	"0"	"347"	"0"
"90"	"85"	"1"	"2"	"152"	"40"	"1"	"0"	"1"	"1"	"3"	"3"	"3"	"0"	"3"	"3"	"2"	"10"	"2"	"1"	"228"	"0"	"228"	"0"
"91"	"86"	"12"	"14"	"174"	"263"	"12"	"7"	"11"	"1"	"6"	"2"	"4"	"6"	"3"	"2"	"7"	"13"	"2"	"3"	"542"	"0"	"542"	"0"
"92"	"87"	"31"	"16"	"353"	"202"	"9"	"2"	"4"	"2"	"4"	"2"	"2"	"1"	"1"	"4"	"21"	"4"	"1"	"0"	"659"	"0"	"659"	"0"
"93"	"88"	"12"	"6"	"275"	"116"	"3"	"6"	"1"	"3"	"5"	"7"	"5"	"1"	"8"	"4"	"4"	"9"	"2"	"2"	"469"	"0"	"469"	"0"
"94"	"89"	"2"	"30"	"163"	"294"	"7"	"1"	"5"	"4"	"4"	"3"	"6"	"3"	"15"	"12"	"8"	"13"	"12"	"26"	"608"	"0"	"608"	"0"
"95"	"90"	"7"	"73"	"265"	"279"	"5"	"9"	"5"	"7"	"2"	"6"	"3"	"5"	"3"	"9"	"2"	"12"	"0"	"5"	"697"	"0"	"697"	"0"
"96"	"91"	"7"	"5"	"49"	"122"	"5"	"0"	"2"	"0"	"5"	"3"	"1"	"2"	"1"	"1"	"1"	"4"	"0"	"0"	"208"	"0"	"208"	"0"
"97"	"92"	"13"	"64"	"291"	"25"	"4"	"3"	"8"	"4"	"8"	"6"	"3"	"8"	"6"	"13"	"7"	"24"	"4"	"12"	"503"	"0"	"503"	"0"
"98"	"93"	"1"	"164"	"249"	"25"	"0"	"0"	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"1"	"452"	"0"	"452"	"0"
"99"	"94"	"3"	"127"	"262"	"13"	"1"	"2"	"2"	"2"	"0"	"1"	"2"	"1"	"1"	"1"	"0"	"10"	"1"	"9"	"438"	"0"	"438"	"0"
"100"	"95"	"9"	"21"	"258"	"140"	"2"	"1"	"2"	"3"	"3"	"2"	"5"	"1"	"1"	"5"	"3"	"7"	"5"	"7"	"475"	"0"	"475"	"0"
"101"	"96"	"11"	"43"	"325"	"133"	"10"	"5"	"1"	"5"	"7"	"2"	"4"	"6"	"12"	"9"	"9"	"13"	"10"	"16"	"621"	"0"	"621"	"0"
"102"	"97"	"13"	"63"	"372"	"94"	"2"	"6"	"5"	"2"	"6"	"1"	"3"	"3"	"1"	"9"	"6"	"10"	"1"	"4"	"601"	"0"	"601"	"0"
"103"	"98"	"15"	"109"	"371"	"40"	"2"	"6"	"3"	"0"	"5"	"1"	"3"	"0"	"0"	"2"	"2"	"1"	"2"	"4"	"566"	"0"	"566"	"0"
"104"	"99"	"15"	"69"	"359"	"24"	"3"	"3"	"1"	"10"	"5"	"1"	"3"	"4"	"1"	"6"	"5"	"9"	"1"	"1"	"520"	"0"	"520"	"0"
"105"	"100"	"6"	"63"	"330"	"80"	"1"	"6"	"2"	"2"	"6"	"2"	"2"	"3"	"3"	"11"	"2"	"3"	"4"	"2"	"528"	"0"	"528"	"0"
"106"	"101"	"4"	"8"	"233"	"19"	"5"	"2"	"2"	"0"	"3"	"1"	"4"	"0"	"2"	"6"	"4"	"7"	"2"	"3"	"305"	"0"	"305"	"0"
"107"	"102"	"5"	"218"	"375"	"53"	"2"	"5"	"3"	"0"	"5"	"4"	"5"	"3"	"4"	"7"	"4"	"9"	"2"	"7"	"711"	"0"	"711"	"0"
"108"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendere d votes"
"109"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"110"	"103"	"4"	"39"	"365"	"58"	"4"	"5"	"4"	"2"	"4"	"2"	"3"	"1"	"5"	"7"	"3"	"17"	"1"	"1"	"525"	"0"	"525"	"0"
"111"	"104"	"6"	"36"	"364"	"21"	"3"	"1"	"3"	"3"	"3"	"2"	"2"	"2"	"2"	"10"	"1"	"19"	"2"	"8"	"488"	"0"	"488"	"0"
"112"	"105"	"8"	"74"	"392"	"65"	"4"	"2"	"1"	"2"	"1"	"2"	"0"	"2"	"3"	"2"	"2"	"6"	"1"	"2"	"569"	"0"	"569"	"0"
"113"	"106"	"24"	"54"	"165"	"220"	"9"	"4"	"2"	"4"	"8"	"3"	"3"	"6"	"8"	"5"	"2"	"7"	"0"	"4"	"528"	"0"	"528"	"0"
"114"	"107"	"1"	"13"	"321"	"79"	"1"	"2"	"1"	"1"	"2"	"3"	"1"	"1"	"1"	"1"	"1"	"6"	"0"	"3"	"438"	"0"	"438"	"0"
"115"	"108"	"20"	"14"	"364"	"117"	"2"	"5"	"2"	"2"	"3"	"1"	"2"	"1"	"0"	"1"	"4"	"3"	"4"	"4"	"549"	"0"	"549"	"0"
"116"	"109"	"2"	"24"	"413"	"119"	"5"	"4"	"2"	"7"	"7"	"6"	"3"	"4"	"7"	"26"	"5"	"11"	"1"	"6"	"652"	"0"	"652"	"0"
"117"	"110"	"6"	"22"	"287"	"180"	"7"	"6"	"4"	"4"	"11"	"6"	"4"	"6"	"9"	"15"	"8"	"14"	"3"	"2"	"594"	"0"	"594"	"0"
"118"	"111"	"6"	"54"	"393"	"74"	"3"	"1"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"6"	"543"	"0"	"543"	"0"
"119"	"112"	"6"	"27"	"262"	"220"	"8"	"4"	"2"	"4"	"6"	"4"	"3"	"12"	"7"	"13"	"8"	"40"	"9"	"12"	"647"	"0"	"647"	"0"
"120"	"113"	"22"	"10"	"22"	"386"	"5"	"2"	"1"	"2"	"4"	"1"	"2"	"2"	"4"	"1"	"6"	"13"	"6"	"2"	"491"	"0"	"491"	"0"
"121"	"114"	"14"	"103"	"108"	"411"	"10"	"7"	"11"	"5"	"11"	"13"	"7"	"9"	"13"	"10"	"13"	"30"	"10"	"17"	"802"	"0"	"802"	"0"
"122"	"115"	"14"	"14"	"91"	"178"	"6"	"3"	"3"	"6"	"4"	"3"	"4"	"3"	"1"	"1"	"5"	"6"	"5"	"1"	"348"	"0"	"348"	"0"
"123"	"116"	"13"	"127"	"67"	"237"	"7"	"5"	"8"	"4"	"7"	"2"	"5"	"0"	"6"	"5"	"7"	"8"	"4"	"10"	"522"	"0"	"522"	"0"
"124"	"117"	"1"	"27"	"126"	"80"	"4"	"4"	"0"	"2"	"2"	"1"	"0"	"3"	"3"	"3"	"2"	"9"	"0"	"5"	"272"	"0"	"272"	"0"
"125"	"118"	"14"	"354"	"76"	"141"	"4"	"1"	"4"	"5"	"3"	"0"	"4"	"7"	"4"	"5"	"7"	"11"	"11"	"25"	"676"	"0"	"676"	"0"
"126"	"119"	"38"	"84"	"362"	"59"	"3"	"9"	"3"	"3"	"1"	"1"	"1"	"2"	"3"	"6"	"1"	"4"	"5"	"4"	"589"	"0"	"589"	"0"
"127"	"120"	"21"	"182"	"186"	"54"	"6"	"0"	"0"	"1"	"3"	"0"	"2"	"2"	"3"	"0"	"6"	"9"	"4"	"1"	"480"	"0"	"480"	"0"
"128"	"121"	"20"	"283"	"201"	"36"	"4"	"4"	"0"	"4"	"4"	"7"	"3"	"9"	"4"	"9"	"14"	"18"	"13"	"20"	"653"	"0"	"653"	"0"
"129"	"122"	"33"	"123"	"169"	"167"	"8"	"8"	"1"	"2"	"8"	"5"	"1"	"2"	"3"	"1"	"2"	"5"	"3"	"2"	"543"	"0"	"543"	"0"
"130"	"123"	"4"	"6"	"314"	"30"	"1"	"4"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"4"	"0"	"0"	"4"	"4"	"374"	"0"	"374"	"0"
"131"	"124"	"2"	"165"	"179"	"97"	"2"	"3"	"2"	"2"	"5"	"2"	"2"	"2"	"3"	"1"	"12"	"7"	"1"	"0"	"487"	"0"	"487"	"0"
"132"	"125"	"19"	"78"	"397"	"71"	"1"	"7"	"3"	"3"	"6"	"2"	"3"	"1"	"2"	"2"	"6"	"5"	"8"	"8"	"622"	"0"	"622"	"0"
"133"	"126"	"65"	"22"	"250"	"208"	"9"	"5"	"9"	"3"	"5"	"1"	"3"	"2"	"3"	"6"	"13"	"6"	"2"	"0"	"612"	"0"	"612"	"0"
