"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X231191.35.Bisfi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"13"	""	"10"	"45"	"6"	"54"	"110"	"22"	"4"	"0"	"1"	"10"	"6"	"7"	"1"	"7"	"94"	"367"	""	"367"	""
"14"	""	"11"	"69"	"8"	"90"	"5"	"6"	"6"	"0"	"5"	"11"	"1"	"8"	"6"	"13"	"263"	"491"	""	"491"	""
"15"	""	"12"	"93"	"3"	"282"	"38"	"6"	"2"	"1"	"2"	"4"	"1"	"4"	"2"	"4"	"65"	"507"	""	"507"	""
"16"	""	"13"	"257"	"10"	"6"	"27"	"5"	"2"	"1"	"5"	"2"	"1"	"4"	"3"	"9"	"106"	"438"	""	"438"	""
"17"	""	"14"	"12"	"1"	"392"	"8"	"5"	"1"	"1"	"0"	"0"	"2"	"1"	"3"	"0"	"2"	"428"	""	"428"	""
"18"	""	"Total -1"	"1431"	"76"	"1515"	"440"	"93"	"42"	"18"	"31"	"168"	"32"	"51"	"51"	"87"	"1540"	"5575"	"0"	"5575"	"0"
"19"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"23"	"Round No.2"	"15"	"99"	"1"	"19"	"7"	"4"	"2"	"2"	"2"	"1"	"2"	"5"	"3"	"5"	"273"	"425"	""	"425"	""
"24"	""	"16"	"343"	"16"	"24"	"15"	"2"	"2"	"1"	"13"	"1"	"1"	"1"	"1"	"3"	"13"	"436"	""	"436"	""
"25"	""	"17"	"89"	"3"	"276"	"7"	"3"	"2"	"0"	"1"	"1"	"0"	"3"	"2"	"3"	"6"	"396"	""	"396"	""
"26"	""	"18"	"10"	"6"	"127"	"138"	"141"	"2"	"3"	"7"	"2"	"2"	"6"	"4"	"1"	"23"	"472"	""	"472"	""
"27"	""	"19"	"18"	"22"	"21"	"73"	"58"	"3"	"3"	"1"	"1"	"4"	"3"	"2"	"6"	"5"	"220"	""	"220"	""
"28"	""	"20"	"54"	"2"	"29"	"143"	"58"	"2"	"1"	"8"	"3"	"1"	"7"	"5"	"2"	"12"	"327"	""	"327"	""
"29"	""	"21"	"152"	"11"	"53"	"116"	"83"	"9"	"4"	"2"	"4"	"6"	"9"	"4"	"22"	"44"	"519"	""	"519"	""
"30"	""	"22"	"157"	"19"	"29"	"75"	"68"	"2"	"2"	"3"	"1"	"1"	"3"	"0"	"1"	"16"	"377"	""	"377"	""
"31"	""	"23"	"29"	"9"	"5"	"88"	"138"	"3"	"0"	"1"	"1"	"2"	"1"	"1"	"2"	"14"	"294"	""	"294"	""
"32"	""	"24"	"17"	"2"	"2"	"28"	"128"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"183"	""	"183"	""
"33"	""	"25"	"114"	"6"	"27"	"99"	"15"	"3"	"1"	"3"	"1"	"0"	"2"	"1"	"0"	"10"	"282"	""	"282"	""
"34"	""	"26"	"94"	"4"	"3"	"119"	"85"	"3"	"4"	"5"	"3"	"4"	"9"	"3"	"4"	"44"	"384"	""	"384"	""
"35"	""	"27"	"218"	"14"	"251"	"13"	"22"	"4"	"3"	"3"	"2"	"3"	"4"	"0"	"1"	"3"	"541"	""	"541"	""
"36"	""	"28"	"87"	"5"	"85"	"218"	"40"	"7"	"4"	"9"	"2"	"1"	"3"	"4"	"1"	"37"	"503"	""	"503"	""
"37"	""	"Total -2"	"1481"	"120"	"951"	"1139"	"845"	"48"	"28"	"58"	"24"	"27"	"56"	"30"	"51"	"501"	"5359"	"0"	"5359"	"0"
"38"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"42"	"Round No.3"	"29"	"98"	"5"	"96"	"98"	"85"	"8"	"5"	"3"	"3"	"1"	"1"	"1"	"7"	"29"	"440"	""	"440"	""
"43"	""	"30"	"231"	"23"	"32"	"93"	"28"	"1"	"4"	"2"	"2"	"1"	"4"	"3"	"3"	"6"	"433"	""	"433"	""
"44"	""	"31"	"30"	"4"	"56"	"114"	"8"	"2"	"7"	"0"	"0"	"4"	"2"	"3"	"0"	"6"	"236"	""	"236"	""
"45"	""	"32"	"265"	"7"	"25"	"25"	"4"	"1"	"11"	"1"	"0"	"0"	"2"	"1"	"0"	"7"	"349"	""	"349"	""
"46"	""	"33"	"157"	"18"	"15"	"172"	"22"	"9"	"7"	"8"	"5"	"5"	"9"	"8"	"8"	"27"	"470"	""	"470"	""
"47"	""	"34"	"64"	"24"	"8"	"74"	"57"	"2"	"2"	"9"	"3"	"1"	"4"	"1"	"3"	"30"	"282"	""	"282"	""
"48"	""	"35"	"71"	"9"	"109"	"81"	"34"	"0"	"0"	"6"	"0"	"0"	"1"	"5"	"0"	"2"	"318"	""	"318"	""
"49"	""	"36"	"107"	"3"	"52"	"33"	"40"	"3"	"0"	"1"	"0"	"0"	"3"	"2"	"0"	"3"	"247"	""	"247"	""
"50"	""	"37"	"188"	"15"	"9"	"112"	"18"	"6"	"2"	"6"	"4"	"1"	"8"	"20"	"5"	"9"	"403"	""	"403"	""
"51"	""	"38"	"253"	"8"	"1"	"25"	"7"	"5"	"3"	"1"	"0"	"1"	"3"	"6"	"1"	"6"	"320"	""	"320"	""
"52"	""	"39"	"52"	"13"	"27"	"276"	"52"	"23"	"3"	"11"	"6"	"5"	"9"	"165"	"4"	"16"	"662"	""	"662"	""
"53"	""	"40"	"32"	"24"	"12"	"102"	"6"	"1"	"5"	"1"	"2"	"0"	"1"	"5"	"1"	"27"	"219"	""	"219"	""
"54"	""	"41"	"9"	"14"	"81"	"56"	"42"	"1"	"1"	"3"	"2"	"0"	"4"	"1"	"0"	"9"	"223"	""	"223"	""
"55"	""	"42"	"45"	"3"	"53"	"29"	"22"	"2"	"1"	"0"	"2"	"1"	"1"	"3"	"1"	"15"	"178"	""	"178"	""
"56"	""	"Total -3"	"1602"	"170"	"576"	"1290"	"425"	"64"	"51"	"52"	"29"	"20"	"52"	"224"	"33"	"192"	"4780"	"0"	"4780"	"0"
"57"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"61"	"Round No4"	"43"	"38"	"34"	"60"	"38"	"35"	"2"	"0"	"5"	"1"	"2"	"1"	"2"	"3"	"31"	"252"	""	"252"	""
"62"	""	"44"	"5"	"21"	"29"	"40"	"74"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"175"	""	"175"	""
"63"	""	"45"	"111"	"4"	"154"	"164"	"43"	"3"	"2"	"12"	"0"	"0"	"0"	"4"	"1"	"9"	"507"	""	"507"	""
"64"	""	"46"	"69"	"1"	"41"	"66"	"8"	"2"	"1"	"2"	"1"	"1"	"3"	"2"	"2"	"2"	"201"	""	"201"	""
"65"	""	"47"	"125"	"3"	"252"	"4"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"393"	""	"393"	""
"66"	""	"48"	"114"	"13"	"244"	"85"	"14"	"4"	"1"	"4"	"3"	"2"	"5"	"0"	"7"	"10"	"506"	""	"506"	""
"67"	""	"49"	"206"	"5"	"213"	"12"	"7"	"1"	"0"	"8"	"1"	"13"	"1"	"12"	"2"	"15"	"496"	""	"496"	""
"68"	""	"50"	"19"	"1"	"54"	"293"	"37"	"7"	"2"	"1"	"1"	"3"	"3"	"4"	"7"	"17"	"449"	""	"449"	""
"69"	""	"51"	"112"	"7"	"100"	"5"	"4"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"9"	"243"	""	"243"	""
"70"	""	"52"	"158"	"7"	"144"	"10"	"4"	"0"	"1"	"1"	"1"	"7"	"1"	"1"	"2"	"6"	"343"	""	"343"	""
"71"	""	"53"	"108"	"3"	"159"	"18"	"6"	"3"	"0"	"1"	"2"	"2"	"2"	"4"	"1"	"1"	"310"	""	"310"	""
"72"	""	"54"	"129"	"5"	"35"	"225"	"17"	"6"	"4"	"7"	"2"	"6"	"12"	"9"	"10"	"97"	"564"	""	"564"	""
"73"	""	"55"	"23"	"5"	"382"	"17"	"5"	"1"	"1"	"1"	"1"	"1"	"1"	"5"	"2"	"20"	"465"	""	"465"	""
"74"	""	"56"	"14"	"4"	"104"	"13"	"4"	"2"	"0"	"0"	"1"	"0"	"9"	"5"	"3"	"298"	"457"	""	"457"	""
"75"	""	"Total -4"	"1231"	"113"	"1971"	"990"	"261"	"34"	"13"	"43"	"14"	"39"	"41"	"53"	"41"	"517"	"5361"	"0"	"5361"	"0"
"76"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"80"	"Round No 5"	"57"	"275"	"6"	"89"	"5"	"5"	"3"	"1"	"1"	"0"	"2"	"0"	"1"	"3"	"18"	"409"	""	"409"	""
"81"	""	"58"	"235"	"5"	"74"	"3"	"4"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"14"	"342"	""	"342"	""
"82"	""	"59"	"169"	"9"	"83"	"8"	"2"	"1"	"0"	"1"	"3"	"2"	"1"	"1"	"1"	"54"	"335"	""	"335"	""
"83"	""	"60"	"130"	"1"	"144"	"5"	"4"	"0"	"1"	"1"	"0"	"1"	"2"	"2"	"0"	"112"	"403"	""	"403"	""
"84"	""	"61"	"92"	"4"	"154"	"12"	"10"	"1"	"3"	"0"	"0"	"0"	"4"	"1"	"6"	"208"	"495"	""	"495"	""
"85"	""	"62"	"61"	"3"	"286"	"33"	"22"	"2"	"3"	"1"	"1"	"0"	"2"	"1"	"0"	"10"	"425"	""	"425"	""
"86"	""	"63"	"53"	"1"	"43"	"4"	"3"	"2"	"2"	"3"	"7"	"2"	"4"	"10"	"10"	"217"	"361"	""	"361"	""
"87"	""	"64"	"9"	"0"	"344"	"12"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"373"	""	"373"	""
"88"	""	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"89"	""	"66"	"70"	"7"	"82"	"21"	"3"	"6"	"6"	"6"	"17"	"6"	"7"	"18"	"21"	"453"	"723"	""	"723"	""
"90"	""	"67"	"172"	"5"	"63"	"2"	"7"	"2"	"1"	"0"	"0"	"0"	"3"	"6"	"5"	"58"	"324"	""	"324"	""
"91"	""	"68"	"122"	"5"	"122"	"15"	"5"	"1"	"3"	"1"	"1"	"1"	"7"	"11"	"8"	"146"	"448"	""	"448"	""
"92"	""	"69"	"231"	"5"	"168"	"22"	"13"	"2"	"3"	"0"	"1"	"1"	"3"	"2"	"2"	"13"	"466"	""	"466"	""
"93"	""	"70"	"114"	"4"	"218"	"13"	"10"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"1"	"4"	"370"	""	"370"	""
"94"	""	"Total -5"	"1733"	"55"	"1870"	"155"	"93"	"21"	"26"	"14"	"31"	"16"	"36"	"57"	"59"	"1308"	"5474"	"0"	"5474"	"0"
"95"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"99"	"Round No 6"	"71"	"441"	"4"	"1"	"8"	"67"	"2"	"1"	"4"	"0"	"0"	"3"	"1"	"1"	"11"	"544"	""	"544"	""
"100"	""	"72"	"33"	"4"	"210"	"16"	"10"	"1"	"0"	"2"	"0"	"0"	"2"	"2"	"1"	"2"	"283"	""	"283"	""
"101"	""	"73"	"353"	"6"	"7"	"39"	"1"	"1"	"0"	"1"	"6"	"0"	"0"	"1"	"0"	"6"	"421"	""	"421"	""
"102"	""	"74"	"225"	"2"	"79"	"40"	"3"	"2"	"0"	"60"	"1"	"0"	"2"	"2"	"3"	"112"	"531"	""	"531"	""
"103"	""	"75"	"15"	"22"	"158"	"44"	"122"	"4"	"4"	"29"	"0"	"0"	"5"	"3"	"5"	"3"	"414"	""	"414"	""
"104"	""	"76"	"69"	"8"	"15"	"142"	"26"	"1"	"2"	"3"	"3"	"0"	"6"	"1"	"3"	"33"	"312"	""	"312"	""
"105"	""	"77"	"235"	"18"	"16"	"30"	"122"	"4"	"2"	"10"	"1"	"0"	"2"	"2"	"1"	"11"	"454"	""	"454"	""
"106"	""	"78"	"276"	"6"	"5"	"12"	"8"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"5"	"317"	""	"317"	""
"107"	""	"79"	"252"	"12"	"9"	"34"	"6"	"1"	"4"	"2"	"2"	"2"	"3"	"2"	"3"	"20"	"352"	""	"352"	""
"108"	""	"80"	"292"	"7"	"4"	"24"	"50"	"2"	"0"	"2"	"0"	"2"	"0"	"1"	"3"	"13"	"400"	""	"400"	""
"109"	""	"81"	"106"	"4"	"12"	"7"	"51"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"7"	"193"	""	"193"	""
"110"	""	"82"	"194"	"13"	"34"	"109"	"14"	"3"	"1"	"2"	"1"	"0"	"1"	"5"	"1"	"38"	"416"	""	"416"	""
"111"	""	"83"	"18"	"20"	"75"	"111"	"48"	"7"	"2"	"4"	"0"	"3"	"5"	"11"	"11"	"78"	"393"	""	"393"	""
"112"	""	"84"	"170"	"2"	"69"	"12"	"18"	"0"	"3"	"2"	"1"	"0"	"0"	"3"	"1"	"1"	"282"	""	"282"	""
"113"	""	"Total -6"	"2679"	"128"	"694"	"628"	"546"	"30"	"23"	"121"	"16"	"8"	"29"	"35"	"35"	"340"	"5312"	"0"	"5312"	"0"
"114"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"118"	"Round No 7"	"85"	"169"	"12"	"109"	"156"	"23"	"5"	"4"	"9"	"4"	"2"	"5"	"40"	"6"	"8"	"552"	""	"552"	""
"119"	""	"86"	"62"	"8"	"86"	"250"	"44"	"7"	"3"	"4"	"5"	"4"	"12"	"21"	"15"	"57"	"578"	""	"578"	""
"120"	""	"87"	"360"	"7"	"17"	"81"	"22"	"1"	"2"	"13"	"2"	"0"	"0"	"1"	"13"	"29"	"548"	""	"548"	""
"121"	""	"88"	"202"	"11"	"41"	"69"	"126"	"4"	"1"	"3"	"2"	"7"	"5"	"7"	"8"	"20"	"506"	""	"506"	""
"122"	""	"89"	"6"	"3"	"22"	"91"	"9"	"0"	"2"	"1"	"1"	"1"	"0"	"2"	"2"	"9"	"149"	""	"149"	""
"123"	""	"90"	"13"	"7"	"33"	"123"	"14"	"2"	"2"	"2"	"1"	"4"	"0"	"0"	"6"	"21"	"228"	""	"228"	""
"124"	""	"91"	"117"	"8"	"8"	"72"	"27"	"2"	"4"	"0"	"8"	"1"	"1"	"0"	"2"	"8"	"258"	""	"258"	""
"125"	""	"92"	"108"	"5"	"27"	"141"	"48"	"1"	"3"	"9"	"4"	"4"	"12"	"4"	"8"	"51"	"425"	""	"425"	""
"126"	""	"93"	"274"	"8"	"36"	"21"	"120"	"3"	"1"	"0"	"2"	"0"	"2"	"0"	"0"	"24"	"491"	""	"491"	""
"127"	""	"94"	"76"	"0"	"26"	"90"	"40"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"237"	""	"237"	""
"128"	""	"95"	"40"	"6"	"84"	"69"	"41"	"3"	"0"	"2"	"0"	"2"	"2"	"1"	"0"	"8"	"258"	""	"258"	""
"129"	""	"96"	"57"	"8"	"33"	"183"	"18"	"8"	"4"	"5"	"6"	"5"	"6"	"10"	"9"	"20"	"372"	""	"372"	""
"130"	""	"97"	"576"	"6"	"56"	"15"	"24"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"9"	"692"	""	"692"	""
"131"	""	"98"	"116"	"3"	"46"	"164"	"14"	"1"	"2"	"2"	"1"	"2"	"9"	"4"	"4"	"77"	"445"	""	"445"	""
"132"	""	"Total -7"	"2176"	"92"	"624"	"1525"	"570"	"39"	"29"	"51"	"36"	"33"	"56"	"90"	"73"	"345"	"5739"	"0"	"5739"	"0"
"133"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"137"	"Round No 8"	"99"	"36"	"2"	"66"	"243"	"15"	"3"	"1"	"1"	"1"	"3"	"5"	"8"	"2"	"18"	"404"	""	"404"	""
"138"	""	"100"	"76"	"6"	"15"	"282"	"14"	"4"	"3"	"8"	"2"	"1"	"3"	"3"	"6"	"14"	"437"	""	"437"	""
"139"	""	"101"	"36"	"3"	"57"	"135"	"10"	"1"	"0"	"2"	"2"	"3"	"2"	"1"	"6"	"69"	"327"	""	"327"	""
"140"	""	"102"	"44"	"4"	"196"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"2"	"11"	"290"	""	"290"	""
"141"	""	"103"	"134"	"4"	"357"	"14"	"6"	"2"	"0"	"1"	"1"	"2"	"0"	"2"	"2"	"3"	"528"	""	"528"	""
"142"	""	"104"	"379"	"11"	"34"	"29"	"3"	"5"	"2"	"2"	"3"	"3"	"4"	"3"	"4"	"40"	"522"	""	"522"	""
"143"	""	"105"	"0"	"1"	"196"	"5"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"210"	""	"210"	""
"144"	""	"106"	"137"	"3"	"274"	"28"	"18"	"2"	"0"	"0"	"2"	"1"	"6"	"8"	"0"	"15"	"494"	""	"494"	""
"145"	""	"107"	"73"	"3"	"109"	"91"	"9"	"2"	"1"	"4"	"1"	"1"	"1"	"2"	"9"	"16"	"322"	""	"322"	""
"146"	""	"108"	"103"	"7"	"147"	"114"	"10"	"3"	"4"	"7"	"1"	"0"	"3"	"7"	"3"	"9"	"418"	""	"418"	""
"147"	""	"109"	"401"	"9"	"16"	"35"	"6"	"1"	"2"	"19"	"1"	"1"	"3"	"1"	"5"	"36"	"536"	""	"536"	""
"148"	""	"110"	"581"	"21"	"8"	"56"	"2"	"3"	"0"	"10"	"7"	"1"	"5"	"4"	"7"	"56"	"761"	""	"761"	""
"149"	""	"111"	"26"	"2"	"19"	"11"	"6"	"2"	"0"	"1"	"2"	"0"	"4"	"2"	"7"	"322"	"404"	""	"404"	""
"150"	""	"112"	"22"	"0"	"33"	"7"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"5"	"17"	"558"	"646"	""	"646"	""
"151"	""	"Total -8"	"2048"	"76"	"1527"	"1072"	"106"	"29"	"13"	"56"	"24"	"16"	"40"	"54"	"71"	"1167"	"6299"	"0"	"6299"	"0"
"152"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
