"TOTAL.NO.OF.ELECTORS.IN.91.BOCHHAN.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X199351"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"23"	"22"	""	""	"100"	""	"5"	"88"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"9"	"1"	"3"	"0"	"0"	"1"	"0"	"213"	""	""	""
"24"	"23"	""	""	"61"	""	"26"	"116"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"5"	"1"	"17"	"0"	"0"	"0"	"1"	"237"	""	""	""
"25"	"TOTAL NO OF ELECTORS IN 91-BOCHHAN ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"199351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"27"	"24"	""	""	"174"	""	"115"	"57"	"7"	"1"	"5"	"10"	"3"	"7"	"2"	"1"	"2"	"2"	"3"	"5"	"5"	"4"	"4"	"1"	"13"	"0"	"0"	"0"	"7"	"428"	""	""	""
"28"	"25"	""	""	"123"	""	"64"	"73"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"1"	"2"	"8"	"0"	"49"	"0"	"0"	"0"	"0"	"331"	""	""	""
"29"	"26"	""	""	"145"	""	"25"	"89"	"2"	"1"	"0"	"0"	"2"	"3"	"7"	"0"	"2"	"0"	"1"	"2"	"0"	"1"	"61"	"0"	"31"	"0"	"0"	"0"	"0"	"372"	""	""	""
"30"	"27"	""	""	"145"	""	"27"	"19"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"0"	"2"	"1"	"5"	"1"	"19"	"0"	"22"	"0"	"0"	"0"	"0"	"247"	""	""	""
"31"	"28"	""	""	"326"	""	"134"	"51"	"3"	"3"	"0"	"2"	"3"	"1"	"1"	"0"	"4"	"4"	"10"	"12"	"29"	"44"	"15"	"8"	"18"	"3"	"5"	"12"	"14"	"702"	""	""	""
"32"	"29"	""	""	"186"	""	"39"	"85"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"37"	"1"	"21"	"0"	"0"	"0"	"2"	"381"	""	""	""
"33"	"30"	""	""	"208"	""	"27"	"131"	"11"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"7"	"10"	"0"	"21"	"1"	"2"	"1"	"1"	"429"	""	""	""
"34"	"31"	""	""	"258"	""	"65"	"45"	"3"	"3"	"3"	"3"	"5"	"1"	"4"	"2"	"1"	"0"	"2"	"5"	"4"	"1"	"9"	"1"	"15"	"2"	"0"	"0"	"0"	"432"	""	""	""
"35"	"32"	""	""	"177"	""	"91"	"53"	"2"	"4"	"3"	"2"	"3"	"1"	"3"	"1"	"0"	"2"	"2"	"5"	"0"	"5"	"7"	"2"	"10"	"0"	"0"	"0"	"1"	"374"	""	""	""
"36"	"33"	""	""	"133"	""	"23"	"28"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"13"	"2"	"6"	"0"	"0"	"1"	"0"	"215"	""	""	""
"37"	"34"	""	""	"164"	""	"94"	"95"	"3"	"11"	"4"	"4"	"4"	"7"	"5"	"2"	"2"	"3"	"9"	"12"	"10"	"3"	"12"	"3"	"22"	"2"	"2"	"6"	"9"	"488"	""	""	""
"38"	"35"	""	""	"124"	""	"399"	"100"	"4"	"2"	"2"	"5"	"2"	"1"	"3"	"0"	"2"	"1"	"3"	"2"	"3"	"0"	"4"	"0"	"9"	"0"	"0"	"0"	"4"	"670"	""	""	""
"39"	"36"	""	""	"160"	""	"116"	"94"	"4"	"8"	"1"	"3"	"3"	"6"	"3"	"1"	"3"	"1"	"5"	"3"	"13"	"7"	"2"	"0"	"15"	"0"	"6"	"3"	"6"	"463"	""	""	""
"40"	"37"	""	""	"164"	""	"41"	"144"	"1"	"3"	"1"	"2"	"0"	"6"	"3"	"0"	"1"	"2"	"3"	"1"	"2"	"8"	"7"	"1"	"12"	"1"	"1"	"5"	"1"	"410"	""	""	""
"41"	"38"	""	""	"36"	""	"23"	"228"	"4"	"1"	"3"	"2"	"2"	"3"	"2"	"1"	"4"	"1"	"3"	"0"	"2"	"4"	"7"	"1"	"2"	"1"	"1"	"1"	"30"	"362"	""	""	""
"42"	"39"	""	""	"119"	""	"180"	"55"	"8"	"10"	"4"	"6"	"4"	"5"	"4"	"2"	"6"	"5"	"14"	"14"	"14"	"30"	"20"	"10"	"27"	"8"	"4"	"11"	"17"	"577"	""	""	""
"43"	"40"	""	""	"241"	""	"109"	"79"	"18"	"4"	"3"	"1"	"3"	"7"	"4"	"3"	"1"	"1"	"21"	"5"	"24"	"5"	"1"	"0"	"14"	"0"	"1"	"5"	"1"	"551"	""	""	""
"44"	"41"	""	""	"231"	""	"22"	"221"	"9"	"29"	"4"	"1"	"8"	"11"	"1"	"4"	"12"	"9"	"24"	"11"	"21"	"7"	"3"	"4"	"13"	"0"	"3"	"10"	"7"	"665"	""	""	""
"45"	"42"	""	""	"278"	""	"233"	"22"	"4"	"2"	"4"	"3"	"2"	"3"	"5"	"0"	"2"	"1"	"2"	"0"	"2"	"4"	"6"	"6"	"3"	"2"	"2"	"0"	"1"	"587"	""	""	""
"46"	"43"	""	""	"179"	""	"49"	"177"	"11"	"36"	"10"	"5"	"5"	"16"	"4"	"2"	"1"	"2"	"7"	"10"	"8"	"10"	"2"	"1"	"66"	"3"	"1"	"1"	"2"	"608"	""	""	""
"47"	"44"	""	""	"238"	""	"234"	"88"	"9"	"46"	"7"	"1"	"7"	"9"	"11"	"4"	"10"	"10"	"21"	"23"	"31"	"16"	"5"	"1"	"53"	"3"	"5"	"1"	"7"	"840"	""	""	""
"48"	"45"	""	""	"207"	""	"138"	"10"	"6"	"10"	"3"	"5"	"5"	"11"	"11"	"3"	"3"	"5"	"11"	"13"	"39"	"7"	"10"	"3"	"73"	"2"	"7"	"7"	"9"	"598"	""	""	""
"49"	"46"	""	""	"247"	""	"42"	"6"	"1"	"18"	"2"	"4"	"3"	"2"	"3"	"1"	"0"	"1"	"3"	"4"	"15"	"13"	"2"	"7"	"5"	"3"	"0"	"2"	"5"	"389"	""	""	""
"50"	"TOTAL NO OF ELECTORS IN 91-BOCHHAN ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"199351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"52"	"47"	""	""	"238"	""	"120"	"47"	"2"	"4"	"9"	"5"	"8"	"6"	"6"	"5"	"13"	"4"	"10"	"12"	"24"	"28"	"9"	"6"	"63"	"3"	"2"	"6"	"19"	"649"	""	""	""
"53"	"48"	""	""	"226"	""	"138"	"54"	"6"	"7"	"4"	"4"	"3"	"9"	"1"	"5"	"2"	"1"	"2"	"8"	"12"	"9"	"3"	"1"	"43"	"0"	"0"	"1"	"3"	"542"	""	""	""
"54"	"49"	""	""	"152"	""	"140"	"11"	"0"	"3"	"2"	"1"	"4"	"4"	"5"	"2"	"2"	"4"	"4"	"6"	"25"	"28"	"9"	"8"	"21"	"3"	"3"	"6"	"12"	"455"	""	""	""
"55"	"50"	""	""	"263"	""	"176"	"42"	"34"	"12"	"14"	"6"	"7"	"10"	"7"	"4"	"4"	"3"	"6"	"4"	"7"	"11"	"9"	"3"	"49"	"1"	"1"	"1"	"3"	"677"	""	""	""
"56"	"51"	""	""	"250"	""	"173"	"103"	"6"	"20"	"8"	"14"	"5"	"6"	"7"	"2"	"2"	"1"	"4"	"7"	"17"	"7"	"10"	"2"	"63"	"1"	"3"	"1"	"3"	"715"	""	""	""
"57"	"52"	""	""	"235"	""	"186"	"91"	"3"	"29"	"10"	"3"	"3"	"5"	"10"	"5"	"4"	"3"	"3"	"12"	"1"	"7"	"4"	"1"	"13"	"1"	"1"	"1"	"3"	"634"	""	""	""
"58"	"53"	""	""	"140"	""	"289"	"47"	"6"	"23"	"14"	"11"	"6"	"5"	"7"	"7"	"6"	"5"	"16"	"14"	"18"	"4"	"6"	"0"	"20"	"1"	"1"	"2"	"5"	"653"	""	""	""
"59"	"54"	""	""	"254"	""	"136"	"155"	"20"	"13"	"4"	"7"	"7"	"17"	"5"	"3"	"3"	"5"	"7"	"14"	"19"	"12"	"5"	"3"	"24"	"2"	"1"	"4"	"1"	"721"	""	""	""
"60"	"55"	""	""	"95"	""	"59"	"50"	"6"	"2"	"3"	"2"	"2"	"0"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"3"	"6"	"3"	"2"	"1"	"2"	"1"	"2"	"246"	""	""	""
"61"	"56"	""	""	"305"	""	"197"	"20"	"8"	"5"	"9"	"5"	"5"	"4"	"5"	"0"	"1"	"1"	"16"	"11"	"27"	"9"	"4"	"2"	"11"	"1"	"1"	"3"	"10"	"660"	""	""	""
"62"	"57"	""	""	"268"	""	"22"	"161"	"8"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"6"	"21"	"2"	"1"	"1"	"1"	"1"	"0"	"500"	""	""	""
"63"	"58"	""	""	"193"	""	"74"	"157"	"5"	"3"	"0"	"2"	"6"	"2"	"6"	"0"	"3"	"6"	"13"	"8"	"24"	"17"	"4"	"4"	"6"	"3"	"2"	"2"	"3"	"543"	""	""	""
"64"	"59"	""	""	"63"	""	"153"	"95"	"19"	"32"	"0"	"7"	"4"	"8"	"8"	"4"	"5"	"6"	"12"	"18"	"11"	"1"	"3"	"0"	"24"	"1"	"2"	"0"	"5"	"481"	""	""	""
"65"	"60"	""	""	"101"	""	"117"	"64"	"3"	"4"	"3"	"3"	"4"	"6"	"2"	"2"	"1"	"5"	"4"	"5"	"20"	"24"	"11"	"4"	"7"	"3"	"2"	"8"	"13"	"416"	""	""	""
"66"	"61"	""	""	"316"	""	"157"	"11"	"6"	"3"	"4"	"3"	"7"	"4"	"1"	"3"	"0"	"0"	"8"	"5"	"5"	"10"	"6"	"5"	"20"	"1"	"3"	"3"	"1"	"582"	""	""	""
"67"	"62"	""	""	"176"	""	"223"	"29"	"6"	"3"	"9"	"3"	"8"	"4"	"6"	"4"	"2"	"2"	"11"	"23"	"17"	"24"	"26"	"8"	"137"	"4"	"7"	"20"	"20"	"772"	""	""	""
"68"	"63"	""	""	"240"	""	"131"	"62"	"3"	"2"	"2"	"6"	"7"	"1"	"12"	"1"	"9"	"8"	"24"	"21"	"27"	"10"	"12"	"4"	"24"	"2"	"8"	"2"	"13"	"631"	""	""	""
"69"	"64"	""	""	"318"	""	"432"	"16"	"4"	"2"	"2"	"7"	"4"	"3"	"5"	"1"	"1"	"2"	"3"	"5"	"9"	"9"	"10"	"3"	"10"	"1"	"1"	"0"	"1"	"849"	""	""	""
"70"	"65"	""	""	"81"	""	"269"	"21"	"7"	"15"	"3"	"4"	"4"	"10"	"19"	"4"	"5"	"5"	"12"	"24"	"23"	"7"	"18"	"5"	"25"	"7"	"2"	"10"	"16"	"596"	""	""	""
"71"	"66"	""	""	"80"	""	"171"	"25"	"5"	"10"	"1"	"2"	"1"	"2"	"0"	"2"	"4"	"1"	"2"	"5"	"13"	"1"	"0"	"0"	"7"	"0"	"1"	"0"	"1"	"334"	""	""	""
"72"	"67"	""	""	"156"	""	"74"	"362"	"17"	"5"	"7"	"3"	"2"	"4"	"6"	"0"	"0"	"4"	"13"	"7"	"9"	"2"	"5"	"1"	"26"	"1"	"0"	"3"	"3"	"710"	""	""	""
"73"	"68"	""	""	"120"	""	"48"	"281"	"12"	"2"	"1"	"1"	"2"	"1"	"2"	"4"	"4"	"4"	"6"	"7"	"4"	"4"	"4"	"5"	"40"	"3"	"5"	"0"	"5"	"565"	""	""	""
"74"	"69"	""	""	"234"	""	"137"	"39"	"17"	"6"	"3"	"2"	"4"	"6"	"10"	"4"	"2"	"6"	"10"	"20"	"44"	"6"	"0"	"1"	"15"	"0"	"1"	"3"	"9"	"579"	""	""	""
"75"	"TOTAL NO OF ELECTORS IN 91-BOCHHAN ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"199351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"77"	"70"	""	""	"8"	""	"78"	"29"	"8"	"5"	"4"	"2"	"1"	"3"	"1"	"0"	"1"	"1"	"0"	"5"	"1"	"2"	"4"	"1"	"6"	"1"	"1"	"1"	"2"	"165"	""	""	""
"78"	"71"	""	""	"133"	""	"345"	"102"	"5"	"3"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"3"	"16"	"11"	"11"	"4"	"2"	"2"	"10"	"2"	"0"	"4"	"3"	"668"	""	""	""
"79"	"72"	""	""	"114"	""	"37"	"36"	"7"	"127"	"4"	"4"	"6"	"12"	"6"	"5"	"3"	"1"	"18"	"6"	"18"	"14"	"3"	"0"	"33"	"6"	"4"	"1"	"6"	"471"	""	""	""
"80"	"73"	""	""	"276"	""	"85"	"81"	"4"	"0"	"2"	"3"	"4"	"2"	"2"	"3"	"1"	"1"	"5"	"4"	"10"	"6"	"2"	"1"	"55"	"1"	"2"	"1"	"1"	"552"	""	""	""
"81"	"74"	""	""	"176"	""	"107"	"204"	"6"	"2"	"5"	"2"	"5"	"4"	"7"	"4"	"6"	"3"	"19"	"11"	"24"	"25"	"19"	"6"	"50"	"6"	"8"	"10"	"19"	"728"	""	""	""
"82"	"75"	""	""	"84"	""	"35"	"279"	"7"	"49"	"1"	"2"	"1"	"3"	"1"	"4"	"0"	"0"	"8"	"3"	"19"	"7"	"0"	"3"	"2"	"0"	"0"	"2"	"4"	"514"	""	""	""
"83"	"76"	""	""	"90"	""	"53"	"35"	"2"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"10"	"3"	"2"	"2"	"24"	"0"	"0"	"0"	"5"	"234"	""	""	""
"84"	"77"	""	""	"204"	""	"48"	"84"	"6"	"4"	"2"	"1"	"5"	"1"	"0"	"2"	"6"	"5"	"8"	"7"	"11"	"0"	"8"	"1"	"86"	"1"	"1"	"1"	"2"	"494"	""	""	""
"85"	"78"	""	""	"235"	""	"76"	"154"	"5"	"3"	"4"	"2"	"4"	"5"	"3"	"1"	"5"	"3"	"6"	"6"	"16"	"2"	"5"	"2"	"74"	"1"	"2"	"3"	"2"	"619"	""	""	""
"86"	"79"	""	""	"132"	""	"117"	"159"	"3"	"1"	"1"	"1"	"3"	"2"	"3"	"2"	"2"	"3"	"2"	"8"	"5"	"1"	"6"	"2"	"21"	"1"	"0"	"0"	"2"	"477"	""	""	""
"87"	"80"	""	""	"85"	""	"52"	"159"	"20"	"0"	"2"	"3"	"2"	"0"	"0"	"1"	"1"	"1"	"3"	"2"	"3"	"3"	"7"	"3"	"209"	"1"	"0"	"2"	"1"	"560"	""	""	""
"88"	"81"	""	""	"8"	""	"140"	"48"	"6"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"9"	"8"	"5"	"7"	"0"	"18"	"3"	"0"	"2"	"3"	"263"	""	""	""
"89"	"82"	""	""	"210"	""	"84"	"80"	"2"	"0"	"1"	"1"	"2"	"5"	"8"	"0"	"4"	"2"	"4"	"7"	"9"	"5"	"30"	"1"	"64"	"1"	"0"	"1"	"4"	"525"	""	""	""
"90"	"83"	""	""	"112"	""	"38"	"46"	"3"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"1"	"4"	"4"	"3"	"13"	"3"	"52"	"0"	"1"	"3"	"0"	"289"	""	""	""
"91"	"84"	""	""	"136"	""	"154"	"35"	"4"	"1"	"1"	"0"	"1"	"0"	"2"	"2"	"0"	"2"	"2"	"2"	"11"	"5"	"18"	"3"	"22"	"2"	"1"	"4"	"7"	"415"	""	""	""
"92"	"85"	""	""	"213"	""	"190"	"30"	"28"	"7"	"2"	"3"	"1"	"2"	"1"	"1"	"2"	"4"	"6"	"8"	"15"	"7"	"1"	"2"	"17"	"0"	"1"	"2"	"5"	"548"	""	""	""
"93"	"86"	""	""	"225"	""	"128"	"181"	"6"	"0"	"4"	"4"	"0"	"6"	"1"	"0"	"6"	"2"	"8"	"11"	"9"	"2"	"0"	"3"	"25"	"0"	"2"	"2"	"1"	"626"	""	""	""
"94"	"87"	""	""	"205"	""	"75"	"55"	"1"	"0"	"2"	"3"	"2"	"2"	"1"	"0"	"1"	"0"	"8"	"10"	"15"	"3"	"9"	"0"	"5"	"0"	"2"	"0"	"2"	"401"	""	""	""
"95"	"88"	""	""	"326"	""	"45"	"45"	"10"	"3"	"0"	"1"	"5"	"4"	"1"	"1"	"1"	"1"	"7"	"6"	"9"	"2"	"3"	"3"	"27"	"0"	"0"	"0"	"0"	"500"	""	""	""
"96"	"89"	""	""	"176"	""	"31"	"17"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"5"	"0"	"5"	"0"	"0"	"0"	"0"	"244"	""	""	""
"97"	"90"	""	""	"254"	""	"75"	"232"	"24"	"6"	"4"	"2"	"4"	"8"	"1"	"0"	"1"	"4"	"3"	"5"	"13"	"7"	"3"	"3"	"26"	"2"	"0"	"1"	"6"	"684"	""	""	""
"98"	"91"	""	""	"53"	""	"6"	"60"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"135"	""	""	""
"99"	"92"	""	""	"70"	""	"61"	"129"	"13"	"1"	"1"	"0"	"2"	"4"	"1"	"1"	"2"	"2"	"11"	"3"	"4"	"2"	"2"	"0"	"28"	"1"	"0"	"4"	"5"	"347"	""	""	""
"100"	"TOTAL NO OF ELECTORS IN 91-BOCHHAN ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"199351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
