"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"34"	"26"	72	58	5	183	7	1	3	3	1	2	5	1	2	3	1	7	4	0	1	3	1	0	1	0	0	364	NA	364	NA
"35"	"27"	24	22	27	276	6	3	0	7	2	0	0	0	5	0	1	6	2	0	1	3	0	0	0	0	0	385	NA	385	NA
"36"	"28"	38	174	4	186	4	7	1	2	2	0	0	2	3	6	3	13	15	1	5	3	2	2	2	2	2	479	NA	479	NA
"37"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"Total"	827	1139	324	1807	51	31	13	306	28	11	11	8	18	13	8	71	38	15	14	13	8	3	5	5	6	4773	NA	4773	NA
"39"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"42"	"Round 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"29"	89	55	27	178	4	4	2	8	0	0	1	3	1	4	2	16	3	2	2	3	1	0	2	2	3	412	NA	412	NA
"44"	"30"	42	86	10	32	4	1	1	112	3	2	0	2	0	3	1	1	3	3	2	0	0	0	0	1	1	310	NA	310	NA
"45"	"31"	21	29	1	172	3	0	0	57	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	NA	286	NA
"46"	"32"	22	22	0	147	8	0	0	2	0	0	0	0	2	1	0	3	0	0	0	1	0	0	1	0	0	209	NA	209	NA
"47"	"33"	35	26	65	541	3	2	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	681	NA	681	NA
"48"	"34"	92	132	11	104	2	2	4	49	1	1	2	0	4	1	2	11	7	1	2	0	2	0	2	2	1	435	NA	435	NA
"49"	"35"	63	131	23	72	4	0	3	7	0	1	0	0	0	1	2	4	3	7	4	1	0	1	1	0	0	328	NA	328	NA
"50"	"36"	744	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	753	NA	753	NA
"51"	"37"	5	152	8	54	2	3	0	2	1	2	0	0	0	0	1	6	1	0	0	1	0	0	0	0	0	238	NA	238	NA
"52"	"38"	14	203	4	22	1	0	1	10	2	1	1	1	0	0	0	6	0	3	3	1	1	0	0	1	0	275	NA	275	NA
"53"	"39"	26	390	25	56	1	0	0	5	0	3	0	2	0	0	0	3	5	3	3	3	2	0	1	0	0	528	NA	528	NA
"54"	"40"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA
"55"	"41"	22	103	13	182	11	7	4	24	3	0	2	1	2	0	1	6	10	4	5	1	1	0	0	0	1	403	NA	403	NA
"56"	"42"	7	9	2	166	7	1	0	0	2	0	0	0	3	0	0	8	0	0	0	0	1	0	0	0	0	206	NA	206	NA
"57"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"Total"	1182	1345	190	1727	50	20	15	277	15	10	6	9	13	10	9	65	33	24	21	11	8	2	8	7	7	5064	NA	5064	NA
"59"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"62"	"Round 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	"43"	37	126	122	234	9	4	3	2	4	1	2	2	4	2	0	6	6	2	0	3	4	1	0	1	4	579	NA	579	NA
"64"	"44"	9	237	77	60	3	4	0	14	4	1	0	1	0	2	1	9	0	0	0	1	0	0	0	0	0	423	NA	423	NA
"65"	"45"	42	93	2	106	0	1	0	10	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	260	NA	260	NA
"66"	"46"	75	142	16	16	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	NA	255	NA
"67"	"47"	15	95	0	12	3	5	0	19	0	0	3	2	1	0	3	6	0	1	0	1	0	0	0	0	0	166	NA	166	NA
"68"	"48"	16	39	3	74	5	2	0	9	0	0	0	1	2	3	1	2	0	0	0	0	0	1	1	0	1	160	NA	160	NA
"69"	"49"	9	94	1	396	2	1	2	2	0	0	0	0	0	1	0	2	0	0	0	2	2	0	0	0	0	514	NA	514	NA
"70"	"50"	14	181	131	16	1	2	3	49	4	1	0	2	1	7	11	10	3	5	1	0	0	0	0	0	2	444	NA	444	NA
"71"	"51"	73	216	28	85	4	0	1	10	2	0	0	0	2	1	0	2	2	0	0	1	1	0	0	0	0	428	NA	428	NA
"72"	"52"	37	101	2	148	5	0	0	2	1	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	301	NA	301	NA
"73"	"53"	19	344	4	2	0	0	0	2	2	1	0	0	0	1	0	3	1	3	1	0	0	0	0	0	0	383	NA	383	NA
"74"	"54"	8	198	4	84	5	4	0	71	3	1	2	1	0	2	0	3	0	0	0	0	0	0	0	0	3	389	NA	389	NA
"75"	"55"	12	256	7	90	3	2	1	9	1	3	0	1	1	2	2	5	3	5	4	2	1	0	0	0	0	410	NA	410	NA
"76"	"56"	6	20	4	341	10	2	0	2	1	0	1	0	0	0	0	8	0	1	1	10	0	0	0	1	1	409	NA	409	NA
"77"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	"Total"	372	2142	401	1664	51	27	14	201	23	9	8	10	12	21	18	58	16	17	10	21	10	2	1	2	11	5121	NA	5121	NA
"79"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"82"	"Round 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"83"	"57"	14	161	1	80	4	3	3	13	2	0	0	1	1	1	3	34	1	6	3	0	0	0	0	0	0	331	NA	331	NA
"84"	"58"	7	102	4	339	10	4	1	3	0	2	1	1	0	0	3	7	6	2	5	3	2	0	1	0	3	506	NA	506	NA
"85"	"59"	16	170	28	38	3	2	1	18	1	1	0	0	0	2	2	8	4	2	2	5	1	0	1	0	1	306	NA	306	NA
"86"	"60"	175	132	6	28	1	5	3	34	6	1	1	2	0	3	2	11	1	4	1	1	0	2	0	1	2	422	NA	422	NA
"87"	"61"	18	301	0	4	0	0	0	2	0	0	0	0	2	2	0	8	0	1	1	0	0	0	0	0	0	339	NA	339	NA
"88"	"62"	139	146	15	64	1	1	1	1	2	2	0	3	3	3	2	4	6	6	4	2	0	1	0	1	2	409	NA	409	NA
"89"	"63"	37	10	3	140	2	1	0	1	1	0	1	0	1	0	1	5	1	0	0	0	0	0	0	0	0	204	NA	204	NA
"90"	"64"	16	57	0	1	0	0	0	0	0	0	0	0	0	2	2	29	0	0	0	0	0	0	0	1	0	108	NA	108	NA
"91"	"65"	259	46	2	52	1	3	0	0	0	2	1	1	0	1	1	5	3	1	0	3	0	0	0	0	1	382	NA	382	NA
"92"	"66"	26	76	3	169	11	2	2	3	2	1	2	0	3	0	1	3	10	1	1	2	0	1	0	0	1	320	NA	320	NA
"93"	"67"	56	101	16	80	6	2	0	0	0	0	1	2	0	0	1	6	8	2	1	2	1	0	2	1	5	293	NA	293	NA
"94"	"68"	92	27	3	40	1	0	0	0	0	0	0	0	1	1	0	2	2	4	2	0	1	0	0	0	1	177	NA	177	NA
"95"	"69"	115	180	10	10	3	1	0	1	1	0	0	0	0	1	3	30	11	7	2	1	1	0	1	0	3	381	NA	381	NA
"96"	"70"	70	104	1	19	2	0	2	4	1	0	0	0	2	1	0	4	0	0	1	0	0	0	1	0	2	214	NA	214	NA
"97"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	"Total"	1040	1613	92	1064	45	24	13	80	16	9	7	10	13	17	21	156	53	36	23	19	6	4	6	4	21	4392	NA	4392	NA
"99"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"102"	"Round 6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	"71"	7	193	67	192	5	9	2	5	0	0	1	0	2	5	3	36	9	14	9	5	1	5	1	1	9	581	NA	581	NA
"104"	"72"	5	30	32	178	1	2	0	1	0	0	0	1	1	0	0	1	0	9	0	0	0	0	0	0	0	261	NA	261	NA
"105"	"73"	4	27	1	312	4	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	2	0	0	0	0	355	NA	355	NA
"106"	"74"	25	110	62	86	6	2	1	11	1	0	2	0	0	2	2	8	6	2	3	1	0	1	2	1	3	337	NA	337	NA
"107"	"75"	7	87	2	26	1	1	0	0	0	0	0	0	3	0	1	1	0	0	1	0	0	1	0	0	0	131	NA	131	NA
"108"	"76"	36	197	8	117	7	6	0	4	0	1	2	2	2	4	8	16	5	11	6	5	2	0	0	2	3	444	NA	444	NA
"109"	"77"	8	137	1	173	2	4	1	8	0	0	0	1	0	1	1	2	3	7	2	3	0	0	0	0	0	354	NA	354	NA
"110"	"78"	17	132	4	3	2	2	1	0	0	1	1	0	0	2	2	1	0	5	2	2	0	1	0	0	2	180	NA	180	NA
"111"	"79"	43	85	21	25	1	0	1	11	0	0	0	1	0	1	0	9	4	3	3	1	2	0	4	0	4	219	NA	219	NA
"112"	"80"	19	14	1	206	7	1	0	0	0	0	2	3	1	0	0	1	4	1	0	13	1	0	0	1	0	275	NA	275	NA
"113"	"81"	56	307	83	39	3	6	1	2	3	0	0	0	2	1	1	5	3	0	4	1	1	1	1	2	0	522	NA	522	NA
"114"	"82"	5	22	0	109	4	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	145	NA	145	NA
"115"	"83"	164	207	18	85	3	2	1	3	0	0	0	1	2	0	3	4	7	2	1	1	0	0	1	1	0	506	NA	506	NA
"116"	"84"	104	94	14	111	8	4	0	6	0	1	0	0	5	0	3	9	2	1	0	1	0	0	0	0	0	363	NA	363	NA
"117"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"Total"	500	1642	314	1662	54	40	8	54	4	3	8	9	18	16	24	97	43	56	32	33	9	9	9	8	21	4673	NA	4673	NA
"119"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"122"	"Round 7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"123"	"85"	70	182	5	85	9	6	4	140	30	2	1	1	2	0	0	30	1	5	1	1	1	0	0	7	2	585	NA	585	NA
"124"	"86"	26	190	17	115	3	4	0	1	0	4	0	0	0	1	3	2	4	1	1	1	2	1	1	0	0	377	NA	377	NA
"125"	"87"	22	499	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	528	NA	528	NA
"126"	"88"	1	18	10	467	5	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	0	0	1	0	1	509	NA	509	NA
"127"	"89"	10	41	12	189	8	1	1	2	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	268	NA	268	NA
"128"	"90"	0	3	1	540	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	551	NA	551	NA
"129"	"91"	13	150	5	83	6	3	2	1	0	1	0	0	1	4	2	3	7	6	4	3	1	0	2	0	5	302	NA	302	NA
"130"	"92"	0	1	0	370	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	374	NA	374	NA
"131"	"93"	4	181	9	213	7	1	1	6	0	0	1	0	2	1	4	7	5	2	0	0	0	0	0	0	0	444	NA	444	NA
"132"	"94"	5	112	4	66	1	10	3	4	5	1	1	3	1	6	2	8	1	2	5	1	0	1	2	1	2	247	NA	247	NA
"133"	"95"	11	401	0	13	2	0	0	0	0	1	0	0	1	0	0	7	0	2	0	0	0	0	0	0	0	438	NA	438	NA
"134"	"96"	15	147	5	111	8	1	1	1	3	1	0	0	1	1	2	8	16	7	1	7	2	0	1	2	6	347	NA	347	NA
"135"	"97"	40	282	6	23	2	1	1	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	360	NA	360	NA
"136"	"98"	33	100	18	220	17	3	3	14	2	1	1	1	7	2	1	4	11	4	1	1	0	0	2	0	1	447	NA	447	NA
"137"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"Total"	250	2307	93	2496	70	30	16	171	41	12	5	6	16	15	15	75	52	31	15	16	7	2	9	10	17	5777	NA	5777	NA
"139"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"142"	"Round 8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	"99"	14	76	26	56	0	3	0	4	3	1	1	1	2	6	5	12	10	6	13	5	2	2	0	1	3	252	NA	252	NA
"144"	"100"	14	79	27	207	6	2	1	2	1	1	1	0	1	0	0	10	11	4	2	0	1	2	2	1	3	378	NA	378	NA
"145"	"101"	5	63	1	313	1	2	0	0	0	0	0	0	4	0	0	2	2	0	3	0	4	1	0	0	0	401	NA	401	NA
"146"	"102"	25	87	5	107	1	3	1	1	0	0	1	0	0	0	0	7	5	7	2	1	1	0	0	2	0	256	NA	256	NA
"147"	"103"	38	110	55	229	19	5	1	0	2	1	0	1	2	0	1	9	12	3	4	3	2	2	0	1	1	501	NA	501	NA
"148"	"104"	26	40	4	426	17	4	3	2	0	0	1	3	2	3	0	6	2	2	1	3	1	0	1	0	3	550	NA	550	NA
"149"	"105"	84	77	26	81	6	3	0	3	1	1	1	0	4	3	2	11	7	2	2	2	1	1	3	2	3	326	NA	326	NA
"150"	"106"	35	284	19	187	10	1	2	5	0	0	1	7	9	5	6	16	2	2	3	3	2	1	1	0	1	602	NA	602	NA
"151"	"107"	0	4	0	660	2	0	0	0	2	1	0	1	0	0	0	2	1	0	0	1	1	0	0	0	0	675	NA	675	NA
"152"	"108"	7	66	4	207	2	1	1	10	1	0	0	0	2	1	0	3	6	1	2	6	2	0	1	1	1	325	NA	325	NA
"153"	"109"	23	194	12	284	16	6	4	27	6	1	3	7	19	9	6	47	17	13	5	10	7	3	8	6	13	746	NA	746	NA
"154"	"110"	102	10	1	4	1	1	0	20	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	149	NA	149	NA
"155"	"111"	10	90	2	100	3	0	0	3	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	213	NA	213	NA
"156"	"112"	3	345	6	109	0	0	0	0	0	0	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	478	NA	478	NA
"157"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	"Total"	386	1525	188	2970	84	31	13	77	16	6	9	22	46	27	20	147	76	44	37	34	24	12	16	14	28	5852	NA	5852	NA
"159"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"162"	"Round 9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"163"	"113"	11	76	6	16	1	0	0	0	1	0	0	1	0	1	0	6	4	2	2	0	0	1	1	1	0	130	NA	130	NA
"164"	"114"	71	123	24	121	1	2	0	1	0	1	0	0	4	0	0	15	5	2	2	2	0	0	1	0	2	377	NA	377	NA
"165"	"115"	5	79	24	110	4	3	0	10	3	0	2	1	1	0	1	7	0	0	0	0	0	0	0	0	2	252	NA	252	NA
"166"	"116"	12	66	6	96	3	3	1	30	0	0	1	1	0	4	1	2	3	1	1	3	0	1	0	0	4	239	NA	239	NA
"167"	"117"	13	70	7	314	6	5	4	8	1	2	1	2	1	3	1	34	3	3	0	0	3	0	1	0	0	482	NA	482	NA
"168"	"118"	27	108	7	188	6	8	1	2	1	2	1	2	2	4	3	25	2	1	2	3	3	2	0	1	4	405	NA	405	NA
"169"	"119"	2	55	1	202	3	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	270	NA	270	NA
"170"	"120"	20	314	2	7	1	2	0	0	0	1	0	2	1	0	0	2	0	1	0	0	0	0	0	0	0	353	NA	353	NA
"171"	"121"	13	18	81	203	14	3	0	1	0	1	0	0	2	0	1	3	5	5	13	13	6	1	0	0	2	385	NA	385	NA
"172"	"122"	16	853	14	56	4	3	0	0	0	0	0	0	1	2	1	13	2	3	0	0	1	0	0	0	1	970	NA	970	NA
"173"	"123"	26	227	11	300	16	8	6	4	1	1	1	2	9	1	2	5	1	3	1	6	1	1	2	1	1	637	NA	637	NA
"174"	"124"	52	212	17	226	7	3	0	23	1	1	1	0	2	0	4	5	3	1	1	2	0	0	0	0	0	561	NA	561	NA
