"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X226352.37.Rajnagar..SC."	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"49"	""	"36"	"32"	"10"	"181"	"143"	"13"	"7"	"6"	"10"	"5"	"7"	"14"	"428"	""	"428"	""
"50"	""	"37"	"19"	"7"	"322"	"99"	"7"	"6"	"8"	"9"	"15"	"18"	"40"	"550"	""	"550"	""
"51"	""	"38"	"85"	"12"	"206"	"119"	"13"	"9"	"1"	"2"	"5"	"8"	"5"	"465"	""	"465"	""
"52"	""	"39"	"55"	"5"	"125"	"164"	"6"	"3"	"4"	"0"	"2"	"4"	"9"	"377"	""	"377"	""
"53"	""	"40"	"94"	"7"	"30"	"152"	"2"	"2"	"2"	"0"	"1"	"1"	"2"	"293"	""	"293"	""
"54"	""	"41"	"58"	"3"	"138"	"162"	"7"	"7"	"5"	"6"	"4"	"12"	"9"	"411"	""	"411"	""
"55"	""	"42"	"115"	"10"	"111"	"304"	"9"	"9"	"8"	"3"	"4"	"5"	"8"	"586"	""	"586"	""
"56"	""	"Total -3"	"1076"	"115"	"1959"	"2246"	"101"	"113"	"70"	"49"	"61"	"93"	"147"	"6030"	"0"	"6030"	"0"
"57"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"61"	"Round No4"	"43"	"96"	"7"	"101"	"427"	"31"	"13"	"6"	"5"	"3"	"9"	"2"	"700"	""	"700"	""
"62"	""	"44"	"37"	"2"	"32"	"103"	"4"	"1"	"0"	"0"	"0"	"1"	"2"	"182"	""	"182"	""
"63"	""	"45"	"108"	"4"	"115"	"264"	"3"	"4"	"3"	"4"	"3"	"4"	"5"	"517"	""	"517"	""
"64"	""	"46"	"116"	"8"	"115"	"207"	"11"	"9"	"6"	"1"	"3"	"2"	"11"	"489"	""	"489"	""
"65"	""	"47"	"107"	"5"	"88"	"27"	"1"	"8"	"2"	"4"	"3"	"8"	"35"	"288"	""	"288"	""
"66"	""	"48"	"78"	"0"	"12"	"26"	"1"	"4"	"0"	"0"	"0"	"2"	"2"	"125"	""	"125"	""
"67"	""	"49"	"142"	"6"	"168"	"122"	"6"	"12"	"8"	"8"	"5"	"9"	"31"	"517"	""	"517"	""
"68"	""	"50"	"56"	"4"	"203"	"176"	"6"	"12"	"3"	"4"	"1"	"4"	"6"	"475"	""	"475"	""
"69"	""	"51"	"133"	"6"	"134"	"90"	"9"	"6"	"7"	"3"	"4"	"2"	"7"	"401"	""	"401"	""
"70"	""	"52"	"128"	"18"	"186"	"134"	"15"	"19"	"4"	"2"	"6"	"4"	"10"	"526"	""	"526"	""
"71"	""	"53"	"180"	"8"	"66"	"60"	"2"	"3"	"3"	"4"	"1"	"1"	"9"	"337"	""	"337"	""
"72"	""	"54"	"213"	"11"	"22"	"69"	"1"	"3"	"3"	"0"	"1"	"1"	"2"	"326"	""	"326"	""
"73"	""	"55"	"194"	"11"	"221"	"72"	"3"	"3"	"1"	"3"	"7"	"2"	"17"	"534"	""	"534"	""
"74"	""	"56"	"64"	"6"	"241"	"102"	"7"	"6"	"6"	"1"	"3"	"8"	"21"	"465"	""	"465"	""
"75"	""	"Total -4"	"1652"	"96"	"1704"	"1879"	"100"	"103"	"52"	"39"	"40"	"57"	"160"	"5882"	"0"	"5882"	"0"
"76"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"80"	"Round No 5"	"57"	"86"	"5"	"79"	"106"	"9"	"13"	"4"	"2"	"2"	"3"	"24"	"333"	""	"333"	""
"81"	""	"58"	"99"	"4"	"114"	"142"	"4"	"9"	"10"	"5"	"5"	"18"	"29"	"439"	""	"439"	""
"82"	""	"59"	"72"	"6"	"48"	"236"	"4"	"41"	"11"	"1"	"2"	"5"	"11"	"437"	""	"437"	""
"83"	""	"60"	"131"	"1"	"23"	"227"	"4"	"18"	"5"	"3"	"1"	"4"	"5"	"422"	""	"422"	""
"84"	""	"61"	"135"	"3"	"97"	"71"	"0"	"2"	"0"	"1"	"2"	"1"	"0"	"312"	""	"312"	""
"85"	""	"61-A"	"17"	"3"	"116"	"106"	"2"	"10"	"1"	"2"	"0"	"2"	"1"	"260"	""	"260"	""
"86"	""	"62"	"96"	"6"	"52"	"122"	"3"	"12"	"2"	"7"	"3"	"3"	"11"	"317"	""	"317"	""
"87"	""	"63"	"75"	"4"	"20"	"141"	"4"	"4"	"4"	"4"	"7"	"5"	"9"	"277"	""	"277"	""
"88"	""	"64"	"125"	"4"	"175"	"50"	"3"	"3"	"2"	"0"	"6"	"2"	"6"	"376"	""	"376"	""
"89"	""	"65"	"20"	"5"	"341"	"144"	"8"	"7"	"7"	"5"	"7"	"7"	"23"	"574"	""	"574"	""
"90"	""	"66"	"52"	"5"	"172"	"329"	"11"	"19"	"5"	"8"	"4"	"1"	"7"	"613"	""	"613"	""
"91"	""	"67"	"42"	"9"	"346"	"42"	"11"	"7"	"4"	"4"	"5"	"4"	"6"	"480"	""	"480"	""
"92"	""	"68"	"138"	"14"	"195"	"206"	"7"	"3"	"5"	"6"	"4"	"9"	"23"	"610"	""	"610"	""
"93"	""	"69"	"28"	"8"	"268"	"36"	"6"	"3"	"1"	"2"	"3"	"4"	"2"	"361"	""	"361"	""
"94"	""	"Total -5"	"1116"	"77"	"2046"	"1958"	"76"	"151"	"61"	"50"	"51"	"68"	"157"	"5811"	"0"	"5811"	"0"
"95"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"99"	"Round No 6"	"70"	"27"	"3"	"193"	"106"	"10"	"4"	"4"	"1"	"0"	"2"	"2"	"352"	""	"352"	""
"100"	""	"71"	"46"	"2"	"208"	"71"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"334"	""	"334"	""
"101"	""	"72"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"102"	""	"73"	"120"	"20"	"330"	"56"	"8"	"10"	"1"	"4"	"1"	"7"	"6"	"563"	""	"563"	""
"103"	""	"74"	"66"	"13"	"288"	"100"	"1"	"3"	"4"	"3"	"2"	"9"	"9"	"498"	""	"498"	""
"104"	""	"75"	"8"	"3"	"287"	"7"	"1"	"1"	"1"	"1"	"1"	"2"	"5"	"317"	""	"317"	""
"105"	""	"76"	"9"	"1"	"486"	"10"	"0"	"0"	"0"	"1"	"0"	"0"	"5"	"512"	""	"512"	""
"106"	""	"77"	"125"	"3"	"233"	"21"	"3"	"1"	"1"	"2"	"2"	"4"	"13"	"408"	""	"408"	""
"107"	""	"78"	"117"	"11"	"263"	"123"	"76"	"6"	"7"	"5"	"5"	"14"	"9"	"636"	""	"636"	""
"108"	""	"79"	"97"	"11"	"228"	"115"	"18"	"10"	"5"	"6"	"3"	"10"	"15"	"518"	""	"518"	""
"109"	""	"80"	"105"	"6"	"152"	"143"	"9"	"29"	"7"	"5"	"10"	"16"	"28"	"510"	""	"510"	""
"110"	""	"81"	"89"	"3"	"40"	"71"	"2"	"3"	"3"	"1"	"0"	"2"	"3"	"217"	""	"217"	""
"111"	""	"82"	"73"	"3"	"29"	"154"	"13"	"3"	"2"	"2"	"2"	"1"	"10"	"292"	""	"292"	""
"112"	""	"83"	"57"	"2"	"79"	"113"	"4"	"0"	"7"	"4"	"4"	"5"	"10"	"285"	""	"285"	""
"113"	""	"Total -6"	"939"	"81"	"2816"	"1090"	"147"	"71"	"43"	"35"	"31"	"73"	"116"	"5442"	"0"	"5442"	"0"
"114"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"118"	"Round No 7"	"84"	"47"	"11"	"277"	"190"	"8"	"8"	"10"	"10"	"10"	"8"	"10"	"589"	""	"589"	""
"119"	""	"85"	"47"	"10"	"251"	"64"	"12"	"63"	"6"	"3"	"0"	"5"	"9"	"470"	""	"470"	""
"120"	""	"86"	"106"	"20"	"247"	"107"	"10"	"7"	"5"	"6"	"4"	"5"	"19"	"536"	""	"536"	""
"121"	""	"87"	"27"	"13"	"286"	"129"	"4"	"0"	"4"	"3"	"4"	"4"	"6"	"480"	""	"480"	""
"122"	""	"88"	"37"	"51"	"291"	"71"	"5"	"4"	"5"	"0"	"5"	"2"	"8"	"479"	""	"479"	""
"123"	""	"89"	"66"	"2"	"172"	"85"	"4"	"2"	"2"	"3"	"2"	"3"	"14"	"355"	""	"355"	""
"124"	""	"90"	"54"	"6"	"245"	"110"	"8"	"8"	"7"	"5"	"6"	"4"	"8"	"461"	""	"461"	""
"125"	""	"91"	"84"	"5"	"76"	"108"	"21"	"3"	"3"	"2"	"0"	"4"	"0"	"306"	""	"306"	""
"126"	""	"92"	"139"	"6"	"58"	"13"	"0"	"2"	"1"	"0"	"1"	"2"	"7"	"229"	""	"229"	""
"127"	""	"93"	"21"	"4"	"181"	"82"	"13"	"6"	"2"	"2"	"6"	"13"	"27"	"357"	""	"357"	""
"128"	""	"94"	"551"	"1"	"45"	"34"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"633"	""	"633"	""
"129"	""	"95"	"39"	"3"	"248"	"39"	"3"	"1"	"2"	"5"	"1"	"3"	"5"	"349"	""	"349"	""
"130"	""	"96"	"236"	"4"	"16"	"95"	"7"	"1"	"2"	"3"	"2"	"3"	"9"	"378"	""	"378"	""
"131"	""	"97"	"79"	"1"	"54"	"230"	"6"	"5"	"10"	"4"	"3"	"3"	"22"	"417"	""	"417"	""
"132"	""	"Total -7"	"1533"	"137"	"2447"	"1357"	"101"	"111"	"60"	"46"	"44"	"59"	"144"	"6039"	"0"	"6039"	"0"
"133"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"137"	"Round No 8"	"98"	"27"	"6"	"219"	"137"	"18"	"6"	"7"	"9"	"7"	"8"	"22"	"466"	""	"466"	""
"138"	""	"99"	"16"	"4"	"361"	"36"	"3"	"3"	"2"	"4"	"5"	"7"	"5"	"446"	""	"446"	""
"139"	""	"100"	"40"	"5"	"200"	"403"	"21"	"10"	"8"	"3"	"5"	"7"	"15"	"717"	""	"717"	""
"140"	""	"101"	"28"	"5"	"121"	"214"	"6"	"2"	"5"	"4"	"1"	"7"	"5"	"398"	""	"398"	""
"141"	""	"102"	"30"	"4"	"79"	"329"	"10"	"3"	"4"	"1"	"3"	"5"	"0"	"468"	""	"468"	""
"142"	""	"103"	"96"	"4"	"97"	"73"	"34"	"4"	"5"	"2"	"1"	"13"	"14"	"343"	""	"343"	""
"143"	""	"104"	"29"	"4"	"157"	"111"	"4"	"3"	"0"	"1"	"0"	"1"	"1"	"311"	""	"311"	""
"144"	""	"105"	"167"	"10"	"173"	"15"	"5"	"3"	"1"	"2"	"3"	"5"	"11"	"395"	""	"395"	""
"145"	""	"106"	"63"	"4"	"133"	"96"	"60"	"10"	"0"	"2"	"1"	"3"	"8"	"380"	""	"380"	""
"146"	""	"107"	"50"	"0"	"25"	"29"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"107"	""	"107"	""
"147"	""	"108"	"106"	"3"	"57"	"33"	"4"	"0"	"3"	"1"	"0"	"1"	"2"	"210"	""	"210"	""
"148"	""	"109"	"95"	"8"	"56"	"153"	"61"	"11"	"4"	"3"	"0"	"6"	"14"	"411"	""	"411"	""
"149"	""	"110"	"128"	"9"	"204"	"42"	"52"	"0"	"0"	"1"	"1"	"3"	"1"	"441"	""	"441"	""
"150"	""	"111"	"112"	"14"	"139"	"201"	"12"	"5"	"8"	"5"	"11"	"8"	"31"	"546"	""	"546"	""
"151"	""	"Total -8"	"987"	"80"	"2021"	"1872"	"290"	"60"	"47"	"39"	"39"	"74"	"130"	"5639"	"0"	"5639"	"0"
"152"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"156"	"Round No 9"	"112"	"84"	"5"	"135"	"79"	"18"	"2"	"3"	"2"	"6"	"9"	"30"	"373"	""	"373"	""
"157"	""	"113"	"150"	"4"	"131"	"109"	"1"	"5"	"3"	"3"	"7"	"10"	"10"	"433"	""	"433"	""
"158"	""	"114"	"88"	"14"	"176"	"95"	"4"	"3"	"1"	"4"	"0"	"6"	"5"	"396"	""	"396"	""
"159"	""	"115"	"104"	"2"	"50"	"91"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"250"	""	"250"	""
"160"	""	"116"	"54"	"3"	"115"	"38"	"5"	"1"	"1"	"2"	"3"	"7"	"4"	"233"	""	"233"	""
"161"	""	"117"	"19"	"7"	"140"	"195"	"23"	"5"	"5"	"3"	"1"	"11"	"19"	"428"	""	"428"	""
"162"	""	"118"	"87"	"5"	"24"	"257"	"2"	"6"	"8"	"9"	"5"	"3"	"19"	"425"	""	"425"	""
"163"	""	"119"	"11"	"4"	"226"	"147"	"14"	"3"	"4"	"2"	"2"	"4"	"4"	"421"	""	"421"	""
"164"	""	"120"	"70"	"10"	"94"	"115"	"1"	"2"	"2"	"2"	"2"	"2"	"10"	"310"	""	"310"	""
"165"	""	"121"	"86"	"10"	"95"	"81"	"6"	"8"	"8"	"6"	"5"	"9"	"10"	"324"	""	"324"	""
"166"	""	"122"	"91"	"1"	"28"	"95"	"0"	"2"	"3"	"1"	"0"	"1"	"4"	"226"	""	"226"	""
"167"	""	"123"	"146"	"4"	"109"	"112"	"4"	"1"	"6"	"3"	"5"	"6"	"10"	"406"	""	"406"	""
"168"	""	"124"	"38"	"3"	"19"	"306"	"3"	"0"	"3"	"1"	"3"	"0"	"4"	"380"	""	"380"	""
"169"	""	"125"	"20"	"9"	"170"	"158"	"5"	"4"	"6"	"0"	"3"	"2"	"5"	"382"	""	"382"	""
"170"	""	"Total -9"	"1048"	"81"	"1512"	"1878"	"86"	"43"	"53"	"38"	"42"	"71"	"135"	"4987"	"0"	"4987"	"0"
"171"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"175"	"Round No 10"	"126"	"19"	"3"	"107"	"341"	"10"	"12"	"16"	"10"	"11"	"9"	"32"	"570"	""	"570"	""
"176"	""	"127"	"6"	"4"	"142"	"163"	"4"	"7"	"3"	"3"	"10"	"17"	"45"	"404"	""	"404"	""
"177"	""	"128"	"70"	"14"	"132"	"91"	"4"	"4"	"3"	"5"	"3"	"6"	"12"	"344"	""	"344"	""
"178"	""	"129"	"96"	"2"	"38"	"101"	"3"	"2"	"5"	"3"	"1"	"2"	"6"	"259"	""	"259"	""
"179"	""	"130"	"37"	"4"	"110"	"168"	"5"	"1"	"2"	"2"	"0"	"2"	"4"	"335"	""	"335"	""
