"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188-PHULWARI(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"54"	"25"	"195"	"218"	"6"	"3"	"1"	"3"	"0"	"3"	"0"	"7"	"2"	"4"	"4"	"2"	"6"	"8"	"462"	"0"	"462"	"0"
"55"	"26"	"345"	"111"	"37"	"4"	"2"	"4"	"1"	"1"	"1"	"2"	"1"	"7"	"3"	"0"	"0"	"4"	"523"	"0"	"523"	"0"
"56"	"27"	"48"	"226"	"89"	"4"	"0"	"3"	"0"	"0"	"0"	"2"	"1"	"5"	"0"	"0"	"0"	"0"	"378"	"0"	"378"	"0"
"57"	"28"	"28"	"226"	"78"	"1"	"2"	"1"	"0"	"2"	"2"	"3"	"2"	"5"	"0"	"3"	"0"	"3"	"356"	"0"	"356"	"0"
"58"	"Total :-"	"2203"	"3060"	"313"	"68"	"16"	"23"	"11"	"11"	"11"	"41"	"12"	"128"	"38"	"18"	"39"	"77"	"6069"	"0"	"6069"	"0"
"59"	"Till Last Total :-"	"3627"	"1752"	"127"	"156"	"16"	"15"	"4"	"11"	"11"	"46"	"9"	"106"	"37"	"23"	"44"	"54"	"6038"	"0"	"6038"	"0"
"60"	"Grand Total
:-"	"5830"	"4812"	"440"	"224"	"32"	"38"	"15"	"22"	"22"	"87"	"21"	"234"	"75"	"41"	"83"	"131"	"12107"	"0"	"12107"	"0"
"61"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Total No. of electors in Assembly Constituency/Segment:-253456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"ROUND  3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188-PHULWARI(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"76"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"77"	"29"	"165"	"311"	"47"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"7"	"3"	"0"	"2"	"1"	"6"	"549"	"0"	"549"	"0"
"78"	"30"	"224"	"18"	"6"	"0"	"2"	"0"	"0"	"0"	"3"	"3"	"0"	"1"	"2"	"1"	"0"	"5"	"265"	"0"	"265"	"0"
"79"	"31"	"197"	"99"	"6"	"1"	"3"	"4"	"2"	"1"	"1"	"8"	"2"	"9"	"0"	"2"	"1"	"12"	"348"	"0"	"348"	"0"
"80"	"32"	"255"	"87"	"9"	"5"	"2"	"2"	"1"	"1"	"0"	"5"	"0"	"38"	"6"	"2"	"5"	"3"	"421"	"0"	"421"	"0"
"81"	"33"	"128"	"290"	"22"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"10"	"1"	"1"	"3"	"1"	"463"	"0"	"463"	"0"
"82"	"34"	"269"	"37"	"2"	"2"	"0"	"2"	"0"	"1"	"1"	"2"	"2"	"3"	"3"	"2"	"0"	"0"	"326"	"0"	"326"	"0"
"83"	"35"	"297"	"66"	"21"	"34"	"2"	"3"	"0"	"3"	"1"	"7"	"0"	"6"	"5"	"2"	"1"	"11"	"459"	"0"	"459"	"0"
"84"	"36"	"260"	"61"	"5"	"5"	"2"	"1"	"2"	"0"	"0"	"3"	"2"	"14"	"7"	"1"	"2"	"8"	"373"	"0"	"373"	"0"
"85"	"37"	"167"	"258"	"4"	"3"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"6"	"2"	"2"	"17"	"13"	"475"	"0"	"475"	"0"
"86"	"38"	"154"	"297"	"13"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"4"	"2"	"1"	"3"	"10"	"490"	"0"	"490"	"0"
"87"	"39"	"247"	"168"	"9"	"14"	"2"	"0"	"1"	"0"	"2"	"10"	"2"	"8"	"4"	"1"	"4"	"4"	"476"	"0"	"476"	"0"
"88"	"40"	"105"	"187"	"11"	"3"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"15"	"0"	"1"	"1"	"1"	"330"	"0"	"330"	"0"
"89"	"41"	"168"	"100"	"10"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"0"	"5"	"1"	"0"	"1"	"2"	"293"	"0"	"293"	"0"
"90"	"42"	"136"	"280"	"12"	"3"	"0"	"2"	"3"	"1"	"1"	"5"	"0"	"7"	"4"	"0"	"1"	"4"	"459"	"0"	"459"	"0"
"91"	"Total :-"	"2772"	"2259"	"177"	"78"	"15"	"20"	"12"	"9"	"10"	"52"	"19"	"129"	"37"	"18"	"40"	"80"	"5727"	"0"	"5727"	"0"
"92"	"Till Last Total :-"	"5830"	"4812"	"440"	"224"	"32"	"38"	"15"	"22"	"22"	"87"	"21"	"234"	"75"	"41"	"83"	"131"	"12107"	"0"	"12107"	"0"
"93"	"Grand Total
:-"	"8602"	"7071"	"617"	"302"	"47"	"58"	"27"	"31"	"32"	"139"	"40"	"363"	"112"	"59"	"123"	"211"	"17834"	"0"	"17834"	"0"
"94"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"ROUND  4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of electors in Assembly Constituency/Segment:-253456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188-PHULWARI(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"103"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"104"	"43"	"108"	"121"	"0"	"1"	"2"	"3"	"2"	"1"	"1"	"3"	"1"	"10"	"4"	"6"	"5"	"5"	"273"	"0"	"273"	"0"
"105"	"44"	"119"	"80"	"4"	"1"	"0"	"2"	"0"	"1"	"1"	"3"	"2"	"27"	"5"	"1"	"3"	"11"	"260"	"0"	"260"	"0"
"106"	"45"	"264"	"78"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"2"	"4"	"5"	"2"	"7"	"366"	"0"	"366"	"0"
"107"	"46"	"191"	"175"	"8"	"5"	"4"	"5"	"0"	"0"	"2"	"4"	"0"	"16"	"2"	"5"	"2"	"21"	"440"	"0"	"440"	"0"
"108"	"47"	"187"	"31"	"10"	"12"	"5"	"2"	"1"	"0"	"1"	"7"	"1"	"67"	"4"	"1"	"0"	"6"	"335"	"0"	"335"	"0"
"109"	"48"	"259"	"153"	"6"	"2"	"1"	"1"	"1"	"1"	"1"	"3"	"1"	"6"	"5"	"2"	"6"	"12"	"460"	"0"	"460"	"0"
"110"	"49"	"277"	"23"	"9"	"2"	"2"	"2"	"2"	"0"	"1"	"7"	"0"	"58"	"2"	"1"	"1"	"1"	"388"	"0"	"388"	"0"
"111"	"50"	"65"	"351"	"5"	"7"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"10"	"0"	"0"	"3"	"3"	"447"	"0"	"447"	"0"
"112"	"51"	"162"	"124"	"13"	"3"	"1"	"1"	"0"	"1"	"0"	"3"	"3"	"70"	"2"	"0"	"5"	"9"	"397"	"0"	"397"	"0"
"113"	"52"	"183"	"82"	"8"	"40"	"2"	"4"	"1"	"0"	"1"	"2"	"1"	"3"	"0"	"1"	"1"	"6"	"335"	"0"	"335"	"0"
"114"	"53"	"107"	"107"	"22"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"3"	"3"	"2"	"3"	"4"	"256"	"0"	"256"	"0"
"115"	"54"	"254"	"46"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"310"	"0"	"310"	"0"
"116"	"55"	"189"	"157"	"6"	"2"	"0"	"2"	"0"	"1"	"0"	"2"	"0"	"16"	"3"	"2"	"6"	"5"	"391"	"0"	"391"	"0"
"117"	"56"	"355"	"173"	"3"	"1"	"1"	"2"	"4"	"2"	"4"	"6"	"10"	"135"	"8"	"2"	"6"	"10"	"722"	"0"	"722"	"0"
"118"	"Total :-"	"2720"	"1701"	"98"	"77"	"18"	"24"	"11"	"9"	"14"	"46"	"20"	"424"	"42"	"28"	"45"	"103"	"5380"	"0"	"5380"	"0"
"119"	"Till Last Total :-"	"8602"	"7071"	"617"	"302"	"47"	"58"	"27"	"31"	"32"	"139"	"40"	"363"	"112"	"59"	"123"	"211"	"17834"	"0"	"17834"	"0"
"120"	"Grand Total
:-"	"11322"	"8772"	"715"	"379"	"65"	"82"	"38"	"40"	"46"	"185"	"60"	"787"	"154"	"87"	"168"	"314"	"23214"	"0"	"23214"	"0"
"121"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"ROUND  5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Total No. of electors in Assembly Constituency/Segment:-253456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188-PHULWARI(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"130"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"131"	"57"	"116"	"252"	"6"	"17"	"0"	"2"	"5"	"1"	"1"	"4"	"1"	"3"	"2"	"2"	"6"	"6"	"424"	"0"	"424"	"0"
"132"	"58"	"26"	"206"	"11"	"4"	"2"	"1"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"257"	"0"	"257"	"0"
"133"	"59"	"7"	"177"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"7"	"4"	"0"	"1"	"0"	"203"	"0"	"203"	"0"
"134"	"60"	"172"	"31"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"212"	"0"	"212"	"0"
"135"	"61"	"168"	"83"	"2"	"30"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"293"	"0"	"293"	"0"
"136"	"62"	"219"	"67"	"9"	"10"	"0"	"1"	"1"	"1"	"0"	"2"	"0"	"1"	"2"	"0"	"0"	"3"	"316"	"0"	"316"	"0"
"137"	"63"	"347"	"166"	"8"	"3"	"3"	"2"	"2"	"1"	"5"	"13"	"2"	"33"	"7"	"2"	"2"	"2"	"598"	"0"	"598"	"0"
"138"	"64"	"369"	"130"	"9"	"1"	"0"	"1"	"3"	"3"	"1"	"9"	"1"	"37"	"5"	"3"	"5"	"13"	"590"	"0"	"590"	"0"
"139"	"65"	"408"	"53"	"12"	"0"	"0"	"1"	"1"	"0"	"1"	"23"	"1"	"5"	"3"	"2"	"0"	"7"	"517"	"0"	"517"	"0"
"140"	"66"	"345"	"30"	"7"	"1"	"3"	"2"	"1"	"0"	"4"	"10"	"0"	"20"	"9"	"7"	"1"	"12"	"452"	"0"	"452"	"0"
"141"	"67"	"95"	"93"	"37"	"2"	"0"	"2"	"4"	"2"	"1"	"40"	"1"	"4"	"1"	"2"	"0"	"1"	"285"	"0"	"285"	"0"
"142"	"68"	"34"	"121"	"72"	"3"	"1"	"3"	"1"	"3"	"1"	"43"	"0"	"1"	"1"	"1"	"2"	"2"	"289"	"0"	"289"	"0"
"143"	"69"	"89"	"153"	"55"	"2"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"0"	"3"	"310"	"0"	"310"	"0"
"144"	"70"	"238"	"50"	"19"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"313"	"0"	"313"	"0"
"145"	"Total :-"	"2633"	"1612"	"250"	"76"	"13"	"23"	"21"	"11"	"18"	"148"	"9"	"115"	"37"	"19"	"20"	"54"	"5059"	"0"	"5059"	"0"
"146"	"Till Last Total :-"	"11322"	"8772"	"715"	"379"	"65"	"82"	"38"	"40"	"46"	"185"	"60"	"787"	"154"	"87"	"168"	"314"	"23214"	"0"	"23214"	"0"
"147"	"Grand Total
:-"	"13955"	"10384"	"965"	"455"	"78"	"105"	"59"	"51"	"64"	"333"	"69"	"902"	"191"	"106"	"188"	"368"	"28273"	"0"	"28273"	"0"
"148"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
