"X.CHAPTER.XIV..PARA.25.9."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"16"	"7"	"7"	"75"	"437"	"27"	"134"	"1"	"3"	"4"	"7"	"13"	"7"	"3"	"10"	"17"	"6"	"16"	"80"	"840"	"0"	"840"	"0"
"17"	"8"	"8"	"53"	"258"	"4"	"106"	"3"	"0"	"3"	"4"	"8"	"5"	"4"	"7"	"7"	"3"	"11"	"26"	"502"	"0"	"502"	"0"
"18"	"9"	"9"	"10"	"48"	"2"	"211"	"5"	"4"	"5"	"2"	"3"	"1"	"1"	"1"	"1"	"2"	"7"	"29"	"332"	"0"	"332"	"0"
"19"	"10"	"10"	"16"	"215"	"15"	"246"	"1"	"0"	"2"	"1"	"12"	"3"	"4"	"6"	"7"	"4"	"15"	"44"	"591"	"0"	"591"	"0"
"20"	"11"	"11"	"4"	"93"	"5"	"348"	"1"	"2"	"0"	"0"	"2"	"2"	"0"	"1"	"3"	"1"	"1"	"16"	"479"	"0"	"479"	"0"
"21"	"12"	"12"	"14"	"14"	"14"	"748"	"23"	"4"	"2"	"0"	"3"	"3"	"5"	"4"	"19"	"8"	"9"	"34"	"904"	"0"	"904"	"0"
"22"	"13"	"13"	"16"	"171"	"28"	"32"	"1"	"4"	"2"	"1"	"33"	"2"	"0"	"2"	"1"	"1"	"1"	"18"	"313"	"0"	"313"	"0"
"23"	"14"	"14"	"24"	"353"	"5"	"110"	"2"	"2"	"3"	"2"	"6"	"3"	"1"	"4"	"3"	"0"	"7"	"15"	"540"	"0"	"540"	"0"
"24"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejecte d votes"	"Total"	"Total No. of tendered votes"
"25"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"26"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"27"	"15"	"15"	"17"	"121"	"10"	"201"	"5"	"2"	"5"	"8"	"1"	"3"	"3"	"11"	"263"	"2"	"3"	"4"	"659"	"0"	"659"	"0"
"28"	"16"	"16"	"12"	"302"	"19"	"225"	"3"	"1"	"0"	"3"	"2"	"1"	"1"	"1"	"19"	"3"	"4"	"23"	"619"	"0"	"619"	"0"
"29"	"17"	"17"	"17"	"408"	"9"	"61"	"3"	"1"	"1"	"4"	"9"	"3"	"1"	"4"	"3"	"3"	"13"	"22"	"562"	"0"	"562"	"0"
"30"	"18"	"18"	"31"	"205"	"11"	"149"	"2"	"3"	"6"	"4"	"5"	"3"	"0"	"6"	"62"	"2"	"8"	"21"	"518"	"0"	"518"	"0"
"31"	"19"	"19"	"30"	"197"	"6"	"452"	"10"	"4"	"5"	"15"	"5"	"6"	"1"	"10"	"72"	"8"	"9"	"21"	"851"	"0"	"851"	"0"
"32"	"20"	"20"	"48"	"374"	"20"	"64"	"7"	"11"	"1"	"2"	"1"	"3"	"1"	"1"	"1"	"1"	"5"	"107"	"647"	"0"	"647"	"0"
"33"	"21"	"21"	"10"	"140"	"1"	"8"	"0"	"0"	"1"	"1"	"6"	"1"	"1"	"3"	"1"	"1"	"2"	"46"	"222"	"0"	"222"	"0"
"34"	"22"	"22"	"9"	"294"	"12"	"212"	"3"	"3"	"3"	"5"	"8"	"4"	"8"	"6"	"6"	"6"	"16"	"98"	"693"	"0"	"693"	"0"
"35"	"23"	"23"	"29"	"190"	"16"	"71"	"2"	"0"	"0"	"1"	"0"	"3"	"1"	"2"	"1"	"2"	"6"	"42"	"366"	"0"	"366"	"0"
"36"	"24"	"24"	"12"	"281"	"10"	"49"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"9"	"61"	"427"	"0"	"427"	"0"
"37"	"25"	"25"	"29"	"164"	"14"	"203"	"2"	"1"	"2"	"5"	"0"	"1"	"0"	"0"	"3"	"1"	"0"	"28"	"453"	"0"	"453"	"0"
"38"	"26"	"26"	"48"	"363"	"18"	"256"	"5"	"1"	"1"	"0"	"3"	"1"	"3"	"2"	"6"	"1"	"8"	"46"	"762"	"0"	"762"	"0"
"39"	"27"	"27"	"15"	"281"	"11"	"338"	"5"	"8"	"9"	"3"	"2"	"2"	"2"	"2"	"46"	"3"	"2"	"40"	"769"	"0"	"769"	"0"
"40"	"28"	"28"	"12"	"55"	"14"	"625"	"8"	"8"	"3"	"8"	"8"	"8"	"2"	"4"	"27"	"4"	"5"	"12"	"803"	"0"	"803"	"0"
"41"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejecte d votes"	"Total"	"Total No. of tendered votes"
"42"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"43"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"44"	"29"	"29"	"36"	"238"	"22"	"81"	"2"	"1"	"0"	"1"	"3"	"4"	"1"	"2"	"3"	"2"	"4"	"91"	"491"	"0"	"491"	"0"
"45"	"30"	"30"	"15"	"164"	"39"	"58"	"2"	"2"	"0"	"2"	"2"	"0"	"1"	"2"	"2"	"3"	"5"	"34"	"331"	"0"	"331"	"0"
"46"	"31"	"31"	"23"	"330"	"16"	"203"	"3"	"4"	"1"	"3"	"4"	"3"	"2"	"1"	"2"	"3"	"5"	"40"	"643"	"0"	"643"	"0"
"47"	"32"	"32"	"25"	"373"	"11"	"136"	"2"	"5"	"4"	"1"	"5"	"3"	"1"	"4"	"6"	"3"	"18"	"82"	"679"	"0"	"679"	"0"
"48"	"33"	"33"	"31"	"177"	"43"	"100"	"4"	"1"	"2"	"3"	"3"	"3"	"1"	"4"	"4"	"2"	"2"	"14"	"394"	"0"	"394"	"0"
"49"	"34"	"34"	"25"	"80"	"73"	"205"	"0"	"2"	"2"	"3"	"0"	"3"	"0"	"2"	"2"	"1"	"3"	"22"	"423"	"0"	"423"	"0"
"50"	"35"	"35"	"5"	"29"	"6"	"469"	"8"	"0"	"3"	"2"	"4"	"2"	"1"	"3"	"11"	"1"	"3"	"6"	"553"	"0"	"553"	"0"
"51"	"36"	"36"	"28"	"251"	"37"	"305"	"9"	"0"	"3"	"1"	"2"	"0"	"1"	"2"	"11"	"1"	"5"	"12"	"668"	"0"	"668"	"0"
"52"	"37"	"37"	"28"	"424"	"20"	"168"	"8"	"4"	"3"	"5"	"4"	"2"	"1"	"2"	"2"	"3"	"6"	"17"	"697"	"0"	"697"	"0"
"53"	"38"	"38"	"46"	"38"	"4"	"450"	"8"	"4"	"0"	"1"	"1"	"2"	"2"	"6"	"13"	"1"	"7"	"17"	"600"	"0"	"600"	"0"
"54"	"39"	"39"	"17"	"231"	"8"	"82"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"6"	"84"	"437"	"0"	"437"	"0"
"55"	"40"	"40"	"21"	"335"	"18"	"210"	"3"	"2"	"1"	"4"	"5"	"2"	"0"	"5"	"5"	"4"	"4"	"13"	"632"	"0"	"632"	"0"
"56"	"41"	"41"	"52"	"276"	"8"	"119"	"2"	"1"	"0"	"4"	"0"	"1"	"3"	"0"	"1"	"4"	"5"	"17"	"493"	"0"	"493"	"0"
"57"	"42"	"42"	"172"	"164"	"10"	"77"	"2"	"0"	"3"	"6"	"1"	"1"	"1"	"0"	"2"	"4"	"7"	"16"	"466"	"0"	"466"	"0"
"58"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejecte d votes"	"Total"	"Total No. of tendered votes"
"59"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"60"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"61"	"43"	"43"	"9"	"3"	"3"	"425"	"5"	"1"	"1"	"1"	"2"	"1"	"1"	"3"	"15"	"1"	"2"	"9"	"482"	"0"	"482"	"0"
"62"	"44"	"44"	"30"	"7"	"14"	"764"	"7"	"2"	"2"	"0"	"0"	"5"	"0"	"3"	"45"	"2"	"6"	"18"	"905"	"0"	"905"	"0"
"63"	"45"	"45"	"58"	"20"	"4"	"673"	"5"	"5"	"0"	"2"	"3"	"1"	"1"	"2"	"31"	"3"	"7"	"24"	"839"	"0"	"839"	"0"
"64"	"46"	"46"	"43"	"6"	"4"	"534"	"2"	"2"	"4"	"1"	"3"	"3"	"1"	"5"	"26"	"3"	"11"	"17"	"665"	"0"	"665"	"0"
"65"	"47"	"47"	"29"	"471"	"8"	"133"	"2"	"1"	"3"	"3"	"2"	"1"	"2"	"1"	"1"	"2"	"6"	"49"	"714"	"0"	"714"	"0"
"66"	"48"	"48"	"15"	"270"	"19"	"97"	"2"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"1"	"0"	"1"	"21"	"432"	"0"	"432"	"0"
"67"	"49"	"49"	"5"	"105"	"2"	"239"	"0"	"0"	"2"	"5"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"21"	"386"	"0"	"386"	"0"
"68"	"50"	"50"	"13"	"235"	"9"	"126"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"22"	"412"	"0"	"412"	"0"
"69"	"51"	"51"	"28"	"225"	"9"	"109"	"1"	"2"	"0"	"1"	"1"	"2"	"0"	"2"	"0"	"2"	"2"	"31"	"415"	"0"	"415"	"0"
"70"	"52"	"52"	"106"	"362"	"14"	"119"	"2"	"2"	"6"	"2"	"2"	"2"	"3"	"1"	"4"	"3"	"9"	"52"	"689"	"0"	"689"	"0"
"71"	"53"	"53"	"5"	"150"	"4"	"149"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"9"	"322"	"0"	"322"	"0"
"72"	"54"	"54"	"4"	"133"	"0"	"87"	"1"	"2"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"2"	"6"	"240"	"0"	"240"	"0"
"73"	"55"	"55"	"6"	"242"	"22"	"188"	"6"	"3"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"12"	"484"	"0"	"484"	"0"
"74"	"56"	"56"	"13"	"177"	"2"	"125"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"2"	"1"	"7"	"334"	"0"	"334"	"0"
"75"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejecte d votes"	"Total"	"Total No. of tendered votes"
"76"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"77"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"78"	"57"	"57"	"10"	"67"	"4"	"347"	"4"	"3"	"1"	"0"	"0"	"1"	"0"	"2"	"23"	"2"	"2"	"9"	"475"	"0"	"475"	"0"
"79"	"58"	"58"	"59"	"275"	"5"	"252"	"5"	"3"	"1"	"3"	"1"	"1"	"3"	"3"	"6"	"1"	"3"	"34"	"655"	"0"	"655"	"0"
"80"	"59"	"59"	"57"	"448"	"15"	"165"	"2"	"1"	"0"	"5"	"0"	"0"	"2"	"1"	"2"	"1"	"2"	"33"	"734"	"0"	"734"	"0"
"81"	"60"	"60"	"56"	"321"	"15"	"167"	"2"	"6"	"3"	"3"	"2"	"2"	"0"	"1"	"2"	"3"	"6"	"22"	"611"	"0"	"611"	"0"
"82"	"61"	"61"	"11"	"230"	"4"	"223"	"2"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"48"	"525"	"0"	"525"	"0"
"83"	"62"	"62"	"18"	"137"	"5"	"116"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"2"	"8"	"3"	"6"	"47"	"346"	"0"	"346"	"0"
"84"	"63"	"63"	"16"	"341"	"10"	"177"	"2"	"2"	"0"	"1"	"0"	"3"	"1"	"0"	"2"	"1"	"2"	"20"	"578"	"0"	"578"	"0"
"85"	"64"	"64"	"16"	"293"	"11"	"237"	"4"	"1"	"0"	"3"	"1"	"0"	"1"	"1"	"2"	"2"	"2"	"32"	"606"	"0"	"606"	"0"
"86"	"65"	"65"	"28"	"327"	"11"	"142"	"4"	"0"	"2"	"2"	"1"	"0"	"2"	"7"	"8"	"5"	"6"	"48"	"593"	"0"	"593"	"0"
"87"	"66"	"66"	"6"	"8"	"1"	"422"	"5"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"2"	"2"	"454"	"0"	"454"	"0"
"88"	"67"	"67"	"16"	"296"	"2"	"166"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"7"	"9"	"503"	"0"	"503"	"0"
"89"	"68"	"68"	"27"	"293"	"7"	"150"	"1"	"0"	"1"	"10"	"0"	"0"	"0"	"3"	"1"	"0"	"2"	"13"	"508"	"0"	"508"	"0"
"90"	"69"	"69"	"11"	"216"	"4"	"370"	"2"	"1"	"0"	"2"	"1"	"0"	"0"	"2"	"2"	"0"	"3"	"11"	"625"	"0"	"625"	"0"
"91"	"70"	"70"	"18"	"213"	"0"	"346"	"2"	"2"	"2"	"2"	"0"	"1"	"0"	"4"	"7"	"2"	"5"	"9"	"613"	"0"	"613"	"0"
"92"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejecte d votes"	"Total"	"Total No. of tendered votes"
"93"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"94"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"95"	"71"	"71"	"62"	"186"	"7"	"306"	"3"	"2"	"0"	"9"	"4"	"3"	"2"	"1"	"4"	"1"	"6"	"41"	"637"	"0"	"637"	"0"
"96"	"72"	"72"	"26"	"243"	"7"	"163"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"6"	"2"	"0"	"1"	"2"	"456"	"0"	"456"	"0"
"97"	"73"	"73"	"15"	"107"	"5"	"80"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"21"	"236"	"0"	"236"	"0"
"98"	"74"	"74"	"52"	"257"	"7"	"263"	"4"	"2"	"6"	"2"	"1"	"2"	"0"	"7"	"5"	"1"	"6"	"19"	"634"	"0"	"634"	"0"
"99"	"75"	"75"	"42"	"151"	"10"	"258"	"2"	"3"	"2"	"6"	"3"	"4"	"3"	"0"	"6"	"2"	"15"	"25"	"532"	"0"	"532"	"0"
"100"	"76"	"76"	"13"	"318"	"3"	"140"	"3"	"2"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"8"	"7"	"500"	"0"	"500"	"0"
"101"	"77"	"77"	"55"	"285"	"4"	"177"	"2"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"536"	"0"	"536"	"0"
"102"	"78"	"78"	"19"	"342"	"9"	"207"	"4"	"3"	"0"	"0"	"1"	"2"	"6"	"4"	"1"	"1"	"3"	"15"	"617"	"0"	"617"	"0"
"103"	"79"	"79"	"18"	"196"	"6"	"176"	"4"	"2"	"0"	"2"	"1"	"1"	"0"	"1"	"2"	"0"	"2"	"5"	"416"	"0"	"416"	"0"
"104"	"80"	"80"	"15"	"174"	"2"	"199"	"8"	"6"	"2"	"2"	"1"	"0"	"1"	"2"	"5"	"1"	"4"	"8"	"430"	"0"	"430"	"0"
"105"	"81"	"81"	"9"	"69"	"4"	"226"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"2"	"0"	"2"	"323"	"0"	"323"	"0"
"106"	"82"	"82"	"18"	"209"	"10"	"201"	"3"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"1"	"4"	"454"	"0"	"454"	"0"
"107"	"83"	"83"	"5"	"226"	"1"	"179"	"1"	"3"	"0"	"3"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"5"	"427"	"0"	"427"	"0"
"108"	"84"	"84"	"13"	"213"	"4"	"143"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"25"	"405"	"0"	"405"	"0"
"109"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejecte d votes"	"Total"	"Total No. of tendered votes"
"110"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"111"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"112"	"85"	"85"	"3"	"123"	"4"	"107"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"8"	"250"	"0"	"250"	"0"
"113"	"86"	"86"	"20"	"154"	"3"	"136"	"0"	"1"	"1"	"0"	"2"	"3"	"1"	"2"	"0"	"0"	"0"	"12"	"335"	"0"	"335"	"0"
"114"	"87"	"87"	"19"	"111"	"0"	"109"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"256"	"0"	"256"	"0"
"115"	"88"	"88"	"33"	"85"	"3"	"79"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"6"	"212"	"0"	"212"	"0"
"116"	"89"	"89"	"38"	"258"	"6"	"177"	"1"	"1"	"0"	"3"	"0"	"0"	"1"	"0"	"2"	"1"	"2"	"43"	"533"	"0"	"533"	"0"
"117"	"90"	"90"	"29"	"324"	"11"	"119"	"3"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"4"	"4"	"500"	"0"	"500"	"0"
"118"	"91"	"91"	"20"	"208"	"9"	"143"	"1"	"0"	"1"	"1"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"5"	"394"	"0"	"394"	"0"
"119"	"92"	"92"	"55"	"348"	"5"	"97"	"2"	"1"	"0"	"1"	"1"	"3"	"0"	"1"	"2"	"0"	"3"	"31"	"550"	"0"	"550"	"0"
"120"	"93"	"93"	"5"	"246"	"3"	"51"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"4"	"317"	"0"	"317"	"0"
"121"	"94"	"94"	"38"	"129"	"10"	"270"	"6"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"16"	"475"	"0"	"475"	"0"
"122"	"95"	"95"	"63"	"125"	"8"	"93"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"7"	"298"	"0"	"298"	"0"
"123"	"96"	"96"	"99"	"231"	"14"	"170"	"0"	"3"	"2"	"4"	"2"	"2"	"0"	"1"	"0"	"0"	"2"	"16"	"546"	"0"	"546"	"0"
"124"	"97"	"97"	"30"	"276"	"11"	"206"	"3"	"2"	"1"	"0"	"1"	"3"	"1"	"3"	"2"	"1"	"3"	"18"	"561"	"0"	"561"	"0"
"125"	"98"	"98"	"28"	"380"	"16"	"161"	"3"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"1"	"1"	"10"	"606"	"0"	"606"	"0"
"126"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejecte d votes"	"Total"	"Total No. of tendered votes"
"127"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"128"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"129"	"99"	"99"	"28"	"256"	"11"	"312"	"2"	"3"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"0"	"3"	"18"	"640"	"0"	"640"	"0"
"130"	"100"	"100"	"39"	"161"	"5"	"106"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"2"	"2"	"1"	"2"	"6"	"331"	"0"	"331"	"0"
"131"	"101"	"101"	"29"	"297"	"8"	"203"	"4"	"5"	"7"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"561"	"0"	"561"	"0"
"132"	"102"	"102"	"29"	"228"	"1"	"126"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"391"	"0"	"391"	"0"
"133"	"103"	"103"	"7"	"185"	"0"	"88"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"288"	"0"	"288"	"0"
