"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tend.ered.votes"
"11"	"10"	"21"	"86"	"195"	"19"	"11"	"8"	"4"	"7"	"7"	"6"	"4"	"5"	"4"	"4"	"54"	"6"	"0"	"1"	"442"	"0"	"442"	"0"
"12"	"11"	"15"	"199"	"165"	"7"	"5"	"3"	"1"	"2"	"9"	"2"	"1"	"0"	"1"	"1"	"3"	"4"	"1"	"0"	"419"	"0"	"419"	"0"
"13"	"12"	"10"	"42"	"243"	"24"	"1"	"3"	"1"	"1"	"5"	"2"	"1"	"2"	"0"	"3"	"2"	"5"	"7"	"10"	"362"	"0"	"362"	"0"
"14"	"13"	"18"	"63"	"292"	"173"	"5"	"3"	"2"	"1"	"3"	"3"	"2"	"2"	"4"	"5"	"3"	"7"	"3"	"1"	"590"	"0"	"590"	"0"
"15"	"14"	"7"	"58"	"298"	"113"	"5"	"2"	"2"	"2"	"3"	"0"	"1"	"0"	"1"	"2"	"7"	"9"	"2"	"3"	"515"	"0"	"515"	"0"
"16"	"15"	"10"	"271"	"134"	"43"	"2"	"0"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"4"	"4"	"4"	"0"	"2"	"483"	"0"	"483"	"0"
"17"	"16"	"29"	"89"	"192"	"7"	"4"	"2"	"1"	"2"	"6"	"1"	"1"	"0"	"1"	"1"	"1"	"5"	"2"	"2"	"346"	"0"	"346"	"0"
"18"	"17"	"15"	"109"	"149"	"8"	"5"	"1"	"1"	"3"	"2"	"1"	"0"	"2"	"0"	"1"	"0"	"4"	"2"	"3"	"306"	"0"	"306"	"0"
"19"	"18"	"9"	"117"	"64"	"21"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"216"	"0"	"216"	"0"
"20"	"19"	"7"	"72"	"147"	"56"	"3"	"4"	"9"	"1"	"2"	"2"	"0"	"0"	"1"	"2"	"5"	"4"	"9"	"3"	"327"	"0"	"327"	"0"
"21"	"20"	"2"	"129"	"60"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"4"	"3"	"2"	"4"	"212"	"0"	"212"	"0"
"22"	"21"	"2"	"124"	"93"	"2"	"1"	"2"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"230"	"0"	"230"	"0"
"23"	"22"	"1"	"84"	"35"	"19"	"3"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"3"	"0"	"2"	"155"	"0"	"155"	"0"
"24"	"23"	"13"	"159"	"146"	"18"	"0"	"0"	"1"	"2"	"3"	"6"	"1"	"4"	"3"	"4"	"2"	"12"	"3"	"3"	"380"	"0"	"380"	"0"
"25"	"24"	"10"	"116"	"121"	"4"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"6"	"2"	"2"	"269"	"0"	"269"	"0"
"26"	"25"	"24"	"137"	"310"	"9"	"4"	"6"	"1"	"2"	"5"	"0"	"0"	"1"	"2"	"3"	"0"	"1"	"8"	"3"	"516"	"0"	"516"	"0"
"27"	"26"	"16"	"22"	"240"	"27"	"5"	"1"	"1"	"2"	"3"	"3"	"1"	"2"	"1"	"5"	"2"	"7"	"3"	"4"	"345"	"0"	"345"	"0"
"28"	"27"	"8"	"58"	"131"	"108"	"1"	"0"	"2"	"0"	"4"	"1"	"4"	"0"	"3"	"0"	"1"	"1"	"0"	"1"	"323"	"0"	"323"	"0"
"29"	"28"	"8"	"109"	"139"	"6"	"0"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"0"	"279"	"0"	"279"	"0"
"30"	"29"	"6"	"4"	"133"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"150"	"0"	"150"	"0"
"31"	"30"	"4"	"149"	"39"	"3"	"1"	"2"	"2"	"2"	"1"	"0"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"1"	"211"	"0"	"211"	"0"
"32"	"31"	"1"	"108"	"131"	"4"	"0"	"2"	"0"	"1"	"5"	"1"	"2"	"1"	"2"	"7"	"3"	"3"	"0"	"4"	"275"	"0"	"275"	"0"
"33"	"32"	"9"	"47"	"133"	"268"	"7"	"3"	"3"	"1"	"2"	"1"	"3"	"4"	"0"	"1"	"4"	"15"	"2"	"2"	"505"	"0"	"505"	"0"
"34"	"33"	"19"	"53"	"155"	"117"	"3"	"5"	"6"	"7"	"4"	"3"	"2"	"2"	"5"	"1"	"30"	"1"	"3"	"0"	"416"	"0"	"416"	"0"
"35"	"34"	"5"	"108"	"159"	"122"	"6"	"3"	"1"	"3"	"5"	"5"	"3"	"2"	"6"	"2"	"102"	"13"	"5"	"4"	"554"	"0"	"554"	"0"
"36"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tend ered votes"
"37"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"38"	"35"	"12"	"72"	"169"	"140"	"7"	"1"	"2"	"5"	"3"	"0"	"0"	"2"	"2"	"3"	"4"	"6"	"6"	"4"	"438"	"0"	"438"	"0"
"39"	"36"	"8"	"221"	"50"	"150"	"2"	"1"	"2"	"0"	"0"	"2"	"1"	"5"	"2"	"7"	"7"	"11"	"0"	"7"	"476"	"0"	"476"	"0"
"40"	"37"	"15"	"117"	"162"	"90"	"9"	"5"	"0"	"1"	"9"	"1"	"2"	"2"	"0"	"3"	"1"	"3"	"4"	"5"	"429"	"0"	"429"	"0"
"41"	"38"	"4"	"42"	"142"	"37"	"2"	"2"	"0"	"0"	"4"	"0"	"2"	"2"	"3"	"3"	"1"	"13"	"1"	"9"	"267"	"0"	"267"	"0"
"42"	"39"	"14"	"17"	"264"	"108"	"2"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"2"	"417"	"0"	"417"	"0"
"43"	"40"	"12"	"7"	"78"	"409"	"10"	"4"	"5"	"2"	"11"	"2"	"4"	"6"	"17"	"8"	"5"	"12"	"0"	"3"	"595"	"0"	"595"	"0"
"44"	"41"	"2"	"81"	"123"	"20"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"3"	"3"	"1"	"0"	"1"	"239"	"0"	"239"	"0"
"45"	"42"	"6"	"155"	"121"	"35"	"0"	"1"	"2"	"2"	"3"	"1"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"2"	"333"	"0"	"333"	"0"
"46"	"43"	"11"	"62"	"90"	"28"	"2"	"2"	"5"	"4"	"5"	"1"	"0"	"1"	"1"	"0"	"16"	"2"	"4"	"1"	"235"	"0"	"235"	"0"
"47"	"44"	"15"	"119"	"114"	"260"	"8"	"5"	"2"	"3"	"7"	"2"	"1"	"1"	"2"	"1"	"2"	"6"	"1"	"0"	"549"	"0"	"549"	"0"
"48"	"45"	"12"	"14"	"226"	"10"	"2"	"3"	"2"	"1"	"4"	"3"	"2"	"5"	"8"	"14"	"92"	"44"	"1"	"6"	"449"	"0"	"449"	"0"
"49"	"46"	"7"	"2"	"42"	"115"	"4"	"0"	"1"	"0"	"4"	"0"	"3"	"0"	"1"	"0"	"46"	"3"	"0"	"0"	"228"	"0"	"228"	"0"
"50"	"47"	"20"	"348"	"89"	"8"	"3"	"2"	"1"	"1"	"1"	"0"	"2"	"1"	"8"	"11"	"14"	"20"	"2"	"12"	"543"	"0"	"543"	"0"
"51"	"48"	"10"	"162"	"166"	"7"	"1"	"2"	"17"	"1"	"2"	"5"	"3"	"3"	"6"	"9"	"8"	"17"	"1"	"13"	"433"	"0"	"433"	"0"
"52"	"49"	"1"	"13"	"60"	"158"	"5"	"3"	"4"	"3"	"3"	"2"	"0"	"1"	"1"	"2"	"3"	"11"	"0"	"0"	"270"	"0"	"270"	"0"
"53"	"50"	"1"	"48"	"71"	"103"	"3"	"1"	"0"	"0"	"3"	"1"	"0"	"1"	"0"	"2"	"12"	"11"	"0"	"2"	"259"	"0"	"259"	"0"
"54"	"51"	"6"	"28"	"90"	"160"	"6"	"5"	"3"	"3"	"2"	"4"	"7"	"9"	"17"	"8"	"88"	"43"	"0"	"1"	"480"	"0"	"480"	"0"
"55"	"52"	"4"	"19"	"233"	"201"	"5"	"2"	"0"	"1"	"3"	"1"	"0"	"2"	"0"	"2"	"42"	"5"	"0"	"0"	"520"	"0"	"520"	"0"
"56"	"53"	"6"	"48"	"159"	"145"	"4"	"4"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"6"	"2"	"383"	"0"	"383"	"0"
"57"	"54"	"9"	"19"	"150"	"129"	"4"	"2"	"1"	"0"	"4"	"4"	"3"	"3"	"7"	"9"	"5"	"13"	"4"	"4"	"370"	"0"	"370"	"0"
"58"	"55"	"10"	"19"	"22"	"139"	"3"	"3"	"4"	"3"	"3"	"1"	"2"	"4"	"2"	"2"	"122"	"11"	"5"	"3"	"358"	"0"	"358"	"0"
"59"	"56"	"20"	"79"	"38"	"137"	"9"	"4"	"7"	"10"	"16"	"2"	"7"	"2"	"4"	"3"	"34"	"14"	"0"	"1"	"387"	"0"	"387"	"0"
"60"	"57"	"14"	"20"	"45"	"88"	"5"	"4"	"3"	"3"	"2"	"1"	"3"	"1"	"2"	"4"	"37"	"1"	"2"	"0"	"235"	"0"	"235"	"0"
"61"	"58"	"18"	"233"	"32"	"14"	"3"	"1"	"1"	"2"	"7"	"2"	"2"	"1"	"2"	"1"	"6"	"10"	"3"	"4"	"342"	"0"	"342"	"0"
"62"	"59"	"12"	"71"	"32"	"59"	"4"	"3"	"1"	"1"	"1"	"0"	"4"	"2"	"0"	"5"	"9"	"1"	"1"	"4"	"210"	"0"	"210"	"0"
"63"	"60"	"23"	"183"	"209"	"32"	"6"	"7"	"6"	"2"	"9"	"5"	"6"	"6"	"10"	"18"	"31"	"42"	"7"	"5"	"607"	"0"	"607"	"0"
"64"	"61"	"34"	"57"	"53"	"63"	"7"	"3"	"4"	"6"	"4"	"3"	"7"	"3"	"7"	"1"	"135"	"4"	"2"	"9"	"402"	"0"	"402"	"0"
"65"	"62"	"7"	"49"	"524"	"8"	"3"	"0"	"1"	"1"	"4"	"2"	"4"	"1"	"8"	"20"	"11"	"9"	"3"	"4"	"659"	"0"	"659"	"0"
"66"	"63"	"23"	"213"	"93"	"4"	"2"	"1"	"3"	"6"	"14"	"9"	"6"	"7"	"11"	"16"	"54"	"38"	"8"	"12"	"520"	"0"	"520"	"0"
"67"	"64"	"7"	"199"	"88"	"18"	"4"	"2"	"1"	"4"	"20"	"4"	"7"	"14"	"11"	"10"	"28"	"39"	"2"	"12"	"470"	"0"	"470"	"0"
"68"	"65"	"37"	"213"	"61"	"21"	"8"	"2"	"8"	"3"	"26"	"7"	"3"	"7"	"7"	"6"	"70"	"17"	"2"	"1"	"499"	"0"	"499"	"0"
"69"	"66"	"31"	"83"	"114"	"133"	"6"	"4"	"8"	"8"	"7"	"0"	"7"	"2"	"6"	"2"	"5"	"13"	"1"	"2"	"432"	"0"	"432"	"0"
"70"	"67"	"19"	"33"	"205"	"32"	"2"	"2"	"2"	"2"	"4"	"0"	"1"	"2"	"1"	"2"	"3"	"8"	"0"	"3"	"321"	"0"	"321"	"0"
"71"	"68"	"2"	"35"	"225"	"2"	"1"	"1"	"3"	"0"	"3"	"2"	"2"	"0"	"1"	"7"	"6"	"10"	"3"	"5"	"308"	"0"	"308"	"0"
"72"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tend ered votes"
"73"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"74"	"69"	"18"	"7"	"58"	"192"	"3"	"5"	"9"	"3"	"3"	"1"	"1"	"2"	"7"	"6"	"36"	"14"	"3"	"2"	"370"	"0"	"370"	"0"
"75"	"70"	"6"	"25"	"300"	"20"	"0"	"3"	"2"	"0"	"1"	"2"	"1"	"2"	"4"	"20"	"8"	"17"	"1"	"2"	"414"	"0"	"414"	"0"
"76"	"71"	"22"	"232"	"193"	"20"	"4"	"6"	"4"	"4"	"13"	"5"	"4"	"3"	"6"	"13"	"12"	"8"	"1"	"3"	"553"	"0"	"553"	"0"
"77"	"72"	"5"	"182"	"18"	"7"	"0"	"0"	"1"	"2"	"3"	"1"	"2"	"2"	"1"	"0"	"5"	"5"	"1"	"1"	"236"	"0"	"236"	"0"
"78"	"73"	"0"	"10"	"89"	"105"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	"1"	"0"	"0"	"211"	"0"	"211"	"0"
"79"	"74"	"6"	"53"	"111"	"37"	"1"	"2"	"1"	"2"	"0"	"2"	"1"	"1"	"1"	"4"	"8"	"4"	"0"	"0"	"234"	"0"	"234"	"0"
"80"	"75"	"9"	"55"	"112"	"286"	"4"	"8"	"6"	"5"	"4"	"3"	"2"	"3"	"6"	"11"	"45"	"20"	"2"	"3"	"584"	"0"	"584"	"0"
"81"	"76"	"23"	"123"	"261"	"97"	"12"	"7"	"4"	"1"	"11"	"5"	"3"	"2"	"2"	"4"	"10"	"8"	"4"	"6"	"583"	"0"	"583"	"0"
"82"	"77"	"4"	"49"	"358"	"38"	"3"	"1"	"0"	"1"	"5"	"4"	"2"	"2"	"9"	"25"	"4"	"12"	"1"	"1"	"519"	"0"	"519"	"0"
"83"	"78"	"18"	"23"	"311"	"50"	"2"	"2"	"0"	"0"	"2"	"2"	"2"	"0"	"0"	"3"	"12"	"1"	"0"	"0"	"428"	"0"	"428"	"0"
"84"	"79"	"4"	"158"	"233"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"2"	"3"	"412"	"0"	"412"	"0"
"85"	"80"	"1"	"156"	"81"	"5"	"2"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"255"	"0"	"255"	"0"
"86"	"81"	"4"	"147"	"189"	"2"	"0"	"0"	"0"	"3"	"2"	"3"	"0"	"2"	"2"	"0"	"6"	"4"	"0"	"4"	"368"	"0"	"368"	"0"
"87"	"82"	"5"	"23"	"361"	"2"	"1"	"1"	"1"	"1"	"3"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"403"	"0"	"403"	"0"
"88"	"83"	"9"	"31"	"195"	"100"	"0"	"5"	"2"	"1"	"2"	"1"	"2"	"3"	"4"	"11"	"22"	"26"	"0"	"0"	"414"	"0"	"414"	"0"
"89"	"84"	"15"	"99"	"231"	"237"	"8"	"6"	"2"	"4"	"3"	"0"	"2"	"1"	"0"	"1"	"0"	"7"	"2"	"1"	"619"	"0"	"619"	"0"
"90"	"85"	"8"	"76"	"189"	"15"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"293"	"0"	"293"	"0"
"91"	"86"	"11"	"177"	"220"	"11"	"4"	"1"	"1"	"1"	"9"	"2"	"4"	"2"	"5"	"7"	"4"	"12"	"4"	"7"	"482"	"0"	"482"	"0"
"92"	"87"	"7"	"180"	"386"	"20"	"4"	"7"	"0"	"0"	"2"	"2"	"2"	"0"	"1"	"4"	"2"	"10"	"0"	"5"	"632"	"0"	"632"	"0"
"93"	"88"	"3"	"97"	"205"	"49"	"3"	"3"	"2"	"2"	"1"	"5"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"376"	"0"	"376"	"0"
"94"	"89"	"7"	"181"	"128"	"13"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"2"	"341"	"0"	"341"	"0"
"95"	"90"	"14"	"140"	"287"	"15"	"4"	"1"	"0"	"0"	"3"	"4"	"3"	"2"	"2"	"17"	"10"	"21"	"1"	"6"	"530"	"0"	"530"	"0"
"96"	"91"	"46"	"89"	"278"	"151"	"6"	"4"	"2"	"5"	"9"	"2"	"3"	"2"	"4"	"5"	"1"	"2"	"5"	"3"	"617"	"0"	"617"	"0"
"97"	"92"	"9"	"73"	"302"	"31"	"3"	"4"	"3"	"1"	"5"	"3"	"2"	"3"	"3"	"3"	"5"	"5"	"0"	"0"	"455"	"0"	"455"	"0"
"98"	"93"	"21"	"67"	"300"	"106"	"4"	"1"	"0"	"1"	"4"	"2"	"3"	"5"	"5"	"3"	"4"	"14"	"1"	"6"	"547"	"0"	"547"	"0"
"99"	"94"	"11"	"277"	"85"	"101"	"5"	"1"	"1"	"3"	"4"	"3"	"5"	"5"	"11"	"8"	"12"	"23"	"1"	"7"	"563"	"0"	"563"	"0"
"100"	"95"	"5"	"85"	"120"	"315"	"7"	"1"	"2"	"9"	"5"	"4"	"6"	"2"	"7"	"5"	"4"	"19"	"4"	"14"	"614"	"0"	"614"	"0"
"101"	"96"	"4"	"269"	"9"	"6"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"13"	"5"	"0"	"0"	"313"	"0"	"313"	"0"
"102"	"97"	"4"	"145"	"91"	"114"	"9"	"4"	"0"	"2"	"10"	"3"	"2"	"7"	"4"	"5"	"7"	"21"	"4"	"7"	"439"	"0"	"439"	"0"
"103"	"98"	"8"	"368"	"8"	"33"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"420"	"0"	"420"	"0"
"104"	"99"	"14"	"470"	"17"	"7"	"1"	"0"	"1"	"2"	"0"	"1"	"11"	"0"	"0"	"0"	"3"	"1"	"1"	"2"	"531"	"0"	"531"	"0"
"105"	"100"	"9"	"225"	"243"	"8"	"2"	"3"	"2"	"3"	"6"	"5"	"4"	"2"	"7"	"12"	"20"	"34"	"2"	"9"	"596"	"0"	"596"	"0"
"106"	"101"	"4"	"114"	"214"	"24"	"0"	"0"	"0"	"2"	"4"	"0"	"3"	"2"	"2"	"13"	"13"	"12"	"0"	"5"	"412"	"0"	"412"	"0"
"107"	"102"	"7"	"269"	"36"	"29"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"4"	"1"	"1"	"351"	"0"	"351"	"0"
"108"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tend ered votes"
"109"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"110"	"103"	"0"	"376"	"29"	"20"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"2"	"5"	"2"	"1"	"1"	"441"	"0"	"441"	"0"
"111"	"104"	"19"	"75"	"335"	"66"	"2"	"2"	"4"	"3"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"6"	"1"	"2"	"519"	"0"	"519"	"0"
"112"	"105"	"18"	"223"	"318"	"72"	"3"	"5"	"5"	"10"	"4"	"3"	"2"	"0"	"2"	"4"	"3"	"7"	"2"	"5"	"686"	"0"	"686"	"0"
"113"	"106"	"12"	"410"	"23"	"10"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"0"	"10"	"8"	"2"	"10"	"491"	"0"	"491"	"0"
"114"	"107"	"9"	"257"	"192"	"14"	"0"	"2"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	"4"	"2"	"0"	"3"	"491"	"0"	"491"	"0"
"115"	"108"	"6"	"225"	"111"	"40"	"1"	"4"	"0"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"3"	"0"	"4"	"3"	"403"	"0"	"403"	"0"
"116"	"109"	"8"	"27"	"246"	"270"	"11"	"1"	"1"	"0"	"3"	"0"	"2"	"3"	"2"	"0"	"7"	"2"	"3"	"0"	"586"	"0"	"586"	"0"
"117"	"110"	"20"	"58"	"123"	"304"	"8"	"6"	"3"	"6"	"2"	"2"	"0"	"1"	"5"	"6"	"5"	"17"	"6"	"9"	"581"	"0"	"581"	"0"
"118"	"111"	"5"	"105"	"230"	"4"	"2"	"1"	"6"	"0"	"4"	"0"	"1"	"0"	"2"	"2"	"1"	"1"	"2"	"4"	"370"	"0"	"370"	"0"
"119"	"112"	"13"	"200"	"382"	"71"	"4"	"2"	"2"	"0"	"3"	"1"	"1"	"1"	"2"	"0"	"2"	"0"	"1"	"2"	"687"	"0"	"687"	"0"
"120"	"113"	"12"	"233"	"324"	"15"	"3"	"4"	"7"	"1"	"5"	"4"	"0"	"0"	"1"	"5"	"1"	"2"	"0"	"1"	"618"	"0"	"618"	"0"
"121"	"114"	"48"	"15"	"227"	"41"	"5"	"0"	"1"	"0"	"3"	"2"	"4"	"3"	"2"	"2"	"3"	"12"	"0"	"0"	"368"	"0"	"368"	"0"
"122"	"115"	"4"	"86"	"320"	"17"	"2"	"0"	"2"	"0"	"1"	"1"	"2"	"2"	"3"	"7"	"5"	"3"	"2"	"3"	"460"	"0"	"460"	"0"
"123"	"116"	"5"	"206"	"421"	"30"	"1"	"2"	"3"	"3"	"14"	"3"	"5"	"3"	"9"	"17"	"8"	"13"	"0"	"3"	"746"	"0"	"746"	"0"
"124"	"117"	"7"	"186"	"202"	"71"	"6"	"0"	"0"	"0"	"3"	"2"	"2"	"2"	"2"	"6"	"10"	"17"	"5"	"5"	"526"	"0"	"526"	"0"
"125"	"118"	"16"	"29"	"328"	"105"	"4"	"5"	"2"	"3"	"12"	"4"	"3"	"5"	"12"	"28"	"7"	"29"	"2"	"8"	"602"	"0"	"602"	"0"
"126"	"119"	"4"	"133"	"233"	"136"	"6"	"5"	"3"	"3"	"13"	"2"	"4"	"3"	"6"	"15"	"7"	"32"	"3"	"13"	"621"	"0"	"621"	"0"
"127"	"120"	"0"	"7"	"614"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"625"	"0"	"625"	"0"
"128"	"121"	"10"	"118"	"143"	"68"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"2"	"1"	"1"	"0"	"350"	"0"	"350"	"0"
"129"	"122"	"13"	"61"	"219"	"55"	"1"	"3"	"1"	"3"	"0"	"1"	"1"	"7"	"2"	"5"	"11"	"14"	"1"	"4"	"402"	"0"	"402"	"0"
"130"	"123"	"7"	"140"	"177"	"16"	"0"	"7"	"1"	"0"	"4"	"2"	"4"	"1"	"1"	"1"	"20"	"5"	"14"	"3"	"403"	"0"	"403"	"0"
"131"	"124"	"8"	"414"	"174"	"56"	"3"	"3"	"1"	"0"	"5"	"2"	"2"	"2"	"1"	"8"	"11"	"18"	"1"	"1"	"710"	"0"	"710"	"0"
"132"	"125"	"7"	"144"	"271"	"33"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"4"	"2"	"5"	"0"	"1"	"475"	"0"	"475"	"0"
"133"	"126"	"2"	"77"	"209"	"10"	"4"	"4"	"0"	"2"	"2"	"3"	"1"	"0"	"6"	"3"	"5"	"5"	"8"	"13"	"354"	"0"	"354"	"0"
