"Candidates.Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahase.th"	"Sitaram.Yadav"	"S..Abu.Dauja.na"	"Chitra.njan.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandr.ika.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"29"	"69"	"0"	"59"	"131"	"8"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"270"
"33"	"30"	"140"	"57"	"29"	"69"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"301"
"34"	"31"	"678"	"40"	"79"	"117"	"5"	"1"	"8"	"9"	"3"	"2"	"1"	"0"	"1"	"944"
"35"	"32"	"278"	"2"	"50"	"30"	"3"	"1"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"372"
"36"	"33"	"8"	"0"	"138"	"58"	"57"	"2"	"1"	"2"	"0"	"0"	"1"	"1"	"2"	"270"
"37"	"34"	"13"	"0"	"146"	"54"	"54"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"269"
"38"	"35"	"156"	"3"	"74"	"36"	"6"	"2"	"0"	"1"	"0"	"0"	"4"	"0"	"0"	"282"
"39"	"36"	"151"	"3"	"65"	"18"	"5"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"246"
"40"	"37"	"10"	"2"	"285"	"215"	"27"	"2"	"0"	"2"	"2"	"0"	"0"	"0"	"1"	"546"
"41"	"38"	"480"	"1"	"45"	"118"	"2"	"2"	"4"	"19"	"1"	"0"	"5"	"0"	"1"	"678"
"42"	"39"	"426"	"2"	"57"	"36"	"5"	"0"	"2"	"1"	"2"	"0"	"17"	"0"	"0"	"548"
"43"	"40"	"438"	"4"	"49"	"17"	"2"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"516"
"44"	"41"	"306"	"2"	"122"	"128"	"14"	"0"	"1"	"5"	"1"	"1"	"0"	"1"	"1"	"582"
"45"	"42"	"229"	"2"	"199"	"18"	"1"	"1"	"0"	"10"	"0"	"2"	"1"	"1"	"4"	"468"
"46"	"43"	"7"	"3"	"286"	"61"	"16"	"0"	"0"	"2"	"2"	"1"	"2"	"0"	"2"	"382"
"47"	"44"	"411"	"54"	"115"	"45"	"5"	"3"	"4"	"27"	"5"	"3"	"6"	"2"	"1"	"681"
"48"	"45"	"149"	"5"	"265"	"55"	"6"	"0"	"2"	"5"	"1"	"0"	"0"	"0"	"1"	"489"
"49"	"46"	"272"	"1"	"61"	"63"	"5"	"0"	"0"	"1"	"1"	"1"	"15"	"0"	"0"	"420"
"50"	"47"	"402"	"1"	"41"	"26"	"0"	"1"	"4"	"9"	"1"	"3"	"1"	"3"	"1"	"493"
"51"	"48"	"336"	"50"	"66"	"15"	"0"	"0"	"0"	"9"	"1"	"0"	"2"	"0"	"0"	"479"
"52"	"49"	"298"	"3"	"113"	"19"	"0"	"0"	"2"	"4"	"1"	"1"	"5"	"0"	"2"	"448"
"53"	"50"	"724"	"11"	"57"	"21"	"4"	"1"	"1"	"19"	"1"	"1"	"5"	"1"	"2"	"848"
"54"	"51"	"376"	"14"	"205"	"26"	"1"	"2"	"0"	"8"	"3"	"0"	"1"	"1"	"1"	"638"
"55"	"52"	"353"	"1"	"121"	"30"	"0"	"0"	"3"	"8"	"2"	"1"	"1"	"0"	"0"	"520"
"56"	"53"	"409"	"14"	"93"	"29"	"2"	"0"	"4"	"15"	"1"	"1"	"1"	"0"	"0"	"569"
"57"	"54"	"319"	"0"	"50"	"4"	"0"	"0"	"1"	"8"	"4"	"0"	"2"	"0"	"1"	"389"
"58"	"55"	"387"	"1"	"111"	"31"	"3"	"2"	"1"	"7"	"1"	"1"	"1"	"0"	"0"	"546"
"59"	"56"	"262"	"4"	"73"	"48"	"0"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"392"
"60"	"57"	"124"	"7"	"37"	"28"	"3"	"0"	"2"	"3"	"1"	"1"	"2"	"1"	"2"	"211"
"61"	"58"	"368"	"3"	"100"	"39"	"2"	"1"	"0"	"2"	"3"	"0"	"1"	"0"	"0"	"519"
"62"	"59"	"217"	"1"	"57"	"32"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"313"
"63"	"60"	"360"	"2"	"87"	"70"	"2"	"0"	"0"	"4"	"0"	"0"	"0"	"1"	"0"	"526"
"64"	"61"	"406"	"16"	"65"	"8"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"502"
"65"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahase th"	"Sitaram Yadav"	"S.
Abu Dauja na"	"Chitra njan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandr ika Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"66"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"69"	"62"	"305"	"0"	"96"	"13"	"0"	"2"	"1"	"10"	"1"	"1"	"0"	"3"	"0"	"432"
"70"	"63"	"285"	"12"	"109"	"16"	"1"	"0"	"2"	"6"	"0"	"0"	"2"	"0"	"3"	"436"
"71"	"64"	"193"	"3"	"59"	"31"	"0"	"0"	"0"	"5"	"2"	"0"	"1"	"0"	"2"	"296"
"72"	"65"	"122"	"1"	"77"	"31"	"2"	"0"	"1"	"2"	"1"	"19"	"0"	"1"	"1"	"258"
"73"	"66"	"90"	"2"	"86"	"78"	"25"	"0"	"0"	"1"	"0"	"20"	"0"	"1"	"1"	"304"
"74"	"67"	"163"	"2"	"157"	"13"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"339"
"75"	"68"	"222"	"7"	"150"	"37"	"2"	"1"	"2"	"4"	"0"	"2"	"1"	"1"	"0"	"429"
"76"	"69"	"190"	"1"	"65"	"35"	"10"	"1"	"4"	"16"	"4"	"1"	"0"	"2"	"1"	"330"
"77"	"70"	"166"	"9"	"241"	"57"	"6"	"2"	"6"	"11"	"2"	"5"	"1"	"1"	"0"	"507"
"78"	"71"	"163"	"18"	"144"	"39"	"2"	"0"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"373"
"79"	"72"	"112"	"1"	"48"	"8"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"171"
"80"	"73"	"161"	"1"	"70"	"28"	"19"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"281"
"81"	"74"	"160"	"2"	"44"	"5"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"216"
"82"	"75"	"10"	"0"	"75"	"24"	"22"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"136"
"83"	"76"	"46"	"1"	"114"	"28"	"5"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"196"
"84"	"77"	"253"	"2"	"50"	"97"	"43"	"3"	"4"	"16"	"1"	"1"	"2"	"0"	"1"	"473"
"85"	"78"	"40"	"0"	"19"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"
"86"	"79"	"95"	"0"	"32"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"131"
"87"	"80"	"45"	"0"	"9"	"9"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"64"
"88"	"81"	"164"	"1"	"48"	"14"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"231"
"89"	"82"	"103"	"0"	"66"	"61"	"14"	"1"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"250"
"90"	"83"	"181"	"1"	"65"	"32"	"3"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"286"
"91"	"84"	"246"	"1"	"39"	"50"	"4"	"1"	"2"	"7"	"0"	"0"	"0"	"1"	"0"	"351"
"92"	"85"	"200"	"3"	"28"	"105"	"3"	"0"	"1"	"11"	"1"	"0"	"0"	"1"	"0"	"353"
"93"	"86"	"67"	"6"	"129"	"51"	"4"	"2"	"4"	"8"	"1"	"1"	"1"	"2"	"2"	"278"
"94"	"87"	"232"	"42"	"103"	"206"	"87"	"4"	"4"	"6"	"4"	"5"	"2"	"3"	"3"	"701"
"95"	"88"	"42"	"2"	"121"	"178"	"74"	"1"	"0"	"4"	"0"	"2"	"1"	"1"	"0"	"426"
"96"	"89"	"9"	"1"	"49"	"3"	"216"	"4"	"1"	"2"	"1"	"0"	"0"	"5"	"1"	"292"
"97"	"90"	"10"	"0"	"38"	"16"	"154"	"5"	"2"	"5"	"2"	"3"	"1"	"9"	"0"	"245"
"98"	"91"	"159"	"13"	"43"	"85"	"180"	"4"	"3"	"11"	"2"	"4"	"1"	"7"	"0"	"512"
"99"	"92"	"83"	"10"	"9"	"120"	"183"	"4"	"1"	"9"	"1"	"1"	"3"	"0"	"1"	"425"
"100"	"93"	"131"	"8"	"43"	"250"	"133"	"2"	"2"	"8"	"2"	"0"	"0"	"1"	"1"	"581"
"101"	"94"	"45"	"2"	"19"	"189"	"356"	"8"	"4"	"8"	"3"	"3"	"1"	"4"	"2"	"644"
"102"	"95"	"206"	"0"	"120"	"103"	"3"	"1"	"3"	"13"	"2"	"0"	"1"	"3"	"2"	"457"
"103"	"96"	"21"	"8"	"153"	"164"	"236"	"5"	"1"	"3"	"1"	"1"	"0"	"7"	"2"	"602"
"104"	"97"	"8"	"4"	"30"	"28"	"256"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"332"
"105"	"98"	"97"	"0"	"65"	"29"	"207"	"1"	"1"	"4"	"0"	"3"	"0"	"4"	"0"	"411"
"106"	"99"	"19"	"3"	"60"	"44"	"279"	"4"	"3"	"3"	"4"	"1"	"2"	"4"	"0"	"426"
"107"	"100"	"166"	"2"	"104"	"26"	"213"	"2"	"2"	"4"	"0"	"0"	"1"	"9"	"1"	"530"
"108"	"101"	"29"	"30"	"106"	"147"	"231"	"9"	"5"	"2"	"3"	"3"	"6"	"11"	"5"	"587"
"109"	"102"	"7"	"4"	"158"	"5"	"166"	"5"	"0"	"2"	"1"	"0"	"2"	"4"	"3"	"357"
"110"	"103"	"178"	"4"	"89"	"5"	"143"	"3"	"0"	"7"	"2"	"0"	"2"	"1"	"0"	"434"
"111"	"104"	"1"	"1"	"37"	"2"	"174"	"3"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"224"
"112"	"105"	"97"	"17"	"111"	"103"	"234"	"5"	"1"	"3"	"5"	"0"	"7"	"6"	"6"	"595"
"113"	"106"	"15"	"0"	"114"	"91"	"225"	"2"	"0"	"1"	"2"	"2"	"1"	"3"	"2"	"458"
"114"	"107"	"132"	"17"	"13"	"116"	"331"	"6"	"2"	"5"	"0"	"3"	"3"	"7"	"2"	"637"
"115"	"108"	"250"	"2"	"16"	"88"	"0"	"1"	"2"	"7"	"2"	"1"	"1"	"1"	"0"	"371"
"116"	"109"	"132"	"8"	"5"	"35"	"181"	"1"	"3"	"6"	"2"	"1"	"1"	"2"	"2"	"379"
"117"	"110"	"14"	"0"	"1"	"2"	"46"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"67"
"118"	"111"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"119"	"112"	"101"	"8"	"3"	"8"	"189"	"1"	"2"	"5"	"0"	"0"	"1"	"5"	"0"	"323"
"120"	"113"	"226"	"2"	"47"	"90"	"4"	"0"	"1"	"7"	"8"	"0"	"2"	"1"	"1"	"389"
"121"	"114"	"154"	"91"	"22"	"16"	"94"	"3"	"3"	"16"	"1"	"1"	"0"	"1"	"2"	"404"
"122"	"115"	"326"	"10"	"10"	"34"	"117"	"1"	"2"	"9"	"0"	"1"	"2"	"2"	"0"	"514"
"123"	"116"	"139"	"21"	"7"	"92"	"206"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"469"
"124"	"117"	"73"	"7"	"7"	"39"	"255"	"5"	"1"	"8"	"5"	"3"	"3"	"2"	"1"	"409"
"125"	"118"	"116"	"41"	"9"	"52"	"262"	"6"	"3"	"6"	"3"	"2"	"1"	"7"	"0"	"508"
"126"	"119"	"114"	"2"	"21"	"357"	"15"	"1"	"1"	"12"	"2"	"1"	"1"	"0"	"2"	"529"
"127"	"120"	"74"	"2"	"25"	"250"	"2"	"1"	"5"	"1"	"4"	"2"	"2"	"0"	"1"	"369"
"128"	"121"	"127"	"14"	"4"	"84"	"149"	"1"	"5"	"24"	"2"	"1"	"2"	"1"	"1"	"415"
"129"	"122"	"22"	"3"	"151"	"93"	"35"	"1"	"0"	"1"	"0"	"3"	"2"	"0"	"3"	"314"
"130"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahase th"	"Sitaram Yadav"	"S.
Abu Dauja na"	"Chitra njan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandr ika Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"131"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"134"	"123"	"117"	"4"	"76"	"276"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"2"	"485"
"135"	"124"	"127"	"14"	"80"	"87"	"81"	"4"	"2"	"10"	"0"	"2"	"4"	"6"	"2"	"419"
"136"	"125"	"75"	"2"	"42"	"12"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"134"
"137"	"126"	"143"	"0"	"26"	"24"	"9"	"0"	"1"	"4"	"2"	"0"	"0"	"1"	"0"	"210"
"138"	"127"	"304"	"5"	"41"	"187"	"7"	"1"	"4"	"13"	"1"	"0"	"4"	"1"	"2"	"570"
"139"	"128"	"242"	"3"	"43"	"31"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"1"	"329"
"140"	"129"	"129"	"1"	"27"	"14"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"175"
"141"	"130"	"242"	"1"	"55"	"23"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"323"
"142"	"131"	"306"	"1"	"70"	"20"	"0"	"0"	"1"	"5"	"1"	"0"	"3"	"0"	"0"	"407"
"143"	"132"	"175"	"1"	"55"	"44"	"0"	"0"	"2"	"2"	"1"	"1"	"0"	"1"	"0"	"282"
"144"	"133"	"259"	"2"	"28"	"93"	"5"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"390"
"145"	"134"	"193"	"1"	"55"	"157"	"7"	"2"	"1"	"3"	"0"	"2"	"2"	"0"	"0"	"423"
"146"	"135"	"239"	"0"	"41"	"50"	"7"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"341"
"147"	"136"	"541"	"28"	"48"	"174"	"9"	"3"	"3"	"28"	"8"	"3"	"3"	"1"	"2"	"851"
"148"	"137"	"325"	"9"	"198"	"37"	"5"	"1"	"1"	"4"	"4"	"0"	"5"	"4"	"1"	"594"
"149"	"138"	"46"	"5"	"329"	"60"	"10"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"2"	"457"
"150"	"139"	"97"	"2"	"128"	"78"	"9"	"1"	"1"	"5"	"1"	"0"	"0"	"0"	"1"	"323"
"151"	"140"	"22"	"1"	"108"	"10"	"6"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"149"
"152"	"141"	"352"	"12"	"85"	"201"	"5"	"4"	"4"	"21"	"3"	"3"	"5"	"4"	"14"	"713"
"153"	"142"	"200"	"21"	"23"	"66"	"100"	"3"	"6"	"6"	"5"	"3"	"0"	"0"	"3"	"436"
"154"	"143"	"324"	"5"	"18"	"81"	"150"	"3"	"7"	"16"	"1"	"1"	"1"	"2"	"2"	"611"
"155"	"144"	"35"	"1"	"6"	"117"	"65"	"0"	"1"	"7"	"0"	"1"	"0"	"0"	"2"	"235"
"156"	"145"	"123"	"19"	"24"	"429"	"14"	"5"	"4"	"5"	"2"	"2"	"5"	"7"	"4"	"643"
"157"	"146"	"35"	"4"	"16"	"145"	"92"	"4"	"0"	"2"	"2"	"0"	"4"	"3"	"0"	"307"
"158"	"147"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"
"159"	"148"	"147"	"11"	"205"	"39"	"8"	"1"	"4"	"5"	"2"	"1"	"2"	"0"	"2"	"427"
"160"	"149"	"247"	"41"	"22"	"87"	"3"	"2"	"0"	"5"	"3"	"1"	"4"	"2"	"1"	"418"
"161"	"150"	"201"	"57"	"79"	"131"	"5"	"1"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"479"
"162"	"151"	"9"	"2"	"128"	"238"	"28"	"3"	"1"	"3"	"0"	"1"	"1"	"2"	"1"	"417"
"163"	"152"	"179"	"10"	"265"	"129"	"17"	"1"	"3"	"11"	"2"	"1"	"0"	"3"	"0"	"621"
"164"	"153"	"161"	"50"	"29"	"117"	"23"	"1"	"2"	"4"	"1"	"1"	"2"	"0"	"0"	"391"
"165"	"154"	"228"	"2"	"103"	"108"	"16"	"0"	"0"	"10"	"3"	"1"	"1"	"0"	"0"	"472"
"166"	"155"	"92"	"7"	"151"	"161"	"17"	"3"	"2"	"0"	"0"	"1"	"1"	"2"	"0"	"437"
"167"	"156"	"41"	"4"	"443"	"13"	"2"	"1"	"0"	"4"	"0"	"0"	"0"	"1"	"0"	"509"
"168"	"157"	"78"	"15"	"166"	"161"	"2"	"3"	"3"	"6"	"1"	"1"	"2"	"1"	"3"	"442"
"169"	"158"	"124"	"3"	"210"	"87"	"5"	"1"	"5"	"10"	"3"	"2"	"3"	"3"	"2"	"458"
"170"	"159"	"15"	"22"	"222"	"78"	"16"	"1"	"1"	"1"	"1"	"3"	"1"	"1"	"5"	"367"
"171"	"160"	"41"	"6"	"77"	"130"	"4"	"1"	"2"	"2"	"2"	"2"	"1"	"0"	"1"	"269"
"172"	"161"	"242"	"9"	"51"	"89"	"3"	"1"	"7"	"12"	"2"	"1"	"0"	"0"	"0"	"417"
"173"	"162"	"252"	"15"	"47"	"113"	"7"	"2"	"5"	"17"	"7"	"4"	"6"	"5"	"3"	"483"
"174"	"163"	"243"	"23"	"76"	"74"	"3"	"0"	"3"	"18"	"4"	"0"	"1"	"4"	"10"	"459"
"175"	"164"	"175"	"5"	"54"	"43"	"13"	"1"	"6"	"12"	"5"	"3"	"2"	"2"	"4"	"325"
"176"	"165"	"68"	"3"	"21"	"365"	"7"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"3"	"472"
"177"	"166"	"39"	"2"	"8"	"327"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"381"
"178"	"167"	"223"	"6"	"44"	"28"	"134"	"3"	"2"	"14"	"0"	"3"	"0"	"3"	"0"	"460"
"179"	"168"	"261"	"3"	"23"	"90"	"3"	"0"	"0"	"7"	"0"	"1"	"2"	"0"	"0"	"390"
"180"	"169"	"152"	"17"	"61"	"67"	"6"	"1"	"1"	"7"	"1"	"2"	"4"	"2"	"2"	"323"
"181"	"170"	"175"	"2"	"17"	"34"	"26"	"3"	"5"	"17"	"6"	"4"	"1"	"2"	"1"	"293"
"182"	"171"	"118"	"5"	"8"	"52"	"4"	"0"	"0"	"6"	"2"	"0"	"0"	"1"	"0"	"196"
"183"	"172"	"121"	"2"	"39"	"116"	"74"	"1"	"3"	"9"	"1"	"3"	"4"	"0"	"1"	"374"
"184"	"173"	"63"	"13"	"24"	"149"	"37"	"2"	"5"	"8"	"1"	"1"	"4"	"0"	"0"	"307"
"185"	"174"	"187"	"7"	"90"	"107"	"109"	"3"	"7"	"9"	"1"	"2"	"1"	"1"	"1"	"525"
"186"	"175"	"140"	"22"	"31"	"77"	"4"	"1"	"2"	"12"	"2"	"1"	"3"	"1"	"2"	"298"
"187"	"176"	"147"	"4"	"45"	"366"	"73"	"1"	"6"	"6"	"5"	"2"	"4"	"4"	"5"	"668"
"188"	"177"	"107"	"5"	"234"	"38"	"4"	"0"	"2"	"6"	"2"	"3"	"2"	"1"	"1"	"405"
"189"	"178"	"217"	"12"	"216"	"54"	"14"	"2"	"5"	"20"	"3"	"5"	"4"	"1"	"6"	"559"
"190"	"179"	"234"	"41"	"22"	"33"	"26"	"1"	"1"	"5"	"2"	"0"	"0"	"1"	"1"	"367"
"191"	"180"	"205"	"4"	"26"	"35"	"29"	"2"	"6"	"14"	"2"	"1"	"0"	"3"	"2"	"329"
"192"	"181"	"120"	"21"	"33"	"42"	"159"	"3"	"3"	"9"	"2"	"2"	"2"	"4"	"0"	"400"
"193"	"182"	"144"	"30"	"5"	"4"	"50"	"2"	"0"	"9"	"1"	"1"	"1"	"0"	"0"	"247"
"194"	"183"	"213"	"36"	"63"	"84"	"1"	"0"	"0"	"8"	"2"	"1"	"4"	"1"	"2"	"415"
"195"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahase th"	"Sitaram Yadav"	"S.
Abu Dauja na"	"Chitra njan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandr ika Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"196"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"199"	"184"	"119"	"3"	"34"	"53"	"90"	"1"	"4"	"13"	"1"	"2"	"5"	"3"	"1"	"329"
"200"	"185"	"338"	"16"	"43"	"64"	"111"	"1"	"10"	"22"	"9"	"3"	"7"	"6"	"1"	"631"
"201"	"186"	"409"	"16"	"41"	"88"	"19"	"3"	"5"	"19"	"2"	"4"	"4"	"2"	"0"	"612"
"202"	"187"	"86"	"0"	"17"	"266"	"14"	"0"	"1"	"1"	"1"	"1"	"2"	"4"	"1"	"394"
"203"	"188"	"130"	"13"	"41"	"235"	"6"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"430"
"204"	"189"	"348"	"114"	"22"	"13"	"26"	"0"	"6"	"11"	"2"	"1"	"2"	"2"	"1"	"548"
"205"	"190"	"301"	"1"	"13"	"21"	"12"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"352"
"206"	"191"	"282"	"4"	"117"	"280"	"18"	"6"	"4"	"17"	"2"	"0"	"0"	"0"	"1"	"731"
"207"	"192"	"254"	"11"	"23"	"197"	"169"	"2"	"4"	"21"	"4"	"2"	"1"	"3"	"1"	"692"
"208"	"193"	"166"	"6"	"25"	"62"	"155"	"1"	"1"	"8"	"2"	"1"	"2"	"3"	"4"	"436"
