"Candidates.Name...........BOTH.NO.v"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"68"	"60"	"15"	"2"	"20"	"19"	"185"	"5"	"4"	"3"	"0"	"2"	"7"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"268"	""	"268"	""
"69"	"61"	"36"	"1"	"25"	"214"	"14"	"1"	"1"	"0"	"0"	"1"	"14"	"0"	"1"	"1"	"1"	"2"	"0"	"2"	"2"	"316"	""	"316"	""
"70"	"62"	"48"	"1"	"5"	"28"	"135"	"7"	"4"	"2"	"1"	"7"	"71"	"4"	"4"	"12"	"1"	"0"	"2"	"5"	"0"	"337"	""	"337"	""
"71"	"63"	"12"	"1"	"0"	"36"	"54"	"3"	"1"	"1"	"3"	"0"	"93"	"2"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"210"	""	"210"	""
"72"	"64"	"6"	"0"	"0"	"12"	"80"	"1"	"0"	"0"	"1"	"2"	"3"	"3"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"113"	""	"113"	""
"73"	"65"	"206"	"5"	"2"	"158"	"227"	"4"	"0"	"0"	"0"	"4"	"18"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"628"	""	"628"	""
"74"	"66"	"2"	"0"	"0"	"26"	"196"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	""	"225"	""
"75"	"67"	"2"	"1"	"23"	"54"	"342"	"3"	"1"	"1"	"3"	"2"	"14"	"0"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"451"	""	"451"	""
"76"	"68"	"60"	"1"	"0"	"15"	"323"	"2"	"1"	"0"	"0"	"0"	"8"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"415"	""	"415"	""
"77"	"69"	"33"	"0"	"8"	"67"	"361"	"2"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"1"	"0"	"3"	"0"	"1"	"0"	"482"	""	"482"	""
"78"	"70"	"26"	"4"	"16"	"111"	"101"	"12"	"5"	"1"	"3"	"10"	"22"	"1"	"1"	"5"	"3"	"0"	"0"	"1"	"0"	"322"	""	"322"	""
"79"	"71"	"30"	"2"	"1"	"316"	"10"	"0"	"1"	"0"	"0"	"0"	"14"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"378"	""	"378"	""
"80"	"72"	"14"	"1"	"10"	"21"	"263"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	""	"315"	""
"81"	"73"	"45"	"6"	"1"	"51"	"58"	"1"	"3"	"0"	"2"	"1"	"10"	"3"	"3"	"0"	"0"	"2"	"3"	"3"	"2"	"194"	""	"194"	""
"82"	"74"	"62"	"7"	"1"	"52"	"213"	"4"	"2"	"1"	"1"	"3"	"7"	"1"	"4"	"1"	"0"	"1"	"2"	"2"	"0"	"364"	""	"364"	""
"83"	"75"	"53"	"1"	"1"	"14"	"3"	"1"	"0"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"82"	""	"82"	""
"84"	"76"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	""	"11"	""
"85"	"77"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"1"	""
"86"	"78"	"33"	"4"	"0"	"12"	"137"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	""	"193"	""
"87"	"79"	"29"	"2"	"1"	"13"	"95"	"3"	"2"	"0"	"0"	"1"	"4"	"1"	"2"	"2"	"3"	"1"	"0"	"0"	"0"	"159"	""	"159"	""
"88"	"80"	"34"	"14"	"13"	"98"	"83"	"14"	"3"	"2"	"2"	"3"	"20"	"6"	"10"	"0"	"3"	"3"	"7"	"4"	"2"	"321"	""	"321"	""
"89"	"81"	"12"	"17"	"3"	"4"	"37"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"3"	"1"	"1"	"1"	"2"	"1"	"87"	""	"87"	""
"90"	"Candidates Name
-------->
BOTH NO
v"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"91"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"92"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"93"	"82"	"6"	"1"	"1"	"15"	"125"	"9"	"0"	"1"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"165"	""	"165"	""
"94"	"83"	"44"	"4"	"2"	"9"	"105"	"5"	"6"	"1"	"4"	"4"	"9"	"0"	"2"	"0"	"1"	"2"	"1"	"0"	"0"	"199"	""	"199"	""
"95"	"84"	"27"	"8"	"4"	"66"	"34"	"8"	"3"	"1"	"2"	"0"	"39"	"3"	"4"	"3"	"1"	"4"	"7"	"6"	"8"	"228"	""	"228"	""
"96"	"85"	"26"	"63"	"10"	"50"	"54"	"2"	"10"	"5"	"7"	"2"	"14"	"3"	"4"	"5"	"6"	"11"	"3"	"2"	"3"	"280"	""	"280"	""
"97"	"86"	"43"	"39"	"8"	"133"	"58"	"11"	"2"	"4"	"5"	"4"	"72"	"1"	"5"	"6"	"2"	"9"	"18"	"5"	"12"	"437"	""	"437"	""
"98"	"87"	"18"	"2"	"1"	"42"	"5"	"3"	"1"	"0"	"0"	"0"	"82"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"162"	""	"162"	""
"99"	"88"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"100"	"89"	"2"	"0"	"0"	"0"	"84"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"88"	""	"88"	""
"101"	"90"	"1"	"0"	"1"	"37"	"48"	"1"	"1"	"0"	"1"	"0"	"12"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"106"	""	"106"	""
"102"	"91"	"0"	"0"	"0"	"10"	"46"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"59"	""	"59"	""
"103"	"92"	"1"	"2"	"0"	"35"	"2"	"2"	"1"	"0"	"0"	"0"	"24"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"68"	""	"68"	""
"104"	"93"	"11"	"1"	"1"	"21"	"91"	"6"	"0"	"0"	"0"	"0"	"18"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"154"	""	"154"	""
"105"	"94"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"106"	"95"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"107"	"96"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	""	"3"	""
"108"	"97"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"1"	""
"109"	"98"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	""	"2"	""
"110"	"99"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"111"	"100"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"112"	"101"	"52"	"5"	"3"	"23"	"26"	"4"	"1"	"1"	"0"	"3"	"12"	"1"	"1"	"2"	"1"	"2"	"6"	"0"	"2"	"145"	""	"145"	""
"113"	"102"	"122"	"1"	"1"	"128"	"2"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	""	"259"	""
"114"	"103"	"70"	"4"	"20"	"37"	"118"	"2"	"2"	"1"	"0"	"0"	"4"	"3"	"2"	"2"	"2"	"4"	"5"	"2"	"3"	"281"	""	"281"	""
"115"	"104"	"43"	"0"	"0"	"102"	"18"	"0"	"0"	"0"	"0"	"0"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	""	"176"	""
"116"	"105"	"88"	"2"	"0"	"239"	"25"	"1"	"0"	"1"	"0"	"0"	"33"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"394"	""	"394"	""
"117"	"106"	"87"	"0"	"0"	"240"	"75"	"0"	"1"	"0"	"0"	"0"	"22"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"428"	""	"428"	""
"118"	"107"	"43"	"2"	"6"	"51"	"55"	"2"	"0"	"2"	"3"	"3"	"36"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"210"	""	"210"	""
"119"	"108"	"34"	"1"	"1"	"56"	"109"	"13"	"3"	"3"	"2"	"1"	"17"	"1"	"4"	"0"	"1"	"2"	"5"	"5"	"3"	"261"	""	"261"	""
"120"	"Candidates Name
-------->
BOTH NO
v"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"121"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"122"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"123"	"109"	"151"	"10"	"2"	"36"	"51"	"2"	"2"	"3"	"1"	"1"	"30"	"2"	"2"	"0"	"1"	"1"	"3"	"0"	"1"	"299"	""	"299"	""
"124"	"110"	"60"	"3"	"16"	"81"	"107"	"10"	"4"	"3"	"3"	"1"	"37"	"4"	"3"	"4"	"1"	"4"	"1"	"0"	"3"	"345"	""	"345"	""
"125"	"111"	"59"	"4"	"3"	"13"	"380"	"7"	"0"	"1"	"2"	"0"	"5"	"1"	"5"	"1"	"2"	"2"	"1"	"0"	"0"	"486"	""	"486"	""
"126"	"112"	"38"	"2"	"3"	"36"	"81"	"1"	"2"	"0"	"0"	"0"	"12"	"2"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"183"	""	"183"	""
"127"	"113"	"44"	"0"	"12"	"15"	"298"	"1"	"1"	"0"	"0"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"380"	""	"380"	""
"128"	"114"	"28"	"2"	"0"	"26"	"67"	"2"	"2"	"1"	"0"	"2"	"6"	"0"	"0"	"0"	"2"	"5"	"1"	"0"	"1"	"145"	""	"145"	""
"129"	"115"	"87"	"4"	"3"	"41"	"4"	"0"	"0"	"2"	"0"	"1"	"38"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"184"	""	"184"	""
"130"	"116"	"130"	"14"	"6"	"43"	"11"	"3"	"1"	"2"	"0"	"2"	"3"	"2"	"4"	"0"	"2"	"6"	"5"	"0"	"0"	"234"	""	"234"	""
"131"	"117"	"45"	"2"	"12"	"185"	"38"	"2"	"0"	"0"	"1"	"1"	"12"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"302"	""	"302"	""
"132"	"118"	"15"	"2"	"95"	"56"	"100"	"5"	"2"	"1"	"1"	"2"	"20"	"1"	"0"	"2"	"1"	"3"	"0"	"0"	"1"	"307"	""	"307"	""
