"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X244338.87.Jale"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"13"	""	"10"	"281"	"3"	"44"	"51"	"69"	"4"	"5"	"5"	"1"	"2"	"2"	"5"	"7"	"35"	"514"	""	"514"	""
"14"	""	"11"	"256"	"7"	"16"	"81"	"30"	"0"	"1"	"0"	"2"	"1"	"4"	"1"	"2"	"8"	"409"	""	"409"	""
"15"	""	"12"	"203"	"7"	"10"	"174"	"36"	"3"	"5"	"6"	"1"	"2"	"4"	"0"	"2"	"4"	"457"	""	"457"	""
"16"	""	"13"	"198"	"19"	"75"	"130"	"84"	"2"	"1"	"4"	"3"	"3"	"5"	"1"	"4"	"12"	"541"	""	"541"	""
"17"	""	"14"	"157"	"7"	"138"	"127"	"17"	"1"	"2"	"3"	"1"	"1"	"2"	"1"	"0"	"1"	"458"	""	"458"	""
"18"	""	"Total -1"	"1573"	"90"	"962"	"2185"	"1158"	"43"	"37"	"36"	"36"	"28"	"39"	"27"	"40"	"201"	"6455"	"0"	"6455"	"0"
"19"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"23"	"Round No.2"	"15"	"103"	"2"	"294"	"24"	"15"	"0"	"0"	"3"	"2"	"1"	"1"	"2"	"1"	"0"	"448"	""	"448"	""
"24"	""	"16"	"208"	"11"	"17"	"140"	"156"	"8"	"6"	"2"	"5"	"4"	"5"	"2"	"3"	"11"	"578"	""	"578"	""
"25"	""	"17"	"62"	"4"	"14"	"278"	"81"	"7"	"6"	"6"	"2"	"3"	"6"	"4"	"3"	"11"	"487"	""	"487"	""
"26"	""	"18"	"86"	"3"	"24"	"265"	"41"	"3"	"3"	"4"	"3"	"0"	"2"	"0"	"0"	"9"	"443"	""	"443"	""
"27"	""	"19"	"156"	"8"	"36"	"211"	"84"	"6"	"5"	"5"	"4"	"4"	"2"	"2"	"1"	"12"	"536"	""	"536"	""
"28"	""	"20"	"121"	"7"	"27"	"214"	"31"	"2"	"3"	"0"	"1"	"1"	"2"	"0"	"2"	"5"	"416"	""	"416"	""
"29"	""	"21"	"176"	"6"	"6"	"118"	"21"	"1"	"1"	"1"	"3"	"4"	"2"	"3"	"6"	"18"	"366"	""	"366"	""
"30"	""	"22"	"92"	"1"	"11"	"139"	"118"	"5"	"3"	"1"	"0"	"1"	"3"	"2"	"0"	"2"	"378"	""	"378"	""
"31"	""	"23"	"90"	"13"	"287"	"69"	"52"	"2"	"4"	"2"	"4"	"5"	"6"	"13"	"6"	"14"	"567"	""	"567"	""
"32"	""	"24"	"54"	"4"	"221"	"42"	"14"	"3"	"2"	"1"	"0"	"1"	"1"	"1"	"0"	"4"	"348"	""	"348"	""
"33"	""	"25"	"82"	"5"	"216"	"73"	"29"	"0"	"1"	"1"	"2"	"2"	"6"	"2"	"0"	"5"	"424"	""	"424"	""
"34"	""	"26"	"30"	"3"	"93"	"199"	"42"	"4"	"5"	"5"	"6"	"3"	"3"	"1"	"5"	"10"	"409"	""	"409"	""
"35"	""	"27"	"129"	"5"	"64"	"212"	"32"	"1"	"2"	"2"	"2"	"3"	"3"	"2"	"5"	"8"	"470"	""	"470"	""
"36"	""	"28"	"41"	"6"	"16"	"246"	"40"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"3"	"356"	""	"356"	""
"37"	""	"Total -2"	"1430"	"78"	"1326"	"2230"	"756"	"43"	"41"	"34"	"35"	"32"	"42"	"35"	"32"	"112"	"6226"	"0"	"6226"	"0"
"38"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"42"	"Round No.3"	"29"	"153"	"3"	"150"	"75"	"22"	"3"	"3"	"2"	"4"	"4"	"3"	"7"	"4"	"18"	"451"	""	"451"	""
"43"	""	"30"	"87"	"3"	"83"	"55"	"7"	"0"	"0"	"0"	"2"	"1"	"3"	"2"	"3"	"7"	"253"	""	"253"	""
"44"	""	"31"	"63"	"4"	"59"	"91"	"9"	"2"	"1"	"1"	"1"	"1"	"5"	"0"	"5"	"9"	"251"	""	"251"	""
"45"	""	"32"	"119"	"7"	"50"	"203"	"29"	"8"	"4"	"5"	"7"	"11"	"9"	"7"	"13"	"35"	"507"	""	"507"	""
"46"	""	"33"	"105"	"3"	"139"	"154"	"35"	"4"	"0"	"7"	"3"	"1"	"2"	"1"	"5"	"13"	"472"	""	"472"	""
"47"	""	"34"	"62"	"3"	"42"	"319"	"14"	"3"	"0"	"2"	"0"	"0"	"3"	"0"	"2"	"3"	"453"	""	"453"	""
"48"	""	"35"	"64"	"4"	"72"	"275"	"43"	"4"	"5"	"2"	"6"	"1"	"3"	"1"	"4"	"6"	"490"	""	"490"	""
"49"	""	"36"	"29"	"5"	"57"	"237"	"121"	"3"	"4"	"0"	"1"	"1"	"0"	"0"	"5"	"2"	"465"	""	"465"	""
"50"	""	"37"	"184"	"9"	"136"	"92"	"151"	"5"	"9"	"6"	"7"	"8"	"2"	"3"	"8"	"14"	"634"	""	"634"	""
"51"	""	"38"	"123"	"5"	"9"	"288"	"58"	"3"	"3"	"1"	"0"	"1"	"4"	"0"	"5"	"4"	"504"	""	"504"	""
"52"	""	"39"	"231"	"15"	"164"	"32"	"22"	"6"	"1"	"2"	"3"	"0"	"5"	"3"	"2"	"6"	"492"	""	"492"	""
"53"	""	"40"	"65"	"10"	"36"	"338"	"40"	"7"	"3"	"0"	"6"	"4"	"7"	"2"	"4"	"9"	"531"	""	"531"	""
"54"	""	"41"	"23"	"6"	"147"	"51"	"18"	"1"	"1"	"3"	"3"	"3"	"5"	"5"	"4"	"16"	"286"	""	"286"	""
"55"	""	"42"	"41"	"0"	"148"	"9"	"2"	"1"	"4"	"1"	"4"	"1"	"1"	"2"	"2"	"4"	"220"	""	"220"	""
"56"	""	"Total -3"	"1349"	"77"	"1292"	"2219"	"571"	"50"	"38"	"32"	"47"	"37"	"52"	"33"	"66"	"146"	"6009"	"0"	"6009"	"0"
"57"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"61"	"Round No4"	"43"	"46"	"7"	"225"	"13"	"14"	"3"	"2"	"1"	"3"	"1"	"6"	"6"	"3"	"7"	"337"	""	"337"	""
"62"	""	"44"	"26"	"5"	"216"	"7"	"9"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"2"	"0"	"270"	""	"270"	""
"63"	""	"45"	"44"	"2"	"108"	"24"	"18"	"2"	"2"	"2"	"24"	"3"	"0"	"5"	"1"	"7"	"242"	""	"242"	""
"64"	""	"46"	"42"	"5"	"141"	"10"	"14"	"3"	"1"	"5"	"17"	"5"	"1"	"3"	"0"	"4"	"251"	""	"251"	""
"65"	""	"47"	"110"	"2"	"46"	"298"	"56"	"7"	"4"	"0"	"0"	"5"	"2"	"4"	"6"	"17"	"557"	""	"557"	""
"66"	""	"48"	"10"	"1"	"9"	"30"	"62"	"1"	"7"	"0"	"2"	"1"	"0"	"0"	"1"	"2"	"126"	""	"126"	""
"67"	""	"49"	"85"	"12"	"83"	"260"	"43"	"6"	"3"	"4"	"2"	"2"	"3"	"0"	"2"	"15"	"520"	""	"520"	""
"68"	""	"50"	"87"	"4"	"73"	"347"	"38"	"3"	"1"	"2"	"3"	"0"	"1"	"2"	"4"	"14"	"579"	""	"579"	""
"69"	""	"51"	"134"	"5"	"48"	"205"	"35"	"3"	"1"	"4"	"0"	"2"	"7"	"1"	"5"	"12"	"462"	""	"462"	""
"70"	""	"52"	"70"	"12"	"107"	"157"	"131"	"13"	"11"	"5"	"10"	"3"	"5"	"1"	"0"	"9"	"534"	""	"534"	""
"71"	""	"53"	"125"	"4"	"248"	"12"	"10"	"1"	"1"	"2"	"2"	"0"	"4"	"6"	"2"	"11"	"428"	""	"428"	""
"72"	""	"54"	"10"	"4"	"59"	"73"	"11"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"11"	"173"	""	"173"	""
"73"	""	"55"	"17"	"1"	"283"	"63"	"6"	"0"	"2"	"0"	"0"	"2"	"2"	"8"	"1"	"2"	"387"	""	"387"	""
"74"	""	"56"	"172"	"3"	"159"	"31"	"17"	"2"	"4"	"4"	"2"	"8"	"7"	"8"	"10"	"31"	"458"	""	"458"	""
"75"	""	"Total -4"	"978"	"67"	"1805"	"1530"	"464"	"44"	"39"	"30"	"68"	"34"	"39"	"45"	"39"	"142"	"5324"	"0"	"5324"	"0"
"76"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"80"	"Round No 5"	"57"	"55"	"5"	"228"	"148"	"25"	"4"	"4"	"4"	"6"	"4"	"5"	"4"	"8"	"44"	"544"	""	"544"	""
"81"	""	"58"	"11"	"6"	"34"	"258"	"21"	"1"	"1"	"1"	"0"	"0"	"2"	"3"	"1"	"8"	"347"	""	"347"	""
"82"	""	"59"	"164"	"14"	"195"	"137"	"31"	"3"	"2"	"7"	"5"	"0"	"6"	"6"	"9"	"46"	"625"	""	"625"	""
"83"	""	"60"	"252"	"15"	"78"	"123"	"35"	"6"	"5"	"11"	"3"	"4"	"7"	"5"	"8"	"13"	"565"	""	"565"	""
"84"	""	"61"	"90"	"9"	"168"	"146"	"36"	"3"	"1"	"3"	"6"	"0"	"5"	"1"	"3"	"12"	"483"	""	"483"	""
"85"	""	"62"	"50"	"7"	"112"	"257"	"45"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"33"	"511"	""	"511"	""
"86"	""	"63"	"85"	"4"	"70"	"1"	"28"	"2"	"2"	"0"	"1"	"1"	"0"	"3"	"0"	"8"	"205"	""	"205"	""
"87"	""	"64"	"63"	"5"	"241"	"18"	"15"	"1"	"0"	"1"	"2"	"0"	"2"	"4"	"2"	"6"	"360"	""	"360"	""
"88"	""	"65"	"198"	"4"	"56"	"74"	"35"	"1"	"3"	"1"	"3"	"2"	"0"	"0"	"3"	"12"	"392"	""	"392"	""
"89"	""	"66"	"67"	"12"	"39"	"198"	"25"	"1"	"2"	"4"	"3"	"3"	"3"	"3"	"1"	"63"	"424"	""	"424"	""
"90"	""	"67"	"159"	"3"	"18"	"143"	"14"	"1"	"2"	"1"	"0"	"1"	"2"	"2"	"6"	"98"	"450"	""	"450"	""
"91"	""	"68"	"181"	"7"	"120"	"124"	"28"	"6"	"0"	"2"	"4"	"0"	"2"	"0"	"2"	"6"	"482"	""	"482"	""
"92"	""	"69"	"171"	"9"	"20"	"148"	"19"	"2"	"3"	"6"	"4"	"1"	"4"	"0"	"7"	"22"	"416"	""	"416"	""
"93"	""	"70"	"52"	"3"	"95"	"76"	"12"	"1"	"4"	"2"	"3"	"0"	"0"	"0"	"2"	"9"	"259"	""	"259"	""
"94"	""	"Total -5"	"1598"	"103"	"1474"	"1851"	"369"	"34"	"30"	"44"	"40"	"17"	"39"	"31"	"53"	"380"	"6063"	"0"	"6063"	"0"
"95"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"99"	"Round No 6"	"71"	"43"	"8"	"76"	"208"	"30"	"4"	"3"	"6"	"4"	"3"	"5"	"4"	"7"	"7"	"408"	""	"408"	""
"100"	""	"72"	"440"	"20"	"40"	"30"	"8"	"3"	"5"	"0"	"2"	"1"	"1"	"2"	"1"	"5"	"558"	""	"558"	""
"101"	""	"73"	"22"	"0"	"31"	"179"	"18"	"1"	"1"	"2"	"0"	"1"	"1"	"1"	"1"	"16"	"274"	""	"274"	""
"102"	""	"74"	"6"	"3"	"29"	"264"	"23"	"1"	"1"	"3"	"3"	"0"	"0"	"0"	"1"	"13"	"347"	""	"347"	""
"103"	""	"75"	"44"	"5"	"51"	"185"	"46"	"3"	"1"	"7"	"3"	"0"	"5"	"3"	"7"	"32"	"392"	""	"392"	""
"104"	""	"76"	"102"	"16"	"71"	"81"	"79"	"1"	"3"	"2"	"1"	"0"	"2"	"4"	"2"	"16"	"380"	""	"380"	""
"105"	""	"77"	"74"	"1"	"192"	"5"	"7"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"0"	"4"	"289"	""	"289"	""
"106"	""	"78"	"53"	"3"	"180"	"60"	"15"	"2"	"0"	"0"	"1"	"0"	"3"	"3"	"3"	"14"	"337"	""	"337"	""
"107"	""	"79"	"145"	"15"	"25"	"105"	"45"	"2"	"7"	"8"	"9"	"8"	"7"	"0"	"7"	"21"	"404"	""	"404"	""
"108"	""	"80"	"40"	"4"	"139"	"13"	"13"	"0"	"3"	"4"	"3"	"2"	"1"	"0"	"2"	"6"	"230"	""	"230"	""
"109"	""	"81"	"17"	"10"	"40"	"197"	"56"	"1"	"3"	"3"	"0"	"1"	"2"	"4"	"7"	"42"	"383"	""	"383"	""
"110"	""	"82"	"117"	"1"	"132"	"72"	"66"	"6"	"3"	"1"	"4"	"3"	"3"	"3"	"13"	"17"	"441"	""	"441"	""
"111"	""	"83"	"144"	"11"	"136"	"17"	"6"	"3"	"3"	"3"	"1"	"1"	"4"	"4"	"2"	"4"	"339"	""	"339"	""
"112"	""	"84"	"52"	"9"	"36"	"60"	"11"	"2"	"2"	"3"	"4"	"0"	"6"	"4"	"2"	"13"	"204"	""	"204"	""
"113"	""	"Total -6"	"1299"	"106"	"1178"	"1476"	"423"	"30"	"35"	"42"	"35"	"22"	"41"	"34"	"55"	"210"	"4986"	"0"	"4986"	"0"
"114"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"118"	"Round No 7"	"85"	"220"	"3"	"103"	"81"	"17"	"3"	"5"	"4"	"6"	"4"	"2"	"4"	"3"	"25"	"480"	""	"480"	""
"119"	""	"86"	"70"	"6"	"11"	"336"	"33"	"2"	"6"	"4"	"5"	"1"	"6"	"3"	"10"	"8"	"501"	""	"501"	""
"120"	""	"87"	"417"	"3"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"5"	"440"	""	"440"	""
"121"	""	"88"	"383"	"6"	"41"	"55"	"17"	"2"	"3"	"5"	"23"	"1"	"7"	"5"	"3"	"13"	"564"	""	"564"	""
"122"	""	"89"	"56"	"9"	"171"	"31"	"9"	"3"	"3"	"2"	"3"	"3"	"2"	"5"	"5"	"17"	"319"	""	"319"	""
"123"	""	"90"	"21"	"3"	"166"	"3"	"7"	"1"	"1"	"0"	"3"	"0"	"0"	"1"	"0"	"4"	"210"	""	"210"	""
"124"	""	"91"	"60"	"3"	"147"	"40"	"9"	"1"	"2"	"1"	"0"	"3"	"2"	"1"	"4"	"9"	"282"	""	"282"	""
"125"	""	"92"	"1"	"4"	"73"	"80"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"164"	""	"164"	""
"126"	""	"93"	"29"	"1"	"33"	"128"	"9"	"2"	"0"	"3"	"2"	"0"	"1"	"0"	"1"	"0"	"209"	""	"209"	""
"127"	""	"94"	"119"	"9"	"35"	"138"	"13"	"4"	"5"	"1"	"5"	"2"	"6"	"2"	"3"	"10"	"352"	""	"352"	""
"128"	""	"95"	"135"	"9"	"17"	"66"	"13"	"4"	"2"	"2"	"1"	"3"	"2"	"0"	"0"	"5"	"259"	""	"259"	""
"129"	""	"96"	"141"	"6"	"29"	"181"	"17"	"6"	"3"	"3"	"5"	"3"	"3"	"3"	"7"	"34"	"441"	""	"441"	""
"130"	""	"97"	"122"	"11"	"59"	"192"	"83"	"8"	"3"	"1"	"5"	"5"	"9"	"3"	"13"	"28"	"542"	""	"542"	""
"131"	""	"98"	"216"	"24"	"31"	"29"	"25"	"5"	"2"	"5"	"6"	"3"	"4"	"1"	"2"	"21"	"374"	""	"374"	""
"132"	""	"Total -7"	"1990"	"97"	"917"	"1371"	"255"	"41"	"35"	"31"	"64"	"28"	"45"	"29"	"54"	"180"	"5137"	"0"	"5137"	"0"
"133"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"137"	"Round No 8"	"99"	"71"	"8"	"15"	"132"	"18"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"10"	"259"	""	"259"	""
"138"	""	"100"	"180"	"28"	"26"	"229"	"35"	"9"	"3"	"9"	"2"	"4"	"8"	"6"	"16"	"27"	"582"	""	"582"	""
"139"	""	"101"	"128"	"14"	"175"	"67"	"20"	"4"	"5"	"5"	"2"	"1"	"1"	"1"	"1"	"14"	"438"	""	"438"	""
"140"	""	"102"	"130"	"5"	"52"	"64"	"13"	"0"	"1"	"1"	"1"	"0"	"4"	"2"	"0"	"4"	"277"	""	"277"	""
"141"	""	"103"	"47"	"5"	"93"	"241"	"25"	"6"	"3"	"2"	"2"	"3"	"6"	"1"	"8"	"79"	"521"	""	"521"	""
"142"	""	"104"	"53"	"4"	"86"	"66"	"15"	"1"	"2"	"3"	"1"	"1"	"2"	"5"	"2"	"90"	"331"	""	"331"	""
"143"	""	"105"	"151"	"12"	"46"	"108"	"17"	"2"	"1"	"6"	"3"	"1"	"3"	"1"	"2"	"27"	"380"	""	"380"	""
"144"	""	"106"	"41"	"3"	"44"	"281"	"119"	"9"	"0"	"4"	"4"	"3"	"3"	"1"	"1"	"8"	"521"	""	"521"	""
"145"	""	"107"	"103"	"9"	"92"	"161"	"82"	"4"	"3"	"11"	"9"	"3"	"3"	"3"	"4"	"9"	"496"	""	"496"	""
"146"	""	"108"	"95"	"5"	"297"	"56"	"53"	"6"	"1"	"1"	"4"	"1"	"1"	"1"	"0"	"6"	"527"	""	"527"	""
"147"	""	"109"	"112"	"16"	"38"	"123"	"19"	"3"	"1"	"2"	"0"	"1"	"5"	"3"	"4"	"6"	"333"	""	"333"	""
"148"	""	"110"	"6"	"1"	"73"	"195"	"17"	"1"	"2"	"0"	"0"	"1"	"3"	"2"	"0"	"8"	"309"	""	"309"	""
"149"	""	"111"	"288"	"9"	"77"	"18"	"12"	"0"	"3"	"3"	"4"	"0"	"5"	"2"	"3"	"21"	"445"	""	"445"	""
"150"	""	"112"	"74"	"2"	"136"	"3"	"2"	"1"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"4"	"227"	""	"227"	""
"151"	""	"Total -8"	"1479"	"121"	"1250"	"1744"	"447"	"47"	"26"	"48"	"33"	"22"	"47"	"28"	"41"	"313"	"5646"	"0"	"5646"	"0"
"152"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
