"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-    249741"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 155-Kahalgaon"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"24"	"15"	"15"	"20"	"13"	"42"	"2"	"237"	"5"	"0"	"1"	"1"	"3"	"3"	"8"	"1"	"1"	""	"2"	"11"	"8"	"0"	"0"	"1"	"6"	"365"	"0"	"365"	"0"
"25"	"16"	"16"	"110"	"122"	"53"	"1"	"169"	"3"	"2"	"2"	"4"	"3"	"4"	"6"	"2"	"4"	""	"6"	"12"	"8"	"0"	"3"	"2"	"7"	"523"	"0"	"523"	"0"
"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Pag"	"e - 1/12"	""	"3"	"5"	"14"	"91"	"21"	"17"	"4"	"11"	"679"	"0"	"679"	"0"
"27"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"30"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"31"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"32"	"18"	"18"	"41"	"326"	"51"	"6"	"127"	"7"	"0"	"2"	"2"	"4"	"9"	"8"	"1"	"7"	""	"11"	"14"	"20"	"3"	"1"	"1"	"8"	"649"	"0"	"649"	"0"
"33"	"19"	"19"	"23"	"284"	"37"	"7"	"145"	"4"	"2"	"2"	"3"	"3"	"4"	"4"	"1"	"0"	""	"2"	"7"	"2"	"2"	"1"	"3"	"1"	"537"	"0"	"537"	"0"
"34"	"20"	"20"	"10"	"67"	"8"	"2"	"212"	"3"	"2"	"1"	"1"	"2"	"10"	"14"	"6"	"1"	""	"4"	"16"	"0"	"4"	"1"	"0"	"6"	"370"	"0"	"370"	"0"
"35"	"21"	"21"	"6"	"16"	"122"	"7"	"232"	"6"	"1"	"0"	"3"	"2"	"7"	"5"	"0"	"1"	""	"0"	"2"	"4"	"0"	"0"	"0"	"1"	"415"	"0"	"415"	"0"
"36"	"22"	"22"	"35"	"248"	"22"	"4"	"50"	"6"	"1"	"22"	"6"	"1"	"5"	"2"	"2"	"7"	""	"6"	"15"	"2"	"2"	"0"	"0"	"7"	"443"	"0"	"443"	"0"
"37"	"23"	"23"	"38"	"57"	"5"	"4"	"31"	"3"	"4"	"118"	"7"	"2"	"3"	"3"	"3"	"3"	""	"2"	"8"	"8"	"0"	"0"	"1"	"0"	"300"	"0"	"300"	"0"
"38"	"24"	"24"	"32"	"80"	"5"	"3"	"125"	"2"	"0"	"38"	"3"	"1"	"2"	"2"	"0"	"2"	""	"1"	"4"	"11"	"1"	"1"	"1"	"3"	"317"	"0"	"317"	"0"
"39"	"25"	"25"	"8"	"210"	"16"	"4"	"137"	"6"	"7"	"1"	"1"	"1"	"3"	"2"	"2"	"4"	""	"6"	"5"	"0"	"6"	"2"	"0"	"7"	"428"	"0"	"428"	"0"
"40"	"26"	"26"	"63"	"125"	"17"	"2"	"79"	"11"	"4"	"20"	"2"	"2"	"7"	"0"	"4"	"3"	""	"1"	"14"	"5"	"2"	"1"	"0"	"1"	"363"	"0"	"363"	"0"
"41"	"27"	"27"	"54"	"274"	"7"	"3"	"44"	"0"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"3"	""	"3"	"7"	"9"	"0"	"0"	"0"	"8"	"418"	"0"	"418"	"0"
"42"	"28"	"28"	"102"	"323"	"19"	"4"	"57"	"2"	"1"	"0"	"2"	"3"	"3"	"2"	"1"	"0"	""	"1"	"5"	"1"	"0"	"0"	"1"	"1"	"528"	"0"	"528"	"0"
"43"	"29"	"29"	"12"	"244"	"7"	"2"	"75"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"2"	""	"3"	"5"	"1"	"4"	"0"	"1"	"3"	"366"	"0"	"366"	"0"
"44"	"30"	"30"	"15"	"204"	"11"	"2"	"128"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	""	"8"	"5"	"2"	"1"	"0"	"0"	"6"	"387"	"0"	"387"	"0"
"45"	"31"	"31"	"26"	"300"	"6"	"2"	"31"	"3"	"2"	"0"	"0"	"2"	"0"	"1"	"4"	"4"	""	"11"	"7"	"0"	"1"	"1"	"0"	"1"	"402"	"0"	"402"	"0"
"46"	"32"	"32"	"18"	"163"	"16"	"1"	"90"	"6"	"0"	"1"	"7"	"1"	"2"	"4"	"4"	"0"	""	"1"	"4"	"3"	"2"	"3"	"1"	"4"	"331"	"0"	"331"	"0"
"47"	"33"	"33"	"13"	"103"	"35"	"3"	"95"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	""	"6"	"5"	"5"	"1"	"3"	"0"	"2"	"279"	"0"	"279"	"0"
"48"	"34"	"34"	"19"	"48"	"15"	"0"	"145"	"0"	"1"	"1"	"4"	"0"	"2"	"0"	"1"	"0"	""	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"238"	"0"	"238"	"0"
"49"	"35"	"35"	"13"	"145"	"12"	"6"	"51"	"6"	"2"	"2"	"2"	"1"	"5"	"2"	"3"	"2"	""	"6"	"3"	"1"	"3"	"0"	"0"	"0"	"265"	"0"	"265"	"0"
"50"	"36"	"36"	"135"	"283"	"22"	"5"	"84"	"5"	"3"	"27"	"4"	"7"	"8"	"8"	"2"	"10"	""	"12"	"15"	"3"	"8"	"0"	"0"	"4"	"645"	"0"	"645"	"0"
"51"	"37"	"37"	"13"	"118"	"4"	"23"	"112"	"0"	"1"	"67"	"1"	"0"	"2"	"5"	"5"	"1"	""	"2"	"11"	"5"	"9"	"0"	"0"	"4"	"383"	"0"	"383"	"0"
"52"	"38"	"38"	"78"	"92"	"3"	"5"	"159"	"8"	"1"	"92"	"1"	"6"	"5"	"8"	"0"	"4"	""	"7"	"13"	"4"	"3"	"0"	"1"	"4"	"494"	"0"	"494"	"0"
"53"	"39"	"39"	"121"	"250"	"9"	"10"	"88"	"2"	"0"	"11"	"3"	"1"	"8"	"6"	"3"	"4"	""	"8"	"11"	"4"	"1"	"0"	"0"	"2"	"542"	"0"	"542"	"0"
"54"	"40"	"40"	"164"	"152"	"14"	"4"	"35"	"1"	"3"	"28"	"5"	"108"	"5"	"7"	"8"	"7"	""	"4"	"36"	"19"	"4"	"2"	"0"	"4"	"610"	"0"	"610"	"0"
"55"	"41"	"41"	"83"	"178"	"11"	"11"	"127"	"3"	"4"	"80"	"7"	"2"	"5"	"1
Pag"	"e - 4/12 2"	"4"	""	"5"	"24"	"4"	"0"	"0"	"0"	"3"	"556"	"0"	"556"	"0"
"56"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"57"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"58"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"59"	"42"	"42"	"24"	"343"	"42"	"3"	"40"	"0"	"0"	"1"	"2"	"26"	"0"	"0"	"1"	"0"	""	"4"	"2"	"9"	"1"	"2"	"2"	"3"	"505"	"0"	"505"	"0"
"60"	"43"	"43"	"61"	"297"	"11"	"3"	"110"	"1"	"4"	"21"	"1"	"51"	"5"	"2"	"1"	"3"	""	"2"	"8"	"8"	"3"	"3"	"1"	"5"	"601"	"0"	"601"	"0"
"61"	"44"	"44"	"45"	"112"	"34"	"1"	"62"	"2"	"2"	"112"	"5"	"2"	"4"	"3"	"0"	"3"	""	"4"	"12"	"4"	"2"	"1"	"0"	"9"	"419"	"0"	"419"	"0"
"62"	"45"	"45"	"232"	"188"	"22"	"10"	"48"	"4"	"4"	"77"	"1"	"3"	"4"	"2"	"1"	"0"	""	"3"	"7"	"1"	"1"	"0"	"0"	"12"	"620"	"0"	"620"	"0"
"63"	"46"	"46"	"39"	"229"	"9"	"2"	"41"	"4"	"2"	"0"	"5"	"1"	"2"	"3"	"6"	"3"	""	"8"	"18"	"2"	"1"	"0"	"1"	"0"	"376"	"0"	"376"	"0"
"64"	"47"	"47"	"20"	"226"	"23"	"2"	"145"	"4"	"4"	"1"	"0"	"4"	"7"	"3"	"3"	"2"	""	"3"	"19"	"2"	"1"	"0"	"0"	"1"	"470"	"0"	"470"	"0"
"65"	"48"	"48"	"11"	"82"	"10"	"23"	"102"	"4"	"1"	"57"	"0"	"1"	"2"	"1"	"1"	"1"	""	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"301"	"0"	"301"	"0"
"66"	"49"	"49"	"45"	"279"	"50"	"6"	"39"	"2"	"1"	"2"	"1"	"2"	"2"	"4"	"6"	"0"	""	"4"	"10"	"9"	"3"	"0"	"1"	"4"	"470"	"0"	"470"	"0"
"67"	"50"	"50"	"85"	"183"	"21"	"3"	"100"	"4"	"1"	"2"	"0"	"0"	"3"	"1"	"2"	"4"	""	"3"	"12"	"4"	"1"	"0"	"3"	"3"	"435"	"0"	"435"	"0"
"68"	"51"	"51"	"5"	"300"	"14"	"2"	"31"	"3"	"1"	"1"	"3"	"3"	"4"	"0"	"1"	"3"	""	"13"	"9"	"6"	"4"	"3"	"1"	"3"	"410"	"0"	"410"	"0"
"69"	"52"	"52"	"43"	"168"	"124"	"6"	"149"	"4"	"3"	"4"	"2"	"6"	"13"	"8"	"7"	"14"	""	"9"	"23"	"6"	"18"	"3"	"1"	"1"	"612"	"0"	"612"	"0"
"70"	"53"	"53"	"11"	"35"	"59"	"11"	"107"	"5"	"3"	"7"	"3"	"5"	"21"	"6"	"1"	"2"	""	"4"	"48"	"3"	"95"	"1"	"0"	"1"	"428"	"0"	"428"	"0"
"71"	"54"	"54"	"6"	"119"	"12"	"4"	"129"	"2"	"1"	"0"	"3"	"2"	"7"	"2"	"2"	"2"	""	"3"	"8"	"2"	"7"	"0"	"1"	"5"	"317"	"0"	"317"	"0"
"72"	"55"	"55"	"14"	"264"	"26"	"6"	"13"	"3"	"1"	"0"	"2"	"23"	"3"	"2"	"2"	"3"	""	"9"	"10"	"7"	"17"	"4"	"1"	"6"	"416"	"0"	"416"	"0"
"73"	"56"	"56"	"30"	"423"	"37"	"3"	"64"	"7"	"2"	"6"	"5"	"1"	"7"	"5"	"8"	"4"	""	"15"	"20"	"9"	"41"	"8"	"2"	"8"	"705"	"0"	"705"	"0"
"74"	"57"	"57"	"186"	"101"	"8"	"5"	"209"	"6"	"1"	"3"	"2"	"1"	"4"	"2"	"1"	"4"	""	"2"	"5"	"12"	"5"	"3"	"1"	"12"	"573"	"0"	"573"	"0"
"75"	"58"	"58"	"11"	"13"	"123"	"9"	"31"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"9"	""	"3"	"7"	"1"	"0"	"0"	"7"	"2"	"222"	"0"	"222"	"0"
"76"	"59"	"59"	"6"	"209"	"35"	"3"	"58"	"6"	"1"	"0"	"2"	"2"	"1"	"3"	"3"	"3"	""	"6"	"17"	"1"	"2"	"4"	"0"	"1"	"363"	"0"	"363"	"0"
"77"	"60"	"60"	"11"	"202"	"62"	"7"	"61"	"1"	"1"	"3"	"0"	"3"	"2"	"2"	"1"	"3"	""	"3"	"4"	"3"	"3"	"0"	"0"	"1"	"373"	"0"	"373"	"0"
"78"	"61"	"61"	"38"	"120"	"146"	"3"	"52"	"2"	"5"	"1"	"1"	"15"	"2"	"2"	"2"	"8"	""	"7"	"16"	"13"	"89"	"5"	"4"	"7"	"538"	"0"	"538"	"0"
"79"	"62"	"62"	"26"	"226"	"46"	"7"	"99"	"4"	"1"	"0"	"1"	"1"	"1"	"1"	"2"	"2"	""	"2"	"1"	"1"	"4"	"1"	"1"	"2"	"429"	"0"	"429"	"0"
"80"	"63"	"63"	"33"	"98"	"118"	"18"	"229"	"9"	"0"	"3"	"0"	"7"	"16"	"7"	"8"	"11"	""	"4"	"18"	"9"	"0"	"1"	"0"	"2"	"591"	"0"	"591"	"0"
"81"	"64"	"64"	"10"	"162"	"35"	"4"	"203"	"7"	"2"	"0"	"0"	"0"	"2"	"0"	"4"	"0"	""	"2"	"6"	"2"	"5"	"2"	"1"	"5"	"452"	"0"	"452"	"0"
"82"	"65"	"65"	"44"	"308"	"60"	"7"	"167"	"7"	"3"	"1"	"4"	"4"	"8"	"6
Pag"	"e - 1/12 3"	"6"	""	"6"	"19"	"7"	"1"	"2"	"5"	"5"	"671"	"0"	"671"	"0"
"83"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"84"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"85"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"86"	"66"	"66"	"73"	"57"	"25"	"164"	"116"	"2"	"2"	"1"	"1"	"3"	"2"	"4"	"4"	"0"	""	"6"	"5"	"2"	"2"	"0"	"1"	"1"	"471"	"0"	"471"	"0"
"87"	"67"	"67"	"18"	"1"	"16"	"1"	"229"	"9"	"0"	"1"	"0"	"2"	"16"	"7"	"0"	"3"	""	"1"	"11"	"1"	"1"	"0"	"0"	"1"	"318"	"0"	"318"	"0"
"88"	"68"	"68"	"12"	"209"	"50"	"14"	"79"	"9"	"3"	"39"	"3"	"6"	"4"	"2"	"2"	"2"	""	"2"	"5"	"2"	"0"	"0"	"1"	"1"	"445"	"0"	"445"	"0"
"89"	"69"	"69"	"12"	"44"	"48"	"6"	"243"	"9"	"3"	"6"	"2"	"11"	"8"	"4"	"2"	"2"	""	"3"	"14"	"7"	"2"	"1"	"0"	"2"	"429"	"0"	"429"	"0"
"90"	"70"	"70"	"33"	"14"	"131"	"16"	"245"	"6"	"0"	"0"	"0"	"7"	"5"	"0"	"0"	"0"	""	"1"	"0"	"0"	"4"	"2"	"2"	"1"	"467"	"0"	"467"	"0"
"91"	"71"	"71"	"27"	"109"	"36"	"3"	"54"	"0"	"0"	"1"	"3"	"0"	"4"	"1"	"1"	"3"	""	"1"	"9"	"6"	"0"	"1"	"1"	"3"	"263"	"0"	"263"	"0"
"92"	"72"	"72"	"9"	"87"	"39"	"6"	"130"	"9"	"0"	"1"	"0"	"11"	"4"	"2"	"3"	"4"	""	"5"	"8"	"9"	"2"	"0"	"3"	"1"	"333"	"0"	"333"	"0"
"93"	"73"	"73"	"31"	"22"	"20"	"4"	"106"	"6"	"2"	"0"	"3"	"1"	"8"	"3"	"5"	"1"	""	"3"	"8"	"0"	"5"	"2"	"1"	"1"	"232"	"0"	"232"	"0"
"94"	"74"	"74"	"65"	"39"	"102"	"9"	"146"	"2"	"2"	"0"	"1"	"1"	"3"	"1"	"0"	"2"	""	"1"	"0"	"2"	"3"	"0"	"0"	"1"	"380"	"0"	"380"	"0"
"95"	"75"	"75"	"15"	"102"	"50"	"13"	"261"	"13"	"1"	"2"	"1"	"2"	"6"	"3"	"3"	"3"	""	"1"	"0"	"2"	"1"	"2"	"0"	"3"	"484"	"0"	"484"	"0"
"96"	"76"	"76"	"23"	"455"	"44"	"8"	"57"	"2"	"1"	"33"	"3"	"1"	"5"	"3"	"4"	"7"	""	"6"	"9"	"1"	"0"	"0"	"1"	"1"	"664"	"0"	"664"	"0"
"97"	"77"	"77"	"17"	"78"	"14"	"3"	"144"	"4"	"1"	"0"	"1"	"0"	"7"	"10"	"2"	"3"	""	"3"	"10"	"2"	"3"	"0"	"2"	"3"	"307"	"0"	"307"	"0"
"98"	"78"	"78"	"51"	"132"	"45"	"4"	"128"	"7"	"1"	"1"	"2"	"0"	"5"	"4"	"2"	"2"	""	"5"	"13"	"1"	"1"	"0"	"0"	"5"	"409"	"0"	"409"	"0"
"99"	"79"	"79"	"20"	"3"	"85"	"12"	"168"	"11"	"1"	"1"	"2"	"3"	"7"	"3"	"2"	"5"	""	"2"	"5"	"2"	"2"	"1"	"0"	"5"	"340"	"0"	"340"	"0"
"100"	"80"	"80"	"63"	"4"	"38"	"2"	"150"	"2"	"1"	"1"	"0"	"2"	"3"	"1"	"2"	"2"	""	"2"	"3"	"2"	"2"	"3"	"0"	"0"	"283"	"0"	"283"	"0"
"101"	"81"	"81"	"67"	"36"	"83"	"7"	"74"	"7"	"0"	"1"	"1"	"1"	"5"	"9"	"2"	"7"	""	"7"	"11"	"5"	"0"	"0"	"1"	"3"	"327"	"0"	"327"	"0"
"102"	"82"	"82"	"54"	"5"	"13"	"1"	"129"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	""	"1"	"4"	"1"	"0"	"0"	"0"	"1"	"214"	"0"	"214"	"0"
"103"	"83"	"83"	"8"	"318"	"48"	"11"	"71"	"4"	"1"	"3"	"3"	"4"	"4"	"4"	"2"	"8"	""	"6"	"22"	"1"	"2"	"1"	"1"	"3"	"525"	"0"	"596"	"0"
"104"	"84"	"84"	"19"	"136"	"184"	"12"	"82"	"2"	"2"	"3"	"5"	"4"	"2"	"5"	"3"	"4"	""	"5"	"19"	"5"	"6"	"1"	"1"	"0"	"500"	"0"	"500"	"0"
"105"	"85"	"85"	"3"	"26"	"164"	"7"	"111"	"2"	"0"	"0"	"0"	"7"	"10"	"4"	"3"	"4"	""	"3"	"20"	"1"	"0"	"0"	"1"	"0"	"366"	"0"	"366"	"0"
"106"	"86"	"86"	"40"	"44"	"97"	"8"	"301"	"9"	"0"	"2"	"3"	"4"	"6"	"5"	"7"	"3"	""	"9"	"25"	"5"	"6"	"8"	"1"	"11"	"594"	"0"	"594"	"0"
"107"	"87"	"87"	"13"	"267"	"37"	"7"	"149"	"7"	"4"	"0"	"4"	"10"	"11"	"6"	"6"	"6"	""	"9"	"27"	"1"	"22"	"1"	"1"	"8"	"596"	"0"	"#REF!"	"0"
"108"	"88"	"88"	"31"	"231"	"48"	"12"	"274"	"9"	"6"	"7"	"1"	"19"	"9"	"4"	"5"	"4"	""	"11"	"9"	"3"	"3"	"3"	"3"	"7"	"699"	"0"	"699"	"0"
"109"	"89"	"89"	"15"	"152"	"15"	"6"	"37"	"1"	"1"	"2"	"0"	"3"	"4"	"0
Pag"	"e - 1/12 4"	"0"	""	"1"	"4"	"18"	"82"	"7"	"5"	"19"	"373"	"0"	"373"	"0"
"110"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
