"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 9---ARARIA CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :9---ARARIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Assembly Constituency :46---Narpatganj                                                                                                                                        No of Voters :226970"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name
----->
"18"	"10"	"121"	"352"	""	"14"	""	"55"	""	"5"	""	"3"	""	"6"	""	"6"	""	"5"	""	"2"	""	"1"	""	"0"	"3"	""	"573"
"19"	"11"	"538"	"77"	""	"10"	""	"21"	""	"16"	""	"4"	""	"5"	""	"8"	""	"9"	""	"8"	""	"0"	""	"5"	"3"	""	"704"
"20"	"12"	"516"	"12"	""	"30"	""	"55"	""	"1"	""	"1"	""	"2"	""	"2"	""	"4"	""	"2"	""	"1"	""	"0"	"3"	""	"629"
"21"	"13"	"127"	"393"	""	"9"	""	"33"	""	"2"	""	"3"	""	"2"	""	"5"	""	"4"	""	"1"	""	"1"	""	"0"	"2"	""	"582"
"22"	"14"	"255"	"412"	""	"10"	""	"9"	""	"1"	""	"4"	""	"3"	""	"3"	""	"4"	""	"0"	""	"0"	""	"2"	"1"	""	"704"
"23"	"15"	"689"	"16"	""	"0"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"707"
"24"	"16"	"643"	"5"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"650"
"25"	"17"	"417"	"121"	""	"4"	""	"23"	""	"3"	""	"1"	""	"1"	""	"2"	""	"2"	""	"1"	""	"0"	""	"3"	"0"	""	"578"
"26"	"18"	"343"	"239"	""	"9"	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	"4"	""	"4"	""	"1"	""	"4"	"1"	""	"607"
"27"	"19"	"453"	"2"	""	"0"	""	"6"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"462"
"28"	"20"	"62"	"494"	""	"15"	""	"36"	""	"6"	""	"2"	""	"1"	""	"2"	""	"7"	""	"4"	""	"2"	""	"2"	"3"	""	"636"
"29"	"21"	"64"	"391"	""	"21"	""	"30"	""	"7"	""	"2"	""	"4"	""	"5"	""	"11"	""	"3"	""	"3"	""	"3"	"8"	""	"552"
"30"	"22"	"11"	"337"	""	"10"	""	"11"	""	"2"	""	"0"	""	"1"	""	"1"	""	"2"	""	"0"	""	"0"	""	"0"	"2"	""	"377"
"31"	"23"	"167"	"422"	""	"12"	""	"6"	""	"4"	""	"0"	""	"7"	""	"3"	""	"7"	""	"3"	""	"3"	""	"1"	"2"	""	"637"
"32"	"24"	"52"	"302"	""	"22"	""	"44"	""	"3"	""	"1"	""	"3"	""	"3"	""	"8"	""	"3"	""	"1"	""	"2"	"3"	""	"447"
"33"	"25"	"214"	"211"	""	"9"	""	"32"	""	"4"	""	"0"	""	"10"	""	"5"	""	"13"	""	"5"	""	"3"	""	"3"	"6"	""	"515"
"34"	"26"	"9"	"350"	""	"10"	""	"18"	""	"1"	""	"1"	""	"2"	""	"1"	""	"3"	""	"2"	""	"2"	""	"0"	"0"	""	"399"
"35"	"27"	"191"	"237"	""	"5"	""	"44"	""	"3"	""	"3"	""	"1"	""	"2"	""	"6"	""	"3"	""	"1"	""	"1"	"1"	""	"498"
"36"	"28"	"57"	"476"	""	"13"	""	"14"	""	"1"	""	"1"	""	"0"	""	"1"	""	"2"	""	"1"	""	"1"	""	"0"	"1"	""	"568"
"37"	"29"	"317"	"224"	""	"12"	""	"29"	""	"4"	""	"1"	""	"2"	""	"6"	""	"14"	""	"5"	""	"0"	""	"1"	"2"	""	"617"
"38"	"30"	"137"	"293"	""	"15"	""	"127"	""	"6"	""	"7"	""	"7"	""	"5"	""	"8"	""	"1"	""	"1"	""	"4"	"2"	""	"613"
"39"	"31"	"79"	"524"	""	"4"	""	"16"	""	"2"	""	"0"	""	"10"	""	"2"	""	"4"	""	"1"	""	"3"	""	"3"	"3"	""	"651"
"40"	"32"	"117"	"453"	""	"29"	""	"21"	""	"4"	""	"3"	""	"17"	""	"2"	""	"11"	""	"2"	""	"5"	""	"6"	"12"	""	"682"
"41"	"33"	"218"	"393"	""	"6"	""	"65"	""	"8"	""	"3"	""	"2"	""	"6"	""	"7"	""	"3"	""	"0"	""	"0"	"6"	""	"717"
"42"	"34"	"90"	"562"	""	"10"	""	"45"	""	"0"	""	"3"	""	"1"	""	"1"	""	"0"	""	"1"	""	"0"	""	"0"	"0"	""	"713"
"43"	"35"	"124"	"439"	""	"7"	""	"29"	""	"3"	""	"2"	""	"4"	""	"4"	""	"2"	""	"0"	""	"1"	""	"0"	"2"	""	"617"
"44"	"36"	"161"	"497"	""	"13"	""	"23"	""	"9"	""	"14"	""	"19"	""	"14"	""	"15"	""	"4"	""	"1"	""	"1"	"3"	""	"774"
"45"	"37"	"62"	"668"	""	"10"	""	"21"	""	"6"	""	"3"	""	"3"	""	"4"	""	"6"	""	"2"	""	"0"	""	"2"	"4"	""	"791"
"46"	"38"	"399"	"457"	""	"7"	""	"7"	""	"3"	""	"1"	""	"3"	""	"1"	""	"5"	""	"2"	""	"4"	""	"4"	"4"	""	"897"
"47"	"39"	"9"	"458"	""	"9"	""	"8"	""	"4"	""	"0"	""	"1"	""	"2"	""	"2"	""	"3"	""	"0"	""	"0"	"1"	""	"497"
"48"	"40"	"636"	"176"	""	"5"	""	"14"	""	"4"	""	"3"	""	"0"	""	"5"	""	"2"	""	"1"	""	"0"	""	"0"	"1"	""	"847"
"49"	"41"	"286"	"353"	""	"15"	""	"7"	""	"3"	""	"2"	""	"5"	""	"4"	""	"15"	""	"10"	""	"2"	""	"4"	"5"	""	"711"
"50"	"42"	"207"	"327"	""	"14"	""	"21"	""	"2"	""	"1"	""	"2"	""	"0"	""	"9"	""	"0"	""	"1"	""	"5"	"1"	""	"590"
"51"	"43"	"58"	"387"	""	"9"	""	"5"	""	"0"	""	"3"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"1"	"0"	""	"465"
"52"	"44"	"135"	"515"	""	"23"	""	"23"	""	"6"	""	"3"	""	"13"	""	"7"	""	"10"	""	"2"	""	"2"	""	"0"	"2"	""	"741"
"53"	"45"	"210"	"488"	""	"15"	""	"20"	""	"2"	""	"0"	""	"7"	""	"1"	""	"3"	""	"0"	""	"1"	""	"1"	"1"	""	"749"
"54"	"46"	"380"	"203"	""	"25"	""	"14"	""	"5"	""	"2"	""	"8"	""	"3"	""	"16"	""	"1"	""	"1"	""	"2"	"2"	""	"662"
"55"	"47"	"362"	"425"	""	"13"	""	"2"	""	"8"	""	"10"	""	"6"	""	"3"	""	"4"	""	"1"	""	"2"	""	"1"	"1"	""	"838"
"56"	"48"	"369"	"259"	""	"7"	""	"25"	""	"1"	""	"0"	""	"0"	""	"2"	""	"1"	""	"0"	""	"2"	""	"1"	"1"	""	"668"
"57"	"49"	"144"	"507"	""	"25"	""	"10"	""	"6"	""	"2"	""	"3"	""	"4"	""	"4"	""	"1"	""	"8"	""	"1"	"5"	""	"720"
"58"	"50"	"120"	"529"	""	"21"	""	"17"	""	"3"	""	"2"	""	"5"	""	"2"	""	"7"	""	"0"	""	"4"	""	"0"	"3"	""	"713"
"59"	"51"	"152"	"375"	""	"11"	""	"6"	""	"8"	""	"1"	""	"2"	""	"4"	""	"7"	""	"3"	""	"2"	""	"0"	"1"	""	"572"
"60"	"52"	"194"	"268"	""	"12"	""	"35"	""	"5"	""	"3"	""	"8"	""	"4"	""	"12"	""	"3"	""	"0"	""	"0"	"3"	""	"547"
"61"	"53"	"28"	"513"	""	"15"	""	"13"	""	"5"	""	"0"	""	"1"	""	"0"	""	"5"	""	"0"	""	"1"	""	"1"	"1"	""	"583"
"62"	"54"	"43"	"621"	""	"26"	""	"11"	""	"2"	""	"2"	""	"9"	""	"1"	""	"3"	""	"3"	""	"1"	""	"2"	"1"	""	"725"
"63"	"55"	"26"	"567"	""	"11"	""	"12"	""	"1"	""	"2"	""	"5"	""	"1"	""	"4"	""	"0"	""	"1"	""	"0"	"1"	""	"631"
"64"	"56"	"337"	"142"	""	"11"	""	"5"	""	"6"	""	"1"	""	"9"	""	"6"	""	"6"	""	"5"	""	"3"	""	"2"	"8"	""	"541"
"65"	"57"	"62"	"395"	""	"10"	""	"5"	""	"5"	""	"1"	""	"6"	""	"4"	""	"4"	""	"2"	""	"0"	""	"1"	"3"	""	"498"
"66"	"58"	"541"	"216"	""	"15"	""	"25"	""	"9"	""	"1"	""	"9"	""	"4"	""	"8"	""	"2"	""	"5"	""	"2"	"9"	""	"846"
"67"	"59"	"242"	"59"	""	"11"	""	"3"	""	"2"	""	"2"	""	"9"	""	"3"	""	"12"	""	"0"	""	"2"	""	"2"	"2"	""	"349"
"68"	"60"	"185"	"455"	""	"9"	""	"11"	""	"2"	""	"0"	""	"2"	""	"3"	""	"2"	""	"2"	""	"1"	""	"0"	"1"	""	"673"
"69"	"61"	"312"	"358"	""	"20"	""	"25"	""	"3"	""	"0"	""	"2"	""	"0"	""	"5"	""	"6"	""	"1"	""	"0"	"2"	""	"734"
"70"	"62"	"306"	"58"	""	"4"	""	"10"	""	"4"	""	"0"	""	"7"	""	"4"	""	"8"	""	"1"	""	"5"	""	"4"	"3"	""	"414"
"71"	"63"	"70"	"310"	""	"10"	""	"6"	""	"5"	""	"4"	""	"5"	""	"3"	""	"3"	""	"1"	""	"1"	""	"1"	"3"	""	"422"
"72"	"64"	"28"	"479"	""	"9"	""	"16"	""	"2"	""	"3"	""	"1"	""	"1"	""	"6"	""	"1"	""	"0"	""	"1"	"1"	""	"548"
"73"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"74"	""	"ZAKIR HUSSAIN KHAN"	"PRADEEP KUMAR SINGH"	""	"RAJA RAMAN BHASKAR"	""	"DR. SHAKEEL AHMAD KHAN"	""	"AYAJUDIN"	""	"KAMALI DEVI"	""	"NASIM AHMAD GHAZI"	""	"ABDUL GAFOOR"	""	"ABDUL WAHAB"	""	"OM PRAKASH"	""	"KANHAIYA KUMAR DAS"	""	"DINESH RATHOUR"	"NAND LAL PASWAN"	""	""
"75"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	"14"	""	"15"
"76"	"65"	"182"	"247"	""	"6"	""	"18"	""	"8"	""	"2"	""	"5"	""	"5"	""	"11"	""	"4"	""	"1"	""	"1"	"5"	""	"495"
"77"	"66"	"122"	"328"	""	"13"	""	"43"	""	"4"	""	"2"	""	"7"	""	"5"	""	"9"	""	"1"	""	"7"	""	"0"	"2"	""	"543"
"78"	"67"	"232"	"234"	""	"11"	""	"24"	""	"8"	""	"4"	""	"6"	""	"7"	""	"17"	""	"4"	""	"0"	""	"1"	"3"	""	"551"
"79"	"68"	"28"	"463"	""	"10"	""	"6"	""	"2"	""	"7"	""	"1"	""	"1"	""	"2"	""	"5"	""	"1"	""	"3"	"3"	""	"532"
"80"	"69"	"37"	"674"	""	"14"	""	"17"	""	"1"	""	"5"	""	"12"	""	"8"	""	"7"	""	"2"	""	"2"	""	"3"	"2"	""	"784"
"81"	"70"	"163"	"408"	""	"20"	""	"23"	""	"6"	""	"3"	""	"8"	""	"4"	""	"8"	""	"1"	""	"0"	""	"3"	"5"	""	"652"
"82"	"71"	"238"	"300"	""	"8"	""	"8"	""	"5"	""	"4"	""	"16"	""	"5"	""	"10"	""	"4"	""	"1"	""	"1"	"0"	""	"600"
"83"	"72"	"257"	"398"	""	"3"	""	"16"	""	"1"	""	"2"	""	"1"	""	"2"	""	"3"	""	"0"	""	"0"	""	"0"	"3"	""	"686"
"84"	"73"	"57"	"530"	""	"12"	""	"9"	""	"0"	""	"1"	""	"5"	""	"2"	""	"1"	""	"2"	""	"0"	""	"2"	"0"	""	"621"
"85"	"74"	"180"	"397"	""	"24"	""	"14"	""	"6"	""	"6"	""	"10"	""	"6"	""	"10"	""	"5"	""	"4"	""	"4"	"5"	""	"671"
"86"	"75"	"273"	"198"	""	"9"	""	"6"	""	"4"	""	"1"	""	"10"	""	"2"	""	"4"	""	"2"	""	"2"	""	"1"	"7"	""	"519"
"87"	"76"	"80"	"396"	""	"12"	""	"10"	""	"2"	""	"1"	""	"2"	""	"1"	""	"1"	""	"2"	""	"0"	""	"1"	"4"	""	"512"
"88"	"77"	"547"	"219"	""	"4"	""	"6"	""	"1"	""	"0"	""	"0"	""	"0"	""	"3"	""	"0"	""	"1"	""	"0"	"1"	""	"782"
"89"	"78"	"254"	"365"	""	"17"	""	"9"	""	"2"	""	"2"	""	"8"	""	"2"	""	"6"	""	"4"	""	"1"	""	"3"	"2"	""	"675"
"90"	"79"	"406"	"162"	""	"4"	""	"6"	""	"3"	""	"2"	""	"5"	""	"2"	""	"6"	""	"2"	""	"1"	""	"3"	"3"	""	"605"
"91"	"80"	"494"	"1"	""	"1"	""	"0"	""	"1"	""	"0"	""	"4"	""	"1"	""	"2"	""	"1"	""	"0"	""	"0"	"0"	""	"505"
"92"	"81"	"154"	"201"	""	"7"	""	"2"	""	"1"	""	"1"	""	"24"	""	"2"	""	"10"	""	"1"	""	"3"	""	"1"	"10"	""	"417"
"93"	"82"	"278"	"120"	""	"12"	""	"16"	""	"10"	""	"0"	""	"4"	""	"4"	""	"6"	""	"3"	""	"2"	""	"0"	"0"	""	"455"
"94"	"83"	"189"	"144"	""	"8"	""	"11"	""	"10"	""	"3"	""	"8"	""	"6"	""	"5"	""	"8"	""	"3"	""	"6"	"11"	""	"412"
"95"	"84"	"191"	"317"	""	"10"	""	"55"	""	"4"	""	"0"	""	"0"	""	"3"	""	"2"	""	"4"	""	"3"	""	"0"	"4"	""	"593"
"96"	"85"	"58"	"464"	""	"23"	""	"14"	""	"3"	""	"3"	""	"10"	""	"6"	""	"9"	""	"6"	""	"1"	""	"2"	"0"	""	"599"
"97"	"86"	"41"	"548"	""	"14"	""	"9"	""	"2"	""	"2"	""	"0"	""	"0"	""	"7"	""	"4"	""	"0"	""	"3"	"8"	""	"638"
"98"	"87"	"224"	"259"	""	"17"	""	"22"	""	"8"	""	"2"	""	"5"	""	"3"	""	"12"	""	"1"	""	"5"	""	"3"	"0"	""	"561"
"99"	"88"	"149"	"447"	""	"20"	""	"7"	""	"3"	""	"0"	""	"2"	""	"0"	""	"9"	""	"4"	""	"4"	""	"1"	"1"	""	"647"
"100"	"89"	"372"	"135"	""	"5"	""	"5"	""	"2"	""	"1"	""	"2"	""	"2"	""	"5"	""	"4"	""	"0"	""	"0"	"2"	""	"535"
"101"	"90"	"27"	"545"	""	"9"	""	"7"	""	"1"	""	"1"	""	"0"	""	"0"	""	"3"	""	"1"	""	"1"	""	"1"	"0"	""	"596"
"102"	"91"	"244"	"472"	""	"15"	""	"11"	""	"2"	""	"1"	""	"0"	""	"2"	""	"5"	""	"1"	""	"2"	""	"1"	"4"	""	"760"
"103"	"92"	"145"	"636"	""	"10"	""	"9"	""	"2"	""	"0"	""	"6"	""	"3"	""	"1"	""	"1"	""	"0"	""	"2"	"0"	""	"815"
"104"	"93"	"216"	"483"	""	"23"	""	"25"	""	"2"	""	"4"	""	"9"	""	"4"	""	"6"	""	"3"	""	"3"	""	"1"	"2"	""	"781"
"105"	"94"	"527"	"306"	""	"41"	""	"8"	""	"2"	""	"3"	""	"0"	""	"3"	""	"2"	""	"3"	""	"2"	""	"1"	"4"	""	"902"
"106"	"95"	"56"	"525"	""	"40"	""	"17"	""	"0"	""	"2"	""	"2"	""	"0"	""	"4"	""	"2"	""	"2"	""	"9"	"1"	""	"660"
"107"	"96"	"162"	"521"	""	"111"	""	"14"	""	"5"	""	"1"	""	"3"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"818"
"108"	"97"	"714"	"60"	""	"11"	""	"6"	""	"0"	""	"3"	""	"0"	""	"0"	""	"5"	""	"2"	""	"2"	""	"0"	"3"	""	"806"
"109"	"98"	"325"	"267"	""	"4"	""	"3"	""	"2"	""	"2"	""	"2"	""	"1"	""	"3"	""	"0"	""	"1"	""	"0"	"2"	""	"612"
"110"	"99"	"240"	"271"	""	"10"	""	"6"	""	"1"	""	"0"	""	"0"	""	"2"	""	"3"	""	"0"	""	"1"	""	"0"	"0"	""	"534"
"111"	"100"	"706"	"18"	""	"1"	""	"17"	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"1"	""	"0"	"0"	""	"745"
"112"	"101"	"19"	"269"	""	"7"	""	"8"	""	"3"	""	"1"	""	"0"	""	"0"	""	"2"	""	"1"	""	"0"	""	"1"	"1"	""	"312"
"113"	"102"	"703"	"9"	""	"3"	""	"3"	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	"0"	""	"0"	""	"0"	"0"	""	"721"
"114"	"103"	"505"	"226"	""	"8"	""	"2"	""	"1"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"1"	"1"	""	"746"
"115"	"104"	"85"	"245"	""	"9"	""	"182"	""	"7"	""	"0"	""	"9"	""	"1"	""	"6"	""	"5"	""	"0"	""	"5"	"7"	""	"561"
"116"	"105"	"258"	"230"	""	"16"	""	"102"	""	"10"	""	"3"	""	"3"	""	"7"	""	"13"	""	"6"	""	"6"	""	"4"	"9"	""	"667"
"117"	"106"	"190"	"165"	""	"11"	""	"10"	""	"5"	""	"3"	""	"13"	""	"6"	""	"4"	""	"2"	""	"3"	""	"1"	"18"	""	"431"
"118"	"107"	"291"	"363"	""	"8"	""	"8"	""	"5"	""	"2"	""	"2"	""	"2"	""	"0"	""	"1"	""	"0"	""	"1"	"1"	""	"684"
"119"	"108"	"721"	"16"	""	"0"	""	"6"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	"0"	""	"745"
"120"	"109"	"26"	"346"	""	"17"	""	"26"	""	"4"	""	"4"	""	"0"	""	"2"	""	"3"	""	"2"	""	"2"	""	"3"	"1"	""	"436"
"121"	"110"	"203"	"334"	""	"1"	""	"8"	""	"4"	""	"1"	""	"1"	""	"2"	""	"2"	""	"0"	""	"2"	""	"0"	"1"	""	"559"
"122"	"111"	"85"	"264"	""	"3"	""	"8"	""	"1"	""	"0"	""	"2"	""	"3"	""	"4"	""	"2"	""	"0"	""	"0"	"1"	""	"373"
"123"	"112"	"117"	"383"	""	"13"	""	"7"	""	"4"	""	"2"	""	"5"	""	"3"	""	"8"	""	"4"	""	"2"	""	"2"	"1"	""	"551"
"124"	"113"	"68"	"506"	""	"17"	""	"16"	""	"4"	""	"1"	""	"5"	""	"2"	""	"8"	""	"2"	""	"1"	""	"0"	"3"	""	"633"
"125"	"114"	"191"	"302"	""	"8"	""	"38"	""	"8"	""	"4"	""	"1"	""	"3"	""	"9"	""	"4"	""	"3"	""	"1"	"3"	""	"575"
"126"	"115"	"192"	"372"	""	"19"	""	"40"	""	"10"	""	"2"	""	"7"	""	"6"	""	"10"	""	"4"	""	"3"	""	"3"	"4"	""	"672"
"127"	"116"	"228"	"344"	""	"9"	""	"3"	""	"6"	""	"3"	""	"3"	""	"1"	""	"4"	""	"2"	""	"0"	""	"3"	"1"	""	"607"
"128"	"117"	"356"	"213"	""	"11"	""	"15"	""	"5"	""	"1"	""	"3"	""	"5"	""	"5"	""	"4"	""	"2"	""	"0"	"2"	""	"622"
"129"	"118"	"129"	"461"	""	"19"	""	"3"	""	"4"	""	"0"	""	"1"	""	"5"	""	"5"	""	"5"	""	"3"	""	"5"	"4"	""	"644"
"130"	"119"	"36"	"395"	""	"6"	""	"13"	""	"2"	""	"3"	""	"2"	""	"3"	""	"1"	""	"0"	""	"1"	""	"2"	"1"	""	"465"
"131"	"120"	"92"	"447"	""	"14"	""	"12"	""	"5"	""	"1"	""	"10"	""	"0"	""	"5"	""	"1"	""	"1"	""	"0"	"3"	""	"591"
"132"	"121"	"186"	"253"	""	"11"	""	"26"	""	"12"	""	"4"	""	"8"	""	"6"	""	"13"	""	"3"	""	"0"	""	"1"	"3"	""	"526"
"133"	"122"	"453"	"6"	""	"2"	""	"17"	""	"2"	""	"2"	""	"3"	""	"1"	""	"3"	""	"0"	""	"0"	""	"1"	"0"	""	"490"
"134"	"123"	"186"	"284"	""	"11"	""	"5"	""	"3"	""	"2"	""	"6"	""	"2"	""	"9"	""	"2"	""	"2"	""	"11"	"4"	""	"527"
"135"	"124"	"241"	"209"	""	"2"	""	"2"	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	"0"	""	"457"
"136"	"125"	"401"	"183"	""	"3"	""	"2"	""	"3"	""	"1"	""	"1"	""	"2"	""	"2"	""	"3"	""	"2"	""	"0"	"2"	""	"605"
"137"	"126"	"222"	"396"	""	"19"	""	"10"	""	"4"	""	"5"	""	"6"	""	"2"	""	"6"	""	"5"	""	"4"	""	"5"	"7"	""	"691"
"138"	"127"	"32"	"515"	""	"17"	""	"13"	""	"3"	""	"2"	""	"1"	""	"1"	""	"6"	""	"2"	""	"2"	""	"2"	"1"	""	"597"
"139"	"128"	"75"	"399"	""	"9"	""	"7"	""	"1"	""	"4"	""	"5"	""	"6"	""	"8"	""	"1"	""	"0"	""	"0"	"1"	""	"516"
"140"	"129"	"368"	"39"	""	"2"	""	"5"	""	"0"	""	"0"	""	"7"	""	"1"	""	"4"	""	"2"	""	"0"	""	"0"	"0"	""	"428"
"141"	"130"	"192"	"277"	""	"10"	""	"6"	""	"1"	""	"1"	""	"0"	""	"1"	""	"2"	""	"4"	""	"2"	""	"4"	"4"	""	"504"
"142"	"131"	"164"	"66"	""	"0"	""	"8"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"238"
"143"	"132"	"290"	"22"	""	"2"	""	"5"	""	"1"	""	"1"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	"0"	""	"323"
"144"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"145"	""	"ZAKIR HUSSAIN KHAN"	"PRADEEP KUMAR SINGH"	""	"RAJA RAMAN BHASKAR"	""	"DR. SHAKEEL AHMAD KHAN"	""	"AYAJUDIN"	""	"KAMALI DEVI"	""	"NASIM AHMAD GHAZI"	""	"ABDUL GAFOOR"	""	"ABDUL WAHAB"	""	"OM PRAKASH"	""	"KANHAIYA KUMAR DAS"	""	"DINESH RATHOUR"	"NAND LAL PASWAN"	""	""
"146"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	"14"	""	"15"
"147"	"133"	"603"	"1"	""	"0"	""	"8"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"612"
"148"	"134"	"11"	"348"	""	"8"	""	"7"	""	"4"	""	"2"	""	"1"	""	"1"	""	"4"	""	"1"	""	"0"	""	"0"	"2"	""	"389"
