"X..usDpj....XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"¼v/; k; & XIV  i kj k 26.9 ½ QkeZ & 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v afr e  i fj . kke  Ik="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu; e  56 C (2) nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"34&l kl kj ke l al nh;  fuokZpu {ks= l s yksd  l Hkk ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"pØ  l añ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"fo/kku l Hkk fuokZpu {ks= esa fuokZpdksa dh dqy  l a[ ; k 201376"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 204&eksgfu; ka  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"23"	"13"	"137"	"34"	"29"	"38"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"244"	""	"244"	""
"24"	"14"	"133"	"58"	"101"	"29"	"3"	"11"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"341"	""	"341"	""
"25"	"TOTAL"	"1431"	"1113"	"856"	"865"	"39"	"332"	"15"	"13"	"8"	"34"	"16"	"6"	"21"	"26"	"9"	"42"	"4826"	"0"	"4826"	"0"
"26"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 204&eksgfu; ka  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"28"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"29"	"BF"	"1431"	"1113"	"856"	"865"	"39"	"332"	"15"	"13"	"8"	"34"	"16"	"6"	"21"	"26"	"9"	"42"	"4826"	"0"	"4826"	"0"
"30"	"15"	"65"	"84"	"38"	"32"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"230"	""	"230"	""
"31"	"16"	"245"	"125"	"44"	"100"	"6"	"9"	"8"	"4"	"3"	"4"	"4"	"1"	"8"	"6"	"1"	"6"	"574"	""	"574"	""
"32"	"17"	"102"	"71"	"90"	"63"	"7"	"50"	"6"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"10"	"405"	""	"405"	""
"33"	"18"	"74"	"102"	"91"	"61"	"15"	"11"	"11"	"3"	"3"	"3"	"2"	"0"	"3"	"2"	"2"	"1"	"384"	""	"384"	""
"34"	"19"	"22"	"44"	"20"	"8"	"3"	"11"	"108"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"7"	"228"	""	"228"	""
"35"	"20"	"100"	"87"	"107"	"99"	"1"	"4"	"0"	"2"	"1"	"0"	"3"	"2"	"3"	"7"	"3"	"8"	"427"	""	"427"	""
"36"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"37"	"22"	"18"	"117"	"74"	"74"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"288"	""	"288"	""
"38"	"23"	"93"	"28"	"14"	"54"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"3"	"198"	""	"198"	""
"39"	"24"	"55"	"26"	"18"	"110"	"1"	"14"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"4"	"0"	"1"	"234"	""	"234"	""
"40"	"25"	"180"	"156"	"33"	"67"	"10"	"0"	"3"	"2"	"1"	"0"	"1"	"0"	"1"	"5"	"1"	"2"	"462"	""	"462"	""
"41"	"26"	"30"	"51"	"9"	"91"	"16"	"3"	"1"	"0"	"1"	"3"	"5"	"3"	"3"	"1"	"3"	"3"	"223"	""	"223"	""
"42"	"27"	"143"	"225"	"43"	"179"	"4"	"4"	"3"	"0"	"4"	"1"	"1"	"2"	"3"	"10"	"1"	"10"	"633"	""	"633"	""
"43"	"28"	"64"	"117"	"70"	"100"	"3"	"96"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"456"	""	"456"	""
"44"	"TOTAL"	"2622"	"2346"	"1507"	"1903"	"109"	"539"	"158"	"28"	"21"	"47"	"35"	"16"	"48"	"68"	"26"	"95"	"9568"	"0"	"9568"	"0"
"45"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 204&eksgfu; ka  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"47"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"48"	"BF"	"2622"	"2346"	"1507"	"1903"	"109"	"539"	"158"	"28"	"21"	"47"	"35"	"16"	"48"	"68"	"26"	"95"	"9568"	"0"	"9568"	"0"
"49"	"29"	"2"	"105"	"64"	"50"	"1"	"27"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"4"	"0"	"1"	"260"	""	"260"	""
"50"	"30"	"28"	"118"	"30"	"329"	"7"	"105"	"3"	"0"	"0"	"1"	"2"	"1"	"3"	"4"	"1"	"2"	"634"	""	"634"	""
"51"	"31"	"13"	"160"	"14"	"30"	"0"	"2"	"71"	"1"	"2"	"2"	"4"	"0"	"0"	"2"	"0"	"2"	"303"	""	"303"	""
"52"	"32"	"16"	"168"	"101"	"40"	"1"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"339"	""	"339"	""
"53"	"33"	"350"	"32"	"31"	"4"	"0"	"1"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"4"	"428"	""	"428"	""
"54"	"34"	"110"	"238"	"76"	"95"	"8"	"13"	"1"	"2"	"2"	"2"	"2"	"1"	"0"	"4"	"3"	"4"	"561"	""	"561"	""
"55"	"35"	"94"	"84"	"95"	"90"	"9"	"3"	"2"	"2"	"4"	"0"	"4"	"2"	"6"	"16"	"4"	"15"	"430"	""	"430"	""
"56"	"36"	"208"	"83"	"261"	"129"	"7"	"7"	"1"	"1"	"3"	"3"	"3"	"3"	"4"	"3"	"1"	"3"	"720"	""	"720"	""
"57"	"37"	"41"	"103"	"120"	"22"	"2"	"41"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"337"	""	"337"	""
"58"	"38"	"84"	"70"	"142"	"34"	"2"	"26"	"1"	"2"	"2"	"3"	"2"	"0"	"1"	"3"	"0"	"1"	"373"	""	"373"	""
"59"	"39"	"20"	"38"	"251"	"16"	"2"	"23"	"1"	"3"	"3"	"1"	"0"	"2"	"0"	"5"	"4"	"8"	"377"	""	"377"	""
"60"	"40"	"421"	"22"	"22"	"23"	"4"	"0"	"0"	"2"	"1"	"2"	"0"	"1"	"2"	"7"	"2"	"24"	"533"	""	"533"	""
"61"	"41"	"3"	"52"	"3"	"7"	"1"	"196"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"266"	""	"266"	""
"62"	"42"	"73"	"109"	"40"	"18"	"149"	"28"	"2"	"3"	"1"	"7"	"0"	"2"	"3"	"1"	"5"	"6"	"447"	""	"447"	""
"63"	"TOTAL"	"4085"	"3728"	"2757"	"2790"	"302"	"1017"	"242"	"48"	"42"	"74"	"52"	"32"	"70"	"118"	"48"	"171"	"15576"	"0"	"15576"	"0"
"64"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 204&eksgfu; ka  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"66"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"67"	"BF"	"4085"	"3728"	"2757"	"2790"	"302"	"1017"	"242"	"48"	"42"	"74"	"52"	"32"	"70"	"118"	"48"	"171"	"15576"	"0"	"15576"	"0"
"68"	"43"	"31"	"165"	"189"	"40"	"77"	"60"	"2"	"4"	"1"	"0"	"2"	"0"	"2"	"0"	"3"	"1"	"577"	""	"577"	""
"69"	"44"	"4"	"136"	"127"	"10"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	""	"283"	""
"70"	"45"	"48"	"165"	"59"	"147"	"2"	"63"	"4"	"1"	"1"	"2"	"0"	"1"	"5"	"3"	"1"	"0"	"502"	""	"502"	""
"71"	"46"	"41"	"173"	"91"	"56"	"1"	"11"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"382"	""	"382"	""
"72"	"47"	"21"	"81"	"19"	"48"	"3"	"41"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"4"	"0"	"0"	"221"	""	"221"	""
"73"	"48"	"19"	"59"	"83"	"64"	"2"	"0"	"1"	"0"	"3"	"1"	"2"	"0"	"1"	"3"	"1"	"1"	"240"	""	"240"	""
"74"	"49"	"2"	"137"	"39"	"9"	"90"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	""	"280"	""
"75"	"50"	"11"	"111"	"52"	"26"	"24"	"8"	"0"	"1"	"0"	"8"	"0"	"0"	"1"	"1"	"2"	"5"	"250"	""	"250"	""
"76"	"51"	"130"	"173"	"48"	"21"	"160"	"74"	"7"	"4"	"8"	"82"	"3"	"4"	"2"	"3"	"3"	"14"	"736"	""	"736"	""
"77"	"52"	"37"	"216"	"63"	"50"	"26"	"6"	"0"	"0"	"3"	"2"	"0"	"0"	"2"	"2"	"3"	"2"	"412"	""	"412"	""
"78"	"53"	"102"	"138"	"71"	"43"	"52"	"11"	"1"	"2"	"1"	"0"	"2"	"2"	"0"	"4"	"0"	"1"	"430"	""	"430"	""
"79"	"54"	"38"	"96"	"182"	"30"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"354"	""	"354"	""
"80"	"55"	"47"	"63"	"80"	"4"	"2"	"9"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	""	"209"	""
"81"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"82"	"TOTAL"	"4616"	"5441"	"3860"	"3338"	"747"	"1306"	"261"	"63"	"61"	"173"	"62"	"39"	"84"	"141"	"62"	"198"	"20452"	"0"	"20452"	"0"
"83"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 204&eksgfu; ka  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"85"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"86"	"BF"	"4616"	"5441"	"3860"	"3338"	"747"	"1306"	"261"	"63"	"61"	"173"	"62"	"39"	"84"	"141"	"62"	"198"	"20452"	"0"	"20452"	"0"
"87"	"57"	"10"	"131"	"13"	"15"	"1"	"3"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"180"	""	"180"	""
"88"	"58"	"35"	"180"	"14"	"10"	"2"	"66"	"1"	"0"	"1"	"3"	"3"	"1"	"2"	"3"	"1"	"4"	"326"	""	"326"	""
"89"	"59"	"80"	"51"	"81"	"28"	"1"	"55"	"4"	"0"	"5"	"0"	"0"	"0"	"0"	"2"	"1"	"8"	"316"	""	"316"	""
"90"	"60"	"1"	"6"	"19"	"3"	"1"	"264"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	""	"296"	""
"91"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"92"	"62"	"201"	"87"	"130"	"106"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"4"	"0"	"0"	"533"	""	"533"	""
"93"	"63"	"207"	"70"	"211"	"61"	"1"	"1"	"4"	"0"	"0"	"2"	"0"	"0"	"3"	"3"	"0"	"5"	"568"	""	"568"	""
"94"	"64"	"93"	"41"	"35"	"6"	"0"	"63"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"244"	""	"244"	""
"95"	"65"	"117"	"132"	"335"	"51"	"5"	"1"	"2"	"5"	"2"	"2"	"0"	"0"	"0"	"1"	"4"	"3"	"660"	""	"660"	""
"96"	"66"	"10"	"111"	"266"	"12"	"5"	"19"	"3"	"2"	"2"	"4"	"0"	"3"	"3"	"2"	"0"	"3"	"445"	""	"445"	""
"97"	"67"	"283"	"54"	"90"	"7"	"2"	"3"	"0"	"0"	"4"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"447"	""	"447"	""
"98"	"68"	"41"	"77"	"145"	"25"	"19"	"4"	"1"	"0"	"1"	"1"	"5"	"4"	"4"	"6"	"2"	"9"	"344"	""	"344"	""
"99"	"69"	"564"	"46"	"58"	"6"	"0"	"3"	"0"	"2"	"2"	"6"	"3"	"1"	"3"	"1"	"2"	"21"	"718"	""	"718"	""
"100"	"70"	"85"	"307"	"156"	"51"	"5"	"7"	"1"	"1"	"3"	"1"	"0"	"2"	"1"	"2"	"1"	"0"	"623"	""	"623"	""
"101"	"TOTAL"	"6343"	"6734"	"5413"	"3719"	"789"	"1796"	"278"	"78"	"84"	"193"	"75"	"51"	"102"	"166"	"74"	"257"	"26152"	"0"	"26152"	"0"
"102"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 204&eksgfu; ka  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"104"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"105"	"BF"	"6343"	"6734"	"5413"	"3719"	"789"	"1796"	"278"	"78"	"84"	"193"	"75"	"51"	"102"	"166"	"74"	"257"	"26152"	"0"	"26152"	"0"
"106"	"71"	"228"	"130"	"177"	"17"	"4"	"4"	"3"	"0"	"3"	"4"	"1"	"0"	"2"	"0"	"1"	"5"	"579"	""	"579"	""
"107"	"72"	"94"	"16"	"141"	"198"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"452"	""	"452"	""
"108"	"73"	"28"	"175"	"20"	"39"	"7"	"115"	"4"	"1"	"0"	"5"	"4"	"2"	"3"	"5"	"0"	"2"	"410"	""	"410"	""
"109"	"74"	"104"	"229"	"50"	"122"	"0"	"26"	"2"	"0"	"2"	"2"	"1"	"0"	"3"	"4"	"0"	"7"	"552"	""	"552"	""
"110"	"75"	"138"	"33"	"71"	"106"	"1"	"1"	"4"	"0"	"0"	"3"	"2"	"3"	"3"	"2"	"3"	"2"	"372"	""	"372"	""
"111"	"76"	"44"	"57"	"110"	"34"	"20"	"4"	"0"	"4"	"0"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"280"	""	"280"	""
"112"	"77"	"108"	"184"	"19"	"39"	"9"	"67"	"0"	"2"	"0"	"7"	"0"	"2"	"1"	"1"	"0"	"1"	"440"	""	"440"	""
"113"	"78"	"25"	"46"	"11"	"43"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"133"	""	"133"	""
"114"	"79"	"119"	"161"	"85"	"36"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"1"	"2"	"411"	""	"411"	""
"115"	"80"	"42"	"33"	"67"	"115"	"1"	"5"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"5"	"1"	"3"	"277"	""	"277"	""
"116"	"81"	"271"	"77"	"18"	"45"	"1"	"45"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"0"	"3"	"5"	"470"	""	"470"	""
"117"	"82"	"13"	"125"	"157"	"44"	"0"	"1"	"3"	"1"	"0"	"1"	"0"	"1"	"3"	"3"	"3"	"11"	"366"	""	"366"	""
"118"	"83"	"40"	"210"	"10"	"56"	"2"	"1"	"0"	"1"	"1"	"2"	"2"	"0"	"0"	"5"	"4"	"4"	"338"	""	"338"	""
"119"	"84"	"9"	"117"	"89"	"54"	"4"	"21"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"4"	"3"	"1"	"307"	""	"307"	""
"120"	"TOTAL"	"7606"	"8327"	"6438"	"4667"	"842"	"2088"	"295"	"89"	"93"	"223"	"88"	"62"	"122"	"201"	"94"	"304"	"31539"	"0"	"31539"	"0"
"121"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 204&eksgfu; ka  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"123"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"124"	"BF"	"7606"	"8327"	"6438"	"4667"	"842"	"2088"	"295"	"89"	"93"	"223"	"88"	"62"	"122"	"201"	"94"	"304"	"31539"	"0"	"31539"	"0"
"125"	"85"	"5"	"149"	"119"	"38"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"318"	""	"318"	""
"126"	"86"	"7"	"287"	"191"	"130"	"2"	"4"	"0"	"0"	"4"	"1"	"0"	"1"	"2"	"3"	"0"	"4"	"636"	""	"636"	""
"127"	"87"	"18"	"95"	"114"	"15"	"2"	"12"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	""	"259"	""
"128"	"88"	"8"	"106"	"169"	"42"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"5"	"4"	"5"	"346"	""	"346"	""
"129"	"89"	"4"	"192"	"49"	"8"	"1"	"9"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"1"	"2"	"271"	""	"271"	""
