"X.U.091F..U.0947..U.092C..U.0941..U.0932."	"X.U.092E..U.0924..U.0926..U.093E..U.0928."	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X.U.0915..U.0941...U.0932."	"X...U.0924...U.0947...U.092A."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924."	"X17..U.0938..U.0940."
"11"	"8"	"8"	"11"	"33"	"30"	"211"	"8"	"1"	"0"	"4"	"29"	"9"	"11"	"8"	"7"	"5"	"5"	"12"	"384"	""	"384"	""	""
"12"	"9"	"9"	"14"	"52"	"194"	"88"	"3"	"0"	"1"	"1"	"12"	"0"	"2"	"0"	"2"	"2"	"1"	"3"	"375"	""	"375"	""	""
"13"	"10"	"10"	"173"	"1"	"54"	"288"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"521"	""	"521"	""	""
"14"	"11"	"11"	"41"	"27"	"87"	"153"	"7"	"0"	"2"	"5"	"62"	"3"	"3"	"2"	"5"	"1"	"1"	"11"	"410"	""	"410"	""	""
"15"	"12"	"12"	"3"	"40"	"21"	"70"	"1"	"0"	"0"	"0"	"6"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"144"	""	"144"	""	""
"16"	"13"	"13"	"17"	"7"	"25"	"202"	"4"	"1"	"0"	"0"	"6"	"0"	"5"	"2"	"0"	"1"	"1"	"1"	"272"	""	"272"	""	""
"17"	"14"	"14"	"3"	"4"	"236"	"73"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"325"	""	"325"	""	""
"18"	"<U+092F><U+094B><U+0917>"	""	"562"	"301"	"1449"	"1638"	"57"	"10"	"8"	"22"	"282"	"23"	"45"	"20"	"34"	"28"	"17"	"70"	"4566"	"0"	"4566"	"0"	"0"
"19"	"1"	"15"	"3"	"77"	"178"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"306"	""	"306"	""	""
"20"	"2"	"16"	"11"	"2"	"113"	"211"	"2"	"3"	"2"	"2"	"5"	"0"	"3"	"4"	"2"	"0"	"1"	"0"	"361"	""	"361"	""	""
"21"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"22"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"23"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"24"	"3"	"17"	"12"	"3"	"69"	"217"	"3"	"1"	"0"	"1"	"1"	"2"	"1"	"1"	"3"	"1"	"0"	"3"	"318"	""	"318"	""	""
"25"	"4"	"18"	"9"	"17"	"158"	"219"	"4"	"0"	"0"	"1"	"1"	"0"	"2"	"3"	"4"	"3"	"6"	"7"	"434"	""	"434"	""	""
"26"	"5"	"19"	"40"	"0"	"114"	"312"	"4"	"4"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"479"	""	"479"	""	""
"27"	"6"	"20"	"19"	"1"	"64"	"81"	"5"	"3"	"0"	"2"	"26"	"3"	"6"	"3"	"0"	"4"	"0"	"7"	"224"	""	"224"	""	""
"28"	"7"	"21"	"11"	"72"	"38"	"79"	"2"	"1"	"1"	"0"	"11"	"1"	"2"	"0"	"0"	"3"	"1"	"1"	"223"	""	"223"	""	""
"29"	"8"	"22"	"53"	"0"	"58"	"46"	"3"	"0"	"0"	"0"	"10"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"174"	""	"174"	""	""
"30"	"9"	"23"	"8"	"1"	"85"	"125"	"5"	"0"	"0"	"0"	"19"	"8"	"3"	"2"	"2"	"0"	"1"	"3"	"262"	""	"262"	""	""
"31"	"10"	"24"	"7"	"3"	"176"	"280"	"12"	"1"	"1"	"2"	"12"	"0"	"7"	"1"	"2"	"0"	"0"	"2"	"506"	""	"506"	""	""
"32"	"11"	"25"	"70"	"1"	"141"	"160"	"3"	"4"	"1"	"0"	"0"	"1"	"2"	"2"	"12"	"6"	"5"	"15"	"423"	""	"423"	""	""
"33"	"12"	"26"	"78"	"21"	"114"	"206"	"5"	"1"	"0"	"1"	"1"	"2"	"2"	"2"	"6"	"5"	"3"	"13"	"460"	""	"460"	""	""
"34"	"13"	"27"	"531"	"2"	"24"	"70"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"631"	""	"631"	""	""
"35"	"14"	"28"	"89"	"71"	"74"	"123"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"361"	""	"361"	""	""
"36"	"<U+092F><U+094B><U+0917>"	""	"941"	"271"	"1406"	"2174"	"49"	"19"	"6"	"13"	"86"	"18"	"29"	"19"	"35"	"23"	"19"	"54"	"5162"	"0"	"5162"	"0"	"0"
"37"	"1"	"29"	"30"	"12"	"49"	"366"	"3"	"1"	"0"	"1"	"2"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"469"	""	"469"	""	""
"38"	"2"	"30"	"49"	"28"	"74"	"102"	"8"	"0"	"1"	"0"	"19"	"2"	"10"	"2"	"5"	"6"	"5"	"29"	"340"	""	"340"	""	""
"39"	"3"	"31"	"81"	"12"	"68"	"186"	"3"	"3"	"1"	"0"	"19"	"5"	"0"	"0"	"0"	"3"	"0"	"3"	"384"	""	"384"	""	""
"40"	"4"	"32"	"32"	"3"	"94"	"74"	"2"	"1"	"1"	"1"	"78"	"2"	"2"	"0"	"1"	"3"	"2"	"2"	"298"	""	"298"	""	""
"41"	"5"	"33"	"8"	"1"	"212"	"247"	"5"	"1"	"1"	"0"	"6"	"0"	"7"	"1"	"8"	"5"	"0"	"2"	"504"	""	"504"	""	""
"42"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"43"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"44"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"45"	"6"	"34"	"67"	"5"	"53"	"250"	"4"	"1"	"0"	"0"	"28"	"2"	"2"	"1"	"4"	"0"	"2"	"3"	"422"	""	"422"	""	""
"46"	"7"	"35"	"8"	"1"	"298"	"163"	"3"	"0"	"0"	"0"	"6"	"1"	"1"	"1"	"2"	"0"	"0"	"1"	"485"	""	"485"	""	""
"47"	"8"	"36"	"1"	"0"	"411"	"6"	"0"	"0"	"0"	"0"	"11"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"434"	""	"434"	""	""
"48"	"9"	"37"	"18"	"35"	"151"	"142"	"11"	"3"	"1"	"7"	"93"	"4"	"6"	"6"	"10"	"7"	"2"	"6"	"502"	""	"502"	""	""
"49"	"10"	"38"	"14"	"2"	"404"	"132"	"7"	"1"	"2"	"0"	"9"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"575"	""	"575"	""	""
"50"	"11"	"39"	"9"	"13"	"303"	"52"	"1"	"0"	"0"	"0"	"7"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"389"	""	"389"	""	""
"51"	"12"	"40"	"27"	"11"	"229"	"118"	"6"	"2"	"0"	"1"	"15"	"0"	"3"	"0"	"4"	"2"	"1"	"4"	"423"	""	"423"	""	""
"52"	"13"	"41"	"34"	"11"	"258"	"120"	"5"	"0"	"0"	"0"	"11"	"1"	"4"	"1"	"0"	"0"	"1"	"2"	"448"	""	"448"	""	""
"53"	"14"	"42"	"28"	"53"	"29"	"266"	"6"	"0"	"0"	"0"	"8"	"2"	"6"	"3"	"1"	"0"	"2"	"5"	"409"	""	"409"	""	""
"54"	"<U+092F><U+094B><U+0917>"	""	"406"	"187"	"2633"	"2224"	"64"	"13"	"7"	"10"	"312"	"19"	"47"	"16"	"41"	"29"	"15"	"59"	"6082"	"0"	"6082"	"0"	"0"
"55"	"1"	"43"	"1"	"3"	"190"	"14"	"1"	"2"	"1"	"0"	"6"	"1"	"0"	"1"	"3"	"7"	"1"	"4"	"235"	""	"235"	""	""
"56"	"2"	"44"	"1"	"0"	"372"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"381"	""	"381"	""	""
"57"	"3"	"45"	"78"	"2"	"4"	"94"	"4"	"0"	"2"	"2"	"209"	"2"	"0"	"1"	"1"	"1"	"2"	"3"	"405"	""	"405"	""	""
"58"	"4"	"46"	"2"	"4"	"76"	"301"	"5"	"2"	"1"	"1"	"10"	"2"	"2"	"1"	"0"	"1"	"1"	"2"	"411"	""	"411"	""	""
"59"	"5"	"47"	"72"	"91"	"247"	"166"	"5"	"3"	"0"	"1"	"18"	"3"	"5"	"2"	"4"	"0"	"2"	"6"	"625"	""	"625"	""	""
"60"	"6"	"48"	"143"	"4"	"106"	"124"	"2"	"3"	"1"	"0"	"6"	"3"	"2"	"4"	"7"	"7"	"5"	"16"	"433"	""	"433"	""	""
"61"	"7"	"49"	"25"	"0"	"59"	"217"	"1"	"6"	"1"	"2"	"1"	"1"	"1"	"0"	"3"	"1"	"0"	"1"	"319"	""	"319"	""	""
"62"	"8"	"50"	"17"	"8"	"177"	"145"	"5"	"2"	"0"	"1"	"10"	"1"	"4"	"2"	"6"	"3"	"5"	"7"	"393"	""	"393"	""	""
"63"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"64"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"65"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"66"	"9"	"51"	"7"	"2"	"162"	"168"	"4"	"7"	"3"	"5"	"82"	"1"	"4"	"3"	"2"	"5"	"3"	"4"	"462"	""	"462"	""	""
"67"	"10"	"52"	"39"	"1"	"41"	"146"	"7"	"3"	"0"	"4"	"78"	"1"	"8"	"3"	"0"	"3"	"4"	"4"	"342"	""	"342"	""	""
"68"	"11"	"53"	"41"	"1"	"102"	"203"	"2"	"4"	"1"	"0"	"2"	"2"	"3"	"1"	"2"	"0"	"0"	"1"	"365"	""	"365"	""	""
"69"	"12"	"54"	"15"	"1"	"34"	"140"	"0"	"3"	"0"	"1"	"0"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"200"	""	"200"	""	""
"70"	"13"	"55"	"37"	"7"	"116"	"161"	"5"	"6"	"0"	"4"	"8"	"2"	"4"	"5"	"6"	"4"	"2"	"7"	"374"	""	"374"	""	""
"71"	"14"	"56"	"12"	"0"	"85"	"63"	"4"	"0"	"1"	"2"	"4"	"0"	"2"	"1"	"0"	"1"	"1"	"4"	"180"	""	"180"	""	""
"72"	"<U+092F><U+094B><U+0917>"	""	"490"	"124"	"1771"	"1948"	"45"	"41"	"11"	"23"	"434"	"22"	"36"	"25"	"37"	"33"	"26"	"59"	"5125"	"0"	"5125"	"0"	"0"
"73"	"1"	"57"	"31"	"2"	"75"	"357"	"4"	"1"	"3"	"2"	"2"	"1"	"6"	"0"	"0"	"3"	"1"	"3"	"491"	""	"491"	""	""
"74"	"2"	"58"	"74"	"3"	"61"	"210"	"3"	"1"	"4"	"2"	"8"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"375"	""	"375"	""	""
"75"	"3"	"59"	"29"	"0"	"69"	"253"	"0"	"7"	"0"	"1"	"3"	"0"	"2"	"1"	"2"	"0"	"0"	"1"	"368"	""	"368"	""	""
"76"	"4"	"60"	"52"	"3"	"44"	"221"	"4"	"4"	"0"	"0"	"2"	"1"	"2"	"1"	"2"	"0"	"1"	"1"	"338"	""	"338"	""	""
"77"	"5"	"61"	"40"	"2"	"101"	"195"	"1"	"3"	"3"	"1"	"0"	"1"	"2"	"0"	"1"	"11"	"2"	"0"	"363"	""	"363"	""	""
"78"	"6"	"62"	"42"	"1"	"92"	"170"	"3"	"2"	"0"	"2"	"9"	"3"	"4"	"2"	"0"	"4"	"3"	"5"	"342"	""	"342"	""	""
"79"	"7"	"63"	"28"	"0"	"33"	"135"	"3"	"3"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"0"	"208"	""	"208"	""	""
"80"	"8"	"64"	"94"	"2"	"273"	"112"	"3"	"10"	"1"	"0"	"4"	"0"	"8"	"4"	"1"	"8"	"3"	"16"	"539"	""	"539"	""	""
"81"	"9"	"65"	"179"	"2"	"207"	"70"	"4"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"7"	"2"	"18"	"494"	""	"494"	""	""
"82"	"10"	"66"	"126"	"2"	"181"	"34"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"349"	""	"349"	""	""
"83"	"11"	"67"	"105"	"9"	"89"	"86"	"1"	"1"	"1"	"4"	"29"	"1"	"4"	"2"	"1"	"2"	"2"	"10"	"347"	""	"347"	""	""
"84"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
