"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 8---SUPAUL CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :8---SUPAUL                                                                                                                                                                                                                                           Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :42---Pipra                                                                                                                                                                                                                                              No of Voters :207572"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of                                                                                                                                          Total Valid Votes -109640"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"andidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRSAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"18"	"10"	"2"	"1"	"16"	"41"	"136"	"9"	"6"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"219"
"19"	"11"	"4"	"0"	"4"	"244"	"4"	"6"	"3"	"2"	"1"	"0"	"1"	"0"	"4"	"0"	"1"	"6"	"280"
"20"	"12"	"3"	"2"	"15"	"206"	"13"	"17"	"3"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"264"
"21"	"13"	"4"	"2"	"16"	"163"	"9"	"18"	"1"	"2"	"2"	"2"	"4"	"0"	"3"	"0"	"0"	"1"	"227"
"22"	"14"	"4"	"1"	"8"	"71"	"6"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"3"	"112"
"23"	"15"	"7"	"4"	"4"	"303"	"5"	"25"	"2"	"12"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"4"	"370"
"24"	"16"	"2"	"1"	"4"	"131"	"31"	"18"	"3"	"3"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"195"
"25"	"17"	"14"	"4"	"30"	"287"	"21"	"85"	"11"	"7"	"1"	"6"	"5"	"5"	"12"	"3"	"2"	"11"	"504"
"26"	"18"	"12"	"1"	"49"	"83"	"128"	"28"	"17"	"1"	"4"	"1"	"5"	"14"	"5"	"3"	"1"	"12"	"364"
"27"	"19"	"7"	"6"	"171"	"196"	"10"	"19"	"3"	"7"	"1"	"3"	"3"	"3"	"11"	"2"	"3"	"5"	"450"
"28"	"20"	"19"	"8"	"60"	"476"	"39"	"37"	"5"	"12"	"5"	"2"	"2"	"4"	"8"	"7"	"3"	"12"	"699"
"29"	"21"	"15"	"5"	"54"	"102"	"228"	"29"	"12"	"7"	"9"	"2"	"8"	"31"	"8"	"6"	"6"	"23"	"545"
"30"	"22"	"5"	"2"	"15"	"276"	"42"	"19"	"5"	"2"	"5"	"0"	"1"	"4"	"7"	"2"	"1"	"8"	"394"
"31"	"23"	"20"	"6"	"87"	"463"	"116"	"43"	"9"	"12"	"6"	"3"	"3"	"12"	"13"	"4"	"8"	"9"	"814"
"32"	"24"	"22"	"3"	"145"	"212"	"148"	"31"	"9"	"30"	"7"	"7"	"3"	"23"	"8"	"2"	"2"	"13"	"665"
"33"	"25"	"1"	"2"	"13"	"41"	"47"	"6"	"1"	"17"	"2"	"0"	"2"	"6"	"1"	"0"	"2"	"0"	"141"
"34"	"26"	"13"	"8"	"57"	"340"	"91"	"36"	"6"	"10"	"5"	"0"	"4"	"3"	"9"	"3"	"0"	"10"	"595"
"35"	"27"	"4"	"1"	"44"	"134"	"109"	"30"	"4"	"2"	"2"	"1"	"1"	"11"	"6"	"2"	"2"	"5"	"358"
"36"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"37"	"29"	"11"	"6"	"80"	"353"	"127"	"53"	"13"	"2"	"4"	"1"	"1"	"13"	"8"	"3"	"1"	"11"	"687"
"38"	"30"	"12"	"4"	"17"	"156"	"334"	"27"	"11"	"14"	"8"	"2"	"1"	"40"	"3"	"1"	"6"	"14"	"650"
"39"	"31"	"7"	"6"	"88"	"367"	"15"	"30"	"3"	"17"	"3"	"2"	"3"	"3"	"4"	"3"	"4"	"4"	"559"
"40"	"32"	"8"	"5"	"63"	"403"	"79"	"35"	"8"	"28"	"2"	"0"	"2"	"3"	"3"	"1"	"4"	"3"	"647"
"41"	"33"	"15"	"8"	"54"	"196"	"82"	"22"	"7"	"5"	"3"	"4"	"0"	"3"	"2"	"18"	"0"	"4"	"423"
"42"	"34"	"15"	"1"	"39"	"229"	"52"	"29"	"5"	"1"	"3"	"2"	"5"	"7"	"8"	"18"	"3"	"6"	"423"
"43"	"35"	"8"	"6"	"39"	"347"	"163"	"33"	"6"	"6"	"2"	"2"	"1"	"11"	"5"	"2"	"5"	"8"	"644"
"44"	"36"	"9"	"4"	"23"	"91"	"196"	"13"	"8"	"3"	"7"	"3"	"1"	"18"	"0"	"0"	"0"	"6"	"382"
"45"	"37"	"17"	"3"	"21"	"172"	"99"	"26"	"13"	"7"	"6"	"2"	"5"	"12"	"7"	"2"	"1"	"4"	"397"
"46"	"38"	"16"	"4"	"91"	"254"	"203"	"52"	"17"	"8"	"12"	"9"	"4"	"13"	"8"	"2"	"1"	"9"	"703"
"47"	"39"	"14"	"5"	"18"	"170"	"232"	"25"	"8"	"19"	"8"	"2"	"2"	"10"	"2"	"0"	"0"	"5"	"520"
"48"	"40"	"4"	"1"	"50"	"398"	"5"	"32"	"5"	"14"	"1"	"2"	"1"	"1"	"5"	"2"	"2"	"0"	"523"
"49"	"41"	"18"	"4"	"37"	"410"	"22"	"40"	"3"	"0"	"2"	"2"	"6"	"2"	"4"	"0"	"1"	"3"	"554"
"50"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRSAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"51"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"52"	"42"	"6"	"15"	"16"	"381"	"81"	"28"	"8"	"2"	"2"	"1"	"2"	"11"	"17"	"5"	"5"	"8"	"588"
"53"	"43"	"1"	"4"	"42"	"149"	"64"	"39"	"4"	"0"	"7"	"1"	"4"	"3"	"5"	"8"	"1"	"4"	"336"
"54"	"44"	"10"	"0"	"67"	"161"	"103"	"10"	"6"	"1"	"2"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"364"
"55"	"45"	"9"	"4"	"75"	"143"	"47"	"38"	"10"	"6"	"3"	"1"	"3"	"3"	"8"	"13"	"5"	"12"	"380"
"56"	"46"	"2"	"1"	"20"	"212"	"70"	"38"	"8"	"0"	"1"	"0"	"5"	"8"	"4"	"1"	"0"	"5"	"375"
"57"	"47"	"7"	"5"	"83"	"411"	"7"	"102"	"15"	"2"	"3"	"6"	"7"	"7"	"26"	"31"	"5"	"10"	"727"
"58"	"48"	"25"	"2"	"55"	"296"	"233"	"28"	"17"	"6"	"7"	"7"	"7"	"29"	"10"	"2"	"5"	"10"	"739"
"59"	"49"	"18"	"7"	"78"	"403"	"71"	"67"	"15"	"7"	"6"	"3"	"5"	"5"	"3"	"0"	"0"	"2"	"690"
"60"	"50"	"11"	"8"	"27"	"63"	"304"	"14"	"12"	"1"	"12"	"3"	"6"	"42"	"3"	"5"	"6"	"8"	"525"
"61"	"51"	"6"	"3"	"100"	"167"	"44"	"35"	"7"	"4"	"1"	"6"	"4"	"4"	"8"	"6"	"4"	"10"	"409"
"62"	"52"	"13"	"2"	"78"	"226"	"145"	"44"	"11"	"7"	"5"	"5"	"4"	"12"	"6"	"5"	"2"	"7"	"572"
"63"	"53"	"3"	"3"	"63"	"124"	"52"	"22"	"1"	"76"	"5"	"1"	"2"	"3"	"1"	"0"	"4"	"2"	"362"
"64"	"54"	"3"	"1"	"90"	"204"	"124"	"26"	"10"	"29"	"3"	"4"	"7"	"28"	"11"	"2"	"4"	"14"	"560"
"65"	"55"	"18"	"4"	"19"	"410"	"303"	"28"	"8"	"44"	"6"	"4"	"5"	"30"	"6"	"1"	"1"	"9"	"896"
"66"	"56"	"13"	"3"	"106"	"103"	"248"	"13"	"9"	"3"	"5"	"2"	"5"	"19"	"4"	"3"	"2"	"4"	"542"
"67"	"57"	"11"	"4"	"52"	"49"	"371"	"11"	"7"	"3"	"3"	"2"	"4"	"42"	"7"	"2"	"5"	"14"	"587"
"68"	"58"	"4"	"2"	"34"	"337"	"13"	"13"	"1"	"0"	"2"	"1"	"1"	"4"	"2"	"1"	"0"	"0"	"415"
"69"	"59"	"5"	"4"	"126"	"147"	"19"	"8"	"3"	"0"	"0"	"1"	"2"	"5"	"4"	"4"	"0"	"5"	"333"
"70"	"60"	"13"	"1"	"68"	"445"	"62"	"43"	"11"	"52"	"2"	"0"	"7"	"8"	"18"	"4"	"4"	"15"	"753"
"71"	"61"	"23"	"9"	"85"	"423"	"53"	"30"	"7"	"10"	"2"	"0"	"2"	"2"	"2"	"2"	"0"	"1"	"651"
"72"	"62"	"3"	"0"	"22"	"196"	"43"	"17"	"1"	"1"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"288"
"73"	"63"	"14"	"3"	"112"	"128"	"125"	"28"	"9"	"2"	"1"	"4"	"6"	"13"	"6"	"9"	"1"	"17"	"478"
"74"	"64"	"12"	"9"	"113"	"365"	"47"	"45"	"8"	"12"	"5"	"3"	"6"	"7"	"8"	"3"	"2"	"6"	"651"
"75"	"65"	"2"	"1"	"98"	"78"	"112"	"12"	"5"	"3"	"3"	"2"	"3"	"6"	"5"	"0"	"0"	"2"	"332"
"76"	"66"	"4"	"0"	"4"	"293"	"6"	"17"	"1"	"1"	"0"	"1"	"1"	"3"	"2"	"0"	"2"	"3"	"338"
"77"	"67"	"17"	"2"	"96"	"33"	"94"	"8"	"7"	"2"	"3"	"1"	"0"	"2"	"3"	"0"	"0"	"2"	"270"
"78"	"68"	"7"	"5"	"69"	"313"	"75"	"36"	"6"	"3"	"4"	"1"	"0"	"3"	"1"	"3"	"0"	"1"	"527"
"79"	"69"	"14"	"8"	"93"	"103"	"234"	"38"	"7"	"4"	"7"	"1"	"3"	"16"	"1"	"2"	"2"	"5"	"538"
"80"	"70"	"3"	"3"	"72"	"15"	"332"	"8"	"6"	"0"	"1"	"0"	"1"	"8"	"1"	"0"	"0"	"1"	"451"
"81"	"71"	"15"	"5"	"57"	"129"	"268"	"44"	"10"	"8"	"11"	"3"	"10"	"39"	"14"	"4"	"1"	"21"	"639"
"82"	"72"	"17"	"2"	"140"	"203"	"24"	"15"	"2"	"8"	"3"	"2"	"2"	"4"	"2"	"5"	"0"	"5"	"434"
"83"	"73"	"2"	"0"	"107"	"126"	"11"	"15"	"0"	"1"	"2"	"4"	"1"	"3"	"7"	"4"	"5"	"10"	"298"
"84"	"74"	"1"	"4"	"156"	"281"	"20"	"30"	"3"	"15"	"4"	"3"	"7"	"4"	"9"	"7"	"3"	"4"	"551"
"85"	"75"	"2"	"6"	"259"	"125"	"18"	"12"	"2"	"2"	"1"	"5"	"4"	"5"	"3"	"7"	"6"	"6"	"463"
"86"	"76"	"11"	"5"	"238"	"129"	"101"	"19"	"11"	"6"	"7"	"1"	"6"	"13"	"8"	"3"	"2"	"11"	"571"
"87"	"77"	"20"	"14"	"266"	"241"	"81"	"24"	"8"	"4"	"5"	"5"	"1"	"6"	"8"	"4"	"6"	"14"	"707"
"88"	"78"	"6"	"6"	"153"	"115"	"22"	"31"	"1"	"7"	"3"	"6"	"7"	"5"	"6"	"6"	"2"	"9"	"385"
"89"	"79"	"7"	"10"	"178"	"94"	"46"	"12"	"4"	"0"	"1"	"1"	"0"	"2"	"4"	"1"	"1"	"0"	"361"
"90"	"80"	"18"	"8"	"148"	"254"	"133"	"35"	"7"	"4"	"1"	"0"	"3"	"7"	"3"	"7"	"1"	"4"	"633"
"91"	"81"	"12"	"4"	"351"	"323"	"22"	"49"	"6"	"11"	"2"	"4"	"1"	"1"	"8"	"13"	"1"	"5"	"813"
"92"	"82"	"7"	"3"	"236"	"70"	"168"	"12"	"4"	"5"	"6"	"2"	"4"	"16"	"3"	"7"	"3"	"9"	"555"
"93"	"83"	"16"	"9"	"119"	"243"	"85"	"29"	"5"	"3"	"2"	"3"	"1"	"8"	"3"	"3"	"1"	"11"	"541"
"94"	"84"	"16"	"7"	"58"	"342"	"43"	"8"	"8"	"3"	"2"	"2"	"2"	"5"	"6"	"2"	"1"	"3"	"508"
"95"	"85"	"15"	"3"	"173"	"71"	"120"	"33"	"14"	"8"	"9"	"4"	"2"	"14"	"7"	"7"	"1"	"16"	"497"
"96"	"86"	"24"	"9"	"51"	"166"	"266"	"23"	"13"	"2"	"4"	"3"	"3"	"25"	"6"	"1"	"1"	"13"	"610"
"97"	"87"	"30"	"12"	"408"	"136"	"89"	"41"	"12"	"1"	"6"	"2"	"7"	"9"	"6"	"18"	"9"	"17"	"803"
"98"	"88"	"29"	"9"	"156"	"364"	"16"	"36"	"7"	"6"	"1"	"1"	"2"	"1"	"0"	"1"	"3"	"6"	"638"
"99"	"89"	"0"	"0"	"283"	"49"	"0"	"6"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"343"
"100"	"90"	"20"	"11"	"102"	"298"	"91"	"43"	"11"	"8"	"8"	"8"	"6"	"11"	"19"	"12"	"7"	"23"	"678"
"101"	"91"	"16"	"4"	"65"	"25"	"190"	"7"	"7"	"4"	"2"	"0"	"2"	"12"	"4"	"1"	"0"	"2"	"341"
"102"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRSAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"103"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"104"	"92"	"22"	"12"	"210"	"281"	"78"	"80"	"24"	"5"	"11"	"2"	"4"	"9"	"3"	"2"	"2"	"9"	"754"
"105"	"93"	"4"	"7"	"69"	"137"	"117"	"19"	"5"	"2"	"1"	"2"	"0"	"6"	"2"	"1"	"0"	"1"	"373"
"106"	"94"	"14"	"8"	"168"	"271"	"11"	"37"	"27"	"23"	"3"	"6"	"5"	"6"	"4"	"3"	"2"	"8"	"596"
"107"	"95"	"4"	"2"	"126"	"245"	"2"	"8"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"396"
"108"	"96"	"4"	"5"	"122"	"142"	"6"	"40"	"54"	"8"	"3"	"2"	"4"	"3"	"2"	"4"	"5"	"6"	"410"
"109"	"97"	"9"	"15"	"152"	"251"	"10"	"51"	"11"	"14"	"3"	"3"	"4"	"5"	"9"	"4"	"4"	"13"	"558"
"110"	"98"	"9"	"43"	"138"	"203"	"48"	"48"	"6"	"3"	"5"	"3"	"6"	"10"	"6"	"8"	"9"	"12"	"557"
"111"	"99"	"10"	"2"	"148"	"179"	"13"	"31"	"0"	"5"	"3"	"3"	"2"	"1"	"2"	"2"	"1"	"4"	"406"
"112"	"100"	"22"	"10"	"211"	"179"	"61"	"73"	"7"	"5"	"0"	"0"	"0"	"7"	"2"	"1"	"0"	"4"	"582"
"113"	"101"	"6"	"7"	"163"	"224"	"9"	"28"	"4"	"6"	"2"	"2"	"6"	"8"	"14"	"5"	"6"	"14"	"504"
"114"	"102"	"11"	"9"	"203"	"215"	"32"	"62"	"3"	"3"	"7"	"3"	"3"	"15"	"27"	"14"	"9"	"29"	"645"
"115"	"103"	"7"	"9"	"120"	"147"	"6"	"51"	"13"	"1"	"0"	"1"	"5"	"2"	"4"	"2"	"3"	"12"	"383"
"116"	"104"	"24"	"30"	"245"	"257"	"55"	"76"	"16"	"10"	"8"	"4"	"7"	"8"	"5"	"3"	"1"	"5"	"754"
"117"	"105"	"14"	"8"	"498"	"54"	"76"	"18"	"7"	"10"	"3"	"5"	"2"	"6"	"4"	"12"	"3"	"10"	"730"
"118"	"106"	"14"	"3"	"260"	"33"	"32"	"6"	"6"	"3"	"2"	"2"	"3"	"7"	"1"	"3"	"4"	"7"	"386"
"119"	"107"	"8"	"9"	"368"	"43"	"67"	"21"	"9"	"4"	"10"	"2"	"4"	"5"	"2"	"5"	"1"	"4"	"562"
"120"	"108"	"9"	"8"	"295"	"85"	"83"	"32"	"5"	"4"	"5"	"2"	"1"	"13"	"8"	"4"	"6"	"10"	"570"
"121"	"109"	"10"	"3"	"106"	"46"	"172"	"13"	"9"	"3"	"8"	"1"	"6"	"18"	"4"	"4"	"5"	"15"	"423"
"122"	"110"	"20"	"14"	"114"	"381"	"21"	"75"	"9"	"43"	"2"	"5"	"4"	"4"	"9"	"3"	"5"	"11"	"720"
"123"	"111"	"15"	"4"	"35"	"148"	"208"	"34"	"15"	"3"	"3"	"1"	"3"	"22"	"5"	"0"	"7"	"7"	"510"
"124"	"112"	"3"	"5"	"164"	"25"	"101"	"19"	"5"	"3"	"6"	"7"	"5"	"7"	"8"	"9"	"7"	"33"	"407"
"125"	"113"	"6"	"5"	"172"	"237"	"40"	"61"	"7"	"2"	"5"	"3"	"6"	"6"	"15"	"5"	"5"	"19"	"594"
"126"	"114"	"7"	"6"	"71"	"352"	"10"	"99"	"11"	"9"	"3"	"6"	"8"	"5"	"11"	"5"	"3"	"14"	"620"
"127"	"115"	"19"	"5"	"121"	"381"	"19"	"70"	"12"	"7"	"10"	"4"	"12"	"13"	"34"	"10"	"5"	"20"	"742"
"128"	"116"	"11"	"2"	"28"	"310"	"10"	"25"	"5"	"22"	"3"	"3"	"1"	"2"	"18"	"1"	"2"	"11"	"454"
"129"	"117"	"12"	"7"	"156"	"231"	"3"	"15"	"1"	"12"	"3"	"1"	"0"	"3"	"2"	"5"	"5"	"11"	"467"
"130"	"118"	"8"	"13"	"70"	"452"	"16"	"62"	"9"	"1"	"1"	"2"	"4"	"3"	"7"	"1"	"2"	"8"	"659"
"131"	"119"	"5"	"2"	"43"	"178"	"5"	"29"	"0"	"1"	"0"	"2"	"2"	"0"	"4"	"2"	"1"	"4"	"278"
"132"	"120"	"11"	"7"	"237"	"157"	"8"	"27"	"7"	"3"	"6"	"4"	"3"	"5"	"6"	"2"	"4"	"14"	"501"
"133"	"121"	"10"	"2"	"19"	"262"	"6"	"28"	"5"	"0"	"0"	"1"	"2"	"5"	"10"	"6"	"7"	"11"	"374"
"134"	"122"	"16"	"9"	"128"	"253"	"15"	"47"	"6"	"0"	"2"	"2"	"3"	"3"	"1"	"0"	"0"	"2"	"487"
"135"	"123"	"6"	"5"	"62"	"458"	"7"	"47"	"4"	"5"	"3"	"2"	"4"	"3"	"29"	"2"	"5"	"12"	"654"
"136"	"124"	"8"	"1"	"98"	"195"	"10"	"17"	"3"	"1"	"0"	"2"	"1"	"1"	"3"	"4"	"0"	"2"	"346"
"137"	"125"	"11"	"4"	"152"	"270"	"8"	"32"	"6"	"3"	"3"	"2"	"3"	"2"	"20"	"6"	"4"	"4"	"530"
"138"	"126"	"5"	"7"	"368"	"175"	"6"	"29"	"3"	"3"	"4"	"2"	"3"	"3"	"2"	"5"	"4"	"12"	"631"
"139"	"127"	"5"	"8"	"128"	"254"	"12"	"50"	"2"	"3"	"1"	"1"	"3"	"1"	"1"	"0"	"0"	"1"	"470"
"140"	"128"	"12"	"4"	"123"	"273"	"32"	"41"	"6"	"2"	"1"	"0"	"5"	"2"	"0"	"6"	"2"	"6"	"515"
"141"	"129"	"9"	"4"	"121"	"347"	"13"	"44"	"4"	"1"	"0"	"0"	"5"	"0"	"3"	"1"	"5"	"3"	"560"
"142"	"130"	"9"	"4"	"152"	"505"	"14"	"60"	"5"	"7"	"2"	"3"	"7"	"3"	"6"	"6"	"2"	"9"	"794"
"143"	"131"	"5"	"4"	"154"	"429"	"20"	"67"	"8"	"16"	"13"	"2"	"5"	"10"	"27"	"3"	"6"	"20"	"789"
"144"	"132"	"2"	"0"	"13"	"329"	"5"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"367"
"145"	"133"	"9"	"3"	"92"	"579"	"43"	"37"	"5"	"2"	"2"	"1"	"4"	"5"	"12"	"1"	"3"	"6"	"804"
"146"	"134"	"10"	"3"	"16"	"473"	"15"	"26"	"4"	"3"	"1"	"2"	"2"	"1"	"11"	"2"	"0"	"3"	"572"
"147"	"135"	"6"	"8"	"134"	"247"	"24"	"115"	"6"	"3"	"5"	"1"	"6"	"9"	"12"	"5"	"4"	"9"	"594"
"148"	"136"	"13"	"3"	"136"	"228"	"48"	"40"	"3"	"4"	"3"	"0"	"3"	"0"	"6"	"6"	"2"	"3"	"498"
"149"	"137"	"7"	"3"	"145"	"195"	"17"	"18"	"3"	"13"	"2"	"2"	"2"	"2"	"11"	"6"	"4"	"14"	"444"
"150"	"138"	"2"	"1"	"185"	"101"	"90"	"21"	"11"	"4"	"10"	"7"	"5"	"23"	"5"	"5"	"4"	"10"	"484"
"151"	"139"	"11"	"5"	"67"	"234"	"66"	"33"	"8"	"4"	"1"	"2"	"2"	"5"	"7"	"0"	"2"	"6"	"453"
"152"	"140"	"14"	"7"	"147"	"147"	"11"	"18"	"7"	"2"	"2"	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"362"
"153"	"141"	"10"	"7"	"307"	"109"	"17"	"14"	"7"	"1"	"2"	"0"	"2"	"3"	"2"	"0"	"1"	"2"	"484"
"154"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRSAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"155"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"156"	"142"	"4"	"5"	"32"	"177"	"9"	"25"	"7"	"1"	"2"	"2"	"2"	"6"	"8"	"0"	"2"	"3"	"285"
"157"	"143"	"7"	"7"	"203"	"34"	"172"	"23"	"10"	"3"	"6"	"3"	"6"	"17"	"3"	"3"	"4"	"12"	"513"
"158"	"144"	"14"	"5"	"311"	"47"	"179"	"18"	"8"	"7"	"7"	"6"	"7"	"11"	"5"	"3"	"5"	"13"	"646"
"159"	"145"	"2"	"0"	"7"	"534"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"551"
"160"	"146"	"10"	"9"	"143"	"513"	"13"	"84"	"8"	"6"	"6"	"3"	"4"	"7"	"23"	"7"	"5"	"19"	"860"
"161"	"147"	"12"	"5"	"101"	"366"	"138"	"38"	"12"	"10"	"11"	"7"	"8"	"12"	"10"	"18"	"1"	"8"	"757"
