"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"57"	"l hV  dk
; ksx"	"3956"	"1132"	"307"	"106"	"264"	"24"	"22"	"607"	"69"	"87"	"39"	"20"	"104"	"46"	"65"	"172"	"125"	"47"	"20"	"26"	"14"	"34"	"7286"	"0"	"7286"	"0"
"58"	"d qy  &"	"8960"	"4723"	"707"	"292"	"687"	"62"	"73"	"1734"	"209"	"181"	"117"	"62"	"235"	"153"	"186"	"551"	"354"	"155"	"46"	"67"	"56"	"131"	"19741"	"0"	"19741"	"0"
"59"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"60"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"62"	"i woZ  dk
; ksx&"	"8960"	"4723"	"707"	"292"	"687"	"62"	"73"	"1734"	"209"	"181"	"117"	"62"	"235"	"153"	"186"	"551"	"354"	"155"	"46"	"67"	"56"	"131"	"19741"	"0"	"19741"	"0"
"63"	"43"	"138"	"146"	"45"	"1"	"0"	"0"	"1"	"16"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"356"	"0"	"356"	"0"
"64"	"44"	"259"	"10"	"11"	"10"	"10"	"0"	"2"	"31"	"1"	"1"	"10"	"0"	"0"	"0"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"3"	"356"	"0"	"356"	"0"
"65"	"45"	"91"	"422"	"21"	"4"	"42"	"1"	"2"	"23"	"3"	"0"	"3"	"3"	"0"	"5"	"5"	"10"	"2"	"4"	"0"	"2"	"1"	"0"	"644"	"0"	"644"	"0"
"66"	"46"	"100"	"56"	"8"	"13"	"15"	"3"	"5"	"55"	"11"	"34"	"56"	"0"	"3"	"7"	"1"	"5"	"5"	"0"	"0"	"2"	"0"	"2"	"381"	"0"	"381"	"0"
"67"	"47"	"133"	"106"	"3"	"8"	"13"	"1"	"0"	"21"	"1"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"293"	"0"	"293"	"0"
"68"	"48"	"94"	"127"	"6"	"3"	"8"	"1"	"2"	"27"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"288"	"0"	"288"	"0"
"69"	"49"	"99"	"259"	"8"	"1"	"11"	"1"	"0"	"6"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"3"	"1"	"1"	"2"	"0"	"0"	"1"	"399"	"0"	"399"	"0"
"70"	"50"	"175"	"99"	"10"	"3"	"17"	"2"	"0"	"68"	"9"	"3"	"2"	"2"	"2"	"12"	"7"	"31"	"20"	"6"	"1"	"2"	"2"	"6"	"479"	"0"	"479"	"0"
"71"	"51"	"60"	"179"	"10"	"12"	"3"	"1"	"3"	"38"	"4"	"1"	"6"	"4"	"89"	"4"	"10"	"9"	"9"	"4"	"2"	"7"	"1"	"10"	"466"	"0"	"466"	"0"
"72"	"52"	"46"	"119"	"9"	"52"	"11"	"2"	"0"	"22"	"4"	"5"	"35"	"3"	"6"	"2"	"6"	"14"	"6"	"4"	"0"	"2"	"1"	"2"	"351"	"0"	"351"	"0"
"73"	"53"	"149"	"19"	"7"	"20"	"3"	"1"	"1"	"51"	"7"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"7"	"6"	"3"	"3"	"1"	"6"	"289"	"0"	"289"	"0"
"74"	"54"	"158"	"36"	"7"	"5"	"10"	"0"	"2"	"31"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"4"	"3"	"1"	"0"	"0"	"2"	"2"	"266"	"0"	"266"	"0"
"75"	"55"	"233"	"44"	"7"	"2"	"4"	"0"	"2"	"77"	"13"	"4"	"2"	"0"	"1"	"4"	"5"	"40"	"38"	"5"	"4"	"4"	"5"	"10"	"504"	"0"	"504"	"0"
"76"	"56"	"218"	"112"	"7"	"1"	"4"	"0"	"3"	"34"	"8"	"6"	"5"	"1"	"0"	"3"	"3"	"14"	"32"	"15"	"2"	"4"	"4"	"14"	"490"	"0"	"490"	"0"
"77"	"l hV  dk
; ksx"	"1953"	"1734"	"159"	"135"	"151"	"13"	"23"	"500"	"67"	"59"	"127"	"14"	"104"	"43"	"45"	"141"	"130"	"48"	"17"	"26"	"17"	"56"	"5562"	"0"	"5562"	"0"
"78"	"d qy  &"	"10913"	"6457"	"866"	"427"	"838"	"75"	"96"	"2234"	"276"	"240"	"244"	"76"	"339"	"196"	"231"	"692"	"484"	"203"	"63"	"93"	"73"	"187"	"25303"	"0"	"25303"	"0"
"79"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"80"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"81"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"82"	"i woZ  dk
; ksx&"	"10913"	"6457"	"866"	"427"	"838"	"75"	"96"	"2234"	"276"	"240"	"244"	"76"	"339"	"196"	"231"	"692"	"484"	"203"	"63"	"93"	"73"	"187"	"25303"	"0"	"25303"	"0"
"83"	"56d"	"88"	"124"	"20"	"4"	"4"	"0"	"4"	"26"	"8"	"5"	"19"	"3"	"1"	"1"	"3"	"17"	"9"	"8"	"6"	"4"	"4"	"6"	"364"	"0"	"364"	"0"
"84"	"57"	"181"	"65"	"36"	"2"	"8"	"0"	"0"	"43"	"2"	"1"	"2"	"0"	"0"	"5"	"4"	"0"	"7"	"2"	"1"	"0"	"0"	"0"	"359"	"0"	"359"	"0"
"85"	"58"	"435"	"71"	"10"	"8"	"5"	"1"	"2"	"18"	"3"	"2"	"1"	"0"	"0"	"2"	"7"	"35"	"35"	"3"	"1"	"0"	"1"	"5"	"645"	"0"	"645"	"0"
"86"	"59"	"196"	"154"	"18"	"7"	"7"	"0"	"3"	"42"	"2"	"0"	"2"	"0"	"2"	"1"	"6"	"9"	"15"	"3"	"2"	"5"	"0"	"8"	"482"	"0"	"482"	"0"
"87"	"60"	"172"	"109"	"9"	"3"	"17"	"1"	"0"	"43"	"7"	"4"	"3"	"1"	"1"	"8"	"7"	"17"	"5"	"4"	"0"	"3"	"0"	"0"	"414"	"0"	"414"	"0"
"88"	"61"	"180"	"55"	"4"	"5"	"11"	"0"	"2"	"45"	"5"	"2"	"0"	"2"	"3"	"2"	"4"	"9"	"3"	"1"	"0"	"0"	"0"	"3"	"336"	"0"	"336"	"0"
"89"	"62"	"127"	"67"	"8"	"3"	"1"	"3"	"2"	"44"	"11"	"5"	"1"	"2"	"82"	"2"	"14"	"6"	"7"	"5"	"0"	"6"	"3"	"2"	"401"	"0"	"401"	"0"
"90"	"63"	"156"	"127"	"9"	"10"	"1"	"1"	"0"	"33"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"1"	"2"	"0"	"1"	"347"	"0"	"347"	"0"
"91"	"64"	"199"	"216"	"13"	"3"	"16"	"2"	"0"	"27"	"2"	"3"	"2"	"3"	"1"	"4"	"2"	"4"	"7"	"1"	"0"	"4"	"1"	"1"	"511"	"0"	"511"	"0"
"92"	"65"	"210"	"197"	"14"	"23"	"25"	"3"	"3"	"47"	"6"	"1"	"6"	"5"	"3"	"6"	"7"	"26"	"6"	"4"	"1"	"1"	"1"	"3"	"598"	"0"	"598"	"0"
"93"	"66"	"169"	"92"	"4"	"6"	"4"	"2"	"2"	"60"	"8"	"6"	"1"	"4"	"58"	"3"	"10"	"15"	"7"	"4"	"0"	"1"	"0"	"8"	"464"	"0"	"464"	"0"
"94"	"67"	"163"	"112"	"6"	"39"	"9"	"1"	"4"	"30"	"4"	"3"	"1"	"2"	"24"	"6"	"10"	"9"	"6"	"1"	"1"	"0"	"3"	"8"	"442"	"0"	"442"	"0"
"95"	"68"	"132"	"226"	"15"	"5"	"15"	"0"	"0"	"34"	"7"	"3"	"2"	"1"	"1"	"7"	"9"	"29"	"57"	"68"	"13"	"14"	"13"	"31"	"682"	"0"	"682"	"0"
"96"	"69"	"244"	"113"	"8"	"1"	"21"	"0"	"2"	"57"	"9"	"4"	"1"	"1"	"2"	"2"	"2"	"6"	"22"	"10"	"0"	"5"	"5"	"14"	"529"	"0"	"529"	"0"
"97"	"l hV  dk
; ksx"	"2652"	"1728"	"174"	"119"	"144"	"14"	"24"	"549"	"75"	"39"	"41"	"24"	"178"	"49"	"85"	"183"	"190"	"114"	"26"	"45"	"31"	"90"	"6574"	"0"	"6574"	"0"
"98"	"d qy  &"	"13565"	"8185"	"1040"	"546"	"982"	"89"	"120"	"2783"	"351"	"279"	"285"	"100"	"517"	"245"	"316"	"875"	"674"	"317"	"89"	"138"	"104"	"277"	"31877"	"0"	"31877"	"0"
"99"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"100"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"102"	"i woZ  dk
; ksx&"	"13565"	"8185"	"1040"	"546"	"982"	"89"	"120"	"2783"	"351"	"279"	"285"	"100"	"517"	"245"	"316"	"875"	"674"	"317"	"89"	"138"	"104"	"277"	"31877"	"0"	"31877"	"0"
"103"	"70"	"122"	"81"	"9"	"5"	"27"	"1"	"0"	"45"	"7"	"6"	"0"	"0"	"0"	"2"	"1"	"3"	"17"	"5"	"2"	"10"	"2"	"4"	"349"	"0"	"349"	"0"
"104"	"71"	"80"	"180"	"6"	"1"	"26"	"1"	"0"	"24"	"4"	"15"	"0"	"2"	"0"	"2"	"0"	"1"	"3"	"3"	"0"	"1"	"1"	"1"	"351"	"0"	"351"	"0"
