"TOTAL.NO.OF.ELECTORS.IN.97.PAROO.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"37"	32	"320"	"237"	"23"	"11"	"6"	"5"	"2"	"1"	"0"	"9"	"3"	"4"	"621"	""	""	""
"38"	33	"253"	"8"	"1"	"25"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"3"	"295"	""	""	""
"39"	34	"70"	"128"	"15"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"221"	""	""	""
"40"	35	"82"	"182"	"3"	"12"	"6"	"2"	"1"	"1"	"2"	"11"	"3"	"7"	"312"	""	""	""
"41"	36	"143"	"110"	"83"	"7"	"2"	"0"	"0"	"1"	"1"	"8"	"5"	"24"	"384"	""	""	""
"42"	37	"321"	"140"	"31"	"11"	"4"	"3"	"6"	"2"	"1"	"12"	"8"	"32"	"571"	""	""	""
"43"	38	"207"	"195"	"7"	"9"	"1"	"1"	"0"	"1"	"4"	"4"	"4"	"6"	"439"	""	""	""
"44"	39	"247"	"26"	"4"	"4"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"8"	"295"	""	""	""
"45"	40	"298"	"51"	"24"	"23"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"6"	"407"	""	""	""
"46"	41	"323"	"108"	"9"	"7"	"0"	"0"	"1"	"1"	"0"	"2"	"5"	"6"	"462"	""	""	""
"47"	42	"170"	"151"	"7"	"14"	"1"	"3"	"1"	"3"	"6"	"4"	"11"	"17"	"388"	""	""	""
"48"	43	"192"	"100"	"145"	"32"	"5"	"2"	"3"	"0"	"5"	"7"	"11"	"22"	"524"	""	""	""
"49"	44	"192"	"249"	"78"	"21"	"2"	"4"	"1"	"5"	"2"	"6"	"4"	"2"	"566"	""	""	""
"50"	45	"216"	"234"	"14"	"2"	"4"	"1"	"2"	"1"	"1"	"13"	"7"	"12"	"507"	""	""	""
"51"	46	"294"	"57"	"44"	"4"	"4"	"6"	"5"	"4"	"4"	"14"	"10"	"32"	"478"	""	""	""
"52"	47	"222"	"138"	"21"	"16"	"3"	"2"	"2"	"0"	"0"	"2"	"1"	"2"	"409"	""	""	""
"53"	48	"125"	"80"	"29"	"6"	"3"	"3"	"1"	"0"	"1"	"7"	"14"	"4"	"273"	""	""	""
"54"	49	"147"	"16"	"10"	"8"	"5"	"3"	"3"	"2"	"1"	"3"	"0"	"9"	"207"	""	""	""
"55"	50	"99"	"139"	"35"	"6"	"6"	"0"	"2"	"7"	"4"	"5"	"8"	"14"	"325"	""	""	""
"56"	51	"214"	"12"	"42"	"5"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"5"	"282"	""	""	""
"57"	52	"143"	"116"	"36"	"5"	"3"	"1"	"1"	"2"	"2"	"5"	"8"	"10"	"332"	""	""	""
"58"	53	"353"	"32"	"12"	"0"	"1"	"1"	"1"	"0"	"0"	"5"	"1"	"8"	"414"	""	""	""
"59"	54	"272"	"247"	"63"	"15"	"6"	"3"	"5"	"1"	"0"	"5"	"5"	"21"	"643"	""	""	""
"60"	55	"410"	"114"	"1"	"3"	"3"	"0"	"1"	"1"	"2"	"3"	"15"	"5"	"558"	""	""	""
"61"	56	"226"	"50"	"21"	"32"	"7"	"3"	"1"	"2"	"1"	"3"	"9"	"10"	"365"	""	""	""
"62"	57	"266"	"206"	"11"	"11"	"6"	"4"	"3"	"1"	"1"	"11"	"10"	"17"	"547"	""	""	""
"63"	58	"93"	"122"	"8"	"7"	"8"	"4"	"2"	"30"	"3"	"9"	"4"	"10"	"300"	""	""	""
"64"	59	"164"	"52"	"1"	"4"	"0"	"0"	"0"	"3"	"0"	"0"	"6"	"3"	"233"	""	""	""
"65"	60	"86"	"410"	"4"	"2"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"10"	"517"	""	""	""
"66"	61	"88"	"560"	"3"	"3"	"2"	"2"	"1"	"1"	"1"	"5"	"4"	"11"	"681"	""	""	""
"67"	62	"406"	"157"	"6"	"14"	"5"	"3"	"6"	"1"	"4"	"6"	"7"	"18"	"633"	""	""	""
"68"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	221188	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"71"	63	"354"	"77"	"2"	"20"	"3"	"0"	"0"	"0"	"0"	"4"	"0"	"3"	"463"	""	""	""
"72"	64	"489"	"53"	"0"	"6"	"1"	"0"	"3"	"0"	"0"	"1"	"5"	"9"	"567"	""	""	""
"73"	65	"156"	"15"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"6"	"183"	""	""	""
"74"	66	"234"	"81"	"4"	"3"	"1"	"0"	"1"	"3"	"2"	"4"	"10"	"13"	"356"	""	""	""
"75"	67	"302"	"25"	"18"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"349"	""	""	""
"76"	68	"273"	"158"	"5"	"16"	"1"	"7"	"6"	"32"	"3"	"6"	"9"	"7"	"523"	""	""	""
"77"	69	"244"	"5"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"254"	""	""	""
"78"	70	"192"	"139"	"35"	"6"	"5"	"3"	"0"	"2"	"4"	"9"	"8"	"18"	"421"	""	""	""
"79"	71	"300"	"55"	"3"	"2"	"1"	"2"	"2"	"1"	"1"	"3"	"1"	"4"	"375"	""	""	""
"80"	72	"156"	"214"	"10"	"3"	"3"	"4"	"1"	"2"	"2"	"4"	"8"	"10"	"417"	""	""	""
"81"	73	"69"	"117"	"0"	"2"	"2"	"0"	"0"	"1"	"0"	"1"	"8"	"2"	"202"	""	""	""
"82"	74	"287"	"84"	"48"	"3"	"5"	"3"	"3"	"0"	"1"	"4"	"1"	"11"	"450"	""	""	""
"83"	75	"209"	"281"	"4"	"4"	"0"	"1"	"1"	"1"	"1"	"5"	"21"	"11"	"539"	""	""	""
"84"	76	"218"	"94"	"2"	"3"	"1"	"5"	"1"	"3"	"2"	"5"	"3"	"6"	"343"	""	""	""
"85"	77	"186"	"182"	"17"	"0"	"3"	"0"	"1"	"0"	"1"	"5"	"2"	"6"	"403"	""	""	""
"86"	78	"158"	"158"	"17"	"6"	"6"	"2"	"5"	"11"	"1"	"5"	"23"	"9"	"401"	""	""	""
"87"	79	"127"	"68"	"7"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"208"	""	""	""
"88"	80	"293"	"76"	"29"	"2"	"2"	"0"	"1"	"15"	"3"	"2"	"3"	"9"	"435"	""	""	""
"89"	81	"235"	"251"	"5"	"10"	"6"	"6"	"1"	"1"	"4"	"7"	"8"	"17"	"551"	""	""	""
"90"	82	"87"	"55"	"9"	"4"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"163"	""	""	""
"91"	83	"194"	"277"	"10"	"6"	"10"	"1"	"3"	"3"	"2"	"12"	"11"	"7"	"536"	""	""	""
"92"	84	"368"	"255"	"5"	"8"	"5"	"3"	"0"	"3"	"2"	"12"	"7"	"17"	"685"	""	""	""
"93"	85	"192"	"277"	"15"	"6"	"13"	"4"	"3"	"2"	"2"	"24"	"13"	"47"	"598"	""	""	""
"94"	86	"227"	"245"	"62"	"13"	"5"	"6"	"2"	"5"	"6"	"16"	"16"	"33"	"636"	""	""	""
"95"	87	"114"	"414"	"27"	"5"	"3"	"1"	"2"	"0"	"6"	"17"	"8"	"13"	"610"	""	""	""
"96"	88	"332"	"121"	"0"	"3"	"0"	"2"	"3"	"3"	"4"	"10"	"12"	"23"	"513"	""	""	""
"97"	89	"106"	"254"	"4"	"2"	"5"	"0"	"1"	"1"	"0"	"6"	"6"	"12"	"397"	""	""	""
"98"	90	"110"	"194"	"2"	"10"	"2"	"1"	"0"	"0"	"2"	"8"	"6"	"11"	"346"	""	""	""
"99"	91	"155"	"153"	"7"	"2"	"4"	"1"	"2"	"0"	"5"	"6"	"13"	"6"	"354"	""	""	""
"100"	92	"76"	"230"	"5"	"10"	"5"	"0"	"0"	"1"	"1"	"11"	"5"	"12"	"356"	""	""	""
"101"	93	"96"	"51"	"1"	"3"	"3"	"3"	"1"	"1"	"0"	"4"	"6"	"3"	"172"	""	""	""
"102"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	221188	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"105"	94	"308"	"96"	"38"	"7"	"4"	"3"	"3"	"0"	"1"	"4"	"12"	"19"	"495"	""	""	""
"106"	95	"157"	"85"	"1"	"11"	"4"	"0"	"0"	"1"	"0"	"2"	"5"	"9"	"275"	""	""	""
"107"	96	"177"	"110"	"13"	"9"	"3"	"1"	"1"	"1"	"3"	"3"	"6"	"11"	"338"	""	""	""
"108"	97	"107"	"48"	"12"	"0"	"4"	"0"	"0"	"0"	"1"	"3"	"4"	"4"	"183"	""	""	""
"109"	98	"272"	"9"	"1"	"10"	"0"	"0"	"1"	"1"	"2"	"3"	"0"	"5"	"304"	""	""	""
"110"	99	"416"	"123"	"19"	"12"	"6"	"2"	"4"	"2"	"1"	"6"	"69"	"11"	"671"	""	""	""
"111"	100	"151"	"110"	"7"	"5"	"1"	"1"	"0"	"0"	"1"	"2"	"2"	"1"	"281"	""	""	""
"112"	101	"36"	"386"	"2"	"2"	"2"	"1"	"1"	"0"	"1"	"5"	"5"	"1"	"442"	""	""	""
"113"	102	"233"	"233"	"12"	"5"	"2"	"1"	"1"	"0"	"1"	"0"	"5"	"8"	"501"	""	""	""
"114"	103	"165"	"87"	"7"	"1"	"3"	"0"	"2"	"0"	"1"	"4"	"3"	"9"	"282"	""	""	""
"115"	104	"154"	"107"	"13"	"1"	"2"	"1"	"1"	"3"	"0"	"4"	"3"	"17"	"306"	""	""	""
"116"	105	"280"	"71"	"11"	"6"	"2"	"1"	"1"	"3"	"1"	"1"	"2"	"9"	"388"	""	""	""
"117"	106	"176"	"182"	"4"	"5"	"8"	"1"	"1"	"3"	"5"	"21"	"15"	"28"	"449"	""	""	""
"118"	107	"128"	"78"	"79"	"6"	"4"	"1"	"2"	"6"	"1"	"4"	"5"	"1"	"315"	""	""	""
"119"	108	"234"	"28"	"181"	"20"	"3"	"2"	"8"	"1"	"4"	"1"	"5"	"12"	"499"	""	""	""
"120"	109	"215"	"146"	"58"	"4"	"0"	"6"	"6"	"101"	"7"	"1"	"8"	"4"	"556"	""	""	""
"121"	110	"44"	"32"	"49"	"2"	"2"	"3"	"24"	"125"	"6"	"3"	"6"	"15"	"311"	""	""	""
"122"	111	"120"	"145"	"116"	"5"	"9"	"8"	"4"	"33"	"1"	"12"	"10"	"18"	"481"	""	""	""
"123"	112	"70"	"168"	"98"	"11"	"2"	"5"	"5"	"45"	"4"	"14"	"6"	"23"	"451"	""	""	""
"124"	113	"129"	"220"	"6"	"19"	"6"	"2"	"5"	"5"	"3"	"10"	"4"	"13"	"422"	""	""	""
"125"	114	"233"	"177"	"156"	"21"	"7"	"8"	"6"	"5"	"1"	"13"	"4"	"20"	"651"	""	""	""
"126"	115	"204"	"205"	"32"	"53"	"7"	"4"	"8"	"3"	"3"	"9"	"9"	"42"	"579"	""	""	""
"127"	116	"121"	"258"	"7"	"12"	"5"	"4"	"4"	"1"	"1"	"13"	"9"	"9"	"444"	""	""	""
"128"	117	"149"	"129"	"7"	"12"	"7"	"3"	"5"	"1"	"3"	"7"	"3"	"13"	"339"	""	""	""
"129"	118	"238"	"165"	"11"	"7"	"2"	"4"	"0"	"3"	"1"	"2"	"6"	"9"	"448"	""	""	""
"130"	119	"248"	"143"	"31"	"10"	"2"	"2"	"2"	"0"	"1"	"1"	"5"	"7"	"452"	""	""	""
"131"	120	"211"	"72"	"9"	"12"	"0"	"0"	"1"	"1"	"4"	"5"	"0"	"22"	"337"	""	""	""
"132"	121	"63"	"17"	"6"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"110"	""	""	""
"133"	122	"215"	"23"	"3"	"15"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"3"	"263"	""	""	""
"134"	123	"145"	"120"	"22"	"8"	"4"	"3"	"4"	"1"	"1"	"6"	"6"	"15"	"335"	""	""	""
"135"	124	"104"	"243"	"23"	"12"	"3"	"0"	"2"	"2"	"2"	"8"	"12"	"12"	"423"	""	""	""
"136"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	221188	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"139"	125	"257"	"36"	"43"	"2"	"1"	"1"	"0"	"2"	"1"	"5"	"15"	"23"	"386"	""	""	""
"140"	126	"293"	"141"	"24"	"13"	"6"	"5"	"2"	"2"	"3"	"5"	"1"	"3"	"498"	""	""	""
"141"	127	"135"	"399"	"9"	"6"	"7"	"0"	"2"	"2"	"3"	"14"	"29"	"34"	"640"	""	""	""
"142"	128	"250"	"307"	"9"	"11"	"2"	"1"	"2"	"0"	"2"	"11"	"5"	"10"	"610"	""	""	""
"143"	129	"270"	"127"	"4"	"4"	"4"	"4"	"0"	"1"	"4"	"2"	"6"	"12"	"438"	""	""	""
"144"	130	"62"	"105"	"2"	"0"	"8"	"3"	"1"	"0"	"0"	"2"	"12"	"3"	"198"	""	""	""
"145"	131	"157"	"221"	"5"	"5"	"4"	"2"	"2"	"1"	"1"	"8"	"7"	"7"	"420"	""	""	""
"146"	132	"105"	"179"	"30"	"2"	"3"	"2"	"3"	"2"	"8"	"12"	"11"	"20"	"377"	""	""	""
"147"	133	"211"	"125"	"12"	"6"	"4"	"1"	"2"	"2"	"1"	"5"	"7"	"22"	"398"	""	""	""
"148"	134	"296"	"105"	"4"	"2"	"2"	"3"	"0"	"0"	"1"	"3"	"9"	"10"	"435"	""	""	""
"149"	135	"115"	"170"	"33"	"7"	"9"	"3"	"3"	"1"	"4"	"9"	"9"	"14"	"377"	""	""	""
"150"	136	"227"	"120"	"40"	"5"	"2"	"0"	"0"	"1"	"1"	"9"	"4"	"4"	"413"	""	""	""
"151"	137	"121"	"150"	"73"	"7"	"4"	"1"	"2"	"0"	"1"	"3"	"6"	"8"	"376"	""	""	""
"152"	138	"144"	"179"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"2"	"8"	"342"	""	""	""
"153"	139	"188"	"171"	"29"	"14"	"5"	"3"	"5"	"1"	"4"	"6"	"8"	"28"	"462"	""	""	""
"154"	140	"296"	"57"	"16"	"6"	"3"	"3"	"3"	"1"	"4"	"6"	"3"	"12"	"410"	""	""	""
"155"	141	"465"	"142"	"6"	"6"	"7"	"8"	"4"	"0"	"2"	"2"	"3"	"4"	"649"	""	""	""
"156"	142	"245"	"46"	"35"	"10"	"5"	"3"	"3"	"8"	"2"	"3"	"6"	"15"	"381"	""	""	""
"157"	143	"306"	"78"	"15"	"2"	"2"	"1"	"3"	"1"	"0"	"0"	"3"	"3"	"414"	""	""	""
"158"	144	"265"	"139"	"9"	"1"	"2"	"4"	"1"	"6"	"1"	"3"	"7"	"14"	"452"	""	""	""
"159"	145	"107"	"194"	"9"	"2"	"0"	"1"	"3"	"1"	"0"	"3"	"2"	"10"	"332"	""	""	""
"160"	146	"178"	"174"	"14"	"3"	"5"	"0"	"2"	"2"	"1"	"11"	"4"	"16"	"410"	""	""	""
"161"	147	"148"	"134"	"2"	"6"	"5"	"1"	"1"	"1"	"2"	"12"	"12"	"22"	"346"	""	""	""
"162"	148	"27"	"330"	"5"	"1"	"0"	"0"	"2"	"3"	"0"	"6"	"4"	"9"	"387"	""	""	""
"163"	149	"143"	"121"	"61"	"2"	"2"	"0"	"1"	"1"	"1"	"2"	"3"	"1"	"338"	""	""	""
"164"	150	"164"	"169"	"36"	"3"	"1"	"0"	"1"	"1"	"4"	"9"	"5"	"9"	"402"	""	""	""
"165"	151	"72"	"226"	"22"	"2"	"4"	"1"	"1"	"1"	"1"	"2"	"7"	"10"	"349"	""	""	""
"166"	152	"277"	"75"	"23"	"6"	"2"	"3"	"2"	"2"	"1"	"2"	"9"	"10"	"412"	""	""	""
"167"	153	"130"	"236"	"25"	"5"	"4"	"0"	"6"	"1"	"4"	"4"	"10"	"7"	"432"	""	""	""
"168"	154	"264"	"112"	"5"	"2"	"2"	"1"	"1"	"0"	"2"	"8"	"7"	"14"	"418"	""	""	""
"169"	155	"133"	"50"	"9"	"1"	"4"	"3"	"2"	"0"	"0"	"6"	"0"	"5"	"213"	""	""	""
"170"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	221188	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"173"	156	"191"	"122"	"51"	"14"	"6"	"0"	"1"	"2"	"3"	"0"	"2"	"2"	"394"	""	""	""
"174"	157	"85"	"41"	"3"	"87"	"4"	"0"	"2"	"3"	"7"	"2"	"4"	"5"	"243"	""	""	""
"175"	158	"158"	"88"	"5"	"6"	"3"	"4"	"3"	"2"	"0"	"0"	"3"	"8"	"280"	""	""	""
"176"	159	"48"	"154"	"7"	"25"	"6"	"0"	"4"	"13"	"3"	"17"	"13"	"26"	"316"	""	""	""
"177"	160	"113"	"68"	"12"	"1"	"0"	"1"	"1"	"3"	"2"	"6"	"6"	"19"	"232"	""	""	""
"178"	161	"459"	"122"	"14"	"7"	"2"	"2"	"1"	"0"	"1"	"5"	"2"	"9"	"624"	""	""	""
"179"	162	"148"	"38"	"2"	"1"	"1"	"0"	"0"	"3"	"3"	"6"	"3"	"5"	"210"	""	""	""
"180"	163	"744"	"82"	"9"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"3"	"841"	""	""	""
"181"	164	"259"	"137"	"30"	"4"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"6"	"442"	""	""	""
"182"	165	"292"	"222"	"34"	"12"	"3"	"4"	"6"	"5"	"4"	"18"	"26"	"48"	"674"	""	""	""
"183"	166	"123"	"121"	"13"	"3"	"3"	"1"	"4"	"17"	"1"	"5"	"4"	"2"	"297"	""	""	""
"184"	167	"133"	"282"	"12"	"2"	"5"	"1"	"3"	"5"	"3"	"2"	"11"	"13"	"472"	""	""	""
"185"	168	"51"	"23"	"195"	"15"	"2"	"2"	"5"	"2"	"2"	"2"	"4"	"15"	"318"	""	""	""
"186"	169	"170"	"141"	"9"	"1"	"5"	"2"	"4"	"0"	"0"	"9"	"4"	"12"	"357"	""	""	""
"187"	170	"292"	"234"	"34"	"7"	"6"	"7"	"6"	"5"	"8"	"11"	"15"	"26"	"651"	""	""	""
"188"	171	"81"	"233"	"39"	"4"	"1"	"0"	"1"	"1"	"0"	"2"	"0"	"1"	"363"	""	""	""
"189"	172	"117"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"128"	""	""	""
"190"	173	"78"	"305"	"4"	"2"	"1"	"0"	"0"	"0"	"2"	"2"	"3"	"2"	"399"	""	""	""
"191"	174	"381"	"28"	"113"	"6"	"2"	"0"	"3"	"2"	"0"	"1"	"2"	"0"	"538"	""	""	""
"192"	175	"84"	"98"	"124"	"14"	"1"	"0"	"1"	"2"	"0"	"2"	"1"	"4"	"331"	""	""	""
"193"	176	"187"	"112"	"15"	"4"	"2"	"4"	"0"	"1"	"0"	"1"	"6"	"7"	"339"	""	""	""
"194"	177	"69"	"262"	"106"	"7"	"5"	"4"	"6"	"0"	"2"	"4"	"13"	"9"	"487"	""	""	""
"195"	178	"172"	"34"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"3"	"214"	""	""	""
"196"	179	"151"	"108"	"5"	"5"	"5"	"1"	"1"	"1"	"1"	"5"	"2"	"2"	"287"	""	""	""
"197"	180	"163"	"269"	"14"	"3"	"0"	"2"	"0"	"2"	"0"	"3"	"6"	"21"	"483"	""	""	""
"198"	181	"224"	"83"	"26"	"3"	"1"	"2"	"0"	"1"	"1"	"2"	"1"	"5"	"349"	""	""	""
"199"	182	"328"	"97"	"44"	"6"	"9"	"1"	"3"	"2"	"10"	"7"	"21"	"35"	"563"	""	""	""
"200"	183	"152"	"20"	"1"	"4"	"1"	"1"	"0"	"1"	"1"	"15"	"1"	"10"	"207"	""	""	""
"201"	184	"261"	"87"	"40"	"7"	"2"	"1"	"5"	"1"	"3"	"1"	"7"	"10"	"425"	""	""	""
