"Total.No..of.Electors.in.Assembly.Constituency.Segment..222459"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"88"	"C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Total No. of Electors in Assembly Constituency/Segment- 222459"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Name of the Assembly/segment- 122-SONEPUR                                                                                                                                                                                                                                                                  Round No…4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"97"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"Kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"98"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"99"	"43"	"227"	"286"	"107"	"4"	"8"	"5"	"18"	"4"	"8"	"6"	"12"	"15"	"700"	"0"	"700"	"0"
"100"	"44"	"171"	"174"	"75"	"3"	"0"	"0"	"0"	"2"	"2"	"0"	"3"	"2"	"432"	"0"	"432"	"0"
"101"	"45"	"148"	"140"	"30"	"2"	"1"	"0"	"4"	"1"	"1"	"4"	"5"	"0"	"336"	"0"	"336"	"0"
"102"	"46"	"145"	"281"	"55"	"7"	"1"	"0"	"4"	"1"	"1"	"1"	"1"	"1"	"498"	"0"	"498"	"0"
"103"	"47"	"129"	"371"	"103"	"3"	"3"	"0"	"3"	"0"	"1"	"4"	"4"	"7"	"628"	"0"	"628"	"0"
"104"	"48"	"216"	"63"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"4"	"292"	"0"	"292"	"0"
"105"	"49"	"222"	"245"	"16"	"4"	"4"	"2"	"6"	"4"	"4"	"1"	"5"	"5"	"518"	"0"	"518"	"0"
"106"	"50"	"240"	"177"	"9"	"0"	"2"	"1"	"4"	"2"	"1"	"0"	"1"	"4"	"441"	"0"	"441"	"0"
"107"	"51"	"243"	"157"	"43"	"4"	"0"	"0"	"4"	"1"	"2"	"5"	"8"	"7"	"474"	"0"	"474"	"0"
"108"	"52"	"190"	"223"	"80"	"7"	"0"	"2"	"3"	"4"	"1"	"4"	"3"	"7"	"524"	"0"	"524"	"0"
"109"	"53"	"735"	"59"	"54"	"3"	"0"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"863"	"0"	"863"	"0"
"110"	"54"	"420"	"146"	"13"	"3"	"0"	"1"	"3"	"1"	"3"	"0"	"3"	"7"	"600"	"0"	"600"	"0"
"111"	"55"	"163"	"153"	"70"	"5"	"0"	"2"	"3"	"3"	"1"	"2"	"3"	"2"	"407"	"0"	"407"	"0"
"112"	"56"	"314"	"148"	"24"	"1"	"1"	"2"	"7"	"2"	"4"	"3"	"5"	"8"	"519"	"0"	"519"	"0"
"113"	"Total"	"3563"	"2623"	"682"	"46"	"20"	"17"	"61"	"27"	"32"	"34"	"57"	"70"	"7232"	"0"	"7232"	"0"
"114"	"B.F."	"10484"	"8738"	"1403"	"116"	"63"	"69"	"182"	"80"	"84"	"71"	"194"	"243"	"21727"	"0"	"21727"	"0"
"115"	"G. Total"	"14047"	"11361"	"2085"	"162"	"83"	"86"	"243"	"107"	"116"	"105"	"251"	"313"	"28959"	"0"	"28959"	"0"
"116"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"20-SARAN PARLIAMENTARY CONSTITUENCY 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Total No. of Electors in Assembly Constituency/Segment- 222459"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Name of the Assembly/segment- 122-SONEPUR                                                                                                                                                                                                                                                                  Round No…5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"126"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"Kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"127"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"128"	"57"	"344"	"93"	"5"	"0"	"1"	"2"	"8"	"1"	"1"	"1"	"1"	"8"	"465"	"0"	"465"	"0"
"129"	"58"	"334"	"88"	"45"	"3"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"475"	"0"	"475"	"0"
"130"	"59"	"99"	"241"	"6"	"1"	"0"	"0"	"4"	"1"	"1"	"1"	"0"	"6"	"360"	"0"	"360"	"0"
"131"	"60"	"55"	"489"	"12"	"1"	"3"	"7"	"8"	"4"	"2"	"1"	"12"	"11"	"605"	"0"	"605"	"0"
"132"	"61"	"227"	"207"	"26"	"4"	"2"	"4"	"5"	"6"	"7"	"7"	"20"	"35"	"550"	"0"	"550"	"0"
"133"	"62"	"5"	"321"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"328"	"0"	"328"	"0"
"134"	"63"	"90"	"402"	"7"	"1"	"2"	"1"	"2"	"3"	"2"	"0"	"4"	"12"	"526"	"0"	"526"	"0"
"135"	"64"	"93"	"257"	"105"	"8"	"8"	"2"	"14"	"6"	"5"	"6"	"9"	"14"	"527"	"0"	"527"	"0"
"136"	"65"	"409"	"81"	"37"	"3"	"0"	"0"	"5"	"0"	"2"	"0"	"1"	"2"	"540"	"0"	"540"	"0"
"137"	"66"	"144"	"367"	"16"	"1"	"0"	"1"	"6"	"1"	"3"	"2"	"18"	"20"	"579"	"0"	"579"	"0"
"138"	"67"	"153"	"322"	"46"	"4"	"4"	"2"	"9"	"4"	"1"	"2"	"3"	"1"	"551"	"0"	"551"	"0"
"139"	"68"	"89"	"306"	"142"	"2"	"0"	"1"	"13"	"6"	"2"	"7"	"9"	"6"	"583"	"0"	"583"	"0"
"140"	"69"	"267"	"88"	"57"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"11"	"430"	"0"	"430"	"0"
"141"	"70"	"383"	"77"	"11"	"1"	"1"	"1"	"4"	"3"	"4"	"5"	"6"	"11"	"507"	"0"	"507"	"0"
"142"	"Total"	"2692"	"3339"	"515"	"31"	"22"	"22"	"80"	"36"	"31"	"33"	"87"	"138"	"7026"	"0"	"7026"	"0"
"143"	"B.F."	"14047"	"11361"	"2085"	"162"	"83"	"86"	"243"	"107"	"116"	"105"	"251"	"313"	"28959"	"0"	"28959"	"0"
"144"	"G. Total"	"16739"	"14700"	"2600"	"193"	"105"	"108"	"323"	"143"	"147"	"138"	"338"	"451"	"35985"	"0"	"35985"	"0"
"145"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency/Segment- 222459"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Name of the Assembly/segment- 122-SONEPUR                                                                                                                                                                                                                                                                  Round No…6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"155"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"Kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"156"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"157"	"71"	"233"	"141"	"38"	"4"	"0"	"1"	"4"	"1"	"1"	"1"	"11"	"12"	"447"	"0"	"447"	"0"
"158"	"72"	"130"	"167"	"260"	"7"	"7"	"4"	"8"	"5"	"4"	"3"	"16"	"9"	"620"	"0"	"620"	"0"
"159"	"73"	"214"	"132"	"25"	"3"	"2"	"0"	"2"	"1"	"0"	"1"	"7"	"2"	"389"	"0"	"389"	"0"
"160"	"74"	"41"	"260"	"6"	"1"	"0"	"6"	"4"	"0"	"1"	"1"	"13"	"2"	"335"	"0"	"335"	"0"
"161"	"75"	"59"	"258"	"6"	"1"	"2"	"2"	"3"	"1"	"2"	"2"	"9"	"7"	"352"	"0"	"352"	"0"
"162"	"76"	"382"	"139"	"12"	"3"	"0"	"0"	"2"	"2"	"0"	"1"	"3"	"12"	"556"	"0"	"556"	"0"
"163"	"77"	"24"	"264"	"5"	"2"	"0"	"1"	"6"	"1"	"0"	"3"	"2"	"2"	"310"	"0"	"310"	"0"
"164"	"78"	"236"	"168"	"43"	"2"	"2"	"1"	"5"	"1"	"0"	"0"	"3"	"1"	"462"	"0"	"462"	"0"
"165"	"79"	"66"	"122"	"4"	"1"	"2"	"1"	"9"	"1"	"3"	"2"	"4"	"9"	"224"	"0"	"224"	"0"
"166"	"80"	"189"	"84"	"19"	"1"	"0"	"1"	"6"	"4"	"1"	"3"	"4"	"11"	"323"	"0"	"323"	"0"
"167"	"81"	"83"	"163"	"129"	"3"	"0"	"0"	"3"	"1"	"3"	"1"	"4"	"3"	"393"	"0"	"393"	"0"
"168"	"82"	"145"	"186"	"55"	"0"	"2"	"2"	"7"	"1"	"2"	"3"	"3"	"0"	"406"	"0"	"406"	"0"
"169"	"83"	"191"	"125"	"16"	"0"	"1"	"0"	"4"	"1"	"2"	"2"	"5"	"10"	"357"	"0"	"357"	"0"
"170"	"84"	"93"	"82"	"171"	"10"	"0"	"4"	"8"	"2"	"4"	"3"	"2"	"1"	"380"	"0"	"380"	"0"
"171"	"Total"	"2086"	"2291"	"789"	"38"	"18"	"23"	"71"	"22"	"23"	"26"	"86"	"81"	"5554"	"0"	"5554"	"0"
"172"	"B.F."	"16739"	"14700"	"2600"	"193"	"105"	"108"	"323"	"143"	"147"	"138"	"338"	"451"	"35985"	"0"	"35985"	"0"
"173"	"G. Total"	"18825"	"16991"	"3389"	"231"	"123"	"131"	"394"	"165"	"170"	"164"	"424"	"532"	"41539"	"0"	"41539"	"0"
"174"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"ary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"180"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"Kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"181"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"182"	"85"	"305"	"112"	"74"	"4"	"0"	"1"	"7"	"0"	"1"	"2"	"2"	"2"	"510"	"0"	"510"	"0"
"183"	"86"	"196"	"237"	"75"	"4"	"2"	"4"	"9"	"6"	"7"	"4"	"5"	"7"	"556"	"0"	"556"	"0"
"184"	"87"	"227"	"144"	"40"	"3"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"3"	"423"	"0"	"423"	"0"
"185"	"88"	"167"	"277"	"104"	"3"	"2"	"3"	"7"	"3"	"2"	"0"	"7"	"3"	"578"	"0"	"578"	"0"
"186"	"89"	"491"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"501"	"0"	"501"	"0"
