"TOTAL.NO.OF.ELECTORS.IN.89..AURAI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X225836"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"24"	"23"	""	""	"110"	"35"	"30"	""	"1"	"0"	"2"	"1"	"1"	"1"	"6"	"2"	"1"	"1"	"4"	"9"	"3"	"3"	"21"	"0"	"31"	"2"	"0"	"2"	"0"	"266"	""	""	""
"25"	"24"	""	""	"126"	"20"	"151"	""	"6"	"1"	"1"	"4"	"1"	"4"	"9"	"4"	"0"	"1"	"2"	"4"	"3"	"14"	"44"	"6"	"18"	"1"	"2"	"0"	"4"	"426"	""	""	""
"26"	"25"	""	""	"89"	"27"	"136"	""	"4"	"0"	"4"	"2"	"5"	"3"	"16"	"0"	"0"	"5"	"4"	"6"	"13"	"1"	"101"	"5"	"84"	"0"	"0"	"0"	"2"	"507"	""	""	""
"27"	"TOTAL NO OF ELECTORS IN 89- AURAI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"29"	"26"	""	""	"44"	"18"	"92"	""	"88"	"4"	"2"	"1"	"3"	"3"	"8"	"4"	"6"	"12"	"11"	"11"	"14"	"0"	"11"	"3"	"107"	"4"	"2"	"0"	"5"	"453"	""	""	""
"30"	"27"	""	""	"86"	"107"	"108"	""	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"15"	"0"	"1"	"0"	"0"	"333"	""	""	""
"31"	"28"	""	""	"172"	"140"	"111"	""	"7"	"0"	"1"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"7"	"2"	"7"	"5"	"11"	"0"	"19"	"2"	"1"	"0"	"4"	"494"	""	""	""
"32"	"29"	""	""	"66"	"130"	"155"	""	"15"	"4"	"2"	"7"	"2"	"4"	"38"	"10"	"4"	"5"	"20"	"18"	"23"	"13"	"102"	"6"	"20"	"0"	"1"	"3"	"7"	"655"	""	""	""
"33"	"30"	""	""	"26"	"94"	"84"	""	"11"	"1"	"0"	"2"	"1"	"0"	"5"	"2"	"0"	"0"	"1"	"4"	"5"	"4"	"28"	"0"	"2"	"1"	"0"	"1"	"1"	"273"	""	""	""
"34"	"31"	""	""	"104"	"59"	"38"	""	"7"	"1"	"2"	"6"	"4"	"9"	"53"	"10"	"5"	"1"	"4"	"12"	"18"	"30"	"281"	"8"	"14"	"3"	"1"	"5"	"26"	"701"	""	""	""
"35"	"32"	""	""	"12"	"50"	"162"	""	"7"	"2"	"3"	"4"	"1"	"2"	"36"	"5"	"2"	"2"	"9"	"11"	"16"	"13"	"242"	"9"	"11"	"2"	"3"	"6"	"11"	"621"	""	""	""
"36"	"33"	""	""	"24"	"203"	"8"	""	"0"	"1"	"0"	"2"	"0"	"1"	"19"	"1"	"0"	"2"	"1"	"2"	"3"	"1"	"44"	"1"	"6"	"1"	"0"	"3"	"2"	"325"	""	""	""
"37"	"34"	""	""	"6"	"106"	"5"	""	"5"	"3"	"1"	"4"	"2"	"3"	"20"	"2"	"4"	"0"	"2"	"5"	"6"	"6"	"102"	"3"	"2"	"0"	"1"	"1"	"5"	"294"	""	""	""
"38"	"35"	""	""	"191"	"87"	"4"	""	"0"	"2"	"3"	"1"	"1"	"3"	"6"	"4"	"0"	"3"	"3"	"7"	"8"	"9"	"27"	"1"	"10"	"3"	"1"	"3"	"3"	"380"	""	""	""
"39"	"36"	""	""	"155"	"72"	"12"	""	"8"	"1"	"3"	"6"	"2"	"7"	"37"	"2"	"2"	"2"	"5"	"8"	"16"	"9"	"98"	"4"	"12"	"4"	"3"	"3"	"6"	"477"	""	""	""
"40"	"37"	""	""	"21"	"6"	"67"	""	"7"	"1"	"1"	"0"	"0"	"1"	"11"	"6"	"2"	"1"	"3"	"1"	"6"	"2"	"91"	"4"	"31"	"0"	"0"	"2"	"5"	"269"	""	""	""
"41"	"38"	""	""	"148"	"69"	"78"	""	"5"	"3"	"1"	"2"	"6"	"2"	"18"	"6"	"2"	"2"	"5"	"10"	"17"	"28"	"89"	"6"	"49"	"6"	"6"	"1"	"15"	"574"	""	""	""
"42"	"39"	""	""	"61"	"129"	"40"	""	"6"	"3"	"5"	"8"	"7"	"4"	"18"	"2"	"5"	"4"	"7"	"27"	"28"	"6"	"30"	"4"	"133"	"4"	"1"	"5"	"8"	"545"	""	""	""
"43"	"40"	""	""	"112"	"50"	"246"	""	"19"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"4"	"4"	"0"	"12"	"0"	"1"	"0"	"2"	"459"	""	""	""
"44"	"41"	""	""	"74"	"85"	"76"	""	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"5"	"6"	"2"	"3"	"0"	"42"	"1"	"0"	"1"	"0"	"304"	""	""	""
"45"	"42"	""	""	"61"	"65"	"143"	""	"7"	"1"	"5"	"4"	"1"	"1"	"3"	"1"	"3"	"0"	"1"	"3"	"6"	"2"	"6"	"0"	"49"	"1"	"2"	"1"	"2"	"368"	""	""	""
"46"	"43"	""	""	"317"	"52"	"8"	""	"2"	"1"	"3"	"3"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"7"	"19"	"6"	"3"	"3"	"1"	"4"	"1"	"7"	"446"	""	""	""
"47"	"44"	""	""	"136"	"16"	"41"	""	"9"	"4"	"2"	"1"	"5"	"2"	"6"	"1"	"1"	"4"	"10"	"9"	"0"	"24"	"10"	"3"	"9"	"2"	"5"	"3"	"4"	"307"	""	""	""
"48"	"45"	""	""	"40"	"133"	"5"	""	"0"	"0"	"2"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"5"	"1"	"2"	"7"	"0"	"11"	"0"	"0"	"1"	"0"	"212"	""	""	""
"49"	"46"	""	""	"49"	"6"	"44"	""	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"6"	"24"	"1"	"8"	"0"	"0"	"0"	"0"	"145"	""	""	""
"50"	"47"	""	""	"56"	"6"	"93"	""	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"4"	"0"	"13"	"0"	"4"	"0"	"0"	"0"	"0"	"181"	""	""	""
"51"	"48"	""	""	"163"	"33"	"25"	""	"6"	"3"	"2"	"3"	"2"	"5"	"7"	"5"	"0"	"0"	"4"	"3"	"9"	"20"	"114"	"6"	"39"	"2"	"4"	"5"	"4"	"464"	""	""	""
"52"	"49"	""	""	"123"	"37"	"78"	""	"2"	"1"	"1"	"2"	"0"	"2"	"3"	"0"	"0"	"2"	"1"	"4"	"4"	"1"	"14"	"0"	"12"	"0"	"0"	"2"	"1"	"290"	""	""	""
"53"	"50"	""	""	"117"	"18"	"88"	""	"11"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"7"	"5"	"8"	"0"	"4"	"2"	"62"	"2"	"1"	"2"	"3"	"338"	""	""	""
"54"	"TOTAL NO OF ELECTORS IN 89- AURAI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"56"	"51"	""	""	"71"	"11"	"11"	""	"46"	"2"	"5"	"1"	"6"	"2"	"4"	"0"	"6"	"8"	"7"	"13"	"20"	"4"	"10"	"2"	"194"	"8"	"2"	"3"	"1"	"437"	""	""	""
"57"	"52"	""	""	"167"	"29"	"36"	""	"2"	"4"	"3"	"2"	"5"	"1"	"0"	"2"	"0"	"0"	"6"	"7"	"5"	"5"	"1"	"0"	"118"	"4"	"1"	"2"	"6"	"406"	""	""	""
"58"	"53"	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""
"59"	"54"	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""
"60"	"55"	""	""	"90"	"126"	"43"	""	"7"	"2"	"4"	"4"	"7"	"5"	"6"	"2"	"5"	"5"	"8"	"17"	"47"	"5"	"4"	"2"	"44"	"1"	"0"	"4"	"8"	"446"	""	""	""
"61"	"56"	""	""	"123"	"234"	"34"	""	"10"	"1"	"4"	"2"	"1"	"5"	"2"	"1"	"3"	"1"	"8"	"0"	"13"	"5"	"11"	"0"	"12"	"0"	"2"	"0"	"2"	"474"	""	""	""
"62"	"57"	""	""	"94"	"35"	"57"	""	"7"	"3"	"2"	"6"	"1"	"6"	"17"	"3"	"1"	"4"	"9"	"5"	"8"	"10"	"34"	"2"	"56"	"2"	"1"	"6"	"4"	"373"	""	""	""
"63"	"58"	""	""	"66"	"4"	"124"	""	"11"	"0"	"1"	"1"	"1"	"1"	"10"	"0"	"1"	"0"	"0"	"2"	"3"	"2"	"95"	"1"	"33"	"3"	"0"	"0"	"0"	"359"	""	""	""
"64"	"59"	""	""	"331"	"82"	"4"	""	"6"	"0"	"1"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"3"	"3"	"3"	"6"	"1"	"1"	"17"	"1"	"0"	"1"	"0"	"466"	""	""	""
"65"	"60"	""	""	"111"	"95"	"180"	""	"23"	"4"	"10"	"11"	"11"	"4"	"20"	"6"	"9"	"3"	"4"	"15"	"39"	"5"	"18"	"4"	"12"	"1"	"1"	"4"	"8"	"598"	""	""	""
"66"	"61"	""	""	"87"	"104"	"165"	""	"25"	"7"	"6"	"5"	"5"	"4"	"8"	"6"	"4"	"6"	"1"	"4"	"7"	"4"	"23"	"2"	"29"	"7"	"3"	"3"	"6"	"521"	""	""	""
"67"	"62"	""	""	"69"	"203"	"15"	""	"3"	"4"	"1"	"0"	"2"	"1"	"4"	"2"	"0"	"1"	"0"	"8"	"14"	"14"	"8"	"1"	"43"	"6"	"1"	"1"	"5"	"406"	""	""	""
"68"	"63"	""	""	"196"	"69"	"9"	""	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"7"	"3"	"2"	"13"	"0"	"0"	"2"	"2"	"309"	""	""	""
"69"	"64"	""	""	"144"	"42"	"76"	""	"69"	"4"	"3"	"3"	"2"	"6"	"1"	"2"	"2"	"4"	"11"	"7"	"25"	"9"	"7"	"2"	"34"	"2"	"2"	"4"	"10"	"471"	""	""	""
"70"	"65"	""	""	"38"	"382"	"6"	""	"3"	"0"	"0"	"0"	"2"	"3"	"2"	"1"	"2"	"1"	"0"	"10"	"6"	"1"	"2"	"0"	"43"	"1"	"0"	"0"	"1"	"504"	""	""	""
"71"	"66"	""	""	"111"	"18"	"126"	""	"40"	"0"	"1"	"0"	"1"	"1"	"4"	"3"	"2"	"1"	"2"	"7"	"5"	"3"	"5"	"8"	"16"	"1"	"0"	"1"	"5"	"361"	""	""	""
"72"	"67"	""	""	"114"	"29"	"73"	""	"10"	"2"	"2"	"2"	"0"	"2"	"1"	"0"	"2"	"2"	"2"	"6"	"7"	"5"	"5"	"0"	"13"	"2"	"0"	"1"	"0"	"280"	""	""	""
"73"	"68"	""	""	"81"	"59"	"50"	""	"82"	"3"	"1"	"4"	"4"	"2"	"8"	"2"	"4"	"6"	"8"	"10"	"12"	"6"	"6"	"2"	"16"	"1"	"1"	"4"	"6"	"378"	""	""	""
"74"	"69"	""	""	"11"	"305"	"26"	""	"1"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	"0"	"6"	"0"	"0"	"0"	"0"	"360"	""	""	""
"75"	"70"	""	""	"99"	"145"	"142"	""	"12"	"3"	"2"	"5"	"2"	"5"	"7"	"3"	"1"	"2"	"6"	"5"	"15"	"5"	"14"	"2"	"2"	"0"	"0"	"1"	"1"	"479"	""	""	""
"76"	"71"	""	""	"37"	"61"	"93"	""	"3"	"2"	"1"	"3"	"2"	"1"	"4"	"1"	"4"	"3"	"7"	"9"	"15"	"10"	"21"	"2"	"46"	"0"	"5"	"5"	"10"	"345"	""	""	""
"77"	"72"	""	""	"17"	"169"	"23"	""	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"2"	"0"	"4"	"7"	"0"	"2"	"1"	"1"	"0"	"0"	"238"	""	""	""
"78"	"73"	""	""	"8"	"326"	"55"	""	"61"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"1"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"462"	""	""	""
"79"	"74"	""	""	"39"	"94"	"99"	""	"14"	"1"	"4"	"5"	"4"	"3"	"3"	"3"	"6"	"2"	"10"	"18"	"16"	"4"	"11"	"4"	"12"	"7"	"4"	"4"	"6"	"373"	""	""	""
"80"	"75"	""	""	"17"	"92"	"93"	""	"37"	"5"	"1"	"1"	"0"	"0"	"2"	"2"	"2"	"2"	"3"	"1"	"0"	"3"	"9"	"1"	"4"	"0"	"1"	"0"	"2"	"278"	""	""	""
"81"	"TOTAL NO OF ELECTORS IN 89- AURAI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"83"	"76"	""	""	"87"	"188"	"26"	""	"4"	"3"	"9"	"4"	"2"	"4"	"6"	"6"	"0"	"4"	"5"	"8"	"18"	"13"	"10"	"4"	"22"	"1"	"3"	"7"	"7"	"441"	""	""	""
"84"	"77"	""	""	"70"	"257"	"19"	""	"31"	"4"	"4"	"5"	"5"	"5"	"7"	"5"	"5"	"4"	"3"	"22"	"33"	"9"	"9"	"2"	"23"	"1"	"3"	"3"	"5"	"534"	""	""	""
"85"	"78"	""	""	"141"	"125"	"25"	""	"3"	"0"	"1"	"1"	"0"	"1"	"7"	"1"	"1"	"3"	"3"	"7"	"10"	"14"	"13"	"2"	"7"	"1"	"0"	"0"	"3"	"369"	""	""	""
"86"	"79"	""	""	"23"	"9"	"167"	""	"12"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	""	""	""
"87"	"80"	""	""	"190"	"146"	"33"	""	"44"	"5"	"4"	"2"	"5"	"0"	"1"	"2"	"6"	"2"	"6"	"12"	"7"	"12"	"14"	"7"	"33"	"0"	"3"	"2"	"6"	"542"	""	""	""
"88"	"81"	""	""	"48"	"305"	"27"	""	"20"	"0"	"2"	"2"	"0"	"0"	"4"	"0"	"1"	"3"	"2"	"4"	"6"	"7"	"31"	"3"	"134"	"0"	"2"	"0"	"3"	"604"	""	""	""
"89"	"82"	""	""	"90"	"16"	"86"	""	"4"	"0"	"3"	"2"	"2"	"2"	"0"	"1"	"1"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"13"	"1"	"2"	"0"	"1"	"230"	""	""	""
"90"	"83"	""	""	"36"	"143"	"20"	""	"4"	"5"	"2"	"2"	"3"	"1"	"3"	"0"	"1"	"1"	"1"	"2"	"3"	"1"	"18"	"0"	"42"	"1"	"0"	"1"	"0"	"290"	""	""	""
"91"	"84"	""	""	"43"	"90"	"165"	""	"15"	"4"	"1"	"2"	"0"	"4"	"0"	"4"	"3"	"3"	"4"	"24"	"15"	"2"	"5"	"1"	"5"	"4"	"1"	"2"	"4"	"401"	""	""	""
"92"	"85"	""	""	"126"	"118"	"38"	""	"43"	"5"	"2"	"2"	"2"	"4"	"7"	"1"	"1"	"2"	"2"	"3"	"24"	"22"	"10"	"2"	"16"	"1"	"3"	"1"	"8"	"443"	""	""	""
"93"	"86"	""	""	"125"	"97"	"30"	""	"29"	"2"	"3"	"1"	"4"	"3"	"1"	"0"	"0"	"6"	"10"	"7"	"9"	"56"	"38"	"4"	"27"	"4"	"9"	"6"	"11"	"482"	""	""	""
"94"	"87"	""	""	"82"	"160"	"72"	""	"8"	"3"	"5"	"3"	"1"	"4"	"4"	"2"	"1"	"2"	"4"	"7"	"11"	"2"	"7"	"1"	"1"	"0"	"0"	"0"	"1"	"381"	""	""	""
"95"	"88"	""	""	"14"	"105"	"36"	""	"57"	"5"	"2"	"0"	"1"	"2"	"1"	"2"	"0"	"4"	"0"	"2"	"2"	"5"	"22"	"3"	"9"	"0"	"0"	"2"	"6"	"280"	""	""	""
"96"	"89"	""	""	"36"	"18"	"43"	""	"12"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"3"	"0"	"23"	"0"	"0"	"2"	"1"	"146"	""	""	""
"97"	"90"	""	""	"69"	"132"	"8"	""	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"5"	"11"	"21"	"4"	"2"	"0"	"16"	"0"	"0"	"1"	"5"	"285"	""	""	""
"98"	"91"	""	""	"17"	"167"	"17"	""	"4"	"0"	"0"	"1"	"0"	"0"	"5"	"2"	"0"	"0"	"0"	"10"	"6"	"5"	"8"	"1"	"6"	"0"	"0"	"2"	"2"	"253"	""	""	""
"99"	"92"	""	""	"124"	"2"	"36"	""	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"4"	"0"	"0"	"2"	"0"	"174"	""	""	""
"100"	"93"	""	""	"70"	"12"	"23"	""	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"2"	"11"	"5"	"5"	"0"	"11"	"1"	"1"	"4"	"5"	"163"	""	""	""
"101"	"94"	""	""	"29"	"214"	"3"	""	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"3"	"1"	"5"	"1"	"0"	"0"	"0"	"1"	"1"	"265"	""	""	""
"102"	"95"	""	""	"18"	"287"	"5"	""	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"0"	"1"	"0"	"2"	"6"	"13"	"2"	"17"	"2"	"5"	"2"	"0"	"1"	"3"	"372"	""	""	""
