"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"68"	"33"	"79"	"169"	"26"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"3"	"286"	"0"	"286"	"0"	""
"69"	"34"	"129"	"58"	"43"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"4"	"3"	"248"	"0"	"248"	"0"	""
"70"	"35"	"44"	"184"	"11"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"244"	"0"	"244"	"0"	""
"71"	"36"	"11"	"169"	"7"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"4"	"3"	"203"	"0"	"203"	"0"	""
"72"	"37"	"28"	"147"	"23"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"202"	"0"	"202"	"0"	""
"73"	"38"	"36"	"214"	"8"	"3"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"10"	"11"	"289"	"0"	"289"	"0"	""
"74"	"39"	"2"	"118"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"3"	"134"	"0"	"134"	"0"	""
"75"	"40"	"176"	"243"	"27"	"1"	"3"	"2"	"3"	"1"	"1"	"0"	"6"	"1"	"1"	"2"	"3"	"12"	"482"	"0"	"482"	"0"	""
"76"	"41"	"88"	"176"	"12"	"1"	"2"	"40"	"9"	"0"	"1"	"2"	"4"	"2"	"1"	"1"	"4"	"12"	"355"	"0"	"355"	"0"	""
"77"	"42"	"93"	"246"	"22"	"4"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"6"	"1"	"379"	"0"	"379"	"0"	""
"78"	"Total :-"	"1195"	"2407"	"225"	"25"	"13"	"75"	"24"	"8"	"5"	"6"	"15"	"8"	"9"	"17"	"44"	"70"	"4146"	"0"	"4146"	"0"	""
"79"	"Till Last
Total :-"	"2987"	"4873"	"423"	"49"	"34"	"458"	"60"	"17"	"25"	"30"	"30"	"24"	"30"	"40"	"93"	"153"	"9326"	"0"	"9326"	"0"	""
"80"	"Grand
Total :-"	"4182"	"7280"	"648"	"74"	"47"	"533"	"84"	"25"	"30"	"36"	"45"	"32"	"39"	"57"	"137"	"223"	"13472"	"0"	"13472"	"0"	""
"81"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"ROUND  4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"96"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"97"	"43"	"105"	"315"	"37"	"32"	"1"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"500"	"0"	"500"	"0"	""
"98"	"44"	"65"	"114"	"11"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"195"	"0"	"195"	"0"	""
"99"	"45"	"163"	"50"	"27"	"0"	"1"	"7"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"3"	"260"	"0"	"260"	"0"	""
"100"	"46"	"484"	"45"	"5"	"4"	"2"	"2"	"1"	"4"	"1"	"5"	"2"	"0"	"1"	"1"	"4"	"16"	"577"	"0"	"577"	"0"	""
"101"	"47"	"116"	"241"	"16"	"4"	"2"	"5"	"2"	"7"	"6"	"4"	"6"	"5"	"8"	"3"	"13"	"32"	"470"	"0"	"470"	"0"	""
"102"	"48"	"110"	"10"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"126"	"0"	"126"	"0"	""
"103"	"49"	"100"	"56"	"3"	"1"	"0"	"0"	"3"	"0"	"2"	"2"	"1"	"3"	"0"	"0"	"1"	"5"	"177"	"0"	"177"	"0"	""
"104"	"50"	"69"	"297"	"60"	"5"	"2"	"3"	"3"	"2"	"1"	"1"	"0"	"3"	"1"	"1"	"2"	"4"	"454"	"0"	"454"	"0"	""
"105"	"51"	"324"	"62"	"20"	"2"	"4"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"12"	"431"	"0"	"431"	"0"	""
"106"	"52"	"325"	"112"	"16"	"1"	"4"	"2"	"1"	"1"	"5"	"0"	"0"	"1"	"1"	"2"	"4"	"5"	"480"	"0"	"480"	"0"	""
"107"	"53"	"5"	"380"	"43"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"0"	"1"	"0"	"2"	"1"	"438"	"0"	"438"	"0"	""
"108"	"54"	"30"	"107"	"5"	"5"	"2"	"21"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"177"	"0"	"177"	"0"	""
"109"	"55"	"93"	"293"	"12"	"0"	"1"	"2"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"4"	"412"	"0"	"412"	"0"	""
"110"	"56"	"20"	"181"	"16"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"3"	"2"	"4"	"233"	"0"	"233"	"0"	""
"111"	"Total :-"	"2009"	"2263"	"271"	"55"	"21"	"47"	"16"	"20"	"20"	"14"	"20"	"15"	"15"	"15"	"37"	"92"	"4930"	"0"	"4930"	"0"	""
"112"	"Till Last
Total :-"	"4182"	"7280"	"648"	"74"	"47"	"533"	"84"	"25"	"30"	"36"	"45"	"32"	"39"	"57"	"137"	"223"	"13472"	"0"	"13472"	"0"	""
"113"	"Grand
Total :-"	"6191"	"9543"	"919"	"129"	"68"	"580"	"100"	"45"	"50"	"50"	"65"	"47"	"54"	"72"	"174"	"315"	"18402"	"0"	"18402"	"0"	""
"114"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"ROUND  5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"123"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"124"	"57"	"198"	"216"	"6"	"1"	"0"	"5"	"1"	"0"	"1"	"0"	"2"	"1"	"3"	"3"	"5"	"6"	"448"	"0"	"448"	"0"	""
"125"	"58"	"31"	"221"	"31"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"290"	"0"	"290"	"0"	""
"126"	"59"	"168"	"162"	"10"	"1"	"0"	"13"	"3"	"3"	"3"	"2"	"4"	"0"	"1"	"3"	"8"	"7"	"388"	"0"	"388"	"0"	""
"127"	"60"	"227"	"67"	"2"	"0"	"1"	"3"	"0"	"1"	"0"	"2"	"1"	"4"	"1"	"2"	"1"	"14"	"326"	"0"	"326"	"0"	""
"128"	"61"	"243"	"125"	"6"	"4"	"0"	"5"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"0"	"3"	"2"	"397"	"0"	"397"	"0"	""
"129"	"62"	"216"	"125"	"14"	"2"	"1"	"14"	"0"	"1"	"1"	"2"	"1"	"1"	"0"	"1"	"4"	"4"	"387"	"0"	"387"	"0"	""
"130"	"63"	"111"	"546"	"13"	"1"	"1"	"4"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"4"	"686"	"0"	"686"	"0"	""
"131"	"64"	"103"	"401"	"11"	"3"	"1"	"1"	"2"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"7"	"5"	"539"	"0"	"539"	"0"	""
"132"	"65"	"84"	"574"	"15"	"1"	"1"	"6"	"1"	"1"	"1"	"2"	"2"	"0"	"1"	"2"	"17"	"13"	"721"	"0"	"721"	"0"	""
"133"	"66"	"115"	"324"	"6"	"0"	"1"	"11"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"0"	"10"	"2"	"475"	"0"	"475"	"0"	""
"134"	"67"	"79"	"205"	"9"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"302"	"0"	"302"	"0"	""
"135"	"68"	"108"	"507"	"40"	"7"	"1"	"7"	"6"	"1"	"2"	"5"	"4"	"1"	"2"	"4"	"7"	"14"	"716"	"0"	"716"	"0"	""
"136"	"69"	"55"	"242"	"22"	"2"	"1"	"4"	"0"	"0"	"0"	"2"	"1"	"2"	"0"	"1"	"4"	"3"	"339"	"0"	"339"	"0"	""
"137"	"70"	"226"	"107"	"44"	"9"	"0"	"7"	"4"	"2"	"1"	"1"	"3"	"1"	"1"	"5"	"7"	"18"	"436"	"0"	"436"	"0"	""
"138"	"Total :-"	"1964"	"3822"	"229"	"35"	"8"	"83"	"20"	"13"	"12"	"20"	"25"	"13"	"12"	"23"	"78"	"93"	"6450"	"0"	"6450"	"0"	""
"139"	"Till Last
Total :-"	"6191"	"9543"	"919"	"129"	"68"	"580"	"100"	"45"	"50"	"50"	"65"	"47"	"54"	"72"	"174"	"315"	"18402"	"0"	"18402"	"0"	""
"140"	"Grand
Total :-"	"8155"	"13365"	"1148"	"164"	"76"	"663"	"120"	"58"	"62"	"70"	"90"	"60"	"66"	"95"	"252"	"408"	"24852"	"0"	"24852"	"0"	""
"141"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"ROUND  6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
