"X.U.091F..U.0947..U.092C..U.0941..U.0932."	"X.U.092E..U.0924..U.0926..U.093E..U.0928."	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X.U.0915..U.0941...U.0932."	"X...U.0924...U.0947...U.092A..U.0924."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924."	"X17..U.0938..U.0940...U.092E..U.0947."
"11"	"8"	"8"	"20"	"4"	"210"	"78"	"0"	"98"	"5"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"3"	"2"	"424"	""	"424"	""	""
"12"	"9"	"9"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"1"	""	""
"13"	"10"	"10"	"14"	"95"	"183"	"141"	"0"	"62"	"1"	"1"	"7"	"0"	"3"	"0"	"5"	"4"	"1"	"6"	"523"	""	"523"	""	""
"14"	"11"	"11"	"17"	"40"	"110"	"230"	"5"	"38"	"2"	"1"	"10"	"5"	"14"	"0"	"8"	"7"	"2"	"6"	"495"	""	"495"	""	""
"15"	"12"	"12"	"90"	"61"	"233"	"198"	"5"	"22"	"2"	"3"	"3"	"1"	"10"	"4"	"9"	"5"	"4"	"14"	"664"	""	"664"	""	""
"16"	"13"	"13"	"125"	"0"	"3"	"49"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"186"	""	"186"	""	""
"17"	"14"	"14"	"102"	"1"	"138"	"90"	"4"	"15"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"355"	""	"355"	""	""
"18"	"<U+092F><U+094B><U+0917>"	""	"457"	"318"	"1492"	"2074"	"40"	"407"	"18"	"11"	"44"	"14"	"51"	"16"	"53"	"35"	"19"	"57"	"5106"	"0"	"5106"	"0"	"0"
"19"	"1"	"15"	"60"	"2"	"230"	"223"	"3"	"49"	"2"	"2"	"8"	"1"	"8"	"1"	"1"	"1"	"3"	"5"	"599"	""	"599"	""	""
"20"	"2"	"16"	"43"	"1"	"25"	"166"	"1"	"54"	"2"	"1"	"1"	"3"	"11"	"3"	"6"	"1"	"1"	"4"	"323"	""	"323"	""	""
"21"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"22"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"23"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"24"	"3"	"17"	"32"	"2"	"123"	"211"	"0"	"24"	"0"	"0"	"1"	"0"	"3"	"1"	"4"	"4"	"1"	"3"	"409"	""	"409"	""	""
"25"	"4"	"18"	"22"	"1"	"50"	"337"	"7"	"26"	"0"	"3"	"1"	"2"	"4"	"1"	"4"	"4"	"2"	"5"	"469"	""	"469"	""	""
"26"	"5"	"19"	"41"	"67"	"68"	"25"	"1"	"79"	"3"	"4"	"1"	"1"	"4"	"4"	"5"	"4"	"5"	"5"	"317"	""	"317"	""	""
"27"	"6"	"20"	"40"	"0"	"70"	"43"	"5"	"56"	"3"	"1"	"36"	"1"	"3"	"3"	"6"	"3"	"4"	"17"	"291"	""	"291"	""	""
"28"	"7"	"21"	"23"	"1"	"168"	"292"	"4"	"19"	"1"	"3"	"2"	"1"	"4"	"1"	"1"	"1"	"0"	"6"	"527"	""	"527"	""	""
"29"	"8"	"22"	"21"	"62"	"206"	"143"	"6"	"99"	"8"	"2"	"8"	"8"	"7"	"7"	"13"	"6"	"3"	"9"	"608"	""	"608"	""	""
"30"	"9"	"23"	"44"	"1"	"16"	"265"	"1"	"12"	"0"	"1"	"0"	"3"	"2"	"1"	"1"	"1"	"3"	"0"	"351"	""	"351"	""	""
"31"	"10"	"24"	"22"	"0"	"34"	"212"	"3"	"21"	"1"	"2"	"1"	"0"	"1"	"1"	"0"	"3"	"2"	"5"	"308"	""	"308"	""	""
"32"	"11"	"25"	"60"	"1"	"168"	"199"	"4"	"19"	"0"	"0"	"4"	"0"	"7"	"5"	"4"	"1"	"4"	"6"	"482"	""	"482"	""	""
"33"	"12"	"26"	"10"	"10"	"78"	"391"	"8"	"29"	"4"	"4"	"15"	"5"	"16"	"6"	"9"	"9"	"3"	"8"	"605"	""	"605"	""	""
"34"	"13"	"27"	"15"	"1"	"250"	"146"	"2"	"13"	"0"	"1"	"0"	"0"	"1"	"0"	"6"	"3"	"0"	"6"	"444"	""	"444"	""	""
"35"	"14"	"28"	"45"	"3"	"201"	"183"	"4"	"11"	"1"	"5"	"1"	"1"	"8"	"3"	"5"	"3"	"7"	"7"	"488"	""	"488"	""	""
"36"	"1"	"29"	"9"	"2"	"88"	"222"	"2"	"5"	"0"	"0"	"4"	"0"	"3"	"0"	"3"	"0"	"0"	"6"	"344"	""	"344"	""	""
"37"	"2"	"30"	"91"	"19"	"62"	"139"	"4"	"9"	"0"	"1"	"7"	"0"	"5"	"1"	"0"	"0"	"1"	"5"	"344"	""	"344"	""	""
"38"	"3"	"31"	"6"	"3"	"37"	"317"	"3"	"2"	"0"	"2"	"19"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"395"	""	"395"	""	""
"39"	"4"	"32"	"27"	"40"	"57"	"120"	"0"	"2"	"0"	"0"	"7"	"1"	"1"	"3"	"3"	"1"	"2"	"3"	"267"	""	"267"	""	""
"40"	"5"	"33"	"1"	"0"	"45"	"118"	"0"	"9"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	""	"175"	""	""
"41"	"6"	"34"	"17"	"2"	"224"	"112"	"3"	"33"	"1"	"0"	"7"	"0"	"3"	"0"	"2"	"0"	"0"	"4"	"408"	""	"408"	""	""
"42"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"43"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"44"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"45"	"7"	"35"	"71"	"2"	"49"	"141"	"2"	"11"	"1"	"3"	"5"	"1"	"7"	"1"	"0"	"1"	"2"	"8"	"305"	""	"305"	""	""
"46"	"8"	"36"	"24"	"8"	"94"	"137"	"2"	"31"	"1"	"0"	"3"	"2"	"10"	"1"	"2"	"7"	"1"	"3"	"326"	""	"326"	""	""
"47"	"9"	"37"	"1"	"60"	"113"	"137"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	"2"	"3"	"323"	""	"323"	""	""
"48"	"10"	"38"	"39"	"11"	"85"	"139"	"5"	"13"	"0"	"1"	"7"	"3"	"7"	"2"	"5"	"1"	"1"	"10"	"329"	""	"329"	""	""
"49"	"11"	"39"	"21"	"43"	"95"	"217"	"4"	"4"	"1"	"4"	"5"	"4"	"3"	"2"	"5"	"1"	"1"	"6"	"416"	""	"416"	""	""
"50"	"12"	"40"	"10"	"3"	"13"	"131"	"5"	"4"	"1"	"2"	"26"	"3"	"3"	"0"	"2"	"0"	"2"	"0"	"205"	""	"205"	""	""
"51"	"13"	"41"	"2"	"0"	"218"	"26"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	""	"249"	""	""
"52"	"14"	"42"	"88"	"28"	"75"	"102"	"1"	"1"	"3"	"1"	"2"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"305"	""	"305"	""	""
"53"	"<U+092F><U+094B><U+0917>"	""	"407"	"221"	"1255"	"2058"	"32"	"126"	"8"	"14"	"95"	"17"	"45"	"12"	"25"	"15"	"12"	"49"	"4391"	"0"	"4391"	"0"	"0"
"54"	"1"	"43"	"50"	"55"	"76"	"65"	"2"	"1"	"0"	"1"	"2"	"2"	"2"	"1"	"3"	"0"	"1"	"2"	"263"	""	"263"	""	""
"55"	"2"	"44"	"8"	"1"	"163"	"41"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"228"	""	"228"	""	""
"56"	"3"	"45"	"12"	"0"	"188"	"182"	"4"	"5"	"1"	"1"	"5"	"1"	"1"	"4"	"9"	"9"	"0"	"4"	"426"	""	"426"	""	""
"57"	"4"	"46"	"6"	"0"	"167"	"185"	"3"	"0"	"2"	"2"	"5"	"0"	"6"	"1"	"2"	"5"	"1"	"4"	"389"	""	"389"	""	""
"58"	"5"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"59"	"6"	"48"	"3"	"0"	"2"	"323"	"1"	"1"	"0"	"1"	"6"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"340"	""	"340"	""	""
"60"	"7"	"49"	"5"	"43"	"47"	"53"	"0"	"1"	"0"	"0"	"10"	"4"	"6"	"3"	"3"	"5"	"1"	"2"	"183"	""	"183"	""	""
"61"	"8"	"50"	"6"	"3"	"362"	"45"	"2"	"30"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"2"	"2"	"459"	""	"459"	""	""
"62"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"63"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"64"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"65"	"9"	"51"	"56"	"32"	"52"	"276"	"3"	"27"	"1"	"2"	"2"	"2"	"2"	"0"	"1"	"3"	"1"	"1"	"461"	""	"461"	""	""
"66"	"10"	"52"	"27"	"50"	"268"	"225"	"5"	"9"	"2"	"2"	"0"	"3"	"7"	"4"	"6"	"5"	"5"	"7"	"625"	""	"625"	""	""
"67"	"11"	"53"	"28"	"2"	"146"	"94"	"5"	"37"	"2"	"1"	"0"	"3"	"4"	"0"	"5"	"1"	"1"	"2"	"331"	""	"331"	""	""
"68"	"12"	"54"	"1"	"0"	"409"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"417"	""	"417"	""	""
"69"	"13"	"55"	"140"	"9"	"26"	"333"	"1"	"23"	"11"	"0"	"13"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"559"	""	"559"	""	""
"70"	"14"	"56"	"34"	"1"	"27"	"149"	"6"	"47"	"2"	"2"	"12"	"1"	"2"	"0"	"2"	"0"	"0"	"2"	"287"	""	"287"	""	""
"71"	"<U+092F><U+094B><U+0917>"	""	"376"	"196"	"1933"	"1972"	"34"	"198"	"24"	"12"	"55"	"17"	"32"	"15"	"34"	"31"	"12"	"27"	"4968"	"0"	"4968"	"0"	"0"
"72"	"1"	"57"	"115"	"4"	"3"	"16"	"1"	"28"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"172"	""	"172"	""	""
"73"	"2"	"58"	"11"	"1"	"257"	"41"	"3"	"0"	"0"	"0"	"4"	"0"	"2"	"1"	"2"	"6"	"1"	"2"	"331"	""	"331"	""	""
"74"	"3"	"59"	"8"	"0"	"20"	"188"	"4"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"226"	""	"226"	""	""
"75"	"4"	"60"	"19"	"94"	"216"	"18"	"3"	"8"	"4"	"0"	"8"	"0"	"1"	"0"	"2"	"3"	"1"	"3"	"380"	""	"380"	""	""
"76"	"5"	"61"	"50"	"5"	"73"	"193"	"8"	"0"	"1"	"2"	"12"	"0"	"5"	"1"	"3"	"1"	"1"	"7"	"362"	""	"362"	""	""
"77"	"6"	"62"	"56"	"33"	"18"	"28"	"0"	"5"	"3"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"150"	""	"150"	""	""
"78"	"7"	"63"	"20"	"86"	"199"	"12"	"4"	"1"	"1"	"0"	"21"	"1"	"1"	"0"	"0"	"3"	"1"	"1"	"351"	""	"351"	""	""
"79"	"8"	"64"	"66"	"56"	"49"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"221"	""	"221"	""	""
"80"	"9"	"65"	"18"	"7"	"321"	"102"	"2"	"5"	"2"	"1"	"3"	"1"	"4"	"0"	"1"	"1"	"0"	"0"	"468"	""	"468"	""	""
"81"	"10"	"66"	"154"	"96"	"24"	"36"	"1"	"57"	"1"	"1"	"0"	"1"	"2"	"0"	"2"	"5"	"2"	"8"	"390"	""	"390"	""	""
"82"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
