"FORM20.192.Sandesh"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"42"	"Booth NO."	"Meena Singh"	"Rama Kishore Singh"	"Reeta Singh"	"Haridwa r Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadha r Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddi n Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnat h Singh"	""
"43"	"38"	"94"	"29"	"15"	"21"	"5"	"164"	"5"	"3"	"7"	"4"	"6"	"2"	"3"	"1"	"7"	"13"	""
"44"	"39"	"55"	"85"	"25"	"9"	"2"	"31"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"5"	"1"	""
"45"	"40"	"166"	"12"	"6"	"4"	"1"	"123"	"4"	"1"	"2"	"4"	"0"	"5"	"0"	"1"	"4"	"10"	""
"46"	"41"	"30"	"160"	"2"	"4"	"3"	"30"	"3"	"7"	"0"	"2"	"0"	"0"	"0"	"1"	"7"	"4"	""
"47"	"42"	"114"	"138"	"3"	"3"	"0"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	""
"48"	"43"	"57"	"61"	"1"	"7"	"0"	"17"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"7"	""
"49"	"44"	"241"	"23"	"58"	"0"	"1"	"48"	"1"	"0"	"1"	"0"	"2"	"3"	"0"	"3"	"3"	"3"	""
"50"	"45"	"182"	"63"	"3"	"8"	"2"	"61"	"2"	"0"	"4"	"3"	"3"	"3"	"3"	"1"	"7"	"3"	""
"51"	"46"	"209"	"29"	"10"	"6"	"4"	"63"	"2"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"2"	"5"	""
"52"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"53"	"48"	"12"	"97"	"9"	"1"	"2"	"84"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"1"	"1"	""
"54"	"49"	"168"	"35"	"6"	"5"	"0"	"147"	"2"	"5"	"1"	"0"	"1"	"0"	"0"	"1"	"4"	"0"	""
"55"	"50"	"12"	"309"	"2"	"7"	"1"	"26"	"0"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"4"	"1"	""
"56"	"51"	"98"	"36"	"12"	"21"	"2"	"166"	"5"	"3"	"1"	"6"	"7"	"2"	"2"	"2"	"6"	"12"	""
"57"	"52"	"198"	"1"	"1"	"10"	"0"	"10"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"58"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"59"	"54"	"191"	"47"	"12"	"17"	"1"	"50"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"15"	""
"60"	"55"	"281"	"154"	"0"	"6"	"1"	"95"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	""
"61"	"56"	"127"	"99"	"4"	"13"	"0"	"171"	"8"	"3"	"3"	"5"	"7"	"2"	"1"	"2"	"11"	"15"	""
"62"	"57"	"142"	"55"	"57"	"1"	"2"	"67"	"0"	"0"	"0"	"3"	"4"	"2"	"1"	"4"	"9"	"1"	""
"63"	"58"	"14"	"461"	"1"	"0"	"0"	"40"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	""
"64"	"59"	"88"	"29"	"9"	"35"	"4"	"226"	"14"	"4"	"4"	"4"	"11"	"4"	"2"	"8"	"11"	"18"	""
"65"	"60"	"562"	"54"	"5"	"10"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"66"	"61"	"592"	"25"	"3"	"5"	"0"	"28"	"1"	"0"	"0"	"1"	"0"	"2"	"2"	"1"	"5"	"6"	""
"67"	"62"	"408"	"16"	"3"	"2"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	""
"68"	"63"	"105"	"50"	"2"	"39"	"1"	"124"	"4"	"3"	"0"	"3"	"1"	"5"	"2"	"2"	"4"	"4"	""
"69"	"64"	"80"	"438"	"2"	"2"	"1"	"45"	"3"	"1"	"2"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	""
"70"	"65"	"383"	"69"	"15"	"1"	"0"	"13"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"4"	""
"71"	"66"	"224"	"64"	"6"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"3"	""
"72"	"67"	"126"	"168"	"101"	"10"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	""
"73"	"68"	"18"	"119"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"74"	"69"	"6"	"257"	"3"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	""
"75"	"70"	"163"	"35"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"76"	"71"	"75"	"19"	"1"	"5"	"3"	"175"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	""
"77"	"72"	"2"	"3"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"78"	"73"	"188"	"112"	"6"	"22"	"1"	"66"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"2"	""
"79"	"74"	"91"	"90"	"4"	"1"	"0"	"11"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	""
"80"	"75"	"49"	"128"	"21"	"5"	"1"	"241"	"3"	"7"	"1"	"2"	"4"	"1"	"3"	"2"	"9"	"3"	""
"81"	"Page 2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"FORM20 192 Sandesh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Booth NO."	"Meena Singh"	"Rama Kishore Singh"	"Reeta Singh"	"Haridwa r Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadha r Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddi n Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnat h Singh"	""
"84"	"76"	"93"	"37"	"0"	"0"	"0"	"31"	"1"	"1"	"1"	"1"	"4"	"1"	"1"	"0"	"3"	"0"	""
"85"	"77"	"44"	"152"	"5"	"0"	"0"	"10"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"3"	"1"	""
"86"	"78"	"237"	"158"	"3"	"8"	"5"	"182"	"5"	"2"	"2"	"4"	"3"	"1"	"1"	"0"	"10"	"9"	""
"87"	"79"	"296"	"90"	"3"	"4"	"0"	"136"	"5"	"3"	"1"	"1"	"2"	"1"	"0"	"2"	"9"	"4"	""
"88"	"80"	"88"	"9"	"3"	"20"	"2"	"370"	"9"	"4"	"1"	"3"	"10"	"8"	"5"	"0"	"13"	"10"	""
"89"	"81"	"87"	"46"	"3"	"2"	"11"	"356"	"8"	"1"	"1"	"5"	"6"	"4"	"2"	"2"	"5"	"7"	""
"90"	"82"	"45"	"60"	"2"	"2"	"0"	"104"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	""
"91"	"83"	"15"	"179"	"2"	"3"	"1"	"12"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"3"	"3"	""
"92"	"84"	"50"	"64"	"24"	"8"	"0"	"147"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"2"	""
"93"	"85"	"154"	"87"	"3"	"6"	"2"	"61"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"7"	"6"	""
"94"	"86"	"46"	"31"	"4"	"0"	"0"	"228"	"4"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"5"	"1"	""
"95"	"87"	"115"	"99"	"4"	"2"	"4"	"138"	"4"	"1"	"0"	"3"	"4"	"2"	"1"	"2"	"1"	"5"	""
"96"	"88"	"97"	"152"	"37"	"4"	"1"	"218"	"5"	"2"	"1"	"3"	"2"	"2"	"3"	"3"	"10"	"10"	""
"97"	"89"	"131"	"144"	"20"	"4"	"0"	"78"	"4"	"3"	"1"	"2"	"0"	"1"	"2"	"0"	"6"	"4"	""
"98"	"90"	"195"	"48"	"11"	"6"	"1"	"37"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"3"	"2"	""
"99"	"91"	"217"	"22"	"2"	"6"	"4"	"291"	"14"	"5"	"2"	"1"	"7"	"4"	"4"	"2"	"11"	"14"	""
"100"	"92"	"53"	"21"	"5"	"4"	"4"	"427"	"10"	"3"	"2"	"0"	"6"	"1"	"1"	"0"	"11"	"3"	""
"101"	"93"	"282"	"9"	"2"	"4"	"0"	"32"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"2"	""
"102"	"94"	"198"	"8"	"5"	"0"	"1"	"22"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	""
"103"	"95"	"123"	"4"	"1"	"4"	"1"	"26"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	""
"104"	"96"	"147"	"8"	"5"	"10"	"0"	"17"	"2"	"2"	"1"	"1"	"1"	"0"	"3"	"1"	"2"	"5"	""
"105"	"97"	"142"	"248"	"1"	"6"	"0"	"25"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	""
"106"	"98"	"11"	"132"	"2"	"0"	"1"	"144"	"1"	"4"	"1"	"2"	"3"	"0"	"1"	"1"	"6"	"3"	""
"107"	"99"	"245"	"34"	"10"	"3"	"0"	"31"	"3"	"2"	"1"	"4"	"2"	"3"	"2"	"1"	"3"	"13"	""
"108"	"100"	"132"	"104"	"30"	"14"	"0"	"114"	"2"	"2"	"1"	"3"	"3"	"4"	"3"	"6"	"25"	"17"	""
"109"	"101"	"331"	"129"	"3"	"5"	"1"	"22"	"1"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"9"	"8"	""
"110"	"102"	"133"	"123"	"19"	"16"	"0"	"37"	"3"	"4"	"0"	"6"	"1"	"1"	"1"	"0"	"4"	"9"	""
"111"	"103"	"84"	"91"	"8"	"5"	"0"	"16"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"4"	"1"	""
"112"	"104"	"95"	"144"	"8"	"9"	"1"	"5"	"1"	"1"	"0"	"3"	"2"	"0"	"1"	"4"	"12"	"7"	""
"113"	"105"	"173"	"38"	"5"	"8"	"3"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"3"	"0"	"3"	"1"	""
"114"	"106"	"194"	"149"	"6"	"16"	"2"	"26"	"1"	"6"	"0"	"1"	"0"	"0"	"2"	"1"	"11"	"3"	""
"115"	"107"	"75"	"190"	"14"	"21"	"0"	"17"	"3"	"1"	"1"	"2"	"3"	"1"	"0"	"6"	"11"	"5"	""
"116"	"108"	"101"	"136"	"57"	"32"	"1"	"32"	"5"	"1"	"6"	"8"	"6"	"5"	"3"	"6"	"20"	"15"	""
"117"	"109"	"82"	"108"	"56"	"11"	"0"	"95"	"5"	"4"	"0"	"1"	"6"	"3"	"8"	"4"	"14"	"20"	""
"118"	"110"	"120"	"15"	"4"	"6"	"0"	"60"	"0"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"9"	"3"	""
"119"	"111"	"75"	"246"	"42"	"5"	"0"	"11"	"2"	"3"	"0"	"2"	"4"	"0"	"1"	"0"	"7"	"5"	""
"120"	"112"	"175"	"142"	"10"	"4"	"1"	"6"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"3"	""
"121"	"113"	"155"	"83"	"25"	"5"	"0"	"3"	"3"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"2"	""
"122"	"Page 3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"FORM20 192 Sandesh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"Booth NO."	"Meena Singh"	"Rama Kishore Singh"	"Reeta Singh"	"Haridwa r Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadha r Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddi n Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnat h Singh"	""
"125"	"114"	"290"	"89"	"38"	"20"	"3"	"19"	"3"	"0"	"1"	"4"	"2"	"0"	"3"	"1"	"10"	"15"	""
"126"	"115"	"262"	"5"	"2"	"5"	"1"	"73"	"3"	"5"	"1"	"1"	"2"	"3"	"1"	"1"	"6"	"10"	""
"127"	"116"	"52"	"20"	"6"	"5"	"1"	"183"	"9"	"2"	"3"	"5"	"11"	"5"	"5"	"5"	"16"	"5"	""
"128"	"117"	"80"	"253"	"3"	"9"	"2"	"86"	"2"	"2"	"1"	"6"	"4"	"3"	"2"	"12"	"17"	"13"	""
"129"	"118"	"135"	"216"	"32"	"16"	"0"	"10"	"2"	"4"	"0"	"4"	"0"	"0"	"0"	"2"	"1"	"1"	""
"130"	"119"	"120"	"263"	"27"	"7"	"5"	"81"	"4"	"10"	"7"	"6"	"16"	"3"	"7"	"9"	"31"	"14"	""
"131"	"120"	"179"	"56"	"41"	"9"	"0"	"95"	"6"	"1"	"2"	"5"	"6"	"8"	"6"	"7"	"12"	"38"	""
"132"	"121"	"237"	"130"	"19"	"14"	"0"	"13"	"2"	"2"	"0"	"3"	"1"	"0"	"2"	"3"	"2"	"5"	""
"133"	"122"	"97"	"175"	"6"	"6"	"0"	"54"	"1"	"4"	"1"	"3"	"1"	"1"	"1"	"7"	"14"	"20"	""
"134"	"123"	"121"	"128"	"4"	"9"	"1"	"24"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	""
"135"	"124"	"163"	"39"	"48"	"2"	"0"	"22"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	""
"136"	"125"	"298"	"175"	"7"	"2"	"0"	"13"	"2"	"3"	"0"	"3"	"1"	"2"	"0"	"2"	"8"	"7"	""
"137"	"126"	"297"	"24"	"1"	"12"	"2"	"25"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"7"	""
"138"	"127"	"28"	"329"	"11"	"9"	"2"	"30"	"2"	"4"	"1"	"2"	"0"	"0"	"1"	"3"	"7"	"1"	""
"139"	"128"	"118"	"74"	"16"	"10"	"2"	"88"	"3"	"8"	"5"	"3"	"3"	"5"	"5"	"4"	"20"	"21"	""
"140"	"129"	"132"	"127"	"5"	"9"	"2"	"82"	"3"	"7"	"1"	"2"	"0"	"1"	"0"	"4"	"9"	"6"	""
"141"	"130"	"206"	"80"	"24"	"18"	"1"	"57"	"7"	"1"	"3"	"3"	"4"	"3"	"2"	"5"	"14"	"5"	""
"142"	"131"	"151"	"91"	"8"	"12"	"4"	"82"	"3"	"8"	"0"	"1"	"1"	"3"	"3"	"0"	"10"	"3"	""
"143"	"132"	"173"	"59"	"2"	"8"	"2"	"177"	"5"	"5"	"2"	"3"	"5"	"3"	"6"	"1"	"14"	"8"	""
"144"	"133"	"192"	"61"	"5"	"5"	"0"	"19"	"1"	"2"	"1"	"3"	"2"	"1"	"1"	"1"	"9"	"7"	""
"145"	"134"	"273"	"32"	"13"	"6"	"3"	"77"	"3"	"1"	"0"	"5"	"1"	"2"	"4"	"2"	"13"	"6"	""
"146"	"135"	"164"	"186"	"8"	"10"	"1"	"85"	"1"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"1"	""
"147"	"136"	"58"	"153"	"6"	"12"	"2"	"108"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"4"	"2"	""
"148"	"137"	"9"	"269"	"2"	"5"	"1"	"63"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"149"	"138"	"197"	"49"	"7"	"16"	"0"	"2"	"1"	"3"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"4"	""
"150"	"139"	"157"	"119"	"6"	"11"	"10"	"71"	"3"	"4"	"3"	"2"	"3"	"2"	"5"	"4"	"16"	"22"	""
"151"	"140"	"134"	"14"	"58"	"2"	"0"	"38"	"4"	"2"	"2"	"1"	"0"	"0"	"1"	"3"	"4"	"7"	""
"152"	"141"	"48"	"139"	"5"	"11"	"0"	"19"	"3"	"2"	"0"	"2"	"2"	"1"	"1"	"2"	"4"	"2"	""
"153"	"142"	"95"	"57"	"2"	"1"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	""
"154"	"143"	"259"	"11"	"3"	"2"	"1"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"155"	"144"	"317"	"53"	"4"	"1"	"0"	"17"	"2"	"6"	"1"	"4"	"1"	"3"	"6"	"5"	"15"	"11"	""
"156"	"145"	"48"	"100"	"0"	"3"	"1"	"37"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"4"	"3"	""
"157"	"146"	"58"	"50"	"1"	"0"	"0"	"92"	"1"	"2"	"1"	"1"	"3"	"1"	"2"	"2"	"0"	"6"	""
"158"	"147"	"9"	"57"	"0"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	""
"159"	"148"	"96"	"105"	"4"	"8"	"3"	"71"	"1"	"5"	"0"	"4"	"4"	"0"	"1"	"3"	"7"	"2"	""
"160"	"149"	"75"	"66"	"11"	"6"	"2"	"92"	"1"	"1"	"1"	"0"	"4"	"0"	"2"	"0"	"2"	"1"	""
"161"	"150"	"76"	"279"	"7"	"10"	"2"	"139"	"3"	"1"	"2"	"4"	"0"	"1"	"1"	"2"	"4"	"2"	""
"162"	"151"	"157"	"59"	"9"	"2"	"7"	"141"	"6"	"3"	"4"	"4"	"1"	"4"	"1"	"1"	"7"	"5"	""
"163"	"Page 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"FORM20 192 Sandesh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Booth NO."	"Meena Singh"	"Rama Kishore Singh"	"Reeta Singh"	"Haridwa r Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadha r Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddi n Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnat h Singh"	""
"166"	"152"	"137"	"35"	"3"	"7"	"4"	"39"	"3"	"0"	"1"	"2"	"2"	"0"	"3"	"4"	"14"	"18"	""
"167"	"153"	"277"	"44"	"4"	"4"	"0"	"12"	"1"	"0"	"0"	"5"	"0"	"0"	"2"	"2"	"3"	"11"	""
"168"	"154"	"64"	"122"	"36"	"4"	"1"	"25"	"0"	"9"	"1"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	""
"169"	"155"	"37"	"67"	"6"	"0"	"0"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	""
"170"	"156"	"77"	"156"	"3"	"5"	"1"	"92"	"1"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"6"	"3"	""
"171"	"157"	"179"	"66"	"19"	"9"	"3"	"279"	"10"	"7"	"4"	"3"	"9"	"3"	"3"	"5"	"10"	"16"	""
"172"	"158"	"66"	"138"	"4"	"4"	"6"	"106"	"5"	"7"	"2"	"3"	"8"	"3"	"2"	"6"	"12"	"10"	""
"173"	"159"	"20"	"92"	"1"	"1"	"0"	"29"	"1"	"5"	"0"	"0"	"5"	"0"	"1"	"2"	"2"	"2"	""
"174"	"160"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"175"	"161"	"165"	"98"	"9"	"2"	"3"	"130"	"5"	"2"	"3"	"5"	"9"	"3"	"1"	"5"	"17"	"21"	""
"176"	"162"	"57"	"196"	"5"	"28"	"1"	"76"	"7"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"2"	""
"177"	"163"	"110"	"96"	"4"	"3"	"0"	"83"	"0"	"1"	"0"	"2"	"2"	"2"	"1"	"2"	"1"	"5"	""
"178"	"164"	"88"	"36"	"1"	"2"	"4"	"214"	"4"	"3"	"1"	"0"	"10"	"0"	"2"	"2"	"11"	"6"	""
