"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:- 255665"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"44"	"21"	"29"	"329"	"8"	""	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"4"	"2"	"4"	"31"	"4"	"418"	"0"	"418"	"0"
"45"	"22"	"1"	"95"	"18"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"114"	"0"	"114"	"0"
"46"	"23"	"83"	"257"	"11"	""	"9"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"2"	"1"	"0"	"1"	"4"	"374"	"0"	"374"	"0"
"47"	"24"	"4"	"43"	"0"	""	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"51"	"0"	"51"	"0"
"48"	"25"	"90"	"236"	"1"	""	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"5"	"11"	"14"	"363"	"0"	"363"	"0"
"49"	"26"	"82"	"195"	"6"	""	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"3"	"2"	"1"	"22"	"10"	"327"	"0"	"327"	"0"
"50"	"27"	"138"	"108"	"5"	""	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"2"	"6"	"266"	"0"	"266"	"0"
"51"	"28"	"62"	"153"	"6"	""	"2"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"1"	"3"	"5"	"7"	"245"	"0"	"245"	"0"
"52"	"Total :-"	"968"	"2836"	"129"	""	"88"	"9"	"14"	"9"	"3"	"10"	"13"	"10"	"24"	"18"	"23"	"128"	"80"	"4362"	"0"	"4362"	"0"
"53"	"Total upto Last Round:-"	"1211"	"2096"	"98"	""	"197"	"14"	"24"	"4"	"10"	"11"	"11"	"13"	"12"	"20"	"32"	"99"	"106"	"3958"	"0"	"3958"	"0"
"54"	"Grand Total :-"	"2179"	"4932"	"227"	""	"285"	"23"	"38"	"13"	"13"	"21"	"24"	"23"	"36"	"38"	"55"	"227"	"186"	"8320"	"0"	"8320"	"0"
"55"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"ROUND  3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Total No. of electors in Assembly Constituency/Segment:- 255665"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"64"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	""	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"65"	"29"	"98"	"96"	"5"	""	"1"	"4"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"5"	"22"	"238"	"0"	"238"	"0"
"66"	"30"	"322"	"60"	"6"	""	"18"	"3"	"3"	"1"	"0"	"0"	"3"	"1"	"7"	"3"	"4"	"2"	"8"	"441"	"0"	"441"	"0"
"67"	"31"	"208"	"58"	"8"	""	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"4"	"4"	"13"	"303"	"0"	"303"	"0"
"68"	"32"	"89"	"349"	"7"	""	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"4"	"8"	"466"	"0"	"466"	"0"
"69"	"33"	"68"	"365"	"8"	""	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"4"	"5"	"19"	"20"	"495"	"0"	"495"	"0"
"70"	"34"	"67"	"468"	"17"	""	"15"	"3"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"6"	"3"	"585"	"0"	"585"	"0"
"71"	"35"	"77"	"417"	"16"	""	"43"	"0"	"1"	"0"	"2"	"2"	"1"	"0"	"2"	"1"	"3"	"14"	"6"	"585"	"0"	"585"	"0"
"72"	"36"	"12"	"403"	"5"	""	"1"	"0"	"3"	"2"	"1"	"0"	"3"	"0"	"2"	"0"	"2"	"11"	"2"	"447"	"0"	"447"	"0"
"73"	"37"	"16"	"365"	"10"	""	"4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"1"	"10"	"10"	"422"	"0"	"422"	"0"
"74"	"38"	"45"	"282"	"6"	""	"2"	"0"	"0"	"0"	"1"	"2"	"2"	"2"	"0"	"2"	"5"	"9"	"15"	"373"	"0"	"373"	"0"
"75"	"39"	"218"	"248"	"13"	""	"2"	"4"	"7"	"2"	"0"	"0"	"5"	"1"	"3"	"0"	"5"	"15"	"16"	"539"	"0"	"539"	"0"
"76"	"40"	"133"	"267"	"6"	""	"2"	"3"	"10"	"4"	"0"	"3"	"3"	"0"	"0"	"1"	"1"	"7"	"7"	"447"	"0"	"447"	"0"
"77"	"41"	"189"	"340"	"18"	""	"7"	"2"	"4"	"2"	"1"	"2"	"4"	"1"	"2"	"2"	"6"	"21"	"22"	"623"	"0"	"623"	"0"
"78"	"42"	"127"	"134"	"10"	""	"10"	"3"	"0"	"1"	"2"	"1"	"4"	"0"	"4"	"0"	"0"	"1"	"3"	"300"	"0"	"300"	"0"
"79"	"Total :-"	"1669"	"3852"	"135"	""	"113"	"24"	"33"	"12"	"9"	"14"	"29"	"6"	"24"	"21"	"40"	"128"	"155"	"6264"	"0"	"6264"	"0"
"80"	"Total upto Last Round:-"	"2179"	"4932"	"227"	""	"285"	"23"	"38"	"13"	"13"	"21"	"24"	"23"	"36"	"38"	"55"	"227"	"186"	"8320"	"0"	"8320"	"0"
"81"	"Grand Total :-"	"3848"	"8784"	"362"	""	"398"	"47"	"71"	"25"	"22"	"35"	"53"	"29"	"60"	"59"	"95"	"355"	"341"	"14584"	"0"	"14584"	"0"
"82"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"ROUND  4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"Total No. of electors in Assembly Constituency/Segment:-255665"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"91"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	""	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"92"	"43"	"56"	"189"	"19"	""	"6"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"3"	"2"	"2"	"7"	"4"	"291"	"0"	"291"	"0"
"93"	"44"	"102"	"392"	"32"	""	"1"	"1"	"4"	"1"	"2"	"3"	"1"	"0"	"2"	"1"	"1"	"17"	"6"	"566"	"0"	"566"	"0"
"94"	"45"	"18"	"285"	"6"	""	"4"	"1"	"1"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	"9"	"6"	"336"	"0"	"336"	"0"
"95"	"46"	"160"	"331"	"35"	""	"8"	"2"	"3"	"2"	"1"	"5"	"1"	"0"	"2"	"3"	"1"	"5"	"6"	"565"	"0"	"565"	"0"
"96"	"47"	"400"	"89"	"16"	""	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"0"	"1"	"1"	"5"	"0"	"5"	"533"	"0"	"533"	"0"
"97"	"48"	"82"	"249"	"13"	""	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"3"	"1"	"353"	"0"	"353"	"0"
"98"	"49"	"213"	"116"	"20"	""	"0"	"1"	"3"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"1"	"2"	"3"	"365"	"0"	"365"	"0"
"99"	"50"	"105"	"188"	"7"	""	"1"	"0"	"3"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"3"	"4"	"316"	"0"	"316"	"0"
"100"	"51"	"218"	"123"	"76"	""	"3"	"4"	"2"	"1"	"2"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"3"	"438"	"0"	"438"	"0"
"101"	"52"	"281"	"51"	"67"	""	"12"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"7"	"1"	"1"	"1"	"1"	"428"	"0"	"428"	"0"
"102"	"53"	"239"	"67"	"60"	""	"5"	"2"	"5"	"2"	"1"	"1"	"3"	"0"	"0"	"3"	"2"	"0"	"3"	"393"	"0"	"393"	"0"
"103"	"54"	"72"	"40"	"25"	""	"2"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"2"	"148"	"0"	"148"	"0"
"104"	"55"	"163"	"55"	"55"	""	"4"	"2"	"3"	"0"	"0"	"1"	"2"	"0"	"3"	"2"	"5"	"1"	"9"	"305"	"0"	"305"	"0"
"105"	"56"	"131"	"75"	"33"	""	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"3"	"248"	"0"	"248"	"0"
"106"	"Total :-"	"2240"	"2250"	"464"	""	"48"	"16"	"27"	"11"	"11"	"18"	"31"	"5"	"22"	"18"	"20"	"48"	"56"	"5285"	"0"	"5285"	"0"
"107"	"Total upto Last Round:-"	"3848"	"8784"	"362"	""	"398"	"47"	"71"	"25"	"22"	"35"	"53"	"29"	"60"	"59"	"95"	"355"	"341"	"14584"	"0"	"14584"	"0"
"108"	"Grand Total :-"	"6088"	"11034"	"826"	""	"446"	"63"	"98"	"36"	"33"	"53"	"84"	"34"	"82"	"77"	"115"	"403"	"397"	"19869"	"0"	"19869"	"0"
"109"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"ROUND  5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Total No. of electors in Assembly Constituency/Segment:-255665"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"118"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	""	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"119"	"57"	"179"	"46"	"18"	""	"4"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"4"	"2"	"1"	"3"	"3"	"265"	"0"	"265"	"0"
"120"	"58"	"271"	"70"	"4"	""	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"352"	"0"	"352"	"0"
"121"	"59"	"230"	"192"	"38"	""	"4"	"2"	"1"	"0"	"2"	"3"	"1"	"1"	"1"	"1"	"4"	"4"	"2"	"486"	"0"	"486"	"0"
"122"	"60"	"177"	"145"	"25"	""	"3"	"3"	"1"	"0"	"3"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"3"	"365"	"0"	"365"	"0"
"123"	"61"	"272"	"99"	"26"	""	"5"	"4"	"3"	"0"	"0"	"0"	"5"	"0"	"2"	"0"	"0"	"2"	"7"	"425"	"0"	"425"	"0"
"124"	"62"	"312"	"50"	"33"	""	"1"	"2"	"1"	"0"	"0"	"0"	"4"	"0"	"2"	"2"	"1"	"1"	"2"	"411"	"0"	"411"	"0"
"125"	"63"	"292"	"68"	"15"	""	"2"	"2"	"3"	"1"	"0"	"1"	"6"	"0"	"3"	"4"	"3"	"2"	"14"	"416"	"0"	"416"	"0"
"126"	"64"	"315"	"16"	"13"	""	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"349"	"0"	"349"	"0"
"127"	"65"	"218"	"55"	"22"	""	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"303"	"0"	"303"	"0"
"128"	"66"	"83"	"110"	"61"	""	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"4"	"3"	"268"	"0"	"268"	"0"
"129"	"67"	"126"	"67"	"42"	""	"6"	"3"	"0"	"0"	"1"	"0"	"3"	"0"	"2"	"1"	"2"	"0"	"3"	"256"	"0"	"256"	"0"
"130"	"68"	"18"	"154"	"14"	""	"4"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"0"	"12"	"6"	"217"	"0"	"217"	"0"
"131"	"69"	"30"	"277"	"91"	""	"4"	"3"	"4"	"1"	"0"	"1"	"2"	"0"	"2"	"0"	"4"	"11"	"14"	"444"	"0"	"444"	"0"
"132"	"70"	"26"	"384"	"27"	""	"9"	"2"	"2"	"2"	"0"	"3"	"3"	"0"	"2"	"3"	"8"	"13"	"7"	"491"	"0"	"491"	"0"
"133"	"Total :-"	"2549"	"1733"	"429"	""	"46"	"29"	"17"	"6"	"7"	"11"	"32"	"2"	"22"	"16"	"28"	"53"	"68"	"5048"	"0"	"5048"	"0"
"134"	"Total upto Last Round:-"	"6088"	"11034"	"826"	""	"446"	"63"	"98"	"36"	"33"	"53"	"84"	"34"	"82"	"77"	"115"	"403"	"397"	"19869"	"0"	"19869"	"0"
"135"	"Grand Total :-"	"8637"	"12767"	"1255"	""	"492"	"92"	"115"	"42"	"40"	"64"	"116"	"36"	"104"	"93"	"143"	"456"	"465"	"24917"	"0"	"24917"	"0"
"136"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"ROUND  6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"Total No. of electors in Assembly Constituency/Segment:-255665"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"145"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	""	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"146"	"71"	"191"	"144"	"22"	""	"5"	"5"	"3"	"1"	"1"	"1"	"3"	"1"	"8"	"2"	"3"	"4"	"7"	"401"	"0"	"401"	"0"
"147"	"72"	"97"	"60"	"4"	""	"3"	"1"	"0"	"1"	"0"	"0"	"5"	"0"	"1"	"2"	"0"	"2"	"3"	"179"	"0"	"179"	"0"
