"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27- BANKA PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"25"	"163"	"20"	"20"	"225"	"227"	"1"	"2"	"0"	"1"	"1"	"3"	"1"	"39"	"2"	"5"	"22"	"4"	"24"	"577"	"Nil"
"26"	"163"	"21"	"5"	"29"	"310"	"0"	"4"	"3"	"0"	"2"	"2"	"0"	"18"	"2"	"3"	"81"	"9"	"1"	"469"	"Nil"
"27"	"163"	"22"	"5"	"59"	"113"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"13"	"2"	"4"	"64"	"5"	"4"	"272"	"Nil"
"28"	"163"	"23"	"4"	"59"	"230"	"5"	"0"	"0"	"0"	"0"	"2"	"1"	"52"	"4"	"10"	"34"	"9"	"8"	"418"	"Nil"
"29"	"163"	"24"	"21"	"165"	"113"	"3"	"1"	"1"	"0"	"0"	"0"	"2"	"11"	"0"	"8"	"82"	"7"	"5"	"419"	"Nil"
"30"	"163"	"25"	"4"	"66"	"241"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"6"	"0"	"4"	"26"	"5"	"1"	"354"	"Nil"
"31"	"163"	"26"	"10"	"68"	"227"	"6"	"0"	"1"	"3"	"0"	"0"	"1"	"26"	"2"	"2"	"11"	"2"	"1"	"360"	"Nil"
"32"	"163"	"27"	"4"	"37"	"332"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"16"	"1"	"3"	"10"	"0"	"0"	"408"	"Nil"
"33"	"163"	"28"	"11"	"11"	"252"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"27"	"0"	"2"	"16"	"1"	"1"	"322"	"Nil"
"34"	"163"	"29"	"52"	"156"	"113"	"6"	"15"	"1"	"3"	"2"	"2"	"1"	"52"	"1"	"13"	"92"	"14"	"13"	"536"	"Nil"
"35"	"163"	"30"	"5"	"64"	"276"	"7"	"2"	"2"	"1"	"3"	"2"	"1"	"48"	"5"	"12"	"55"	"3"	"6"	"492"	"Nil"
"36"	"163"	"31"	"17"	"37"	"343"	"8"	"1"	"0"	"0"	"1"	"1"	"1"	"30"	"3"	"11"	"22"	"4"	"11"	"490"	"Nil"
"37"	"163"	"32"	"4"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"546"	"7"	"0"	"567"	"Nil"
"38"	"163"	"33"	"27"	"80"	"48"	"3"	"1"	"0"	"1"	"0"	"1"	"1"	"20"	"6"	"1"	"64"	"9"	"8"	"270"	"Nil"
"39"	"163"	"34"	"50"	"89"	"16"	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"5"	"1"	"2"	"122"	"8"	"2"	"301"	"Nil"
"40"	"163"	"35"	"66"	"22"	"159"	"27"	"3"	"1"	"2"	"1"	"2"	"2"	"27"	"3"	"5"	"60"	"10"	"3"	"393"	"Nil"
"41"	"163"	"36"	"12"	"148"	"48"	"3"	"1"	"0"	"1"	"0"	"3"	"1"	"21"	"2"	"12"	"185"	"29"	"7"	"473"	"Nil"
"42"	"163"	"37"	"30"	"39"	"148"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"23"	"1"	"0"	"68"	"10"	"8"	"332"	"Nil"
"43"	"163"	"38"	"3"	"0"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"2"	"288"	"1"	"1"	"351"	"Nil"
"44"	"163"	"39"	"166"	"19"	"80"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"14"	"3"	"4"	"38"	"5"	"8"	"340"	"Nil"
"45"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"46"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL
GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"47"	"163"	"40"	"63"	"62"	"58"	"2"	"22"	"2"	"1"	"0"	"3"	"1"	"14"	"6"	"5"	"30"	"4"	"11"	"284"	"Nil"
"48"	"163"	"41"	"33"	"11"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"2"	"1"	"378"	"14"	"8"	"479"	"Nil"
"49"	"163"	"42"	"35"	"50"	"13"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"3"	"215"	"2"	"1"	"324"	"Nil"
"50"	"163"	"43"	"25"	"92"	"69"	"43"	"3"	"3"	"0"	"1"	"3"	"0"	"10"	"1"	"3"	"38"	"7"	"4"	"302"	"Nil"
"51"	"163"	"44"	"20"	"12"	"104"	"1"	"3"	"3"	"0"	"10"	"1"	"1"	"33"	"2"	"7"	"53"	"8"	"2"	"260"	"Nil"
"52"	"163"	"45"	"25"	"181"	"135"	"3"	"37"	"0"	"3"	"4"	"4"	"2"	"30"	"2"	"8"	"28"	"5"	"2"	"469"	"Nil"
"53"	"163"	"46"	"3"	"1"	"114"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"2"	"59"	"4"	"3"	"193"	"Nil"
"54"	"163"	"47"	"2"	"24"	"66"	"1"	"1"	"1"	"2"	"0"	"2"	"1"	"18"	"2"	"2"	"40"	"6"	"14"	"182"	"Nil"
"55"	"163"	"48"	"12"	"377"	"24"	"21"	"5"	"2"	"0"	"3"	"0"	"1"	"10"	"1"	"1"	"12"	"8"	"5"	"482"	"Nil"
"56"	"163"	"49"	"38"	"486"	"19"	"1"	"51"	"1"	"1"	"0"	"4"	"4"	"3"	"1"	"3"	"9"	"11"	"12"	"644"	"Nil"
"57"	"163"	"50"	"4"	"52"	"20"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"10"	"1"	"2"	"413"	"18"	"4"	"527"	"Nil"
"58"	"163"	"51"	"5"	"450"	"68"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"5"	"0"	"1"	"14"	"3"	"0"	"551"	"Nil"
"59"	"163"	"52"	"4"	"5"	"475"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"12"	"1"	"1"	"17"	"0"	"1"	"519"	"Nil"
"60"	"163"	"53"	"2"	"16"	"72"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"8"	"0"	"3"	"239"	"6"	"6"	"354"	"Nil"
"61"	"163"	"54"	"1"	"4"	"29"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"4"	"2"	"0"	"228"	"8"	"1"	"280"	"Nil"
"62"	"163"	"55"	"0"	"6"	"29"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"10"	"1"	"4"	"172"	"11"	"1"	"237"	"Nil"
"63"	"163"	"56"	"4"	"5"	"46"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"32"	"1"	"3"	"198"	"15"	"2"	"311"	"Nil"
"64"	"163"	"57"	"6"	"31"	"55"	"3"	"1"	"0"	"0"	"1"	"2"	"2"	"20"	"0"	"3"	"240"	"8"	"3"	"375"	"Nil"
"65"	"163"	"58"	"63"	"294"	"127"	"3"	"2"	"1"	"3"	"1"	"5"	"1"	"12"	"3"	"4"	"41"	"17"	"12"	"589"	"Nil"
"66"	"163"	"59"	"42"	"254"	"78"	"2"	"10"	"2"	"1"	"3"	"5"	"4"	"19"	"6"	"3"	"79"	"8"	"9"	"525"	"Nil"
"67"	"163"	"60"	"0"	"0"	"16"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"1"	"2"	"521"	"11"	"1"	"557"	"Nil"
"68"	"163"	"61"	"21"	"63"	"442"	"9"	"16"	"7"	"0"	"2"	"8"	"3"	"42"	"6"	"10"	"122"	"22"	"9"	"782"	"Nil"
"69"	"163"	"62"	"20"	"157"	"247"	"13"	"2"	"4"	"1"	"2"	"0"	"1"	"22"	"3"	"6"	"48"	"16"	"8"	"550"	"Nil"
"70"	"163"	"63"	"0"	"6"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"788"	"8"	"1"	"826"	"Nil"
"71"	"163"	"64"	"16"	"37"	"185"	"12"	"4"	"2"	"2"	"1"	"3"	"1"	"43"	"8"	"11"	"42"	"9"	"21"	"397"	"Nil"
"72"	"163"	"65"	"11"	"47"	"109"	"3"	"1"	"2"	"1"	"2"	"1"	"0"	"9"	"1"	"10"	"160"	"18"	"40"	"415"	"Nil"
"73"	"163"	"66"	"8"	"15"	"79"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"12"	"5"	"11"	"81"	"5"	"3"	"221"	"Nil"
"74"	"163"	"67"	"20"	"94"	"190"	"2"	"5"	"0"	"1"	"1"	"2"	"0"	"27"	"3"	"3"	"160"	"10"	"2"	"520"	"Nil"
"75"	"163"	"68"	"6"	"18"	"177"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"14"	"2"	"3"	"52"	"8"	"7"	"290"	"Nil"
"76"	"163"	"69"	"9"	"56"	"83"	"4"	"1"	"1"	"0"	"2"	"1"	"0"	"22"	"2"	"5"	"122"	"14"	"5"	"327"	"Nil"
"77"	"163"	"70"	"19"	"73"	"306"	"8"	"6"	"1"	"0"	"2"	"1"	"4"	"28"	"6"	"16"	"73"	"16"	"35"	"594"	"Nil"
"78"	"163"	"71"	"17"	"9"	"295"	"4"	"2"	"1"	"1"	"1"	"3"	"0"	"26"	"2"	"8"	"46"	"5"	"7"	"427"	"Nil"
"79"	"163"	"72"	"74"	"282"	"27"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"10"	"3"	"1"	"401"	"Nil"
"80"	"163"	"73"	"52"	"250"	"115"	"10"	"1"	"1"	"1"	"2"	"1"	"3"	"9"	"0"	"0"	"9"	"17"	"19"	"490"	"Nil"
"81"	"163"	"74"	"13"	"38"	"225"	"3"	"3"	"1"	"0"	"1"	"0"	"0"	"29"	"1"	"6"	"77"	"10"	"6"	"413"	"Nil"
"82"	"163"	"75"	"14"	"55"	"339"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"21"	"0"	"4"	"58"	"3"	"2"	"498"	"Nil"
"83"	"163"	"76"	"18"	"18"	"325"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"16"	"1"	"3"	"29"	"1"	"3"	"419"	"Nil"
"84"	"163"	"77"	"7"	"109"	"216"	"5"	"1"	"2"	"1"	"2"	"1"	"1"	"46"	"0"	"7"	"25"	"7"	"1"	"431"	"Nil"
"85"	"163"	"78"	"10"	"49"	"388"	"1"	"4"	"0"	"0"	"2"	"2"	"1"	"53"	"1"	"7"	"59"	"9"	"5"	"591"	"Nil"
"86"	"163"	"79"	"15"	"63"	"414"	"3"	"1"	"1"	"1"	"1"	"3"	"8"	"64"	"4"	"13"	"76"	"11"	"13"	"691"	"Nil"
"87"	"163"	"80"	"6"	"52"	"101"	"8"	"0"	"1"	"2"	"2"	"0"	"1"	"39"	"0"	"8"	"226"	"19"	"3"	"468"	"Nil"
"88"	"163"	"81"	"18"	"159"	"241"	"10"	"11"	"3"	"3"	"1"	"4"	"1"	"59"	"4"	"17"	"81"	"34"	"17"	"663"	"Nil"
"89"	"163"	"82"	"4"	"101"	"176"	"6"	"2"	"1"	"0"	"0"	"3"	"1"	"46"	"8"	"12"	"125"	"24"	"14"	"523"	"Nil"
"90"	"163"	"83"	"5"	"244"	"137"	"1"	"0"	"1"	"0"	"2"	"2"	"0"	"20"	"0"	"3"	"27"	"11"	"1"	"454"	"Nil"
"91"	"163"	"84"	"4"	"18"	"306"	"8"	"1"	"1"	"0"	"37"	"1"	"5"	"60"	"4"	"6"	"15"	"2"	"6"	"474"	"Nil"
"92"	"163"	"85"	"5"	"407"	"9"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"12"	"0"	"2"	"439"	"Nil"
"93"	"163"	"86"	"19"	"106"	"223"	"0"	"1"	"3"	"1"	"0"	"0"	"1"	"36"	"3"	"3"	"83"	"11"	"3"	"493"	"Nil"
"94"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"95"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL
GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"96"	"163"	"87"	"22"	"242"	"199"	"3"	"2"	"2"	"0"	"2"	"0"	"5"	"41"	"6"	"5"	"72"	"18"	"12"	"631"	"Nil"
"97"	"163"	"88"	"12"	"47"	"358"	"3"	"4"	"1"	"1"	"0"	"3"	"1"	"76"	"4"	"6"	"53"	"10"	"8"	"587"	"Nil"
"98"	"163"	"89"	"3"	"5"	"142"	"4"	"2"	"0"	"3"	"2"	"3"	"2"	"27"	"5"	"10"	"56"	"7"	"1"	"272"	"Nil"
"99"	"163"	"90"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"Nil"
"100"	"163"	"91"	"18"	"337"	"195"	"2"	"4"	"3"	"0"	"1"	"2"	"0"	"27"	"2"	"1"	"22"	"5"	"5"	"624"	"Nil"
"101"	"163"	"92"	"8"	"158"	"257"	"6"	"6"	"2"	"2"	"1"	"2"	"1"	"48"	"15"	"11"	"50"	"29"	"28"	"624"	"Nil"
"102"	"163"	"93"	"10"	"37"	"350"	"8"	"1"	"1"	"0"	"0"	"5"	"4"	"43"	"1"	"11"	"35"	"1"	"13"	"520"	"Nil"
"103"	"163"	"94"	"6"	"90"	"292"	"8"	"1"	"2"	"3"	"1"	"3"	"3"	"39"	"6"	"7"	"57"	"18"	"21"	"557"	"Nil"
"104"	"163"	"95"	"9"	"73"	"168"	"1"	"5"	"3"	"0"	"0"	"2"	"4"	"16"	"1"	"3"	"35"	"8"	"2"	"330"	"Nil"
"105"	"163"	"96"	"56"	"86"	"329"	"5"	"5"	"1"	"1"	"2"	"5"	"1"	"22"	"3"	"4"	"31"	"3"	"6"	"560"	"Nil"
"106"	"163"	"97"	"20"	"53"	"496"	"5"	"5"	"3"	"1"	"1"	"6"	"1"	"44"	"2"	"9"	"46"	"4"	"2"	"698"	"Nil"
"107"	"163"	"98"	"19"	"48"	"209"	"3"	"6"	"5"	"0"	"1"	"2"	"4"	"20"	"1"	"2"	"47"	"7"	"12"	"386"	"Nil"
"108"	"163"	"99"	"9"	"29"	"118"	"0"	"5"	"0"	"0"	"0"	"1"	"0"	"20"	"1"	"2"	"5"	"1"	"4"	"195"	"Nil"
"109"	"163"	"100"	"6"	"59"	"57"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"20"	"0"	"5"	"216"	"30"	"8"	"405"	"Nil"
"110"	"163"	"101"	"7"	"167"	"19"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"4"	"3"	"10"	"112"	"15"	"4"	"344"	"Nil"
"111"	"163"	"102"	"10"	"42"	"50"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"21"	"3"	"5"	"134"	"29"	"11"	"310"	"Nil"
"112"	"163"	"103"	"10"	"68"	"30"	"0"	"1"	"2"	"0"	"1"	"1"	"3"	"9"	"2"	"5"	"216"	"34"	"6"	"388"	"Nil"
"113"	"163"	"104"	"3"	"108"	"4"	"2"	"66"	"1"	"1"	"1"	"1"	"0"	"0"	"3"	"1"	"34"	"3"	"5"	"233"	"Nil"
"114"	"163"	"105"	"5"	"387"	"2"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"14"	"2"	"1"	"419"	"Nil"
"115"	"163"	"106"	"7"	"179"	"8"	"2"	"27"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"24"	"5"	"2"	"256"	"Nil"
"116"	"163"	"107"	"8"	"696"	"8"	"0"	"26"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"8"	"1"	"2"	"751"	"Nil"
"117"	"163"	"108"	"4"	"485"	"8"	"0"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"1"	"0"	"535"	"Nil"
"118"	"163"	"109"	"5"	"10"	"101"	"3"	"32"	"1"	"1"	"2"	"0"	"3"	"19"	"0"	"3"	"30"	"2"	"1"	"213"	"Nil"
"119"	"163"	"110"	"32"	"446"	"37"	"5"	"77"	"6"	"2"	"3"	"1"	"2"	"4"	"2"	"5"	"73"	"15"	"19"	"729"	"Nil"
"120"	"163"	"111"	"16"	"384"	"23"	"3"	"94"	"1"	"1"	"0"	"1"	"3"	"3"	"1"	"4"	"106"	"6"	"1"	"647"	"Nil"
"121"	"163"	"112"	"23"	"416"	"11"	"7"	"29"	"1"	"0"	"2"	"2"	"3"	"1"	"7"	"3"	"12"	"11"	"13"	"541"	"Nil"
"122"	"163"	"113"	"4"	"27"	"21"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"136"	"6"	"2"	"206"	"Nil"
"123"	"163"	"114"	"10"	"72"	"227"	"59"	"3"	"1"	"1"	"1"	"1"	"1"	"23"	"2"	"3"	"73"	"5"	"6"	"488"	"Nil"
"124"	"163"	"115"	"25"	"320"	"79"	"4"	"140"	"0"	"0"	"0"	"1"	"3"	"13"	"3"	"4"	"8"	"5"	"6"	"611"	"Nil"
"125"	"163"	"116"	"1"	"3"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"2"	"572"	"13"	"1"	"602"	"Nil"
"126"	"163"	"117"	"14"	"126"	"71"	"38"	"1"	"0"	"2"	"4"	"2"	"2"	"13"	"0"	"1"	"58"	"9"	"2"	"343"	"Nil"
"127"	"163"	"118"	"2"	"452"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"1"	"491"	"Nil"
"128"	"163"	"119"	"11"	"657"	"29"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"3"	"4"	"0"	"710"	"Nil"
"129"	"163"	"120"	"4"	"42"	"125"	"1"	"3"	"1"	"0"	"0"	"2"	"0"	"6"	"0"	"7"	"78"	"5"	"6"	"280"	"Nil"
"130"	"163"	"121"	"41"	"374"	"19"	"1"	"36"	"1"	"1"	"1"	"1"	"1"	"6"	"1"	"0"	"3"	"3"	"4"	"493"	"Nil"
"131"	"163"	"122"	"16"	"119"	"238"	"14"	"22"	"0"	"0"	"0"	"0"	"1"	"14"	"1"	"2"	"10"	"3"	"4"	"444"	"Nil"
"132"	"163"	"123"	"3"	"2"	"9"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"2"	"4"	"199"	"10"	"2"	"240"	"Nil"
"133"	"163"	"124"	"7"	"74"	"19"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"252"	"6"	"9"	"377"	"Nil"
"134"	"163"	"125"	"19"	"261"	"89"	"39"	"13"	"0"	"4"	"2"	"1"	"5"	"48"	"10"	"9"	"139"	"29"	"10"	"678"	"Nil"
"135"	"163"	"126"	"52"	"431"	"9"	"5"	"2"	"1"	"2"	"3"	"4"	"3"	"5"	"3"	"11"	"147"	"23"	"10"	"711"	"Nil"
"136"	"163"	"127"	"5"	"235"	"36"	"13"	"10"	"0"	"1"	"1"	"2"	"0"	"4"	"0"	"0"	"85"	"17"	"5"	"414"	"Nil"
"137"	"163"	"128"	"4"	"202"	"75"	"2"	"1"	"2"	"0"	"1"	"2"	"1"	"28"	"2"	"4"	"63"	"34"	"5"	"426"	"Nil"
"138"	"163"	"129"	"15"	"39"	"352"	"8"	"2"	"3"	"3"	"2"	"1"	"4"	"35"	"2"	"7"	"58"	"15"	"6"	"552"	"Nil"
"139"	"163"	"130"	"22"	"75"	"557"	"15"	"12"	"4"	"2"	"2"	"3"	"3"	"25"	"4"	"5"	"4"	"4"	"1"	"738"	"Nil"
"140"	"163"	"131"	"4"	"9"	"34"	"1"	"8"	"1"	"0"	"0"	"2"	"2"	"17"	"5"	"4"	"128"	"29"	"12"	"256"	"Nil"
"141"	"163"	"132"	"16"	"166"	"93"	"5"	"121"	"12"	"2"	"3"	"7"	"2"	"28"	"11"	"4"	"47"	"10"	"8"	"535"	"Nil"
"142"	"163"	"133"	"16"	"273"	"37"	"2"	"37"	"2"	"4"	"1"	"1"	"0"	"15"	"6"	"7"	"74"	"16"	"13"	"504"	"Nil"
"143"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"144"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL
GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"145"	"163"	"134"	"20"	"141"	"73"	"7"	"9"	"2"	"2"	"4"	"2"	"2"	"26"	"0"	"9"	"181"	"24"	"6"	"508"	"Nil"
"146"	"163"	"135"	"17"	"58"	"98"	"4"	"19"	"3"	"1"	"1"	"0"	"0"	"13"	"1"	"4"	"57"	"5"	"6"	"287"	"Nil"
"147"	"163"	"136"	"26"	"213"	"23"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"2"	"1"	"289"	"Nil"
