"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"57"	"l hV dk
; ksx"	"1953"	"2140"	"1626"	"237"	"750"	"42"	"38"	"446"	"63"	"37"	"28"	"17"	"64"	"99"	"51"	"99"	"87"	"49"	"43"	"85"	"31"	"42"	"8027"	"0"	"8027"	"0"
"58"	"d qy  &"	"6082"	"4855"	"5187"	"422"	"1792"	"103"	"98"	"1538"	"171"	"94"	"70"	"60"	"122"	"369"	"154"	"383"	"266"	"179"	"157"	"173"	"93"	"141"	"22509"	"0"	"22509"	"0"
"59"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"60"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"62"	"i woZ  dk
; ksx&"	"6082"	"4855"	"5187"	"422"	"1792"	"103"	"98"	"1538"	"171"	"94"	"70"	"60"	"122"	"369"	"154"	"383"	"266"	"179"	"157"	"173"	"93"	"141"	"22509"	"0"	"22509"	"0"
"63"	"43"	"97"	"165"	"232"	"11"	"15"	"0"	"0"	"15"	"1"	"2"	"2"	"2"	"0"	"5"	"1"	"2"	"9"	"3"	"1"	"1"	"0"	"2"	"566"	"0"	"566"	"0"
"64"	"44"	"114"	"52"	"132"	"7"	"99"	"2"	"2"	"20"	"2"	"0"	"1"	"1"	"0"	"4"	"0"	"3"	"0"	"0"	"2"	"1"	"1"	"1"	"444"	"0"	"444"	"0"
"65"	"45"	"203"	"100"	"213"	"2"	"1"	"0"	"0"	"32"	"3"	"1"	"0"	"1"	"1"	"5"	"5"	"6"	"5"	"1"	"2"	"2"	"1"	"2"	"586"	"0"	"586"	"0"
"66"	"46"	"161"	"141"	"210"	"7"	"8"	"2"	"2"	"31"	"0"	"2"	"3"	"2"	"0"	"6"	"1"	"2"	"3"	"3"	"4"	"2"	"0"	"1"	"591"	"0"	"591"	"0"
"67"	"47"	"378"	"52"	"170"	"35"	"17"	"3"	"0"	"65"	"9"	"5"	"2"	"0"	"2"	"6"	"2"	"10"	"16"	"1"	"1"	"3"	"0"	"4"	"781"	"0"	"781"	"0"
"68"	"48"	"50"	"124"	"51"	"3"	"32"	"4"	"0"	"13"	"1"	"1"	"1"	"1"	"0"	"1"	"3"	"3"	"20"	"15"	"11"	"9"	"4"	"7"	"354"	"0"	"354"	"0"
"69"	"49"	"115"	"35"	"164"	"9"	"14"	"0"	"4"	"24"	"1"	"1"	"2"	"1"	"2"	"11"	"2"	"4"	"8"	"1"	"1"	"0"	"0"	"2"	"401"	"0"	"401"	"0"
"70"	"50"	"82"	"62"	"184"	"22"	"41"	"2"	"2"	"42"	"5"	"4"	"5"	"3"	"1"	"11"	"5"	"7"	"9"	"4"	"6"	"9"	"2"	"2"	"510"	"0"	"510"	"0"
"71"	"51"	"76"	"41"	"41"	"5"	"47"	"1"	"0"	"16"	"1"	"0"	"1"	"0"	"1"	"4"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"2"	"240"	"0"	"240"	"0"
"72"	"52"	"119"	"54"	"151"	"5"	"5"	"0"	"0"	"34"	"3"	"1"	"0"	"0"	"3"	"4"	"1"	"2"	"3"	"2"	"4"	"1"	"0"	"3"	"395"	"0"	"395"	"0"
"73"	"53"	"133"	"153"	"147"	"5"	"4"	"1"	"0"	"28"	"7"	"5"	"0"	"0"	"5"	"9"	"3"	"3"	"27"	"11"	"8"	"11"	"5"	"8"	"573"	"0"	"573"	"0"
"74"	"54"	"171"	"78"	"66"	"2"	"17"	"0"	"0"	"19"	"4"	"1"	"0"	"0"	"2"	"4"	"3"	"10"	"6"	"4"	"3"	"0"	"0"	"1"	"391"	"0"	"391"	"0"
"75"	"55"	"45"	"222"	"26"	"4"	"43"	"1"	"3"	"15"	"1"	"4"	"1"	"1"	"4"	"6"	"14"	"14"	"10"	"5"	"0"	"6"	"2"	"3"	"430"	"0"	"430"	"0"
"76"	"56"	"108"	"152"	"44"	"2"	"15"	"0"	"3"	"8"	"2"	"1"	"1"	"1"	"0"	"1"	"2"	"2"	"1"	"7"	"4"	"4"	"4"	"1"	"363"	"0"	"363"	"0"
"77"	"l hV dk
; ksx"	"1852"	"1431"	"1831"	"119"	"358"	"16"	"16"	"362"	"40"	"28"	"19"	"13"	"21"	"77"	"42"	"68"	"120"	"57"	"47"	"50"	"19"	"39"	"6625"	"0"	"6625"	"0"
"78"	"d qy  &"	"7934"	"6286"	"7018"	"541"	"2150"	"119"	"114"	"1900"	"211"	"122"	"89"	"73"	"143"	"446"	"196"	"451"	"386"	"236"	"204"	"223"	"112"	"180"	"29134"	"0"	"29134"	"0"
"79"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"80"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"81"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"82"	"i woZ  dk
; ksx&"	"7934"	"6286"	"7018"	"541"	"2150"	"119"	"114"	"1900"	"211"	"122"	"89"	"73"	"143"	"446"	"196"	"451"	"386"	"236"	"204"	"223"	"112"	"180"	"29134"	"0"	"29134"	"0"
"83"	"57"	"101"	"139"	"14"	"4"	"22"	"1"	"2"	"9"	"2"	"1"	"0"	"0"	"0"	"1"	"6"	"11"	"7"	"6"	"5"	"4"	"2"	"2"	"339"	"0"	"339"	"0"
"84"	"58"	"124"	"232"	"74"	"6"	"12"	"2"	"2"	"20"	"0"	"0"	"1"	"1"	"1"	"5"	"3"	"13"	"6"	"5"	"3"	"0"	"0"	"5"	"515"	"0"	"515"	"0"
"85"	"59"	"41"	"91"	"31"	"9"	"25"	"3"	"0"	"10"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"218"	"0"	"218"	"0"
"86"	"60"	"138"	"116"	"37"	"7"	"81"	"4"	"0"	"42"	"1"	"1"	"4"	"3"	"0"	"7"	"0"	"4"	"17"	"5"	"4"	"11"	"4"	"8"	"494"	"0"	"494"	"0"
"87"	"61"	"107"	"203"	"43"	"10"	"33"	"1"	"2"	"21"	"2"	"0"	"6"	"0"	"0"	"10"	"9"	"12"	"21"	"28"	"4"	"8"	"7"	"7"	"534"	"0"	"534"	"0"
"88"	"62"	"32"	"184"	"45"	"2"	"31"	"0"	"1"	"3"	"1"	"0"	"2"	"1"	"1"	"4"	"1"	"1"	"3"	"8"	"4"	"3"	"1"	"5"	"333"	"0"	"333"	"0"
"89"	"63"	"131"	"107"	"125"	"11"	"14"	"2"	"3"	"56"	"7"	"5"	"2"	"2"	"4"	"13"	"8"	"19"	"8"	"3"	"3"	"2"	"2"	"5"	"532"	"0"	"532"	"0"
"90"	"64"	"18"	"149"	"43"	"30"	"9"	"1"	"1"	"7"	"2"	"4"	"1"	"1"	"1"	"4"	"3"	"4"	"3"	"2"	"0"	"3"	"1"	"1"	"288"	"0"	"288"	"0"
"91"	"65"	"106"	"176"	"25"	"0"	"25"	"2"	"2"	"30"	"3"	"1"	"1"	"0"	"3"	"2"	"3"	"2"	"5"	"3"	"2"	"3"	"0"	"4"	"398"	"0"	"398"	"0"
"92"	"66"	"142"	"99"	"94"	"11"	"82"	"1"	"4"	"52"	"3"	"2"	"0"	"1"	"0"	"3"	"3"	"8"	"4"	"3"	"2"	"3"	"2"	"4"	"523"	"0"	"523"	"0"
"93"	"67"	"147"	"159"	"51"	"6"	"17"	"2"	"2"	"30"	"4"	"3"	"7"	"4"	"1"	"10"	"9"	"29"	"11"	"10"	"2"	"3"	"4"	"3"	"514"	"0"	"514"	"0"
"94"	"68"	"168"	"134"	"76"	"7"	"47"	"1"	"5"	"40"	"7"	"3"	"4"	"4"	"6"	"14"	"10"	"24"	"19"	"7"	"9"	"5"	"4"	"12"	"606"	"0"	"606"	"0"
"95"	"69"	"211"	"58"	"88"	"18"	"36"	"0"	"0"	"29"	"1"	"0"	"1"	"2"	"0"	"3"	"0"	"6"	"9"	"2"	"0"	"3"	"0"	"8"	"475"	"0"	"475"	"0"
"96"	"70"	"144"	"42"	"107"	"8"	"15"	"0"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"332"	"0"	"332"	"0"
"97"	"l hV dk
; ksx"	"1610"	"1889"	"853"	"129"	"449"	"20"	"24"	"357"	"35"	"21"	"29"	"19"	"17"	"80"	"55"	"136"	"115"	"82"	"39"	"48"	"27"	"67"	"6101"	"0"	"6101"	"0"
"98"	"d qy  &"	"9544"	"8175"	"7871"	"670"	"2599"	"139"	"138"	"2257"	"246"	"143"	"118"	"92"	"160"	"526"	"251"	"587"	"501"	"318"	"243"	"271"	"139"	"247"	"35235"	"0"	"35235"	"0"
"99"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"100"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"102"	"i woZ  dk
; ksx&"	"9544"	"8175"	"7871"	"670"	"2599"	"139"	"138"	"2257"	"246"	"143"	"118"	"92"	"160"	"526"	"251"	"587"	"501"	"318"	"243"	"271"	"139"	"247"	"35235"	"0"	"35235"	"0"
"103"	"71"	"51"	"265"	"56"	"2"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"2"	"1"	"2"	"2"	"7"	"3"	"8"	"5"	"6"	"1"	"1"	"418"	"0"	"418"	"0"
"104"	"72"	"154"	"95"	"128"	"19"	"24"	"2"	"6"	"45"	"3"	"4"	"2"	"2"	"1"	"14"	"7"	"14"	"5"	"5"	"3"	"5"	"0"	"0"	"538"	"0"	"538"	"0"
