"Candidates.Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahas.eth"	"Sitaram.Yadav"	"S..Abu.Dauja.na"	"Chitar.anjan.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandrika.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"39"	"270"	"7"	"43"	"29"	"108"	"5"	"11"	"18"	"6"	"3"	"4"	"5"	"3"	"512"
"43"	"40"	"22"	"19"	"88"	"71"	"71"	"3"	"1"	"4"	"1"	"2"	"0"	"6"	"5"	"293"
"44"	"41"	"24"	"3"	"87"	"65"	"89"	"5"	"1"	"5"	"3"	"2"	"3"	"8"	"2"	"297"
"45"	"42"	"522"	"12"	"43"	"29"	"0"	"0"	"3"	"11"	"1"	"2"	"0"	"1"	"3"	"627"
"46"	"43"	"240"	"36"	"11"	"160"	"3"	"3"	"2"	"10"	"1"	"0"	"0"	"0"	"2"	"468"
"47"	"44"	"240"	"14"	"112"	"96"	"8"	"2"	"2"	"8"	"1"	"2"	"1"	"0"	"0"	"486"
"48"	"45"	"360"	"18"	"195"	"90"	"0"	"1"	"2"	"2"	"1"	"0"	"1"	"1"	"2"	"673"
"49"	"46"	"383"	"45"	"20"	"50"	"1"	"2"	"1"	"7"	"1"	"0"	"1"	"0"	"1"	"512"
"50"	"47"	"255"	"3"	"26"	"91"	"3"	"3"	"1"	"5"	"2"	"2"	"0"	"3"	"1"	"395"
"51"	"48"	"84"	"7"	"127"	"102"	"36"	"1"	"2"	"1"	"2"	"1"	"0"	"1"	"0"	"364"
"52"	"49"	"171"	"9"	"157"	"98"	"26"	"3"	"5"	"13"	"4"	"1"	"1"	"1"	"1"	"490"
"53"	"50"	"363"	"24"	"164"	"64"	"3"	"2"	"3"	"14"	"4"	"3"	"2"	"1"	"2"	"649"
"54"	"51"	"372"	"2"	"72"	"9"	"0"	"1"	"0"	"5"	"2"	"0"	"0"	"0"	"1"	"464"
"55"	"52"	"261"	"20"	"83"	"16"	"4"	"0"	"0"	"1"	"5"	"0"	"1"	"0"	"1"	"392"
"56"	"53"	"298"	"12"	"60"	"54"	"1"	"1"	"0"	"2"	"2"	"0"	"1"	"1"	"0"	"432"
"57"	"54"	"257"	"9"	"63"	"27"	"0"	"1"	"3"	"4"	"4"	"1"	"4"	"0"	"1"	"374"
"58"	"55"	"122"	"6"	"143"	"166"	"57"	"3"	"2"	"5"	"1"	"1"	"2"	"4"	"4"	"516"
"59"	"56"	"251"	"5"	"144"	"49"	"8"	"4"	"4"	"8"	"3"	"1"	"3"	"3"	"1"	"484"
"60"	"57"	"207"	"13"	"24"	"241"	"12"	"5"	"1"	"11"	"4"	"5"	"1"	"2"	"1"	"527"
"61"	"58"	"521"	"5"	"50"	"34"	"2"	"2"	"4"	"7"	"2"	"1"	"2"	"0"	"0"	"630"
"62"	"59"	"299"	"10"	"96"	"24"	"1"	"1"	"2"	"11"	"0"	"2"	"0"	"0"	"2"	"448"
"63"	"60"	"291"	"3"	"104"	"56"	"3"	"0"	"2"	"14"	"2"	"1"	"1"	"3"	"3"	"483"
"64"	"61"	"227"	"6"	"138"	"32"	"6"	"4"	"8"	"19"	"7"	"9"	"4"	"7"	"2"	"469"
"65"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahas eth"	"Sitaram Yadav"	"S.
Abu Dauja na"	"Chitar anjan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrika Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"66"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"69"	"62"	"422"	"12"	"78"	"23"	"1"	"0"	"8"	"37"	"10"	"4"	"7"	"4"	"4"	"610"
"70"	"63"	"361"	"10"	"31"	"87"	"3"	"3"	"5"	"11"	"5"	"2"	"5"	"4"	"4"	"531"
"71"	"64"	"254"	"4"	"40"	"63"	"3"	"0"	"1"	"4"	"4"	"2"	"1"	"0"	"1"	"377"
"72"	"65"	"165"	"7"	"87"	"148"	"15"	"1"	"2"	"7"	"1"	"1"	"2"	"2"	"2"	"440"
"73"	"66"	"127"	"40"	"7"	"116"	"2"	"3"	"1"	"9"	"1"	"2"	"2"	"1"	"0"	"311"
"74"	"67"	"334"	"5"	"135"	"54"	"3"	"0"	"2"	"5"	"1"	"0"	"2"	"0"	"1"	"542"
"75"	"68"	"349"	"4"	"52"	"34"	"0"	"2"	"1"	"15"	"4"	"6"	"3"	"1"	"0"	"471"
"76"	"69"	"402"	"17"	"14"	"73"	"7"	"3"	"11"	"31"	"4"	"4"	"2"	"3"	"2"	"573"
"77"	"70"	"305"	"23"	"39"	"179"	"4"	"3"	"3"	"14"	"1"	"1"	"3"	"2"	"3"	"580"
"78"	"71"	"390"	"16"	"61"	"74"	"7"	"1"	"4"	"8"	"6"	"1"	"0"	"1"	"1"	"570"
"79"	"72"	"171"	"4"	"29"	"142"	"4"	"2"	"5"	"15"	"1"	"2"	"3"	"5"	"2"	"385"
"80"	"73"	"284"	"2"	"36"	"112"	"4"	"3"	"9"	"25"	"4"	"4"	"3"	"6"	"1"	"493"
"81"	"74"	"203"	"4"	"7"	"123"	"12"	"2"	"3"	"7"	"1"	"2"	"5"	"0"	"4"	"373"
"82"	"75"	"223"	"14"	"13"	"143"	"8"	"2"	"5"	"25"	"5"	"5"	"2"	"2"	"3"	"450"
"83"	"76"	"343"	"4"	"9"	"93"	"5"	"2"	"6"	"24"	"9"	"5"	"5"	"5"	"11"	"521"
"84"	"77"	"197"	"1"	"11"	"37"	"1"	"0"	"6"	"7"	"3"	"1"	"0"	"0"	"1"	"265"
"85"	"78"	"207"	"8"	"71"	"135"	"3"	"1"	"3"	"5"	"1"	"2"	"2"	"3"	"5"	"446"
"86"	"79"	"256"	"21"	"54"	"60"	"6"	"1"	"4"	"8"	"3"	"4"	"1"	"0"	"2"	"420"
"87"	"80"	"226"	"9"	"50"	"159"	"6"	"1"	"6"	"8"	"2"	"0"	"0"	"1"	"3"	"471"
"88"	"81"	"214"	"7"	"140"	"66"	"25"	"3"	"3"	"7"	"2"	"2"	"4"	"0"	"1"	"474"
"89"	"82"	"322"	"7"	"33"	"196"	"13"	"5"	"7"	"13"	"2"	"2"	"4"	"5"	"4"	"613"
"90"	"83"	"61"	"12"	"76"	"124"	"11"	"5"	"5"	"11"	"3"	"3"	"1"	"2"	"8"	"322"
"91"	"84"	"91"	"5"	"128"	"259"	"31"	"8"	"4"	"14"	"5"	"2"	"1"	"6"	"4"	"558"
"92"	"85"	"306"	"4"	"32"	"26"	"3"	"2"	"3"	"21"	"5"	"0"	"3"	"2"	"2"	"409"
"93"	"86"	"210"	"14"	"150"	"54"	"19"	"1"	"4"	"16"	"4"	"0"	"3"	"2"	"2"	"479"
"94"	"87"	"204"	"2"	"186"	"46"	"4"	"0"	"0"	"7"	"1"	"0"	"1"	"0"	"1"	"452"
"95"	"88"	"311"	"10"	"94"	"84"	"8"	"2"	"10"	"23"	"6"	"3"	"2"	"0"	"2"	"555"
"96"	"89"	"189"	"10"	"91"	"48"	"4"	"2"	"1"	"8"	"1"	"1"	"1"	"4"	"1"	"361"
"97"	"90"	"266"	"99"	"21"	"119"	"7"	"6"	"4"	"10"	"7"	"2"	"1"	"2"	"4"	"548"
"98"	"91"	"564"	"7"	"38"	"20"	"1"	"1"	"5"	"18"	"3"	"2"	"2"	"2"	"1"	"664"
"99"	"92"	"41"	"7"	"394"	"50"	"13"	"1"	"3"	"4"	"1"	"1"	"0"	"1"	"0"	"516"
"100"	"93"	"163"	"25"	"64"	"226"	"22"	"5"	"6"	"11"	"3"	"5"	"4"	"7"	"3"	"544"
"101"	"94"	"320"	"18"	"32"	"40"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"415"
"102"	"95"	"32"	"2"	"105"	"62"	"15"	"0"	"0"	"2"	"1"	"2"	"2"	"5"	"3"	"231"
"103"	"96"	"175"	"3"	"15"	"34"	"0"	"0"	"2"	"8"	"1"	"0"	"1"	"2"	"0"	"241"
"104"	"97"	"49"	"1"	"25"	"116"	"5"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"198"
"105"	"98"	"78"	"2"	"9"	"242"	"1"	"0"	"2"	"2"	"0"	"1"	"2"	"0"	"1"	"340"
"106"	"99"	"132"	"5"	"187"	"135"	"17"	"10"	"4"	"6"	"7"	"3"	"5"	"9"	"2"	"522"
"107"	"100"	"186"	"11"	"103"	"15"	"5"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"1"	"328"
"108"	"101"	"137"	"4"	"103"	"5"	"1"	"0"	"0"	"9"	"0"	"1"	"0"	"0"	"0"	"260"
"109"	"102"	"281"	"13"	"31"	"57"	"5"	"5"	"14"	"13"	"2"	"1"	"2"	"0"	"1"	"425"
"110"	"103"	"62"	"69"	"80"	"20"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"244"
"111"	"104"	"125"	"43"	"23"	"117"	"45"	"3"	"3"	"22"	"8"	"0"	"4"	"2"	"6"	"401"
"112"	"105"	"34"	"4"	"221"	"66"	"18"	"1"	"2"	"1"	"0"	"3"	"0"	"0"	"3"	"353"
"113"	"106"	"143"	"3"	"17"	"217"	"8"	"3"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"397"
"114"	"107"	"279"	"3"	"7"	"46"	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	"0"	"342"
"115"	"108"	"464"	"5"	"51"	"29"	"2"	"1"	"8"	"17"	"2"	"0"	"5"	"0"	"3"	"587"
"116"	"109"	"178"	"7"	"7"	"127"	"4"	"0"	"5"	"10"	"1"	"0"	"2"	"0"	"1"	"342"
"117"	"110"	"467"	"37"	"11"	"184"	"12"	"7"	"9"	"16"	"4"	"2"	"2"	"1"	"3"	"755"
"118"	"111"	"157"	"12"	"80"	"115"	"5"	"3"	"5"	"14"	"3"	"0"	"3"	"0"	"0"	"397"
"119"	"112"	"154"	"6"	"82"	"137"	"7"	"2"	"4"	"9"	"3"	"0"	"2"	"2"	"2"	"410"
"120"	"113"	"196"	"3"	"81"	"43"	"6"	"1"	"4"	"9"	"4"	"4"	"3"	"1"	"5"	"360"
"121"	"114"	"297"	"5"	"55"	"14"	"2"	"1"	"5"	"3"	"0"	"1"	"2"	"0"	"1"	"386"
"122"	"115"	"90"	"0"	"18"	"207"	"9"	"7"	"0"	"5"	"1"	"1"	"4"	"2"	"2"	"346"
"123"	"116"	"198"	"5"	"85"	"93"	"7"	"7"	"5"	"11"	"0"	"3"	"3"	"3"	"2"	"422"
"124"	"117"	"235"	"6"	"140"	"183"	"9"	"2"	"2"	"12"	"2"	"3"	"1"	"2"	"1"	"598"
"125"	"118"	"249"	"20"	"110"	"117"	"12"	"4"	"2"	"21"	"6"	"7"	"4"	"4"	"5"	"561"
"126"	"119"	"195"	"17"	"44"	"202"	"7"	"2"	"4"	"11"	"5"	"3"	"3"	"1"	"0"	"494"
"127"	"120"	"210"	"3"	"30"	"50"	"2"	"0"	"1"	"9"	"0"	"0"	"0"	"1"	"5"	"311"
"128"	"121"	"168"	"8"	"9"	"373"	"21"	"6"	"4"	"7"	"2"	"0"	"1"	"6"	"9"	"614"
"129"	"122"	"520"	"8"	"50"	"13"	"1"	"2"	"4"	"15"	"2"	"2"	"3"	"2"	"3"	"625"
"130"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahas eth"	"Sitaram Yadav"	"S.
Abu Dauja na"	"Chitar anjan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrika Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"131"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"134"	"123"	"560"	"3"	"84"	"16"	"0"	"3"	"3"	"10"	"0"	"0"	"0"	"0"	"1"	"680"
"135"	"124"	"351"	"8"	"63"	"43"	"4"	"3"	"2"	"5"	"3"	"2"	"7"	"0"	"0"	"491"
"136"	"125"	"243"	"4"	"22"	"18"	"2"	"1"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"301"
"137"	"126"	"178"	"1"	"156"	"26"	"4"	"1"	"0"	"2"	"2"	"0"	"0"	"3"	"1"	"374"
"138"	"127"	"109"	"13"	"206"	"56"	"1"	"1"	"1"	"4"	"0"	"1"	"0"	"1"	"0"	"393"
"139"	"128"	"268"	"16"	"102"	"16"	"5"	"1"	"6"	"26"	"12"	"4"	"3"	"3"	"1"	"463"
"140"	"129"	"257"	"16"	"232"	"48"	"6"	"0"	"7"	"15"	"7"	"1"	"3"	"5"	"7"	"604"
"141"	"130"	"307"	"20"	"122"	"32"	"0"	"2"	"8"	"12"	"4"	"0"	"2"	"2"	"2"	"513"
"142"	"131"	"209"	"2"	"11"	"99"	"3"	"3"	"1"	"4"	"3"	"1"	"1"	"1"	"0"	"338"
"143"	"132"	"142"	"2"	"124"	"73"	"6"	"5"	"1"	"16"	"3"	"3"	"5"	"3"	"3"	"386"
"144"	"133"	"137"	"2"	"116"	"98"	"11"	"7"	"3"	"8"	"3"	"6"	"1"	"1"	"2"	"395"
"145"	"134"	"280"	"6"	"155"	"113"	"8"	"4"	"2"	"12"	"3"	"0"	"1"	"2"	"1"	"587"
"146"	"135"	"325"	"18"	"60"	"28"	"3"	"0"	"5"	"12"	"4"	"3"	"2"	"0"	"2"	"462"
"147"	"136"	"90"	"5"	"48"	"23"	"1"	"0"	"4"	"8"	"2"	"0"	"1"	"1"	"0"	"183"
"148"	"137"	"184"	"19"	"33"	"75"	"7"	"0"	"1"	"11"	"0"	"1"	"2"	"0"	"2"	"335"
"149"	"138"	"273"	"18"	"37"	"17"	"1"	"1"	"3"	"9"	"4"	"2"	"1"	"0"	"5"	"371"
"150"	"139"	"293"	"1"	"11"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"311"
"151"	"140"	"169"	"2"	"42"	"11"	"1"	"1"	"4"	"7"	"1"	"0"	"1"	"0"	"1"	"240"
"152"	"141"	"320"	"5"	"25"	"192"	"8"	"4"	"9"	"20"	"4"	"6"	"8"	"4"	"5"	"610"
"153"	"142"	"331"	"4"	"30"	"38"	"1"	"0"	"3"	"9"	"1"	"0"	"3"	"0"	"1"	"421"
"154"	"143"	"340"	"2"	"20"	"53"	"1"	"1"	"0"	"5"	"4"	"2"	"0"	"2"	"0"	"430"
"155"	"144"	"401"	"5"	"49"	"87"	"1"	"2"	"2"	"9"	"2"	"4"	"3"	"2"	"3"	"570"
"156"	"145"	"277"	"1"	"8"	"53"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"1"	"0"	"345"
"157"	"146"	"162"	"1"	"5"	"232"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"406"
"158"	"147"	"157"	"2"	"249"	"66"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"481"
"159"	"148"	"124"	"6"	"23"	"39"	"2"	"2"	"5"	"6"	"1"	"1"	"2"	"3"	"1"	"215"
"160"	"149"	"131"	"1"	"69"	"66"	"3"	"0"	"1"	"6"	"2"	"1"	"0"	"1"	"2"	"283"
"161"	"150"	"157"	"5"	"58"	"27"	"8"	"1"	"0"	"4"	"1"	"0"	"6"	"0"	"1"	"268"
"162"	"151"	"255"	"6"	"64"	"174"	"10"	"2"	"4"	"18"	"9"	"6"	"1"	"2"	"7"	"558"
"163"	"152"	"280"	"4"	"27"	"228"	"10"	"6"	"5"	"11"	"2"	"5"	"5"	"4"	"7"	"594"
"164"	"153"	"166"	"9"	"64"	"107"	"4"	"1"	"3"	"7"	"0"	"1"	"2"	"1"	"1"	"366"
"165"	"154"	"321"	"4"	"26"	"89"	"5"	"1"	"2"	"9"	"2"	"1"	"3"	"2"	"1"	"466"
"166"	"155"	"93"	"7"	"86"	"368"	"14"	"2"	"7"	"15"	"4"	"6"	"5"	"4"	"12"	"623"
"167"	"156"	"392"	"9"	"22"	"138"	"5"	"0"	"1"	"9"	"2"	"1"	"2"	"0"	"1"	"582"
"168"	"157"	"22"	"3"	"171"	"89"	"14"	"2"	"3"	"3"	"1"	"0"	"2"	"3"	"3"	"316"
"169"	"158"	"57"	"4"	"66"	"73"	"2"	"1"	"0"	"2"	"2"	"1"	"3"	"1"	"2"	"214"
"170"	"159"	"61"	"7"	"50"	"175"	"19"	"4"	"1"	"10"	"2"	"2"	"1"	"2"	"9"	"343"
"171"	"160"	"102"	"4"	"75"	"54"	"9"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"249"
"172"	"161"	"14"	"14"	"67"	"34"	"1"	"1"	"1"	"5"	"1"	"7"	"5"	"3"	"4"	"157"
"173"	"162"	"62"	"11"	"204"	"179"	"11"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"474"
"174"	"163"	"433"	"12"	"45"	"119"	"5"	"0"	"4"	"19"	"4"	"1"	"1"	"0"	"1"	"644"
"175"	"164"	"552"	"1"	"7"	"46"	"2"	"1"	"1"	"5"	"2"	"0"	"1"	"2"	"3"	"623"
"176"	"165"	"20"	"9"	"102"	"158"	"8"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"302"
"177"	"166"	"32"	"2"	"91"	"147"	"27"	"4"	"2"	"4"	"0"	"4"	"1"	"2"	"1"	"317"
"178"	"167"	"144"	"5"	"27"	"54"	"9"	"3"	"1"	"8"	"6"	"2"	"4"	"2"	"0"	"265"
"179"	"168"	"23"	"3"	"107"	"75"	"19"	"1"	"0"	"1"	"5"	"0"	"2"	"0"	"3"	"239"
"180"	"169"	"21"	"5"	"88"	"98"	"7"	"2"	"3"	"1"	"1"	"0"	"1"	"2"	"2"	"231"
"181"	"170"	"11"	"4"	"203"	"68"	"13"	"0"	"1"	"1"	"3"	"0"	"5"	"4"	"4"	"317"
"182"	"171"	"323"	"7"	"58"	"44"	"5"	"3"	"7"	"6"	"1"	"5"	"4"	"1"	"0"	"464"
"183"	"172"	"9"	"1"	"65"	"31"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"
"184"	"173"	"2"	"1"	"100"	"62"	"7"	"4"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"183"
"185"	"174"	"142"	"7"	"124"	"192"	"18"	"4"	"3"	"0"	"2"	"1"	"1"	"2"	"2"	"498"
"186"	"175"	"7"	"5"	"165"	"110"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"293"
"187"	"176"	"156"	"2"	"120"	"52"	"5"	"2"	"2"	"7"	"2"	"2"	"1"	"0"	"1"	"352"
"188"	"177"	"2"	"0"	"172"	"100"	"14"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"291"
"189"	"178"	"10"	"4"	"170"	"95"	"2"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"286"
"190"	"179"	"214"	"6"	"130"	"165"	"14"	"5"	"4"	"18"	"3"	"3"	"5"	"0"	"3"	"570"
"191"	"180"	"42"	"1"	"32"	"154"	"5"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"237"
"192"	"181"	"160"	"1"	"37"	"41"	"1"	"1"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"251"
"193"	"182"	"196"	"8"	"112"	"159"	"5"	"3"	"3"	"8"	"4"	"2"	"2"	"1"	"1"	"504"
"194"	"183"	"24"	"6"	"253"	"104"	"4"	"2"	"1"	"3"	"3"	"0"	"0"	"2"	"0"	"402"
"195"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahas eth"	"Sitaram Yadav"	"S.
Abu Dauja na"	"Chitar anjan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrika Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"196"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"199"	"184"	"7"	"1"	"93"	"252"	"9"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"2"	"370"
"200"	"185"	"36"	"6"	"44"	"123"	"6"	"2"	"3"	"3"	"4"	"1"	"0"	"0"	"0"	"228"
"201"	"186"	"168"	"3"	"16"	"48"	"2"	"3"	"1"	"9"	"1"	"1"	"0"	"2"	"4"	"258"
"202"	"187"	"155"	"8"	"100"	"95"	"2"	"1"	"2"	"8"	"1"	"0"	"1"	"0"	"0"	"373"
"203"	"188"	"195"	"2"	"69"	"85"	"4"	"0"	"3"	"4"	"2"	"1"	"6"	"0"	"1"	"372"
"204"	"189"	"283"	"4"	"75"	"57"	"4"	"4"	"3"	"10"	"2"	"3"	"1"	"3"	"3"	"452"
"205"	"190"	"229"	"5"	"48"	"66"	"3"	"1"	"2"	"7"	"1"	"1"	"0"	"0"	"0"	"363"
"206"	"191"	"211"	"8"	"189"	"117"	"13"	"5"	"9"	"14"	"7"	"3"	"3"	"2"	"1"	"582"
"207"	"192"	"40"	"0"	"190"	"157"	"1"	"1"	"1"	"3"	"1"	"0"	"1"	"0"	"1"	"396"
"208"	"193"	"194"	"7"	"191"	"104"	"1"	"1"	"6"	"7"	"3"	"5"	"3"	"3"	"1"	"526"
