"Candidates.Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahaseth"	"Sitaram.Yadav"	"S..Abu.Daujana"	"Chitaranja.n.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandrika.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"71"	"64"	"165"	"12"	"400"	"48"	"8"	"1"	"2"	"13"	"3"	"4"	"2"	"1"	"1"	"660"
"72"	"65"	"254"	"3"	"75"	"246"	"7"	"4"	"4"	"16"	"1"	"5"	"5"	"0"	"0"	"620"
"73"	"66"	"55"	"5"	"175"	"99"	"82"	"1"	"0"	"5"	"1"	"3"	"5"	"2"	"4"	"437"
"74"	"67"	"146"	"7"	"97"	"46"	"0"	"1"	"2"	"5"	"0"	"0"	"1"	"1"	"2"	"308"
"75"	"68"	"128"	"0"	"76"	"79"	"1"	"1"	"4"	"11"	"1"	"1"	"2"	"0"	"0"	"304"
"76"	"69"	"177"	"8"	"167"	"126"	"5"	"2"	"3"	"13"	"0"	"1"	"0"	"0"	"1"	"503"
"77"	"70"	"34"	"9"	"216"	"149"	"11"	"4"	"6"	"14"	"7"	"6"	"2"	"3"	"6"	"467"
"78"	"71"	"115"	"36"	"187"	"141"	"8"	"1"	"5"	"9"	"4"	"9"	"4"	"1"	"3"	"523"
"79"	"72"	"14"	"1"	"53"	"69"	"2"	"2"	"2"	"1"	"1"	"0"	"2"	"2"	"1"	"150"
"80"	"73"	"22"	"4"	"207"	"40"	"52"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"1"	"337"
"81"	"74"	"70"	"4"	"258"	"45"	"9"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"4"	"393"
"82"	"75"	"59"	"24"	"387"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"490"
"83"	"76"	"11"	"0"	"390"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"412"
"84"	"77"	"26"	"11"	"303"	"14"	"8"	"3"	"1"	"3"	"3"	"1"	"5"	"3"	"3"	"384"
"85"	"78"	"14"	"8"	"337"	"44"	"2"	"1"	"4"	"2"	"1"	"0"	"1"	"0"	"1"	"415"
"86"	"79"	"162"	"2"	"92"	"40"	"2"	"4"	"10"	"39"	"5"	"5"	"4"	"4"	"1"	"370"
"87"	"80"	"99"	"1"	"127"	"20"	"1"	"0"	"4"	"7"	"2"	"0"	"0"	"1"	"0"	"262"
"88"	"81"	"114"	"36"	"278"	"29"	"9"	"6"	"4"	"4"	"7"	"8"	"3"	"3"	"6"	"507"
"89"	"82"	"19"	"0"	"486"	"108"	"1"	"0"	"3"	"1"	"1"	"1"	"0"	"0"	"1"	"621"
"90"	"83"	"166"	"24"	"380"	"46"	"6"	"1"	"5"	"6"	"2"	"4"	"4"	"2"	"2"	"648"
"91"	"84"	"418"	"5"	"56"	"32"	"4"	"2"	"3"	"3"	"1"	"1"	"2"	"0"	"1"	"528"
"92"	"85"	"26"	"5"	"369"	"14"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"420"
"93"	"86"	"188"	"40"	"54"	"103"	"30"	"5"	"7"	"17"	"2"	"1"	"6"	"1"	"3"	"457"
"94"	"87"	"191"	"17"	"49"	"53"	"150"	"2"	"7"	"4"	"0"	"2"	"1"	"0"	"2"	"478"
"95"	"88"	"40"	"12"	"463"	"34"	"1"	"0"	"3"	"2"	"0"	"0"	"1"	"2"	"1"	"559"
"96"	"89"	"16"	"7"	"237"	"30"	"206"	"3"	"1"	"5"	"0"	"1"	"2"	"4"	"3"	"515"
"97"	"90"	"345"	"3"	"74"	"8"	"1"	"2"	"1"	"19"	"4"	"1"	"2"	"1"	"1"	"462"
"98"	"91"	"128"	"1"	"199"	"16"	"2"	"0"	"0"	"5"	"0"	"0"	"2"	"0"	"0"	"353"
"99"	"92"	"27"	"11"	"18"	"131"	"4"	"1"	"3"	"2"	"1"	"3"	"1"	"2"	"0"	"204"
"100"	"93"	"79"	"22"	"264"	"79"	"44"	"2"	"0"	"7"	"0"	"2"	"3"	"4"	"4"	"510"
"101"	"94"	"28"	"1"	"205"	"126"	"28"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"392"
"102"	"95"	"236"	"20"	"109"	"60"	"49"	"1"	"0"	"7"	"2"	"2"	"1"	"1"	"2"	"490"
"103"	"96"	"75"	"2"	"457"	"51"	"3"	"1"	"2"	"4"	"0"	"2"	"1"	"4"	"0"	"602"
"104"	"97"	"178"	"4"	"184"	"49"	"40"	"0"	"3"	"3"	"1"	"1"	"3"	"2"	"3"	"471"
"105"	"98"	"243"	"4"	"98"	"164"	"8"	"1"	"2"	"8"	"1"	"0"	"2"	"0"	"2"	"533"
"106"	"99"	"166"	"8"	"43"	"83"	"5"	"1"	"1"	"5"	"3"	"2"	"1"	"1"	"1"	"320"
"107"	"100"	"184"	"3"	"108"	"20"	"5"	"0"	"2"	"3"	"2"	"0"	"0"	"1"	"0"	"328"
"108"	"101"	"83"	"29"	"80"	"21"	"110"	"3"	"4"	"8"	"2"	"2"	"0"	"3"	"1"	"346"
"109"	"102"	"146"	"21"	"77"	"49"	"83"	"4"	"1"	"6"	"1"	"0"	"0"	"1"	"0"	"389"
"110"	"103"	"278"	"9"	"265"	"19"	"1"	"6"	"10"	"15"	"6"	"2"	"5"	"5"	"7"	"628"
"111"	"104"	"156"	"34"	"391"	"26"	"44"	"5"	"3"	"8"	"2"	"2"	"4"	"2"	"2"	"679"
"112"	"105"	"77"	"4"	"230"	"18"	"55"	"3"	"1"	"11"	"0"	"5"	"2"	"1"	"5"	"412"
"113"	"106"	"85"	"1"	"173"	"0"	"49"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"313"
"114"	"107"	"103"	"15"	"132"	"36"	"29"	"2"	"2"	"3"	"0"	"0"	"0"	"1"	"1"	"324"
"115"	"108"	"49"	"40"	"109"	"65"	"9"	"4"	"4"	"2"	"2"	"0"	"4"	"0"	"2"	"290"
"116"	"109"	"28"	"1"	"168"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"
"117"	"110"	"136"	"16"	"65"	"58"	"8"	"0"	"1"	"10"	"6"	"2"	"3"	"1"	"3"	"309"
"118"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahaseth"	"Sitaram Yadav"	"S. Abu Daujana"	"Chitaranja n Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrika Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"119"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"122"	"111"	"56"	"50"	"109"	"57"	"7"	"0"	"2"	"9"	"3"	"2"	"0"	"0"	"0"	"295"
"123"	"112"	"44"	"11"	"3"	"4"	"205"	"4"	"1"	"2"	"1"	"3"	"0"	"6"	"0"	"284"
"124"	"113"	"14"	"7"	"650"	"20"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"698"
"125"	"114"	"52"	"12"	"27"	"469"	"12"	"4"	"5"	"10"	"2"	"3"	"5"	"4"	"11"	"616"
"126"	"115"	"32"	"11"	"177"	"36"	"1"	"0"	"0"	"6"	"4"	"0"	"4"	"2"	"0"	"273"
"127"	"116"	"34"	"4"	"185"	"98"	"19"	"2"	"5"	"1"	"3"	"1"	"2"	"0"	"3"	"357"
"128"	"117"	"119"	"7"	"12"	"20"	"2"	"2"	"6"	"6"	"5"	"2"	"1"	"1"	"1"	"184"
"129"	"118"	"218"	"1"	"61"	"73"	"2"	"0"	"6"	"14"	"2"	"0"	"1"	"1"	"0"	"379"
"130"	"119"	"165"	"3"	"115"	"24"	"0"	"0"	"3"	"1"	"1"	"0"	"0"	"1"	"1"	"314"
"131"	"120"	"55"	"29"	"64"	"152"	"12"	"2"	"3"	"13"	"3"	"5"	"3"	"3"	"5"	"349"
"132"	"121"	"68"	"4"	"84"	"212"	"6"	"1"	"3"	"3"	"3"	"4"	"6"	"2"	"5"	"401"
"133"	"122"	"244"	"24"	"155"	"25"	"1"	"0"	"6"	"11"	"1"	"1"	"0"	"0"	"0"	"468"
"134"	"123"	"245"	"66"	"160"	"60"	"3"	"1"	"8"	"22"	"2"	"1"	"3"	"1"	"2"	"574"
"135"	"124"	"176"	"9"	"42"	"119"	"1"	"1"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"357"
"136"	"125"	"64"	"24"	"268"	"70"	"9"	"2"	"4"	"10"	"1"	"5"	"4"	"4"	"6"	"471"
"137"	"126"	"39"	"12"	"151"	"50"	"0"	"0"	"0"	"6"	"2"	"1"	"0"	"2"	"4"	"267"
"138"	"127"	"296"	"12"	"204"	"32"	"9"	"2"	"8"	"18"	"2"	"1"	"1"	"1"	"2"	"588"
"139"	"128"	"92"	"37"	"104"	"71"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"311"
"140"	"129"	"260"	"15"	"157"	"105"	"5"	"1"	"5"	"12"	"3"	"2"	"1"	"0"	"1"	"567"
"141"	"130"	"114"	"46"	"55"	"47"	"1"	"2"	"2"	"6"	"2"	"2"	"0"	"1"	"1"	"279"
"142"	"131"	"121"	"2"	"36"	"82"	"19"	"1"	"0"	"8"	"0"	"1"	"2"	"0"	"1"	"273"
"143"	"132"	"128"	"2"	"48"	"94"	"6"	"0"	"0"	"4"	"1"	"1"	"1"	"2"	"2"	"289"
"144"	"133"	"137"	"15"	"68"	"115"	"7"	"0"	"3"	"8"	"0"	"0"	"1"	"0"	"0"	"354"
"145"	"134"	"133"	"0"	"121"	"87"	"4"	"1"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"351"
"146"	"135"	"162"	"11"	"22"	"86"	"171"	"5"	"5"	"12"	"5"	"4"	"3"	"2"	"3"	"491"
"147"	"136"	"119"	"3"	"9"	"104"	"31"	"1"	"0"	"2"	"0"	"1"	"1"	"0"	"2"	"273"
"148"	"137"	"51"	"4"	"59"	"212"	"9"	"2"	"7"	"12"	"3"	"4"	"1"	"3"	"0"	"367"
"149"	"138"	"128"	"15"	"70"	"8"	"5"	"1"	"1"	"5"	"2"	"0"	"0"	"1"	"0"	"236"
"150"	"139"	"138"	"10"	"54"	"80"	"47"	"0"	"7"	"5"	"2"	"3"	"3"	"1"	"7"	"357"
"151"	"140"	"89"	"7"	"31"	"85"	"33"	"0"	"1"	"5"	"2"	"0"	"2"	"1"	"1"	"257"
"152"	"141"	"59"	"3"	"75"	"72"	"24"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"0"	"238"
"153"	"142"	"52"	"10"	"254"	"106"	"48"	"4"	"3"	"6"	"2"	"1"	"3"	"0"	"1"	"490"
"154"	"143"	"169"	"12"	"67"	"81"	"5"	"1"	"2"	"2"	"0"	"0"	"2"	"1"	"0"	"342"
"155"	"144"	"161"	"2"	"3"	"129"	"9"	"1"	"3"	"3"	"1"	"1"	"1"	"1"	"1"	"316"
"156"	"145"	"131"	"52"	"32"	"190"	"3"	"3"	"4"	"13"	"7"	"2"	"2"	"3"	"3"	"445"
"157"	"146"	"116"	"7"	"96"	"63"	"24"	"0"	"4"	"6"	"14"	"2"	"2"	"0"	"0"	"334"
"158"	"147"	"251"	"65"	"67"	"63"	"47"	"2"	"8"	"20"	"1"	"1"	"0"	"0"	"2"	"527"
"159"	"148"	"36"	"19"	"6"	"68"	"4"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"5"	"142"
"160"	"149"	"73"	"1"	"27"	"153"	"250"	"4"	"8"	"7"	"3"	"4"	"2"	"0"	"0"	"532"
"161"	"150"	"134"	"5"	"119"	"74"	"6"	"0"	"1"	"5"	"1"	"1"	"0"	"1"	"0"	"347"
"162"	"151"	"162"	"6"	"47"	"80"	"1"	"0"	"1"	"3"	"6"	"0"	"1"	"1"	"1"	"309"
"163"	"152"	"76"	"2"	"10"	"108"	"51"	"1"	"2"	"4"	"3"	"1"	"1"	"4"	"3"	"266"
"164"	"153"	"249"	"12"	"58"	"93"	"24"	"4"	"6"	"28"	"3"	"3"	"3"	"4"	"4"	"491"
"165"	"154"	"21"	"0"	"10"	"56"	"179"	"9"	"0"	"1"	"2"	"1"	"1"	"2"	"1"	"283"
"166"	"155"	"143"	"12"	"16"	"48"	"180"	"5"	"3"	"7"	"2"	"0"	"3"	"1"	"3"	"423"
"167"	"156"	"148"	"61"	"78"	"65"	"20"	"2"	"5"	"9"	"3"	"1"	"3"	"1"	"0"	"396"
"168"	"157"	"104"	"10"	"158"	"133"	"101"	"2"	"4"	"5"	"5"	"2"	"1"	"9"	"12"	"546"
"169"	"158"	"182"	"14"	"106"	"221"	"57"	"3"	"8"	"11"	"4"	"7"	"8"	"3"	"5"	"629"
"170"	"159"	"225"	"15"	"64"	"41"	"6"	"1"	"0"	"5"	"0"	"1"	"1"	"1"	"6"	"366"
"171"	"160"	"155"	"17"	"77"	"26"	"77"	"4"	"3"	"21"	"8"	"3"	"5"	"6"	"7"	"409"
"172"	"161"	"178"	"4"	"18"	"36"	"17"	"0"	"2"	"5"	"1"	"1"	"1"	"2"	"0"	"265"
"173"	"162"	"255"	"75"	"68"	"71"	"90"	"0"	"2"	"13"	"0"	"2"	"1"	"1"	"0"	"578"
"174"	"163"	"142"	"4"	"149"	"120"	"15"	"1"	"2"	"6"	"7"	"1"	"1"	"1"	"2"	"451"
"175"	"164"	"149"	"2"	"88"	"20"	"0"	"0"	"0"	"4"	"1"	"1"	"1"	"1"	"1"	"268"
"176"	"165"	"144"	"8"	"31"	"83"	"8"	"1"	"3"	"8"	"3"	"0"	"2"	"0"	"1"	"292"
"177"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahaseth"	"Sitaram Yadav"	"S. Abu Daujana"	"Chitaranja n Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrika Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"178"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"181"	"166"	"208"	"5"	"49"	"60"	"1"	"1"	"3"	"11"	"8"	"0"	"1"	"1"	"3"	"351"
"182"	"167"	"206"	"1"	"46"	"31"	"5"	"0"	"2"	"11"	"1"	"0"	"2"	"0"	"0"	"305"
"183"	"168"	"134"	"13"	"252"	"105"	"22"	"5"	"5"	"12"	"6"	"3"	"5"	"2"	"4"	"568"
"184"	"169"	"200"	"39"	"170"	"43"	"29"	"1"	"1"	"14"	"8"	"3"	"3"	"2"	"4"	"517"
"185"	"170"	"63"	"5"	"142"	"55"	"0"	"0"	"6"	"5"	"1"	"1"	"0"	"0"	"1"	"279"
"186"	"171"	"23"	"1"	"8"	"243"	"43"	"3"	"4"	"3"	"3"	"2"	"0"	"1"	"7"	"341"
"187"	"172"	"49"	"2"	"6"	"158"	"17"	"0"	"1"	"5"	"0"	"2"	"2"	"3"	"4"	"249"
"188"	"173"	"16"	"0"	"321"	"20"	"2"	"2"	"2"	"1"	"0"	"2"	"1"	"1"	"0"	"368"
"189"	"174"	"63"	"4"	"109"	"83"	"8"	"3"	"4"	"10"	"0"	"4"	"8"	"1"	"10"	"307"
"190"	"175"	"126"	"4"	"46"	"228"	"84"	"0"	"2"	"6"	"0"	"0"	"1"	"1"	"2"	"500"
"191"	"176"	"47"	"70"	"122"	"84"	"2"	"3"	"1"	"2"	"0"	"1"	"0"	"0"	"2"	"334"
"192"	"177"	"200"	"33"	"159"	"16"	"9"	"4"	"2"	"10"	"1"	"4"	"0"	"0"	"2"	"440"
"193"	"178"	"150"	"8"	"206"	"79"	"8"	"1"	"10"	"17"	"6"	"1"	"6"	"2"	"3"	"497"
"194"	"179"	"217"	"0"	"23"	"7"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"254"
"195"	"180"	"94"	"0"	"96"	"82"	"1"	"1"	"1"	"8"	"2"	"1"	"3"	"1"	"6"	"296"
"196"	"181"	"133"	"7"	"140"	"114"	"103"	"3"	"5"	"5"	"2"	"4"	"1"	"7"	"2"	"526"
"197"	"182"	"39"	"7"	"180"	"45"	"60"	"6"	"1"	"3"	"0"	"3"	"0"	"4"	"1"	"349"
"198"	"183"	"18"	"2"	"309"	"10"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"345"
"199"	"184"	"56"	"13"	"191"	"74"	"56"	"4"	"0"	"4"	"2"	"1"	"1"	"4"	"5"	"411"
"200"	"185"	"63"	"3"	"274"	"26"	"0"	"2"	"2"	"3"	"3"	"1"	"1"	"3"	"0"	"381"
"201"	"186"	"114"	"32"	"35"	"76"	"140"	"7"	"4"	"16"	"4"	"3"	"6"	"7"	"4"	"448"
"202"	"187"	"294"	"19"	"252"	"15"	"5"	"2"	"7"	"7"	"1"	"1"	"8"	"4"	"8"	"623"
"203"	"188"	"249"	"22"	"213"	"40"	"3"	"1"	"12"	"14"	"1"	"3"	"1"	"5"	"7"	"571"
"204"	"189"	"110"	"7"	"249"	"61"	"4"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"3"	"438"
"205"	"190"	"161"	"17"	"37"	"56"	"2"	"0"	"0"	"4"	"1"	"0"	"1"	"1"	"0"	"280"
"206"	"191"	"188"	"27"	"14"	"2"	"76"	"2"	"4"	"3"	"0"	"1"	"0"	"1"	"0"	"318"
"207"	"192"	"54"	"0"	"7"	"127"	"27"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"217"
"208"	"193"	"102"	"0"	"10"	"93"	"18"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"227"
"209"	"194"	"21"	"14"	"3"	"14"	"49"	"1"	"2"	"3"	"0"	"2"	"0"	"1"	"2"	"112"
"210"	"195"	"69"	"28"	"22"	"47"	"70"	"4"	"2"	"5"	"2"	"2"	"0"	"3"	"2"	"256"
