"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"18"	"d qy  &"	"1155"	"2448"	"3221"	"130"	"86"	"177"	"155"	"100"	"220"	"106"	"240"	"8038"	"0"	"8038"	"0"
"19"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"20"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"21"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"22"	"i woZ  dk
; ksx&"	"1155"	"2448"	"3221"	"130"	"86"	"177"	"155"	"100"	"220"	"106"	"240"	"8038"	"0"	"8038"	"0"
"23"	"15"	"55"	"211"	"120"	"7"	"5"	"12"	"24"	"8"	"10"	"4"	"8"	"464"	"0"	"464"	"0"
"24"	"16"	"96"	"59"	"124"	"7"	"2"	"16"	"7"	"3"	"6"	"0"	"5"	"325"	"0"	"325"	"0"
"25"	"17"	"58"	"252"	"182"	"7"	"4"	"31"	"16"	"10"	"18"	"23"	"31"	"632"	"0"	"632"	"0"
"26"	"18"	"150"	"470"	"35"	"6"	"6"	"8"	"33"	"5"	"6"	"8"	"10"	"737"	"0"	"737"	"0"
"27"	"19"	"23"	"323"	"91"	"7"	"5"	"8"	"21"	"6"	"12"	"15"	"28"	"539"	"0"	"539"	"0"
"28"	"20"	"57"	"222"	"256"	"11"	"4"	"1"	"6"	"2"	"17"	"1"	"8"	"585"	"0"	"585"	"0"
"29"	"21"	"69"	"212"	"218"	"8"	"11"	"8"	"16"	"9"	"15"	"8"	"27"	"601"	"0"	"601"	"0"
"30"	"22"	"46"	"300"	"66"	"5"	"6"	"5"	"14"	"4"	"9"	"3"	"7"	"465"	"0"	"465"	"0"
"31"	"23"	"15"	"150"	"326"	"23"	"10"	"33"	"10"	"8"	"16"	"9"	"14"	"614"	"0"	"614"	"0"
"32"	"24"	"166"	"96"	"216"	"2"	"4"	"2"	"8"	"6"	"14"	"6"	"8"	"528"	"0"	"528"	"0"
"33"	"25"	"132"	"264"	"256"	"5"	"3"	"5"	"10"	"8"	"7"	"7"	"15"	"712"	"0"	"712"	"0"
"34"	"26"	"25"	"104"	"223"	"5"	"8"	"2"	"8"	"5"	"16"	"6"	"21"	"423"	"0"	"423"	"0"
"35"	"27"	"6"	"47"	"398"	"5"	"4"	"1"	"3"	"2"	"10"	"2"	"2"	"480"	"0"	"480"	"0"
"36"	"28"	"47"	"321"	"116"	"9"	"3"	"52"	"6"	"7"	"7"	"6"	"13"	"587"	"0"	"587"	"0"
"37"	"l hV dk
; ksx"	"945"	"3031"	"2627"	"107"	"75"	"184"	"182"	"83"	"163"	"98"	"197"	"7692"	"0"	"7692"	"0"
"38"	"d qy  &"	"2100"	"5479"	"5848"	"237"	"161"	"361"	"337"	"183"	"383"	"204"	"437"	"15730"	"0"	"15730"	"0"
"39"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"40"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"42"	"i woZ  dk
; ksx&"	"2100"	"5479"	"5848"	"237"	"161"	"361"	"337"	"183"	"383"	"204"	"437"	"15730"	"0"	"15730"	"0"
"43"	"29"	"38"	"369"	"33"	"2"	"2"	"5"	"4"	"1"	"1"	"3"	"4"	"462"	""	"462"	""
"44"	"30"	"54"	"105"	"279"	"8"	"6"	"7"	"11"	"8"	"9"	"7"	"12"	"506"	""	"506"	""
"45"	"31"	"67"	"203"	"272"	"13"	"18"	"38"	"25"	"6"	"28"	"17"	"37"	"724"	""	"724"	""
"46"	"32"	"24"	"94"	"253"	"13"	"6"	"3"	"8"	"10"	"29"	"12"	"18"	"470"	""	"470"	""
"47"	"33"	"60"	"188"	"220"	"5"	"9"	"22"	"10"	"8"	"15"	"4"	"24"	"565"	""	"565"	""
"48"	"34"	"150"	"55"	"344"	"16"	"7"	"6"	"9"	"12"	"25"	"8"	"17"	"649"	""	"649"	""
"49"	"35"	"18"	"14"	"277"	"4"	"6"	"4"	"1"	"10"	"18"	"4"	"9"	"365"	""	"365"	""
"50"	"36"	"171"	"210"	"229"	"6"	"5"	"0"	"9"	"16"	"11"	"3"	"11"	"671"	""	"671"	""
"51"	"37"	"26"	"187"	"62"	"8"	"4"	"9"	"13"	"6"	"5"	"10"	"16"	"346"	""	"346"	""
"52"	"38"	"55"	"103"	"179"	"8"	"7"	"3"	"5"	"3"	"6"	"4"	"29"	"402"	""	"402"	""
"53"	"39"	"112"	"173"	"207"	"8"	"5"	"2"	"14"	"6"	"13"	"7"	"13"	"560"	""	"560"	""
"54"	"40"	"66"	"136"	"101"	"5"	"6"	"6"	"15"	"8"	"7"	"3"	"13"	"366"	""	"366"	""
"55"	"41"	"32"	"113"	"97"	"0"	"1"	"2"	"3"	"1"	"4"	"2"	"9"	"264"	""	"264"	""
"56"	"42"	"39"	"152"	"61"	"3"	"0"	"1"	"4"	"0"	"2"	"5"	"8"	"275"	""	"275"	""
"57"	"l hV dk
; ksx"	"912"	"2102"	"2614"	"99"	"82"	"108"	"131"	"95"	"173"	"89"	"220"	"6625"	"0"	"6625"	"0"
"58"	"d qy  &"	"3012"	"7581"	"8462"	"336"	"243"	"469"	"468"	"278"	"556"	"293"	"657"	"22355"	"0"	"22355"	"0"
"59"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"60"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"62"	"i woZ  dk
; ksx&"	"3012"	"7581"	"8462"	"336"	"243"	"469"	"468"	"278"	"556"	"293"	"657"	"22355"	"0"	"22355"	"0"
"63"	"43"	"32"	"180"	"176"	"4"	"6"	"7"	"9"	"8"	"9"	"0"	"18"	"449"	""	"449"	""
"64"	"44"	"151"	"52"	"67"	"2"	"3"	"10"	"0"	"1"	"0"	"1"	"7"	"294"	""	"294"	""
"65"	"45"	"189"	"81"	"136"	"5"	"8"	"6"	"12"	"5"	"6"	"3"	"12"	"463"	""	"463"	""
"66"	"46"	"58"	"490"	"104"	"10"	"10"	"19"	"15"	"6"	"6"	"15"	"16"	"749"	""	"749"	""
"67"	"47"	"64"	"243"	"106"	"4"	"6"	"12"	"5"	"7"	"6"	"5"	"7"	"465"	""	"465"	""
"68"	"48"	"94"	"558"	"60"	"4"	"3"	"55"	"11"	"7"	"3"	"7"	"6"	"808"	""	"808"	""
"69"	"49"	"76"	"189"	"68"	"0"	"5"	"1"	"5"	"0"	"3"	"2"	"2"	"351"	""	"351"	""
"70"	"50"	"82"	"402"	"27"	"2"	"4"	"3"	"8"	"3"	"4"	"3"	"7"	"545"	""	"545"	""
"71"	"51"	"82"	"322"	"93"	"7"	"8"	"16"	"9"	"7"	"8"	"16"	"30"	"598"	""	"598"	""
"72"	"52"	"73"	"156"	"41"	"2"	"5"	"121"	"10"	"5"	"4"	"5"	"17"	"439"	""	"439"	""
"73"	"53"	"29"	"170"	"125"	"5"	"4"	"28"	"7"	"2"	"8"	"7"	"13"	"398"	""	"398"	""
"74"	"54"	"49"	"133"	"169"	"7"	"6"	"39"	"5"	"9"	"4"	"1"	"6"	"428"	""	"428"	""
"75"	"55"	"25"	"286"	"64"	"0"	"3"	"12"	"3"	"5"	"13"	"10"	"10"	"431"	""	"431"	""
"76"	"56"	"94"	"188"	"93"	"4"	"2"	"14"	"1"	"0"	"1"	"2"	"1"	"400"	""	"400"	""
"77"	"l hV dk
; ksx"	"1098"	"3450"	"1329"	"56"	"73"	"343"	"100"	"65"	"75"	"77"	"152"	"6818"	"0"	"6818"	"0"
"78"	"d qy  &"	"4110"	"11031"	"9791"	"392"	"316"	"812"	"568"	"343"	"631"	"370"	"809"	"29173"	"0"	"29173"	"0"
"79"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"80"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"81"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"82"	"i woZ  dk
; ksx&"	"4110"	"11031"	"9791"	"392"	"316"	"812"	"568"	"343"	"631"	"370"	"809"	"29173"	"0"	"29173"	"0"
"83"	"57"	"198"	"249"	"136"	"8"	"5"	"12"	"9"	"7"	"2"	"6"	"6"	"638"	""	"638"	""
"84"	"58"	"131"	"203"	"41"	"6"	"2"	"5"	"3"	"0"	"2"	"1"	"3"	"397"	""	"397"	""
"85"	"59"	"71"	"95"	"16"	"3"	"2"	"2"	"0"	"1"	"1"	"3"	"3"	"197"	""	"197"	""
"86"	"60"	"103"	"362"	"124"	"7"	"4"	"7"	"6"	"8"	"3"	"2"	"9"	"635"	""	"635"	""
"87"	"61"	"91"	"409"	"137"	"12"	"13"	"12"	"20"	"17"	"6"	"8"	"10"	"735"	""	"735"	""
"88"	"62"	"114"	"197"	"115"	"1"	"6"	"11"	"8"	"4"	"7"	"9"	"22"	"494"	""	"494"	""
"89"	"63"	"47"	"374"	"78"	"6"	"4"	"4"	"16"	"6"	"2"	"7"	"9"	"553"	""	"553"	""
"90"	"64"	"31"	"148"	"70"	"2"	"2"	"2"	"5"	"6"	"7"	"2"	"11"	"286"	""	"286"	""
"91"	"65"	"36"	"39"	"223"	"5"	"4"	"4"	"4"	"5"	"20"	"2"	"11"	"353"	""	"353"	""
"92"	"66"	"28"	"322"	"91"	"1"	"5"	"18"	"25"	"9"	"12"	"10"	"23"	"544"	""	"544"	""
"93"	"67"	"44"	"326"	"116"	"3"	"5"	"13"	"34"	"6"	"6"	"1"	"12"	"566"	""	"566"	""
"94"	"68"	"58"	"319"	"111"	"8"	"8"	"10"	"13"	"2"	"6"	"3"	"16"	"554"	""	"554"	""
"95"	"69"	"47"	"123"	"251"	"14"	"9"	"14"	"14"	"12"	"28"	"12"	"27"	"551"	""	"551"	""
"96"	"70"	"20"	"171"	"56"	"6"	"29"	"8"	"9"	"2"	"3"	"5"	"5"	"314"	""	"314"	""
"97"	"l hV dk
; ksx"	"1019"	"3337"	"1565"	"82"	"98"	"122"	"166"	"85"	"105"	"71"	"167"	"6817"	"0"	"6817"	"0"
"98"	"d qy  &"	"5129"	"14368"	"11356"	"474"	"414"	"934"	"734"	"428"	"736"	"441"	"976"	"35990"	"0"	"35990"	"0"
"99"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"100"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"102"	"i woZ  dk
; ksx&"	"5129"	"14368"	"11356"	"474"	"414"	"934"	"734"	"428"	"736"	"441"	"976"	"35990"	"0"	"35990"	"0"
"103"	"71"	"51"	"394"	"74"	"4"	"16"	"8"	"16"	"7"	"6"	"6"	"16"	"598"	""	"598"	""
"104"	"72"	"50"	"256"	"201"	"7"	"11"	"2"	"9"	"5"	"5"	"7"	"2"	"555"	""	"555"	""
"105"	"73"	"74"	"96"	"39"	"1"	"21"	"22"	"5"	"5"	"5"	"2"	"5"	"275"	""	"275"	""
"106"	"74"	"236"	"86"	"78"	"1"	"2"	"4"	"7"	"5"	"2"	"2"	"13"	"436"	""	"436"	""
"107"	"75"	"333"	"71"	"16"	"3"	"9"	"4"	"4"	"4"	"4"	"2"	"6"	"456"	""	"456"	""
"108"	"76"	"204"	"98"	"89"	"7"	"8"	"4"	"7"	"6"	"6"	"4"	"11"	"444"	""	"444"	""
"109"	"77"	"271"	"160"	"80"	"11"	"4"	"6"	"11"	"4"	"5"	"2"	"5"	"559"	""	"559"	""
"110"	"78"	"41"	"168"	"94"	"3"	"6"	"3"	"4"	"2"	"9"	"3"	"7"	"340"	""	"340"	""
"111"	"79"	"21"	"175"	"96"	"7"	"6"	"3"	"9"	"3"	"1"	"5"	"9"	"335"	""	"335"	""
"112"	"80"	"170"	"389"	"102"	"4"	"17"	"7"	"9"	"6"	"8"	"13"	"22"	"747"	""	"747"	""
"113"	"81"	"67"	"285"	"248"	"12"	"13"	"65"	"14"	"17"	"28"	"9"	"31"	"789"	""	"789"	""
"114"	"82"	"57"	"297"	"143"	"10"	"5"	"36"	"7"	"5"	"5"	"4"	"7"	"576"	""	"576"	""
"115"	"83"	"14"	"293"	"96"	"4"	"2"	"4"	"7"	"2"	"9"	"6"	"9"	"446"	""	"446"	""
"116"	"84"	"48"	"39"	"261"	"5"	"4"	"4"	"3"	"7"	"17"	"7"	"8"	"403"	""	"403"	""
"117"	"l hV dk
; ksx"	"1637"	"2807"	"1617"	"79"	"124"	"172"	"112"	"78"	"110"	"72"	"151"	"6959"	"0"	"6959"	"0"
"118"	"d qy  &"	"6766"	"17175"	"12973"	"553"	"538"	"1106"	"846"	"506"	"846"	"513"	"1127"	"42949"	"0"	"42949"	"0"
"119"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"120"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"121"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"122"	"i woZ  dk
; ksx&"	"6766"	"17175"	"12973"	"553"	"538"	"1106"	"846"	"506"	"846"	"513"	"1127"	"42949"	"0"	"42949"	"0"
"123"	"85"	"80"	"247"	"237"	"7"	"7"	"11"	"4"	"5"	"30"	"7"	"9"	"644"	""	"644"	""
"124"	"86"	"32"	"99"	"408"	"12"	"6"	"7"	"6"	"10"	"25"	"7"	"21"	"633"	""	"633"	""
"125"	"87"	"50"	"113"	"137"	"2"	"2"	"0"	"5"	"4"	"9"	"5"	"5"	"332"	""	"332"	""
"126"	"88"	"127"	"123"	"196"	"6"	"3"	"7"	"6"	"4"	"6"	"4"	"13"	"495"	""	"495"	""
"127"	"89"	"11"	"405"	"111"	"5"	"37"	"29"	"10"	"5"	"6"	"3"	"9"	"631"	""	"631"	""
"128"	"90"	"132"	"164"	"14"	"3"	"0"	"5"	"3"	"3"	"0"	"0"	"1"	"325"	""	"325"	""
"129"	"91"	"167"	"118"	"10"	"3"	"2"	"12"	"10"	"5"	"2"	"4"	"10"	"343"	""	"343"	""
"130"	"92"	"22"	"13"	"355"	"15"	"4"	"1"	"2"	"3"	"15"	"4"	"3"	"437"	""	"437"	""
"131"	"93"	"11"	"9"	"383"	"3"	"1"	"0"	"0"	"3"	"2"	"0"	"0"	"412"	""	"412"	""
"132"	"94"	"103"	"107"	"203"	"13"	"6"	"3"	"9"	"18"	"13"	"8"	"21"	"504"	""	"504"	""
"133"	"95"	"150"	"56"	"241"	"7"	"6"	"6"	"10"	"9"	"19"	"12"	"17"	"533"	""	"533"	""
"134"	"96"	"50"	"95"	"138"	"8"	"7"	"3"	"6"	"5"	"27"	"14"	"27"	"380"	""	"380"	""
"135"	"97"	"102"	"114"	"89"	"11"	"8"	"12"	"14"	"21"	"13"	"2"	"8"	"394"	""	"394"	""
"136"	"98"	"60"	"96"	"53"	"9"	"5"	"31"	"18"	"9"	"13"	"11"	"22"	"327"	""	"327"	""
"137"	"l hV dk
; ksx"	"1097"	"1759"	"2575"	"104"	"94"	"127"	"103"	"104"	"180"	"81"	"166"	"6390"	"0"	"6390"	"0"
"138"	"d qy  &"	"7863"	"18934"	"15548"	"657"	"632"	"1233"	"949"	"610"	"1026"	"594"	"1293"	"49339"	"0"	"49339"	"0"
"139"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"140"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"141"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"142"	"i woZ  dk
; ksx&"	"7863"	"18934"	"15548"	"657"	"632"	"1233"	"949"	"610"	"1026"	"594"	"1293"	"49339"	"0"	"49339"	"0"
"143"	"99"	"84"	"302"	"50"	"2"	"3"	"3"	"5"	"3"	"6"	"6"	"6"	"470"	""	"470"	""
"144"	"100"	"85"	"151"	"11"	"2"	"3"	"7"	"2"	"0"	"3"	"0"	"5"	"269"	""	"269"	""
"145"	"101"	"4"	"343"	"36"	"19"	"1"	"39"	"7"	"2"	"0"	"1"	"3"	"455"	""	"455"	""
"146"	"102"	"49"	"223"	"127"	"5"	"2"	"24"	"2"	"0"	"2"	"3"	"2"	"439"	""	"439"	""
"147"	"103"	"58"	"277"	"141"	"8"	"3"	"9"	"3"	"3"	"0"	"0"	"3"	"505"	""	"505"	""
"148"	"104"	"60"	"134"	"133"	"1"	"9"	"2"	"13"	"8"	"7"	"8"	"2"	"377"	""	"377"	""
"149"	"105"	"45"	"193"	"19"	"5"	"1"	"2"	"3"	"14"	"0"	"0"	"3"	"285"	""	"285"	""
"150"	"106"	"71"	"329"	"43"	"10"	"14"	"15"	"65"	"12"	"19"	"24"	"52"	"654"	""	"654"	""
"151"	"107"	"28"	"255"	"101"	"10"	"5"	"3"	"12"	"41"	"5"	"3"	"7"	"470"	""	"470"	""
"152"	"108"	"44"	"263"	"150"	"8"	"3"	"2"	"7"	"68"	"2"	"0"	"1"	"548"	""	"548"	""
"153"	"109"	"13"	"307"	"110"	"3"	"1"	"0"	"1"	"7"	"3"	"1"	"3"	"449"	""	"449"	""
"154"	"110"	"2"	"187"	"42"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"236"	""	"236"	""
"155"	"111"	"21"	"236"	"200"	"6"	"8"	"7"	"18"	"12"	"27"	"20"	"39"	"594"	""	"594"	""
"156"	"112"	"13"	"215"	"47"	"2"	"2"	"1"	"12"	"1"	"2"	"5"	"7"	"307"	""	"307"	""
"157"	"l hV dk
; ksx"	"577"	"3415"	"1210"	"83"	"56"	"115"	"150"	"172"	"76"	"71"	"133"	"6058"	"0"	"6058"	"0"
"158"	"d qy  &"	"8440"	"22349"	"16758"	"740"	"688"	"1348"	"1099"	"782"	"1102"	"665"	"1426"	"55397"	"0"	"55397"	"0"
"159"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"160"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"161"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"162"	"i woZ  dk
; ksx&"	"8440"	"22349"	"16758"	"740"	"688"	"1348"	"1099"	"782"	"1102"	"665"	"1426"	"55397"	"0"	"55397"	"0"
"163"	"113"	"18"	"214"	"23"	"4"	"5"	"9"	"2"	"1"	"1"	"3"	"3"	"283"	""	"283"	""
"164"	"114"	"35"	"364"	"86"	"11"	"7"	"4"	"15"	"8"	"13"	"10"	"17"	"570"	""	"570"	""
"165"	"115"	"25"	"425"	"75"	"4"	"4"	"0"	"8"	"1"	"1"	"1"	"3"	"547"	""	"547"	""
"166"	"116"	"142"	"148"	"34"	"4"	"2"	"0"	"5"	"2"	"1"	"3"	"2"	"343"	""	"343"	""
"167"	"117"	"37"	"292"	"143"	"7"	"5"	"2"	"12"	"6"	"5"	"2"	"7"	"518"	""	"518"	""
"168"	"118"	"10"	"318"	"12"	"4"	"1"	"1"	"5"	"4"	"2"	"5"	"10"	"372"	""	"372"	""
"169"	"119"	"21"	"209"	"42"	"1"	"1"	"3"	"4"	"3"	"2"	"3"	"3"	"292"	""	"292"	""
"170"	"120"	"11"	"342"	"57"	"4"	"3"	"3"	"6"	"1"	"5"	"4"	"6"	"442"	""	"442"	""
"171"	"121"	"44"	"217"	"54"	"3"	"8"	"6"	"14"	"5"	"4"	"13"	"14"	"382"	""	"382"	""
"172"	"122"	"48"	"321"	"112"	"5"	"3"	"3"	"12"	"9"	"7"	"1"	"2"	"523"	""	"523"	""
"173"	"123"	"12"	"156"	"62"	"4"	"1"	"1"	"4"	"7"	"3"	"3"	"4"	"257"	""	"257"	""
"174"	"124"	"21"	"330"	"103"	"5"	"4"	"3"	"17"	"8"	"10"	"9"	"15"	"525"	""	"525"	""
"175"	"125"	"18"	"85"	"241"	"11"	"9"	"3"	"5"	"5"	"9"	"7"	"7"	"400"	""	"400"	""
"176"	"126"	"21"	"204"	"144"	"7"	"1"	"5"	"12"	"7"	"15"	"10"	"5"	"431"	""	"431"	""
"177"	"l hV dk
; ksx"	"463"	"3625"	"1188"	"74"	"54"	"43"	"121"	"67"	"78"	"74"	"98"	"5885"	"0"	"5885"	"0"
