"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF THE PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…85 - BAHADURPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment …..226497"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"18"	"9"	"9"	"48"	"120"	"22"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"5"	"5"	"2"	"206"	"-"	"206"	""
"19"	"10"	"10"	"23"	"224"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"4"	"1"	"7"	"7"	"272"	"-"	"272"	""
"20"	"11"	"11"	"35"	"224"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"0"	"4"	"2"	"272"	"-"	"272"	""
"21"	"12"	"12"	"44"	"288"	"194"	"14"	"3"	"5"	"3"	"6"	"2"	"5"	"6"	"9"	"12"	"7"	"598"	"-"	"598"	""
"22"	"13"	"13"	"5"	"26"	"52"	"3"	"1"	"2"	"0"	"2"	"4"	"5"	"0"	"6"	"0"	"7"	"113"	"-"	"113"	""
"23"	"14"	"14"	"15"	"254"	"76"	"3"	"2"	"0"	"1"	"0"	"1"	"2"	"2"	"2"	"4"	"0"	"362"	"-"	"362"	""
"24"	"15"	"15"	"11"	"94"	"201"	"3"	"1"	"1"	"0"	"2"	"1"	"1"	"0"	"9"	"6"	"5"	"335"	"-"	"335"	""
"25"	"16"	"16"	"43"	"173"	"403"	"23"	"7"	"1"	"4"	"5"	"7"	"10"	"3"	"13"	"15"	"11"	"718"	"-"	"718"	""
"26"	"17"	"17"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"-"	"2"	""
"27"	"18"	"18"	"31"	"148"	"395"	"8"	"5"	"0"	"3"	"1"	"0"	"1"	"0"	"3"	"4"	"3"	"602"	"-"	"602"	""
"28"	"19"	"19"	"33"	"135"	"315"	"9"	"4"	"3"	"0"	"2"	"7"	"1"	"3"	"9"	"6"	"7"	"534"	"-"	"534"	""
"29"	"20"	"20"	"12"	"80"	"426"	"10"	"2"	"2"	"2"	"1"	"0"	"2"	"1"	"6"	"6"	"3"	"553"	"-"	"553"	""
"30"	"21"	"21"	"24"	"34"	"348"	"4"	"1"	"2"	"1"	"0"	"1"	"3"	"2"	"4"	"0"	"3"	"427"	"-"	"427"	""
"31"	"22"	"22"	"79"	"300"	"175"	"12"	"7"	"10"	"7"	"8"	"5"	"7"	"3"	"9"	"12"	"14"	"648"	"-"	"648"	""
"32"	"23"	"23"	"58"	"176"	"21"	"1"	"2"	"1"	"3"	"3"	"1"	"4"	"6"	"5"	"12"	"14"	"307"	"-"	"307"	""
"33"	"24"	"24"	"43"	"106"	"257"	"12"	"4"	"2"	"5"	"3"	"3"	"6"	"6"	"11"	"7"	"12"	"477"	"-"	"477"	""
"34"	"25"	"25"	"36"	"67"	"342"	"16"	"2"	"6"	"9"	"3"	"1"	"1"	"2"	"2"	"5"	"4"	"496"	"-"	"496"	""
"35"	"26"	"26"	"52"	"76"	"28"	"4"	"6"	"2"	"4"	"6"	"29"	"17"	"11"	"8"	"10"	"37"	"290"	"-"	"290"	""
"36"	"27"	"27"	"38"	"140"	"366"	"9"	"4"	"8"	"1"	"3"	"3"	"2"	"3"	"4"	"6"	"12"	"599"	"-"	"599"	""
"37"	"28"	"28"	"14"	"137"	"204"	"4"	"2"	"0"	"5"	"4"	"1"	"5"	"6"	"10"	"18"	"26"	"436"	"-"	"436"	""
"38"	"29"	"29"	"18"	"126"	"97"	"5"	"2"	"3"	"0"	"4"	"3"	"4"	"0"	"3"	"13"	"15"	"293"	"-"	"293"	""
"39"	"30"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"0"	""
"40"	"5/25/20114:01 PM                                                                                                                                                        bdp85                                                                                                                                                                        Page#1/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"42"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"43"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"44"	"31"	"31"	"24"	"165"	"300"	"12"	"0"	"3"	"3"	"1"	"10"	"0"	"1"	"2"	"1"	"2"	"524"	"-"	"524"	""
"45"	"32"	"32"	"25"	"108"	"392"	"23"	"6"	"2"	"2"	"3"	"4"	"5"	"3"	"7"	"5"	"10"	"595"	"-"	"595"	""
"46"	"33"	"33"	"32"	"250"	"68"	"6"	"3"	"4"	"3"	"1"	"1"	"3"	"5"	"10"	"6"	"19"	"411"	"-"	"411"	""
"47"	"34"	"34"	"23"	"153"	"86"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"3"	"3"	"9"	"5"	"287"	"-"	"287"	""
"48"	"35"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"0"	""
"49"	"36"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"0"	""
"50"	"37"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"0"	""
"51"	"38"	"38"	"16"	"105"	"377"	"3"	"2"	"0"	"1"	"3"	"5"	"10"	"1"	"7"	"8"	"24"	"562"	"-"	"562"	""
"52"	"39"	"39"	"30"	"60"	"350"	"14"	"2"	"2"	"3"	"1"	"2"	"5"	"4"	"4"	"5"	"12"	"494"	"-"	"494"	""
"53"	"40"	"40"	"50"	"14"	"183"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"253"	"-"	"253"	""
"54"	"41"	"41"	"48"	"26"	"151"	"6"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"238"	"-"	"238"	""
"55"	"42"	"42"	"21"	"31"	"264"	"10"	"2"	"4"	"0"	"1"	"5"	"6"	"7"	"12"	"10"	"11"	"384"	""	"384"	""
"56"	"43"	"43"	"22"	"84"	"233"	"9"	"5"	"7"	"8"	"2"	"11"	"7"	"3"	"4"	"4"	"10"	"409"	"-"	"409"	""
"57"	"44"	"44"	"89"	"20"	"265"	"7"	"1"	"4"	"2"	"2"	"2"	"1"	"1"	"2"	"0"	"4"	"400"	"-"	"400"	""
"58"	"45"	"45"	"45"	"117"	"222"	"12"	"4"	"1"	"5"	"6"	"13"	"10"	"7"	"10"	"18"	"26"	"496"	"-"	"496"	""
"59"	"46"	"46"	"49"	"160"	"212"	"14"	"3"	"9"	"3"	"3"	"4"	"11"	"7"	"11"	"20"	"15"	"521"	"-"	"521"	""
"60"	"47"	"47"	"41"	"148"	"157"	"7"	"2"	"1"	"1"	"4"	"4"	"2"	"2"	"2"	"9"	"12"	"392"	"-"	"392"	""
"61"	"48"	"48"	"11"	"149"	"44"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"3"	"1"	"9"	"12"	"232"	"-"	"232"	""
"62"	"49"	"49"	"35"	"276"	"97"	"7"	"3"	"0"	"2"	"1"	"1"	"5"	"6"	"6"	"12"	"15"	"466"	"-"	"466"	""
"63"	"50"	"50"	"21"	"200"	"147"	"5"	"2"	"1"	"1"	"2"	"1"	"1"	"3"	"1"	"2"	"3"	"390"	"-"	"390"	""
"64"	"51"	"51"	"26"	"168"	"48"	"2"	"0"	"0"	"0"	"0"	"7"	"0"	"3"	"5"	"8"	"13"	"280"	"-"	"280"	""
"65"	"52"	"52"	"21"	"314"	"12"	"2"	"0"	"0"	"0"	"2"	"0"	"1"	"3"	"0"	"5"	"0"	"360"	"-"	"360"	""
"66"	"53"	"53"	"20"	"115"	"216"	"13"	"2"	"0"	"4"	"0"	"1"	"1"	"3"	"13"	"8"	"20"	"416"	"-"	"416"	""
"67"	"54"	"54"	"25"	"69"	"106"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"209"	"-"	"209"	""
"68"	"55"	"55"	"97"	"162"	"208"	"9"	"3"	"5"	"3"	"4"	"3"	"1"	"5"	"6"	"9"	"20"	"535"	"-"	"535"	""
"69"	"56"	"56"	"54"	"250"	"37"	"3"	"0"	"3"	"3"	"3"	"3"	"2"	"1"	"2"	"6"	"5"	"372"	"-"	"372"	""
"70"	"57"	"57"	"42"	"38"	"329"	"16"	"4"	"7"	"4"	"3"	"3"	"5"	"4"	"3"	"3"	"5"	"466"	"-"	"466"	""
"71"	"58"	"58"	"34"	"102"	"169"	"10"	"2"	"3"	"4"	"1"	"4"	"3"	"3"	"8"	"7"	"13"	"363"	"-"	"363"	""
"72"	"59"	"59"	"39"	"53"	"81"	"1"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"1"	"7"	"14"	"202"	"-"	"202"	""
"73"	"60"	"60"	"19"	"55"	"447"	"10"	"3"	"3"	"4"	"4"	"17"	"7"	"3"	"4"	"4"	"12"	"592"	"-"	"592"	""
"74"	"61"	"61"	"35"	"323"	"113"	"15"	"12"	"9"	"6"	"3"	"3"	"6"	"2"	"0"	"2"	"2"	"531"	"-"	"531"	""
"75"	"62"	"62"	"18"	"147"	"63"	"7"	"0"	"4"	"2"	"13"	"127"	"5"	"4"	"8"	"8"	"10"	"416"	"-"	"416"	""
"76"	"63"	"63"	"25"	"139"	"135"	"5"	"4"	"2"	"10"	"1"	"15"	"5"	"4"	"3"	"4"	"3"	"355"	"-"	"355"	""
"77"	"64"	"64"	"35"	"120"	"197"	"12"	"1"	"3"	"0"	"5"	"6"	"4"	"3"	"3"	"5"	"5"	"399"	"-"	"399"	""
"78"	"65"	"65"	"38"	"136"	"128"	"1"	"2"	"6"	"3"	"1"	"64"	"3"	"1"	"1"	"1"	"0"	"385"	"-"	"385"	""
"79"	"66"	"66"	"20"	"320"	"63"	"1"	"1"	"1"	"2"	"1"	"2"	"0"	"1"	"1"	"6"	"4"	"423"	"-"	"423"	""
"80"	"67"	"67"	"27"	"149"	"274"	"6"	"3"	"3"	"8"	"3"	"15"	"6"	"1"	"3"	"6"	"10"	"514"	"-"	"514"	""
"81"	"68"	"68"	"69"	"306"	"39"	"3"	"0"	"3"	"4"	"0"	"4"	"2"	"2"	"0"	"4"	"4"	"440"	"-"	"440"	""
"82"	"69"	"69"	"25"	"389"	"112"	"0"	"2"	"4"	"4"	"1"	"2"	"2"	"1"	"2"	"9"	"6"	"559"	"-"	"559"	""
"83"	"5/25/20114:01 PM                                                                                                                                                        bdp85                                                                                                                                                                        Page#2/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"85"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"86"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"87"	"70"	"70"	"43"	"189"	"233"	"8"	"1"	"3"	"2"	"4"	"21"	"5"	"7"	"9"	"14"	"17"	"556"	"-"	"556"	""
"88"	"71"	"71"	"18"	"345"	"25"	"2"	"1"	"1"	"3"	"3"	"1"	"1"	"4"	"1"	"4"	"3"	"412"	"-"	"412"	""
"89"	"72"	"72"	"25"	"249"	"202"	"15"	"4"	"2"	"6"	"3"	"32"	"2"	"8"	"8"	"17"	"15"	"588"	"-"	"588"	""
"90"	"73"	"73"	"52"	"201"	"111"	"11"	"4"	"4"	"8"	"8"	"70"	"2"	"6"	"5"	"13"	"9"	"504"	"-"	"504"	""
"91"	"74"	"74"	"18"	"254"	"83"	"3"	"1"	"8"	"1"	"2"	"17"	"2"	"2"	"0"	"4"	"2"	"397"	"-"	"397"	""
"92"	"75"	"75"	"11"	"270"	"43"	"1"	"0"	"1"	"2"	"2"	"2"	"0"	"1"	"1"	"6"	"2"	"342"	"-"	"342"	""
"93"	"76"	"76"	"23"	"137"	"164"	"7"	"2"	"0"	"7"	"2"	"4"	"3"	"3"	"4"	"6"	"12"	"374"	"-"	"374"	""
"94"	"77"	"77"	"18"	"369"	"104"	"6"	"2"	"1"	"0"	"1"	"3"	"2"	"8"	"4"	"13"	"8"	"539"	"-"	"539"	""
"95"	"78"	"78"	"9"	"22"	"296"	"3"	"0"	"4"	"0"	"0"	"14"	"2"	"4"	"5"	"1"	"8"	"368"	"-"	"368"	""
"96"	"79"	"79"	"91"	"53"	"257"	"7"	"1"	"3"	"0"	"0"	"1"	"0"	"1"	"2"	"3"	"9"	"428"	"-"	"428"	""
"97"	"80"	"80"	"32"	"155"	"233"	"7"	"2"	"2"	"1"	"1"	"5"	"3"	"1"	"5"	"9"	"15"	"471"	"-"	"471"	""
"98"	"81"	"81"	"32"	"67"	"134"	"3"	"2"	"1"	"2"	"0"	"4"	"2"	"1"	"6"	"6"	"5"	"265"	"-"	"265"	""
"99"	"82"	"82"	"20"	"49"	"220"	"8"	"4"	"2"	"6"	"1"	"1"	"4"	"1"	"0"	"0"	"2"	"318"	"-"	"318"	""
"100"	"83"	"83"	"37"	"48"	"81"	"5"	"7"	"2"	"4"	"5"	"4"	"4"	"1"	"4"	"7"	"11"	"220"	"-"	"220"	""
"101"	"84"	"84"	"22"	"266"	"56"	"3"	"1"	"1"	"4"	"2"	"11"	"2"	"2"	"1"	"5"	"1"	"377"	"-"	"377"	""
"102"	"85"	"85"	"47"	"34"	"301"	"6"	"3"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"398"	"-"	"398"	""
"103"	"86"	"86"	"72"	"47"	"243"	"38"	"0"	"1"	"2"	"1"	"10"	"4"	"4"	"16"	"11"	"21"	"470"	"-"	"470"	""
"104"	"87"	"87"	"40"	"38"	"110"	"5"	"2"	"2"	"6"	"6"	"75"	"5"	"2"	"10"	"5"	"17"	"323"	"-"	"323"	""
"105"	"88"	"88"	"154"	"127"	"125"	"7"	"5"	"1"	"3"	"1"	"3"	"1"	"1"	"5"	"10"	"17"	"460"	"-"	"460"	""
"106"	"89"	"89"	"76"	"213"	"178"	"9"	"2"	"2"	"1"	"5"	"2"	"2"	"1"	"2"	"2"	"7"	"502"	"-"	"502"	""
"107"	"90"	"90"	"22"	"91"	"231"	"8"	"2"	"6"	"4"	"3"	"7"	"5"	"7"	"8"	"15"	"19"	"428"	"-"	"428"	""
"108"	"91"	"91"	"9"	"147"	"139"	"0"	"0"	"1"	"3"	"4"	"19"	"1"	"0"	"3"	"7"	"9"	"342"	"-"	"342"	""
"109"	"92"	"92"	"27"	"141"	"220"	"15"	"7"	"6"	"9"	"17"	"45"	"6"	"7"	"9"	"13"	"15"	"537"	"-"	"537"	""
"110"	"93"	"93"	"90"	"199"	"300"	"9"	"2"	"4"	"1"	"5"	"43"	"7"	"2"	"4"	"1"	"5"	"672"	"-"	"672"	""
"111"	"94"	"94"	"23"	"57"	"318"	"4"	"1"	"3"	"0"	"5"	"6"	"1"	"1"	"2"	"1"	"0"	"422"	"-"	"422"	""
"112"	"95"	"95"	"31"	"53"	"422"	"3"	"3"	"2"	"1"	"2"	"50"	"4"	"2"	"6"	"5"	"6"	"590"	"-"	"590"	""
"113"	"96"	"96"	"43"	"95"	"318"	"7"	"2"	"4"	"4"	"8"	"84"	"2"	"6"	"12"	"10"	"24"	"619"	"-"	"619"	""
"114"	"97"	"97"	"55"	"350"	"44"	"5"	"6"	"7"	"14"	"7"	"103"	"5"	"6"	"8"	"18"	"15"	"643"	"-"	"643"	""
"115"	"98"	"98"	"23"	"264"	"135"	"3"	"0"	"0"	"1"	"7"	"8"	"3"	"2"	"1"	"8"	"5"	"460"	"-"	"460"	""
"116"	"99"	"99"	"26"	"248"	"89"	"2"	"2"	"0"	"2"	"0"	"5"	"2"	"3"	"7"	"6"	"6"	"398"	"-"	"398"	""
"117"	"100"	"100"	"32"	"294"	"146"	"8"	"1"	"7"	"1"	"3"	"9"	"8"	"2"	"10"	"15"	"21"	"557"	"-"	"557"	""
"118"	"101"	"101"	"34"	"73"	"531"	"13"	"6"	"3"	"4"	"6"	"6"	"5"	"2"	"10"	"6"	"7"	"706"	"-"	"706"	""
"119"	"102"	"102"	"28"	"121"	"388"	"12"	"6"	"6"	"3"	"11"	"5"	"10"	"5"	"10"	"4"	"6"	"615"	"-"	"615"	""
"120"	"103"	"103"	"45"	"259"	"53"	"1"	"3"	"1"	"2"	"4"	"25"	"5"	"3"	"3"	"15"	"9"	"428"	"-"	"428"	""
"121"	"104"	"104"	"14"	"131"	"131"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"4"	"13"	"11"	"310"	"-"	"310"	""
"122"	"105"	"105"	"7"	"70"	"47"	"1"	"3"	"2"	"1"	"1"	"1"	"8"	"0"	"2"	"2"	"1"	"146"	"-"	"146"	""
"123"	"106"	"106"	"4"	"80"	"91"	"1"	"1"	"1"	"0"	"2"	"2"	"0"	"3"	"7"	"2"	"4"	"198"	"-"	"198"	""
"124"	"107"	"107"	"9"	"79"	"57"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"1"	"5"	"160"	"-"	"160"	""
"125"	"108"	"108"	"32"	"62"	"389"	"16"	"3"	"5"	"4"	"5"	"0"	"1"	"2"	"2"	"1"	"5"	"527"	"-"	"527"	""
"126"	"5/25/20114:01 PM                                                                                                                                                        bdp85                                                                                                                                                                        Page#3/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"128"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"129"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"130"	"109"	"109"	"14"	"324"	"84"	"6"	"1"	"1"	"0"	"3"	"2"	"1"	"2"	"3"	"12"	"11"	"464"	"-"	"464"	""
"131"	"110"	"110"	"15"	"104"	"124"	"7"	"2"	"1"	"1"	"2"	"33"	"3"	"6"	"5"	"10"	"20"	"333"	"-"	"333"	""
"132"	"111"	"111"	"28"	"36"	"304"	"8"	"1"	"2"	"1"	"2"	"9"	"2"	"1"	"2"	"0"	"3"	"399"	"-"	"399"	""
"133"	"112"	"112"	"28"	"230"	"263"	"5"	"1"	"3"	"3"	"3"	"30"	"6"	"3"	"15"	"9"	"16"	"615"	"-"	"615"	""
"134"	"113"	"113"	"31"	"201"	"194"	"14"	"6"	"15"	"11"	"10"	"124"	"11"	"12"	"15"	"13"	"29"	"686"	"-"	"686"	""
"135"	"114"	"114"	"41"	"43"	"499"	"12"	"5"	"4"	"4"	"10"	"7"	"2"	"2"	"8"	"3"	"3"	"643"	"-"	"643"	""
"136"	"115"	"115"	"27"	"265"	"195"	"7"	"4"	"2"	"6"	"2"	"30"	"4"	"4"	"1"	"2"	"3"	"552"	"-"	"552"	""
"137"	"116"	"116"	"8"	"92"	"292"	"5"	"1"	"0"	"1"	"1"	"3"	"2"	"1"	"8"	"4"	"9"	"427"	"-"	"427"	""
"138"	"117"	"117"	"3"	"51"	"109"	"3"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"11"	"185"	"-"	"185"	""
"139"	"118"	"118"	"29"	"180"	"208"	"4"	"3"	"1"	"2"	"4"	"6"	"4"	"7"	"5"	"1"	"24"	"478"	"-"	"478"	""
"140"	"119"	"119"	"40"	"89"	"357"	"5"	"0"	"2"	"3"	"0"	"2"	"1"	"2"	"7"	"2"	"13"	"523"	"-"	"523"	""
"141"	"120"	"120"	"11"	"32"	"101"	"2"	"0"	"1"	"6"	"3"	"35"	"3"	"2"	"3"	"3"	"3"	"205"	"-"	"205"	""
"142"	"121"	"121"	"24"	"97"	"40"	"3"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"1"	"2"	"172"	"-"	"172"	""
"143"	"122"	"122"	"8"	"66"	"30"	"2"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"1"	"3"	"0"	"118"	"-"	"118"	""
"144"	"123"	"123"	"162"	"49"	"202"	"5"	"2"	"2"	"1"	"1"	"1"	"0"	"0"	"2"	"1"	"9"	"437"	"-"	"437"	""
"145"	"124"	"124"	"84"	"22"	"190"	"10"	"3"	"7"	"0"	"5"	"40"	"8"	"5"	"5"	"3"	"8"	"390"	"-"	"390"	""
"146"	"125"	"125"	"30"	"221"	"154"	"3"	"0"	"3"	"0"	"1"	"0"	"2"	"3"	"3"	"6"	"12"	"438"	"-"	"438"	""
"147"	"126"	"126"	"16"	"42"	"103"	"10"	"1"	"2"	"2"	"1"	"1"	"5"	"3"	"8"	"6"	"9"	"209"	"-"	"209"	""
"148"	"127"	"127"	"21"	"112"	"96"	"5"	"3"	"1"	"2"	"4"	"2"	"2"	"1"	"1"	"8"	"6"	"264"	"-"	"264"	""
"149"	"128"	"128"	"42"	"260"	"66"	"3"	"1"	"5"	"0"	"0"	"3"	"0"	"2"	"3"	"20"	"17"	"422"	"-"	"422"	""
"150"	"129"	"129"	"115"	"154"	"93"	"8"	"5"	"7"	"4"	"7"	"79"	"6"	"4"	"5"	"14"	"26"	"527"	"-"	"527"	""
"151"	"130"	"130"	"62"	"143"	"25"	"2"	"1"	"2"	"1"	"1"	"5"	"0"	"1"	"0"	"6"	"4"	"253"	"-"	"253"	""
"152"	"131"	"131"	"51"	"210"	"71"	"5"	"5"	"5"	"10"	"6"	"109"	"4"	"1"	"3"	"7"	"12"	"499"	"-"	"499"	""
"153"	"132"	"132"	"14"	"312"	"268"	"13"	"5"	"5"	"4"	"5"	"99"	"8"	"10"	"21"	"17"	"28"	"809"	"-"	"809"	""
