"er.nku.dsUnz.l.a....k"	"vfu....i.zl.kn.mQZ.l.k.kq...kno"	"i.zdk..k..k"	"j.kekJ..fl.ag"	"X..kEHkw.i.zl.kn.xqIr.k"	"Mk0..l.at...t.k..l.oky"	"QS..kt.qy.vkt.e"	"eukst...dqekj"	"l.S..n...kehe.v..r.j"	"uQhl...vgen"	"Jheku.feJk"	"l.S..n.bj.l.kn.v..r.j"	"oS....er.i...dk...ksx"	"vLohd.r.er.i...dk...ksx"	"X..ksx"	"fufonr.er.i..ksa.dh.l.a....k"
"45"	38	55	161	7	2	65	3	6	3	3	6	2	313	NA	313	NA
"46"	39	34	50	9	9	247	20	3	4	1	10	5	392	NA	392	NA
"47"	40	126	88	12	78	222	17	5	3	7	18	15	591	NA	591	NA
"48"	41	27	82	5	35	138	16	7	2	4	13	9	338	NA	338	NA
"49"	42	48	98	16	77	68	5	7	0	1	6	2	328	NA	328	NA
"50"	NA	1239	1385	238	292	3162	134	76	38	55	113	78	6810	0	6810	0
"51"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"53"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"58"	43	24	50	7	8	176	6	4	1	3	6	5	290	NA	290	NA
"59"	44	49	116	4	5	132	14	4	3	3	11	8	349	NA	349	NA
"60"	45	62	175	9	7	124	4	4	2	6	9	10	412	NA	412	NA
"61"	46	83	181	8	66	181	8	6	5	0	6	12	556	NA	556	NA
"62"	47	55	53	13	23	194	10	4	2	0	11	2	367	NA	367	NA
"63"	48	66	101	9	9	277	10	5	2	4	14	6	503	NA	503	NA
"64"	49	41	130	9	12	271	13	5	3	2	16	12	514	NA	514	NA
"65"	50	36	111	36	8	249	2	6	1	3	13	7	472	NA	472	NA
"66"	51	60	85	135	5	33	4	4	2	6	15	3	352	NA	352	NA
"67"	52	8	41	8	4	179	8	2	3	1	1	1	256	NA	256	NA
"68"	53	16	53	12	3	213	12	5	7	5	23	35	384	NA	384	NA
"69"	54	25	93	9	32	365	14	4	3	1	19	5	570	NA	570	NA
"70"	55	85	62	8	1	143	16	9	5	4	11	5	349	NA	349	NA
"71"	56	89	204	23	18	213	12	10	6	9	17	3	604	NA	604	NA
"72"	NA	699	1455	290	201	2750	133	72	45	47	172	114	5978	0	5978	0
"73"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"74"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"76"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"77"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"81"	57	15	96	30	43	151	17	9	10	11	10	9	401	NA	401	NA
"82"	58	23	26	13	4	160	16	2	5	6	9	15	279	NA	279	NA
"83"	59	38	132	4	91	190	16	7	3	3	6	4	494	NA	494	NA
"84"	60	33	188	17	20	181	8	19	3	16	15	5	505	NA	505	NA
"85"	61	30	162	4	26	353	20	7	2	3	11	5	623	NA	623	NA
"86"	62	14	76	1	5	89	12	1	0	3	3	1	205	NA	205	NA
"87"	63	16	168	6	4	177	8	5	17	6	8	0	415	NA	415	NA
"88"	64	21	188	0	48	120	4	5	0	2	5	2	395	NA	395	NA
"89"	65	85	169	7	19	148	8	6	1	4	11	7	465	NA	465	NA
"90"	66	53	149	6	22	170	6	6	3	5	14	1	435	NA	435	NA
"91"	67	19	122	6	12	255	7	2	4	10	25	5	467	NA	467	NA
"92"	68	13	154	7	13	160	7	6	2	3	4	2	371	NA	371	NA
"93"	69	25	111	3	14	353	16	5	4	4	8	5	548	NA	548	NA
"94"	70	157	98	14	39	204	7	9	8	4	4	7	551	NA	551	NA
"95"	NA	542	1839	118	360	2711	152	89	62	80	133	68	6154	0	6154	0
"96"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"103"	71	66	35	4	42	163	2	7	5	1	6	14	345	NA	345	NA
"104"	72	166	58	6	23	55	5	6	3	3	1	2	328	NA	328	NA
"105"	73	65	127	14	3	46	2	1	1	3	3	1	266	NA	266	NA
"106"	74	116	238	33	37	56	4	4	2	4	10	4	508	NA	508	NA
"107"	75	85	57	4	18	138	3	4	5	4	5	5	328	NA	328	NA
"108"	76	33	82	63	15	149	1	2	2	2	2	3	354	NA	354	NA
"109"	77	6	26	11	161	112	1	3	5	3	2	6	336	NA	336	NA
"110"	78	47	199	4	6	350	8	8	4	3	4	2	635	NA	635	NA
"111"	79	27	73	1	4	502	20	5	1	4	5	11	653	NA	653	NA
"112"	80	49	72	1	2	106	3	1	3	0	6	1	244	NA	244	NA
"113"	81	32	54	2	30	58	1	3	0	4	4	1	189	NA	189	NA
"114"	82	19	171	1	7	207	9	8	2	3	8	2	437	NA	437	NA
"115"	83	29	263	25	30	166	13	14	7	7	19	18	591	NA	591	NA
"116"	84	10	112	2	10	153	9	7	7	10	20	8	348	NA	348	NA
"117"	NA	750	1567	171	388	2261	81	73	47	51	95	78	5562	0	5562	0
"118"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"119"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"120"	85	10	163	7	20	106	3	9	4	2	10	12	346	NA	346	NA
"121"	86	25	192	13	140	81	6	12	3	4	15	5	496	NA	496	NA
"122"	87	22	177	9	3	97	7	8	7	5	28	15	378	NA	378	NA
"123"	88	7	505	8	15	95	0	2	3	3	5	2	645	NA	645	NA
"124"	89	30	247	9	38	196	12	14	13	23	17	17	616	NA	616	NA
"125"	90	17	283	5	0	35	5	3	1	2	8	2	361	NA	361	NA
"126"	91	38	188	12	82	82	2	13	3	7	8	2	437	NA	437	NA
"127"	92	12	670	3	6	34	2	2	1	3	12	0	745	NA	745	NA
"128"	93	7	347	6	1	10	1	1	1	1	11	10	396	NA	396	NA
"129"	94	5	228	3	8	52	1	4	0	3	3	0	307	NA	307	NA
"130"	95	33	480	13	7	118	7	8	8	15	18	15	722	NA	722	NA
"131"	96	36	464	10	65	83	5	6	8	14	18	8	717	NA	717	NA
"132"	97	9	408	11	2	195	4	11	9	19	15	6	689	NA	689	NA
"133"	98	38	273	6	25	55	3	8	9	12	15	8	452	NA	452	NA
"134"	NA	289	4625	115	412	1239	58	101	70	113	183	102	7307	0	7307	0
"135"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"136"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"137"	99	34	208	11	5	68	5	8	21	11	11	8	390	NA	390	NA
"138"	100	33	124	4	49	322	16	7	4	4	11	14	588	NA	588	NA
"139"	101	35	294	2	12	212	12	7	6	15	34	11	640	NA	640	NA
"140"	102	9	191	5	24	127	7	6	4	7	14	3	397	NA	397	NA
"141"	103	19	226	9	7	194	16	14	2	11	18	26	542	NA	542	NA
"142"	104	32	142	12	38	227	19	9	7	10	18	16	530	NA	530	NA
"143"	105	11	229	20	3	83	6	7	142	9	11	2	523	NA	523	NA
"144"	106	29	294	22	3	122	3	2	93	6	15	4	593	NA	593	NA
"145"	107	49	144	8	3	435	21	13	10	5	11	12	711	NA	711	NA
"146"	108	9	29	2	4	150	6	6	0	0	1	2	209	NA	209	NA
"147"	109	2	138	5	1	68	2	5	7	3	9	3	243	NA	243	NA
"148"	110	38	315	16	5	159	6	6	2	10	25	2	584	NA	584	NA
"149"	111	22	195	46	48	146	15	8	8	11	15	28	542	NA	542	NA
"150"	112	35	211	10	2	193	9	7	0	4	8	2	481	NA	481	NA
"151"	NA	357	2740	172	204	2506	143	105	306	106	201	133	6973	0	6973	0
"152"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"153"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"154"	113	14	90	6	43	152	12	5	3	5	7	8	345	NA	345	NA
"155"	114	16	256	16	34	147	6	8	4	6	23	7	523	NA	523	NA
"156"	115	18	262	7	5	104	5	3	3	10	18	6	441	NA	441	NA
"157"	116	13	205	3	4	206	4	7	0	3	8	1	454	NA	454	NA
"158"	117	15	258	4	7	61	5	12	3	8	11	4	388	NA	388	NA
"159"	118	13	52	3	24	179	2	3	0	2	6	6	290	NA	290	NA
"160"	119	17	366	18	6	221	16	18	8	16	15	6	707	NA	707	NA
"161"	120	4	67	8	5	185	7	6	1	2	2	3	290	NA	290	NA
"162"	121	4	138	6	72	58	4	6	4	3	16	14	325	NA	325	NA
"163"	122	8	62	5	2	302	1	0	0	0	1	0	381	NA	381	NA
"164"	123	5	194	3	16	51	1	4	0	2	6	2	284	NA	284	NA
"165"	124	9	162	4	6	183	8	9	2	14	14	3	414	NA	414	NA
"166"	125	21	270	10	10	183	6	6	4	9	17	4	540	NA	540	NA
"167"	126	31	155	10	9	344	13	7	6	11	18	22	626	NA	626	NA
"168"	NA	188	2537	103	243	2376	90	94	38	91	162	86	6008	0	6008	0
"169"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"170"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"171"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"172"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"173"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"176"	127	43	147	8	14	140	9	8	4	7	9	12	401	NA	401	NA
"177"	128	64	98	28	6	137	6	3	1	6	7	1	357	NA	357	NA
"178"	129	80	81	6	90	46	3	10	3	3	6	7	335	NA	335	NA
"179"	130	12	233	12	4	309	4	7	2	2	10	1	596	NA	596	NA
"180"	131	25	140	7	14	75	3	2	1	2	8	2	279	NA	279	NA
"181"	132	21	128	4	50	57	2	4	2	2	4	2	276	NA	276	NA
"182"	133	9	200	62	101	78	3	5	0	1	3	7	469	NA	469	NA
"183"	134	31	101	33	6	147	10	5	4	4	3	10	354	NA	354	NA
"184"	135	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA
"185"	136	20	334	12	25	143	7	21	4	14	21	12	613	NA	613	NA
"186"	137	24	240	9	113	195	16	9	6	9	20	16	657	NA	657	NA
"187"	138	17	211	5	0	65	5	6	3	10	17	7	346	NA	346	NA
"188"	139	26	153	17	31	373	27	9	7	7	11	13	674	NA	674	NA
"189"	140	11	101	5	2	180	11	5	0	3	7	10	335	NA	335	NA
"190"	NA	383	2167	208	456	1945	106	94	37	70	126	100	5692	0	5692	0
"191"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"192"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"194"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"195"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"197"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"199"	141	13	64	5	13	251	29	8	3	11	16	21	434	NA	434	NA
"200"	142	18	152	7	33	237	10	8	6	7	12	11	501	NA	501	NA
"201"	143	34	173	12	12	293	12	7	8	11	19	27	608	NA	608	NA
"202"	144	12	88	10	6	206	15	7	6	4	11	10	375	NA	375	NA
"203"	145	26	70	8	17	407	18	9	4	3	12	9	583	NA	583	NA
"204"	146	16	392	11	5	179	4	8	0	6	12	5	638	NA	638	NA
"205"	147	13	268	10	68	212	12	7	1	8	19	9	627	NA	627	NA
"206"	148	8	70	4	56	298	15	5	3	3	6	7	475	NA	475	NA
"207"	149	20	349	24	13	117	1	4	2	5	11	4	550	NA	550	NA
"208"	150	34	370	16	6	73	5	5	1	9	4	7	530	NA	530	NA
"209"	151	39	187	4	21	177	4	8	6	10	21	35	512	NA	512	NA
"210"	152	35	422	34	8	63	5	13	12	19	28	14	653	NA	653	NA
"211"	153	34	91	6	5	219	17	7	4	9	14	8	414	NA	414	NA
"212"	154	26	229	14	5	153	7	8	2	12	16	4	476	NA	476	NA
"213"	NA	328	2925	165	268	2885	154	104	58	117	201	171	7376	0	7376	0
"214"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"215"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"217"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"218"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"219"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"221"	155	36	205	16	12	380	20	12	1	15	16	17	730	NA	730	NA
"222"	156	8	290	9	9	464	13	5	0	6	7	6	817	NA	817	NA
"223"	157	20	350	30	7	147	5	6	1	12	16	3	597	NA	597	NA
"224"	158	48	111	15	36	260	18	5	4	5	9	4	515	NA	515	NA
"225"	159	77	405	23	3	35	2	4	3	8	13	7	580	NA	580	NA
"226"	160	32	365	15	110	28	16	2	3	1	8	4	584	NA	584	NA
"227"	161	25	329	17	49	158	8	10	6	8	15	6	631	NA	631	NA
"228"	162	69	263	7	64	43	3	10	5	18	29	24	535	NA	535	NA
"229"	163	66	318	19	4	14	3	2	8	7	6	6	453	NA	453	NA
"230"	164	30	197	10	16	142	11	6	3	2	8	7	432	NA	432	NA
"231"	165	12	88	10	279	77	4	4	1	1	3	2	481	NA	481	NA
"232"	166	45	389	10	12	20	3	5	2	15	17	6	524	NA	524	NA
"233"	167	161	217	2	38	124	4	1	8	2	6	2	565	NA	565	NA
"234"	168	37	491	6	4	1	1	5	7	5	26	10	593	NA	593	NA
"235"	NA	666	4018	189	643	1893	111	77	52	105	179	104	8037	0	8037	0
"236"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"237"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"238"	169	77	522	9	1	10	2	11	2	3	8	6	651	NA	651	NA
"239"	170	24	497	9	2	70	3	2	1	9	14	5	636	NA	636	NA
"240"	171	17	189	9	43	329	2	8	2	6	16	8	629	NA	629	NA
"241"	172	25	391	3	4	2	0	2	0	4	7	2	440	NA	440	NA
"242"	173	14	502	18	3	4	1	9	2	8	26	11	598	NA	598	NA
"243"	174	31	410	8	4	28	2	7	2	8	27	13	540	NA	540	NA
"244"	175	52	246	14	6	110	10	7	0	9	29	19	502	NA	502	NA
"245"	176	163	56	11	7	181	17	4	2	9	7	9	466	NA	466	NA
"246"	177	29	113	9	49	87	9	5	2	5	15	3	326	NA	326	NA
"247"	178	48	148	12	16	289	23	9	8	14	23	10	600	NA	600	NA
"248"	179	44	197	11	127	86	8	3	9	16	19	20	540	NA	540	NA
"249"	180	61	365	9	36	127	8	12	4	14	15	6	657	NA	657	NA
"250"	181	63	155	5	121	272	9	15	11	2	5	17	675	NA	675	NA
"251"	182	70	80	5	13	305	17	3	1	3	7	2	506	NA	506	NA
"252"	NA	718	3871	132	432	1900	111	97	46	110	218	131	7766	0	7766	0
"253"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"254"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"255"	183	24	207	5	4	187	11	22	6	11	27	17	521	NA	521	NA
"256"	184	59	108	3	7	53	5	3	2	10	9	6	265	NA	265	NA
"257"	185	22	252	6	4	136	3	8	2	4	8	4	449	NA	449	NA
"258"	186	72	181	1	6	69	2	3	4	5	8	2	353	NA	353	NA
"259"	187	36	215	3	31	65	1	1	0	4	2	1	359	NA	359	NA
"260"	188	23	144	6	6	278	8	1	3	4	12	2	487	NA	487	NA
"261"	189	15	78	9	145	214	30	13	10	9	8	12	543	NA	543	NA
"262"	190	28	61	4	10	137	8	3	2	3	4	5	265	NA	265	NA
"263"	191	42	201	6	54	82	8	8	1	6	7	12	427	NA	427	NA
"264"	192	39	101	4	13	187	11	8	3	6	9	7	388	NA	388	NA
"265"	193	44	94	12	211	263	20	13	41	9	14	16	737	NA	737	NA
"266"	194	62	156	12	120	235	18	10	7	8	21	16	665	NA	665	NA
"267"	NA	466	1798	71	611	1906	125	93	81	79	129	100	5459	0	5459	0
