"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X230882.34.Babubarhi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"49"	""	"36"	"16"	"2"	"131"	"204"	"17"	"9"	"8"	"5"	"7"	"13"	"19"	"431"	""	"431"	""
"50"	""	"37"	"23"	"3"	"112"	"209"	"20"	"9"	"4"	"3"	"5"	"2"	"22"	"412"	""	"412"	""
"51"	""	"38"	"18"	"5"	"273"	"90"	"5"	"6"	"1"	"4"	"1"	"3"	"4"	"410"	""	"410"	""
"52"	""	"39"	"17"	"2"	"171"	"258"	"97"	"1"	"4"	"1"	"1"	"2"	"3"	"557"	""	"557"	""
"53"	""	"40"	"30"	"4"	"336"	"110"	"4"	"1"	"2"	"2"	"0"	"4"	"8"	"501"	""	"501"	""
"54"	""	"41"	"3"	"0"	"428"	"29"	"1"	"1"	"3"	"1"	"1"	"1"	"2"	"470"	""	"470"	""
"55"	""	"42"	"5"	"2"	"437"	"63"	"0"	"1"	"1"	"2"	"0"	"1"	"8"	"520"	""	"520"	""
"56"	""	"Total -3"	"366"	"69"	"3230"	"2749"	"243"	"78"	"80"	"43"	"52"	"77"	"184"	"7171"	"0"	"7171"	"0"
"57"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"61"	"Round No4"	"43"	"22"	"7"	"250"	"305"	"11"	"7"	"13"	"9"	"5"	"15"	"33"	"677"	""	"677"	""
"62"	""	"44"	"4"	"0"	"25"	"246"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"277"	""	"277"	""
"63"	""	"45"	"32"	"6"	"122"	"310"	"2"	"1"	"7"	"3"	"4"	"11"	"15"	"513"	""	"513"	""
"64"	""	"46"	"33"	"4"	"71"	"460"	"10"	"3"	"4"	"2"	"3"	"4"	"2"	"596"	""	"596"	""
"65"	""	"47"	"19"	"3"	"190"	"356"	"5"	"3"	"5"	"2"	"3"	"0"	"1"	"587"	""	"587"	""
"66"	""	"48"	"31"	"9"	"372"	"328"	"10"	"6"	"10"	"6"	"3"	"9"	"11"	"795"	""	"795"	""
"67"	""	"49"	"68"	"8"	"105"	"538"	"13"	"10"	"9"	"5"	"6"	"12"	"33"	"807"	""	"807"	""
"68"	""	"50"	"24"	"8"	"261"	"221"	"8"	"5"	"5"	"2"	"4"	"6"	"9"	"553"	""	"553"	""
"69"	""	"51"	"21"	"3"	"104"	"63"	"1"	"1"	"2"	"0"	"2"	"6"	"7"	"210"	""	"210"	""
"70"	""	"52"	"80"	"9"	"139"	"270"	"8"	"6"	"5"	"3"	"4"	"3"	"5"	"532"	""	"532"	""
"71"	""	"53"	"3"	"2"	"96"	"372"	"14"	"4"	"3"	"3"	"3"	"3"	"2"	"505"	""	"505"	""
"72"	""	"54"	"36"	"8"	"120"	"165"	"5"	"8"	"2"	"3"	"6"	"1"	"4"	"358"	""	"358"	""
"73"	""	"55"	"42"	"7"	"180"	"268"	"12"	"8"	"11"	"8"	"5"	"9"	"19"	"569"	""	"569"	""
"74"	""	"56"	"19"	"7"	"76"	"350"	"20"	"12"	"9"	"4"	"3"	"9"	"12"	"521"	""	"521"	""
"75"	""	"Total -4"	"434"	"81"	"2111"	"4252"	"119"	"75"	"85"	"50"	"51"	"88"	"154"	"7500"	"0"	"7500"	"0"
"76"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"80"	"Round No 5"	"57"	"24"	"1"	"92"	"222"	"3"	"2"	"5"	"3"	"2"	"1"	"12"	"367"	""	"367"	""
"81"	""	"58"	"23"	"10"	"278"	"338"	"10"	"10"	"12"	"8"	"5"	"10"	"8"	"712"	""	"712"	""
"82"	""	"59"	"68"	"12"	"445"	"273"	"16"	"8"	"10"	"2"	"7"	"10"	"13"	"864"	""	"864"	""
"83"	""	"60"	"58"	"2"	"140"	"242"	"4"	"5"	"2"	"1"	"0"	"0"	"3"	"457"	""	"457"	""
"84"	""	"61"	"32"	"5"	"153"	"329"	"9"	"7"	"5"	"1"	"7"	"6"	"17"	"571"	""	"571"	""
"85"	""	"62"	"35"	"8"	"133"	"214"	"9"	"4"	"2"	"2"	"4"	"4"	"1"	"416"	""	"416"	""
"86"	""	"63"	"23"	"5"	"148"	"79"	"8"	"2"	"5"	"3"	"2"	"5"	"11"	"291"	""	"291"	""
"87"	""	"64"	"17"	"4"	"198"	"183"	"3"	"4"	"2"	"2"	"2"	"4"	"0"	"419"	""	"419"	""
"88"	""	"65"	"195"	"9"	"160"	"70"	"8"	"3"	"2"	"6"	"0"	"6"	"7"	"466"	""	"466"	""
"89"	""	"66"	"18"	"3"	"412"	"72"	"2"	"2"	"0"	"1"	"3"	"1"	"3"	"517"	""	"517"	""
"90"	""	"67"	"90"	"3"	"89"	"91"	"7"	"8"	"3"	"0"	"1"	"5"	"17"	"314"	""	"314"	""
"91"	""	"68"	"86"	"4"	"187"	"120"	"4"	"10"	"3"	"3"	"5"	"5"	"6"	"433"	""	"433"	""
"92"	""	"69"	"11"	"3"	"138"	"92"	"4"	"34"	"4"	"3"	"3"	"7"	"15"	"314"	""	"314"	""
"93"	""	"70"	"31"	"10"	"137"	"142"	"74"	"6"	"7"	"3"	"3"	"17"	"5"	"435"	""	"435"	""
"94"	""	"Total -5"	"711"	"79"	"2710"	"2467"	"161"	"105"	"62"	"38"	"44"	"81"	"118"	"6576"	"0"	"6576"	"0"
"95"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"99"	"Round No 6"	"71"	"56"	"5"	"187"	"193"	"7"	"11"	"5"	"4"	"6"	"10"	"7"	"491"	""	"491"	""
"100"	""	"72"	"54"	"2"	"45"	"263"	"14"	"3"	"4"	"1"	"1"	"3"	"3"	"393"	""	"393"	""
"101"	""	"73"	"43"	"9"	"95"	"372"	"152"	"15"	"9"	"5"	"9"	"22"	"12"	"743"	""	"743"	""
"102"	""	"74"	"38"	"6"	"87"	"428"	"35"	"18"	"5"	"5"	"4"	"11"	"11"	"648"	""	"648"	""
"103"	""	"75"	"2"	"1"	"122"	"21"	"15"	"1"	"0"	"1"	"1"	"3"	"1"	"168"	""	"168"	""
"104"	""	"76"	"37"	"11"	"242"	"45"	"33"	"2"	"2"	"3"	"7"	"5"	"19"	"406"	""	"406"	""
"105"	""	"77"	"11"	"0"	"34"	"322"	"1"	"4"	"3"	"1"	"1"	"0"	"4"	"381"	""	"381"	""
"106"	""	"78"	"94"	"7"	"187"	"238"	"5"	"4"	"3"	"1"	"2"	"6"	"28"	"575"	""	"575"	""
"107"	""	"79"	"298"	"8"	"17"	"113"	"1"	"2"	"1"	"1"	"1"	"1"	"4"	"447"	""	"447"	""
"108"	""	"80"	"28"	"3"	"221"	"130"	"8"	"7"	"6"	"5"	"8"	"6"	"25"	"447"	""	"447"	""
"109"	""	"81"	"62"	"2"	"103"	"240"	"5"	"4"	"5"	"3"	"1"	"3"	"6"	"434"	""	"434"	""
"110"	""	"82"	"6"	"6"	"98"	"142"	"5"	"2"	"5"	"6"	"0"	"4"	"3"	"277"	""	"277"	""
"111"	""	"83"	"12"	"9"	"178"	"176"	"8"	"3"	"7"	"6"	"3"	"5"	"14"	"421"	""	"421"	""
"112"	""	"84"	"4"	"3"	"160"	"219"	"0"	"0"	"4"	"0"	"2"	"0"	"4"	"396"	""	"396"	""
"113"	""	"Total -6"	"745"	"72"	"1776"	"2902"	"289"	"76"	"59"	"42"	"46"	"79"	"141"	"6227"	"0"	"6227"	"0"
"114"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"118"	"Round No 7"	"85"	"30"	"1"	"232"	"399"	"15"	"8"	"9"	"11"	"11"	"13"	"25"	"754"	""	"754"	""
"119"	""	"86"	"25"	"5"	"130"	"409"	"8"	"6"	"8"	"6"	"3"	"17"	"13"	"630"	""	"630"	""
"120"	""	"87"	"26"	"4"	"129"	"145"	"11"	"4"	"6"	"5"	"3"	"4"	"25"	"362"	""	"362"	""
"121"	""	"88"	"47"	"3"	"48"	"189"	"18"	"9"	"2"	"3"	"4"	"12"	"19"	"354"	""	"354"	""
"122"	""	"89"	"174"	"7"	"73"	"177"	"13"	"10"	"8"	"7"	"10"	"14"	"15"	"508"	""	"508"	""
"123"	""	"90"	"29"	"8"	"114"	"72"	"2"	"4"	"10"	"2"	"4"	"4"	"15"	"264"	""	"264"	""
"124"	""	"91"	"70"	"6"	"353"	"122"	"5"	"4"	"0"	"4"	"3"	"5"	"3"	"575"	""	"575"	""
"125"	""	"92"	"22"	"2"	"83"	"338"	"49"	"9"	"10"	"7"	"7"	"10"	"17"	"554"	""	"554"	""
"126"	""	"93"	"101"	"9"	"58"	"93"	"9"	"7"	"4"	"2"	"2"	"6"	"17"	"308"	""	"308"	""
"127"	""	"94"	"37"	"12"	"445"	"102"	"4"	"8"	"2"	"2"	"7"	"11"	"12"	"642"	""	"642"	""
"128"	""	"95"	"18"	"0"	"157"	"55"	"2"	"3"	"0"	"2"	"2"	"1"	"10"	"250"	""	"250"	""
"129"	""	"96"	"179"	"3"	"24"	"60"	"2"	"1"	"0"	"2"	"0"	"2"	"0"	"273"	""	"273"	""
"130"	""	"97"	"61"	"7"	"275"	"255"	"8"	"2"	"4"	"3"	"8"	"5"	"6"	"634"	""	"634"	""
"131"	""	"98"	"133"	"9"	"296"	"90"	"9"	"9"	"8"	"8"	"12"	"10"	"27"	"611"	""	"611"	""
"132"	""	"Total -7"	"952"	"76"	"2417"	"2506"	"155"	"84"	"71"	"64"	"76"	"114"	"204"	"6719"	"0"	"6719"	"0"
"133"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"137"	"Round No 8"	"99"	"27"	"4"	"136"	"208"	"8"	"12"	"9"	"4"	"2"	"5"	"10"	"425"	""	"425"	""
"138"	""	"100"	"18"	"8"	"226"	"202"	"11"	"10"	"10"	"12"	"12"	"10"	"31"	"550"	""	"550"	""
"139"	""	"101"	"71"	"4"	"84"	"122"	"2"	"11"	"4"	"1"	"1"	"2"	"4"	"306"	""	"306"	""
"140"	""	"102"	"62"	"12"	"270"	"221"	"17"	"20"	"12"	"10"	"6"	"9"	"16"	"655"	""	"655"	""
"141"	""	"103"	"109"	"8"	"79"	"184"	"9"	"5"	"9"	"2"	"2"	"2"	"2"	"411"	""	"411"	""
"142"	""	"104"	"29"	"5"	"93"	"447"	"6"	"6"	"5"	"2"	"2"	"3"	"2"	"600"	""	"600"	""
"143"	""	"105"	"133"	"5"	"109"	"269"	"9"	"19"	"11"	"7"	"2"	"2"	"7"	"573"	""	"573"	""
"144"	""	"106"	"20"	"0"	"69"	"129"	"1"	"2"	"3"	"0"	"1"	"3"	"2"	"230"	""	"230"	""
"145"	""	"107"	"22"	"6"	"254"	"181"	"10"	"14"	"2"	"6"	"6"	"2"	"10"	"513"	""	"513"	""
"146"	""	"108"	"8"	"3"	"279"	"130"	"6"	"2"	"3"	"2"	"6"	"4"	"10"	"453"	""	"453"	""
"147"	""	"109"	"45"	"9"	"277"	"75"	"14"	"1"	"3"	"5"	"8"	"11"	"22"	"470"	""	"470"	""
"148"	""	"110"	"35"	"8"	"198"	"174"	"8"	"6"	"6"	"2"	"7"	"3"	"8"	"455"	""	"455"	""
"149"	""	"111"	"31"	"5"	"98"	"217"	"17"	"8"	"3"	"4"	"3"	"5"	"6"	"397"	""	"397"	""
"150"	""	"112"	"91"	"2"	"193"	"149"	"3"	"6"	"3"	"1"	"3"	"5"	"4"	"460"	""	"460"	""
"151"	""	"Total -8"	"701"	"79"	"2365"	"2708"	"121"	"122"	"83"	"58"	"61"	"66"	"134"	"6498"	"0"	"6498"	"0"
"152"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"156"	"Round No 9"	"113"	"18"	"4"	"17"	"165"	"12"	"6"	"5"	"2"	"0"	"2"	"2"	"233"	""	"233"	""
"157"	""	"114"	"34"	"4"	"209"	"120"	"22"	"2"	"1"	"5"	"1"	"8"	"8"	"414"	""	"414"	""
"158"	""	"115"	"175"	"5"	"74"	"107"	"3"	"1"	"1"	"0"	"1"	"0"	"2"	"369"	""	"369"	""
"159"	""	"116"	"112"	"12"	"92"	"305"	"37"	"12"	"8"	"2"	"3"	"4"	"9"	"596"	""	"596"	""
"160"	""	"117"	"50"	"12"	"271"	"111"	"6"	"12"	"6"	"6"	"12"	"15"	"29"	"530"	""	"530"	""
"161"	""	"118"	"5"	"4"	"112"	"99"	"10"	"4"	"1"	"2"	"2"	"4"	"5"	"248"	""	"248"	""
"162"	""	"119"	"53"	"2"	"49"	"170"	"9"	"6"	"4"	"2"	"2"	"1"	"4"	"302"	""	"302"	""
"163"	""	"120"	"28"	"1"	"20"	"135"	"7"	"2"	"3"	"2"	"2"	"3"	"4"	"207"	""	"207"	""
"164"	""	"121"	"105"	"5"	"45"	"25"	"1"	"2"	"0"	"1"	"1"	"1"	"3"	"189"	""	"189"	""
"165"	""	"122"	"20"	"9"	"277"	"261"	"11"	"3"	"5"	"4"	"4"	"6"	"13"	"613"	""	"613"	""
"166"	""	"123"	"90"	"10"	"387"	"357"	"4"	"4"	"3"	"1"	"1"	"4"	"7"	"868"	""	"868"	""
"167"	""	"124"	"102"	"15"	"219"	"309"	"6"	"13"	"5"	"3"	"3"	"7"	"6"	"688"	""	"688"	""
"168"	""	"125"	"143"	"13"	"182"	"268"	"9"	"7"	"10"	"7"	"5"	"9"	"32"	"685"	""	"685"	""
"169"	""	"126"	"59"	"4"	"186"	"243"	"6"	"5"	"6"	"4"	"7"	"7"	"16"	"543"	""	"543"	""
"170"	""	"Total -9"	"994"	"100"	"2140"	"2675"	"143"	"79"	"58"	"41"	"44"	"71"	"140"	"6485"	"0"	"6485"	"0"
"171"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"175"	"Round No 10"	"127"	"166"	"5"	"16"	"121"	"4"	"0"	"2"	"2"	"3"	"3"	"5"	"327"	""	"327"	""
"176"	""	"128"	"156"	"20"	"71"	"189"	"8"	"5"	"1"	"2"	"1"	"3"	"8"	"464"	""	"464"	""
"177"	""	"129"	"105"	"12"	"149"	"89"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"359"	""	"359"	""
"178"	""	"130"	"250"	"6"	"100"	"18"	"2"	"3"	"0"	"1"	"2"	"2"	"8"	"392"	""	"392"	""
"179"	""	"131"	"132"	"8"	"75"	"108"	"6"	"2"	"3"	"2"	"0"	"3"	"1"	"340"	""	"340"	""
"180"	""	"132"	"35"	"8"	"198"	"324"	"7"	"3"	"11"	"2"	"7"	"6"	"14"	"615"	""	"615"	""
