"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"57"	"l hV dk
; ksx"	"3098"	"1413"	"367"	"115"	"816"	"25"	"15"	"462"	"53"	"27"	"12"	"12"	"15"	"46"	"22"	"58"	"127"	"40"	"26"	"48"	"34"	"70"	"6901"	"0"	"6901"	"0"
"58"	"d qy  &"	"9156"	"4449"	"839"	"283"	"2711"	"84"	"58"	"1526"	"181"	"100"	"37"	"42"	"49"	"121"	"72"	"227"	"305"	"112"	"57"	"102"	"89"	"156"	"20756"	"0"	"20756"	"0"
"59"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"60"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"62"	"i woZ  dk
; ksx&"	"9156"	"4449"	"839"	"283"	"2711"	"84"	"58"	"1526"	"181"	"100"	"37"	"42"	"49"	"121"	"72"	"227"	"305"	"112"	"57"	"102"	"89"	"156"	"20756"	"0"	"20756"	"0"
"63"	"43"	"236"	"46"	"31"	"33"	"28"	"2"	"3"	"98"	"17"	"8"	"1"	"6"	"8"	"13"	"5"	"29"	"11"	"4"	"4"	"3"	"2"	"11"	"599"	"0"	"599"	"0"
"64"	"44"	"85"	"152"	"16"	"2"	"71"	"1"	"0"	"16"	"1"	"3"	"1"	"2"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"3"	"0"	"0"	"360"	"0"	"360"	"0"
"65"	"45"	"153"	"158"	"23"	"5"	"43"	"1"	"0"	"65"	"0"	"1"	"1"	"3"	"2"	"6"	"3"	"4"	"3"	"4"	"0"	"0"	"1"	"3"	"479"	"0"	"479"	"0"
"66"	"46"	"160"	"12"	"47"	"0"	"81"	"2"	"1"	"37"	"7"	"1"	"1"	"0"	"0"	"4"	"0"	"0"	"5"	"2"	"4"	"1"	"6"	"1"	"372"	"0"	"372"	"0"
"67"	"47"	"102"	"119"	"161"	"11"	"52"	"2"	"2"	"19"	"2"	"3"	"2"	"1"	"1"	"7"	"1"	"4"	"8"	"6"	"9"	"8"	"3"	"9"	"532"	"0"	"532"	"0"
"68"	"48"	"50"	"85"	"9"	"6"	"87"	"2"	"1"	"3"	"0"	"2"	"1"	"1"	"0"	"2"	"2"	"6"	"1"	"0"	"2"	"1"	"0"	"0"	"261"	"0"	"261"	"0"
"69"	"49"	"267"	"227"	"46"	"5"	"46"	"2"	"3"	"24"	"5"	"1"	"1"	"1"	"2"	"3"	"3"	"15"	"5"	"5"	"0"	"2"	"3"	"2"	"668"	"0"	"668"	"0"
"70"	"50"	"262"	"148"	"14"	"13"	"13"	"2"	"3"	"52"	"6"	"5"	"4"	"1"	"4"	"8"	"7"	"20"	"5"	"2"	"0"	"0"	"1"	"1"	"571"	"0"	"571"	"0"
"71"	"51"	"138"	"43"	"8"	"1"	"1"	"0"	"1"	"13"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"211"	"0"	"211"	"0"
"72"	"52"	"172"	"129"	"36"	"0"	"1"	"1"	"0"	"23"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"2"	"15"	"1"	"3"	"2"	"1"	"2"	"394"	"0"	"394"	"0"
"73"	"53"	"208"	"127"	"18"	"0"	"3"	"1"	"0"	"44"	"5"	"2"	"1"	"0"	"0"	"3"	"2"	"3"	"7"	"3"	"1"	"1"	"1"	"1"	"431"	"0"	"431"	"0"
"74"	"54"	"254"	"331"	"8"	"6"	"10"	"1"	"2"	"52"	"4"	"3"	"2"	"2"	"3"	"4"	"11"	"34"	"15"	"7"	"3"	"0"	"0"	"8"	"760"	"0"	"760"	"0"
"75"	"55"	"296"	"145"	"29"	"7"	"86"	"3"	"1"	"47"	"4"	"3"	"5"	"4"	"4"	"6"	"14"	"60"	"11"	"4"	"4"	"4"	"1"	"3"	"741"	"0"	"741"	"0"
"76"	"56"	"127"	"295"	"7"	"2"	"18"	"2"	"1"	"15"	"0"	"0"	"2"	"0"	"5"	"1"	"0"	"4"	"3"	"1"	"1"	"8"	"0"	"7"	"499"	"0"	"499"	"0"
"77"	"l hV dk
; ksx"	"2510"	"2017"	"453"	"91"	"540"	"22"	"18"	"508"	"53"	"35"	"22"	"21"	"31"	"59"	"51"	"183"	"91"	"41"	"32"	"33"	"19"	"48"	"6878"	"0"	"6878"	"0"
"78"	"d qy  &"	"11666"	"6466"	"1292"	"374"	"3251"	"106"	"76"	"2034"	"234"	"135"	"59"	"63"	"80"	"180"	"123"	"410"	"396"	"153"	"89"	"135"	"108"	"204"	"27634"	"0"	"27634"	"0"
"79"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"80"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"81"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"82"	"i woZ  dk
; ksx&"	"11666"	"6466"	"1292"	"374"	"3251"	"106"	"76"	"2034"	"234"	"135"	"59"	"63"	"80"	"180"	"123"	"410"	"396"	"153"	"89"	"135"	"108"	"204"	"27634"	"0"	"27634"	"0"
"83"	"57"	"128"	"222"	"134"	"12"	"81"	"7"	"1"	"48"	"7"	"5"	"1"	"1"	"3"	"20"	"2"	"12"	"13"	"12"	"4"	"18"	"5"	"15"	"751"	"0"	"751"	"0"
"84"	"58"	"26"	"73"	"100"	"9"	"220"	"5"	"2"	"9"	"3"	"5"	"1"	"7"	"2"	"5"	"3"	"3"	"12"	"7"	"11"	"9"	"17"	"12"	"541"	"0"	"541"	"0"
"85"	"59"	"183"	"134"	"38"	"9"	"31"	"4"	"4"	"52"	"13"	"6"	"3"	"3"	"1"	"6"	"1"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"494"	"0"	"494"	"0"
"86"	"60"	"284"	"97"	"11"	"1"	"37"	"1"	"1"	"33"	"5"	"1"	"0"	"2"	"2"	"4"	"0"	"15"	"2"	"2"	"2"	"0"	"0"	"2"	"502"	"0"	"502"	"0"
"87"	"61"	"412"	"63"	"18"	"7"	"25"	"2"	"0"	"60"	"7"	"3"	"2"	"2"	"23"	"4"	"4"	"6"	"16"	"4"	"1"	"0"	"0"	"1"	"660"	"0"	"660"	"0"
"88"	"62"	"114"	"91"	"18"	"2"	"5"	"1"	"2"	"32"	"3"	"6"	"3"	"3"	"109"	"6"	"6"	"7"	"17"	"3"	"3"	"9"	"2"	"2"	"444"	"0"	"444"	"0"
"89"	"63"	"52"	"136"	"32"	"1"	"7"	"4"	"1"	"23"	"11"	"9"	"2"	"4"	"110"	"6"	"7"	"8"	"8"	"7"	"4"	"8"	"3"	"6"	"449"	"0"	"449"	"0"
"90"	"64"	"350"	"63"	"12"	"12"	"44"	"2"	"4"	"68"	"5"	"2"	"0"	"1"	"2"	"3"	"0"	"3"	"12"	"3"	"0"	"2"	"1"	"4"	"593"	"0"	"593"	"0"
"91"	"65"	"194"	"34"	"28"	"4"	"108"	"1"	"3"	"87"	"9"	"2"	"3"	"1"	"3"	"7"	"3"	"10"	"2"	"0"	"0"	"1"	"0"	"0"	"500"	"0"	"500"	"0"
"92"	"66"	"261"	"258"	"37"	"17"	"27"	"0"	"4"	"54"	"6"	"6"	"4"	"1"	"0"	"9"	"6"	"6"	"30"	"21"	"6"	"11"	"11"	"1"	"776"	"0"	"776"	"0"
"93"	"67"	"120"	"56"	"19"	"21"	"33"	"0"	"2"	"31"	"2"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"9"	"1"	"1"	"2"	"0"	"2"	"304"	"0"	"304"	"0"
"94"	"68"	"124"	"127"	"44"	"2"	"33"	"0"	"0"	"25"	"0"	"1"	"1"	"0"	"1"	"5"	"2"	"5"	"16"	"13"	"5"	"9"	"2"	"5"	"420"	"0"	"420"	"0"
"95"	"69"	"412"	"195"	"18"	"2"	"5"	"2"	"1"	"43"	"3"	"1"	"3"	"1"	"1"	"3"	"0"	"5"	"9"	"1"	"0"	"3"	"0"	"1"	"709"	"0"	"709"	"0"
"96"	"70"	"259"	"290"	"35"	"6"	"43"	"6"	"2"	"33"	"7"	"1"	"2"	"0"	"1"	"9"	"14"	"35"	"11"	"9"	"2"	"1"	"3"	"6"	"775"	"0"	"775"	"0"
"97"	"l hV dk
; ksx"	"2919"	"1839"	"544"	"105"	"699"	"35"	"27"	"598"	"81"	"50"	"25"	"26"	"258"	"88"	"50"	"116"	"160"	"84"	"40"	"73"	"44"	"57"	"7918"	"0"	"7918"	"0"
"98"	"d qy  &"	"14585"	"8305"	"1836"	"479"	"3950"	"141"	"103"	"2632"	"315"	"185"	"84"	"89"	"338"	"268"	"173"	"526"	"556"	"237"	"129"	"208"	"152"	"261"	"35552"	"0"	"35552"	"0"
"99"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"100"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"102"	"i woZ  dk
; ksx&"	"14585"	"8305"	"1836"	"479"	"3950"	"141"	"103"	"2632"	"315"	"185"	"84"	"89"	"338"	"268"	"173"	"526"	"556"	"237"	"129"	"208"	"152"	"261"	"35552"	"0"	"35552"	"0"
"103"	"71"	"189"	"45"	"13"	"4"	"79"	"4"	"1"	"21"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"1"	"1"	"1"	"0"	"368"	"0"	"368"	"0"
"104"	"72"	"58"	"96"	"17"	"4"	"47"	"2"	"0"	"17"	"2"	"1"	"2"	"4"	"4"	"7"	"6"	"7"	"2"	"0"	"0"	"2"	"0"	"6"	"284"	"0"	"284"	"0"
