"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"16"	"161"	"11"	"44"	"122"	"124"	"10"	"23"	"6"	"6"	"6"	"4"	"5"	"24"	"2"	"8"	"151"	"32"	"30"	"597"	"NIL"
"17"	"161"	"12"	"35"	"257"	"21"	"4"	"3"	"2"	"0"	"1"	"2"	"4"	"2"	"3"	"6"	"145"	"25"	"11"	"521"	"NIL"
"18"	"161"	"13"	"17"	"105"	"10"	"12"	"7"	"2"	"1"	"2"	"3"	"4"	"3"	"3"	"11"	"228"	"48"	"42"	"498"	"NIL"
"19"	"161"	"14"	"27"	"118"	"13"	"28"	"4"	"8"	"4"	"3"	"5"	"3"	"10"	"6"	"14"	"336"	"56"	"25"	"660"	"NIL"
"20"	"161"	"15"	"26"	"404"	"5"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"0"	"2"	"450"	"NIL"
"21"	"161"	"16"	"13"	"486"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"16"	"4"	"7"	"533"	"NIL"
"22"	"161"	"17"	"8"	"52"	"58"	"2"	"6"	"2"	"1"	"1"	"5"	"4"	"50"	"8"	"16"	"168"	"40"	"22"	"443"	"NIL"
"23"	"161"	"18"	"8"	"56"	"173"	"6"	"13"	"4"	"4"	"2"	"2"	"2"	"75"	"6"	"37"	"194"	"16"	"11"	"609"	"NIL"
"24"	"161"	"19"	"56"	"21"	"11"	"1"	"22"	"2"	"2"	"1"	"1"	"1"	"11"	"2"	"5"	"471"	"31"	"8"	"646"	"NIL"
"25"	"161"	"20"	"6"	"22"	"15"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"7"	"326"	"24"	"27"	"431"	"NIL"
"26"	"161"	"21"	"2"	"15"	"15"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"3"	"342"	"15"	"9"	"409"	"NIL"
"27"	"161"	"22"	"7"	"49"	"55"	"0"	"10"	"3"	"1"	"1"	"1"	"0"	"13"	"0"	"3"	"378"	"30"	"4"	"555"	"NIL"
"28"	"161"	"23"	"6"	"81"	"18"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"4"	"1"	"14"	"405"	"25"	"1"	"561"	"NIL"
"29"	"161"	"24"	"13"	"51"	"27"	"9"	"8"	"5"	"0"	"0"	"2"	"2"	"15"	"3"	"99"	"166"	"53"	"6"	"459"	"NIL"
"30"	"161"	"25"	"41"	"11"	"17"	"4"	"7"	"5"	"0"	"0"	"0"	"0"	"5"	"1"	"5"	"308"	"27"	"2"	"433"	"NIL"
"31"	"161"	"26"	"12"	"101"	"36"	"4"	"5"	"2"	"0"	"0"	"2"	"2"	"3"	"1"	"22"	"398"	"33"	"15"	"636"	"NIL"
"32"	"161"	"27"	"6"	"203"	"55"	"2"	"2"	"5"	"0"	"0"	"0"	"1"	"15"	"2"	"4"	"153"	"12"	"3"	"463"	"NIL"
"33"	"161"	"28"	"9"	"28"	"42"	"2"	"1"	"2"	"5"	"0"	"2"	"2"	"8"	"1"	"5"	"573"	"22"	"22"	"724"	"NIL"
"34"	"161"	"29"	"1"	"26"	"53"	"1"	"1"	"2"	"0"	"0"	"1"	"0"	"5"	"1"	"2"	"352"	"25"	"9"	"479"	"NIL"
"35"	"161"	"30"	"0"	"128"	"19"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"503"	"14"	"4"	"674"	"NIL"
"36"	"161"	"31"	"14"	"83"	"17"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"320"	"18"	"9"	"468"	"NIL"
"37"	"161"	"32"	"55"	"132"	"11"	"1"	"4"	"1"	"1"	"1"	"0"	"1"	"4"	"3"	"7"	"308"	"35"	"18"	"582"	"NIL"
"38"	"161"	"33"	"16"	"6"	"13"	"0"	"2"	"4"	"0"	"0"	"0"	"1"	"0"	"4"	"4"	"357"	"29"	"10"	"446"	"NIL"
"39"	"161"	"34"	"10"	"78"	"35"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"8"	"261"	"8"	"22"	"439"	"NIL"
"40"	"161"	"35"	"8"	"50"	"30"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"4"	"288"	"23"	"2"	"411"	"NIL"
"41"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"42"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHW AR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"43"	"161"	"36"	"1"	"14"	"24"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"2"	"188"	"4"	"0"	"237"	"NIL"
"44"	"161"	"37"	"14"	"75"	"25"	"85"	"2"	"0"	"0"	"0"	"1"	"1"	"10"	"2"	"8"	"430"	"37"	"9"	"699"	"NIL"
"45"	"161"	"38"	"11"	"17"	"23"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"8"	"1"	"5"	"522"	"30"	"14"	"636"	"NIL"
"46"	"161"	"39"	"19"	"25"	"46"	"45"	"1"	"1"	"0"	"1"	"1"	"1"	"15"	"4"	"7"	"222"	"17"	"6"	"411"	"NIL"
"47"	"161"	"40"	"6"	"44"	"8"	"5"	"0"	"1"	"0"	"1"	"0"	"0"	"11"	"3"	"3"	"240"	"15"	"5"	"342"	"NIL"
"48"	"161"	"41"	"11"	"46"	"44"	"3"	"2"	"4"	"0"	"0"	"1"	"0"	"3"	"2"	"9"	"406"	"38"	"63"	"632"	"NIL"
"49"	"161"	"42"	"9"	"136"	"19"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"7"	"3"	"3"	"127"	"23"	"33"	"366"	"NIL"
"50"	"161"	"43"	"23"	"126"	"3"	"2"	"12"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"5"	"149"	"22"	"146"	"493"	"NIL"
"51"	"161"	"44"	"12"	"147"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"6"	"25"	"239"	"436"	"NIL"
"52"	"161"	"45"	"8"	"17"	"3"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"2"	"3"	"3"	"142"	"32"	"452"	"667"	"NIL"
"53"	"161"	"46"	"132"	"27"	"20"	"5"	"4"	"6"	"1"	"1"	"0"	"1"	"4"	"1"	"9"	"176"	"44"	"8"	"439"	"NIL"
"54"	"161"	"47"	"25"	"292"	"13"	"2"	"4"	"2"	"0"	"1"	"3"	"2"	"2"	"1"	"15"	"138"	"25"	"4"	"529"	"NIL"
"55"	"161"	"48"	"10"	"7"	"105"	"6"	"16"	"3"	"0"	"2"	"0"	"0"	"47"	"4"	"5"	"84"	"7"	"19"	"315"	"NIL"
"56"	"161"	"49"	"5"	"111"	"39"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"14"	"0"	"4"	"196"	"11"	"3"	"388"	"NIL"
"57"	"161"	"50"	"2"	"7"	"368"	"193"	"8"	"2"	"2"	"1"	"3"	"0"	"28"	"10"	"12"	"52"	"5"	"12"	"705"	"NIL"
"58"	"161"	"51"	"32"	"167"	"325"	"3"	"4"	"2"	"2"	"0"	"1"	"9"	"40"	"8"	"8"	"39"	"13"	"15"	"668"	"NIL"
"59"	"161"	"52"	"19"	"219"	"8"	"1"	"8"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"4"	"116"	"11"	"13"	"403"	"NIL"
"60"	"161"	"53"	"12"	"84"	"28"	"12"	"13"	"0"	"1"	"2"	"2"	"1"	"26"	"3"	"4"	"207"	"23"	"19"	"437"	"NIL"
"61"	"161"	"54"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"918"	"1"	"0"	"920"	"NIL"
"62"	"161"	"55"	"3"	"43"	"16"	"0"	"18"	"3"	"0"	"2"	"1"	"0"	"15"	"2"	"1"	"151"	"14"	"35"	"304"	"NIL"
"63"	"161"	"56"	"0"	"6"	"2"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"2"	"75"	"3"	"5"	"103"	"NIL"
"64"	"161"	"57"	"6"	"116"	"39"	"4"	"2"	"1"	"0"	"1"	"0"	"0"	"13"	"2"	"5"	"193"	"13"	"6"	"401"	"NIL"
"65"	"161"	"58"	"2"	"45"	"7"	"7"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"4"	"216"	"28"	"193"	"508"	"NIL"
"66"	"161"	"59"	"4"	"48"	"8"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"102"	"9"	"1"	"177"	"NIL"
"67"	"161"	"60"	"9"	"21"	"92"	"2"	"2"	"4"	"0"	"1"	"2"	"0"	"24"	"3"	"29"	"333"	"18"	"30"	"570"	"NIL"
"68"	"161"	"61"	"42"	"47"	"42"	"2"	"4"	"3"	"1"	"1"	"2"	"1"	"3"	"2"	"5"	"198"	"24"	"24"	"401"	"NIL"
"69"	"161"	"62"	"11"	"127"	"43"	"5"	"22"	"0"	"0"	"0"	"2"	"1"	"19"	"6"	"11"	"159"	"16"	"12"	"434"	"NIL"
"70"	"161"	"63"	"0"	"0"	"3"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1013"	"1"	"0"	"1026"	"NIL"
"71"	"161"	"64"	"12"	"72"	"17"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"2"	"168"	"19"	"4"	"300"	"NIL"
"72"	"161"	"65"	"30"	"163"	"38"	"0"	"2"	"3"	"2"	"0"	"0"	"1"	"9"	"1"	"5"	"156"	"12"	"45"	"467"	"NIL"
"73"	"161"	"66"	"7"	"266"	"52"	"2"	"8"	"3"	"0"	"5"	"5"	"2"	"15"	"5"	"2"	"94"	"26"	"51"	"543"	"NIL"
"74"	"161"	"67"	"15"	"235"	"27"	"5"	"7"	"4"	"2"	"2"	"2"	"2"	"3"	"1"	"1"	"224"	"37"	"6"	"573"	"NIL"
"75"	"161"	"68"	"16"	"143"	"42"	"0"	"1"	"4"	"2"	"1"	"0"	"2"	"13"	"4"	"9"	"213"	"43"	"141"	"634"	"NIL"
"76"	"161"	"69"	"8"	"113"	"4"	"0"	"2"	"2"	"0"	"0"	"2"	"3"	"2"	"4"	"10"	"142"	"29"	"15"	"336"	"NIL"
"77"	"161"	"70"	"251"	"15"	"10"	"0"	"15"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"18"	"16"	"116"	"447"	"NIL"
"78"	"161"	"71"	"17"	"362"	"30"	"4"	"3"	"0"	"1"	"1"	"1"	"2"	"9"	"3"	"15"	"206"	"21"	"13"	"688"	"NIL"
"79"	"161"	"72"	"49"	"104"	"78"	"4"	"3"	"4"	"0"	"2"	"1"	"1"	"6"	"2"	"2"	"95"	"13"	"4"	"368"	"NIL"
"80"	"161"	"73"	"71"	"15"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"197"	"15"	"46"	"349"	"NIL"
"81"	"161"	"74"	"41"	"76"	"4"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"2"	"0"	"3"	"94"	"19"	"128"	"373"	"NIL"
"82"	"161"	"75"	"40"	"134"	"5"	"0"	"2"	"0"	"0"	"1"	"0"	"3"	"1"	"0"	"2"	"111"	"14"	"5"	"318"	"NIL"
"83"	"161"	"76"	"62"	"123"	"3"	"0"	"28"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"62"	"13"	"3"	"298"	"NIL"
"84"	"161"	"77"	"60"	"130"	"19"	"3"	"3"	"5"	"4"	"1"	"3"	"3"	"5"	"3"	"66"	"268"	"50"	"21"	"644"	"NIL"
"85"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"86"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHW AR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"87"	"161"	"78"	"52"	"125"	"27"	"9"	"6"	"1"	"1"	"1"	"1"	"1"	"16"	"1"	"3"	"248"	"47"	"83"	"622"	"NIL"
"88"	"161"	"79"	"49"	"19"	"7"	"0"	"23"	"1"	"1"	"3"	"1"	"0"	"6"	"6"	"14"	"309"	"40"	"97"	"576"	"NIL"
"89"	"161"	"80"	"21"	"113"	"2"	"14"	"53"	"7"	"3"	"0"	"2"	"1"	"2"	"0"	"3"	"69"	"14"	"5"	"309"	"NIL"
"90"	"161"	"81"	"9"	"35"	"18"	"2"	"25"	"3"	"0"	"1"	"1"	"0"	"11"	"5"	"8"	"211"	"23"	"16"	"368"	"NIL"
"91"	"161"	"82"	"13"	"17"	"42"	"5"	"2"	"6"	"4"	"0"	"2"	"3"	"16"	"3"	"144"	"362"	"32"	"12"	"663"	"NIL"
"92"	"161"	"83"	"14"	"36"	"53"	"2"	"4"	"4"	"4"	"5"	"1"	"3"	"9"	"6"	"18"	"352"	"49"	"9"	"569"	"NIL"
"93"	"161"	"84"	"14"	"109"	"74"	"7"	"1"	"2"	"1"	"1"	"2"	"4"	"29"	"3"	"10"	"307"	"43"	"14"	"621"	"NIL"
"94"	"161"	"85"	"7"	"14"	"58"	"0"	"14"	"1"	"0"	"0"	"0"	"3"	"8"	"7"	"2"	"248"	"25"	"97"	"484"	"NIL"
"95"	"161"	"86"	"8"	"115"	"37"	"8"	"22"	"4"	"1"	"1"	"2"	"4"	"14"	"4"	"3"	"367"	"29"	"9"	"628"	"NIL"
"96"	"161"	"87"	"14"	"51"	"111"	"2"	"4"	"3"	"1"	"0"	"4"	"0"	"54"	"6"	"75"	"308"	"34"	"13"	"680"	"NIL"
"97"	"161"	"88"	"4"	"8"	"7"	"3"	"2"	"1"	"0"	"2"	"2"	"0"	"12"	"3"	"18"	"292"	"36"	"42"	"432"	"NIL"
"98"	"161"	"89"	"31"	"19"	"111"	"7"	"10"	"1"	"4"	"3"	"2"	"3"	"25"	"7"	"17"	"235"	"42"	"53"	"570"	"NIL"
"99"	"161"	"90"	"21"	"43"	"18"	"0"	"3"	"0"	"4"	"1"	"2"	"0"	"2"	"0"	"32"	"276"	"46"	"4"	"452"	"NIL"
"100"	"161"	"91"	"15"	"39"	"16"	"18"	"15"	"3"	"4"	"2"	"1"	"0"	"9"	"1"	"10"	"174"	"46"	"19"	"372"	"NIL"
"101"	"161"	"92"	"18"	"32"	"141"	"1"	"4"	"3"	"4"	"4"	"4"	"6"	"49"	"10"	"9"	"195"	"24"	"18"	"522"	"NIL"
"102"	"161"	"93"	"33"	"280"	"10"	"1"	"2"	"0"	"0"	"0"	"2"	"3"	"4"	"3"	"10"	"114"	"19"	"7"	"488"	"NIL"
"103"	"161"	"94"	"8"	"118"	"12"	"0"	"7"	"1"	"2"	"0"	"3"	"1"	"2"	"1"	"9"	"208"	"61"	"43"	"476"	"NIL"
"104"	"161"	"95"	"5"	"104"	"20"	"2"	"3"	"0"	"2"	"0"	"0"	"0"	"5"	"0"	"6"	"209"	"9"	"3"	"368"	"NIL"
"105"	"161"	"96"	"1"	"0"	"11"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"7"	"176"	"15"	"2"	"214"	"NIL"
"106"	"161"	"97"	"21"	"52"	"7"	"30"	"4"	"3"	"1"	"0"	"1"	"0"	"2"	"3"	"3"	"133"	"16"	"31"	"307"	"NIL"
"107"	"161"	"98"	"9"	"160"	"57"	"4"	"8"	"3"	"1"	"5"	"1"	"1"	"19"	"3"	"10"	"226"	"19"	"3"	"529"	"NIL"
"108"	"161"	"99"	"8"	"81"	"10"	"2"	"1"	"1"	"1"	"1"	"1"	"0"	"4"	"1"	"4"	"384"	"23"	"12"	"534"	"NIL"
"109"	"161"	"100"	"9"	"88"	"12"	"1"	"3"	"0"	"3"	"0"	"0"	"1"	"3"	"3"	"4"	"213"	"23"	"44"	"407"	"NIL"
"110"	"161"	"101"	"85"	"346"	"6"	"5"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"24"	"9"	"2"	"482"	"NIL"
"111"	"161"	"102"	"22"	"93"	"14"	"4"	"5"	"3"	"1"	"2"	"0"	"1"	"0"	"1"	"9"	"159"	"31"	"9"	"354"	"NIL"
"112"	"161"	"103"	"13"	"211"	"11"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"59"	"17"	"7"	"323"	"NIL"
"113"	"161"	"104"	"19"	"156"	"15"	"24"	"1"	"2"	"2"	"4"	"5"	"0"	"6"	"7"	"7"	"287"	"57"	"26"	"618"	"NIL"
"114"	"161"	"105"	"265"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"267"	"NIL"
"115"	"161"	"106"	"20"	"306"	"15"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"5"	"2"	"4"	"39"	"14"	"96"	"504"	"NIL"
"116"	"161"	"107"	"8"	"86"	"9"	"1"	"2"	"2"	"1"	"0"	"0"	"4"	"2"	"1"	"5"	"76"	"13"	"13"	"223"	"NIL"
"117"	"161"	"108"	"4"	"16"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"535"	"5"	"8"	"572"	"NIL"
"118"	"161"	"109"	"11"	"17"	"6"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"4"	"1"	"4"	"650"	"14"	"6"	"715"	"NIL"
"119"	"161"	"110"	"21"	"31"	"7"	"2"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"4"	"6"	"284"	"17"	"4"	"383"	"NIL"
"120"	"161"	"111"	"7"	"78"	"77"	"6"	"3"	"0"	"0"	"0"	"0"	"4"	"11"	"2"	"19"	"198"	"15"	"11"	"431"	"NIL"
"121"	"161"	"112"	"43"	"273"	"106"	"39"	"6"	"4"	"3"	"5"	"5"	"3"	"11"	"7"	"15"	"151"	"38"	"31"	"740"	"NIL"
"122"	"161"	"113"	"9"	"5"	"140"	"16"	"5"	"1"	"1"	"3"	"4"	"2"	"49"	"1"	"22"	"216"	"28"	"7"	"509"	"NIL"
"123"	"161"	"114"	"51"	"56"	"12"	"28"	"8"	"2"	"1"	"0"	"2"	"4"	"10"	"1"	"5"	"138"	"30"	"11"	"359"	"NIL"
"124"	"161"	"115"	"140"	"67"	"34"	"29"	"3"	"3"	"1"	"1"	"1"	"0"	"8"	"1"	"3"	"94"	"15"	"14"	"414"	"NIL"
"125"	"161"	"116"	"43"	"280"	"20"	"3"	"2"	"0"	"0"	"1"	"0"	"3"	"3"	"0"	"2"	"49"	"12"	"3"	"421"	"NIL"
"126"	"161"	"117"	"183"	"190"	"9"	"10"	"1"	"2"	"3"	"1"	"1"	"0"	"1"	"1"	"1"	"37"	"15"	"7"	"462"	"NIL"
"127"	"161"	"118"	"65"	"370"	"34"	"3"	"3"	"3"	"0"	"0"	"2"	"3"	"5"	"1"	"2"	"79"	"8"	"4"	"582"	"NIL"
"128"	"161"	"119"	"43"	"109"	"4"	"6"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"30"	"13"	"155"	"367"	"NIL"
"129"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"130"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHW AR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"131"	"161"	"120"	"64"	"296"	"29"	"13"	"5"	"4"	"4"	"1"	"0"	"1"	"3"	"1"	"2"	"47"	"28"	"121"	"619"	"NIL"
"132"	"161"	"121"	"10"	"196"	"10"	"42"	"3"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"3"	"23"	"13"	"7"	"312"	"NIL"
"133"	"161"	"122"	"9"	"204"	"5"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"19"	"11"	"3"	"261"	"NIL"
"134"	"161"	"123"	"31"	"312"	"79"	"14"	"11"	"5"	"10"	"7"	"4"	"3"	"6"	"1"	"1"	"59"	"12"	"6"	"561"	"NIL"
"135"	"161"	"124"	"19"	"132"	"8"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"6"	"5"	"7"	"183"	"NIL"
"136"	"161"	"125"	"8"	"72"	"12"	"3"	"6"	"0"	"2"	"0"	"1"	"1"	"5"	"1"	"7"	"267"	"26"	"19"	"430"	"NIL"
"137"	"161"	"126"	"29"	"189"	"27"	"2"	"29"	"1"	"0"	"2"	"4"	"3"	"4"	"1"	"5"	"117"	"10"	"6"	"429"	"NIL"
"138"	"161"	"127"	"16"	"70"	"12"	"1"	"4"	"2"	"2"	"1"	"2"	"0"	"6"	"0"	"3"	"170"	"29"	"0"	"318"	"NIL"
"139"	"161"	"128"	"26"	"26"	"127"	"10"	"73"	"5"	"2"	"2"	"0"	"2"	"26"	"2"	"8"	"100"	"21"	"3"	"433"	"NIL"
"140"	"161"	"129"	"26"	"151"	"18"	"7"	"20"	"0"	"4"	"0"	"3"	"1"	"6"	"2"	"8"	"81"	"20"	"20"	"367"	"NIL"
"141"	"161"	"130"	"24"	"477"	"13"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"25"	"5"	"3"	"551"	"NIL"
"142"	"161"	"131"	"108"	"217"	"17"	"7"	"3"	"2"	"1"	"1"	"3"	"1"	"2"	"1"	"5"	"37"	"23"	"13"	"441"	"NIL"
"143"	"161"	"132"	"22"	"105"	"24"	"41"	"2"	"5"	"3"	"2"	"1"	"2"	"12"	"4"	"10"	"233"	"30"	"39"	"535"	"NIL"
"144"	"161"	"133"	"13"	"165"	"118"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"13"	"0"	"1"	"5"	"1"	"7"	"328"	"NIL"
"145"	"161"	"134"	"17"	"88"	"86"	"18"	"4"	"1"	"2"	"0"	"0"	"1"	"39"	"2"	"9"	"76"	"15"	"5"	"363"	"NIL"
"146"	"161"	"135"	"8"	"15"	"174"	"7"	"1"	"5"	"1"	"0"	"0"	"0"	"10"	"3"	"8"	"192"	"34"	"3"	"461"	"NIL"
"147"	"161"	"136"	"1"	"29"	"124"	"1"	"15"	"2"	"0"	"0"	"2"	"1"	"14"	"2"	"7"	"70"	"13"	"2"	"283"	"NIL"
"148"	"161"	"137"	"9"	"44"	"9"	"0"	"2"	"0"	"3"	"1"	"2"	"0"	"0"	"2"	"2"	"206"	"20"	"2"	"302"	"NIL"
"149"	"161"	"138"	"22"	"451"	"16"	"6"	"0"	"2"	"0"	"0"	"5"	"2"	"3"	"5"	"8"	"139"	"40"	"23"	"722"	"NIL"
"150"	"161"	"139"	"61"	"383"	"10"	"3"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"85"	"26"	"48"	"625"	"NIL"
