"Total.No..of.Electors.in.Assembly.Constituency.Segment..196842"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"30"	"Total No. of Electors in Assembly Constituency/Segment- 196842"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Name of the Assembly/segment- 121-PARSA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Round No-02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"39"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"40"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"41"	"15"	"248"	"137"	"112"	"7"	"3"	"0"	"6"	"4"	"8"	"1"	"6"	"27"	"559"	"0"	"559"	"0"
"42"	"16"	"282"	"304"	"29"	"4"	"1"	"4"	"9"	"2"	"2"	"3"	"9"	"5"	"654"	"0"	"654"	"0"
"43"	"17"	"107"	"433"	"68"	"4"	"4"	"2"	"5"	"1"	"5"	"1"	"6"	"5"	"641"	"0"	"641"	"0"
"44"	"18"	"309"	"23"	"10"	"3"	"2"	"0"	"1"	"2"	"2"	"0"	"8"	"6"	"366"	"0"	"366"	"0"
"45"	"19"	"122"	"208"	"24"	"5"	"4"	"4"	"4"	"3"	"3"	"1"	"5"	"12"	"395"	"0"	"395"	"0"
"46"	"20"	"136"	"116"	"43"	"0"	"1"	"1"	"3"	"1"	"2"	"2"	"3"	"5"	"313"	"0"	"313"	"0"
"47"	"21"	"40"	"391"	"9"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"445"	"0"	"445"	"0"
"48"	"22"	"146"	"183"	"30"	"3"	"3"	"0"	"4"	"2"	"7"	"2"	"7"	"24"	"411"	"0"	"411"	"0"
"49"	"23"	"72"	"178"	"15"	"2"	"1"	"2"	"4"	"2"	"3"	"4"	"16"	"32"	"331"	"0"	"331"	"0"
"50"	"24"	"9"	"293"	"4"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"310"	"0"	"310"	"0"
"51"	"25"	"127"	"239"	"37"	"2"	"2"	"1"	"12"	"1"	"8"	"4"	"21"	"26"	"480"	"0"	"480"	"0"
"52"	"26"	"239"	"131"	"35"	"1"	"2"	"4"	"10"	"4"	"5"	"1"	"5"	"10"	"447"	"0"	"447"	"0"
"53"	"27"	"96"	"242"	"2"	"2"	"0"	"0"	"1"	"4"	"4"	"0"	"3"	"12"	"366"	"0"	"366"	"0"
"54"	"28"	"47"	"318"	"7"	"5"	"1"	"0"	"3"	"1"	"2"	"1"	"2"	"6"	"393"	"0"	"393"	"0"
"55"	"Total"	"1980"	"3196"	"425"	"38"	"26"	"19"	"64"	"28"	"51"	"21"	"92"	"171"	"6111"	"0"	"6111"	"0"
"56"	"B.F."	"2939"	"2510"	"790"	"59"	"16"	"26"	"91"	"40"	"42"	"33"	"59"	"103"	"6708"	"0"	"6708"	"0"
"57"	"G. Total"	"4919"	"5706"	"1215"	"97"	"42"	"45"	"155"	"68"	"93"	"54"	"151"	"274"	"12819"	"0"	"12819"	"0"
"58"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Total No. of Electors in Assembly Constituency/Segment- 196842"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Name of the Assembly/segment- 121-PARSA                                                                                                                                                                                                                                                                        Round No-03"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"68"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"69"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"70"	"29"	"23"	"123"	"72"	"8"	"0"	"0"	"1"	"2"	"0"	"3"	"6"	"4"	"242"	"0"	"242"	"0"
"71"	"30"	"40"	"254"	"52"	"3"	"3"	"1"	"9"	"2"	"7"	"3"	"8"	"8"	"390"	"0"	"390"	"0"
"72"	"31"	"149"	"331"	"52"	"3"	"3"	"3"	"6"	"2"	"3"	"1"	"15"	"13"	"581"	"0"	"581"	"0"
"73"	"32"	"44"	"356"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"402"	"0"	"402"	"0"
"74"	"33"	"240"	"290"	"22"	"4"	"1"	"4"	"11"	"3"	"2"	"6"	"4"	"8"	"595"	"0"	"595"	"0"
"75"	"34"	"121"	"182"	"119"	"7"	"0"	"2"	"4"	"0"	"1"	"0"	"1"	"8"	"445"	"0"	"445"	"0"
"76"	"35"	"47"	"528"	"14"	"0"	"0"	"1"	"3"	"0"	"3"	"3"	"4"	"6"	"609"	"0"	"609"	"0"
"77"	"36"	"256"	"91"	"105"	"7"	"3"	"2"	"3"	"4"	"5"	"5"	"3"	"19"	"503"	"0"	"503"	"0"
"78"	"37"	"134"	"182"	"152"	"7"	"5"	"4"	"7"	"4"	"4"	"5"	"8"	"21"	"533"	"0"	"533"	"0"
"79"	"38"	"204"	"229"	"16"	"5"	"4"	"2"	"7"	"9"	"10"	"12"	"14"	"24"	"536"	"0"	"536"	"0"
"80"	"39"	"147"	"240"	"12"	"5"	"2"	"3"	"11"	"3"	"2"	"4"	"9"	"16"	"454"	"0"	"454"	"0"
"81"	"40"	"55"	"244"	"57"	"2"	"1"	"2"	"7"	"2"	"0"	"5"	"8"	"12"	"395"	"0"	"395"	"0"
"82"	"41"	"147"	"216"	"29"	"9"	"4"	"4"	"7"	"4"	"3"	"5"	"7"	"13"	"448"	"0"	"448"	"0"
"83"	"42"	"231"	"244"	"44"	"7"	"5"	"2"	"18"	"2"	"3"	"5"	"8"	"7"	"576"	"0"	"576"	"0"
"84"	"Total"	"1838"	"3510"	"746"	"67"	"31"	"30"	"95"	"37"	"44"	"57"	"95"	"159"	"6709"	"0"	"6709"	"0"
"85"	"B.F."	"4919"	"5706"	"1215"	"97"	"42"	"45"	"155"	"68"	"93"	"54"	"151"	"274"	"12819"	"0"	"12819"	"0"
"86"	"G. Total"	"6757"	"9216"	"1961"	"164"	"73"	"75"	"250"	"105"	"137"	"111"	"246"	"433"	"19528"	"0"	"19528"	"0"
"87"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"(2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Total No. of Electors in Assembly Constituency/Segment- 196842"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Name of the Assembly/segment- 121-PARSA                                                                                                                                                                                                                                                                        Round No-04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"98"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"99"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"100"	"43"	"159"	"98"	"137"	"9"	"3"	"1"	"6"	"6"	"6"	"3"	"10"	"20"	"458"	"0"	"458"	"0"
"101"	"44"	"92"	"284"	"13"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"391"	"0"	"391"	"0"
"102"	"45"	"331"	"187"	"7"	"1"	"0"	"0"	"4"	"0"	"1"	"1"	"3"	"6"	"541"	"0"	"541"	"0"
"103"	"46"	"155"	"218"	"4"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"2"	"385"	"0"	"385"	"0"
"104"	"47"	"201"	"163"	"21"	"1"	"1"	"0"	"10"	"3"	"2"	"1"	"5"	"6"	"414"	"0"	"414"	"0"
"105"	"48"	"215"	"45"	"14"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"2"	"0"	"280"	"0"	"280"	"0"
"106"	"49"	"117"	"92"	"5"	"3"	"2"	"1"	"3"	"2"	"3"	"2"	"4"	"13"	"247"	"0"	"247"	"0"
"107"	"50"	"363"	"177"	"37"	"9"	"3"	"1"	"10"	"6"	"5"	"3"	"3"	"4"	"621"	"0"	"621"	"0"
"108"	"51"	"64"	"197"	"29"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"295"	"0"	"295"	"0"
"109"	"52"	"110"	"133"	"157"	"12"	"2"	"1"	"6"	"7"	"7"	"14"	"14"	"30"	"493"	"0"	"493"	"0"
"110"	"53"	"283"	"156"	"13"	"5"	"5"	"2"	"13"	"2"	"3"	"4"	"6"	"1"	"493"	"0"	"493"	"0"
"111"	"54"	"162"	"237"	"8"	"3"	"4"	"1"	"11"	"4"	"3"	"4"	"8"	"9"	"454"	"0"	"454"	"0"
"112"	"55"	"92"	"105"	"62"	"4"	"2"	"4"	"7"	"7"	"4"	"4"	"7"	"7"	"305"	"0"	"305"	"0"
"113"	"56"	"73"	"168"	"10"	"3"	"2"	"2"	"9"	"4"	"5"	"1"	"13"	"29"	"319"	"0"	"319"	"0"
"114"	"Total"	"2417"	"2260"	"517"	"51"	"25"	"14"	"82"	"42"	"43"	"39"	"77"	"129"	"5696"	"0"	"5696"	"0"
"115"	"B.F."	"6757"	"9216"	"1961"	"164"	"73"	"75"	"250"	"105"	"137"	"111"	"246"	"433"	"19528"	"0"	"19528"	"0"
"116"	"G. Total"	"9174"	"11476"	"2478"	"215"	"98"	"89"	"332"	"147"	"180"	"150"	"323"	"562"	"25224"	"0"	"25224"	"0"
"117"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"20-SARAN PARLIAMENTARY CONSTITUENCY 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in Assembly Constituency/Segment- 196842"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"Name of the Assembly/segment- 121-PARSA                                                                                                                                                                                                                                                                        Round No-05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"127"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"129"	"57"	"77"	"63"	"0"	"2"	"0"	"0"	"5"	"0"	"1"	"0"	"1"	"0"	"149"	"0"	"149"	"0"
"130"	"58"	"93"	"336"	"9"	"6"	"1"	"3"	"20"	"4"	"4"	"4"	"5"	"5"	"490"	"0"	"490"	"0"
"131"	"59"	"20"	"100"	"98"	"5"	"2"	"1"	"6"	"1"	"1"	"4"	"4"	"2"	"244"	"0"	"244"	"0"
"132"	"60"	"254"	"192"	"24"	"2"	"1"	"0"	"9"	"5"	"3"	"1"	"4"	"18"	"513"	"0"	"513"	"0"
"133"	"61"	"57"	"317"	"100"	"6"	"22"	"3"	"11"	"3"	"5"	"5"	"15"	"9"	"553"	"0"	"553"	"0"
"134"	"62"	"231"	"86"	"81"	"0"	"4"	"3"	"7"	"6"	"3"	"2"	"4"	"9"	"436"	"0"	"436"	"0"
"135"	"63"	"171"	"103"	"21"	"3"	"2"	"4"	"7"	"3"	"6"	"5"	"13"	"17"	"355"	"0"	"355"	"0"
"136"	"64"	"157"	"66"	"6"	"1"	"0"	"1"	"3"	"1"	"2"	"1"	"9"	"12"	"259"	"0"	"259"	"0"
"137"	"65"	"29"	"229"	"5"	"1"	"0"	"2"	"5"	"3"	"1"	"0"	"3"	"2"	"280"	"0"	"280"	"0"
"138"	"66"	"49"	"333"	"3"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"392"	"0"	"392"	"0"
"139"	"67"	"129"	"230"	"6"	"1"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"2"	"374"	"0"	"374"	"0"
"140"	"68"	"26"	"216"	"8"	"0"	"0"	"2"	"8"	"6"	"2"	"4"	"9"	"19"	"300"	"0"	"300"	"0"
"141"	"69"	"76"	"228"	"7"	"3"	"2"	"1"	"3"	"2"	"3"	"6"	"5"	"17"	"353"	"0"	"353"	"0"
"142"	"70"	"23"	"601"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"626"	"0"	"626"	"0"
"143"	"Total"	"1392"	"3100"	"368"	"32"	"34"	"22"	"90"	"34"	"31"	"32"	"75"	"114"	"5324"	"0"	"5324"	"0"
"144"	"B.F."	"9174"	"11476"	"2478"	"215"	"98"	"89"	"332"	"147"	"180"	"150"	"323"	"562"	"25224"	"0"	"25224"	"0"
"145"	"G. Total"	"10566"	"14576"	"2846"	"247"	"132"	"111"	"422"	"181"	"211"	"182"	"398"	"676"	"30548"	"0"	"30548"	"0"
"146"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Total No. of Electors in Assembly Constituency/Segment- 196842"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Name of the Assembly/segment- 121-PARSA                                                                                                                                                                                                                                                                        Round No-06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"156"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"157"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"158"	"71"	"230"	"88"	"7"	"2"	"0"	"0"	"3"	"6"	"0"	"1"	"2"	"11"	"350"	"0"	"350"	"0"
"159"	"72"	"177"	"51"	"9"	"2"	"3"	"2"	"1"	"1"	"2"	"0"	"7"	"16"	"271"	"0"	"271"	"0"
"160"	"73"	"128"	"138"	"9"	"4"	"3"	"1"	"7"	"1"	"0"	"5"	"7"	"19"	"322"	"0"	"322"	"0"
"161"	"74"	"292"	"179"	"134"	"8"	"2"	"7"	"5"	"0"	"4"	"1"	"3"	"13"	"648"	"0"	"648"	"0"
"162"	"75"	"180"	"185"	"72"	"5"	"1"	"5"	"8"	"3"	"4"	"3"	"5"	"6"	"477"	"0"	"477"	"0"
"163"	"76"	"380"	"166"	"39"	"4"	"3"	"3"	"6"	"3"	"6"	"4"	"7"	"6"	"627"	"0"	"627"	"0"
"164"	"77"	"41"	"492"	"73"	"2"	"0"	"0"	"2"	"3"	"0"	"2"	"11"	"12"	"638"	"0"	"638"	"0"
"165"	"78"	"51"	"158"	"183"	"2"	"2"	"0"	"2"	"2"	"7"	"5"	"9"	"13"	"434"	"0"	"434"	"0"
"166"	"79"	"21"	"304"	"9"	"2"	"0"	"1"	"4"	"0"	"0"	"1"	"2"	"1"	"345"	"0"	"345"	"0"
"167"	"80"	"79"	"483"	"11"	"3"	"0"	"1"	"4"	"2"	"0"	"1"	"5"	"2"	"591"	"0"	"591"	"0"
"168"	"81"	"74"	"60"	"106"	"0"	"1"	"0"	"6"	"2"	"3"	"0"	"0"	"6"	"258"	"0"	"258"	"0"
"169"	"82"	"166"	"238"	"56"	"4"	"3"	"2"	"3"	"2"	"2"	"1"	"4"	"15"	"496"	"0"	"496"	"0"
"170"	"83"	"113"	"22"	"41"	"3"	"2"	"1"	"3"	"0"	"0"	"1"	"0"	"8"	"194"	"0"	"194"	"0"
"171"	"84"	"72"	"38"	"51"	"2"	"2"	"2"	"3"	"0"	"1"	"0"	"2"	"6"	"179"	"0"	"179"	"0"
"172"	"Total"	"2004"	"2602"	"800"	"43"	"22"	"25"	"57"	"25"	"29"	"25"	"64"	"134"	"5830"	"0"	"5830"	"0"
"173"	"B.F."	"10566"	"14576"	"2846"	"247"	"132"	"111"	"422"	"181"	"211"	"182"	"398"	"676"	"30548"	"0"	"30548"	"0"
"174"	"G. Total"	"12570"	"17178"	"3646"	"290"	"154"	"136"	"479"	"206"	"240"	"207"	"462"	"810"	"36378"	"0"	"36378"	"0"
"175"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"ary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"181"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"183"	"85"	"79"	"87"	"172"	"5"	"5"	"5"	"4"	"4"	"3"	"6"	"3"	"13"	"386"	"0"	"386"	"0"
"184"	"86"	"100"	"184"	"53"	"4"	"1"	"4"	"9"	"5"	"3"	"2"	"8"	"11"	"384"	"0"	"384"	"0"
"185"	"87"	"268"	"209"	"7"	"3"	"1"	"3"	"5"	"7"	"2"	"1"	"8"	"8"	"522"	"0"	"522"	"0"
"186"	"88"	"37"	"287"	"9"	"2"	"1"	"1"	"7"	"1"	"0"	"3"	"0"	"0"	"348"	"0"	"348"	"0"
"187"	"89"	"12"	"193"	"4"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"215"	"0"	"215"	"0"
