"Sl..No."	"No..of.Polli.ng.Station"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejecte.d.votes"	"Total"	"No..of.Tendere.d.votes"
"42"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"43"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"44"	"39"	"39"	"43"	"17"	"222"	"236"	"67"	"3"	"3"	"3"	"1"	"2"	"3"	"9"	"10"	"6"	"11"	"636"	"0"	"636"	""
"45"	"40"	"40"	"40"	"8"	"220"	"99"	"35"	"0"	"0"	"1"	"2"	"0"	"1"	"6"	"5"	"6"	"11"	"434"	"0"	"434"	""
"46"	"41"	"41"	"124"	"33"	"299"	"108"	"68"	"0"	"3"	"4"	"0"	"1"	"1"	"2"	"1"	"3"	"3"	"650"	"0"	"650"	""
"47"	"42"	"42"	"138"	"11"	"85"	"93"	"65"	"3"	"3"	"3"	"5"	"2"	"1"	"5"	"7"	"2"	"10"	"433"	"0"	"433"	""
"48"	"43"	"43"	"84"	"15"	"144"	"27"	"138"	"4"	"4"	"3"	"3"	"3"	"0"	"3"	"4"	"3"	"9"	"444"	"0"	"444"	""
"49"	"44"	"44"	"322"	"23"	"72"	"101"	"17"	"4"	"2"	"6"	"1"	"2"	"4"	"5"	"7"	"6"	"29"	"601"	"0"	"601"	""
"50"	"45"	"45"	"285"	"12"	"2"	"9"	"3"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"3"	"0"	"13"	"333"	"0"	"333"	""
"51"	"46"	"46"	"38"	"15"	"284"	"55"	"81"	"2"	"0"	"5"	"3"	"2"	"0"	"2"	"9"	"4"	"4"	"504"	"0"	"504"	""
"52"	"47"	"47"	"41"	"15"	"235"	"41"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"349"	"0"	"349"	""
"53"	"48"	"48"	"45"	"9"	"211"	"34"	"10"	"0"	"3"	"0"	"0"	"0"	"2"	"4"	"1"	"0"	"4"	"323"	"0"	"323"	""
"54"	"49"	"49"	"70"	"17"	"360"	"35"	"8"	"3"	"2"	"4"	"2"	"1"	"3"	"10"	"13"	"11"	"13"	"552"	"0"	"552"	""
"55"	"50"	"50"	"109"	"13"	"170"	"84"	"29"	"1"	"0"	"5"	"2"	"2"	"2"	"1"	"4"	"2"	"2"	"426"	"0"	"426"	""
"56"	"51"	"51"	"99"	"11"	"104"	"66"	"78"	"2"	"1"	"9"	"2"	"3"	"3"	"2"	"4"	"2"	"6"	"392"	"0"	"392"	""
"57"	"52"	"52"	"212"	"9"	"108"	"46"	"13"	"2"	"1"	"3"	"0"	"0"	"2"	"2"	"8"	"10"	"12"	"428"	"0"	"428"	""
"58"	"53"	"53"	"9"	"8"	"77"	"9"	"1"	"2"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"115"	"0"	"115"	""
"59"	"54"	"54"	"211"	"21"	"178"	"54"	"9"	"1"	"3"	"2"	"1"	"0"	"2"	"2"	"1"	"5"	"4"	"494"	"0"	"494"	""
"60"	"55"	"55"	"237"	"20"	"108"	"95"	"22"	"1"	"1"	"1"	"2"	"0"	"1"	"2"	"5"	"3"	"6"	"504"	"0"	"504"	""
"61"	"56"	"56"	"146"	"3"	"19"	"88"	"9"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"6"	"275"	"0"	"275"	""
"62"	"57"	"57"	"181"	"8"	"13"	"42"	"15"	"2"	"6"	"1"	"3"	"1"	"0"	"0"	"3"	"3"	"24"	"302"	"0"	"302"	""
"63"	"58"	"58"	"15"	"12"	"210"	"9"	"8"	"2"	"4"	"3"	"2"	"0"	"0"	"0"	"4"	"3"	"2"	"274"	"0"	"274"	""
"64"	"59"	"59"	"92"	"10"	"2"	"305"	"106"	"5"	"8"	"4"	"4"	"2"	"1"	"3"	"1"	"0"	"3"	"546"	"0"	"546"	""
"65"	"60"	"60"	"303"	"6"	"119"	"34"	"13"	"4"	"0"	"4"	"2"	"1"	"3"	"1"	"7"	"6"	"14"	"517"	"0"	"517"	""
"66"	"61"	"61"	"126"	"12"	"81"	"74"	"20"	"3"	"1"	"2"	"1"	"0"	"1"	"3"	"3"	"0"	"6"	"333"	"0"	"333"	""
"67"	"62"	"62"	"9"	"18"	"274"	"29"	"32"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"3"	"2"	"1"	"372"	"0"	"372"	""
"68"	"63"	"63"	"55"	"16"	"177"	"102"	"72"	"3"	"2"	"5"	"6"	"1"	"3"	"6"	"10"	"4"	"32"	"494"	"0"	"494"	""
"69"	"64"	"64"	"65"	"27"	"179"	"88"	"79"	"7"	"5"	"1"	"1"	"3"	"0"	"7"	"3"	"2"	"7"	"474"	"0"	"474"	""
"70"	"65"	"65"	"36"	"5"	"33"	"248"	"115"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"440"	"0"	"440"	""
"71"	"66"	"66"	"17"	"8"	"65"	"132"	"16"	"1"	"2"	"1"	"0"	"1"	"3"	"2"	"1"	"2"	"2"	"253"	"0"	"253"	""
"72"	"67"	"67"	"7"	"13"	"136"	"150"	"44"	"0"	"1"	"0"	"1"	"0"	"1"	"6"	"5"	"4"	"9"	"377"	"0"	"377"	""
"73"	"68"	"68"	"63"	"20"	"169"	"80"	"186"	"3"	"7"	"10"	"3"	"3"	"2"	"3"	"4"	"4"	"9"	"566"	"0"	"566"	""
"74"	"69"	"69"	"14"	"29"	"319"	"191"	"121"	"2"	"4"	"4"	"1"	"2"	"1"	"4"	"5"	"5"	"4"	"706"	"0"	"706"	""
"75"	"70"	"70"	"15"	"14"	"187"	"137"	"42"	"1"	"2"	"0"	"3"	"1"	"2"	"1"	"4"	"1"	"1"	"411"	"0"	"411"	""
"76"	"71"	"71"	"3"	"8"	"98"	"111"	"19"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"2"	"0"	"246"	"0"	"246"	""
"77"	"72"	"72"	"27"	"12"	"168"	"66"	"16"	"1"	"0"	"3"	"2"	"0"	"1"	"1"	"2"	"0"	"2"	"301"	"0"	"301"	""
"78"	"73"	"73"	"58"	"7"	"59"	"59"	"119"	"4"	"1"	"2"	"3"	"5"	"1"	"3"	"6"	"7"	"16"	"350"	"0"	"350"	""
"79"	"74"	"74"	"20"	"7"	"227"	"29"	"41"	"2"	"0"	"4"	"4"	"1"	"1"	"0"	"5"	"9"	"7"	"357"	"0"	"357"	""
"80"	"75"	"75"	"8"	"18"	"242"	"76"	"22"	"2"	"1"	"3"	"1"	"0"	"2"	"4"	"6"	"6"	"8"	"399"	"0"	"399"	""
"81"	"76"	"76"	"58"	"19"	"150"	"232"	"43"	"4"	"2"	"2"	"2"	"2"	"3"	"6"	"3"	"2"	"3"	"531"	"0"	"531"	""
"82"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendere d votes"
"83"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"84"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"85"	"77"	"77"	"59"	"7"	"89"	"44"	"97"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"3"	"6"	"314"	"0"	"314"	""
"86"	"78"	"78"	"57"	"10"	"87"	"26"	"139"	"2"	"1"	"1"	"0"	"1"	"2"	"4"	"2"	"0"	"6"	"338"	"0"	"338"	""
"87"	"79"	"79"	"6"	"12"	"112"	"19"	"114"	"1"	"1"	"1"	"2"	"0"	"1"	"1"	"3"	"1"	"1"	"275"	"0"	"275"	""
"88"	"80"	"80"	"41"	"12"	"179"	"32"	"97"	"4"	"2"	"6"	"1"	"2"	"0"	"0"	"3"	"3"	"0"	"382"	"0"	"382"	""
"89"	"81"	"81"	"16"	"10"	"172"	"33"	"90"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"6"	"0"	"2"	"333"	"0"	"333"	""
"90"	"82"	"82"	"48"	"5"	"244"	"70"	"46"	"1"	"1"	"0"	"1"	"2"	"1"	"4"	"7"	"5"	"4"	"439"	"0"	"439"	""
"91"	"83"	"83"	"20"	"9"	"132"	"128"	"54"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"1"	"4"	"356"	"0"	"356"	""
"92"	"84"	"84"	"46"	"9"	"191"	"82"	"24"	"1"	"1"	"0"	"1"	"4"	"3"	"7"	"5"	"3"	"4"	"381"	"0"	"381"	""
"93"	"85"	"85"	"32"	"8"	"209"	"143"	"15"	"1"	"3"	"2"	"2"	"2"	"3"	"3"	"14"	"10"	"15"	"462"	"0"	"462"	""
"94"	"86"	"86"	"55"	"7"	"126"	"126"	"50"	"3"	"3"	"2"	"2"	"0"	"4"	"6"	"4"	"1"	"6"	"395"	"0"	"395"	""
"95"	"87"	"87"	"20"	"10"	"119"	"109"	"98"	"1"	"2"	"2"	"0"	"2"	"1"	"3"	"10"	"6"	"7"	"390"	"0"	"390"	""
"96"	"88"	"88"	"24"	"9"	"254"	"56"	"77"	"2"	"4"	"5"	"2"	"0"	"1"	"2"	"10"	"6"	"8"	"460"	"0"	"460"	""
"97"	"89"	"89"	"78"	"16"	"281"	"152"	"78"	"2"	"3"	"1"	"1"	"0"	"0"	"2"	"3"	"3"	"4"	"624"	"0"	"624"	""
"98"	"90"	"90"	"9"	"9"	"226"	"34"	"12"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"5"	"3"	"302"	"0"	"302"	""
"99"	"91"	"91"	"265"	"4"	"43"	"31"	"114"	"2"	"0"	"3"	"1"	"0"	"1"	"2"	"0"	"3"	"15"	"484"	"0"	"484"	""
"100"	"92"	"92"	"65"	"8"	"249"	"42"	"49"	"1"	"2"	"3"	"1"	"2"	"1"	"2"	"3"	"4"	"0"	"432"	"0"	"432"	""
"101"	"93"	"93"	"115"	"6"	"53"	"45"	"157"	"9"	"4"	"1"	"5"	"2"	"6"	"5"	"15"	"5"	"27"	"455"	"0"	"455"	""
"102"	"94"	"94"	"43"	"5"	"233"	"34"	"82"	"4"	"5"	"23"	"3"	"2"	"1"	"5"	"11"	"2"	"5"	"458"	"0"	"458"	""
"103"	"95"	"95"	"104"	"6"	"69"	"15"	"280"	"14"	"4"	"4"	"1"	"2"	"9"	"3"	"11"	"7"	"20"	"549"	"0"	"549"	""
"104"	"96"	"96"	"5"	"5"	"59"	"121"	"64"	"3"	"6"	"5"	"1"	"6"	"1"	"3"	"0"	"3"	"4"	"286"	"0"	"286"	""
"105"	"97"	"97"	"45"	"8"	"137"	"20"	"52"	"4"	"2"	"1"	"2"	"3"	"2"	"6"	"9"	"6"	"17"	"314"	"0"	"314"	""
"106"	"98"	"98"	"30"	"3"	"58"	"10"	"191"	"5"	"0"	"4"	"1"	"0"	"1"	"0"	"1"	"4"	"6"	"314"	"0"	"314"	""
"107"	"99"	"99"	"28"	"6"	"65"	"32"	"179"	"3"	"2"	"0"	"0"	"1"	"3"	"2"	"7"	"5"	"15"	"348"	"0"	"348"	""
"108"	"100"	"100"	"191"	"11"	"34"	"18"	"120"	"4"	"2"	"1"	"2"	"2"	"5"	"1"	"4"	"1"	"8"	"404"	"0"	"404"	""
"109"	"101"	"101"	"52"	"9"	"47"	"176"	"25"	"0"	"1"	"3"	"0"	"1"	"1"	"1"	"2"	"3"	"8"	"329"	"0"	"329"	""
"110"	"102"	"102"	"49"	"19"	"129"	"86"	"151"	"4"	"4"	"0"	"0"	"0"	"1"	"2"	"4"	"4"	"2"	"455"	"0"	"455"	""
"111"	"103"	"103"	"51"	"18"	"228"	"105"	"95"	"6"	"7"	"4"	"3"	"5"	"4"	"7"	"7"	"3"	"6"	"549"	"0"	"549"	""
"112"	"104"	"104"	"20"	"7"	"130"	"102"	"202"	"4"	"4"	"6"	"3"	"2"	"3"	"4"	"4"	"5"	"10"	"506"	"0"	"506"	""
"113"	"105"	"105"	"145"	"12"	"77"	"121"	"47"	"2"	"1"	"2"	"2"	"1"	"0"	"1"	"0"	"0"	"3"	"414"	"0"	"414"	""
"114"	"106"	"106"	"9"	"21"	"158"	"167"	"35"	"1"	"3"	"4"	"0"	"2"	"0"	"2"	"2"	"1"	"0"	"405"	"0"	"405"	""
"115"	"107"	"107"	"16"	"13"	"123"	"55"	"118"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"3"	"0"	"0"	"334"	"0"	"334"	""
"116"	"108"	"108"	"53"	"6"	"34"	"258"	"33"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	"392"	"0"	"392"	""
"117"	"109"	"109"	"36"	"8"	"64"	"109"	"87"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"2"	"1"	"2"	"316"	"0"	"316"	""
"118"	"110"	"110"	"35"	"8"	"85"	"131"	"100"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"3"	"4"	"1"	"373"	"0"	"373"	""
"119"	"111"	"111"	"94"	"16"	"35"	"41"	"115"	"3"	"6"	"2"	"2"	"1"	"3"	"5"	"3"	"2"	"8"	"336"	"0"	"336"	""
"120"	"112"	"112"	"0"	"7"	"8"	"390"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"415"	"0"	"415"	""
"121"	"113"	"113"	"73"	"8"	"59"	"39"	"28"	"2"	"0"	"2"	"0"	"2"	"1"	"2"	"4"	"0"	"10"	"230"	"0"	"230"	""
"122"	"114"	"114"	"41"	"14"	"216"	"102"	"89"	"2"	"1"	"7"	"0"	"4"	"3"	"7"	"18"	"15"	"24"	"543"	"0"	"543"	""
"123"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendere d votes"
"124"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"125"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"126"	"115"	"115"	"26"	"11"	"169"	"43"	"17"	"0"	"1"	"2"	"2"	"2"	"4"	"2"	"10"	"4"	"2"	"295"	"0"	"295"	""
"127"	"116"	"116"	"56"	"15"	"376"	"86"	"178"	"2"	"2"	"5"	"0"	"2"	"0"	"0"	"3"	"8"	"8"	"741"	"0"	"741"	""
"128"	"117"	"117"	"38"	"10"	"218"	"78"	"26"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"375"	"0"	"375"	""
"129"	"118"	"118"	"195"	"16"	"130"	"65"	"55"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"1"	"5"	"480"	"0"	"480"	""
"130"	"119"	"119"	"170"	"11"	"16"	"100"	"23"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"52"	"3"	"0"	"384"	"0"	"384"	""
"131"	"120"	"120"	"69"	"19"	"216"	"43"	"52"	"3"	"6"	"4"	"2"	"0"	"1"	"1"	"7"	"1"	"3"	"427"	"0"	"427"	""
"132"	"121"	"121"	"79"	"6"	"7"	"111"	"76"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"287"	"0"	"287"	""
"133"	"122"	"122"	"16"	"4"	"141"	"20"	"196"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"381"	"0"	"381"	""
"134"	"123"	"123"	"47"	"14"	"263"	"38"	"39"	"0"	"1"	"1"	"0"	"1"	"1"	"2"	"8"	"7"	"1"	"423"	"0"	"423"	""
"135"	"124"	"124"	"15"	"19"	"166"	"131"	"50"	"3"	"1"	"1"	"1"	"1"	"2"	"4"	"7"	"3"	"11"	"415"	"0"	"415"	""
"136"	"125"	"125"	"44"	"0"	"114"	"83"	"6"	"0"	"1"	"0"	"1"	"0"	"0"	"3"	"2"	"0"	"1"	"255"	"0"	"255"	""
"137"	"126"	"126"	"15"	"11"	"63"	"203"	"62"	"6"	"1"	"2"	"0"	"0"	"2"	"1"	"3"	"0"	"3"	"372"	"0"	"372"	""
"138"	"127"	"127"	"14"	"5"	"56"	"143"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"258"	"0"	"258"	""
"139"	"128"	"128"	"56"	"10"	"91"	"222"	"122"	"5"	"4"	"2"	"1"	"3"	"4"	"6"	"8"	"8"	"8"	"550"	"0"	"550"	""
"140"	"129"	"129"	"9"	"15"	"153"	"38"	"37"	"0"	"1"	"3"	"4"	"2"	"0"	"6"	"4"	"6"	"5"	"283"	"0"	"283"	""
"141"	"130"	"130"	"229"	"8"	"76"	"34"	"69"	"5"	"3"	"3"	"0"	"1"	"1"	"1"	"2"	"3"	"5"	"440"	"0"	"440"	""
"142"	"131"	"131"	"12"	"19"	"117"	"187"	"72"	"1"	"2"	"3"	"5"	"1"	"2"	"3"	"3"	"8"	"10"	"445"	"0"	"445"	""
"143"	"132"	"132"	"19"	"20"	"90"	"204"	"66"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"5"	"5"	"3"	"416"	"0"	"416"	""
"144"	"133"	"133"	"19"	"20"	"121"	"204"	"63"	"1"	"3"	"4"	"3"	"2"	"4"	"1"	"4"	"4"	"8"	"461"	"0"	"461"	""
"145"	"134"	"134"	"6"	"2"	"1"	"131"	"41"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"186"	"0"	"186"	""
"146"	"135"	"135"	"21"	"25"	"29"	"220"	"53"	"5"	"6"	"2"	"2"	"2"	"0"	"6"	"3"	"4"	"14"	"392"	"0"	"392"	""
"147"	"136"	"136"	"9"	"7"	"114"	"178"	"21"	"1"	"2"	"1"	"0"	"1"	"1"	"0"	"3"	"2"	"3"	"343"	"0"	"343"	""
"148"	"137"	"137"	"24"	"28"	"266"	"194"	"22"	"2"	"3"	"5"	"3"	"1"	"4"	"8"	"8"	"7"	"4"	"579"	"0"	"579"	""
"149"	"138"	"138"	"33"	"9"	"139"	"46"	"15"	"4"	"0"	"1"	"0"	"1"	"0"	"5"	"1"	"6"	"5"	"265"	"0"	"265"	""
"150"	"139"	"139"	"47"	"17"	"210"	"14"	"29"	"1"	"5"	"7"	"1"	"0"	"1"	"9"	"6"	"4"	"4"	"355"	"0"	"355"	""
