"X.v...k....XIV..i.kj.k.26.9.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"QkeZ & 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v afr e  i fj . kke  Ik="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu; e  56 C (2) nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"34&l kl kj ke l al nh;  fuokZpu {ks= l s yksd  l Hkk ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"fo/kku l Hkk fuokZpu {ks= esa fuokZpdksa dh dqy  l a[ ; k 282099"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 208&l kl kj ke  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"19"	"10"	"74"	"5"	"3"	"146"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"233"	""	"233"	""
"20"	"11"	"2"	"111"	"10"	"82"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"224"	""	"224"	""
"21"	"12"	"10"	"21"	"107"	"36"	"23"	"2"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"207"	""	"207"	""
"22"	"13"	"26"	"104"	"57"	"124"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"1"	"1"	"3"	"0"	"3"	"326"	""	"326"	""
"23"	"14"	"262"	"128"	"82"	"48"	"4"	"3"	"1"	"2"	"0"	"4"	"2"	"3"	"3"	"5"	"1"	"9"	"557"	""	"557"	""
"24"	"TOTAL"	"847"	"1001"	"716"	"1273"	"67"	"19"	"8"	"4"	"7"	"15"	"10"	"12"	"25"	"31"	"15"	"28"	"4078"	"0"	"4078"	"0"
"25"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 208&l kl kj ke  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"27"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"28"	"BF"	"847"	"1001"	"716"	"1273"	"67"	"19"	"8"	"4"	"7"	"15"	"10"	"12"	"25"	"31"	"15"	"28"	"4078"	"0"	"4078"	"0"
"29"	"15"	"11"	"117"	"160"	"61"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"3"	"2"	"360"	""	"360"	""
"30"	"16"	"48"	"33"	"62"	"84"	"6"	"16"	"3"	"5"	"3"	"3"	"0"	"6"	"6"	"6"	"10"	"17"	"308"	""	"308"	""
"31"	"17"	"10"	"78"	"57"	"262"	"3"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"0"	"3"	"419"	""	"419"	""
"32"	"18"	"2"	"84"	"16"	"106"	"3"	"40"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"257"	""	"257"	""
"33"	"19"	"113"	"86"	"37"	"66"	"4"	"1"	"2"	"1"	"0"	"1"	"0"	"1"	"5"	"5"	"3"	"1"	"326"	""	"326"	""
"34"	"20"	"8"	"123"	"27"	"62"	"5"	"75"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"304"	""	"304"	""
"35"	"21"	"6"	"70"	"54"	"86"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"3"	"0"	"3"	"231"	""	"231"	""
"36"	"22"	"15"	"8"	"101"	"9"	"4"	"11"	"0"	"1"	"2"	"1"	"0"	"4"	"5"	"1"	"1"	"7"	"170"	""	"170"	""
"37"	"23"	"61"	"5"	"47"	"65"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"180"	""	"180"	""
"38"	"24"	"3"	"13"	"127"	"40"	"2"	"1"	"0"	"2"	"2"	"1"	"3"	"2"	"19"	"4"	"3"	"4"	"226"	""	"226"	""
"39"	"25"	"3"	"100"	"209"	"127"	"5"	"4"	"3"	"2"	"3"	"2"	"0"	"0"	"8"	"3"	"1"	"7"	"477"	""	"477"	""
"40"	"26"	"67"	"2"	"72"	"102"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"0"	"0"	"252"	""	"252"	""
"41"	"27"	"92"	"80"	"16"	"47"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"6"	"246"	""	"246"	""
"42"	"28"	"10"	"82"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	""	"108"	""
"43"	"TOTAL"	"1296"	"1882"	"1711"	"2396"	"105"	"171"	"20"	"15"	"19"	"27"	"13"	"29"	"79"	"63"	"37"	"79"	"7942"	"0"	"7942"	"0"
"44"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 208&l kl kj ke  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"46"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"47"	"BF"	"1296"	"1882"	"1711"	"2396"	"105"	"171"	"20"	"15"	"19"	"27"	"13"	"29"	"79"	"63"	"37"	"79"	"7942"	"0"	"7942"	"0"
"48"	"29"	"1"	"25"	"83"	"72"	"5"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"3"	"6"	"0"	"4"	"203"	""	"203"	""
"49"	"30"	"8"	"34"	"147"	"6"	"0"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"204"	""	"204"	""
"50"	"31"	"178"	"50"	"72"	"112"	"3"	"1"	"0"	"2"	"0"	"0"	"3"	"1"	"5"	"6"	"3"	"8"	"444"	""	"444"	""
"51"	"32"	"22"	"136"	"107"	"49"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"2"	"322"	""	"322"	""
"52"	"33"	"52"	"14"	"14"	"138"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"3"	"227"	""	"227"	""
"53"	"34"	"7"	"7"	"9"	"321"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"6"	"0"	"0"	"358"	""	"358"	""
"54"	"35"	"87"	"40"	"132"	"54"	"3"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"5"	"0"	"4"	"332"	""	"332"	""
"55"	"36"	"26"	"7"	"40"	"291"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"369"	""	"369"	""
"56"	"37"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	""	"3"	""
"57"	"38"	"48"	"176"	"96"	"22"	"0"	"0"	"2"	"1"	"1"	"4"	"0"	"2"	"2"	"6"	"4"	"7"	"371"	""	"371"	""
"58"	"39"	"41"	"86"	"81"	"95"	"5"	"4"	"3"	"1"	"3"	"1"	"0"	"3"	"9"	"5"	"0"	"1"	"338"	""	"338"	""
"59"	"40"	"6"	"47"	"52"	"15"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"129"	""	"129"	""
"60"	"41"	"5"	"131"	"64"	"80"	"5"	"6"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"299"	""	"299"	""
"61"	"42"	"123"	"38"	"86"	"31"	"1"	"3"	"0"	"0"	"2"	"4"	"3"	"3"	"2"	"6"	"0"	"2"	"304"	""	"304"	""
"62"	"TOTAL"	"1900"	"2673"	"2697"	"3682"	"132"	"197"	"29"	"21"	"29"	"39"	"22"	"41"	"114"	"112"	"45"	"112"	"11845"	"0"	"11845"	"0"
"63"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 208&l kl kj ke  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"65"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"66"	"BF"	"1900"	"2673"	"2697"	"3682"	"132"	"197"	"29"	"21"	"29"	"39"	"22"	"41"	"114"	"112"	"45"	"112"	"11845"	"0"	"11845"	"0"
"67"	"43"	"5"	"100"	"29"	"188"	"3"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"0"	"5"	"340"	""	"340"	""
"68"	"44"	"6"	"20"	"50"	"194"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"3"	"0"	"7"	"286"	""	"286"	""
"69"	"45"	"119"	"91"	"53"	"139"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"1"	"415"	""	"415"	""
"70"	"46"	"40"	"10"	"57"	"20"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"133"	""	"133"	""
"71"	"47"	"53"	"79"	"93"	"44"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"3"	"279"	""	"279"	""
"72"	"48"	"2"	"98"	"204"	"56"	"2"	"0"	"0"	"2"	"0"	"2"	"0"	"1"	"2"	"1"	"3"	"3"	"376"	""	"376"	""
"73"	"49"	"79"	"57"	"242"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"406"	""	"406"	""
"74"	"50"	"34"	"7"	"131"	"106"	"4"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"4"	"6"	"0"	"4"	"301"	""	"301"	""
"75"	"51"	"48"	"45"	"141"	"77"	"3"	"1"	"0"	"0"	"3"	"2"	"2"	"2"	"3"	"3"	"3"	"1"	"334"	""	"334"	""
"76"	"52"	"69"	"30"	"9"	"178"	"8"	"14"	"0"	"2"	"1"	"0"	"1"	"5"	"7"	"1"	"3"	"5"	"333"	""	"333"	""
"77"	"53"	"7"	"49"	"111"	"123"	"6"	"2"	"1"	"2"	"3"	"2"	"1"	"3"	"7"	"5"	"2"	"2"	"326"	""	"326"	""
"78"	"54"	"15"	"65"	"177"	"45"	"16"	"5"	"5"	"1"	"1"	"1"	"3"	"2"	"2"	"5"	"4"	"4"	"351"	""	"351"	""
"79"	"55"	"6"	"42"	"202"	"44"	"11"	"1"	"0"	"3"	"2"	"0"	"0"	"3"	"3"	"3"	"1"	"3"	"324"	""	"324"	""
"80"	"56"	"30"	"98"	"201"	"104"	"2"	"4"	"3"	"0"	"5"	"7"	"1"	"1"	"1"	"7"	"0"	"2"	"466"	""	"466"	""
"81"	"TOTAL"	"2413"	"3464"	"4397"	"5028"	"193"	"228"	"43"	"35"	"46"	"53"	"31"	"60"	"155"	"154"	"63"	"152"	"16515"	"0"	"16515"	"0"
"82"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 208&l kl kj ke  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"84"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"85"	"BF"	"2413"	"3464"	"4397"	"5028"	"193"	"228"	"43"	"35"	"46"	"53"	"31"	"60"	"155"	"154"	"63"	"152"	"16515"	"0"	"16515"	"0"
"86"	"57"	"2"	"24"	"72"	"99"	"1"	"4"	"1"	"1"	"2"	"2"	"1"	"1"	"4"	"5"	"2"	"7"	"228"	""	"228"	""
"87"	"58"	"40"	"44"	"154"	"93"	"1"	"0"	"3"	"1"	"2"	"0"	"3"	"2"	"2"	"5"	"4"	"8"	"362"	""	"362"	""
"88"	"59"	"27"	"109"	"33"	"219"	"7"	"2"	"0"	"0"	"2"	"3"	"1"	"0"	"3"	"6"	"2"	"8"	"422"	""	"422"	""
"89"	"60"	"19"	"83"	"116"	"46"	"7"	"2"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"2"	"1"	"0"	"281"	""	"281"	""
"90"	"61"	"79"	"140"	"105"	"112"	"4"	"1"	"2"	"2"	"0"	"5"	"0"	"1"	"2"	"4"	"3"	"2"	"462"	""	"462"	""
"91"	"62"	"11"	"37"	"29"	"201"	"7"	"1"	"0"	"2"	"1"	"2"	"2"	"0"	"5"	"8"	"1"	"2"	"309"	""	"309"	""
"92"	"63"	"7"	"13"	"25"	"228"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"2"	"2"	"287"	""	"287"	""
"93"	"64"	"72"	"119"	"126"	"63"	"2"	"1"	"1"	"2"	"1"	"1"	"3"	"9"	"2"	"3"	"4"	"10"	"419"	""	"419"	""
"94"	"65"	"9"	"42"	"90"	"96"	"1"	"11"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"5"	"0"	"2"	"261"	""	"261"	""
"95"	"66"	"16"	"25"	"95"	"95"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"2"	"1"	"1"	"242"	""	"242"	""
"96"	"67"	"5"	"61"	"118"	"138"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"1"	"0"	"4"	"337"	""	"337"	""
"97"	"68"	"91"	"137"	"82"	"98"	"6"	"1"	"1"	"2"	"1"	"0"	"2"	"0"	"2"	"2"	"2"	"3"	"430"	""	"430"	""
"98"	"69"	"19"	"74"	"5"	"46"	"2"	"54"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"207"	""	"207"	""
"99"	"70"	"18"	"80"	"46"	"294"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"0"	"3"	"4"	"0"	"1"	"453"	""	"453"	""
"100"	"TOTAL"	"2828"	"4452"	"5493"	"6856"	"240"	"307"	"54"	"48"	"58"	"70"	"47"	"75"	"188"	"209"	"85"	"205"	"21215"	"0"	"21215"	"0"
"101"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 208&l kl kj ke  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"103"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"104"	"BF"	"2828"	"4452"	"5493"	"6856"	"240"	"307"	"54"	"48"	"58"	"70"	"47"	"75"	"188"	"209"	"85"	"205"	"21215"	"0"	"21215"	"0"
"105"	"71"	"15"	"296"	"91"	"54"	"0"	"11"	"1"	"3"	"0"	"3"	"2"	"1"	"3"	"0"	"2"	"6"	"488"	""	"488"	""
"106"	"72"	"6"	"215"	"48"	"91"	"4"	"64"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"3"	"2"	"440"	""	"440"	""
"107"	"73"	"85"	"159"	"87"	"67"	"0"	"10"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"2"	"416"	""	"416"	""
"108"	"74"	"11"	"165"	"88"	"62"	"1"	"42"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"373"	""	"373"	""
"109"	"75"	"13"	"35"	"59"	"85"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"200"	""	"200"	""
"110"	"76"	"16"	"14"	"267"	"64"	"1"	"0"	"1"	"5"	"2"	"3"	"0"	"0"	"3"	"6"	"1"	"2"	"385"	""	"385"	""
"111"	"77"	"20"	"106"	"79"	"102"	"6"	"1"	"2"	"1"	"2"	"1"	"1"	"4"	"3"	"3"	"1"	"10"	"342"	""	"342"	""
"112"	"78"	"90"	"73"	"98"	"45"	"12"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"7"	"332"	""	"332"	""
"113"	"79"	"116"	"340"	"46"	"36"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"1"	"5"	"6"	"4"	"561"	""	"561"	""
"114"	"80"	"12"	"185"	"68"	"61"	"14"	"8"	"0"	"1"	"1"	"0"	"1"	"3"	"0"	"2"	"2"	"5"	"363"	""	"363"	""
"115"	"81"	"19"	"125"	"10"	"59"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"2"	"1"	"2"	"3"	"228"	""	"228"	""
"116"	"82"	"35"	"84"	"4"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"1"	"155"	""	"155"	""
"117"	"83"	"99"	"140"	"147"	"144"	"4"	"2"	"0"	"0"	"2"	"0"	"0"	"2"	"5"	"3"	"5"	"5"	"558"	""	"558"	""
"118"	"84"	"35"	"150"	"44"	"113"	"6"	"4"	"0"	"2"	"2"	"3"	"3"	"2"	"12"	"1"	"2"	"5"	"384"	""	"384"	""
"119"	"TOTAL"	"3400"	"6539"	"6629"	"7863"	"293"	"452"	"63"	"62"	"70"	"87"	"57"	"91"	"222"	"239"	"115"	"258"	"26440"	"0"	"26440"	"0"
"120"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 208&l kl kj ke  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"122"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"123"	"BF"	"3400"	"6539"	"6629"	"7863"	"293"	"452"	"63"	"62"	"70"	"87"	"57"	"91"	"222"	"239"	"115"	"258"	"26440"	"0"	"26440"	"0"
"124"	"85"	"34"	"261"	"162"	"20"	"1"	"5"	"1"	"3"	"2"	"1"	"2"	"0"	"2"	"7"	"1"	"3"	"505"	""	"505"	""
"125"	"86"	"5"	"305"	"9"	"69"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"5"	"2"	"3"	"6"	"410"	""	"410"	""
"126"	"87"	"10"	"120"	"95"	"35"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"0"	"2"	"5"	"1"	"7"	"284"	""	"284"	""
"127"	"88"	"15"	"94"	"142"	"19"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"0"	"277"	""	"277"	""
"128"	"89"	"4"	"42"	"99"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"149"	""	"149"	""
"129"	"90"	"4"	"97"	"113"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"233"	""	"233"	""
"130"	"90 A"	"4"	"111"	"108"	"18"	"1"	"6"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"3"	"255"	""	"255"	""
