"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X226458.86.Keoti"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"13"	""	"10"	"79"	"7"	"93"	"370"	"41"	"7"	"2"	"7"	"12"	"2"	"8"	"6"	"3"	"10"	"647"	""	"647"	""
"14"	""	"11"	"53"	"11"	"222"	"238"	"33"	"5"	"2"	"2"	"2"	"2"	"1"	"2"	"0"	"9"	"582"	""	"582"	""
"15"	""	"12"	"16"	"0"	"39"	"175"	"16"	"2"	"0"	"0"	"2"	"2"	"1"	"1"	"3"	"10"	"267"	""	"267"	""
"16"	""	"13"	"86"	"10"	"78"	"182"	"27"	"5"	"4"	"5"	"5"	"1"	"1"	"2"	"6"	"9"	"421"	""	"421"	""
"17"	""	"14"	"58"	"4"	"33"	"74"	"35"	"2"	"0"	"3"	"2"	"1"	"3"	"1"	"3"	"7"	"226"	""	"226"	""
"18"	""	"Total -1"	"1375"	"111"	"657"	"2857"	"391"	"50"	"38"	"54"	"62"	"37"	"51"	"35"	"68"	"453"	"6239"	"0"	"6239"	"0"
"19"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"23"	"Round No.2"	"15"	"22"	"0"	"49"	"93"	"29"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"4"	"21"	"224"	""	"224"	""
"24"	""	"16"	"105"	"17"	"22"	"164"	"23"	"1"	"1"	"3"	"3"	"1"	"3"	"1"	"4"	"11"	"359"	""	"359"	""
"25"	""	"17"	"61"	"3"	"97"	"65"	"17"	"2"	"1"	"0"	"2"	"0"	"4"	"4"	"4"	"7"	"267"	""	"267"	""
"26"	""	"18"	"143"	"7"	"125"	"16"	"18"	"1"	"1"	"0"	"3"	"0"	"2"	"3"	"2"	"1"	"322"	""	"322"	""
"27"	""	"19"	"133"	"8"	"10"	"43"	"20"	"5"	"4"	"0"	"5"	"2"	"4"	"4"	"2"	"7"	"247"	""	"247"	""
"28"	""	"20"	"40"	"6"	"2"	"52"	"11"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"116"	""	"116"	""
"29"	""	"21"	"14"	"3"	"161"	"104"	"18"	"0"	"1"	"3"	"2"	"0"	"5"	"1"	"3"	"2"	"317"	""	"317"	""
"30"	""	"22"	"16"	"2"	"148"	"218"	"31"	"7"	"4"	"3"	"0"	"3"	"5"	"2"	"9"	"8"	"456"	""	"456"	""
"31"	""	"23"	"58"	"5"	"32"	"210"	"23"	"4"	"0"	"4"	"2"	"0"	"3"	"1"	"2"	"3"	"347"	""	"347"	""
"32"	""	"24"	"44"	"9"	"36"	"233"	"12"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"7"	"14"	"358"	""	"358"	""
"33"	""	"25"	"37"	"12"	"209"	"207"	"48"	"7"	"4"	"7"	"2"	"3"	"2"	"4"	"5"	"18"	"565"	""	"565"	""
"34"	""	"26"	"167"	"11"	"18"	"290"	"35"	"7"	"2"	"9"	"4"	"2"	"10"	"5"	"8"	"40"	"608"	""	"608"	""
"35"	""	"27"	"44"	"8"	"194"	"128"	"28"	"3"	"3"	"5"	"3"	"5"	"4"	"11"	"6"	"35"	"477"	""	"477"	""
"36"	""	"28"	"34"	"3"	"240"	"204"	"33"	"4"	"5"	"2"	"1"	"2"	"5"	"3"	"1"	"6"	"543"	""	"543"	""
"37"	""	"Total -2"	"918"	"94"	"1343"	"2027"	"346"	"43"	"28"	"37"	"30"	"20"	"49"	"40"	"58"	"173"	"5206"	"0"	"5206"	"0"
"38"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"42"	"Round No.3"	"29"	"44"	"5"	"120"	"176"	"18"	"3"	"2"	"2"	"3"	"2"	"1"	"5"	"5"	"16"	"402"	""	"402"	""
"43"	""	"30"	"117"	"6"	"159"	"127"	"25"	"7"	"4"	"3"	"2"	"4"	"11"	"5"	"8"	"37"	"515"	""	"515"	""
"44"	""	"31"	"102"	"4"	"111"	"68"	"25"	"4"	"3"	"2"	"4"	"3"	"6"	"3"	"8"	"13"	"356"	""	"356"	""
"45"	""	"32"	"58"	"4"	"68"	"123"	"61"	"5"	"7"	"4"	"5"	"3"	"3"	"2"	"6"	"35"	"384"	""	"384"	""
"46"	""	"33"	"29"	"4"	"11"	"210"	"51"	"7"	"5"	"7"	"7"	"4"	"8"	"7"	"8"	"86"	"444"	""	"444"	""
"47"	""	"34"	"66"	"5"	"8"	"128"	"12"	"5"	"3"	"2"	"3"	"1"	"4"	"1"	"3"	"33"	"274"	""	"274"	""
"48"	""	"35"	"121"	"9"	"42"	"11"	"11"	"1"	"3"	"3"	"0"	"2"	"2"	"2"	"1"	"14"	"222"	""	"222"	""
"49"	""	"36"	"159"	"6"	"3"	"88"	"12"	"8"	"2"	"3"	"1"	"1"	"3"	"1"	"1"	"2"	"290"	""	"290"	""
"50"	""	"37"	"40"	"5"	"94"	"39"	"26"	"8"	"1"	"9"	"5"	"3"	"4"	"5"	"5"	"19"	"263"	""	"263"	""
"51"	""	"38"	"140"	"4"	"105"	"57"	"17"	"5"	"1"	"0"	"2"	"1"	"1"	"3"	"3"	"6"	"345"	""	"345"	""
"52"	""	"39"	"96"	"4"	"28"	"120"	"16"	"6"	"3"	"2"	"4"	"7"	"7"	"5"	"3"	"23"	"324"	""	"324"	""
"53"	""	"40"	"295"	"45"	"70"	"76"	"22"	"3"	"2"	"6"	"1"	"1"	"2"	"3"	"3"	"7"	"536"	""	"536"	""
"54"	""	"41"	"69"	"5"	"65"	"105"	"17"	"3"	"2"	"1"	"3"	"3"	"5"	"4"	"2"	"25"	"309"	""	"309"	""
"55"	""	"42"	"109"	"4"	"20"	"135"	"24"	"4"	"1"	"1"	"5"	"1"	"2"	"0"	"1"	"2"	"309"	""	"309"	""
"56"	""	"Total -3"	"1445"	"110"	"904"	"1463"	"337"	"69"	"39"	"45"	"45"	"36"	"59"	"46"	"57"	"318"	"4973"	"0"	"4973"	"0"
"57"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"61"	"Round No4"	"43"	"77"	"7"	"20"	"156"	"21"	"2"	"1"	"7"	"3"	"5"	"5"	"10"	"6"	"24"	"344"	""	"344"	""
"62"	""	"44"	"80"	"2"	"37"	"117"	"12"	"2"	"3"	"2"	"1"	"2"	"4"	"2"	"2"	"3"	"269"	""	"269"	""
"63"	""	"45"	"87"	"3"	"126"	"29"	"15"	"0"	"2"	"1"	"0"	"0"	"2"	"6"	"2"	"18"	"291"	""	"291"	""
"64"	""	"46"	"298"	"15"	"20"	"121"	"22"	"9"	"5"	"4"	"2"	"5"	"4"	"2"	"2"	"18"	"527"	""	"527"	""
"65"	""	"47"	"77"	"12"	"73"	"302"	"28"	"3"	"7"	"4"	"4"	"5"	"9"	"5"	"4"	"57"	"590"	""	"590"	""
"66"	""	"48"	"94"	"9"	"26"	"286"	"29"	"4"	"4"	"3"	"2"	"2"	"2"	"0"	"3"	"22"	"486"	""	"486"	""
"67"	""	"49"	"154"	"12"	"59"	"74"	"12"	"1"	"2"	"2"	"6"	"1"	"8"	"6"	"4"	"18"	"359"	""	"359"	""
"68"	""	"50"	"111"	"8"	"45"	"148"	"10"	"8"	"2"	"0"	"5"	"3"	"5"	"0"	"1"	"8"	"354"	""	"354"	""
"69"	""	"51"	"241"	"7"	"44"	"119"	"17"	"3"	"2"	"5"	"5"	"0"	"4"	"1"	"3"	"26"	"477"	""	"477"	""
"70"	""	"52"	"110"	"9"	"34"	"228"	"132"	"4"	"3"	"0"	"2"	"1"	"5"	"2"	"3"	"22"	"555"	""	"555"	""
"71"	""	"53"	"38"	"7"	"83"	"221"	"134"	"8"	"2"	"2"	"4"	"3"	"5"	"5"	"6"	"23"	"541"	""	"541"	""
"72"	""	"54"	"223"	"10"	"19"	"111"	"67"	"3"	"6"	"2"	"4"	"3"	"1"	"2"	"4"	"23"	"478"	""	"478"	""
"73"	""	"55"	"18"	"0"	"419"	"25"	"7"	"0"	"1"	"1"	"2"	"0"	"1"	"10"	"3"	"8"	"495"	""	"495"	""
"74"	""	"56"	"40"	"3"	"310"	"7"	"14"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"4"	"6"	"390"	""	"390"	""
"75"	""	"Total -4"	"1648"	"104"	"1315"	"1944"	"520"	"48"	"40"	"33"	"41"	"30"	"56"	"54"	"47"	"276"	"6156"	"0"	"6156"	"0"
"76"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"80"	"Round No 5"	"57"	"38"	"7"	"21"	"234"	"29"	"3"	"3"	"0"	"0"	"2"	"6"	"2"	"8"	"7"	"360"	""	"360"	""
"81"	""	"58"	"13"	"3"	"17"	"278"	"24"	"0"	"1"	"3"	"0"	"1"	"1"	"2"	"6"	"2"	"351"	""	"351"	""
"82"	""	"59"	"53"	"4"	"204"	"15"	"11"	"1"	"0"	"0"	"2"	"5"	"1"	"6"	"0"	"9"	"311"	""	"311"	""
"83"	""	"60"	"91"	"6"	"130"	"41"	"16"	"4"	"2"	"4"	"3"	"3"	"4"	"11"	"7"	"46"	"368"	""	"368"	""
"84"	""	"61"	"83"	"7"	"149"	"8"	"6"	"3"	"3"	"1"	"0"	"1"	"1"	"1"	"1"	"7"	"271"	""	"271"	""
"85"	""	"62"	"43"	"4"	"4"	"168"	"10"	"3"	"1"	"0"	"1"	"3"	"3"	"3"	"2"	"8"	"253"	""	"253"	""
"86"	""	"63"	"26"	"2"	"145"	"10"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"11"	"203"	""	"203"	""
"87"	""	"64"	"31"	"5"	"98"	"140"	"20"	"4"	"1"	"2"	"2"	"1"	"2"	"7"	"2"	"6"	"321"	""	"321"	""
"88"	""	"65"	"35"	"4"	"192"	"23"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"263"	""	"263"	""
"89"	""	"66"	"60"	"2"	"109"	"65"	"9"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"5"	"256"	""	"256"	""
"90"	""	"67"	"46"	"6"	"154"	"11"	"8"	"3"	"0"	"1"	"3"	"4"	"3"	"5"	"0"	"11"	"255"	""	"255"	""
"91"	""	"68"	"11"	"3"	"38"	"88"	"10"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"6"	"161"	""	"161"	""
"92"	""	"69"	"1"	"1"	"62"	"51"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	""	"120"	""
"93"	""	"70"	"27"	"2"	"45"	"224"	"19"	"1"	"5"	"4"	"2"	"1"	"4"	"5"	"10"	"30"	"379"	""	"379"	""
"94"	""	"Total -5"	"558"	"56"	"1368"	"1356"	"176"	"27"	"17"	"18"	"16"	"23"	"26"	"44"	"38"	"149"	"3872"	"0"	"3872"	"0"
"95"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"99"	"Round No 6"	"71"	"17"	"15"	"45"	"246"	"33"	"4"	"1"	"1"	"5"	"0"	"7"	"1"	"2"	"14"	"391"	""	"391"	""
"100"	""	"72"	"146"	"9"	"252"	"21"	"12"	"6"	"2"	"4"	"2"	"2"	"4"	"7"	"3"	"24"	"494"	""	"494"	""
"101"	""	"73"	"38"	"8"	"224"	"13"	"11"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"0"	"1"	"306"	""	"306"	""
"102"	""	"74"	"10"	"5"	"155"	"173"	"15"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"3"	"365"	""	"365"	""
"103"	""	"75"	"21"	"26"	"24"	"193"	"27"	"2"	"3"	"7"	"4"	"2"	"3"	"5"	"6"	"22"	"345"	""	"345"	""
"104"	""	"76"	"144"	"13"	"58"	"206"	"22"	"0"	"4"	"4"	"2"	"7"	"12"	"11"	"10"	"30"	"523"	""	"523"	""
"105"	""	"77"	"109"	"4"	"26"	"167"	"23"	"1"	"4"	"2"	"1"	"0"	"5"	"4"	"0"	"24"	"370"	""	"370"	""
"106"	""	"78"	"76"	"6"	"181"	"8"	"7"	"1"	"2"	"1"	"2"	"0"	"3"	"4"	"0"	"3"	"294"	""	"294"	""
"107"	""	"79"	"74"	"0"	"169"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	""	"247"	""
"108"	""	"80"	"76"	"10"	"38"	"254"	"33"	"4"	"5"	"2"	"4"	"0"	"10"	"8"	"6"	"43"	"493"	""	"493"	""
"109"	""	"81"	"49"	"16"	"8"	"229"	"22"	"2"	"5"	"2"	"3"	"2"	"5"	"0"	"0"	"37"	"380"	""	"380"	""
"110"	""	"82"	"17"	"3"	"6"	"85"	"18"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"3"	"61"	"197"	""	"197"	""
"111"	""	"83"	"36"	"0"	"6"	"100"	"12"	"4"	"1"	"1"	"2"	"1"	"2"	"2"	"1"	"75"	"243"	""	"243"	""
"112"	""	"84"	"184"	"12"	"53"	"144"	"22"	"3"	"1"	"3"	"4"	"5"	"7"	"1"	"2"	"26"	"467"	""	"467"	""
"113"	""	"Total -6"	"997"	"127"	"1245"	"1842"	"258"	"29"	"31"	"30"	"30"	"20"	"64"	"46"	"33"	"363"	"5115"	"0"	"5115"	"0"
"114"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"118"	"Round No 7"	"85"	"57"	"13"	"65"	"66"	"57"	"4"	"1"	"6"	"2"	"8"	"1"	"2"	"8"	"6"	"296"	""	"296"	""
"119"	""	"86"	"21"	"0"	"75"	"16"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"117"	""	"117"	""
"120"	""	"87"	"27"	"7"	"54"	"171"	"13"	"4"	"2"	"5"	"0"	"3"	"5"	"3"	"3"	"27"	"324"	""	"324"	""
"121"	""	"88"	"206"	"6"	"89"	"51"	"8"	"4"	"0"	"2"	"2"	"1"	"0"	"4"	"5"	"13"	"391"	""	"391"	""
"122"	""	"89"	"227"	"4"	"26"	"17"	"4"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"9"	"291"	""	"291"	""
"123"	""	"90"	"76"	"5"	"227"	"150"	"70"	"9"	"4"	"3"	"1"	"4"	"8"	"6"	"3"	"8"	"574"	""	"574"	""
"124"	""	"91"	"37"	"2"	"164"	"46"	"13"	"3"	"1"	"0"	"3"	"1"	"6"	"9"	"4"	"16"	"305"	""	"305"	""
"125"	""	"92"	"131"	"15"	"260"	"29"	"20"	"6"	"2"	"3"	"2"	"2"	"3"	"6"	"4"	"26"	"509"	""	"509"	""
"126"	""	"93"	"52"	"14"	"261"	"22"	"60"	"5"	"6"	"2"	"3"	"5"	"3"	"10"	"5"	"17"	"465"	""	"465"	""
"127"	""	"94"	"105"	"5"	"188"	"16"	"9"	"5"	"1"	"0"	"1"	"0"	"2"	"4"	"2"	"1"	"339"	""	"339"	""
"128"	""	"95"	"64"	"3"	"149"	"6"	"5"	"1"	"0"	"0"	"1"	"2"	"0"	"6"	"0"	"5"	"242"	""	"242"	""
"129"	""	"96"	"95"	"4"	"123"	"23"	"54"	"5"	"2"	"0"	"6"	"0"	"2"	"6"	"6"	"10"	"336"	""	"336"	""
"130"	""	"97"	"84"	"3"	"112"	"18"	"63"	"5"	"1"	"5"	"8"	"2"	"1"	"7"	"4"	"13"	"326"	""	"326"	""
"131"	""	"98"	"69"	"0"	"13"	"250"	"85"	"2"	"3"	"4"	"5"	"6"	"5"	"3"	"4"	"10"	"459"	""	"459"	""
"132"	""	"Total -7"	"1251"	"81"	"1806"	"881"	"462"	"55"	"24"	"33"	"34"	"35"	"37"	"66"	"48"	"161"	"4974"	"0"	"4974"	"0"
"133"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"137"	"Round No 8"	"99"	"31"	"3"	"33"	"134"	"24"	"3"	"1"	"0"	"3"	"0"	"2"	"6"	"2"	"7"	"249"	""	"249"	""
"138"	""	"100"	"11"	"4"	"46"	"266"	"27"	"6"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"5"	"378"	""	"378"	""
"139"	""	"101"	"46"	"18"	"192"	"66"	"81"	"4"	"3"	"4"	"4"	"3"	"5"	"4"	"1"	"2"	"433"	""	"433"	""
"140"	""	"102"	"57"	"12"	"59"	"192"	"27"	"3"	"5"	"5"	"1"	"2"	"6"	"1"	"1"	"9"	"380"	""	"380"	""
"141"	""	"103"	"46"	"13"	"105"	"224"	"79"	"4"	"1"	"2"	"2"	"2"	"6"	"5"	"0"	"8"	"497"	""	"497"	""
"142"	""	"104"	"32"	"5"	"113"	"313"	"43"	"2"	"9"	"3"	"3"	"4"	"11"	"5"	"8"	"30"	"581"	""	"581"	""
"143"	""	"105"	"43"	"17"	"79"	"186"	"24"	"3"	"3"	"0"	"2"	"2"	"4"	"5"	"2"	"143"	"513"	""	"513"	""
"144"	""	"106"	"254"	"11"	"69"	"163"	"93"	"4"	"5"	"6"	"5"	"4"	"6"	"8"	"2"	"92"	"722"	""	"722"	""
"145"	""	"107"	"119"	"5"	"153"	"82"	"19"	"3"	"1"	"4"	"3"	"2"	"5"	"3"	"10"	"41"	"450"	""	"450"	""
"146"	""	"108"	"241"	"5"	"56"	"164"	"40"	"4"	"5"	"3"	"1"	"4"	"7"	"5"	"8"	"86"	"629"	""	"629"	""
"147"	""	"109"	"101"	"3"	"90"	"74"	"13"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"9"	"296"	""	"296"	""
"148"	""	"110"	"238"	"4"	"181"	"103"	"13"	"5"	"2"	"2"	"2"	"5"	"4"	"12"	"5"	"19"	"595"	""	"595"	""
"149"	""	"111"	"127"	"7"	"113"	"19"	"24"	"4"	"1"	"1"	"3"	"0"	"3"	"6"	"3"	"8"	"319"	""	"319"	""
"150"	""	"112"	"97"	"3"	"50"	"46"	"39"	"5"	"1"	"1"	"2"	"3"	"0"	"2"	"1"	"15"	"265"	""	"265"	""
"151"	""	"Total -8"	"1443"	"110"	"1339"	"2032"	"546"	"52"	"39"	"33"	"34"	"33"	"61"	"66"	"45"	"474"	"6307"	"0"	"6307"	"0"
"152"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
