"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X209967.31.Harlakhi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"13"	""	"10"	"45"	"4"	"24"	"153"	"23"	"2"	"2"	"2"	"0"	"2"	"2"	"4"	"8"	"8"	"279"	""	"279"	""
"14"	""	"11"	"204"	"22"	"24"	"188"	"27"	"4"	"6"	"3"	"2"	"2"	"2"	"0"	"3"	"10"	"497"	""	"497"	""
"15"	""	"12"	"102"	"6"	"36"	"168"	"23"	"4"	"1"	"9"	"2"	"2"	"4"	"2"	"4"	"7"	"370"	""	"370"	""
"16"	""	"13"	"63"	"6"	"116"	"304"	"138"	"6"	"2"	"3"	"5"	"2"	"4"	"2"	"3"	"13"	"667"	""	"667"	""
"17"	""	"14"	"269"	"14"	"32"	"158"	"29"	"6"	"8"	"6"	"1"	"4"	"7"	"2"	"10"	"14"	"560"	""	"560"	""
"18"	""	"Total -1"	"1487"	"134"	"1832"	"2520"	"568"	"74"	"46"	"77"	"41"	"48"	"60"	"67"	"83"	"251"	"7288"	"0"	"7288"	"0"
"19"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"23"	"Round No.2"	"15"	"81"	"4"	"74"	"277"	"25"	"3"	"3"	"8"	"3"	"1"	"4"	"2"	"6"	"15"	"506"	""	"506"	""
"24"	""	"16"	"112"	"4"	"33"	"312"	"50"	"5"	"8"	"7"	"1"	"2"	"5"	"1"	"8"	"2"	"550"	""	"550"	""
"25"	""	"17"	"291"	"14"	"15"	"94"	"64"	"2"	"2"	"1"	"4"	"2"	"1"	"2"	"4"	"6"	"502"	""	"502"	""
"26"	""	"18"	"29"	"7"	"53"	"197"	"123"	"10"	"3"	"8"	"3"	"3"	"5"	"3"	"3"	"12"	"459"	""	"459"	""
"27"	""	"19"	"26"	"8"	"35"	"318"	"65"	"6"	"1"	"2"	"2"	"2"	"3"	"3"	"1"	"11"	"483"	""	"483"	""
"28"	""	"20"	"132"	"30"	"73"	"300"	"54"	"5"	"4"	"5"	"3"	"2"	"4"	"4"	"5"	"9"	"630"	""	"630"	""
"29"	""	"21"	"164"	"11"	"8"	"188"	"26"	"8"	"4"	"8"	"3"	"1"	"5"	"2"	"5"	"5"	"438"	""	"438"	""
"30"	""	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"31"	""	"23"	"168"	"11"	"57"	"65"	"53"	"3"	"3"	"2"	"0"	"1"	"0"	"1"	"0"	"6"	"370"	""	"370"	""
"32"	""	"24"	"139"	"11"	"25"	"77"	"161"	"3"	"4"	"4"	"5"	"5"	"1"	"1"	"3"	"7"	"446"	""	"446"	""
"33"	""	"25"	"100"	"2"	"21"	"35"	"41"	"5"	"2"	"2"	"3"	"0"	"1"	"1"	"3"	"2"	"218"	""	"218"	""
"34"	""	"26"	"105"	"3"	"10"	"108"	"94"	"4"	"3"	"1"	"1"	"0"	"3"	"6"	"9"	"28"	"375"	""	"375"	""
"35"	""	"27"	"110"	"12"	"29"	"234"	"8"	"1"	"0"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"405"	""	"405"	""
"36"	""	"28"	"187"	"8"	"54"	"237"	"97"	"6"	"3"	"4"	"2"	"4"	"4"	"5"	"10"	"8"	"629"	""	"629"	""
"37"	""	"Total -2"	"1644"	"125"	"487"	"2442"	"861"	"61"	"40"	"54"	"32"	"25"	"37"	"32"	"59"	"112"	"6011"	"0"	"6011"	"0"
"38"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"42"	"Round No.3"	"29"	"56"	"9"	"114"	"274"	"51"	"8"	"4"	"7"	"0"	"0"	"5"	"6"	"6"	"21"	"561"	""	"561"	""
"43"	""	"30"	"52"	"1"	"106"	"190"	"58"	"12"	"2"	"5"	"2"	"3"	"2"	"7"	"6"	"25"	"471"	""	"471"	""
"44"	""	"31"	"200"	"23"	"5"	"220"	"34"	"5"	"6"	"2"	"7"	"2"	"8"	"2"	"6"	"11"	"531"	""	"531"	""
"45"	""	"32"	"85"	"4"	"27"	"172"	"26"	"4"	"0"	"4"	"2"	"0"	"5"	"3"	"4"	"11"	"347"	""	"347"	""
"46"	""	"33"	"185"	"5"	"8"	"142"	"20"	"5"	"2"	"2"	"2"	"1"	"3"	"0"	"6"	"5"	"386"	""	"386"	""
"47"	""	"34"	"67"	"12"	"10"	"79"	"51"	"0"	"2"	"4"	"1"	"0"	"6"	"2"	"2"	"6"	"242"	""	"242"	""
"48"	""	"35"	"19"	"17"	"60"	"135"	"23"	"1"	"1"	"2"	"0"	"1"	"3"	"2"	"4"	"5"	"273"	""	"273"	""
"49"	""	"36"	"109"	"9"	"29"	"100"	"13"	"4"	"2"	"3"	"6"	"4"	"3"	"3"	"4"	"6"	"295"	""	"295"	""
"50"	""	"37"	"36"	"4"	"21"	"355"	"29"	"4"	"4"	"9"	"4"	"1"	"0"	"4"	"3"	"7"	"481"	""	"481"	""
"51"	""	"38"	"41"	"10"	"331"	"225"	"30"	"6"	"0"	"5"	"1"	"3"	"0"	"6"	"9"	"14"	"681"	""	"681"	""
"52"	""	"39"	"42"	"8"	"140"	"256"	"178"	"9"	"2"	"10"	"6"	"3"	"1"	"4"	"7"	"4"	"670"	""	"670"	""
"53"	""	"40"	"193"	"5"	"20"	"71"	"132"	"2"	"1"	"2"	"0"	"4"	"2"	"1"	"4"	"6"	"443"	""	"443"	""
"54"	""	"41"	"274"	"13"	"17"	"132"	"82"	"3"	"13"	"4"	"3"	"6"	"6"	"5"	"8"	"21"	"587"	""	"587"	""
"55"	""	"42"	"177"	"9"	"6"	"260"	"103"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"6"	"567"	""	"567"	""
"56"	""	"Total -3"	"1536"	"129"	"894"	"2611"	"830"	"65"	"39"	"60"	"35"	"28"	"44"	"47"	"69"	"148"	"6535"	"0"	"6535"	"0"
"57"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"61"	"Round No4"	"43"	"93"	"17"	"101"	"86"	"44"	"2"	"1"	"3"	"2"	"0"	"0"	"0"	"3"	"0"	"352"	""	"352"	""
"62"	""	"44"	"78"	"11"	"7"	"151"	"92"	"1"	"1"	"3"	"1"	"0"	"1"	"0"	"1"	"2"	"349"	""	"349"	""
"63"	""	"45"	"51"	"17"	"34"	"94"	"35"	"7"	"2"	"8"	"3"	"1"	"9"	"0"	"5"	"3"	"269"	""	"269"	""
"64"	""	"46"	"125"	"10"	"67"	"301"	"110"	"8"	"3"	"9"	"8"	"7"	"12"	"4"	"10"	"17"	"691"	""	"691"	""
"65"	""	"47"	"151"	"43"	"42"	"90"	"12"	"6"	"1"	"2"	"2"	"0"	"4"	"1"	"4"	"29"	"387"	""	"387"	""
"66"	""	"48"	"145"	"39"	"166"	"160"	"20"	"3"	"2"	"1"	"1"	"0"	"1"	"0"	"4"	"8"	"550"	""	"550"	""
"67"	""	"49"	"9"	"46"	"64"	"95"	"7"	"2"	"1"	"12"	"0"	"0"	"3"	"2"	"3"	"1"	"245"	""	"245"	""
"68"	""	"50"	"66"	"18"	"149"	"159"	"17"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"20"	"435"	""	"435"	""
"69"	""	"51"	"19"	"7"	"27"	"212"	"16"	"3"	"2"	"3"	"2"	"2"	"3"	"0"	"12"	"10"	"318"	""	"318"	""
"70"	""	"52"	"27"	"1"	"107"	"272"	"42"	"7"	"1"	"5"	"2"	"3"	"10"	"7"	"13"	"46"	"543"	""	"543"	""
"71"	""	"53"	"109"	"19"	"15"	"168"	"4"	"4"	"2"	"1"	"2"	"0"	"6"	"3"	"6"	"113"	"452"	""	"452"	""
"72"	""	"54"	"31"	"7"	"6"	"144"	"5"	"2"	"1"	"1"	"1"	"1"	"3"	"2"	"1"	"77"	"282"	""	"282"	""
"73"	""	"55"	"32"	"3"	"27"	"239"	"90"	"1"	"2"	"0"	"1"	"0"	"2"	"1"	"3"	"3"	"404"	""	"404"	""
"74"	""	"56"	"24"	"3"	"37"	"201"	"96"	"4"	"2"	"3"	"2"	"2"	"6"	"9"	"9"	"19"	"417"	""	"417"	""
"75"	""	"Total -4"	"960"	"241"	"849"	"2372"	"590"	"51"	"21"	"52"	"27"	"16"	"60"	"32"	"75"	"348"	"5694"	"0"	"5694"	"0"
"76"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"80"	"Round No 5"	"57"	"76"	"5"	"9"	"285"	"21"	"1"	"0"	"2"	"3"	"1"	"0"	"1"	"1"	"8"	"413"	""	"413"	""
"81"	""	"58"	"2"	"0"	"8"	"119"	"93"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"11"	"235"	""	"235"	""
"82"	""	"59"	"181"	"2"	"10"	"48"	"53"	"2"	"1"	"4"	"2"	"4"	"3"	"1"	"4"	"9"	"324"	""	"324"	""
"83"	""	"60"	"81"	"10"	"10"	"232"	"64"	"5"	"3"	"3"	"3"	"5"	"3"	"5"	"3"	"9"	"436"	""	"436"	""
"84"	""	"61"	"20"	"6"	"11"	"291"	"71"	"5"	"0"	"2"	"1"	"1"	"5"	"2"	"5"	"9"	"429"	""	"429"	""
"85"	""	"62"	"102"	"11"	"41"	"180"	"64"	"4"	"0"	"3"	"1"	"0"	"2"	"3"	"5"	"16"	"432"	""	"432"	""
"86"	""	"63"	"61"	"2"	"26"	"189"	"78"	"2"	"2"	"4"	"1"	"3"	"6"	"3"	"1"	"73"	"451"	""	"451"	""
"87"	""	"64"	"16"	"17"	"50"	"101"	"145"	"5"	"2"	"0"	"7"	"1"	"2"	"2"	"5"	"5"	"358"	""	"358"	""
"88"	""	"65"	"58"	"7"	"90"	"40"	"189"	"3"	"3"	"5"	"4"	"4"	"5"	"6"	"2"	"3"	"419"	""	"419"	""
"89"	""	"66"	"75"	"5"	"96"	"143"	"53"	"7"	"4"	"7"	"5"	"4"	"4"	"3"	"11"	"20"	"437"	""	"437"	""
"90"	""	"67"	"43"	"1"	"45"	"60"	"113"	"3"	"4"	"2"	"5"	"1"	"3"	"2"	"3"	"43"	"328"	""	"328"	""
"91"	""	"68"	"109"	"10"	"7"	"173"	"323"	"7"	"7"	"4"	"5"	"7"	"7"	"3"	"10"	"18"	"690"	""	"690"	""
"92"	""	"69"	"177"	"10"	"17"	"95"	"207"	"10"	"5"	"2"	"8"	"8"	"3"	"5"	"4"	"37"	"588"	""	"588"	""
"93"	""	"70"	"153"	"10"	"94"	"86"	"276"	"13"	"6"	"4"	"2"	"4"	"6"	"7"	"9"	"45"	"715"	""	"715"	""
"94"	""	"Total -5"	"1154"	"96"	"514"	"2042"	"1750"	"68"	"37"	"42"	"47"	"43"	"49"	"44"	"63"	"306"	"6255"	"0"	"6255"	"0"
"95"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"99"	"Round No 6"	"71"	"146"	"8"	"9"	"116"	"212"	"2"	"3"	"3"	"2"	"4"	"5"	"4"	"5"	"66"	"585"	""	"585"	""
"100"	""	"72"	"16"	"7"	"172"	"161"	"72"	"3"	"2"	"1"	"3"	"1"	"5"	"0"	"3"	"10"	"456"	""	"456"	""
"101"	""	"73"	"24"	"16"	"80"	"295"	"90"	"13"	"1"	"4"	"2"	"3"	"5"	"2"	"4"	"17"	"556"	""	"556"	""
"102"	""	"74"	"135"	"10"	"165"	"31"	"59"	"3"	"2"	"2"	"3"	"2"	"1"	"1"	"3"	"6"	"423"	""	"423"	""
"103"	""	"75"	"53"	"13"	"193"	"325"	"68"	"4"	"12"	"5"	"3"	"4"	"6"	"3"	"6"	"8"	"703"	""	"703"	""
"104"	""	"76"	"9"	"6"	"169"	"243"	"87"	"7"	"8"	"4"	"2"	"1"	"1"	"0"	"3"	"6"	"546"	""	"546"	""
"105"	""	"77"	"65"	"8"	"16"	"73"	"291"	"8"	"4"	"3"	"5"	"2"	"2"	"0"	"1"	"0"	"478"	""	"478"	""
"106"	""	"78"	"44"	"10"	"53"	"50"	"190"	"6"	"4"	"2"	"0"	"1"	"4"	"4"	"1"	"20"	"389"	""	"389"	""
"107"	""	"79"	"25"	"5"	"112"	"171"	"190"	"8"	"1"	"2"	"3"	"1"	"1"	"4"	"2"	"20"	"545"	""	"545"	""
"108"	""	"80"	"39"	"11"	"184"	"121"	"207"	"6"	"8"	"9"	"6"	"6"	"3"	"4"	"5"	"17"	"626"	""	"626"	""
"109"	""	"81"	"68"	"5"	"38"	"203"	"151"	"10"	"4"	"4"	"6"	"6"	"6"	"1"	"7"	"14"	"523"	""	"523"	""
"110"	""	"82"	"11"	"1"	"25"	"84"	"30"	"0"	"1"	"1"	"4"	"1"	"0"	"2"	"2"	"5"	"167"	""	"167"	""
"111"	""	"83"	"55"	"2"	"11"	"29"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"103"	""	"103"	""
"112"	""	"84"	"133"	"3"	"12"	"83"	"10"	"1"	"0"	"3"	"2"	"0"	"3"	"1"	"3"	"5"	"259"	""	"259"	""
"113"	""	"Total -6"	"823"	"105"	"1239"	"1985"	"1660"	"72"	"50"	"43"	"41"	"32"	"43"	"26"	"45"	"195"	"6359"	"0"	"6359"	"0"
"114"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"118"	"Round No 7"	"85"	"171"	"12"	"62"	"167"	"37"	"1"	"3"	"1"	"2"	"2"	"1"	"0"	"2"	"4"	"465"	""	"465"	""
"119"	""	"86"	"167"	"44"	"44"	"181"	"164"	"5"	"6"	"5"	"5"	"0"	"4"	"3"	"3"	"6"	"637"	""	"637"	""
"120"	""	"87"	"163"	"8"	"154"	"239"	"54"	"2"	"3"	"3"	"2"	"1"	"1"	"2"	"5"	"11"	"648"	""	"648"	""
"121"	""	"88"	"101"	"2"	"58"	"91"	"94"	"3"	"3"	"6"	"6"	"3"	"4"	"2"	"2"	"9"	"384"	""	"384"	""
"122"	""	"89"	"131"	"5"	"142"	"155"	"17"	"1"	"6"	"3"	"3"	"2"	"3"	"7"	"5"	"10"	"490"	""	"490"	""
"123"	""	"90"	"62"	"6"	"128"	"237"	"33"	"4"	"2"	"3"	"2"	"5"	"4"	"1"	"2"	"12"	"501"	""	"501"	""
"124"	""	"91"	"10"	"6"	"211"	"84"	"19"	"7"	"4"	"5"	"3"	"1"	"1"	"3"	"4"	"4"	"362"	""	"362"	""
"125"	""	"92"	"44"	"8"	"335"	"74"	"47"	"2"	"2"	"1"	"0"	"1"	"2"	"1"	"0"	"2"	"519"	""	"519"	""
"126"	""	"93"	"123"	"11"	"232"	"218"	"22"	"8"	"2"	"1"	"5"	"1"	"4"	"5"	"11"	"27"	"670"	""	"670"	""
"127"	""	"94"	"138"	"28"	"80"	"159"	"18"	"9"	"8"	"5"	"7"	"1"	"7"	"5"	"4"	"15"	"484"	""	"484"	""
"128"	""	"95"	"165"	"5"	"51"	"131"	"39"	"4"	"1"	"1"	"2"	"2"	"2"	"0"	"1"	"7"	"411"	""	"411"	""
"129"	""	"96"	"28"	"4"	"34"	"300"	"94"	"9"	"4"	"9"	"7"	"3"	"5"	"4"	"9"	"12"	"522"	""	"522"	""
"130"	""	"97"	"232"	"9"	"43"	"99"	"35"	"2"	"2"	"4"	"2"	"1"	"5"	"5"	"5"	"30"	"474"	""	"474"	""
"131"	""	"98"	"176"	"2"	"42"	"140"	"90"	"5"	"2"	"3"	"3"	"2"	"5"	"5"	"5"	"16"	"496"	""	"496"	""
"132"	""	"Total -7"	"1711"	"150"	"1616"	"2275"	"763"	"62"	"48"	"50"	"49"	"25"	"48"	"43"	"58"	"165"	"7063"	"0"	"7063"	"0"
"133"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"137"	"Round No 8"	"99"	"48"	"1"	"34"	"204"	"40"	"4"	"1"	"1"	"0"	"1"	"3"	"0"	"3"	"27"	"367"	""	"367"	""
"138"	""	"100"	"105"	"16"	"20"	"136"	"36"	"4"	"6"	"4"	"2"	"3"	"3"	"1"	"1"	"16"	"353"	""	"353"	""
"139"	""	"101"	"157"	"5"	"193"	"127"	"32"	"5"	"8"	"5"	"2"	"2"	"5"	"4"	"0"	"4"	"549"	""	"549"	""
"140"	""	"102"	"10"	"1"	"343"	"66"	"13"	"2"	"2"	"2"	"1"	"1"	"4"	"2"	"0"	"2"	"449"	""	"449"	""
"141"	""	"103"	"69"	"3"	"295"	"97"	"17"	"2"	"1"	"4"	"1"	"5"	"1"	"1"	"1"	"7"	"504"	""	"504"	""
"142"	""	"104"	"52"	"4"	"111"	"38"	"58"	"3"	"1"	"1"	"0"	"0"	"3"	"6"	"6"	"4"	"287"	""	"287"	""
"143"	""	"105"	"138"	"3"	"306"	"86"	"115"	"1"	"2"	"1"	"6"	"2"	"2"	"1"	"3"	"6"	"672"	""	"672"	""
"144"	""	"106"	"41"	"6"	"226"	"168"	"20"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"8"	"471"	""	"471"	""
"145"	""	"107"	"33"	"6"	"459"	"117"	"39"	"7"	"1"	"9"	"2"	"4"	"6"	"6"	"7"	"13"	"709"	""	"709"	""
"146"	""	"108"	"18"	"6"	"137"	"396"	"179"	"4"	"5"	"6"	"4"	"2"	"2"	"4"	"7"	"6"	"776"	""	"776"	""
"147"	""	"109"	"32"	"45"	"21"	"250"	"87"	"8"	"0"	"5"	"2"	"4"	"4"	"4"	"3"	"3"	"468"	""	"468"	""
"148"	""	"110"	"40"	"6"	"65"	"219"	"66"	"3"	"2"	"5"	"4"	"1"	"3"	"3"	"0"	"5"	"422"	""	"422"	""
"149"	""	"111"	"10"	"0"	"66"	"225"	"107"	"4"	"0"	"3"	"4"	"1"	"1"	"0"	"0"	"3"	"424"	""	"424"	""
"150"	""	"112"	"21"	"2"	"92"	"250"	"147"	"5"	"3"	"4"	"7"	"7"	"3"	"6"	"15"	"16"	"578"	""	"578"	""
"151"	""	"Total -8"	"774"	"104"	"2368"	"2379"	"956"	"52"	"32"	"51"	"35"	"33"	"40"	"38"	"47"	"120"	"7029"	"0"	"7029"	"0"
"152"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
