"Name.of.the.Assembly.Constituency....169..Sheikhpura.................................................................................................................No.of.Voters....200380"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"31"	"21"	"40"	"4"	"0"	"241"	"28"	"4"	"1"	"11"	"0"	"1"	"36"	"5"	"23"	"2"	"2"	"13"	"3"	"0"	"2"	"416"	""	"416"	""
"32"	"22"	"21"	"0"	"1"	"12"	"275"	"0"	"2"	"0"	"0"	"0"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"325"	""	"325"	""
"33"	"Name of the Assembly Constituency :- 169- Sheikhpura                                                                                                                 No of Voters :- 200380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Candidate"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"35"	"s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"37"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"44"	"23"	"144"	"1"	"1"	"116"	"7"	"0"	"0"	"0"	"0"	"0"	"12"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	""	"283"	""
"45"	"24"	"88"	"5"	"0"	"21"	"117"	"3"	"1"	"0"	"1"	"0"	"14"	"0"	"2"	"2"	"2"	"3"	"3"	"1"	"1"	"264"	""	"264"	""
"46"	"25"	"13"	"10"	"0"	"153"	"39"	"15"	"2"	"3"	"3"	"1"	"71"	"8"	"8"	"3"	"2"	"7"	"4"	"3"	"2"	"347"	""	"347"	""
"47"	"26"	"26"	"6"	"3"	"70"	"13"	"3"	"2"	"0"	"2"	"0"	"49"	"2"	"1"	"2"	"0"	"0"	"2"	"1"	"3"	"185"	""	"185"	""
"48"	"27"	"93"	"13"	"1"	"111"	"130"	"8"	"4"	"3"	"3"	"8"	"40"	"13"	"9"	"3"	"9"	"14"	"6"	"3"	"1"	"472"	""	"472"	""
"49"	"28"	"114"	"4"	"1"	"92"	"11"	"1"	"0"	"0"	"0"	"1"	"33"	"2"	"2"	"0"	"0"	"3"	"11"	"1"	"3"	"279"	""	"279"	""
"50"	"29"	"45"	"13"	"8"	"120"	"48"	"5"	"2"	"1"	"4"	"5"	"44"	"0"	"3"	"3"	"2"	"3"	"2"	"2"	"0"	"310"	""	"310"	""
"51"	"30"	"72"	"9"	"0"	"117"	"64"	"3"	"0"	"0"	"2"	"1"	"28"	"0"	"4"	"0"	"1"	"4"	"0"	"0"	"0"	"305"	""	"305"	""
"52"	"31"	"72"	"22"	"1"	"75"	"19"	"0"	"0"	"0"	"0"	"13"	"24"	"2"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"234"	""	"234"	""
"53"	"32"	"47"	"13"	"5"	"170"	"106"	"8"	"5"	"0"	"1"	"1"	"88"	"4"	"9"	"3"	"1"	"2"	"2"	"0"	"0"	"465"	""	"465"	""
"54"	"33"	"43"	"32"	"2"	"181"	"44"	"5"	"3"	"2"	"0"	"1"	"29"	"6"	"3"	"1"	"1"	"2"	"3"	"0"	"0"	"358"	""	"358"	""
"55"	"34"	"91"	"16"	"5"	"68"	"141"	"6"	"4"	"115"	"7"	"5"	"40"	"4"	"7"	"4"	"9"	"11"	"4"	"1"	"7"	"545"	""	"545"	""
"56"	"35"	"51"	"12"	"4"	"197"	"65"	"7"	"2"	"6"	"1"	"0"	"36"	"2"	"6"	"2"	"2"	"10"	"4"	"0"	"3"	"410"	""	"410"	""
"57"	"36"	"55"	"16"	"7"	"197"	"37"	"3"	"3"	"1"	"0"	"2"	"27"	"3"	"4"	"0"	"0"	"2"	"0"	"0"	"2"	"359"	""	"359"	""
"58"	"37"	"96"	"4"	"0"	"25"	"84"	"1"	"0"	"1"	"1"	"2"	"5"	"2"	"2"	"1"	"2"	"4"	"6"	"0"	"2"	"238"	""	"238"	""
"59"	"38"	"18"	"16"	"41"	"182"	"96"	"7"	"0"	"0"	"1"	"0"	"30"	"0"	"2"	"2"	"0"	"0"	"2"	"0"	"2"	"399"	""	"399"	""
"60"	"39"	"157"	"17"	"3"	"209"	"47"	"3"	"5"	"2"	"1"	"0"	"42"	"1"	"2"	"0"	"1"	"4"	"0"	"4"	"2"	"500"	""	"500"	""
"61"	"40"	"79"	"13"	"3"	"186"	"16"	"3"	"0"	"0"	"0"	"0"	"32"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"335"	""	"335"	""
"62"	"41"	"13"	"28"	"1"	"330"	"2"	"7"	"0"	"1"	"0"	"0"	"44"	"3"	"11"	"1"	"0"	"0"	"4"	"4"	"6"	"455"	""	"455"	""
"63"	"42"	"47"	"45"	"2"	"394"	"20"	"6"	"2"	"0"	"6"	"2"	"71"	"5"	"8"	"1"	"2"	"3"	"5"	"2"	"7"	"628"	""	"628"	""
"64"	"43"	"76"	"5"	"2"	"230"	"18"	"11"	"3"	"3"	"4"	"30"	"54"	"4"	"8"	"2"	"5"	"4"	"10"	"4"	"4"	"477"	""	"477"	""
"65"	"44"	"140"	"15"	"6"	"148"	"43"	"3"	"1"	"21"	"5"	"4"	"46"	"2"	"3"	"3"	"1"	"8"	"9"	"1"	"11"	"470"	""	"470"	""
"66"	"Name of the Assembly Constituency :- 169- Sheikhpura                                                                                                                 No of Voters :- 200380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Candidate"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"68"	"s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"70"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"77"	"45"	"48"	"29"	"2"	"96"	"143"	"8"	"1"	"2"	"3"	"3"	"18"	"6"	"2"	"1"	"3"	"8"	"2"	"1"	"2"	"378"	""	"378"	""
"78"	"46"	"67"	"3"	"5"	"180"	"18"	"0"	"0"	"1"	"2"	"0"	"18"	"1"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"301"	""	"301"	""
"79"	"47"	"85"	"29"	"0"	"107"	"66"	"2"	"0"	"1"	"2"	"0"	"16"	"0"	"3"	"1"	"2"	"2"	"18"	"10"	"6"	"350"	""	"350"	""
"80"	"48"	"101"	"9"	"8"	"179"	"21"	"4"	"2"	"1"	"5"	"2"	"36"	"6"	"6"	"2"	"2"	"8"	"2"	"0"	"4"	"398"	""	"398"	""
"81"	"49"	"14"	"10"	"4"	"181"	"45"	"6"	"3"	"1"	"0"	"5"	"52"	"4"	"10"	"0"	"2"	"5"	"6"	"13"	"12"	"373"	""	"373"	""
"82"	"50"	"25"	"73"	"13"	"156"	"49"	"8"	"0"	"3"	"3"	"8"	"76"	"5"	"6"	"6"	"4"	"12"	"1"	"9"	"4"	"461"	""	"461"	""
"83"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"84"	"52"	"33"	"46"	"16"	"336"	"38"	"4"	"2"	"1"	"6"	"1"	"64"	"3"	"8"	"0"	"4"	"6"	"5"	"6"	"12"	"591"	""	"591"	""
"85"	"53"	"37"	"41"	"4"	"119"	"53"	"2"	"0"	"0"	"6"	"2"	"25"	"3"	"2"	"1"	"3"	"3"	"4"	"1"	"2"	"308"	""	"308"	""
"86"	"54"	"23"	"32"	"7"	"218"	"84"	"6"	"2"	"6"	"5"	"3"	"76"	"7"	"8"	"5"	"3"	"16"	"1"	"0"	"4"	"506"	""	"506"	""
"87"	"55"	"35"	"10"	"3"	"214"	"78"	"5"	"0"	"0"	"1"	"0"	"44"	"2"	"11"	"1"	"0"	"5"	"4"	"1"	"7"	"421"	""	"421"	""
"88"	"56"	"111"	"36"	"1"	"153"	"60"	"3"	"2"	"2"	"1"	"1"	"27"	"2"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"405"	""	"405"	""
"89"	"57"	"132"	"75"	"3"	"116"	"53"	"4"	"2"	"0"	"3"	"1"	"18"	"4"	"2"	"3"	"3"	"4"	"1"	"0"	"0"	"424"	""	"424"	""
"90"	"58"	"49"	"51"	"1"	"60"	"10"	"0"	"1"	"0"	"3"	"0"	"19"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"200"	""	"200"	""
"91"	"59"	"101"	"4"	"1"	"49"	"152"	"9"	"0"	"3"	"2"	"3"	"15"	"4"	"2"	"0"	"0"	"4"	"2"	"0"	"1"	"352"	""	"352"	""
"92"	"60"	"98"	"15"	"5"	"310"	"38"	"13"	"2"	"6"	"5"	"1"	"82"	"11"	"14"	"4"	"5"	"22"	"2"	"0"	"2"	"635"	""	"635"	""
"93"	"61"	"72"	"28"	"10"	"79"	"63"	"4"	"1"	"0"	"0"	"3"	"32"	"4"	"3"	"4"	"2"	"6"	"11"	"5"	"8"	"335"	""	"335"	""
"94"	"62"	"44"	"8"	"0"	"2"	"5"	"0"	"0"	"1"	"1"	"38"	"3"	"0"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"107"	""	"107"	""
"95"	"63"	"53"	"55"	"10"	"3"	"12"	"2"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"3"	"2"	"4"	"1"	"151"	""	"151"	""
"96"	"64"	"162"	"8"	"3"	"45"	"205"	"0"	"2"	"3"	"1"	"2"	"14"	"3"	"5"	"1"	"1"	"13"	"16"	"1"	"3"	"488"	""	"488"	""
"97"	"65"	"75"	"7"	"1"	"15"	"98"	"5"	"3"	"1"	"1"	"1"	"5"	"1"	"1"	"0"	"0"	"9"	"0"	"0"	"0"	"223"	""	"223"	""
"98"	"66"	"47"	"17"	"7"	"293"	"96"	"12"	"1"	"2"	"1"	"5"	"73"	"7"	"6"	"5"	"3"	"12"	"1"	"0"	"4"	"592"	""	"592"	""
"99"	"Name of the Assembly Constituency :- 169- Sheikhpura                                                                                                                 No of Voters :- 200380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Candidate"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"101"	"s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"103"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"110"	"67"	"15"	"9"	"2"	"144"	"72"	"14"	"3"	"2"	"1"	"2"	"30"	"1"	"3"	"1"	"1"	"1"	"1"	"1"	"5"	"308"	""	"308"	""
"111"	"68"	"47"	"4"	"26"	"109"	"59"	"5"	"1"	"3"	"0"	"4"	"27"	"4"	"4"	"1"	"2"	"7"	"3"	"2"	"7"	"315"	""	"315"	""
"112"	"69"	"33"	"2"	"9"	"119"	"31"	"1"	"0"	"2"	"3"	"1"	"23"	"0"	"2"	"1"	"1"	"3"	"1"	"0"	"1"	"233"	""	"233"	""
"113"	"70"	"100"	"21"	"7"	"13"	"312"	"8"	"3"	"5"	"3"	"2"	"11"	"6"	"11"	"3"	"4"	"10"	"4"	"0"	"0"	"523"	""	"523"	""
"114"	"71"	"7"	"2"	"0"	"91"	"74"	"0"	"0"	"0"	"1"	"0"	"11"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"190"	""	"190"	""
"115"	"72"	"16"	"86"	"7"	"52"	"61"	"2"	"1"	"0"	"0"	"0"	"5"	"1"	"3"	"0"	"1"	"3"	"1"	"0"	"0"	"239"	""	"239"	""
"116"	"73"	"24"	"4"	"2"	"103"	"79"	"6"	"0"	"1"	"2"	"7"	"39"	"2"	"10"	"2"	"2"	"5"	"7"	"7"	"10"	"312"	""	"312"	""
"117"	"74"	"73"	"9"	"4"	"101"	"121"	"12"	"1"	"6"	"3"	"5"	"64"	"12"	"12"	"8"	"7"	"38"	"4"	"2"	"4"	"486"	""	"486"	""
"118"	"75"	"11"	"38"	"3"	"112"	"148"	"7"	"2"	"6"	"5"	"3"	"51"	"6"	"8"	"4"	"2"	"6"	"4"	"2"	"5"	"423"	""	"423"	""
"119"	"76"	"22"	"104"	"5"	"93"	"36"	"4"	"2"	"5"	"5"	"4"	"29"	"5"	"11"	"1"	"1"	"7"	"2"	"7"	"3"	"346"	""	"346"	""
"120"	"77"	"80"	"7"	"3"	"146"	"59"	"8"	"4"	"5"	"4"	"0"	"79"	"6"	"11"	"7"	"2"	"13"	"3"	"4"	"10"	"451"	""	"451"	""
"121"	"78"	"39"	"3"	"0"	"2"	"88"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"3"	"1"	"1"	"0"	"145"	""	"145"	""
"122"	"79"	"53"	"4"	"0"	"73"	"225"	"9"	"1"	"1"	"1"	"0"	"21"	"1"	"6"	"1"	"0"	"2"	"0"	"2"	"5"	"405"	""	"405"	""
"123"	"80"	"210"	"1"	"1"	"31"	"7"	"0"	"0"	"0"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"261"	""	"261"	""
"124"	"81"	"43"	"2"	"0"	"369"	"147"	"12"	"1"	"2"	"0"	"1"	"35"	"0"	"7"	"5"	"4"	"6"	"4"	"1"	"6"	"645"	""	"645"	""
"125"	"82"	"127"	"5"	"3"	"336"	"14"	"7"	"2"	"2"	"0"	"0"	"43"	"1"	"7"	"0"	"0"	"5"	"2"	"0"	"0"	"554"	""	"554"	""
"126"	"83"	"182"	"9"	"2"	"162"	"62"	"2"	"0"	"0"	"1"	"3"	"23"	"1"	"3"	"1"	"1"	"9"	"3"	"0"	"1"	"465"	""	"465"	""
"127"	"84"	"56"	"98"	"10"	"132"	"2"	"6"	"0"	"1"	"3"	"2"	"40"	"4"	"3"	"1"	"5"	"1"	"2"	"2"	"2"	"370"	""	"370"	""
"128"	"85"	"125"	"102"	"2"	"73"	"2"	"0"	"0"	"2"	"0"	"0"	"10"	"4"	"4"	"2"	"8"	"7"	"0"	"2"	"2"	"345"	""	"345"	""
"129"	"86"	"41"	"2"	"1"	"80"	"1"	"1"	"0"	"0"	"2"	"0"	"11"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"142"	""	"142"	""
"130"	"87"	"85"	"10"	"1"	"7"	"230"	"5"	"0"	"3"	"0"	"1"	"2"	"0"	"4"	"0"	"1"	"3"	"1"	"1"	"0"	"354"	""	"354"	""
"131"	"88"	"111"	"33"	"31"	"117"	"34"	"4"	"1"	"2"	"3"	"0"	"46"	"5"	"9"	"1"	"2"	"7"	"6"	"1"	"4"	"417"	""	"417"	""
"132"	"Name of the Assembly Constituency :- 169- Sheikhpura                                                                                                                 No of Voters :- 200380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Candidate"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"134"	"s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"136"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"143"	"89"	"6"	"1"	"6"	"51"	"195"	"4"	"1"	"1"	"0"	"3"	"28"	"5"	"5"	"1"	"3"	"8"	"2"	"3"	"6"	"329"	""	"329"	""
"144"	"90"	"186"	"44"	"3"	"218"	"4"	"8"	"4"	"1"	"0"	"1"	"33"	"2"	"2"	"0"	"1"	"2"	"2"	"1"	"1"	"513"	""	"513"	""
"145"	"91"	"49"	"8"	"6"	"162"	"42"	"4"	"4"	"1"	"0"	"2"	"40"	"3"	"2"	"0"	"2"	"1"	"9"	"0"	"4"	"339"	""	"339"	""
"146"	"92"	"51"	"1"	"2"	"169"	"7"	"3"	"2"	"2"	"0"	"0"	"22"	"2"	"7"	"1"	"1"	"2"	"1"	"0"	"2"	"275"	""	"275"	""
"147"	"93"	"3"	"16"	"1"	"21"	"117"	"5"	"1"	"0"	"1"	"0"	"5"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"174"	""	"174"	""
"148"	"94"	"158"	"3"	"0"	"59"	"6"	"0"	"0"	"0"	"1"	"0"	"9"	"0"	"7"	"2"	"0"	"5"	"4"	"0"	"1"	"255"	""	"255"	""
