"Serial.No..of.Polling.Station"	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total.No..of.Tendered.votes"
"117"	"105"	24	6	230	140	3	2	6	14	14	10	12	"461"	""	""
"118"	"106"	7	1	67	161	4	3	4	15	7	7	7	"283"	""	""
"119"	"107"	16	0	76	234	9	4	7	19	12	4	10	"391"	""	""
"120"	"108"	10	2	124	119	2	1	6	1	6	2	7	"280"	""	""
"121"	"109"	8	3	80	102	3	7	5	13	2	10	6	"239"	""	""
"122"	"110"	7	5	92	125	6	0	5	15	5	9	9	"278"	""	""
"123"	"111"	8	4	55	204	7	1	5	15	6	4	4	"313"	""	""
"124"	"112"	3	1	131	88	9	2	4	4	12	11	6	"271"	""	""
"125"	"113"	8	2	97	109	4	0	3	1	6	3	5	"238"	""	""
"126"	"114"	12	9	174	194	4	1	5	5	3	4	2	"413"	""	""
"127"	"115"	32	9	228	212	5	4	11	13	16	9	16	"555"	""	""
"128"	"116"	8	4	145	273	4	6	2	7	6	6	7	"468"	""	""
"129"	"117"	17	1	70	418	11	3	5	29	3	2	4	"563"	""	""
"130"	"118"	20	6	163	127	5	6	7	15	10	15	25	"399"	""	""
"131"	"119"	23	4	123	241	7	4	7	23	6	11	19	"468"	""	""
"132"	"120"	19	5	158	175	12	7	3	7	6	11	7	"410"	""	""
"133"	"121"	29	4	244	143	15	7	9	15	25	12	17	"520"	""	""
"134"	"122"	24	9	84	367	7	3	7	28	11	5	10	"555"	""	""
"135"	"123"	7	0	610	46	1	0	1	2	2	7	1	"677"	""	""
"136"	"124"	9	2	142	200	6	2	5	6	7	2	7	"388"	""	""
"137"	"125"	17	4	125	49	5	4	4	4	3	2	2	"219"	""	""
"138"	"126"	9	5	199	115	4	2	1	5	7	5	4	"356"	""	""
"139"	"127"	7	1	82	462	13	3	6	18	8	13	34	"647"	""	""
"140"	"128"	14	1	187	187	22	3	4	5	12	10	8	"453"	""	""
"141"	"129"	73	6	118	152	8	5	11	11	5	5	17	"411"	""	""
"142"	"130"	19	3	206	282	17	5	9	8	9	13	15	"586"	""	""
"143"	"131"	3	2	510	28	34	3	4	1	2	2	2	"591"	""	""
"144"	"132"	9	3	105	76	154	1	6	7	5	7	6	"379"	""	""
"145"	"133"	9	3	185	185	7	3	10	11	11	7	18	"449"	""	""
"146"	"134"	13	4	190	124	12	3	6	4	19	10	18	"403"	""	""
"147"	"135"	5	0	33	178	7	1	1	7	2	0	6	"240"	""	""
"148"	"136"	20	6	129	185	9	6	4	5	5	3	2	"374"	""	""
"149"	"137"	11	4	477	40	0	1	0	3	8	3	4	"551"	""	""
"150"	"138"	4	1	79	71	4	1	0	2	1	2	0	"165"	""	""
"151"	"139"	14	3	95	279	11	10	12	23	7	2	14	"470"	""	""
"152"	"Serial No. of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total No. of Tendered votes"
"153"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""
"154"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
"155"	"140"	23	2	107	142	17	2	6	13	11	16	26	"365"	""	""
"156"	"140A"	21	4	100	100	37	0	10	9	9	18	10	"318"	""	""
"157"	"141"	18	4	216	144	7	6	3	14	15	5	11	"443"	""	""
"158"	"142"	113	10	224	171	38	9	9	19	18	17	47	"675"	""	""
"159"	"143"	16	1	277	15	6	0	1	3	4	3	11	"337"	""	""
"160"	"144"	8	0	37	143	3	1	2	10	2	3	6	"215"	""	""
"161"	"145"	40	6	204	138	7	3	4	7	10	13	15	"447"	""	""
"162"	"146"	77	13	53	208	8	0	7	13	6	11	27	"423"	""	""
"163"	"147"	22	9	95	182	5	4	3	11	4	8	9	"352"	""	""
"164"	"148"	45	5	172	59	13	2	4	4	20	20	31	"375"	""	""
"165"	"149"	41	6	157	71	5	2	2	4	4	4	7	"303"	""	""
"166"	"150"	216	9	64	117	18	5	1	3	2	6	7	"448"	""	""
"167"	"151"	173	5	137	71	47	8	5	6	10	6	26	"494"	""	""
"168"	"152"	25	7	170	236	124	2	6	14	18	8	20	"630"	""	""
"169"	"153"	16	1	66	365	18	3	3	6	12	5	23	"518"	""	""
"170"	"154"	24	4	235	261	16	4	7	21	17	7	25	"621"	""	""
"171"	"155"	12	3	123	284	9	3	3	11	2	1	3	"454"	""	""
"172"	"156"	20	2	198	100	9	4	1	9	15	5	14	"377"	""	""
"173"	"157"	10	0	202	77	5	1	0	6	5	3	4	"313"	""	""
"174"	"158"	9	5	84	111	5	2	4	3	1	0	1	"225"	""	""
"175"	"159"	5	6	82	117	4	0	1	3	0	4	3	"225"	""	""
"176"	"160"	28	5	45	279	10	3	10	9	7	5	7	"408"	""	""
"177"	"161"	62	5	153	164	9	7	10	18	25	14	21	"488"	""	""
"178"	"162"	35	10	222	153	10	6	4	7	11	7	7	"472"	""	""
"179"	"163"	6	1	140	29	2	2	1	4	5	2	3	"195"	""	""
"180"	"164"	6	5	218	47	14	1	2	2	3	3	4	"305"	""	""
"181"	"165"	10	6	133	122	17	6	6	14	8	2	4	"328"	""	""
"182"	"166"	13	3	105	47	7	2	2	1	0	2	1	"183"	""	""
"183"	"167"	13	0	52	146	6	2	1	14	3	1	3	"241"	""	""
"184"	"168"	13	11	144	72	25	1	2	6	4	6	1	"285"	""	""
"185"	"169"	6	1	142	115	4	3	4	13	20	10	21	"339"	""	""
"186"	"170"	6	3	102	217	11	2	8	16	4	8	15	"392"	""	""
"187"	"171"	23	7	336	238	10	7	1	5	17	8	8	"660"	""	""
"188"	"172"	19	5	270	110	3	1	8	9	12	13	11	"461"	""	""
"189"	"173"	5	3	196	54	7	6	3	8	30	19	16	"347"	""	""
"190"	"Serial No. of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total No. of Tendered votes"
"191"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""
"192"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
"193"	"174"	19	4	184	72	4	5	6	5	11	14	19	"343"	""	""
"194"	"175"	7	4	333	56	5	2	2	4	2	4	2	"421"	""	""
"195"	"176"	4	0	293	39	2	0	1	0	3	1	1	"344"	""	""
"196"	"177"	6	2	104	290	4	1	4	7	3	1	5	"427"	""	""
"197"	"178"	2	1	403	20	1	0	1	1	0	1	0	"430"	""	""
"198"	"179"	45	0	40	262	4	0	0	2	0	0	0	"353"	""	""
"199"	"180"	18	5	135	190	9	7	9	12	10	8	8	"411"	""	""
"200"	"181"	16	4	128	223	5	2	4	6	6	3	5	"402"	""	""
"201"	"182"	7	0	109	182	13	3	2	2	1	1	0	"320"	""	""
"202"	"183"	16	6	103	173	12	9	2	8	16	17	16	"378"	""	""
"203"	"184"	9	1	287	123	10	2	4	8	17	12	25	"498"	""	""
"204"	"185"	46	7	269	220	22	7	13	10	7	9	32	"642"	""	""
"205"	"186"	14	6	237	32	26	3	1	3	15	5	9	"351"	""	""
"206"	"187"	10	0	82	154	5	0	1	3	1	6	3	"265"	""	""
"207"	"188"	22	4	192	159	74	6	5	7	13	15	6	"503"	""	""
"208"	"189"	5	0	128	92	7	0	3	2	1	1	1	"240"	""	""
"209"	"190"	49	6	158	95	3	1	4	1	2	1	1	"321"	""	""
"210"	"191"	18	0	67	334	10	1	8	12	2	9	13	"474"	""	""
"211"	"192"	11	9	309	65	8	5	5	4	9	6	16	"447"	""	""
"212"	"193"	15	1	402	95	5	1	6	1	4	3	8	"541"	""	""
"213"	"194"	27	7	223	120	15	7	4	14	25	9	23	"474"	""	""
"214"	"195"	45	6	238	180	8	5	2	3	8	5	22	"522"	""	""
"215"	"196"	7	1	102	217	6	0	2	11	9	4	15	"374"	""	""
"216"	"197"	7	5	80	316	6	3	1	7	1	2	4	"432"	""	""
"217"	"198"	12	5	193	247	8	1	8	26	12	9	11	"532"	""	""
"218"	"199"	7	11	114	184	7	3	9	17	14	11	34	"411"	""	""
"219"	"200"	15	6	248	183	5	1	4	5	9	6	13	"495"	""	""
"220"	"201"	15	1	37	211	14	1	2	12	4	4	3	"304"	""	""
"221"	"202"	4	3	75	157	8	1	4	7	1	3	2	"265"	""	""
"222"	"203"	2	0	145	38	18	1	0	0	2	1	1	"208"	""	""
"223"	"204"	12	2	73	113	61	2	2	5	3	1	1	"275"	""	""
"224"	"205"	38	4	296	128	9	8	3	7	16	12	15	"536"	""	""
"225"	"206"	10	1	76	208	3	2	1	5	3	2	1	"312"	""	""
"226"	"207"	25	1	100	95	5	3	1	7	2	5	3	"247"	""	""
"227"	"208"	28	4	157	215	7	3	2	11	11	2	5	"445"	""	""
"228"	"Serial No. of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total No. of Tendered votes"
"229"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""
"230"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
"231"	"209"	13	1	311	256	6	1	2	13	10	5	12	"630"	""	""
"232"	"210"	13	11	88	141	5	3	3	8	9	13	20	"314"	""	""
"233"	"211"	29	5	402	52	12	4	6	3	8	4	1	"526"	""	""
"234"	"212"	17	10	98	380	16	3	13	27	12	17	17	"610"	""	""
"235"	"213"	14	1	141	518	6	0	5	12	3	4	7	"711"	""	""
"236"	"214"	9	2	89	263	4	4	2	8	1	3	4	"389"	""	""
"237"	"215"	11	3	218	188	9	3	8	13	4	1	7	"465"	""	""
"238"	"216"	8	1	34	548	8	0	1	1	0	1	0	"602"	""	""
"239"	"217"	2	0	10	369	2	1	0	0	0	2	4	"390"	""	""
"240"	"218"	28	10	103	186	32	6	10	21	10	5	7	"418"	""	""
"241"	"219"	9	0	131	171	19	4	4	15	10	10	7	"380"	""	""
"242"	"220"	10	3	94	327	17	1	4	16	4	0	6	"482"	""	""
"243"	"221"	9	3	258	67	4	2	1	3	1	1	1	"350"	""	""
"244"	"222"	25	6	265	212	8	4	6	9	7	16	17	"575"	""	""
"245"	"223"	21	5	497	89	12	0	4	3	16	7	12	"666"	""	""
"246"	"224"	11	1	179	214	6	4	2	8	3	2	10	"440"	""	""
"247"	"225"	15	3	137	374	15	9	14	31	14	11	40	"663"	""	""
"248"	"226"	10	3	29	248	3	1	1	7	2	3	8	"315"	""	""
"249"	"227"	12	1	29	167	2	4	6	12	3	4	18	"258"	""	""
"250"	"228"	24	3	99	255	8	4	4	4	6	7	4	"418"	""	""
"251"	"229"	18	4	258	124	5	3	6	8	10	7	12	"455"	""	""
"252"	"230"	10	8	90	279	12	7	5	19	7	4	9	"450"	""	""
"253"	"231"	20	2	146	193	6	10	5	8	8	11	16	"425"	""	""
"254"	"232"	25	11	65	276	6	7	4	3	4	4	7	"412"	""	""
"255"	"233"	14	8	182	193	10	1	8	11	10	2	17	"456"	""	""
"256"	"234"	62	15	304	104	14	11	4	15	17	16	41	"603"	""	""
"257"	"235"	24	6	71	205	4	1	2	16	7	2	12	"350"	""	""
"258"	"236"	20	6	84	279	14	7	9	19	11	12	19	"480"	""	""
"259"	"237"	14	3	76	253	5	4	12	4	8	11	24	"414"	""	""
"260"	"238"	0	1	15	340	3	1	1	0	0	0	0	"361"	""	""
"261"	"239"	14	15	13	203	8	9	10	20	4	8	45	"349"	""	""
"262"	"240"	17	3	232	148	11	5	4	9	14	10	9	"462"	""	""
"263"	"Total:"	4262	1027	42603	42966	2966	817	1178	2480	2050	1608	2606	"104563"	""	""
"264"	"Serial No. of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total No. of Tendered votes"
"265"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""
"266"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
"267"	"Date :-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
"268"	"Place :-                                                                                                                                                                                                                                                                  Assistant Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
"269"	"Assembly Constituency :124---Lalganj"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
