"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"16"	"162"	"11"	"135"	"126"	"66"	"11"	"5"	"4"	"3"	"2"	"7"	"2"	"37"	"5"	"8"	"76"	"24"	"15"	"526"	"NIL"
"17"	"162"	"12"	"91"	"149"	"30"	"25"	"9"	"1"	"4"	"3"	"3"	"1"	"13"	"6"	"8"	"138"	"43"	"32"	"556"	"NIL"
"18"	"162"	"13"	"32"	"256"	"10"	"10"	"1"	"2"	"1"	"0"	"1"	"1"	"1"	"2"	"2"	"24"	"11"	"11"	"365"	"NIL"
"19"	"162"	"14"	"48"	"312"	"35"	"5"	"3"	"4"	"4"	"2"	"4"	"3"	"4"	"2"	"2"	"37"	"15"	"10"	"490"	"NIL"
"20"	"162"	"15"	"28"	"342"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"16"	"3"	"2"	"393"	"NIL"
"21"	"162"	"16"	"40"	"71"	"75"	"2"	"3"	"3"	"0"	"0"	"2"	"2"	"41"	"2"	"11"	"137"	"27"	"16"	"432"	"NIL"
"22"	"162"	"17"	"18"	"105"	"42"	"2"	"0"	"3"	"2"	"0"	"0"	"1"	"8"	"1"	"5"	"104"	"17"	"8"	"316"	"NIL"
"23"	"162"	"18"	"14"	"152"	"13"	"8"	"0"	"1"	"1"	"1"	"1"	"2"	"4"	"2"	"6"	"103"	"20"	"7"	"335"	"NIL"
"24"	"162"	"19"	"23"	"267"	"33"	"24"	"3"	"6"	"2"	"1"	"3"	"3"	"10"	"6"	"4"	"104"	"21"	"11"	"521"	"NIL"
"25"	"162"	"20"	"94"	"288"	"32"	"6"	"37"	"4"	"3"	"6"	"2"	"3"	"11"	"5"	"8"	"168"	"50"	"30"	"747"	"NIL"
"26"	"162"	"21"	"23"	"153"	"56"	"2"	"2"	"0"	"1"	"0"	"1"	"1"	"15"	"2"	"6"	"99"	"20"	"16"	"397"	"NIL"
"27"	"162"	"22"	"23"	"149"	"36"	"4"	"2"	"3"	"1"	"3"	"1"	"1"	"13"	"0"	"4"	"92"	"17"	"4"	"353"	"NIL"
"28"	"162"	"23"	"24"	"296"	"11"	"5"	"3"	"2"	"3"	"2"	"8"	"4"	"2"	"3"	"4"	"94"	"26"	"32"	"519"	"NIL"
"29"	"162"	"24"	"54"	"343"	"19"	"5"	"10"	"2"	"3"	"0"	"0"	"1"	"2"	"2"	"6"	"53"	"23"	"18"	"541"	"NIL"
"30"	"162"	"25"	"64"	"69"	"32"	"1"	"3"	"3"	"1"	"2"	"0"	"1"	"11"	"2"	"16"	"220"	"42"	"14"	"481"	"NIL"
"31"	"162"	"26"	"9"	"19"	"27"	"77"	"4"	"6"	"1"	"1"	"1"	"1"	"10"	"2"	"20"	"223"	"22"	"16"	"439"	"NIL"
"32"	"162"	"27"	"7"	"10"	"34"	"0"	"6"	"1"	"0"	"2"	"0"	"0"	"21"	"1"	"6"	"250"	"21"	"0"	"359"	"NIL"
"33"	"162"	"28"	"23"	"45"	"12"	"4"	"13"	"2"	"0"	"1"	"3"	"1"	"4"	"1"	"29"	"148"	"44"	"173"	"503"	"NIL"
"34"	"162"	"29"	"52"	"193"	"27"	"4"	"9"	"1"	"2"	"2"	"0"	"2"	"4"	"5"	"6"	"29"	"12"	"19"	"367"	"NIL"
"35"	"162"	"30"	"28"	"132"	"23"	"2"	"5"	"1"	"1"	"0"	"2"	"0"	"4"	"1"	"3"	"96"	"10"	"5"	"313"	"NIL"
"36"	"162"	"31"	"46"	"40"	"9"	"2"	"2"	"1"	"1"	"0"	"0"	"2"	"2"	"2"	"6"	"139"	"26"	"9"	"287"	"NIL"
"37"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"38"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"39"	"162"	"32"	"72"	"245"	"13"	"4"	"3"	"1"	"2"	"1"	"3"	"2"	"4"	"2"	"2"	"23"	"32"	"36"	"445"	"NIL"
"40"	"162"	"33"	"60"	"27"	"10"	"0"	"2"	"2"	"1"	"0"	"4"	"1"	"3"	"3"	"11"	"211"	"45"	"115"	"495"	"NIL"
"41"	"162"	"34"	"18"	"155"	"8"	"3"	"1"	"0"	"0"	"1"	"0"	"2"	"2"	"4"	"5"	"116"	"32"	"18"	"365"	"NIL"
"42"	"162"	"35"	"51"	"87"	"9"	"24"	"0"	"3"	"1"	"3"	"3"	"1"	"7"	"2"	"9"	"44"	"18"	"29"	"291"	"NIL"
"43"	"162"	"36"	"94"	"156"	"30"	"5"	"0"	"1"	"2"	"1"	"2"	"0"	"10"	"4"	"2"	"90"	"27"	"14"	"438"	"NIL"
"44"	"162"	"37"	"71"	"122"	"54"	"5"	"4"	"6"	"4"	"1"	"4"	"4"	"15"	"5"	"11"	"143"	"37"	"15"	"501"	"NIL"
"45"	"162"	"38"	"36"	"330"	"16"	"2"	"1"	"2"	"1"	"0"	"1"	"1"	"6"	"1"	"7"	"102"	"29"	"22"	"557"	"NIL"
"46"	"162"	"39"	"17"	"43"	"10"	"3"	"29"	"1"	"1"	"2"	"1"	"3"	"4"	"2"	"8"	"219"	"26"	"12"	"381"	"NIL"
"47"	"162"	"40"	"65"	"205"	"49"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"12"	"3"	"2"	"29"	"13"	"10"	"394"	"NIL"
"48"	"162"	"41"	"55"	"124"	"12"	"12"	"4"	"3"	"6"	"2"	"0"	"1"	"9"	"5"	"8"	"119"	"67"	"129"	"556"	"NIL"
"49"	"162"	"42"	"14"	"160"	"14"	"9"	"2"	"2"	"1"	"0"	"1"	"1"	"4"	"4"	"3"	"106"	"26"	"8"	"355"	"NIL"
"50"	"162"	"43"	"25"	"199"	"18"	"3"	"3"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"3"	"117"	"31"	"10"	"414"	"NIL"
"51"	"162"	"44"	"17"	"194"	"75"	"8"	"1"	"4"	"1"	"2"	"3"	"2"	"18"	"3"	"6"	"206"	"38"	"17"	"595"	"NIL"
"52"	"162"	"45"	"26"	"152"	"36"	"4"	"2"	"1"	"3"	"2"	"3"	"2"	"7"	"5"	"6"	"121"	"24"	"18"	"412"	"NIL"
"53"	"162"	"46"	"21"	"166"	"44"	"23"	"2"	"2"	"1"	"0"	"3"	"1"	"21"	"3"	"7"	"30"	"20"	"21"	"365"	"NIL"
"54"	"162"	"47"	"58"	"31"	"92"	"2"	"2"	"3"	"2"	"0"	"1"	"3"	"19"	"1"	"3"	"110"	"13"	"50"	"390"	"NIL"
"55"	"162"	"48"	"92"	"53"	"128"	"23"	"5"	"2"	"2"	"0"	"2"	"1"	"37"	"8"	"9"	"98"	"17"	"17"	"494"	"NIL"
"56"	"162"	"49"	"95"	"54"	"11"	"9"	"1"	"0"	"2"	"1"	"0"	"4"	"2"	"2"	"14"	"254"	"21"	"95"	"565"	"NIL"
"57"	"162"	"50"	"54"	"99"	"94"	"7"	"9"	"4"	"2"	"1"	"5"	"6"	"53"	"10"	"13"	"213"	"38"	"43"	"651"	"NIL"
"58"	"162"	"51"	"25"	"62"	"159"	"3"	"6"	"6"	"2"	"4"	"3"	"0"	"41"	"2"	"2"	"266"	"22"	"8"	"611"	"NIL"
"59"	"162"	"52"	"36"	"38"	"79"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"17"	"1"	"6"	"222"	"20"	"7"	"432"	"NIL"
"60"	"162"	"53"	"15"	"20"	"129"	"48"	"4"	"4"	"6"	"1"	"2"	"5"	"49"	"6"	"13"	"318"	"48"	"22"	"690"	"NIL"
"61"	"162"	"54"	"23"	"51"	"28"	"0"	"0"	"3"	"3"	"1"	"2"	"3"	"19"	"2"	"7"	"312"	"24"	"12"	"490"	"NIL"
"62"	"162"	"55"	"26"	"27"	"61"	"4"	"7"	"1"	"1"	"1"	"0"	"1"	"34"	"5"	"11"	"379"	"38"	"18"	"614"	"NIL"
"63"	"162"	"56"	"39"	"36"	"23"	"170"	"6"	"4"	"2"	"2"	"2"	"4"	"9"	"8"	"15"	"143"	"28"	"26"	"517"	"NIL"
"64"	"162"	"57"	"9"	"41"	"40"	"80"	"3"	"1"	"3"	"0"	"0"	"0"	"15"	"3"	"5"	"89"	"14"	"4"	"307"	"NIL"
"65"	"162"	"58"	"34"	"186"	"21"	"16"	"1"	"2"	"1"	"0"	"4"	"1"	"8"	"3"	"4"	"55"	"20"	"19"	"375"	"NIL"
"66"	"162"	"59"	"50"	"130"	"54"	"5"	"3"	"6"	"2"	"2"	"3"	"0"	"25"	"2"	"8"	"254"	"70"	"25"	"639"	"NIL"
"67"	"162"	"60"	"20"	"154"	"42"	"74"	"2"	"4"	"6"	"2"	"4"	"6"	"23"	"12"	"13"	"125"	"53"	"32"	"572"	"NIL"
"68"	"162"	"61"	"34"	"304"	"18"	"7"	"0"	"2"	"0"	"0"	"3"	"0"	"2"	"0"	"2"	"34"	"6"	"1"	"413"	"NIL"
"69"	"162"	"62"	"55"	"91"	"19"	"20"	"2"	"2"	"0"	"1"	"1"	"0"	"4"	"4"	"5"	"82"	"32"	"20"	"338"	"NIL"
"70"	"162"	"63"	"10"	"177"	"12"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"32"	"3"	"1"	"241"	"NIL"
"71"	"162"	"64"	"88"	"139"	"52"	"3"	"1"	"3"	"1"	"1"	"3"	"0"	"12"	"3"	"4"	"80"	"17"	"17"	"424"	"NIL"
"72"	"162"	"65"	"121"	"84"	"30"	"3"	"6"	"0"	"0"	"3"	"2"	"4"	"22"	"4"	"5"	"56"	"28"	"24"	"392"	"NIL"
"73"	"162"	"66"	"68"	"85"	"13"	"2"	"3"	"2"	"5"	"0"	"2"	"2"	"4"	"2"	"8"	"176"	"31"	"17"	"420"	"NIL"
"74"	"162"	"67"	"257"	"164"	"12"	"3"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"18"	"3"	"11"	"475"	"NIL"
"75"	"162"	"68"	"238"	"81"	"32"	"10"	"8"	"0"	"2"	"2"	"1"	"3"	"6"	"1"	"9"	"155"	"22"	"31"	"601"	"NIL"
"76"	"162"	"69"	"110"	"42"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"6"	"12"	"180"	"NIL"
"77"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"78"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"79"	"162"	"70"	"69"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"2"	"89"	"22"	"41"	"241"	"NIL"
"80"	"162"	"71"	"184"	"107"	"13"	"4"	"3"	"2"	"1"	"2"	"3"	"0"	"2"	"1"	"2"	"63"	"10"	"17"	"414"	"NIL"
"81"	"162"	"72"	"80"	"29"	"25"	"2"	"5"	"6"	"1"	"1"	"2"	"1"	"4"	"4"	"8"	"305"	"37"	"13"	"523"	"NIL"
"82"	"162"	"73"	"86"	"26"	"3"	"1"	"6"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"2"	"164"	"26"	"32"	"351"	"NIL"
"83"	"162"	"74"	"12"	"33"	"99"	"0"	"0"	"2"	"1"	"2"	"0"	"4"	"81"	"3"	"4"	"75"	"10"	"4"	"330"	"NIL"
"84"	"162"	"75"	"189"	"259"	"11"	"5"	"5"	"9"	"6"	"1"	"3"	"1"	"3"	"2"	"6"	"98"	"29"	"16"	"643"	"NIL"
"85"	"162"	"76"	"68"	"45"	"88"	"2"	"2"	"2"	"2"	"3"	"2"	"2"	"19"	"1"	"4"	"59"	"14"	"16"	"329"	"NIL"
"86"	"162"	"77"	"108"	"142"	"15"	"3"	"7"	"3"	"0"	"1"	"7"	"1"	"0"	"0"	"1"	"18"	"14"	"1"	"321"	"NIL"
"87"	"162"	"78"	"77"	"184"	"88"	"7"	"2"	"1"	"2"	"3"	"5"	"2"	"31"	"8"	"5"	"29"	"20"	"30"	"494"	"NIL"
"88"	"162"	"79"	"207"	"115"	"19"	"5"	"5"	"2"	"2"	"4"	"4"	"0"	"17"	"5"	"8"	"106"	"33"	"33"	"565"	"NIL"
"89"	"162"	"80"	"97"	"151"	"7"	"4"	"2"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"7"	"5"	"282"	"NIL"
"90"	"162"	"81"	"69"	"133"	"9"	"3"	"2"	"4"	"0"	"2"	"1"	"0"	"1"	"0"	"3"	"27"	"11"	"8"	"273"	"NIL"
"91"	"162"	"82"	"32"	"147"	"62"	"6"	"3"	"1"	"1"	"1"	"1"	"0"	"12"	"4"	"5"	"86"	"16"	"6"	"383"	"NIL"
"92"	"162"	"83"	"108"	"86"	"27"	"3"	"5"	"5"	"0"	"0"	"2"	"1"	"3"	"2"	"5"	"39"	"15"	"10"	"311"	"NIL"
"93"	"162"	"84"	"125"	"83"	"46"	"3"	"3"	"1"	"1"	"0"	"1"	"1"	"21"	"2"	"3"	"27"	"11"	"17"	"345"	"NIL"
"94"	"162"	"85"	"63"	"30"	"2"	"2"	"5"	"2"	"3"	"0"	"0"	"4"	"0"	"3"	"2"	"127"	"33"	"66"	"342"	"NIL"
"95"	"162"	"86"	"44"	"70"	"48"	"2"	"4"	"2"	"0"	"0"	"2"	"3"	"11"	"2"	"3"	"130"	"15"	"5"	"341"	"NIL"
"96"	"162"	"87"	"136"	"67"	"7"	"2"	"3"	"3"	"1"	"3"	"0"	"0"	"2"	"1"	"1"	"86"	"17"	"8"	"337"	"NIL"
"97"	"162"	"88"	"90"	"29"	"13"	"4"	"3"	"6"	"1"	"1"	"2"	"2"	"22"	"2"	"10"	"139"	"35"	"11"	"370"	"NIL"
"98"	"162"	"89"	"85"	"68"	"9"	"1"	"6"	"2"	"1"	"1"	"1"	"2"	"7"	"3"	"1"	"36"	"8"	"5"	"236"	"NIL"
"99"	"162"	"90"	"137"	"169"	"14"	"6"	"14"	"3"	"1"	"2"	"1"	"1"	"1"	"0"	"4"	"80"	"21"	"8"	"462"	"NIL"
"100"	"162"	"91"	"105"	"208"	"13"	"4"	"1"	"2"	"1"	"1"	"1"	"0"	"3"	"1"	"8"	"41"	"20"	"25"	"434"	"NIL"
"101"	"162"	"92"	"69"	"65"	"5"	"4"	"3"	"3"	"1"	"1"	"2"	"1"	"6"	"4"	"6"	"50"	"14"	"53"	"287"	"NIL"
"102"	"162"	"93"	"172"	"41"	"61"	"20"	"9"	"16"	"3"	"1"	"3"	"2"	"41"	"2"	"1"	"104"	"29"	"11"	"516"	"NIL"
"103"	"162"	"94"	"115"	"61"	"52"	"1"	"9"	"11"	"3"	"0"	"3"	"1"	"32"	"2"	"3"	"68"	"16"	"7"	"384"	"NIL"
"104"	"162"	"95"	"100"	"22"	"45"	"0"	"10"	"2"	"0"	"1"	"1"	"0"	"12"	"2"	"2"	"108"	"19"	"41"	"365"	"NIL"
"105"	"162"	"96"	"140"	"99"	"48"	"3"	"7"	"4"	"3"	"2"	"2"	"5"	"30"	"2"	"1"	"50"	"29"	"15"	"440"	"NIL"
"106"	"162"	"97"	"84"	"124"	"78"	"5"	"10"	"2"	"1"	"0"	"3"	"0"	"25"	"2"	"2"	"64"	"19"	"11"	"430"	"NIL"
"107"	"162"	"98"	"51"	"182"	"73"	"5"	"5"	"3"	"2"	"1"	"2"	"3"	"20"	"4"	"28"	"150"	"32"	"13"	"574"	"NIL"
"108"	"162"	"99"	"115"	"108"	"45"	"3"	"11"	"4"	"1"	"1"	"3"	"1"	"12"	"2"	"5"	"182"	"20"	"10"	"523"	"NIL"
"109"	"162"	"100"	"207"	"104"	"26"	"10"	"6"	"3"	"1"	"3"	"2"	"1"	"20"	"1"	"6"	"184"	"21"	"13"	"608"	"NIL"
"110"	"162"	"101"	"30"	"186"	"18"	"6"	"5"	"4"	"1"	"0"	"2"	"1"	"5"	"3"	"9"	"147"	"57"	"27"	"501"	"NIL"
"111"	"162"	"102"	"4"	"140"	"32"	"4"	"19"	"0"	"0"	"2"	"0"	"1"	"16"	"1"	"1"	"76"	"8"	"9"	"313"	"NIL"
"112"	"162"	"103"	"48"	"124"	"9"	"30"	"17"	"3"	"1"	"0"	"4"	"1"	"3"	"2"	"2"	"46"	"18"	"53"	"361"	"NIL"
"113"	"162"	"104"	"34"	"802"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"850"	"NIL"
"114"	"162"	"105"	"16"	"30"	"34"	"3"	"9"	"3"	"2"	"0"	"1"	"4"	"7"	"8"	"9"	"390"	"31"	"22"	"569"	"NIL"
"115"	"162"	"106"	"12"	"94"	"10"	"3"	"3"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"9"	"215"	"30"	"145"	"528"	"NIL"
"116"	"162"	"107"	"8"	"73"	"11"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"11"	"3"	"6"	"179"	"35"	"14"	"344"	"NIL"
"117"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"118"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"119"	"162"	"108"	"5"	"79"	"17"	"2"	"2"	"2"	"0"	"0"	"0"	"1"	"18"	"0"	"3"	"196"	"20"	"1"	"346"	"NIL"
"120"	"162"	"109"	"15"	"137"	"103"	"2"	"23"	"5"	"6"	"2"	"2"	"0"	"37"	"3"	"21"	"416"	"28"	"7"	"807"	"NIL"
"121"	"162"	"110"	"6"	"73"	"21"	"34"	"0"	"2"	"1"	"0"	"0"	"2"	"14"	"0"	"10"	"284"	"37"	"8"	"492"	"NIL"
"122"	"162"	"111"	"24"	"284"	"13"	"4"	"3"	"3"	"2"	"1"	"3"	"1"	"1"	"2"	"14"	"226"	"32"	"4"	"617"	"NIL"
"123"	"162"	"112"	"113"	"86"	"2"	"2"	"8"	"1"	"1"	"1"	"0"	"0"	"2"	"1"	"14"	"399"	"47"	"149"	"826"	"NIL"
"124"	"162"	"113"	"28"	"67"	"44"	"1"	"23"	"2"	"0"	"1"	"4"	"5"	"28"	"7"	"12"	"182"	"23"	"44"	"471"	"NIL"
"125"	"162"	"114"	"36"	"256"	"13"	"2"	"14"	"3"	"1"	"0"	"1"	"0"	"2"	"1"	"4"	"63"	"9"	"10"	"415"	"NIL"
"126"	"162"	"115"	"9"	"59"	"39"	"0"	"7"	"1"	"1"	"1"	"0"	"3"	"10"	"1"	"6"	"311"	"33"	"3"	"484"	"NIL"
"127"	"162"	"116"	"11"	"126"	"60"	"1"	"41"	"4"	"1"	"0"	"2"	"2"	"13"	"2"	"6"	"273"	"38"	"8"	"588"	"NIL"
"128"	"162"	"117"	"11"	"22"	"79"	"2"	"9"	"0"	"1"	"1"	"0"	"0"	"24"	"2"	"10"	"411"	"32"	"48"	"652"	"NIL"
"129"	"162"	"118"	"9"	"25"	"33"	"3"	"6"	"3"	"1"	"2"	"0"	"3"	"12"	"2"	"3"	"229"	"24"	"10"	"365"	"NIL"
"130"	"162"	"119"	"17"	"7"	"14"	"0"	"6"	"0"	"0"	"0"	"0"	"1"	"4"	"1"	"7"	"173"	"25"	"170"	"425"	"NIL"
"131"	"162"	"120"	"29"	"18"	"49"	"10"	"10"	"6"	"0"	"1"	"1"	"0"	"22"	"2"	"10"	"429"	"46"	"18"	"651"	"NIL"
"132"	"162"	"121"	"10"	"39"	"63"	"0"	"6"	"1"	"2"	"1"	"3"	"3"	"26"	"2"	"7"	"278"	"32"	"10"	"483"	"NIL"
"133"	"162"	"122"	"25"	"20"	"32"	"4"	"2"	"3"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"213"	"17"	"38"	"362"	"NIL"
"134"	"162"	"123"	"70"	"21"	"35"	"3"	"1"	"2"	"1"	"5"	"4"	"1"	"10"	"2"	"4"	"68"	"5"	"6"	"238"	"NIL"
"135"	"162"	"124"	"11"	"112"	"60"	"3"	"7"	"2"	"2"	"1"	"0"	"2"	"27"	"5"	"9"	"476"	"65"	"21"	"803"	"NIL"
"136"	"162"	"125"	"4"	"9"	"61"	"2"	"2"	"2"	"2"	"1"	"2"	"0"	"19"	"2"	"2"	"268"	"29"	"5"	"410"	"NIL"
"137"	"162"	"126"	"49"	"54"	"110"	"2"	"27"	"5"	"0"	"4"	"1"	"0"	"18"	"2"	"4"	"148"	"35"	"1"	"460"	"NIL"
"138"	"162"	"127"	"1"	"4"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"5"	"192"	"9"	"1"	"241"	"NIL"
"139"	"162"	"128"	"45"	"50"	"103"	"1"	"4"	"2"	"1"	"18"	"2"	"1"	"25"	"4"	"4"	"224"	"33"	"93"	"610"	"NIL"
"140"	"162"	"129"	"25"	"45"	"31"	"11"	"8"	"3"	"2"	"1"	"1"	"2"	"16"	"3"	"10"	"223"	"44"	"18"	"443"	"NIL"
"141"	"162"	"130"	"4"	"4"	"12"	"3"	"20"	"1"	"0"	"1"	"0"	"1"	"3"	"0"	"39"	"272"	"24"	"8"	"392"	"NIL"
"142"	"162"	"131"	"32"	"28"	"30"	"3"	"15"	"1"	"1"	"1"	"3"	"1"	"10"	"3"	"15"	"385"	"27"	"13"	"568"	"NIL"
"143"	"162"	"132"	"67"	"149"	"23"	"3"	"58"	"6"	"6"	"3"	"3"	"3"	"7"	"3"	"9"	"112"	"34"	"22"	"508"	"NIL"
"144"	"162"	"133"	"27"	"27"	"11"	"3"	"4"	"2"	"2"	"0"	"0"	"0"	"5"	"1"	"3"	"177"	"44"	"117"	"423"	"NIL"
"145"	"162"	"134"	"14"	"36"	"51"	"1"	"6"	"3"	"2"	"0"	"0"	"0"	"8"	"0"	"13"	"182"	"16"	"3"	"335"	"NIL"
"146"	"162"	"135"	"63"	"28"	"26"	"2"	"11"	"4"	"1"	"2"	"1"	"1"	"10"	"5"	"11"	"289"	"33"	"10"	"497"	"NIL"
"147"	"162"	"136"	"102"	"45"	"5"	"4"	"20"	"1"	"4"	"0"	"2"	"2"	"2"	"2"	"3"	"176"	"29"	"9"	"406"	"NIL"
"148"	"162"	"137"	"58"	"70"	"33"	"13"	"9"	"4"	"1"	"2"	"0"	"1"	"7"	"0"	"6"	"83"	"12"	"7"	"306"	"NIL"
"149"	"162"	"138"	"152"	"78"	"13"	"5"	"109"	"2"	"2"	"0"	"2"	"0"	"6"	"13"	"4"	"20"	"4"	"6"	"416"	"NIL"
"150"	"162"	"139"	"15"	"23"	"5"	"2"	"2"	"2"	"0"	"0"	"0"	"1"	"4"	"1"	"3"	"197"	"30"	"13"	"298"	"NIL"
