"TOTAL.NO.OF.ELECTORS.IN.96.BARURAJ.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"43"	38	"80"	"260"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"3"	"5"	"0"	"353"	""	""	""
"44"	39	"289"	"78"	"6"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"2"	"379"	""	""	""
"45"	40	"171"	"29"	"1"	"4"	"1"	"1"	"1"	"0"	"0"	"2"	"5"	"6"	"221"	""	""	""
"46"	41	"169"	"238"	"9"	"7"	"1"	"1"	"1"	"1"	"1"	"4"	"5"	"12"	"449"	""	""	""
"47"	42	"201"	"34"	"3"	"7"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"7"	"258"	""	""	""
"48"	43	"290"	"123"	"5"	"3"	"3"	"0"	"1"	"1"	"4"	"8"	"2"	"20"	"460"	""	""	""
"49"	44	"509"	"24"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"538"	""	""	""
"50"	45	"292"	"228"	"3"	"8"	"1"	"3"	"2"	"3"	"3"	"18"	"16"	"36"	"613"	""	""	""
"51"	46	"376"	"43"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"5"	"0"	"29"	"459"	""	""	""
"52"	47	"276"	"201"	"15"	"7"	"3"	"2"	"0"	"1"	"7"	"6"	"12"	"30"	"560"	""	""	""
"53"	48	"194"	"109"	"10"	"5"	"6"	"1"	"2"	"0"	"5"	"2"	"2"	"11"	"347"	""	""	""
"54"	49	"189"	"142"	"8"	"3"	"4"	"0"	"2"	"0"	"1"	"1"	"3"	"6"	"359"	""	""	""
"55"	50	"277"	"242"	"16"	"7"	"9"	"7"	"6"	"3"	"4"	"5"	"10"	"15"	"601"	""	""	""
"56"	51	"185"	"68"	"21"	"7"	"0"	"0"	"0"	"1"	"3"	"6"	"3"	"9"	"303"	""	""	""
"57"	52	"111"	"435"	"54"	"8"	"5"	"3"	"4"	"2"	"1"	"8"	"7"	"7"	"645"	""	""	""
"58"	53	"196"	"140"	"44"	"7"	"5"	"2"	"1"	"0"	"3"	"11"	"8"	"9"	"426"	""	""	""
"59"	54	"32"	"215"	"4"	"3"	"2"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"260"	""	""	""
"60"	55	"156"	"114"	"12"	"3"	"0"	"2"	"2"	"2"	"2"	"4"	"2"	"12"	"311"	""	""	""
"61"	56	"177"	"163"	"56"	"6"	"4"	"7"	"3"	"3"	"2"	"6"	"5"	"25"	"457"	""	""	""
"62"	57	"170"	"196"	"5"	"4"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"9"	"389"	""	""	""
"63"	58	"37"	"157"	"2"	"4"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"205"	""	""	""
"64"	59	"231"	"316"	"9"	"15"	"2"	"0"	"2"	"3"	"1"	"13"	"12"	"30"	"634"	""	""	""
"65"	60	"278"	"184"	"5"	"7"	"8"	"1"	"2"	"1"	"0"	"1"	"1"	"7"	"495"	""	""	""
"66"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	203859	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"69"	61	"232"	"239"	"10"	"2"	"5"	"1"	"1"	"0"	"3"	"5"	"11"	"13"	"522"	""	""	""
"70"	62	"68"	"182"	"3"	"2"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"3"	"265"	""	""	""
"71"	63	"123"	"46"	"8"	"5"	"1"	"1"	"1"	"0"	"0"	"9"	"2"	"17"	"213"	""	""	""
"72"	64	"209"	"53"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"274"	""	""	""
"73"	65	"253"	"175"	"34"	"55"	"5"	"2"	"1"	"2"	"1"	"6"	"9"	"17"	"560"	""	""	""
"74"	66	"150"	"210"	"6"	"4"	"4"	"3"	"1"	"0"	"2"	"11"	"11"	"11"	"413"	""	""	""
"75"	67	"231"	"226"	"2"	"7"	"1"	"0"	"2"	"2"	"1"	"1"	"3"	"8"	"484"	""	""	""
"76"	68	"219"	"267"	"16"	"7"	"2"	"3"	"3"	"0"	"0"	"5"	"1"	"1"	"524"	""	""	""
"77"	69	"134"	"169"	"9"	"19"	"3"	"1"	"0"	"0"	"0"	"8"	"3"	"9"	"355"	""	""	""
"78"	70	"256"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	""	""	""
"79"	71	"109"	"225"	"9"	"23"	"3"	"2"	"4"	"1"	"2"	"4"	"2"	"8"	"392"	""	""	""
"80"	72	"168"	"84"	"3"	"40"	"5"	"1"	"1"	"0"	"2"	"3"	"1"	"11"	"319"	""	""	""
"81"	73	"102"	"153"	"17"	"1"	"3"	"3"	"2"	"1"	"0"	"6"	"1"	"3"	"292"	""	""	""
"82"	74	"235"	"221"	"7"	"7"	"4"	"1"	"4"	"7"	"5"	"9"	"19"	"32"	"551"	""	""	""
"83"	75	"48"	"541"	"10"	"3"	"3"	"0"	"0"	"2"	"2"	"5"	"13"	"10"	"637"	""	""	""
"84"	76	"265"	"35"	"5"	"17"	"0"	"2"	"2"	"3"	"5"	"2"	"8"	"7"	"351"	""	""	""
"85"	77	"311"	"46"	"2"	"3"	"1"	"1"	"2"	"0"	"0"	"2"	"1"	"2"	"371"	""	""	""
"86"	78	"611"	"66"	"7"	"8"	"2"	"2"	"4"	"3"	"1"	"5"	"4"	"11"	"724"	""	""	""
"87"	79	"59"	"265"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"328"	""	""	""
"88"	80	"339"	"135"	"3"	"3"	"3"	"3"	"1"	"0"	"2"	"6"	"4"	"7"	"506"	""	""	""
"89"	81	"196"	"115"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"8"	"329"	""	""	""
"90"	82	"276"	"210"	"3"	"10"	"3"	"1"	"2"	"0"	"0"	"5"	"4"	"10"	"524"	""	""	""
"91"	83	"353"	"256"	"10"	"7"	"5"	"4"	"2"	"4"	"3"	"6"	"9"	"14"	"673"	""	""	""
"92"	84	"121"	"272"	"5"	"8"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"4"	"415"	""	""	""
"93"	85	"129"	"435"	"9"	"3"	"2"	"1"	"0"	"0"	"2"	"12"	"8"	"3"	"604"	""	""	""
"94"	86	"262"	"294"	"38"	"9"	"9"	"4"	"3"	"5"	"3"	"4"	"8"	"14"	"653"	""	""	""
"95"	87	"335"	"160"	"12"	"6"	"1"	"3"	"3"	"4"	"1"	"1"	"4"	"0"	"530"	""	""	""
"96"	88	"285"	"254"	"13"	"13"	"4"	"2"	"8"	"4"	"5"	"14"	"18"	"49"	"669"	""	""	""
"97"	89	"323"	"105"	"5"	"3"	"1"	"1"	"3"	"0"	"1"	"0"	"4"	"8"	"454"	""	""	""
"98"	90	"227"	"56"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"288"	""	""	""
"99"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	203859	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"102"	91	"146"	"326"	"6"	"9"	"7"	"3"	"6"	"1"	"2"	"15"	"8"	"8"	"537"	""	""	""
"103"	92	"231"	"96"	"2"	"2"	"3"	"1"	"1"	"2"	"1"	"4"	"5"	"12"	"360"	""	""	""
"104"	93	"175"	"290"	"3"	"5"	"5"	"4"	"2"	"2"	"2"	"5"	"8"	"0"	"501"	""	""	""
"105"	94	"189"	"229"	"3"	"29"	"6"	"4"	"5"	"4"	"6"	"10"	"18"	"28"	"531"	""	""	""
"106"	95	"232"	"264"	"8"	"10"	"7"	"3"	"5"	"6"	"3"	"5"	"3"	"4"	"550"	""	""	""
"107"	96	"290"	"60"	"4"	"28"	"5"	"4"	"2"	"4"	"2"	"5"	"3"	"36"	"443"	""	""	""
"108"	97	"133"	"249"	"15"	"3"	"3"	"1"	"1"	"0"	"0"	"2"	"7"	"4"	"418"	""	""	""
"109"	98	"158"	"219"	"10"	"2"	"1"	"2"	"0"	"0"	"0"	"3"	"10"	"20"	"425"	""	""	""
"110"	99	"193"	"222"	"9"	"12"	"1"	"3"	"7"	"2"	"1"	"3"	"9"	"19"	"481"	""	""	""
"111"	100	"318"	"120"	"10"	"2"	"4"	"3"	"3"	"3"	"1"	"5"	"4"	"15"	"488"	""	""	""
"112"	101	"173"	"275"	"5"	"4"	"1"	"3"	"9"	"4"	"3"	"14"	"7"	"26"	"524"	""	""	""
"113"	102	"183"	"321"	"6"	"1"	"4"	"0"	"2"	"3"	"3"	"7"	"6"	"5"	"541"	""	""	""
"114"	103	"288"	"123"	"5"	"2"	"0"	"0"	"3"	"0"	"1"	"2"	"3"	"10"	"437"	""	""	""
"115"	104	"274"	"106"	"5"	"9"	"4"	"4"	"1"	"1"	"3"	"6"	"1"	"19"	"433"	""	""	""
"116"	105	"237"	"147"	"10"	"6"	"5"	"4"	"6"	"6"	"7"	"8"	"9"	"20"	"465"	""	""	""
"117"	106	"290"	"177"	"5"	"2"	"4"	"1"	"3"	"3"	"5"	"6"	"11"	"14"	"521"	""	""	""
"118"	107	"314"	"173"	"17"	"4"	"3"	"4"	"4"	"1"	"1"	"3"	"7"	"12"	"543"	""	""	""
"119"	108	"165"	"267"	"5"	"6"	"1"	"2"	"0"	"2"	"3"	"11"	"20"	"35"	"517"	""	""	""
"120"	109	"377"	"204"	"8"	"2"	"1"	"1"	"3"	"2"	"1"	"1"	"0"	"9"	"609"	""	""	""
"121"	110	"425"	"110"	"8"	"21"	"3"	"3"	"5"	"3"	"6"	"4"	"12"	"26"	"626"	""	""	""
"122"	111	"200"	"345"	"9"	"6"	"9"	"1"	"2"	"3"	"3"	"10"	"10"	"11"	"609"	""	""	""
"123"	112	"165"	"240"	"7"	"7"	"9"	"5"	"4"	"3"	"10"	"12"	"9"	"17"	"488"	""	""	""
"124"	113	"506"	"106"	"40"	"21"	"7"	"2"	"12"	"3"	"0"	"2"	"2"	"8"	"709"	""	""	""
"125"	114	"86"	"242"	"52"	"7"	"6"	"2"	"4"	"4"	"0"	"4"	"6"	"3"	"416"	""	""	""
"126"	115	"64"	"435"	"13"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"0"	"521"	""	""	""
"127"	116	"265"	"279"	"44"	"9"	"3"	"3"	"5"	"3"	"4"	"8"	"17"	"23"	"663"	""	""	""
"128"	117	"198"	"24"	"24"	"14"	"1"	"0"	"1"	"4"	"4"	"5"	"5"	"6"	"286"	""	""	""
"129"	118	"278"	"202"	"10"	"35"	"9"	"3"	"5"	"1"	"6"	"12"	"15"	"33"	"609"	""	""	""
"130"	119	"378"	"85"	"7"	"48"	"4"	"3"	"2"	"5"	"1"	"2"	"2"	"4"	"541"	""	""	""
"131"	120	"415"	"156"	"7"	"69"	"1"	"6"	"3"	"1"	"0"	"3"	"3"	"16"	"680"	""	""	""
"132"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	203859	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"135"	121	"305"	"290"	"14"	"16"	"5"	"7"	"7"	"2"	"9"	"15"	"16"	"28"	"714"	""	""	""
"136"	122	"92"	"331"	"6"	"4"	"6"	"8"	"2"	"1"	"3"	"12"	"18"	"18"	"501"	""	""	""
"137"	123	"100"	"392"	"1"	"19"	"3"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"521"	""	""	""
"138"	124	"159"	"242"	"5"	"20"	"9"	"2"	"0"	"2"	"1"	"2"	"4"	"6"	"452"	""	""	""
"139"	125	"173"	"310"	"11"	"12"	"2"	"0"	"0"	"0"	"2"	"3"	"4"	"4"	"521"	""	""	""
"140"	126	"244"	"181"	"11"	"11"	"5"	"5"	"1"	"1"	"0"	"5"	"4"	"8"	"476"	""	""	""
"141"	127	"431"	"56"	"9"	"36"	"0"	"3"	"1"	"2"	"3"	"2"	"2"	"22"	"567"	""	""	""
"142"	128	"16"	"276"	"6"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"6"	"2"	"310"	""	""	""
"143"	129	"352"	"159"	"7"	"4"	"2"	"2"	"4"	"1"	"2"	"9"	"5"	"21"	"568"	""	""	""
"144"	130	"143"	"218"	"11"	"4"	"1"	"0"	"2"	"1"	"0"	"2"	"12"	"10"	"404"	""	""	""
"145"	131	"193"	"27"	"2"	"2"	"3"	"0"	"2"	"0"	"0"	"0"	"4"	"11"	"244"	""	""	""
"146"	132	"157"	"289"	"9"	"9"	"9"	"2"	"4"	"3"	"3"	"8"	"11"	"9"	"513"	""	""	""
"147"	133	"150"	"402"	"11"	"9"	"6"	"3"	"8"	"2"	"1"	"14"	"16"	"20"	"642"	""	""	""
"148"	134	"301"	"94"	"2"	"4"	"1"	"1"	"0"	"0"	"0"	"4"	"5"	"5"	"417"	""	""	""
"149"	135	"159"	"188"	"7"	"7"	"9"	"1"	"6"	"1"	"3"	"15"	"11"	"11"	"418"	""	""	""
"150"	136	"220"	"126"	"11"	"7"	"10"	"5"	"3"	"4"	"3"	"7"	"5"	"7"	"408"	""	""	""
"151"	137	"120"	"419"	"9"	"10"	"5"	"4"	"7"	"1"	"0"	"20"	"15"	"27"	"637"	""	""	""
"152"	138	"155"	"107"	"25"	"3"	"2"	"0"	"1"	"2"	"1"	"2"	"6"	"1"	"305"	""	""	""
"153"	139	"237"	"95"	"4"	"2"	"0"	"3"	"1"	"3"	"0"	"0"	"3"	"6"	"354"	""	""	""
"154"	140	"66"	"166"	"1"	"2"	"2"	"1"	"7"	"0"	"1"	"7"	"13"	"11"	"277"	""	""	""
"155"	141	"497"	"153"	"19"	"8"	"7"	"3"	"6"	"7"	"10"	"11"	"18"	"43"	"782"	""	""	""
"156"	142	"245"	"130"	"40"	"5"	"3"	"2"	"1"	"1"	"2"	"1"	"1"	"9"	"440"	""	""	""
"157"	143	"130"	"282"	"41"	"4"	"1"	"2"	"7"	"1"	"2"	"4"	"5"	"1"	"480"	""	""	""
"158"	144	"193"	"166"	"3"	"10"	"5"	"2"	"2"	"4"	"1"	"6"	"10"	"19"	"421"	""	""	""
"159"	145	"251"	"361"	"11"	"6"	"6"	"2"	"3"	"0"	"2"	"4"	"3"	"9"	"658"	""	""	""
"160"	146	"183"	"305"	"5"	"4"	"3"	"2"	"5"	"2"	"3"	"6"	"6"	"5"	"529"	""	""	""
"161"	147	"202"	"468"	"7"	"7"	"12"	"2"	"6"	"4"	"2"	"8"	"13"	"6"	"737"	""	""	""
"162"	148	"221"	"129"	"13"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"3"	"379"	""	""	""
"163"	149	"193"	"70"	"6"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"274"	""	""	""
"164"	150	"213"	"254"	"9"	"6"	"6"	"8"	"6"	"3"	"5"	"13"	"13"	"47"	"583"	""	""	""
"165"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	203859	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"168"	151	"456"	"129"	"22"	"10"	"0"	"1"	"2"	"0"	"5"	"8"	"11"	"51"	"695"	""	""	""
"169"	152	"68"	"206"	"4"	"10"	"0"	"2"	"1"	"1"	"0"	"3"	"9"	"10"	"314"	""	""	""
"170"	153	"201"	"305"	"9"	"6"	"4"	"1"	"0"	"2"	"2"	"6"	"10"	"15"	"561"	""	""	""
"171"	154	"183"	"198"	"12"	"5"	"9"	"3"	"7"	"2"	"3"	"6"	"14"	"8"	"450"	""	""	""
"172"	155	"119"	"146"	"3"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"276"	""	""	""
"173"	156	"157"	"164"	"30"	"11"	"7"	"3"	"2"	"3"	"7"	"10"	"15"	"21"	"430"	""	""	""
"174"	157	"353"	"83"	"5"	"15"	"2"	"2"	"2"	"1"	"6"	"3"	"10"	"24"	"506"	""	""	""
"175"	158	"92"	"138"	"5"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"8"	"250"	""	""	""
"176"	159	"37"	"303"	"1"	"3"	"0"	"1"	"1"	"0"	"2"	"3"	"1"	"2"	"354"	""	""	""
"177"	160	"89"	"133"	"6"	"8"	"9"	"2"	"1"	"2"	"0"	"1"	"2"	"4"	"257"	""	""	""
"178"	161	"44"	"211"	"4"	"4"	"0"	"3"	"0"	"2"	"2"	"3"	"5"	"1"	"279"	""	""	""
"179"	162	"199"	"310"	"16"	"11"	"8"	"3"	"3"	"1"	"4"	"3"	"13"	"12"	"583"	""	""	""
"180"	163	"162"	"143"	"16"	"15"	"3"	"1"	"3"	"0"	"0"	"2"	"8"	"7"	"360"	""	""	""
"181"	164	"116"	"192"	"1"	"14"	"3"	"0"	"0"	"0"	"2"	"9"	"17"	"24"	"378"	""	""	""
"182"	165	"98"	"420"	"3"	"11"	"2"	"0"	"0"	"1"	"0"	"5"	"2"	"3"	"545"	""	""	""
"183"	166	"103"	"319"	"2"	"18"	"3"	"0"	"0"	"1"	"0"	"8"	"2"	"2"	"458"	""	""	""
"184"	167	"198"	"108"	"1"	"11"	"1"	"4"	"2"	"3"	"0"	"3"	"3"	"8"	"342"	""	""	""
"185"	168	"75"	"228"	"4"	"4"	"4"	"0"	"2"	"2"	"1"	"8"	"8"	"6"	"342"	""	""	""
"186"	169	"306"	"125"	"5"	"11"	"1"	"0"	"0"	"1"	"2"	"2"	"5"	"4"	"462"	""	""	""
"187"	170	"221"	"180"	"15"	"8"	"5"	"2"	"4"	"1"	"2"	"5"	"0"	"1"	"444"	""	""	""
"188"	171	"110"	"195"	"30"	"13"	"1"	"2"	"2"	"3"	"2"	"8"	"1"	"6"	"373"	""	""	""
"189"	172	"195"	"100"	"26"	"4"	"10"	"3"	"7"	"0"	"3"	"2"	"6"	"17"	"373"	""	""	""
"190"	173	"325"	"156"	"17"	"8"	"5"	"3"	"3"	"0"	"6"	"15"	"22"	"44"	"604"	""	""	""
"191"	174	"600"	"142"	"3"	"11"	"2"	"0"	"0"	"2"	"0"	"2"	"4"	"5"	"771"	""	""	""
"192"	175	"206"	"97"	"10"	"34"	"1"	"2"	"2"	"0"	"3"	"2"	"5"	"3"	"365"	""	""	""
"193"	176	"246"	"105"	"16"	"10"	"4"	"13"	"2"	"3"	"3"	"3"	"16"	"38"	"459"	""	""	""
"194"	177	"124"	"50"	"6"	"2"	"1"	"1"	"1"	"1"	"1"	"4"	"4"	"10"	"205"	""	""	""
"195"	178	"273"	"78"	"6"	"3"	"3"	"2"	"1"	"5"	"0"	"7"	"5"	"23"	"406"	""	""	""
"196"	179	"216"	"192"	"8"	"5"	"4"	"0"	"2"	"2"	"7"	"8"	"4"	"16"	"464"	""	""	""
"197"	180	"139"	"87"	"4"	"18"	"1"	"1"	"2"	"0"	"1"	"1"	"4"	"5"	"263"	""	""	""
"198"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	203859	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
