"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X256817.36.Madhubani"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"13"	""	"10"	"156"	"4"	"75"	"325"	"37"	"1"	"2"	"1"	"0"	"1"	"2"	"2"	"2"	"18"	"626"	""	"626"	""
"14"	""	"11"	"170"	"6"	"49"	"170"	"24"	"4"	"1"	"0"	"1"	"2"	"1"	"2"	"2"	"15"	"447"	""	"447"	""
"15"	""	"12"	"43"	"2"	"40"	"96"	"13"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"197"	""	"197"	""
"16"	""	"13"	"138"	"3"	"45"	"280"	"21"	"3"	"1"	"0"	"2"	"0"	"4"	"1"	"1"	"12"	"511"	""	"511"	""
"17"	""	"14"	"133"	"3"	"82"	"208"	"20"	"0"	"1"	"3"	"0"	"0"	"1"	"0"	"2"	"3"	"456"	""	"456"	""
"18"	""	"Total -1"	"2405"	"68"	"860"	"2132"	"324"	"24"	"18"	"29"	"16"	"15"	"24"	"18"	"55"	"125"	"6113"	"0"	"6113"	"0"
"19"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"23"	"Round No.2"	"15"	"62"	"4"	"56"	"198"	"8"	"1"	"0"	"1"	"0"	"2"	"4"	"3"	"0"	"2"	"341"	""	"341"	""
"24"	""	"16"	"112"	"3"	"37"	"187"	"7"	"0"	"3"	"1"	"0"	"0"	"5"	"1"	"0"	"3"	"359"	""	"359"	""
"25"	""	"17"	"30"	"2"	"52"	"262"	"21"	"2"	"2"	"0"	"0"	"1"	"4"	"0"	"2"	"3"	"381"	""	"381"	""
"26"	""	"18"	"52"	"10"	"29"	"177"	"10"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"3"	"7"	"295"	""	"295"	""
"27"	""	"19"	"28"	"0"	"110"	"175"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	""	"323"	""
"28"	""	"20"	"97"	"5"	"133"	"77"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"320"	""	"320"	""
"29"	""	"21"	"67"	"7"	"268"	"100"	"9"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"463"	""	"463"	""
"30"	""	"22"	"42"	"1"	"76"	"261"	"16"	"0"	"1"	"0"	"0"	"0"	"4"	"1"	"0"	"2"	"404"	""	"404"	""
"31"	""	"23"	"39"	"0"	"68"	"416"	"25"	"1"	"0"	"0"	"1"	"0"	"4"	"0"	"12"	"4"	"570"	""	"570"	""
"32"	""	"24"	"151"	"2"	"89"	"223"	"7"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"8"	"487"	""	"487"	""
"33"	""	"25"	"189"	"4"	"90"	"188"	"13"	"1"	"0"	"2"	"3"	"1"	"0"	"1"	"5"	"11"	"508"	""	"508"	""
"34"	""	"26"	"55"	"2"	"113"	"217"	"16"	"1"	"4"	"0"	"0"	"2"	"3"	"3"	"6"	"5"	"427"	""	"427"	""
"35"	""	"27"	"33"	"0"	"53"	"297"	"10"	"5"	"2"	"2"	"3"	"4"	"0"	"1"	"10"	"2"	"422"	""	"422"	""
"36"	""	"28"	"43"	"7"	"53"	"371"	"25"	"2"	"0"	"3"	"0"	"0"	"4"	"5"	"23"	"18"	"554"	""	"554"	""
"37"	""	"Total -2"	"1000"	"47"	"1227"	"3149"	"182"	"15"	"16"	"12"	"9"	"14"	"30"	"21"	"65"	"67"	"5854"	"0"	"5854"	"0"
"38"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"42"	"Round No.3"	"29"	"31"	"6"	"17"	"233"	"14"	"4"	"3"	"2"	"1"	"0"	"4"	"0"	"2"	"2"	"319"	""	"319"	""
"43"	""	"30"	"13"	"5"	"17"	"153"	"24"	"1"	"2"	"2"	"0"	"0"	"2"	"1"	"0"	"5"	"225"	""	"225"	""
"44"	""	"31"	"51"	"4"	"72"	"284"	"19"	"4"	"2"	"0"	"2"	"2"	"1"	"1"	"3"	"7"	"452"	""	"452"	""
"45"	""	"32"	"44"	"1"	"23"	"144"	"13"	"1"	"1"	"1"	"0"	"2"	"3"	"3"	"0"	"5"	"241"	""	"241"	""
"46"	""	"33"	"39"	"2"	"37"	"176"	"43"	"0"	"5"	"0"	"0"	"0"	"2"	"4"	"1"	"15"	"324"	""	"324"	""
"47"	""	"34"	"61"	"4"	"61"	"151"	"39"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"3"	"1"	"324"	""	"324"	""
"48"	""	"35"	"58"	"1"	"10"	"116"	"9"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"5"	"203"	""	"203"	""
"49"	""	"36"	"44"	"2"	"48"	"174"	"10"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"283"	""	"283"	""
"50"	""	"37"	"70"	"4"	"86"	"194"	"25"	"4"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"2"	"390"	""	"390"	""
"51"	""	"38"	"22"	"4"	"91"	"148"	"6"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"6"	"279"	""	"279"	""
"52"	""	"39"	"14"	"0"	"42"	"124"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"186"	""	"186"	""
"53"	""	"40"	"26"	"2"	"55"	"63"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"153"	""	"153"	""
"54"	""	"41"	"25"	"0"	"28"	"122"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"188"	""	"188"	""
"55"	""	"42"	"174"	"6"	"142"	"195"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"536"	""	"536"	""
"56"	""	"Total -3"	"672"	"41"	"729"	"2277"	"225"	"16"	"18"	"9"	"8"	"6"	"16"	"11"	"12"	"63"	"4103"	"0"	"4103"	"0"
"57"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"61"	"Round No4"	"43"	"135"	"4"	"72"	"175"	"11"	"2"	"0"	"5"	"1"	"5"	"4"	"1"	"5"	"7"	"427"	""	"427"	""
"62"	""	"44"	"89"	"0"	"123"	"193"	"17"	"1"	"0"	"1"	"0"	"1"	"4"	"0"	"1"	"3"	"433"	""	"433"	""
"63"	""	"45"	"88"	"1"	"232"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"338"	""	"338"	""
"64"	""	"46"	"158"	"1"	"332"	"5"	"10"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"510"	""	"510"	""
"65"	""	"47"	"129"	"5"	"155"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"291"	""	"291"	""
"66"	""	"48"	"132"	"9"	"376"	"30"	"6"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"558"	""	"558"	""
"67"	""	"49"	"74"	"3"	"73"	"370"	"27"	"1"	"2"	"4"	"0"	"1"	"0"	"1"	"0"	"3"	"559"	""	"559"	""
"68"	""	"50"	"5"	"1"	"28"	"263"	"19"	"0"	"2"	"3"	"1"	"1"	"1"	"2"	"0"	"1"	"327"	""	"327"	""
"69"	""	"51"	"153"	"5"	"37"	"221"	"9"	"3"	"0"	"1"	"1"	"2"	"1"	"5"	"3"	"9"	"450"	""	"450"	""
"70"	""	"52"	"106"	"1"	"14"	"208"	"8"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"345"	""	"345"	""
"71"	""	"53"	"235"	"7"	"183"	"127"	"12"	"0"	"2"	"2"	"2"	"0"	"0"	"1"	"1"	"7"	"579"	""	"579"	""
"72"	""	"54"	"156"	"4"	"101"	"123"	"42"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"429"	""	"429"	""
"73"	""	"55"	"221"	"5"	"62"	"62"	"18"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"5"	"381"	""	"381"	""
"74"	""	"56"	"273"	"27"	"117"	"165"	"39"	"3"	"3"	"2"	"1"	"4"	"1"	"0"	"1"	"8"	"644"	""	"644"	""
"75"	""	"Total -4"	"1954"	"73"	"1905"	"1949"	"225"	"16"	"13"	"21"	"7"	"16"	"14"	"12"	"15"	"51"	"6271"	"0"	"6271"	"0"
"76"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"80"	"Round No 5"	"57"	"108"	"4"	"22"	"35"	"4"	"1"	"0"	"0"	"2"	"2"	"0"	"4"	"0"	"4"	"186"	""	"186"	""
"81"	""	"58"	"115"	"6"	"29"	"141"	"42"	"0"	"3"	"25"	"2"	"0"	"4"	"2"	"5"	"10"	"384"	""	"384"	""
"82"	""	"59"	"287"	"5"	"21"	"52"	"5"	"3"	"2"	"17"	"5"	"5"	"1"	"1"	"9"	"30"	"443"	""	"443"	""
"83"	""	"60"	"44"	"2"	"7"	"229"	"21"	"0"	"0"	"11"	"2"	"0"	"8"	"1"	"7"	"22"	"354"	""	"354"	""
"84"	""	"61"	"297"	"5"	"32"	"269"	"17"	"1"	"2"	"7"	"1"	"1"	"3"	"2"	"2"	"6"	"645"	""	"645"	""
"85"	""	"62"	"330"	"4"	"9"	"117"	"3"	"3"	"0"	"2"	"2"	"2"	"11"	"3"	"5"	"12"	"503"	""	"503"	""
"86"	""	"63"	"155"	"6"	"49"	"85"	"4"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"6"	"6"	"316"	""	"316"	""
"87"	""	"64"	"75"	"2"	"13"	"121"	"6"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"5"	"224"	""	"224"	""
"88"	""	"65"	"280"	"6"	"28"	"226"	"7"	"0"	"1"	"0"	"2"	"0"	"3"	"0"	"4"	"20"	"577"	""	"577"	""
"89"	""	"66"	"79"	"6"	"19"	"444"	"18"	"2"	"0"	"1"	"1"	"2"	"1"	"0"	"1"	"11"	"585"	""	"585"	""
"90"	""	"67"	"64"	"16"	"166"	"71"	"14"	"1"	"1"	"0"	"1"	"0"	"2"	"3"	"2"	"7"	"348"	""	"348"	""
"91"	""	"68"	"219"	"5"	"40"	"263"	"19"	"1"	"1"	"1"	"8"	"1"	"0"	"3"	"2"	"7"	"570"	""	"570"	""
"92"	""	"69"	"83"	"1"	"47"	"198"	"15"	"2"	"2"	"2"	"3"	"1"	"0"	"1"	"3"	"9"	"367"	""	"367"	""
"93"	""	"70"	"114"	"5"	"106"	"154"	"131"	"3"	"2"	"1"	"1"	"0"	"1"	"1"	"2"	"1"	"522"	""	"522"	""
"94"	""	"Total -5"	"2250"	"73"	"588"	"2405"	"306"	"18"	"14"	"67"	"32"	"14"	"36"	"23"	"48"	"150"	"6024"	"0"	"6024"	"0"
"95"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"99"	"Round No 6"	"71"	"108"	"1"	"53"	"1"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"181"	""	"181"	""
"100"	""	"71-A"	"198"	"7"	"111"	"3"	"31"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"353"	""	"353"	""
"101"	""	"72"	"151"	"9"	"166"	"21"	"10"	"3"	"3"	"0"	"1"	"0"	"2"	"1"	"0"	"3"	"370"	""	"370"	""
"102"	""	"73"	"324"	"26"	"8"	"146"	"25"	"2"	"2"	"5"	"2"	"1"	"3"	"4"	"3"	"15"	"566"	""	"566"	""
"103"	""	"74"	"79"	"5"	"52"	"198"	"19"	"0"	"1"	"4"	"2"	"1"	"9"	"1"	"7"	"13"	"391"	""	"391"	""
"104"	""	"75"	"65"	"7"	"235"	"8"	"8"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"327"	""	"327"	""
"105"	""	"76"	"39"	"2"	"163"	"11"	"19"	"2"	"4"	"2"	"0"	"0"	"5"	"3"	"1"	"6"	"257"	""	"257"	""
"106"	""	"77"	"57"	"7"	"190"	"89"	"37"	"1"	"1"	"1"	"0"	"1"	"2"	"2"	"23"	"5"	"416"	""	"416"	""
"107"	""	"78"	"50"	"2"	"30"	"207"	"34"	"2"	"2"	"2"	"3"	"1"	"2"	"1"	"1"	"21"	"358"	""	"358"	""
"108"	""	"79"	"119"	"2"	"83"	"111"	"22"	"5"	"4"	"1"	"0"	"2"	"3"	"1"	"5"	"16"	"374"	""	"374"	""
"109"	""	"80"	"251"	"5"	"24"	"96"	"10"	"1"	"0"	"1"	"2"	"3"	"2"	"1"	"7"	"53"	"456"	""	"456"	""
"110"	""	"81"	"130"	"20"	"57"	"88"	"26"	"5"	"3"	"2"	"1"	"3"	"5"	"2"	"2"	"29"	"373"	""	"373"	""
"111"	""	"82"	"140"	"4"	"30"	"179"	"33"	"4"	"4"	"3"	"1"	"1"	"2"	"3"	"3"	"55"	"462"	""	"462"	""
"112"	""	"83"	"52"	"2"	"44"	"71"	"42"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"7"	"223"	""	"223"	""
"113"	""	"Total -6"	"1763"	"99"	"1246"	"1229"	"330"	"27"	"27"	"23"	"15"	"13"	"35"	"21"	"52"	"227"	"5107"	"0"	"5107"	"0"
"114"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"118"	"Round No 7"	"84"	"101"	"6"	"70"	"78"	"30"	"3"	"8"	"3"	"0"	"0"	"1"	"1"	"1"	"8"	"310"	""	"310"	""
"119"	""	"85"	"165"	"9"	"63"	"163"	"34"	"0"	"1"	"1"	"2"	"1"	"4"	"2"	"3"	"15"	"463"	""	"463"	""
"120"	""	"86"	"61"	"1"	"41"	"55"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"163"	""	"163"	""
"121"	""	"87"	"287"	"9"	"19"	"50"	"9"	"2"	"2"	"3"	"3"	"0"	"1"	"1"	"2"	"18"	"406"	""	"406"	""
"122"	""	"88"	"211"	"11"	"44"	"125"	"7"	"3"	"1"	"0"	"0"	"0"	"5"	"0"	"9"	"6"	"422"	""	"422"	""
"123"	""	"89"	"145"	"35"	"6"	"195"	"18"	"3"	"4"	"4"	"3"	"4"	"5"	"1"	"7"	"10"	"440"	""	"440"	""
"124"	""	"90"	"108"	"6"	"316"	"26"	"6"	"3"	"1"	"3"	"0"	"0"	"2"	"3"	"2"	"16"	"492"	""	"492"	""
"125"	""	"91"	"131"	"6"	"9"	"97"	"14"	"2"	"2"	"2"	"3"	"2"	"8"	"4"	"7"	"22"	"309"	""	"309"	""
"126"	""	"92"	"232"	"15"	"62"	"32"	"8"	"5"	"1"	"1"	"0"	"2"	"0"	"4"	"3"	"6"	"371"	""	"371"	""
"127"	""	"93"	"220"	"7"	"37"	"191"	"22"	"2"	"3"	"4"	"0"	"0"	"3"	"4"	"5"	"19"	"517"	""	"517"	""
"128"	""	"94"	"66"	"7"	"180"	"67"	"13"	"1"	"0"	"3"	"0"	"0"	"1"	"2"	"0"	"2"	"342"	""	"342"	""
"129"	""	"95"	"35"	"13"	"143"	"96"	"25"	"0"	"0"	"1"	"2"	"6"	"7"	"2"	"3"	"13"	"346"	""	"346"	""
"130"	""	"96"	"11"	"3"	"129"	"140"	"18"	"5"	"0"	"4"	"0"	"0"	"6"	"2"	"6"	"6"	"330"	""	"330"	""
"131"	""	"97"	"198"	"12"	"203"	"98"	"20"	"3"	"5"	"4"	"1"	"8"	"6"	"7"	"8"	"19"	"592"	""	"592"	""
"132"	""	"Total -7"	"1971"	"140"	"1322"	"1413"	"225"	"34"	"28"	"34"	"14"	"23"	"49"	"34"	"56"	"160"	"5503"	"0"	"5503"	"0"
"133"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"137"	"Round No 8"	"98"	"137"	"16"	"187"	"41"	"17"	"12"	"1"	"5"	"16"	"4"	"9"	"5"	"2"	"19"	"471"	""	"471"	""
"138"	""	"99"	"115"	"4"	"41"	"48"	"7"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"1"	"4"	"225"	""	"225"	""
"139"	""	"100"	"26"	"6"	"71"	"113"	"38"	"2"	"0"	"7"	"7"	"3"	"5"	"4"	"3"	"28"	"313"	""	"313"	""
"140"	""	"101"	"81"	"6"	"13"	"101"	"17"	"2"	"0"	"0"	"1"	"3"	"1"	"3"	"4"	"5"	"237"	""	"237"	""
"141"	""	"102"	"43"	"42"	"183"	"184"	"19"	"4"	"1"	"3"	"2"	"0"	"1"	"3"	"2"	"9"	"496"	""	"496"	""
"142"	""	"103"	"19"	"1"	"203"	"6"	"8"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"243"	""	"243"	""
"143"	""	"104"	"23"	"1"	"182"	"30"	"6"	"1"	"3"	"0"	"1"	"1"	"2"	"2"	"0"	"9"	"261"	""	"261"	""
"144"	""	"105"	"154"	"11"	"154"	"12"	"8"	"3"	"3"	"0"	"2"	"1"	"0"	"2"	"0"	"3"	"353"	""	"353"	""
"145"	""	"106"	"130"	"5"	"229"	"44"	"14"	"6"	"4"	"3"	"5"	"1"	"2"	"8"	"2"	"6"	"459"	""	"459"	""
"146"	""	"107"	"90"	"1"	"135"	"20"	"4"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"6"	"260"	""	"260"	""
"147"	""	"108"	"191"	"5"	"199"	"8"	"12"	"1"	"2"	"4"	"2"	"0"	"5"	"5"	"5"	"10"	"449"	""	"449"	""
"148"	""	"109"	"58"	"5"	"46"	"238"	"28"	"2"	"4"	"3"	"0"	"2"	"2"	"0"	"0"	"1"	"389"	""	"389"	""
"149"	""	"110"	"105"	"7"	"19"	"197"	"23"	"6"	"4"	"2"	"1"	"0"	"2"	"2"	"4"	"9"	"381"	""	"381"	""
"150"	""	"111"	"37"	"0"	"22"	"117"	"11"	"1"	"3"	"0"	"2"	"1"	"1"	"2"	"2"	"9"	"208"	""	"208"	""
"151"	""	"Total -8"	"1209"	"110"	"1684"	"1159"	"212"	"42"	"27"	"30"	"40"	"18"	"31"	"37"	"26"	"120"	"4745"	"0"	"4745"	"0"
"152"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
