"X.....................................................................................................................................................................................................Tabulation.of.Result.by.Additional.Counting.Staff......................................................................................................................................................................................................"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  143 Teghra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"24"	"19"	"64"	"58"	"4"	"250"	"60"	"4"	"2"	"2"	"3"	"1"	"5"	"18"	"12"	"5"	"6"	"36"	"0"	"1"	"0"	"531"	"0"	"531"	"0"
"25"	"20"	"10"	"42"	"2"	"76"	"96"	"2"	"0"	"0"	"0"	"1"	"0"	"6"	"1"	"1"	"0"	"8"	"0"	"1"	"4"	"250"	"0"	"250"	"0"
"26"	"21"	"36"	"128"	"0"	"144"	"184"	"2"	"7"	"1"	"1"	"3"	"2"	"62"	"4"	"1"	"7"	"10"	"4"	"2"	"10"	"608"	"0"	"608"	"0"
"27"	"22"	"13"	"29"	"2"	"170"	"245"	"8"	"1"	"2"	"0"	"0"	"1"	"36"	"5"	"2"	"1"	"9"	"1"	"0"	"0"	"525"	"0"	"525"	"0"
"28"	"23"	"13"	"22"	"1"	"276"	"86"	"2"	"1"	"0"	"2"	"1"	"2"	"14"	"3"	"1"	"2"	"11"	"0"	"0"	"1"	"438"	"0"	"438"	"0"
"29"	"24"	"19"	"40"	"4"	"191"	"50"	"3"	"0"	"1"	"2"	"1"	"0"	"25"	"1"	"0"	"0"	"2"	"10"	"1"	"4"	"354"	"0"	"354"	"0"
"30"	"25"	"14"	"22"	"0"	"268"	"106"	"10"	"1"	"0"	"1"	"3"	"1"	"19"	"3"	"5"	"4"	"18"	"1"	"1"	"2"	"479"	"0"	"479"	"0"
"31"	"26"	"103"	"27"	"4"	"205"	"140"	"7"	"2"	"0"	"2"	"2"	"1"	"6"	"4"	"1"	"5"	"9"	"1"	"2"	"2"	"523"	"0"	"523"	"0"
"32"	"27"	"65"	"33"	"5"	"210"	"32"	"4"	"1"	"7"	"0"	"4"	"1"	"27"	"3"	"5"	"2"	"11"	"4"	"1"	"7"	"422"	"0"	"422"	"0"
"33"	"28"	"42"	"77"	"5"	"383"	"85"	"2"	"0"	"2"	"4"	"4"	"5"	"56"	"10"	"4"	"4"	"11"	"2"	"1"	"3"	"700"	"0"	"700"	"0"
"34"	"29"	"8"	"31"	"2"	"273"	"39"	"1"	"0"	"3"	"1"	"1"	"1"	"47"	"2"	"0"	"5"	"4"	"5"	"4"	"3"	"430"	"0"	"430"	"0"
"35"	"30"	"6"	"20"	"2"	"141"	"19"	"0"	"1"	"0"	"3"	"1"	"3"	"6"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"204"	"0"	"204"	"0"
"36"	"31"	"20"	"123"	"7"	"237"	"51"	"4"	"1"	"2"	"3"	"1"	"2"	"27"	"9"	"5"	"7"	"22"	"0"	"0"	"1"	"522"	"0"	"522"	"0"
"37"	"32"	"256"	"4"	"6"	"137"	"16"	"3"	"1"	"0"	"4"	"0"	"1"	"5"	"2"	"0"	"1"	"6"	"7"	"1"	"1"	"451"	"0"	"451"	"0"
"38"	"33"	"204"	"26"	"9"	"78"	"219"	"7"	"2"	"0"	"3"	"1"	"4"	"2"	"4"	"2"	"2"	"9"	"5"	"1"	"0"	"578"	"0"	"578"	"0"
"39"	"34"	"60"	"33"	"1"	"42"	"281"	"4"	"1"	"0"	"1"	"3"	"2"	"30"	"1"	"1"	"2"	"8"	"9"	"0"	"2"	"481"	"0"	"481"	"0"
"40"	"35"	"13"	"6"	"9"	"39"	"241"	"7"	"0"	"3"	"0"	"1"	"3"	"11"	"2"	"0"	"1"	"26"	"0"	"0"	"2"	"364"	"0"	"364"	"0"
"41"	"36"	"19"	"76"	"1"	"187"	"47"	"3"	"1"	"3"	"0"	"0"	"3"	"34"	"4"	"2"	"3"	"7"	"4"	"7"	"2"	"403"	"0"	"403"	"0"
"42"	"37"	"18"	"100"	"2"	"154"	"68"	"3"	"3"	"0"	"0"	"1"	"0"	"32"	"2"	"1"	"2"	"7"	"2"	"3"	"1"	"399"	"0"	"399"	"0"
"43"	"38"	"35"	"107"	"9"	"285"	"92"	"5"	"3"	"4"	"2"	"6"	"3"	"61"	"11"	"3"	"7"	"25"	"0"	"0"	"1"	"659"	"0"	"659"	"0"
"44"	"39"	"9"	"11"	"2"	"81"	"23"	"0"	"0"	"1"	"0"	"1"	"0"	"7"	"2"	"0"	"2"	"1"	"0"	"0"	"1"	"141"	"0"	"141"	"0"
"45"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"46"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshray a Nishad"	"Sajjan Chaudhary"	""	""	""	""
"47"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"48"	"40"	"45"	"37"	"1"	"295"	"245"	"5"	"2"	"6"	"1"	"1"	"3"	"42"	"7"	"0"	"5"	"10"	"9"	"2"	"0"	"716"	"0"	"716"	"0"
"49"	"41"	"14"	"37"	"1"	"219"	"166"	"7"	"7"	"5"	"0"	"1"	"2"	"77"	"14"	"2"	"1"	"17"	"2"	"1"	"5"	"578"	"0"	"578"	"0"
"50"	"42"	"68"	"61"	"2"	"51"	"257"	"12"	"3"	"1"	"1"	"4"	"0"	"6"	"3"	"0"	"1"	"12"	"3"	"2"	"7"	"494"	"0"	"494"	"0"
"51"	"43"	"48"	"21"	"3"	"211"	"239"	"9"	"2"	"5"	"5"	"4"	"5"	"47"	"5"	"2"	"2"	"29"	"2"	"1"	"1"	"641"	"0"	"641"	"0"
"52"	"44"	"128"	"50"	"0"	"86"	"216"	"2"	"2"	"2"	"1"	"5"	"6"	"73"	"2"	"2"	"3"	"19"	"10"	"3"	"6"	"616"	"0"	"616"	"0"
"53"	"45"	"49"	"25"	"2"	"169"	"155"	"5"	"0"	"3"	"2"	"2"	"8"	"20"	"4"	"6"	"3"	"11"	"0"	"0"	"0"	"464"	"0"	"464"	"0"
"54"	"46"	"62"	"7"	"1"	"131"	"199"	"6"	"3"	"0"	"0"	"2"	"5"	"6"	"6"	"2"	"3"	"20"	"6"	"1"	"4"	"464"	"0"	"464"	"0"
"55"	"47"	"29"	"13"	"2"	"182"	"309"	"6"	"3"	"2"	"0"	"1"	"7"	"31"	"8"	"5"	"5"	"24"	"8"	"7"	"4"	"646"	"0"	"646"	"0"
"56"	"48"	"20"	"19"	"5"	"254"	"191"	"6"	"3"	"0"	"0"	"2"	"0"	"23"	"4"	"4"	"6"	"4"	"2"	"0"	"1"	"544"	"0"	"544"	"0"
"57"	"49"	"17"	"51"	"5"	"235"	"196"	"10"	"1"	"2"	"4"	"3"	"4"	"35"	"9"	"7"	"13"	"22"	"1"	"1"	"1"	"617"	"0"	"617"	"0"
"58"	"50"	"23"	"65"	"1"	"150"	"192"	"4"	"1"	"2"	"2"	"4"	"1"	"73"	"2"	"5"	"12"	"23"	"0"	"0"	"0"	"560"	"0"	"560"	"0"
"59"	"51"	"86"	"44"	"7"	"111"	"326"	"16"	"5"	"3"	"2"	"6"	"5"	"57"	"6"	"2"	"5"	"7"	"10"	"8"	"3"	"709"	"0"	"709"	"0"
"60"	"52"	"22"	"45"	"2"	"37"	"194"	"9"	"1"	"1"	"1"	"2"	"0"	"14"	"4"	"4"	"5"	"17"	"0"	"0"	"1"	"359"	"0"	"359"	"0"
"61"	"53"	"39"	"39"	"3"	"79"	"200"	"7"	"1"	"5"	"1"	"3"	"11"	"65"	"5"	"5"	"6"	"35"	"2"	"1"	"1"	"508"	"0"	"508"	"0"
"62"	"54"	"9"	"13"	"0"	"140"	"160"	"3"	"0"	"1"	"1"	"0"	"1"	"17"	"5"	"1"	"2"	"9"	"1"	"2"	"2"	"367"	"0"	"367"	"0"
"63"	"55"	"43"	"26"	"4"	"158"	"148"	"5"	"0"	"1"	"3"	"2"	"2"	"38"	"2"	"4"	"3"	"9"	"0"	"2"	"0"	"450"	"0"	"450"	"0"
"64"	"56"	"39"	"49"	"6"	"168"	"81"	"1"	"2"	"2"	"3"	"2"	"4"	"41"	"8"	"2"	"3"	"13"	"13"	"5"	"5"	"447"	"0"	"447"	"0"
"65"	"57"	"25"	"25"	"2"	"143"	"255"	"7"	"2"	"0"	"0"	"5"	"8"	"67"	"6"	"7"	"5"	"15"	"0"	"1"	"0"	"573"	"0"	"573"	"0"
"66"	"58"	"17"	"6"	"1"	"43"	"207"	"5"	"1"	"2"	"1"	"0"	"2"	"24"	"1"	"4"	"1"	"3"	"0"	"0"	"2"	"320"	"0"	"320"	"0"
"67"	"59"	"32"	"57"	"2"	"250"	"322"	"9"	"4"	"6"	"6"	"3"	"6"	"72"	"7"	"8"	"8"	"14"	"4"	"3"	"8"	"821"	"0"	"821"	"0"
"68"	"60"	"24"	"13"	"0"	"133"	"303"	"8"	"2"	"0"	"1"	"0"	"2"	"8"	"8"	"4"	"7"	"8"	"5"	"7"	"4"	"537"	"0"	"537"	"0"
"69"	"61"	"27"	"11"	"2"	"210"	"305"	"7"	"0"	"0"	"0"	"0"	"3"	"10"	"4"	"1"	"3"	"7"	"0"	"3"	"0"	"593"	"0"	"593"	"0"
"70"	"62"	"173"	"16"	"4"	"146"	"17"	"5"	"3"	"9"	"2"	"7"	"9"	"43"	"8"	"4"	"10"	"40"	"4"	"0"	"0"	"500"	"0"	"500"	"0"
"71"	"63"	"82"	"14"	"9"	"275"	"20"	"0"	"4"	"4"	"2"	"4"	"8"	"39"	"30"	"11"	"20"	"43"	"10"	"3"	"11"	"589"	"0"	"589"	"0"
"72"	"64"	"26"	"25"	"6"	"241"	"48"	"5"	"1"	"3"	"0"	"9"	"1"	"95"	"10"	"3"	"3"	"10"	"0"	"1"	"0"	"487"	"0"	"487"	"0"
"73"	"65"	"4"	"22"	"5"	"206"	"20"	"2"	"1"	"1"	"0"	"3"	"2"	"20"	"3"	"2"	"5"	"14"	"0"	"0"	"1"	"311"	"0"	"311"	"0"
"74"	"66"	"50"	"82"	"4"	"243"	"88"	"8"	"2"	"2"	"4"	"2"	"3"	"22"	"26"	"7"	"10"	"32"	"1"	"0"	"0"	"586"	"0"	"586"	"0"
"75"	"67"	"95"	"92"	"6"	"215"	"137"	"5"	"2"	"3"	"2"	"1"	"10"	"29"	"5"	"5"	"2"	"11"	"7"	"5"	"12"	"644"	"0"	"644"	"0"
"76"	"68"	"23"	"26"	"8"	"267"	"54"	"3"	"0"	"3"	"1"	"1"	"4"	"53"	"8"	"1"	"6"	"9"	"3"	"0"	"5"	"475"	"0"	"475"	"0"
"77"	"69"	"18"	"8"	"7"	"312"	"24"	"1"	"0"	"0"	"1"	"2"	"0"	"29"	"7"	"0"	"1"	"1"	"7"	"5"	"16"	"439"	"0"	"439"	"0"
"78"	"70"	"37"	"89"	"2"	"72"	"187"	"2"	"4"	"2"	"1"	"1"	"4"	"31"	"2"	"4"	"0"	"5"	"3"	"1"	"0"	"447"	"0"	"447"	"0"
"79"	"71"	"22"	"64"	"0"	"49"	"131"	"6"	"1"	"1"	"1"	"0"	"0"	"18"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"298"	"0"	"298"	"0"
"80"	"72"	"124"	"103"	"1"	"95"	"154"	"3"	"2"	"2"	"2"	"1"	"10"	"16"	"0"	"2"	"6"	"23"	"4"	"0"	"0"	"548"	"0"	"548"	"0"
"81"	"73"	"167"	"79"	"7"	"124"	"74"	"3"	"0"	"1"	"1"	"2"	"5"	"17"	"1"	"1"	"2"	"8"	"5"	"0"	"2"	"499"	"0"	"499"	"0"
"82"	"74"	"58"	"13"	"3"	"14"	"91"	"2"	"0"	"0"	"1"	"1"	"1"	"7"	"2"	"0"	"2"	"15"	"0"	"0"	"0"	"210"	"0"	"210"	"0"
"83"	"75"	"92"	"79"	"4"	"25"	"266"	"7"	"2"	"4"	"4"	"1"	"4"	"39"	"1"	"0"	"1"	"7"	"3"	"5"	"3"	"547"	"0"	"547"	"0"
"84"	"76"	"128"	"17"	"0"	"39"	"106"	"2"	"0"	"0"	"3"	"0"	"1"	"14"	"1"	"0"	"1"	"3"	"1"	"0"	"0"	"316"	"0"	"316"	"0"
"85"	"77"	"34"	"40"	"0"	"223"	"117"	"2"	"3"	"2"	"1"	"1"	"0"	"10"	"2"	"2"	"2"	"3"	"0"	"1"	"0"	"443"	"0"	"443"	"0"
"86"	"78"	"17"	"22"	"2"	"93"	"60"	"3"	"0"	"0"	"0"	"0"	"1"	"10"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"209"	"0"	"209"	"0"
"87"	"79"	"25"	"58"	"8"	"119"	"322"	"7"	"1"	"1"	"0"	"1"	"1"	"19"	"3"	"1"	"2"	"9"	"4"	"4"	"5"	"590"	"0"	"590"	"0"
"88"	"80"	"40"	"53"	"7"	"124"	"107"	"1"	"3"	"1"	"1"	"1"	"3"	"8"	"1"	"1"	"1"	"3"	"0"	"2"	"0"	"357"	"0"	"357"	"0"
"89"	"81"	"41"	"23"	"12"	"235"	"55"	"3"	"0"	"2"	"1"	"0"	"3"	"15"	"1"	"3"	"1"	"12"	"1"	"1"	"0"	"409"	"0"	"409"	"0"
"90"	"82"	"19"	"22"	"0"	"185"	"39"	"0"	"1"	"2"	"0"	"1"	"1"	"8"	"3"	"1"	"1"	"7"	"7"	"4"	"4"	"305"	"0"	"305"	"0"
"91"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"92"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshray a Nishad"	"Sajjan Chaudhary"	""	""	""	""
"93"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"94"	"83"	"99"	"92"	"10"	"228"	"138"	"7"	"2"	"4"	"2"	"3"	"4"	"26"	"9"	"4"	"7"	"25"	"5"	"4"	"2"	"671"	"0"	"671"	"0"
"95"	"84"	"90"	"32"	"4"	"71"	"307"	"7"	"6"	"2"	"2"	"1"	"1"	"13"	"1"	"0"	"2"	"15"	"3"	"0"	"2"	"559"	"0"	"559"	"0"
"96"	"85"	"161"	"56"	"0"	"32"	"317"	"7"	"2"	"0"	"0"	"4"	"4"	"41"	"0"	"5"	"3"	"10"	"6"	"1"	"1"	"650"	"0"	"650"	"0"
"97"	"86"	"34"	"83"	"3"	"30"	"405"	"10"	"2"	"2"	"2"	"2"	"2"	"74"	"1"	"2"	"4"	"6"	"1"	"0"	"1"	"664"	"0"	"664"	"0"
"98"	"87"	"3"	"28"	"5"	"112"	"451"	"7"	"1"	"0"	"0"	"0"	"0"	"8"	"1"	"1"	"0"	"6"	"1"	"0"	"0"	"624"	"0"	"624"	"0"
"99"	"88"	"43"	"29"	"3"	"85"	"402"	"7"	"4"	"1"	"1"	"1"	"8"	"16"	"3"	"5"	"6"	"12"	"8"	"7"	"18"	"659"	"0"	"659"	"0"
"100"	"89"	"4"	"188"	"1"	"120"	"209"	"2"	"0"	"1"	"2"	"2"	"0"	"105"	"4"	"2"	"2"	"4"	"5"	"4"	"4"	"659"	"0"	"659"	"0"
"101"	"90"	"8"	"63"	"2"	"148"	"342"	"10"	"7"	"4"	"2"	"3"	"6"	"21"	"9"	"3"	"9"	"12"	"1"	"0"	"2"	"652"	"0"	"652"	"0"
"102"	"91"	"9"	"127"	"2"	"131"	"388"	"4"	"2"	"0"	"4"	"1"	"3"	"30"	"1"	"1"	"2"	"9"	"0"	"0"	"1"	"715"	"0"	"715"	"0"
"103"	"92"	"4"	"56"	"3"	"122"	"179"	"4"	"0"	"0"	"0"	"0"	"1"	"16"	"1"	"3"	"3"	"8"	"1"	"2"	"1"	"404"	"0"	"404"	"0"
"104"	"93"	"4"	"59"	"6"	"85"	"169"	"0"	"0"	"0"	"0"	"0"	"1"	"8"	"1"	"0"	"1"	"5"	"3"	"0"	"0"	"342"	"0"	"342"	"0"
"105"	"94"	"21"	"31"	"4"	"103"	"245"	"4"	"0"	"0"	"3"	"0"	"5"	"34"	"4"	"4"	"1"	"9"	"2"	"1"	"0"	"471"	"0"	"471"	"0"
"106"	"95"	"46"	"71"	"2"	"111"	"319"	"6"	"2"	"0"	"1"	"1"	"0"	"38"	"2"	"5"	"3"	"19"	"0"	"0"	"0"	"626"	"0"	"626"	"0"
"107"	"96"	"65"	"32"	"7"	"78"	"214"	"16"	"4"	"7"	"3"	"3"	"9"	"98"	"8"	"7"	"13"	"20"	"1"	"1"	"2"	"588"	"0"	"588"	"0"
"108"	"97"	"26"	"13"	"0"	"54"	"264"	"7"	"1"	"1"	"0"	"1"	"2"	"10"	"3"	"2"	"1"	"8"	"2"	"1"	"0"	"396"	"0"	"396"	"0"
"109"	"98"	"55"	"1"	"1"	"36"	"213"	"6"	"1"	"1"	"4"	"0"	"8"	"14"	"0"	"2"	"1"	"5"	"6"	"2"	"1"	"357"	"0"	"357"	"0"
"110"	"99"	"36"	"66"	"1"	"400"	"130"	"2"	"4"	"0"	"2"	"3"	"3"	"59"	"11"	"4"	"2"	"9"	"4"	"4"	"4"	"744"	"0"	"744"	"0"
"111"	"100"	"34"	"22"	"1"	"144"	"147"	"7"	"2"	"2"	"2"	"4"	"3"	"71"	"7"	"1"	"4"	"6"	"3"	"2"	"2"	"464"	"0"	"464"	"0"
"112"	"101"	"18"	"30"	"3"	"160"	"278"	"6"	"1"	"3"	"3"	"3"	"1"	"45"	"5"	"4"	"4"	"20"	"2"	"1"	"2"	"589"	"0"	"589"	"0"
"113"	"102"	"8"	"16"	"2"	"73"	"87"	"0"	"1"	"0"	"1"	"1"	"2"	"19"	"6"	"1"	"1"	"6"	"0"	"1"	"2"	"227"	"0"	"227"	"0"
"114"	"103"	"16"	"59"	"9"	"277"	"76"	"5"	"2"	"3"	"1"	"5"	"5"	"62"	"3"	"1"	"7"	"14"	"0"	"2"	"0"	"547"	"0"	"547"	"0"
"115"	"104"	"20"	"37"	"4"	"250"	"34"	"6"	"0"	"0"	"0"	"0"	"1"	"44"	"2"	"0"	"0"	"8"	"0"	"2"	"2"	"410"	"0"	"410"	"0"
"116"	"105"	"42"	"44"	"3"	"324"	"80"	"1"	"4"	"0"	"1"	"2"	"5"	"51"	"7"	"8"	"10"	"20"	"3"	"4"	"6"	"615"	"0"	"615"	"0"
"117"	"106"	"48"	"87"	"21"	"295"	"193"	"10"	"4"	"4"	"1"	"2"	"3"	"18"	"5"	"5"	"9"	"18"	"5"	"0"	"2"	"730"	"0"	"730"	"0"
"118"	"107"	"15"	"27"	"4"	"185"	"161"	"4"	"0"	"1"	"1"	"1"	"2"	"13"	"4"	"1"	"3"	"7"	"0"	"4"	"7"	"440"	"0"	"440"	"0"
"119"	"108"	"53"	"75"	"22"	"321"	"111"	"5"	"3"	"0"	"0"	"3"	"2"	"29"	"10"	"4"	"6"	"14"	"2"	"2"	"0"	"662"	"0"	"662"	"0"
"120"	"109"	"62"	"75"	"3"	"174"	"119"	"5"	"2"	"2"	"2"	"1"	"10"	"36"	"2"	"2"	"10"	"14"	"7"	"2"	"7"	"535"	"0"	"535"	"0"
"121"	"110"	"51"	"97"	"10"	"255"	"214"	"2"	"4"	"1"	"3"	"3"	"3"	"70"	"4"	"4"	"3"	"14"	"1"	"2"	"3"	"744"	"0"	"744"	"0"
"122"	"111"	"57"	"71"	"2"	"335"	"40"	"7"	"1"	"3"	"1"	"4"	"1"	"57"	"10"	"4"	"7"	"21"	"6"	"4"	"3"	"634"	"0"	"634"	"0"
"123"	"112"	"20"	"49"	"1"	"149"	"19"	"1"	"2"	"1"	"1"	"0"	"0"	"18"	"4"	"2"	"4"	"6"	"2"	"0"	"1"	"280"	"0"	"280"	"0"
"124"	"113"	"161"	"92"	"3"	"211"	"71"	"4"	"1"	"1"	"1"	"5"	"2"	"37"	"2"	"2"	"10"	"23"	"12"	"4"	"4"	"646"	"0"	"646"	"0"
"125"	"114"	"30"	"58"	"24"	"278"	"35"	"8"	"3"	"1"	"2"	"3"	"2"	"36"	"6"	"2"	"3"	"11"	"2"	"2"	"1"	"507"	"0"	"507"	"0"
"126"	"115"	"35"	"37"	"4"	"373"	"40"	"2"	"5"	"0"	"1"	"0"	"2"	"13"	"8"	"2"	"3"	"9"	"3"	"3"	"1"	"541"	"0"	"541"	"0"
"127"	"116"	"113"	"65"	"4"	"259"	"77"	"6"	"1"	"3"	"4"	"1"	"5"	"83"	"4"	"5"	"8"	"31"	"9"	"2"	"4"	"684"	"0"	"684"	"0"
"128"	"117"	"26"	"171"	"2"	"158"	"92"	"2"	"2"	"1"	"1"	"1"	"1"	"19"	"1"	"1"	"5"	"5"	"0"	"0"	"0"	"488"	"0"	"488"	"0"
"129"	"118"	"22"	"126"	"5"	"142"	"33"	"1"	"0"	"1"	"0"	"0"	"0"	"26"	"1"	"0"	"1"	"6"	"6"	"5"	"1"	"376"	"0"	"376"	"0"
