"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favou.r..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tender.ed.votes"
"41"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"42"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"43"	"38"	"38"	"5"	"9"	"108"	"3"	"122"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"0"	"254"	"0"	"254"	""
"44"	"39"	"39"	"52"	"9"	"267"	"34"	"14"	"1"	"2"	"3"	"2"	"0"	"0"	"1"	"1"	"0"	"4"	"390"	"0"	"390"	""
"45"	"40"	"40"	"35"	"7"	"223"	"25"	"29"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"7"	"3"	"3"	"338"	"0"	"338"	""
"46"	"41"	"41"	"13"	"17"	"294"	"99"	"83"	"0"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"3"	"2"	"518"	"0"	"518"	""
"47"	"42"	"42"	"29"	"21"	"453"	"18"	"12"	"2"	"2"	"4"	"2"	"3"	"2"	"6"	"20"	"17"	"16"	"607"	"0"	"607"	""
"48"	"43"	"43"	"4"	"5"	"345"	"9"	"27"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"3"	"4"	"2"	"406"	"0"	"406"	""
"49"	"44"	"44"	"17"	"16"	"330"	"13"	"74"	"2"	"0"	"2"	"0"	"1"	"1"	"1"	"9"	"3"	"5"	"474"	"0"	"474"	""
"50"	"45"	"45"	"9"	"26"	"479"	"19"	"18"	"1"	"2"	"6"	"1"	"1"	"2"	"1"	"5"	"3"	"2"	"575"	"0"	"575"	""
"51"	"46"	"46"	"46"	"22"	"386"	"23"	"7"	"0"	"1"	"3"	"2"	"1"	"6"	"9"	"9"	"13"	"15"	"543"	"0"	"543"	""
"52"	"47"	"47"	"21"	"37"	"419"	"37"	"42"	"7"	"2"	"0"	"2"	"4"	"1"	"4"	"17"	"9"	"13"	"615"	"0"	"615"	""
"53"	"48"	"48"	"21"	"9"	"172"	"11"	"82"	"3"	"0"	"4"	"1"	"0"	"3"	"1"	"14"	"6"	"9"	"336"	"0"	"336"	""
"54"	"49"	"49"	"26"	"9"	"145"	"25"	"83"	"1"	"1"	"1"	"1"	"1"	"5"	"4"	"9"	"9"	"12"	"332"	"0"	"332"	""
"55"	"50"	"50"	"30"	"16"	"372"	"90"	"77"	"2"	"1"	"1"	"2"	"3"	"1"	"5"	"17"	"19"	"17"	"653"	"0"	"653"	""
"56"	"51"	"51"	"9"	"15"	"302"	"21"	"79"	"6"	"4"	"5"	"2"	"0"	"1"	"4"	"10"	"7"	"13"	"478"	"0"	"478"	""
"57"	"52"	"52"	"88"	"15"	"252"	"174"	"93"	"2"	"6"	"2"	"2"	"1"	"1"	"3"	"15"	"4"	"17"	"675"	"0"	"675"	""
"58"	"53"	"53"	"4"	"2"	"19"	"72"	"193"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"292"	"0"	"292"	""
"59"	"54"	"54"	"27"	"17"	"315"	"49"	"155"	"3"	"7"	"6"	"6"	"1"	"0"	"4"	"17"	"9"	"9"	"625"	"0"	"625"	""
"60"	"55"	"55"	"11"	"3"	"181"	"16"	"147"	"3"	"1"	"1"	"2"	"0"	"3"	"1"	"3"	"3"	"6"	"381"	"0"	"381"	""
"61"	"56"	"56"	"44"	"3"	"60"	"48"	"97"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"5"	"0"	"2"	"264"	"0"	"264"	""
"62"	"57"	"57"	"37"	"9"	"109"	"34"	"60"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"4"	"1"	"6"	"265"	"0"	"265"	""
"63"	"58"	"58"	"8"	"9"	"48"	"13"	"333"	"16"	"4"	"9"	"2"	"2"	"2"	"4"	"6"	"2"	"2"	"460"	"0"	"460"	""
"64"	"59"	"59"	"13"	"3"	"41"	"108"	"430"	"7"	"4"	"3"	"0"	"3"	"0"	"0"	"4"	"0"	"2"	"618"	"0"	"618"	""
"65"	"60"	"60"	"3"	"2"	"27"	"22"	"228"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"287"	"0"	"287"	""
"66"	"61"	"61"	"7"	"11"	"303"	"53"	"24"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"3"	"5"	"1"	"411"	"0"	"411"	""
"67"	"62"	"62"	"11"	"10"	"246"	"36"	"12"	"2"	"3"	"2"	"0"	"3"	"2"	"2"	"13"	"7"	"11"	"360"	"0"	"360"	""
"68"	"63"	"63"	"20"	"9"	"217"	"18"	"100"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"3"	"6"	"0"	"376"	"0"	"376"	""
"69"	"64"	"64"	"25"	"1"	"319"	"24"	"27"	"3"	"1"	"1"	"2"	"0"	"1"	"1"	"7"	"1"	"3"	"416"	"0"	"416"	""
"70"	"65"	"65"	"160"	"18"	"309"	"20"	"55"	"2"	"0"	"1"	"1"	"2"	"0"	"5"	"5"	"4"	"3"	"585"	"0"	"585"	""
"71"	"66"	"66"	"3"	"8"	"583"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"609"	"0"	"609"	""
"72"	"67"	"67"	"4"	"2"	"420"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"444"	"0"	"444"	""
"73"	"68"	"68"	"61"	"11"	"175"	"27"	"92"	"1"	"3"	"1"	"0"	"0"	"3"	"2"	"2"	"3"	"3"	"384"	"0"	"384"	""
"74"	"69"	"69"	"16"	"10"	"309"	"14"	"147"	"3"	"0"	"4"	"2"	"0"	"1"	"1"	"3"	"1"	"1"	"512"	"0"	"512"	""
"75"	"70"	"70"	"2"	"10"	"100"	"16"	"49"	"2"	"0"	"1"	"0"	"0"	"2"	"2"	"6"	"2"	"5"	"197"	"0"	"197"	""
"76"	"71"	"71"	"15"	"11"	"263"	"15"	"52"	"2"	"1"	"0"	"1"	"3"	"1"	"2"	"5"	"1"	"3"	"375"	"0"	"375"	""
"77"	"72"	"72"	"7"	"19"	"229"	"5"	"58"	"1"	"2"	"0"	"0"	"1"	"1"	"2"	"7"	"4"	"3"	"339"	"0"	"339"	""
"78"	"73"	"73"	"8"	"25"	"295"	"19"	"198"	"10"	"1"	"4"	"4"	"4"	"3"	"11"	"16"	"8"	"13"	"619"	"0"	"619"	""
"79"	"74"	"74"	"3"	"7"	"133"	"12"	"381"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"4"	"549"	"0"	"549"	""
"80"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"81"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"82"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"83"	"75"	"75"	"58"	"22"	"456"	"13"	"23"	"2"	"3"	"1"	"2"	"2"	"2"	"1"	"17"	"2"	"3"	"607"	"0"	"607"	""
"84"	"76"	"76"	"8"	"3"	"460"	"28"	"20"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"4"	"8"	"6"	"543"	"0"	"543"	""
"85"	"77"	"77"	"24"	"18"	"367"	"33"	"20"	"3"	"4"	"2"	"0"	"1"	"1"	"3"	"4"	"5"	"4"	"489"	"0"	"489"	""
"86"	"78"	"78"	"4"	"6"	"607"	"7"	"9"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"7"	"0"	"2"	"649"	"0"	"649"	""
"87"	"79"	"79"	"5"	"6"	"660"	"7"	"9"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"695"	"0"	"695"	""
"88"	"80"	"80"	"13"	"9"	"582"	"2"	"22"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"635"	"0"	"635"	""
"89"	"81"	"81"	"17"	"10"	"405"	"16"	"41"	"3"	"0"	"0"	"1"	"2"	"0"	"4"	"13"	"9"	"20"	"541"	"0"	"541"	""
"90"	"82"	"82"	"10"	"5"	"64"	"44"	"182"	"5"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"316"	"0"	"316"	""
"91"	"83"	"83"	"62"	"4"	"70"	"118"	"213"	"5"	"4"	"3"	"1"	"3"	"1"	"2"	"2"	"8"	"14"	"510"	"0"	"510"	""
"92"	"84"	"84"	"7"	"9"	"246"	"17"	"39"	"3"	"2"	"2"	"2"	"1"	"1"	"1"	"5"	"7"	"5"	"347"	"0"	"347"	""
"93"	"85"	"85"	"16"	"9"	"136"	"52"	"79"	"3"	"0"	"3"	"1"	"0"	"3"	"0"	"5"	"11"	"11"	"329"	"0"	"329"	""
"94"	"86"	"86"	"16"	"6"	"94"	"269"	"37"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"3"	"0"	"2"	"433"	"0"	"433"	""
"95"	"87"	"87"	"43"	"18"	"376"	"37"	"77"	"2"	"3"	"2"	"1"	"0"	"1"	"6"	"12"	"5"	"13"	"596"	"0"	"596"	""
"96"	"88"	"88"	"32"	"6"	"333"	"32"	"66"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"7"	"7"	"5"	"494"	"0"	"494"	""
"97"	"89"	"89"	"25"	"8"	"276"	"99"	"78"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"5"	"4"	"9"	"508"	"0"	"508"	""
"98"	"90"	"90"	"52"	"17"	"176"	"162"	"17"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"8"	"3"	"3"	"442"	"0"	"442"	""
"99"	"91"	"91"	"6"	"4"	"139"	"98"	"95"	"5"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"354"	"0"	"354"	""
"100"	"92"	"92"	"27"	"19"	"233"	"81"	"18"	"0"	"6"	"1"	"2"	"6"	"2"	"8"	"12"	"8"	"12"	"435"	"0"	"435"	""
"101"	"93"	"93"	"253"	"7"	"116"	"21"	"37"	"3"	"3"	"3"	"0"	"0"	"1"	"1"	"4"	"2"	"13"	"464"	"0"	"464"	""
"102"	"94"	"94"	"71"	"11"	"158"	"36"	"50"	"1"	"3"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"337"	"0"	"337"	""
"103"	"95"	"95"	"63"	"7"	"84"	"200"	"11"	"3"	"3"	"0"	"2"	"0"	"0"	"0"	"4"	"2"	"2"	"381"	"0"	"381"	""
"104"	"96"	"96"	"4"	"10"	"118"	"114"	"68"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"1"	"0"	"323"	"0"	"323"	""
"105"	"97"	"97"	"23"	"31"	"264"	"102"	"46"	"3"	"0"	"2"	"1"	"1"	"0"	"2"	"4"	"4"	"4"	"487"	"0"	"487"	""
"106"	"98"	"98"	"62"	"18"	"223"	"158"	"28"	"1"	"3"	"1"	"0"	"0"	"2"	"1"	"7"	"2"	"4"	"510"	"0"	"510"	""
"107"	"99"	"99"	"66"	"18"	"195"	"83"	"46"	"1"	"1"	"0"	"2"	"1"	"0"	"3"	"5"	"2"	"6"	"429"	"0"	"429"	""
"108"	"100"	"100"	"139"	"19"	"304"	"147"	"86"	"5"	"3"	"2"	"0"	"4"	"0"	"3"	"7"	"1"	"10"	"730"	"0"	"730"	""
"109"	"101"	"101"	"12"	"29"	"242"	"95"	"48"	"7"	"0"	"3"	"2"	"2"	"3"	"8"	"20"	"13"	"4"	"488"	"0"	"488"	""
"110"	"102"	"102"	"5"	"9"	"144"	"50"	"385"	"5"	"3"	"3"	"3"	"1"	"1"	"3"	"4"	"8"	"3"	"627"	"0"	"627"	""
"111"	"103"	"103"	"303"	"7"	"39"	"19"	"18"	"0"	"2"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"7"	"401"	"0"	"401"	""
"112"	"104"	"104"	"208"	"11"	"87"	"59"	"41"	"3"	"3"	"4"	"0"	"2"	"3"	"11"	"13"	"5"	"44"	"494"	"0"	"494"	""
"113"	"105"	"105"	"75"	"16"	"169"	"21"	"98"	"3"	"4"	"4"	"3"	"0"	"1"	"3"	"20"	"5"	"8"	"430"	"0"	"430"	""
"114"	"106"	"106"	"57"	"11"	"145"	"143"	"65"	"2"	"4"	"0"	"1"	"1"	"0"	"3"	"4"	"2"	"2"	"440"	"0"	"440"	""
"115"	"107"	"107"	"7"	"6"	"66"	"134"	"96"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"313"	"0"	"313"	""
"116"	"108"	"108"	"12"	"6"	"143"	"18"	"284"	"2"	"4"	"1"	"1"	"0"	"0"	"3"	"3"	"5"	"4"	"486"	"0"	"486"	""
"117"	"109"	"109"	"55"	"5"	"26"	"44"	"131"	"1"	"0"	"1"	"0"	"0"	"3"	"3"	"3"	"3"	"12"	"287"	"0"	"287"	""
"118"	"110"	"110"	"281"	"9"	"64"	"7"	"23"	"2"	"2"	"1"	"0"	"1"	"1"	"2"	"3"	"4"	"11"	"411"	"0"	"411"	""
"119"	"111"	"111"	"21"	"32"	"665"	"21"	"45"	"6"	"3"	"2"	"3"	"1"	"1"	"2"	"7"	"9"	"6"	"824"	"0"	"824"	""
"120"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"121"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"122"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"123"	"112"	"112"	"23"	"26"	"287"	"63"	"147"	"16"	"10"	"7"	"4"	"2"	"4"	"3"	"11"	"6"	"3"	"612"	"0"	"612"	""
"124"	"113"	"113"	"9"	"3"	"110"	"85"	"41"	"2"	"2"	"2"	"0"	"1"	"2"	"2"	"4"	"7"	"10"	"280"	"0"	"280"	""
"125"	"114"	"114"	"12"	"3"	"39"	"69"	"379"	"1"	"2"	"2"	"0"	"1"	"2"	"2"	"3"	"4"	"1"	"520"	"0"	"520"	""
"126"	"115"	"115"	"37"	"17"	"286"	"41"	"36"	"3"	"8"	"5"	"5"	"0"	"2"	"2"	"8"	"1"	"4"	"455"	"0"	"455"	""
"127"	"116"	"116"	"7"	"3"	"73"	"85"	"248"	"3"	"1"	"1"	"0"	"0"	"2"	"0"	"2"	"1"	"2"	"428"	"0"	"428"	""
"128"	"117"	"117"	"12"	"5"	"69"	"42"	"373"	"5"	"3"	"2"	"2"	"1"	"7"	"3"	"3"	"4"	"5"	"536"	"0"	"536"	""
"129"	"118"	"118"	"29"	"11"	"106"	"72"	"166"	"3"	"5"	"1"	"0"	"1"	"1"	"3"	"2"	"5"	"7"	"412"	"0"	"412"	""
"130"	"119"	"119"	"344"	"6"	"201"	"21"	"29"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"4"	"614"	"0"	"614"	""
"131"	"120"	"120"	"12"	"7"	"286"	"61"	"105"	"2"	"0"	"0"	"1"	"2"	"2"	"3"	"8"	"6"	"14"	"509"	"0"	"509"	""
"132"	"121"	"121"	"21"	"4"	"116"	"32"	"169"	"7"	"5"	"2"	"4"	"4"	"4"	"2"	"11"	"6"	"12"	"399"	"0"	"399"	""
"133"	"122"	"122"	"186"	"8"	"92"	"18"	"70"	"2"	"2"	"1"	"1"	"0"	"2"	"4"	"14"	"7"	"8"	"415"	"0"	"415"	""
"134"	"123"	"123"	"136"	"13"	"252"	"28"	"50"	"1"	"7"	"2"	"0"	"2"	"1"	"1"	"6"	"3"	"5"	"507"	"0"	"507"	""
"135"	"124"	"124"	"7"	"7"	"227"	"187"	"62"	"2"	"0"	"5"	"1"	"1"	"3"	"0"	"7"	"4"	"10"	"523"	"0"	"523"	""
"136"	"125"	"125"	"102"	"14"	"174"	"68"	"63"	"7"	"7"	"5"	"2"	"2"	"4"	"6"	"11"	"16"	"30"	"511"	"0"	"511"	""
"137"	"126"	"126"	"3"	"4"	"147"	"16"	"123"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"296"	"0"	"296"	""
"138"	"127"	"127"	"52"	"7"	"82"	"31"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"234"	"0"	"234"	""
"139"	"128"	"128"	"32"	"18"	"129"	"136"	"55"	"6"	"5"	"6"	"1"	"1"	"0"	"4"	"14"	"8"	"7"	"422"	"0"	"422"	""
"140"	"129"	"129"	"23"	"19"	"82"	"169"	"60"	"6"	"5"	"3"	"2"	"0"	"0"	"1"	"4"	"2"	"3"	"379"	"0"	"379"	""
"141"	"130"	"130"	"19"	"6"	"99"	"258"	"29"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"3"	"2"	"421"	"0"	"421"	""
"142"	"131"	"131"	"18"	"20"	"241"	"167"	"76"	"2"	"4"	"2"	"1"	"1"	"1"	"3"	"3"	"1"	"3"	"543"	"0"	"543"	""
"143"	"132"	"132"	"87"	"4"	"214"	"32"	"39"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"4"	"7"	"403"	"0"	"403"	""
"144"	"133"	"133"	"178"	"13"	"105"	"193"	"36"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"5"	"1"	"5"	"541"	"0"	"541"	""
"145"	"134"	"134"	"54"	"14"	"126"	"198"	"32"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"3"	"434"	"0"	"434"	""
"146"	"135"	"135"	"37"	"14"	"93"	"116"	"40"	"0"	"1"	"3"	"1"	"1"	"1"	"9"	"5"	"4"	"9"	"334"	"0"	"334"	""
"147"	"136"	"136"	"167"	"7"	"79"	"48"	"11"	"2"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"15"	"337"	"0"	"337"	""
"148"	"137"	"137"	"123"	"21"	"210"	"51"	"22"	"0"	"1"	"6"	"2"	"0"	"0"	"4"	"10"	"5"	"5"	"460"	"0"	"460"	""
"149"	"138"	"138"	"19"	"16"	"123"	"228"	"103"	"2"	"1"	"0"	"3"	"0"	"0"	"4"	"1"	"3"	"3"	"506"	"0"	"506"	""
"150"	"139"	"139"	"91"	"8"	"194"	"54"	"40"	"3"	"2"	"5"	"0"	"1"	"0"	"0"	"6"	"3"	"4"	"411"	"0"	"411"	""
"151"	"140"	"140"	"224"	"7"	"27"	"4"	"6"	"1"	"7"	"3"	"1"	"1"	"0"	"1"	"1"	"1"	"5"	"289"	"0"	"289"	""
