"er.nku.dsUnz.l.a....k"	"i.kj.l..ukFk.i.kBd"	"c.f..k.k.i.Vsy"	"fot.....kadj..nwcs"	"gsuk...kgkc"	"vej..ukFk...kno"	"vLouh.dq0.oekZ"	"ek.kqj.h.i.k.Ms."	"yky..ckcq.fr.okj.h"	"mes..k.fr.okj.h"	"vkse.i.zdk..k...kno"	"fuf.k.dhfr.Z"	"i.zHkw.ukFk.ekyh"	"MkW0.equs..oj.i.zl.kn"	"j.kt.sUnz.dqekj"	"X..kEHkw.ukFk.i.zl.kn"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr.er.ksa.dh.dqy..l.a....k"
"49"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"50"	30	4	41	6	147	110	7	7	21	12	88	11	3	7	12	10	486	0	486	NA
"51"	31	10	61	2	23	196	12	1	23	5	91	0	1	0	6	0	431	0	431	NA
"52"	32	39	31	16	62	183	12	4	17	12	67	4	2	0	1	3	453	0	453	NA
"53"	33	69	12	1	40	23	1	5	1	8	125	1	2	2	12	10	312	0	312	NA
"54"	34	41	1	1	11	144	17	3	17	7	152	3	3	1	7	4	412	0	412	NA
"55"	35	8	9	6	28	137	9	3	16	10	62	8	5	5	12	12	330	0	330	NA
"56"	36	20	1	0	13	302	7	2	16	5	88	2	1	2	3	3	465	0	465	NA
"57"	37	11	4	6	58	71	7	1	11	4	181	1	4	0	3	2	364	0	364	NA
"58"	38	12	12	6	19	220	12	8	11	8	136	8	3	0	7	3	465	0	465	NA
"59"	39	82	17	18	104	281	7	9	29	23	274	8	5	2	32	17	908	0	908	NA
"60"	NA	296	189	62	505	1667	91	43	162	94	1264	46	29	19	95	64	4626	0	4626	0
"61"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"62"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"64"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"66"	40	9	9	1	23	156	4	0	10	3	177	3	1	1	7	2	406	NA	406	NA
"67"	41	20	1	3	21	163	2	1	7	3	17	0	0	0	1	2	241	NA	241	NA
"68"	42	29	13	4	100	80	0	1	8	1	113	3	2	1	11	0	366	NA	366	NA
"69"	43	7	13	11	26	119	7	6	20	12	129	7	3	2	7	10	379	NA	379	NA
"70"	44	1	6	7	61	185	4	1	12	8	79	6	1	1	4	5	381	NA	381	NA
"71"	45	123	3	3	50	31	0	1	2	5	24	1	0	0	3	5	251	NA	251	NA
"72"	46	4	3	1	5	8	3	0	6	2	206	3	1	1	5	4	252	NA	252	NA
"73"	47	15	6	7	79	41	2	2	3	5	416	5	4	2	8	5	600	NA	600	NA
"74"	48	0	19	1	33	84	3	2	4	2	130	1	1	0	7	1	288	NA	288	NA
"75"	49	44	9	6	26	46	6	6	22	7	229	4	1	4	20	7	437	NA	437	NA
"76"	NA	252	82	44	424	913	31	20	94	48	1520	33	14	12	73	41	3601	0	3601	0
"77"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"82"	50	23	71	21	75	265	11	7	32	13	161	8	7	2	6	7	709	NA	709	NA
"83"	51	47	31	12	81	143	11	3	18	1	117	8	0	0	7	2	481	NA	481	NA
"84"	52	20	9	9	91	78	7	2	13	12	325	5	5	2	10	4	592	NA	592	NA
"85"	53	41	10	4	50	81	7	4	13	14	90	9	2	2	13	19	359	NA	359	NA
"86"	54	98	41	24	39	61	8	7	10	5	172	5	6	2	19	21	518	NA	518	NA
"87"	55	73	16	6	38	15	6	6	5	10	294	7	5	3	44	12	540	NA	540	NA
"88"	56	21	14	11	208	54	11	11	8	10	367	5	6	11	32	18	787	NA	787	NA
"89"	57	9	55	7	206	54	4	6	5	16	361	11	2	3	28	7	774	NA	774	NA
"90"	58	85	14	5	59	36	4	0	7	5	48	3	1	1	5	2	275	NA	275	NA
"91"	59	35	31	6	176	71	5	5	16	12	269	2	5	4	10	7	654	NA	654	NA
"92"	NA	452	292	105	1023	858	74	51	127	98	2204	63	39	30	174	99	5689	0	5689	0
"93"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"98"	60	7	34	5	51	14	2	3	0	7	180	6	2	0	11	4	326	NA	326	NA
"99"	61	4	39	2	107	15	0	2	2	2	243	3	0	3	18	5	445	NA	445	NA
"100"	62	6	0	4	58	18	4	2	1	7	337	2	0	1	4	1	445	NA	445	NA
"101"	63	24	7	8	69	138	4	1	9	12	105	5	4	1	10	4	401	NA	401	NA
"102"	64	41	5	2	40	125	4	1	9	5	111	6	1	4	11	7	372	NA	372	NA
"103"	65	12	5	8	129	7	9	4	5	14	329	3	7	7	28	9	576	NA	576	NA
"104"	66	5	8	8	142	67	7	9	15	13	239	10	6	3	31	11	574	NA	574	NA
"105"	67	18	2	5	51	101	6	4	15	6	133	10	5	5	15	14	390	NA	390	NA
"106"	68	6	29	12	42	213	8	4	22	26	176	25	4	7	22	22	618	NA	618	NA
"107"	69	0	3	2	7	33	5	1	10	6	369	8	0	2	17	7	470	NA	470	NA
"108"	NA	123	132	56	696	731	49	31	88	98	2222	78	29	33	167	84	4617	0	4617	0
"109"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"110"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"114"	70	59	17	2	78	72	2	5	17	8	170	9	6	7	17	18	487	NA	487	NA
"115"	71	42	38	6	42	176	7	1	18	7	96	9	2	5	6	18	473	NA	473	NA
"116"	72	6	25	7	57	40	3	2	3	2	63	0	1	1	4	1	215	NA	215	NA
"117"	73	6	14	4	9	56	3	0	6	6	36	0	2	3	4	6	155	NA	155	NA
"118"	74	9	12	13	28	39	3	2	3	2	108	1	0	2	8	0	230	NA	230	NA
"119"	75	17	20	24	10	145	5	6	24	14	131	18	4	5	18	11	452	NA	452	NA
"120"	76	70	9	5	21	13	5	0	4	1	91	0	1	3	5	2	230	NA	230	NA
"121"	77	35	9	15	9	58	2	1	10	0	122	1	0	2	7	4	275	NA	275	NA
"122"	78	17	11	3	38	127	7	1	10	4	46	1	0	1	3	1	270	NA	270	NA
"123"	79	49	57	4	139	201	11	2	15	2	50	4	2	2	4	1	543	NA	543	NA
"124"	NA	310	212	83	431	927	48	20	110	46	913	43	18	31	76	62	3330	0	3330	0
"125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"127"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"128"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"130"	80	4	56	5	13	133	2	1	6	2	55	1	2	0	3	3	286	NA	286	NA
"131"	81	66	73	8	94	199	5	6	10	12	55	9	7	4	3	14	565	NA	565	NA
"132"	82	9	58	7	21	172	7	4	16	8	70	14	6	5	16	18	431	NA	431	NA
"133"	83	13	44	2	38	121	7	5	5	7	80	8	4	4	11	3	352	NA	352	NA
"134"	84	7	148	14	66	128	6	7	10	13	165	10	19	9	17	13	632	NA	632	NA
"135"	85	7	245	6	83	52	6	0	6	3	33	2	1	0	5	2	451	NA	451	NA
"136"	86	25	66	6	62	89	5	1	3	0	33	9	5	2	6	13	325	NA	325	NA
"137"	87	11	32	13	59	76	14	6	5	7	81	5	0	0	7	2	318	NA	318	NA
"138"	88	22	96	3	55	178	5	2	17	7	161	9	2	1	7	10	575	NA	575	NA
"139"	89	50	3	2	34	121	5	1	11	11	63	13	5	2	5	10	336	NA	336	NA
"140"	NA	214	821	66	525	1269	62	33	89	70	796	80	51	27	80	88	4271	0	4271	0
"141"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"146"	90	29	23	6	253	156	11	8	7	17	43	8	6	2	6	7	582	NA	582	NA
"147"	91	0	27	4	74	15	0	3	0	0	41	1	1	2	6	0	174	NA	174	NA
"148"	92	15	59	12	255	176	12	6	28	9	120	19	7	6	16	11	751	NA	751	NA
"149"	93	22	8	6	80	249	10	3	9	3	53	20	8	2	3	9	485	NA	485	NA
"150"	94	8	16	5	101	105	5	0	11	8	349	13	3	2	9	7	642	NA	642	NA
"151"	95	1	8	4	82	103	8	2	28	12	11	12	6	9	5	4	295	NA	295	NA
"152"	96	52	3	44	49	119	9	2	12	4	151	13	8	3	12	13	494	NA	494	NA
"153"	97	18	9	6	99	301	7	4	14	6	165	14	13	1	9	5	671	NA	671	NA
"154"	98	14	5	5	66	247	4	1	11	11	117	4	4	1	5	6	501	NA	501	NA
"155"	99	22	8	5	36	295	14	5	23	13	197	10	4	0	9	3	644	NA	644	NA
"156"	NA	181	166	97	1095	1766	80	34	143	83	1247	114	60	28	80	65	5239	0	5239	0
"157"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"159"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"162"	100	10	17	5	35	8	2	0	1	4	130	0	0	1	7	2	222	NA	222	NA
"163"	101	43	24	13	52	296	11	5	26	13	63	18	15	12	13	36	640	NA	640	NA
"164"	102	42	20	1	51	251	2	1	12	4	84	4	2	1	2	1	478	NA	478	NA
"165"	103	18	11	10	67	135	5	3	11	3	50	7	2	3	6	4	335	NA	335	NA
"166"	104	29	5	5	109	234	6	4	14	6	14	3	5	4	1	3	442	NA	442	NA
"167"	105	17	9	11	105	107	7	6	4	8	285	8	1	2	10	6	586	NA	586	NA
"168"	106	33	10	8	54	264	10	7	36	13	75	9	2	3	9	20	553	NA	553	NA
"169"	107	62	7	18	97	76	3	1	9	6	35	1	1	1	4	4	325	NA	325	NA
"170"	108	24	12	10	57	122	6	6	9	8	107	1	1	0	10	4	377	NA	377	NA
"171"	109	8	26	5	114	108	8	7	9	11	85	10	7	2	7	8	415	NA	415	NA
"172"	NA	286	141	86	741	1601	60	40	131	76	928	61	36	29	69	88	4373	0	4373	0
"173"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"176"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"178"	110	10	1	0	86	193	9	3	18	4	70	15	7	11	4	14	445	NA	445	NA
"179"	111	67	13	6	102	195	9	6	12	11	98	21	15	5	14	28	602	NA	602	NA
"180"	112	54	20	7	110	147	15	7	23	11	285	7	2	4	33	11	736	NA	736	NA
"181"	113	9	8	9	57	337	11	5	38	6	183	25	11	11	14	12	736	NA	736	NA
"182"	114	25	24	2	24	104	2	1	13	4	76	5	1	1	4	2	288	NA	288	NA
"183"	115	23	13	8	68	184	7	2	14	6	69	2	7	2	12	9	426	NA	426	NA
"184"	116	156	23	4	56	173	2	1	12	5	104	2	7	3	11	14	573	NA	573	NA
"185"	117	10	10	12	25	182	10	5	9	11	118	13	7	2	18	12	444	NA	444	NA
"186"	118	15	2	1	27	76	6	0	6	5	123	5	3	2	11	5	287	NA	287	NA
"187"	119	40	83	11	30	203	11	4	25	22	110	58	17	11	15	34	674	NA	674	NA
"188"	NA	409	197	60	585	1794	82	34	170	85	1236	153	77	52	136	141	5211	0	5211	0
"189"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"190"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"192"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"194"	120	13	40	4	52	286	14	4	23	19	115	33	16	7	13	29	668	NA	668	NA
"195"	121	2	59	2	54	72	5	5	9	6	80	6	4	6	11	15	336	NA	336	NA
"196"	122	8	22	6	75	98	7	7	15	21	114	10	9	5	21	11	429	NA	429	NA
"197"	123	15	6	7	21	77	5	0	4	4	132	5	2	0	9	0	287	NA	287	NA
"198"	124	15	37	8	42	370	3	1	15	6	48	6	4	1	4	1	561	NA	561	NA
"199"	125	6	13	5	293	109	6	4	8	5	37	4	3	1	4	4	502	NA	502	NA
"200"	126	52	12	3	30	138	3	5	11	2	118	4	2	1	5	5	391	NA	391	NA
"201"	127	76	9	9	82	35	5	6	7	4	100	0	3	0	10	4	350	NA	350	NA
"202"	128	70	7	3	26	142	4	1	12	7	139	4	5	3	14	6	443	NA	443	NA
"203"	129	23	5	4	25	153	2	2	10	3	45	8	1	5	7	7	300	NA	300	NA
"204"	NA	280	210	51	700	1480	54	35	114	77	928	80	49	29	98	82	4267	0	4267	0
"205"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"206"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"207"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"208"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"210"	130	71	2	3	16	37	2	1	2	4	134	1	1	0	2	2	278	NA	278	NA
"211"	131	196	72	10	80	117	4	9	26	15	73	8	8	10	31	16	675	NA	675	NA
"212"	132	54	24	7	48	112	5	0	6	8	149	4	3	0	9	1	430	NA	430	NA
"213"	133	24	11	3	191	146	7	5	10	8	281	5	4	1	18	8	722	NA	722	NA
"214"	134	293	21	13	119	11	3	2	4	6	264	4	0	2	16	19	777	NA	777	NA
"215"	135	10	12	11	165	55	3	0	4	8	127	1	3	5	9	1	414	NA	414	NA
"216"	136	48	8	4	73	40	5	1	9	9	82	6	9	4	8	18	324	NA	324	NA
"217"	137	29	13	12	317	65	9	8	10	6	212	7	7	12	20	27	754	NA	754	NA
"218"	138	28	53	4	104	39	1	0	1	2	62	5	8	6	11	5	329	NA	329	NA
"219"	139	27	31	11	121	143	8	7	17	5	115	9	5	1	9	4	513	NA	513	NA
"220"	NA	780	247	78	1234	765	47	33	89	71	1499	50	48	41	133	101	5216	0	5216	0
"221"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"222"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"224"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"226"	140	24	16	5	17	43	2	1	2	7	83	2	0	4	5	1	212	NA	212	NA
"227"	141	12	5	4	104	67	3	3	5	4	74	5	1	2	3	9	301	NA	301	NA
"228"	142	86	46	5	107	136	9	6	21	12	95	21	15	8	21	34	622	NA	622	NA
"229"	143	68	30	7	174	306	6	5	28	9	53	12	4	5	3	6	716	NA	716	NA
"230"	144	36	10	1	50	158	5	6	16	20	169	20	7	4	16	12	530	NA	530	NA
"231"	145	18	37	12	128	179	12	7	16	10	52	5	6	0	6	1	489	NA	489	NA
"232"	146	40	66	11	156	212	7	3	26	12	114	7	10	2	18	10	694	NA	694	NA
"233"	147	17	41	8	60	478	5	5	14	9	90	15	4	3	6	7	762	NA	762	NA
"234"	148	99	23	3	29	125	5	0	8	6	28	6	10	3	4	6	355	NA	355	NA
"235"	149	3	35	7	30	31	2	1	9	4	153	3	2	1	7	3	291	NA	291	NA
"236"	NA	403	309	63	855	1735	56	37	145	93	911	96	59	32	89	89	4972	0	4972	0
"237"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"238"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"242"	150	16	9	10	19	243	10	5	10	7	80	10	8	4	5	7	443	NA	443	NA
"243"	151	8	3	10	9	54	3	0	6	4	266	1	2	1	17	18	402	NA	402	NA
"244"	152	3	8	4	18	118	3	4	16	6	147	6	2	6	12	7	360	NA	360	NA
"245"	153	9	9	16	94	45	3	1	6	11	149	1	6	1	24	15	390	NA	390	NA
"246"	154	12	9	3	67	102	4	0	6	14	128	4	3	7	17	18	394	NA	394	NA
"247"	155	11	4	9	158	160	3	3	10	8	278	6	2	1	9	1	663	NA	663	NA
"248"	156	30	25	21	87	86	5	5	10	13	223	4	1	4	9	8	531	NA	531	NA
"249"	157	23	7	8	213	234	9	11	23	13	40	33	32	13	12	30	701	NA	701	NA
"250"	158	9	6	2	114	191	8	7	19	12	110	7	8	3	8	10	514	NA	514	NA
"251"	159	104	45	7	48	171	4	1	8	5	89	3	1	2	9	3	500	NA	500	NA
"252"	NA	225	125	90	827	1404	52	37	114	93	1510	75	65	42	122	117	4898	0	4898	0
"253"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"254"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"255"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"256"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"258"	160	44	39	4	38	114	10	3	27	17	118	5	4	11	8	13	455	NA	455	NA
"259"	161	35	33	9	111	207	16	9	28	13	133	27	14	8	22	15	680	NA	680	NA
"260"	162	11	51	6	18	149	5	7	10	9	116	5	5	1	13	4	410	NA	410	NA
"261"	163	5	3	4	70	169	6	4	15	13	107	7	3	2	11	7	426	NA	426	NA
"262"	164	2	6	2	14	46	3	2	5	4	294	4	1	1	13	7	404	NA	404	NA
"263"	165	79	7	8	9	156	12	3	5	8	142	6	4	4	18	8	469	NA	469	NA
