"X1.FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"27"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"28"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"29"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"30"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"31"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"33"	"15"	"3"	"2"	"58"	"523"	"6"	"2"	"1"	"8"	"0"	"0"	"2"	"605"	""	""
"34"	"16"	"28"	"9"	"80"	"161"	"10"	"4"	"5"	"19"	"8"	"7"	"11"	"342"	""	""
"35"	"17"	"4"	"5"	"157"	"222"	"10"	"2"	"5"	"14"	"11"	"4"	"13"	"447"	""	""
"36"	"18"	"22"	"5"	"173"	"179"	"6"	"4"	"6"	"14"	"10"	"7"	"11"	"437"	""	""
"37"	"19"	"8"	"4"	"105"	"144"	"8"	"3"	"2"	"7"	"7"	"1"	"0"	"289"	""	""
"38"	"20"	"3"	"1"	"74"	"19"	"1"	"0"	"0"	"0"	"4"	"0"	"2"	"104"	""	""
"39"	"21"	"13"	"6"	"70"	"234"	"4"	"5"	"4"	"9"	"5"	"5"	"3"	"358"	""	""
"40"	"22"	"33"	"2"	"192"	"34"	"12"	"0"	"0"	"3"	"4"	"2"	"7"	"289"	""	""
"41"	"23"	"13"	"11"	"154"	"248"	"13"	"3"	"7"	"11"	"9"	"9"	"6"	"484"	""	""
"42"	"24"	"10"	"2"	"137"	"269"	"9"	"1"	"11"	"10"	"7"	"12"	"21"	"489"	""	""
"43"	"25"	"10"	"4"	"395"	"57"	"20"	"5"	"10"	"10"	"22"	"9"	"27"	"569"	""	""
"44"	"26"	"12"	"3"	"208"	"269"	"12"	"7"	"8"	"21"	"22"	"13"	"35"	"610"	""	""
"45"	"27"	"4"	"4"	"421"	"30"	"5"	"2"	"0"	"2"	"8"	"2"	"6"	"484"	""	""
"46"	"28"	"12"	"4"	"246"	"144"	"9"	"7"	"5"	"12"	"11"	"3"	"3"	"456"	""	""
"47"	"Total No. of Votes"	"175"	"62"	"2470"	"2533"	"125"	"45"	"64"	"140"	"128"	"74"	"147"	"5963"	""	""
"48"	"Grand Total"	"314"	"118"	"3988"	"5599"	"225"	"91"	"149"	"324"	"213"	"125"	"210"	"11356"	""	""
"49"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"50"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"51"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"52"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"53"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"54"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"55"	"29"	"3"	"1"	"465"	"96"	"4"	"1"	"1"	"3"	"2"	"2"	"3"	"581"	""	""
"56"	"30"	"12"	"2"	"277"	"133"	"11"	"9"	"5"	"6"	"6"	"5"	"12"	"478"	""	""
"57"	"31"	"27"	"10"	"334"	"250"	"9"	"3"	"7"	"6"	"7"	"5"	"11"	"669"	""	""
"58"	"32"	"12"	"4"	"192"	"134"	"8"	"3"	"4"	"10"	"8"	"6"	"0"	"381"	""	""
"59"	"33"	"15"	"5"	"208"	"92"	"5"	"2"	"2"	"9"	"7"	"10"	"10"	"365"	""	""
"60"	"34"	"22"	"2"	"75"	"197"	"7"	"0"	"7"	"8"	"4"	"3"	"4"	"329"	""	""
"61"	"35"	"25"	"12"	"294"	"72"	"15"	"5"	"1"	"8"	"21"	"14"	"8"	"475"	""	""
"62"	"36"	"15"	"2"	"167"	"177"	"7"	"2"	"7"	"5"	"5"	"3"	"5"	"395"	""	""
"63"	"37"	"21"	"3"	"104"	"181"	"5"	"4"	"8"	"18"	"8"	"3"	"3"	"358"	""	""
"64"	"38"	"12"	"1"	"100"	"367"	"4"	"1"	"2"	"9"	"3"	"7"	"11"	"517"	""	""
"65"	"39"	"2"	"2"	"335"	"38"	"10"	"2"	"1"	"4"	"9"	"2"	"10"	"415"	""	""
"66"	"40"	"25"	"5"	"208"	"205"	"17"	"7"	"11"	"16"	"14"	"16"	"12"	"536"	""	""
"67"	"41"	"6"	"0"	"86"	"271"	"3"	"2"	"2"	"4"	"3"	"2"	"1"	"380"	""	""
"68"	"42"	"22"	"5"	"172"	"136"	"6"	"3"	"7"	"10"	"4"	"5"	"6"	"376"	""	""
"69"	"Total No. of Votes"	"219"	"54"	"3017"	"2349"	"111"	"44"	"65"	"116"	"101"	"83"	"96"	"6255"	""	""
"70"	"Grand Total"	"533"	"172"	"7005"	"7948"	"336"	"135"	"214"	"440"	"314"	"208"	"306"	"17611"	""	""
"71"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"72"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"73"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"74"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"75"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"76"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"77"	"43"	"7"	"1"	"139"	"287"	"4"	"2"	"10"	"11"	"8"	"2"	"9"	"480"	""	""
"78"	"44"	"28"	"7"	"132"	"267"	"20"	"9"	"10"	"27"	"20"	"6"	"10"	"536"	""	""
"79"	"45"	"16"	"4"	"70"	"334"	"9"	"0"	"15"	"28"	"13"	"11"	"47"	"547"	""	""
"80"	"46"	"8"	"1"	"44"	"424"	"8"	"3"	"8"	"16"	"7"	"4"	"12"	"535"	""	""
"81"	"47"	"15"	"7"	"229"	"360"	"14"	"6"	"7"	"20"	"14"	"7"	"22"	"701"	""	""
"82"	"48"	"20"	"4"	"276"	"214"	"10"	"2"	"14"	"7"	"9"	"7"	"8"	"571"	""	""
"83"	"49"	"26"	"5"	"180"	"379"	"13"	"4"	"9"	"20"	"16"	"14"	"7"	"673"	""	""
"84"	"50"	"5"	"1"	"140"	"287"	"9"	"3"	"3"	"13"	"10"	"8"	"8"	"487"	""	""
"85"	"51"	"18"	"3"	"264"	"153"	"5"	"3"	"2"	"5"	"12"	"5"	"8"	"478"	""	""
"86"	"52"	"22"	"3"	"138"	"414"	"10"	"4"	"1"	"6"	"0"	"2"	"1"	"601"	""	""
"87"	"53"	"16"	"3"	"224"	"289"	"9"	"0"	"1"	"11"	"3"	"11"	"8"	"575"	""	""
"88"	"54"	"6"	"1"	"326"	"246"	"6"	"0"	"3"	"6"	"3"	"1"	"5"	"603"	""	""
"89"	"55"	"15"	"2"	"226"	"205"	"8"	"1"	"2"	"7"	"1"	"4"	"3"	"474"	""	""
"90"	"56"	"3"	"1"	"145"	"257"	"6"	"0"	"7"	"13"	"8"	"5"	"1"	"446"	""	""
"91"	"Total No. of Votes"	"205"	"43"	"2533"	"4116"	"131"	"37"	"92"	"190"	"124"	"87"	"149"	"7707"	""	""
"92"	"Grand Total"	"738"	"215"	"9538"	"12064"	"467"	"172"	"306"	"630"	"438"	"295"	"455"	"25318"	""	""
"93"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"94"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"95"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"96"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"97"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"98"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"99"	"57"	"15"	"0"	"200"	"180"	"14"	"1"	"2"	"8"	"2"	"3"	"1"	"426"	""	""
"100"	"58"	"5"	"1"	"144"	"149"	"0"	"2"	"1"	"5"	"4"	"1"	"3"	"315"	""	""
"101"	"59"	"9"	"0"	"155"	"147"	"5"	"0"	"3"	"4"	"3"	"2"	"4"	"332"	""	""
"102"	"60"	"7"	"0"	"70"	"171"	"4"	"3"	"3"	"3"	"0"	"2"	"2"	"265"	""	""
"103"	"61"	"8"	"2"	"84"	"285"	"4"	"1"	"2"	"8"	"1"	"2"	"3"	"400"	""	""
"104"	"62"	"4"	"3"	"97"	"184"	"8"	"2"	"3"	"8"	"5"	"1"	"3"	"318"	""	""
"105"	"63"	"9"	"0"	"113"	"236"	"8"	"6"	"3"	"4"	"5"	"6"	"3"	"393"	""	""
"106"	"64"	"19"	"1"	"193"	"283"	"5"	"0"	"1"	"8"	"3"	"2"	"0"	"515"	""	""
"107"	"65"	"11"	"2"	"109"	"248"	"4"	"1"	"0"	"4"	"1"	"1"	"1"	"382"	""	""
"108"	"66"	"13"	"4"	"213"	"234"	"3"	"5"	"1"	"6"	"0"	"0"	"3"	"482"	""	""
"109"	"67"	"34"	"2"	"148"	"166"	"7"	"1"	"4"	"1"	"2"	"5"	"5"	"375"	""	""
"110"	"68"	"29"	"2"	"164"	"287"	"8"	"0"	"2"	"5"	"8"	"6"	"4"	"515"	""	""
"111"	"69"	"10"	"1"	"119"	"205"	"0"	"1"	"1"	"8"	"3"	"1"	"0"	"349"	""	""
"112"	"70"	"16"	"7"	"207"	"335"	"8"	"0"	"3"	"8"	"1"	"2"	"1"	"588"	""	""
"113"	"Total No. of Votes"	"189"	"25"	"2016"	"3110"	"78"	"23"	"29"	"80"	"38"	"34"	"33"	"5655"	""	""
"114"	"Grand Total"	"927"	"68"	"4549"	"7226"	"209"	"60"	"121"	"270"	"162"	"121"	"182"	"13362"	""	""
"115"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"116"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"117"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"118"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"119"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"121"	"71"	"16"	"1"	"158"	"44"	"5"	"1"	"1"	"2"	"0"	"4"	"1"	"233"	""	""
"122"	"72"	"26"	"0"	"80"	"161"	"5"	"1"	"5"	"4"	"5"	"2"	"4"	"293"	""	""
"123"	"73"	"13"	"2"	"167"	"212"	"2"	"0"	"2"	"2"	"5"	"3"	"5"	"413"	""	""
"124"	"74"	"7"	"0"	"140"	"219"	"1"	"0"	"1"	"3"	"1"	"3"	"1"	"376"	""	""
"125"	"75"	"10"	"2"	"77"	"248"	"11"	"1"	"0"	"9"	"3"	"2"	"3"	"366"	""	""
"126"	"76"	"37"	"8"	"216"	"233"	"8"	"2"	"3"	"5"	"1"	"0"	"4"	"517"	""	""
"127"	"77"	"16"	"2"	"188"	"331"	"7"	"0"	"1"	"18"	"7"	"4"	"4"	"578"	""	""
"128"	"78"	"9"	"0"	"47"	"303"	"1"	"0"	"1"	"9"	"1"	"0"	"1"	"372"	""	""
"129"	"79"	"4"	"1"	"54"	"183"	"6"	"1"	"2"	"3"	"2"	"1"	"0"	"257"	""	""
"130"	"80"	"8"	"1"	"166"	"366"	"3"	"6"	"6"	"8"	"4"	"3"	"6"	"577"	""	""
"131"	"81"	"9"	"1"	"80"	"333"	"2"	"0"	"4"	"5"	"3"	"1"	"8"	"446"	""	""
"132"	"82"	"24"	"2"	"329"	"123"	"4"	"1"	"1"	"2"	"10"	"3"	"7"	"506"	""	""
"133"	"83"	"22"	"2"	"284"	"179"	"4"	"0"	"1"	"4"	"3"	"0"	"2"	"501"	""	""
"134"	"84"	"9"	"2"	"121"	"290"	"18"	"0"	"3"	"3"	"0"	"1"	"3"	"450"	""	""
"135"	"Total No. of Votes"	"210"	"24"	"2107"	"3225"	"77"	"13"	"31"	"77"	"45"	"27"	"49"	"5885"	""	""
"136"	"Grand Total"	"1137"	"92"	"6656"	"10451"	"286"	"73"	"152"	"347"	"207"	"148"	"231"	"19247"	""	""
"137"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"138"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"139"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"140"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"141"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"142"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"143"	"85"	"13"	"2"	"108"	"300"	"11"	"0"	"5"	"8"	"4"	"2"	"3"	"456"	""	""
"144"	"86"	"11"	"0"	"89"	"337"	"16"	"3"	"3"	"9"	"4"	"4"	"3"	"479"	""	""
"145"	"87"	"14"	"0"	"82"	"323"	"2"	"1"	"5"	"9"	"0"	"1"	"1"	"438"	""	""
"146"	"88"	"8"	"1"	"187"	"253"	"7"	"0"	"7"	"15"	"8"	"7"	"4"	"497"	""	""
"147"	"89"	"4"	"1"	"179"	"210"	"6"	"3"	"3"	"10"	"7"	"1"	"5"	"429"	""	""
"148"	"90"	"21"	"3"	"210"	"245"	"9"	"2"	"4"	"11"	"4"	"4"	"2"	"515"	""	""
"149"	"91"	"27"	"3"	"152"	"262"	"6"	"3"	"4"	"12"	"10"	"6"	"15"	"500"	""	""
"150"	"92"	"48"	"0"	"173"	"271"	"6"	"2"	"3"	"8"	"2"	"2"	"1"	"516"	""	""
"151"	"93"	"15"	"4"	"160"	"235"	"4"	"4"	"3"	"5"	"5"	"6"	"9"	"450"	""	""
"152"	"94"	"14"	"4"	"201"	"255"	"7"	"2"	"7"	"14"	"3"	"5"	"7"	"519"	""	""
"153"	"95"	"5"	"0"	"98"	"138"	"3"	"0"	"0"	"5"	"3"	"2"	"3"	"257"	""	""
"154"	"96"	"26"	"4"	"252"	"319"	"18"	"6"	"5"	"22"	"18"	"8"	"7"	"685"	""	""
"155"	"97"	"10"	"7"	"249"	"410"	"17"	"2"	"6"	"12"	"4"	"4"	"3"	"724"	""	""
"156"	"98"	"34"	"2"	"98"	"347"	"3"	"3"	"7"	"18"	"4"	"7"	"10"	"533"	""	""
"157"	"Total No. of Votes"	"250"	"31"	"2238"	"3905"	"115"	"31"	"62"	"158"	"76"	"59"	"73"	"6998"	""	""
"158"	"Grand Total"	"1387"	"123"	"8894"	"14356"	"401"	"104"	"214"	"505"	"283"	"207"	"304"	"26245"	""	""
"159"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"160"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"161"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"162"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"163"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"164"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"165"	"99"	"34"	"0"	"125"	"169"	"6"	"2"	"0"	"10"	"5"	"5"	"4"	"360"	""	""
"166"	"99A"	"38"	"4"	"174"	"110"	"5"	"1"	"0"	"1"	"0"	"3"	"7"	"343"	""	""
"167"	"100"	"10"	"6"	"224"	"214"	"3"	"3"	"2"	"4"	"6"	"3"	"7"	"482"	""	""
"168"	"101"	"6"	"1"	"97"	"128"	"3"	"0"	"0"	"3"	"1"	"3"	"3"	"245"	""	""
"169"	"102"	"10"	"3"	"232"	"99"	"1"	"4"	"1"	"6"	"9"	"4"	"0"	"369"	""	""
"170"	"103"	"9"	"1"	"446"	"44"	"5"	"2"	"1"	"3"	"10"	"5"	"10"	"536"	""	""
"171"	"104"	"11"	"2"	"358"	"143"	"5"	"4"	"7"	"10"	"16"	"6"	"8"	"570"	""	""
"172"	"105"	"5"	"0"	"144"	"179"	"7"	"1"	"1"	"8"	"5"	"8"	"5"	"363"	""	""
"173"	"106"	"5"	"0"	"63"	"278"	"0"	"1"	"1"	"2"	"0"	"6"	"2"	"358"	""	""
"174"	"107"	"13"	"3"	"193"	"164"	"31"	"3"	"0"	"14"	"11"	"9"	"10"	"451"	""	""
"175"	"108"	"4"	"0"	"30"	"178"	"3"	"0"	"2"	"5"	"2"	"1"	"3"	"228"	""	""
"176"	"109"	"10"	"4"	"92"	"312"	"7"	"0"	"4"	"9"	"4"	"1"	"8"	"451"	""	""
"177"	"110"	"7"	"0"	"45"	"219"	"3"	"1"	"3"	"7"	"2"	"1"	"4"	"292"	""	""
"178"	"111"	"18"	"1"	"175"	"382"	"3"	"3"	"7"	"5"	"2"	"10"	"9"	"615"	""	""
"179"	"Total No. of Votes"	"180"	"25"	"2398"	"2619"	"82"	"25"	"29"	"87"	"73"	"65"	"80"	"5663"	""	""
"180"	"Grand Total"	"1567"	"148"	"11292"	"16975"	"483"	"129"	"243"	"592"	"356"	"272"	"384"	"31908"	""	""
"181"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"182"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"183"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"184"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"185"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"187"	"112"	"24"	"2"	"437"	"150"	"21"	"5"	"4"	"11"	"27"	"3"	"17"	"701"	""	""
"188"	"113"	"9"	"4"	"368"	"229"	"10"	"6"	"7"	"18"	"15"	"5"	"12"	"683"	""	""
"189"	"114"	"12"	"2"	"212"	"297"	"8"	"4"	"2"	"4"	"14"	"5"	"6"	"566"	""	""
"190"	"115"	"13"	"1"	"130"	"276"	"10"	"1"	"3"	"13"	"2"	"4"	"4"	"457"	""	""
"191"	"116"	"16"	"10"	"117"	"180"	"18"	"5"	"4"	"17"	"11"	"6"	"8"	"392"	""	""
"192"	"117"	"13"	"2"	"116"	"167"	"10"	"3"	"5"	"9"	"10"	"2"	"16"	"353"	""	""
"193"	"118"	"13"	"0"	"111"	"251"	"5"	"4"	"4"	"11"	"0"	"5"	"6"	"410"	""	""
"194"	"119"	"8"	"2"	"134"	"186"	"7"	"1"	"3"	"12"	"3"	"2"	"2"	"360"	""	""
"195"	"120"	"37"	"3"	"318"	"231"	"22"	"2"	"4"	"12"	"2"	"1"	"2"	"634"	""	""
"196"	"121"	"15"	"3"	"120"	"218"	"6"	"1"	"7"	"8"	"4"	"9"	"10"	"401"	""	""
"197"	"122"	"17"	"1"	"203"	"133"	"0"	"1"	"0"	"3"	"5"	"3"	"0"	"366"	""	""
"198"	"122A"	"7"	"2"	"184"	"190"	"6"	"2"	"1"	"4"	"4"	"6"	"4"	"410"	""	""
"199"	"123"	"2"	"4"	"189"	"213"	"10"	"3"	"3"	"13"	"6"	"2"	"4"	"449"	""	""
"200"	"124"	"2"	"1"	"70"	"211"	"6"	"2"	"2"	"7"	"0"	"1"	"0"	"302"	""	""
"201"	"Total No. of Votes"	"188"	"37"	"2709"	"2932"	"139"	"40"	"49"	"142"	"103"	"54"	"91"	"6484"	""	""
"202"	"Grand Total"	"1755"	"185"	"14001"	"19907"	"622"	"169"	"292"	"734"	"459"	"326"	"475"	"38392"	""	""
"203"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"204"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"205"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"206"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"207"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"208"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"209"	"125"	"7"	"1"	"288"	"220"	"10"	"2"	"4"	"7"	"6"	"5"	"13"	"563"	""	""
"210"	"126"	"15"	"3"	"387"	"114"	"20"	"1"	"2"	"12"	"16"	"6"	"21"	"597"	""	""
"211"	"127"	"15"	"4"	"161"	"331"	"10"	"3"	"6"	"14"	"12"	"10"	"15"	"581"	""	""
